,order,title,author,pages,url,gender,type,subgenre,avg_goodreads_rating,started,date,faves,year,days_to_read,gender_description
32,33,Genghis Khan and the Making of the Modern World,Jack Weatherford,352,https://www.goodreads.com/book/show/40718726-genghis-khan-and-the-making-of-the-modern-world?ac=1&from_search=true,M,Non-Fiction,History,4.02,2019-07-25,2019-09-07,,2019,44,Male
33,34,For the Love of Men: A New Vision for Mindful Masculinity,Liz Plank,300,https://www.goodreads.com/book/show/43263540-for-the-love-of-men,F,Non-Fiction,Feminism,4.38,2019-07-23,2019-08-02,,2019,10,Female
34,35,Three Women,Lisa Taddeo,304,https://www.goodreads.com/book/show/42201100-three-women,F,Non-Fiction,Feminism,3.87,2019-08-15,2019-08-22,y,2019,7,Female
35,36,Brave New World,Aldous Huxley,288,https://www.goodreads.com/book/show/5129.Brave_New_World?ac=1&from_search=true,M,Fiction,Science ,3.98,2019-09-15,2019-09-16,,2019,1,Male
36,37,Permanent Record,Mary HK Choi,400,https://www.goodreads.com/book/show/43562239-permanent-record?from_search=true,F,Fiction,Young Adult,3.84,2019-09-07,2019-09-11,,2019,4,Female
37,38,I Was Their American Dream,Malaka Gharib,160,https://www.goodreads.com/book/show/40909448-i-was-their-american-dream?from_search=true,F,Non-Fiction,Graphic Novel,4.3,2019-09-05,2019-09-12,,2019,7,Female
38,39,Men Without Women,Haruki Murakami,242,https://www.goodreads.com/book/show/31950871-men-without-women,M,Fiction,Short Stories,3.77,2019-09-18,2019-09-25,,2019,7,Male
39,40,Make it Scream Make it Burn,Leslie Jamison,272,https://www.goodreads.com/book/show/43521617-make-it-scream-make-it-burn?from_search=true,F,Non-Fiction,Essays,4.13,2019-10-02,2019-10-06,,2019,4,Female
40,41,How to Talk So Your Kids Will Listen,Adele Faber and Elaine Mazlish,368,https://www.goodreads.com/book/show/12371502-how-to-talk-so-kids-will-listen-listen-so-kids-will-talk,F,Non-Fiction,Parenting,4.26,2019-09-28,2019-10-02,Y,2019,4,Female
41,43,Maybe You Should Talk to Somebody,Lori Gottlieb,432,https://www.goodreads.com/book/show/37570546-maybe-you-should-talk-to-someone?from_search=true,F,Non-Fiction,Memoir,4.4,2019-10-18,2019-11-25,Y,2019,38,Female
42,44,Think Like Your Editor,Susan Rabiner,288,https://www.goodreads.com/book/show/18988615-thinking-like-your-editor?utm_content=review_cta_book_image&utm_medium=email&utm_source=bookend,F,Non-Fiction,Writing,4.04,2019-10-24,2019-10-28,,2019,4,Female
43,45,Kim Ji Young Born 1982,Cho Nam-joo,144,https://www.goodreads.com/book/show/47320138-kim-ji-young-born-1982?ac=1&from_search=true,F,Fiction,Feminism,4.17,2019-10-28,2019-10-31,,2019,3,Female
44,46,Superman vs the KKK,Rick Bowers,160,https://www.goodreads.com/book/show/11407829-superman-versus-the-ku-klux-klan?from_search=true,M,Non-Fiction,History,3.66,2019-10-28,2019-10-29,,2019,1,Male
45,47,The Likeability Trap,Alicia Menendez,240,https://www.goodreads.com/book/show/46408581-the-likeability-trap?from_search=true&qid=oURYa3fiGo&rank=1,F,Non-Fiction,Feminism,3.7,2019-11-08,2019-11-13,,2019,5,Female
46,48,A Short HIstory of Progress,Ronald Wright,224,https://www.goodreads.com/book/show/331227.A_Short_History_of_Progress?from_search=true&qid=supt2TGSOt&rank=1,M,Non-Fiction,History,4.1,2019-11-13,2019-11-29,,2019,16,Male
47,49,The Last Romantics,Tara Conklin,368,https://www.goodreads.com/book/show/35068465-the-last-romantics?ac=1&from_search=true&qid=dert731j6D&rank=1,F,Fiction,Contemporary,3.78,2019-11-29,2019-12-02,Y,2019,3,Female
48,50,Four Soldiers,Hubert Mingarelli,160,https://www.goodreads.com/book/show/41557466-four-soldiers?from_search=true&qid=tFOQALgbWg&rank=1,F,Fiction,Historical,3.78,2019-11-29,2019-12-03,,2019,4,Female
49,51,Working,Robert Caro,231,https://www.goodreads.com/book/show/43205240-working?from_search=true&qid=51xloY5uTL&rank=1,M,Non-Fiction,Writing,4.43,2019-12-15,2019-12-18,,2019,3,Male
50,52,The Incendiaries,R.O. Kwon,214,https://www.goodreads.com/book/show/36679056-the-incendiaries,F,Fiction,Contemporary,3.28,2019-12-19,2019-12-19,,2019,0,Female
51,53,Wedding Toasts I'll Never Give,Ada Calhoun,192,https://www.goodreads.com/book/show/36236126-wedding-toasts-i-ll-never-give,F,Non-Fiction,Essays,3.86,2019-12-26,2019-12-27,,2019,1,Female
