Year,Storm Name,Storm Dates,Time,Reg,Sub Reg,Country,State,Location,Lat,Lon,Surge_m,Surge_ft,Storm_Tide_m,Storm_Tide_ft,Storm_Tide_Waves_m,Storm_Tide_Waves_ft,Datum,Type of Obs,Tropical,Confidence,Surge ID,Storm ID
1981,,,,1,1,PH,,,13.9621,123.4496,,,3,,,,,,Y,2,,
1981,,,,1,1,PH,,,13.04,121.4962,,,1.5,,,,,,Y,3,,
1981,,,,1,1,PH,,,12.7515,121.4883,,,1.5,,,,,,Y,3,,
1983,,,,1,1,PH,,Near Infanta,14.7607,121.6686,,,4.5,,,,,,Y,2,,
1983,,,,1,1,PH,,,12.9043,124.1189,,,3,,,,,,Y,2,,
1983,,,,1,1,PH,,,14.586,120.5901,,,1.5,,,,,,Y,2,,
1984,,,,1,1,PH,,Sarangani Island,9.9228,125.0736,,,4.6,,,,,,Y,3,,
1984,,,,1,1,PH,,,11.284,125.1242,,,3.48,,,,,,Y,2,,
1985,,,,1,1,PH,,,14.7607,121.6686,,,3.6,,,,,,Y,3,,
1990,,Nov 10-14,,1,1,PH,,Catmon Carmen,,,,,2.5,,,,,,Y,2,,
2010,Megi,Oct 13-23,,1,1,PH,,Philippines,,,,,,,,,,,Y,,,
2011,Nalgae,Sep 27- Oct 5,,1,1,PH,,Philippines,,,,,,,,,,,Y,,,
2012,Bopha (Pablo),4-Dec,,1,1,PH,,,,,,,,,,,,,Y,,,
2013,Haiyan,8-Nov,,1,1,PH,,Tacloban Airport,11.2245,125.0252,,,6.5,21.33,6.5,21.33,,,Y,2,,
2005,Damrey,27-Sep,,1,2,VN,,Vietnam,,,4,13.12,,,,,,,Y,2,,
1923,Unnamed,22-Aug,,1,3,CN,,Yinggehai,,,,,3.05,,,,,,Y,,,
1948,Unnamed,27-Sep,,1,3,CN,,Haikou,20.0375,110.3173,,,2.8,,,,,,Y,,,
1952,China No. 5207,,,1,3,CN,,Wenzhou Fuzhou,,,,,3.88,12.73,,,,,Y,,,
1953,China No. 5310,,,1,3,CN,,Haimen,,,1.58,,,,,,,,Y,,,
1954,China No. 5408,,,1,3,CN,,North Point/ Quarry Bay Hong Kong,22.2944,114.2033,1.68,5.51,,,,,,,Y,,,
1954,China No. 5419,,,1,3,CN,,North Point/ Quarry Bay Hong Kong,22.2944,114.2033,1.16,3.81,,,,,,,Y,,,
1956,China No. 5612,,,1,3,CN,,Hanpu,30.1961,120.8208,5.02,16.47,,,,,,,Y,,,
1956,China No. 5623,,,1,3,CN,,Dinghai,,,,,2.13,6.99,,,,,Y,,,
1957,China No. 5715,,,1,3,CN,,North Point/ Quarry Bay Hong Kong,22.2944,114.2033,1.34,4.4,,,,,,,Y,,,
1960,China No. 6003,,,1,3,CN,,North Point/ Quarry Bay Hong Kong,22.2944,114.2033,1.1,3.61,,,,,,,Y,,,
1960,China No. 6008,,,1,3,CN,,Mawei,,,,,2.52,8.27,,,,,Y,,,
1961,China No. 6126,,,1,3,CN,,Shipu,,,,,1.8,5.91,,,,,Y,,,
1962,China No. 6216,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,3.2,10.5,,,,,,,Y,,,
1963,China No. 6313,,,1,3,CN,,Xiuying,20.0355,110.288,1.76,5.77,,,,,,,Y,,,
1963,China No. 6312,,,1,3,CN,,Haimen Port,31.8628,121.2375,1.36,4.46,,,,,,,Y,,,
1963,China No. 6311,7-Sep,,1,3,CN,,Ma Chun Gang,,,,,2.83,,,,,,Y,,,
1963,China No. 6306,,,1,3,CN,,Xinghuawan,,,,,2.18,7.15,,,,,Y,,,
1964,China No. 6417,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,2.96,9.71,,,,,,,Y,,,
1964,China No. 6412,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,2.16,7.09,,,,,,,Y,,,
1965,China No. 6508,,,1,3,CN,,Beijingang,,,3.14,10.3,,,,,,,Y,,,
1965,China No. 6511,,,1,3,CN,,North Point/Quarry Bay and Tai Po KauHongKong,22.4483,114.1781,1.01,3.31,,,,,,,Y,,,
1968,China No. 6809,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,1.78,5.84,,,,,,,Y,,,
1969,China No. 6903,28-Jul,,1,3,CN,,Shantou Tide Station Shantou County,,,3.14,10.3,,,,,,,Y,,,
1969,China No. 6911,,,1,3,CN,,Meihua,,,1.99,6.53,,,,,,,Y,,,
1970,China No. 7013,17-Oct,,1,3,CN,,Gang Beigang,,,,,2.61,,,,,,Y,,,
1971,China No. 7114,22-Jul,,1,3,CN,,Shanwei Tide Station Shanwei County,,,1.72,5.64,,,,,,,Y,,,
1971,China No. 7126,9-Oct,,1,3,CN,,Sanya Gang,,,1.11,,3.92,,,,,,Y,,,
1971,China No. 7115,,,1,3,CN,,Pintan,,,,,2.47,8.1,,,,,Y,,,
1972,China No. 7220,8-Nov,,1,3,CN,,Gintan Xiang,,,,,2.69,,,,,,Y,,,
1972,China No. 7209,,,1,3,CN,,Haimen,31.8628,121.2375,,,1.9,6.23,,,,,Y,,,
1973,China No. 7314,,,1,3,CN,,,,,2.1,,,,,,,,Y,,,
1974,China No. 7423,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,1.45,4.76,,,,,,,Y,,,
1974,China No. 7422,13-Oct,,1,3,CN,,Gangou Tide Station Huidong County,,,1.14,3.74,,,,,,,Y,,,
1974,China No. 7413,,,1,3,CN,,Changjiang,,,,,3.05,10.01,,,,,Y,,,
1977,China No. 7707,,,1,3,CN,,Zhenhai,,,1.54,5.05,,,,,,,Y,,,
1977,China No. 7708,,,1,3,CN,,Lvsi,31.5008,121.325,,,2.5,8.2,,,,,Y,,,
1978,China No. 7815,,,1,3,CN,,Lvsi,31.5008,121.325,0.81,,,,,,,,Y,,,
1979,China No. 7909,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,3.23,10.6,,,,,,,Y,,,
1979,China No. 7910,,,1,3,CN,,Ningbo,,,,,1.8,5.91,,,,,Y,,,
1980,China No. 8007,,,1,3,CN,,Nandu tide gage Leizhou Guangdong Province,20.8953,110.1714,5.94,19.49,,,,,,,Y,,,
1981,China No. 8114,,,1,3,CN,,Ningbo,,,2.18,,,,,,,,Y,,,
1981,China No. 8104,,,1,3,CN,,Xiamen,,,0.57,,,,,,,,Y,,,
1982,China No. 8211,,,1,3,CN,,Lvsi,31.5008,121.325,1.2,3.94,,,,,,,Y,,,
1983,China No. 8310,,,1,3,CN,,Lvsi,31.5008,121.325,2.13,,,,,,,,Y,,,
1983,China No. 8309,,,1,3,CN,,Tai Po Kau Hong Kong,22.4483,114.1781,1.74,5.71,,,,,,,Y,,,
1983,China No. 8304,,,1,3,CN,,Xiamen,24.4675,118.0675,,,1.79,5.87,,,,,Y,,,
1985,China No. 8521 (Dot),,,1,3,CN,,Qinglan,,,,,1.7,,,,,,Y,,,
1986,China No. 8616,,,1,3,CN,,Nandu,20.8953,110.1714,3.52,11.55,,,,,,,Y,,,
1986,China No. 8609,,,1,3,CN,,Shituupu,,,1.17,3.84,,,,,,,Y,,,
1989,China No. 8908,18-Jul,,1,3,CN,,Sanzhao,,,2.6,8.53,,,,,,,Y,,,
1989,China No. 8923,,,1,3,CN,,Haimen,31.8628,121.2375,1.46,4.79,,,,,,,Y,,,
1989,China No. 8928,14-Oct,,1,3,CN,,Dong Fang,,,0.83,,1.04,,,,,,Y,,,
1990,China No. 9018 (Dot),,,1,3,CN,,Wenzhou,27.8386,120.8486,2.41,7.91,,,,,,,Y,,,
1990,China No. 9016 (Becky),,,1,3,CN,,Bozi,,,,,2.84,,,,,,Y,,,
1991,China No. 9111,,,1,3,CN,,Nandu,20.8953,110.1714,3.84,12.6,,,,,,,Y,,,
1991,China No. 9106 (Zeke),,,1,3,CN,,Qinglan,,,,,1.81,,,,,,Y,,,
1992,China No. 9216,,,1,3,CN,,Rujan,,,2.03,6.66,,,,,,,Y,,,
1992,China No. 9205,,,1,3,CN,,Qinglan,19.5403,110.8201,1.15,3.77,1.83,,,,,,Y,,,
1993,China No. 9316,17-Sep,,1,3,CN,,Nansha,22.7492,113.6128,2.7,8.86,,,,,,,Y,,,
1993,China No. 9302,27-Jun,,1,3,CN,,Huangjin Tide Station Doumen County,,,2.48,8.14,,,,,,,Y,,,
1993,China No. 9315,14-Sep,,1,3,CN,,Haimen Tide Station Chaoyang County,31.8628,121.2375,1.97,6.46,,,,,,,Y,,,
1994,China No. 9417 (Fred),,,1,3,CN,,Wenzhou,27.8386,120.8486,2.69,8.83,,,,,,,Y,,,
1994,Doug,,,1,3,CN,,Lungtung Harbor,25.0981,121.9172,3,9.84,,,,,,,Y,,,
1996,China No. 9608,,,1,3,CN,,Meihua,,,2.25,7.38,,,,,,,Y,,,
1996,China No. 9618,,,1,3,CN,,Xiuying,,,,,1.83,6,,,,,Y,,,
1997,China No. 9711,,,1,3,CN,,Jianitiao,,,2.61,8.56,,,,,, ,Y,,,
1997,China No. 9712,,,1,3,CN,,North Point/ Quarry Bay Hong Kong,22.2944,114.2033,1.01,3.31,,,,,,,Y,,,
1999,China No. 9914,,,1,3,CN,,Lvsi,31.5008,121.325,2.5,8.2,,,,,,,Y,,,
2000,China No. 0016 (Wukong),,,1,3,CN,,Wachang,,,,,1.77,,,,,,Y,,,
2001,China No. 0104,,,1,3,CN,,Dong Xikou,,,2.65,8.69,,,,,,,Y,,,
2002,China No. 0216,,,1,3,CN,,Pipamen Tide Station,,,2.3,7.55,,,,,,,Y,,,
2003,China No. 0312,,,1,3,CN,,Nandu Tide Station,20.8953,110.1714,3.66,12.01,,,,,,,Y,,,
2003,China No. 0307,24-Jul,,1,3,CN,,Beijin Harbor Tide Station Yangjiang County,,,3.19,10.47,,,,,,,Y,,,
2003,China No. 0313,,,1,3,CN,,Dongxikou,,,1.7,5.58,,,,,,,Y,,,
2005,China No. 0518 (Damrey),,,1,3,CN,,Qinglan,19.5378,110.8153,1.52,4.99,,,,,,,Y,,,
2006,Saomai,,,1,3,CN,,Pipamen Tide Station,,,3.3,10.83,,,,,,,Y,,,
2010,Fanapi,,,1,3,CN,,Taiwan,,,,,,,,,,,Y,,,
2012,Vicente,Jul 20-24,,1,3,CN,,,,,,,,,,,,,Y,,,
2012,Tembin,Aug 19-30,,1,3,CN,,,,,,,,,,,,,Y,,,
2012,Son Tinh,Oct 23-29,,1,3,CN,,,,,,,,,,,,,Y,,,
1997,Winnie,19-Aug,,1,4,KR,,Kunsan,,,0.6,,8.05,,,,,,Y,,,
2003,Maemi,12-Sep,,1,4,KR,,Masan Port Masan City South Korea,,,2.3,7.55,,,,,,,Y,2,,
2010,Kompasu,Aug 30- Sep 2,,1,4,KR,,,,,,,,,,,,,Y,,,
2012,Bolaven,Aug 20-28,,1,4,KR,,,,,,,,,,,,,Y,,,
2012,Sanba,Sep 10-17,,1,4,KR,,,,,,,,,,,,,Y,,,
1911,Unnamed,,,1,5,JP,,Tokyo,35.647,139.761,2.08,6.82,,,,,,,Y,,,
1917,Unnamed,,,1,5,JP,,Tokyo,35.647,139.761,2.3,7.55,,,,,,,Y,,,
1938,Unnamed,,,1,5,JP,,Tokyo,35.647,139.761,1.94,6.36,,,,,,,Y,,,
1949,Kitty,31-Aug,,1,5,JP,,Tokyo,35.647,139.761,1.41,4.63,,,,,,,Y,,,
1958,Alice,,,1,5,JP,,Tokyo,35.647,139.761,1.13,3.71,,,,,,,Y,,,
1959,Isewan (Vera),,,1,5,JP,,Isewan Harbor,35.0214,136.7794,3.5,11.48,,,,,,,Y,,,
1960,Mamie,,,1,5,JP,,,,,,,,,,,,,Y,,,
1970,Anita,,,1,5,JP,,Katasurahama,33.4974,133.5752,2,,,,,,,,Y,,,
1981,Thad,August,,1,5,JP,,Hakodate,41.7699,140.719,0.72,2.4,,,,,,,Y,,,
1991,9119 (Mireille),,,1,5,JP,,NW coast of the Suoh Sea,34.0137,131.1459,,,,,,,,,Y,,,
1999,Bart,,,1,5,JP,,Yatsushiro Bay,32.6405,130.6512,3.5,11.48,,,,,,,Y,,,
2004,Chaba,30-Aug,,1,5,JP,,Himeji Japan,34.7825,134.6664,1.57,5.15,,,,,,,Y,3,,
2005,Nabi (T0514),6-Sep,,1,5,JP,,Tokuyama Tide Station,,,1.1,,,,,,,,Y,,,
2011,Ma On,Jul 11-22,,1,5,JP,,,,,,,,,,,,,Y,,,
2012,Jelawat,Sep 20-30,,1,5,JP,,,,,,,,,,,,,Y,,,
2012,Sanba,Sep 10-17,,1,5,JP,,,,,,,,,,,,,Y,,,
1960,Ophelia,21 Nov- 06 Dec,,1,6,FM,,Ulithi Federated States of Micronesia,,,1.83,6,,,,,,,Y,2,,
1893,Unnamed,,,2,1,AU,NSW,Lennox Head,-28.7994,153.5956,4,13.12,,,,,,,Y,1,,
1990,Nancy,4-Feb,,2,1,AU,NSW,Newcastle,,,0.47,,0.32,,,,Australian Height Datum,Tide Gauge,Y,3,,
1923,Douglas Mawson,30-Mar,,2,1,AU,NT,Emerald River Mission Groote Eylandt,-14,136.7619,6.6,21.65,,,,,Astronomical Tide,,Y,3,,
1931,Unnamed,Apr,,2,1,AU,NT,Groote Eylandt,-14.1756,136.7111,,,6.7,21.98,,,Mean Sea Level,,Y,2,,
1931,Unnamed,Jan,,2,1,AU,NT,Groote Eylandt,-13.9961,136.4183,,,4.6,15.09,,,Mean Sea Level,,Y,2,,
1940,Unnamed,Mar,,2,1,AU,NT,Mission Station Groote Eylandt,-14.0158,136.7678,1.22,4,,,,,,,Y,1,,
1948,Unnamed,Mar,,2,1,AU,NT,Vanderlin Island,-15.7544,137.0753,3.7,12.14,1.8,,,,High Water Springs,,Y,1,,
1974,Tracy,Dec 21-25,,2,1,AU,NT,Fannie Bay,-12.4249,130.8346,,,2,,4,,,Field Evidence,Y,2,,
1984,Kathy,Mar 16-24,,2,1,AU,NT,East coast of Vanderlin Island,-15.6947,137.0801,4.2,13.78,,,,,,,Y,,,
1984,Jim,Mar 5-9,,2,1,AU,NT,S of Roper River,-14.8803,135.4192,3,9.84,,,,,,,Y,,,
1985,Sandy,Mar 18-24,,2,1,AU,NT,Centre Island,-15.6886,136.7844,3.5,11.48,,,,,,,Y,,,
1998,Thelma,Dec 1-14,,2,1,AU,NT,Milikapiti (Snake Bay) Tiwi Islands,-11.4183,130.6739,,,3.5,,,,,,Y,2,,
2001,Winsome,10-Feb,,2,1,AU,NT,Milner Bay,,,1.27,,2.02,,,,Australian Height Datum,Tide Gauge,Y,2,,
2003,Craig,Mar 7-12,,2,1,AU,NT,Cobourg Peninsula & Goulbourn Is.,-11.4558,132.2372,2.5,8.2,,,,,,,Y,2,,
2005,Ingrid,Mar 6-17,,2,1,AU,NT,Drysdale Island,-11.6575,136.0475,,,3,,,,,,Y,2,,
2006,Monica,Apr 17-25,,2,1,AU,NT,Junction Bay,-11.9183,133.9325,,,6,19.68,,,,Evidence on landscape,Y,2,,
2010,Paul,Mar 22- Apr 10,,2,1,AU,NT,Milner Bay Tide Gauge on Groote Eylandt,-13.8601,136.4156,1,3.28,,,,,,Tide Gauge,Y,2,,
1858,Unnamed,,,2,1,AU,QLD,Green Island,,,,,2,,,,,,Y,1,,
1884,Unnamed,,,2,1,AU,QLD,Bowen,-20.0186,148.2483,3.1,10.17,,,,,,,Y,2,,
1887,Unnamed,,,2,1,AU,QLD,Albert R Heads (near Burketown),-17.575,139.7603,,,5.5,18.04,,,Highest Spring Tide Level,,Y,2,,
1891,Unnamed,8-Jun,,2,1,AU,QLD,Brisbane,,,,,1.8,,,,,,Y,3,,
1894,Unnamed,19-Feb,,2,1,AU,QLD,Brisbane,,,,,1.6,,,,,,Y,3,,
1896,Sigma,,,2,1,AU,QLD,Townsville,-19.2508,146.8169,2.5,8.2,4,,,,,,Y,2,,
1899,Mahina,,,2,1,AU,QLD,Barrow Point Bathurst Bay,-14.3664,144.5951,13.7,44.95,13,,,,,,Y,2,,
1903,Leonta,9-Mar,,2,1,AU,QLD,Cairns,,,,,2.5,,,,,,Y,1,,
1918,Unnamed,Mar,,2,1,AU,QLD,Maria Creek,-17.8097,146.0803,4.65,15.26,3,,,,High Water,,Y,3,,
1918,Unnamed,Jan,,2,1,AU,QLD,Mackay,-21.1581,149.2017,3.7,12.14,,,7.6,,,,Y,3,,
1920,Unnamed,4-Feb,,2,1,AU,QLD,Cairns,-16.9083,145.7661,1.75,5.74,,,,,,,Y,,,
1928,Unnamed,16-Jun,,2,1,AU,QLD,Brisbane,,,,,1.7,,,,,,Y,2,,
1931,Unnamed,5-Feb,,2,1,AU,QLD,Brisbane,,,0.95,,,,,,,,Y,2,,
1934,Unnamed,,,2,1,AU,QLD,Bailey Creek,-16.1992,145.4428,9.1,29.86,,,,,,,Y,2,,
1934,Unnamed,1-Feb,,2,1,AU,QLD,Brisbane,-27.3636,153.1347,1.2,3.94,,,,,,,Y,,,
1941,Unnamed,3-Apr,,2,1,AU,QLD,Cairns,,,0.55,,,,,,,,Y,2,,
1945,Unnamed,17-Mar,,2,1,AU,QLD,Cairns,,,0.85,,,,,,,,Y,2,,
1946,Unnamed,2-Mar,,2,1,AU,QLD,Cairns,,,0.75,,,,,,,,Y,2,,
1947,Unnamed,23-Jan,,2,1,AU,QLD,Brisbane,,,0.55,,,,,,,,Y,2,,
1948,Unnamed,12-Jan,,2,1,AU,QLD,Cairns,,,0.55,,,,,,,,Y,2,,
1948,Unnamed,25-Feb,,2,1,AU,QLD,Bentinck Island,-17.0342,139.5481,,,3.7,12.14,,,Normal High Tide,,Y,,,
1948,Unnamed,28-Jan,,2,1,AU,QLD,Brisbane,,,,,1.8,,,,,,Y,3,,
1949,Unnamed,2-Mar,,2,1,AU,QLD,Gladstone,,,1.25,,2.2,,,,,,Y,2,,
1950,Unnamed,15-Jan,,2,1,AU,QLD,Cairns,,,0.5,,,,,,,,Y,3,,
1950,Unnamed,18-Jan,,2,1,AU,QLD,Brisbane,,,,,1.8,,,,,,Y,3,,
1954,Unnamed,,,2,1,AU,QLD,Beachmere,-27.1314,153.0539,2,6.56,,,,,,,Y,,,
1956,Agnes,5-Mar,,2,1,AU,QLD,Mackay,-21.1531,149.2033,1.4,4.59,,,,,,,Y,,,
1957,Clara,17-Feb,,2,1,AU,QLD,Brisbane,,,0.55,,,,,,,,Y,2,,
1958,Unnamed,1-Apr,,2,1,AU,QLD,Bowen,-20.0228,148.2431,1.5,4.92,,,,,,,Y,,,
1962,Unnamed,31-Dec,,2,1,AU,QLD,Brisbane,,,0.8,,,,,,,,Y,2,,
1964,Audrey,11-Jan,,2,1,AU,QLD,Karumba,-17.4814,140.8389,1.5,4.92,,,,,Astronomical Tide,,Y,2,,
1964,Unnamed,7-Dec,,2,1,AU,QLD,Palm Island,,,0.6,,,,,,,,Y,,,
1964,Dora,,,2,1,AU,QLD,Edward River,-14.5958,141.5539,,,3.4,,,,Low Water Neaps,,Y,,,
1967,Elaine,14-Mar,,2,1,AU,QLD,Cairns,,,0.5,,,,,,,,Y,3,,
1967,Dinah,,,2,1,AU,QLD,Sandgate,-27.3168,153.0718,,,3,9.84,,,,Estimation based on water above ground elevation,Y,2,,
1971,Althea,Dec 19-24,Low Tide,2,1,AU,QLD,Townsville,,,2.9,9.51,,,,,,,Y,2,,
1971,Fiona,20-22 Feb,,2,1,AU,QLD,Bundaberg,,,0.9,,,,,,,,Y,,,
1971,Gertie,16-Feb,,2,1,AU,QLD,Cardwell and Lindeman Island,,,0.6,,,,,,,,Y,3,,
1972,Emily,2-Apr,,2,1,AU,QLD,Gladstone and Bundaberg,,,0.9,,,,,,,,Y,2,,
1973,Una,19-Dec,,2,1,AU,QLD,Bowen,,,0.7,,,,,,,,Y,3,,
1974,Wanda,No dates in BOM,,2,1,AU,QLD,Between Noosa and Double Island Pt.,-26.1814,153.0894,1,3.28,,,,,,,Y,,,
1974,Zoe,12-Mar,,2,1,AU,QLD,Caloundra,-26.8078,153.1253,1,3.28,,,,,,,Y,,,
1974,Pam,7-Feb,,2,1,AU,QLD,Brisbane,,,0.7,,,,,,,,Y,3,,
1976,Ted,19-Dec,,2,1,AU,QLD,Karumba,,,2,6.56,3.6,,,,,,Y,2,,
1976,David,19-Jan,,2,1,AU,QLD,Rosslyn Bay,-23.1667,150.7806,1.2,3.94,,,,,,,Y,,,
1978,Peter,Dec 29- Jan 2 '79,,2,1,AU,QLD,Weipa,-12.6794,141.8847,1.2,3.94,2.3,,,,,,Y,,,
1979,Kerry,1-Mar,,2,1,AU,QLD,Mackay,,,0.7,2.3,,,,,,,Y,3,,
1981,Eddie,Feb 8-13,,2,1,AU,QLD,Wentworth Station,-16.9928,139.0801,1.5,4.92,,,,,,,Y,,,
1981,Cliff,14-Feb,,2,1,AU,QLD,Urangan,,,0.6,1.97,,,,,,,Y,3,,
1982,Dominic,Apr,,2,1,AU,QLD,Weipa,,,0.95,3.12,,,,,,,Y,2,,
1986,Winifred,1-Feb,,2,1,AU,QLD,Clump Point,,,1.8,5.91,1.7,,,,,,Y,2,,
1987,Jason,Feb 6-13,,2,1,AU,QLD,Karumba,,,2,6.56,3.1,,,,,,Y,2,,
1989,Felicity,15-Dec,,2,1,AU,QLD,Gilbert River,-16.4778,141.3072,2.4,7.87,,,,,,,Y,,,
1989,Aivu,Apr 1-5,,2,1,AU,QLD,Bowen,,,1.2,,2.3,,,,,,Y,2,,
1990,Joy,24-Dec,,2,1,AU,QLD,Port Douglas,,,0.5,,,,,,,,Y,2,,
1992,Fran,16-Mar,,2,1,AU,QLD,Burnett,-24.7753,152.4211,1,3.28,2.1,,,,,,Y,,,
1992,Mark,8-Jan,,2,1,AU,QLD,Karumba,,,0.8,,,,,,,,Y,3,,
1992,Nina,25-Dec,,2,1,AU,QLD,Weipa,,,0.7,,3.2,,,,,,Y,2,,
1992,Betsy,14-Jan,,2,1,AU,QLD,Urangan,,,0.6,,,,,,,,Y,3,,
1993,Roger,17-Mar,,2,1,AU,QLD,Gold Coast Seaway,,,0.7,1.3,,,,,,,Y,2,,
1995,Warren,Mar 4-6,,2,1,AU,QLD,Karumba,-17.4572,140.8275,1.5,4.92,,,,,,,Y,,,
1996,Ethel,Mar 7-13,,2,1,AU,QLD,Weipa,-12.6675,141.8622,1.18,3.87,,,,,,,Y,,,
1996,Barry,Jan 4-7,,2,1,AU,QLD,S of Staatan River mouth,-16.1942,141.3681,,,4,13.12,,,,Field survey by helicopter,Y,,,
1997,Mackay,10-Mar,,2,1,AU,QLD,Mackay,,,0.78,2.56,,,,,,,Y,2,,
2000,Steve,27-Feb,,2,1,AU,QLD,Cairns,,,0.78,,0.71,,,,Australian Height Datum,Tide Gauge,Y,3,,
2005,Ingrid,Mar 6-17,,2,1,AU,QLD,60 km south of the Lockhart River township,-13.3208,143.5253,2.5,8.2,,,,,,,Y,3,,
2006,Monica,Apr 17-25,,2,1,AU,QLD,Approximately 55-60 km SSE of Lockhart River,-13.2614,143.5169,3,9.84,,,,,,,Y,,,
2006,Larry,Mar 17-20,,2,1,AU,QLD,Bingil Bay Australia,-17.8339,146.0997,,,,,5,16.4,,Debris Line,Y,,,
2011,Yasi,2-Feb,,2,1,AU,QLD,Cardwell,-18.2637,146.0262,5.33,17.49,,,,,,,Y,2,,
1880,Unnamed,,,2,1,AU,WA,Yammadery Bank (Just NW of Onslow),-21.6319,115.1097,,,,,7.6,24.93,High Water Mark,,Y,2,,
1882,Unnamed,,,2,1,AU,WA,Twin Islands outside Cossack,-20.4925,117.2189,,,,,9.2,30.18,,,Y,2,,
1925,Unnamed,Jan,,2,1,AU,WA,Roebourne,-20.7692,117.1464,6.05,19.85,,,,,,,Y,3,,
1937,Unnamed,,,2,1,AU,WA,Road from Hamelin Pool to Denham,-26.2172,113.7701,,,5.5,,,,,,Y,,,
1939,Unnamed,Jan,,2,1,AU,WA,Port Hedland,-20.3086,118.5792,,,5.7,18.7,,,Australian Height Datum (AHD),,Y,2,,
1939,Unnamed,,,2,1,AU,WA,Port Hedland,-20.3086,118.5792,4.5,14.76,,,,,,,Y,,,
1942,Unnamed,Mar,,2,1,AU,WA,Port Hedland,-20.3083,118.5986,2,6.56,,,,,,,Y,3,,
1956,Unnamed,Feb-Mar,,2,1,AU,WA,Port Hedland,-20.3033,118.5942,2.4,7.87,,,,,,,Y,3,,
1958,Unnamed,Mar,,2,1,AU,WA,Onslow,,,2,6.56,,,,,,,Y,1,,
1961,Unnamed No. 5,25-Jan,,2,1,AU,WA,Onslow,-21.6397,115.1167,,,2.5,,,,Highest Tide Level,,Y,,,
1966,Unnamed,Mar,,2,1,AU,WA,Port Hedland,-20.3097,118.5772,1.2,3.94,,,,,,,Y,,,
1973,Kerry,Jan 19-24,,2,1,AU,WA,Port Hedland,-20.3028,118.6258,2.06,,3.81,,,,Australian Height Datum,Tide Gauge,Y,1,,
1975,Trixie,Feb 15-22,,2,1,AU,WA,Beadon Creek,-21.6487,115.1313,,,3,,,,,Low Water Mark,Y,2,,
1975,Joan,Nov 30- Dec 10,,2,1,AU,WA,Port Hedland,-20.3086,118.5792,2.6,8.53,,,,,,,Y,,,
1978,Alby,Mar 27- Apr 4,,2,1,AU,WA,Bunbury,-33.3314,115.6278,1.57,5.15,1.76,,,,Australian Height Datum,Tide Gauge,Y,,,
1979,Hazel,13-Mar,,2,1,AU,WA,Carnarvon,,,1.19,3.9,1.65,,,,Australian Height Datum,Tide Gauge,Y,3,,
1987,Connie,Jan 15-20,,2,1,AU,WA,Port Hedland,-20.3086,118.5792,2,6.56,,,,,,,Y,,,
