product_number,main_category,sub_category,category_detail,product_name,date_captured,year_captured
2121630,Drinks,Hot Coffees,Clover® Brewed Coffees,Sumatra Clover®,2019-10-01,2019
466,Drinks,Hot Teas,Chai Teas,Chai Tea Latte,2019-10-01,2019
2122273,Drinks,Hot Teas,Chai Teas,Teavana® Chai Tea,2019-10-01,2019
450,Drinks,Hot Teas,Black Teas,Earl Grey Black Tea,2019-10-01,2019
477,Drinks,Hot Teas,Black Teas,London Fog Tea Latte,2019-10-01,2019
446,Drinks,Hot Teas,Black Teas,Royal English Breakfast Black Tea,2019-10-01,2019
465,Drinks,Hot Teas,Black Teas,Royal English Breakfast Tea Latte,2019-10-01,2019
2122573,Drinks,Hot Teas,Black Teas,Rev Up Wellness Brewed Tea,2019-10-01,2019
873068751,Drinks,Hot Teas,Green Teas,Emperor's Cloud and Mist® Green Tea,2019-10-01,2019
468,Drinks,Hot Teas,Green Teas,Matcha Green Tea Latte,2019-10-01,2019
2122274,Drinks,Hot Teas,Green Teas,Honey Citrus Mint Tea,2019-10-01,2019
2122574,Drinks,Hot Teas,Green Teas,Jade Citrus Mint™ Brewed Tea,2019-10-01,2019
873068754,Drinks,Hot Teas,Herbal Teas,Mint Majesty™ Herbal Tea,2019-10-01,2019
873068757,Drinks,Hot Teas,Herbal Teas,Peach Tranquility® Herbal Tea,2019-10-01,2019
2122572,Drinks,Hot Teas,Herbal Teas,Comfort Wellness Brewed Tea,2019-10-01,2019
2122575,Drinks,Hot Teas,White Teas,Citrus Defender,2019-10-01,2019
2122571,Drinks,Hot Teas,White Teas,Defense Wellness Brewed Tea,2019-10-01,2019
762,Drinks,Hot Drinks,Hot Chocolates,Salted Caramel Hot Chocolate,2019-10-01,2019
471,Drinks,Hot Drinks,Hot Chocolates,Hot Chocolate,2019-10-01,2019
873068638,Drinks,Hot Drinks,Hot Chocolates,Skinny Hot Chocolate,2019-10-01,2019
472,Drinks,Hot Drinks,Hot Chocolates,White Hot Chocolate,2019-10-01,2019
475,Drinks,Hot Drinks,Juice,Caramel Apple Spice,2019-10-01,2019
489,Drinks,Hot Drinks,Juice,Steamed Apple Juice,2019-10-01,2019
873068660,Drinks,Hot Drinks,Steamers,Pumpkin Spice Crème,2019-10-01,2019
873068723,Drinks,Hot Drinks,Steamers,Cinnamon Dolce Crème,2019-10-01,2019
747,Drinks,Hot Drinks,Steamers,Steamed Milk,2019-10-01,2019
873068652,Drinks,Hot Drinks,Steamers,Vanilla Crème,2019-10-01,2019
427,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Pumpkin Spice Frappuccino®,2019-10-01,2019
831,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Salted Caramel Mocha Frappuccino®,2019-10-01,2019
1044,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino®,2019-10-01,2019
956,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Cookie Crumble Frappuccino®,2019-10-01,2019
424,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino®,2019-10-01,2019
423,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caffè Vanilla Frappuccino®,2019-10-01,2019
483,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Coffee Frappuccino®,2019-10-01,2019
500,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Espresso Frappuccino®,2019-10-01,2019
425,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Java Chip Frappuccino®,2019-10-01,2019
426,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino®,2019-10-01,2019
428,Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,White Chocolate Mocha Frappuccino®,2019-10-01,2019
436,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Pumpkin Spice Crème Frappuccino®,2019-10-01,2019
2121459,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Salted Caramel Mocha Crème Frappuccino®,2019-10-01,2019
957,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Chocolate Cookie Crumble Crème Frappuccino®,2019-10-01,2019
2122724,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Strawberry Frappuccino®,2019-10-01,2019
438,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Chai Crème Frappuccino®,2019-10-01,2019
435,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Double Chocolaty Chip Crème Frappuccino®,2019-10-01,2019
439,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Matcha Green Tea Crème Frappuccino®,2019-10-01,2019
440,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Vanilla Bean Crème Frappuccino®,2019-10-01,2019
441,Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,White Chocolate Crème Frappuccino®,2019-10-01,2019
2123113,Drinks,Cold Coffees,Cold Brews,Pumpkin Cream Cold Brew,2019-10-01,2019
2122796,Drinks,Cold Coffees,Cold Brews,Nitro Cold Brew with Salted Cream Cold Foam,2019-10-01,2019
2122795,Drinks,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,2019-10-01,2019
2122776,Drinks,Cold Coffees,Cold Brews,Cold Brew with Cold Foam,2019-10-01,2019
2122643,Drinks,Cold Coffees,Cold Brews,Cold Brew with Cascara Cold Foam,2019-10-01,2019
2122645,Drinks,Cold Coffees,Cold Brews,Nitro Cold Brew with Cascara Cold Foam,2019-10-01,2019
2122605,Drinks,Cold Coffees,Cold Brews,Starbucks Reserve® Nitro Cold Brew,2019-10-01,2019
2122616,Drinks,Cold Coffees,Cold Brews,Starbucks Reserve® Cold Brew,2019-10-01,2019
2121255,Drinks,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,2019-10-01,2019
2121912,Drinks,Cold Coffees,Cold Brews,Nitro Cold Brew,2019-10-01,2019
2122237,Drinks,Cold Coffees,Cold Brews,Nitro Cold Brew with Sweet Cream,2019-10-01,2019
2121859,Drinks,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,2019-10-01,2019
2121343,Drinks,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee with Milk,2019-10-01,2019
406,Drinks,Cold Coffees,Iced Americano,Iced Caffè Americano,2019-10-01,2019
2122559,Drinks,Cold Coffees,Iced Americano,Iced Starbucks® Blonde Caffè Americano,2019-10-01,2019
422,Drinks,Cold Coffees,Iced Coffees,Iced Coffee,2019-10-01,2019
482,Drinks,Cold Coffees,Iced Coffees,Iced Coffee with Milk,2019-10-01,2019
419,Drinks,Cold Coffees,Iced Espresso Shots,Starbucks Doubleshot® on Ice,2019-10-01,2019
2122330,Drinks,Cold Coffees,Iced Espresso Shots,Starbucks® Blonde Doubleshot® On Ice,2019-10-01,2019
2122308,Drinks,Cold Coffees,Iced Flat Whites,Nitro Flat White,2019-10-01,2019
565,Drinks,Cold Coffees,Iced Flat Whites,Iced Flat White,2019-10-01,2019
418,Drinks,Cold Coffees,Iced Lattes,Iced Pumpkin Spice Latte,2019-10-01,2019
2123106,Drinks,Cold Coffees,Iced Lattes,Starbucks® Blonde Iced Pumpkin Spice Latte,2019-10-01,2019
2122614,Drinks,Cold Coffees,Iced Lattes,Starbucks Reserve® Iced Latte,2019-10-01,2019
2122617,Drinks,Cold Coffees,Iced Lattes,Starbucks Reserve® Iced Hazelnut Bianco Latte,2019-10-01,2019
407,Drinks,Cold Coffees,Iced Lattes,Iced Caffè Latte,2019-10-01,2019
414,Drinks,Cold Coffees,Iced Lattes,Iced Cinnamon Dolce Latte,2019-10-01,2019
774,Drinks,Cold Coffees,Iced Lattes,Iced Skinny Cinnamon Dolce Latte,2019-10-01,2019
2122166,Drinks,Cold Coffees,Iced Lattes,Iced Starbucks® Blonde Caffè Latte,2019-10-01,2019
2122164,Drinks,Cold Coffees,Iced Lattes,Iced Starbucks® Blonde Vanilla Latte,2019-10-01,2019
2123059,Drinks,Cold Coffees,Iced Macchiatos,Iced Cocoa Cloud Macchiato,2019-10-01,2019
2123060,Drinks,Cold Coffees,Iced Macchiatos,Iced Starbucks® Blonde Cocoa Cloud Macchiato,2019-10-01,2019
2123006,Drinks,Cold Coffees,Iced Macchiatos,Iced Caramel Cloud Macchiato,2019-10-01,2019
2123007,Drinks,Cold Coffees,Iced Macchiatos,Iced Starbucks® Blonde Caramel Cloud Macchiato,2019-10-01,2019
413,Drinks,Cold Coffees,Iced Macchiatos,Iced Caramel Macchiato,2019-10-01,2019
761,Drinks,Cold Coffees,Iced Mochas,Iced Salted Caramel Mocha,2019-10-01,2019
2123117,Drinks,Cold Coffees,Iced Mochas,Starbucks® Blonde Iced Salted Caramel Mocha,2019-10-01,2019
2122615,Drinks,Cold Coffees,Iced Mochas,Starbucks Reserve® Iced Dark Chocolate Mocha,2019-10-01,2019
408,Drinks,Cold Coffees,Iced Mochas,Iced Caffè Mocha,2019-10-01,2019
883,Drinks,Cold Coffees,Iced Mochas,Iced Skinny Mocha,2019-10-01,2019
420,Drinks,Cold Coffees,Iced Mochas,Iced White Chocolate Mocha,2019-10-01,2019
2123115,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Guatemala Antigua Santa Clara Estate Clover® Starbucks Reserve®,2019-10-01,2019
2121525,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Hawaii Ka'u Clover® Starbucks Reserve®,2019-10-01,2019
2122090,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Sun-dried Ethiopia Yirgacheffe® Chelelektu Clover® Starbucks Reserve®,2019-10-01,2019
2123062,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® Bali Batur Volcano Starbucks Reserve®,2019-10-01,2019
2123061,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® Peru El Lirio Starbucks Reserve®,2019-10-01,2019
2122379,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® East Timor Peaberry Starbucks Reserve®,2019-10-01,2019
2121958,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® Malawi Sable Farms Starbucks Reserve®,2019-10-01,2019
2121581,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Breakfast Blend Clover®,2019-10-01,2019
2121636,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Caffé Verona® Clover®,2019-10-01,2019
2121632,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Decaf Espresso Roast Clover®,2019-10-01,2019
2121748,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Decaf Pike Place® Roast Clover®,2019-10-01,2019
2121582,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Espresso Roast Clover®,2019-10-01,2019
2121598,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® Ethiopia Bitta Farm Starbucks Reserve®,2019-10-01,2019
2121583,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Ethiopia Clover®,2019-10-01,2019
2121584,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced French Roast Clover®,2019-10-01,2019
2121585,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Gold Coast Clover®,2019-10-01,2019
2121586,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Guatemala Antigua Clover®,2019-10-01,2019
2121587,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Italian Roast Clover®,2019-10-01,2019
2121588,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Kenya Clover®,2019-10-01,2019
2122377,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Komodo Dragon Clover®,2019-10-01,2019
2122412,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Clover® Costa Rica La Candelilla Starbucks Reserve®,2019-10-01,2019
2121629,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Pike Place® Roast Clover®,2019-10-01,2019
2121635,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Veranda Blend® Clover®,2019-10-01,2019
2121631,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Organic Yukon Blend® Clover®,2019-10-01,2019
2121637,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Willow Blend® Clover®,2019-10-01,2019
2121633,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Decaf Sumatra Clover®,2019-10-01,2019
2121630,Drinks,Cold Coffees,Iced Clover® Brewed Coffees,Iced Sumatra Clover®,2019-10-01,2019
466,Drinks,Iced Teas,Iced Chai Teas,Iced Chai Tea Latte,2019-10-01,2019
2123082,Drinks,Iced Teas,Iced Black Teas,Iced Blueberry Black Tea,2019-10-01,2019
2123080,Drinks,Iced Teas,Iced Black Teas,Iced Blueberry Black Tea Lemonade,2019-10-01,2019
457,Drinks,Iced Teas,Iced Black Teas,Iced Black Tea,2019-10-01,2019
458,Drinks,Iced Teas,Iced Black Teas,Iced Black Tea Lemonade,2019-10-01,2019
465,Drinks,Iced Teas,Iced Black Teas,Iced Royal English Breakfast Tea Latte,2019-10-01,2019
477,Drinks,Iced Teas,Iced Black Teas,Iced London Fog Tea Latte,2019-10-01,2019
2123077,Drinks,Iced Teas,Iced Green Teas,Iced Peach Green Tea,2019-10-01,2019
2123074,Drinks,Iced Teas,Iced Green Teas,Iced Peach Green Tea Lemonade,2019-10-01,2019
468,Drinks,Iced Teas,Iced Green Teas,Iced Matcha Green Tea Latte,2019-10-01,2019
459,Drinks,Iced Teas,Iced Green Teas,Iced Green Tea,2019-10-01,2019
460,Drinks,Iced Teas,Iced Green Teas,Iced Green Tea Lemonade,2019-10-01,2019
2122376,Drinks,Iced Teas,Iced Green Teas,Matcha Lemonade,2019-10-01,2019
461,Drinks,Iced Teas,Iced Herbal Teas,Iced Passion Tango™ Tea,2019-10-01,2019
462,Drinks,Iced Teas,Iced Herbal Teas,Iced Passion Tango™ Tea Lemonade,2019-10-01,2019
2123079,Drinks,Iced Teas,Iced White Teas,Iced Guava White Tea,2019-10-01,2019
2123078,Drinks,Iced Teas,Iced White Teas,Iced Guava White Tea Lemonade,2019-10-01,2019
2122189,Drinks,Iced Teas,Iced White Teas,Iced White Tea,2019-10-01,2019
2122190,Drinks,Iced Teas,Iced White Teas,Iced White Tea Lemonade,2019-10-01,2019
2123114,Drinks,Iced Teas,Bottled Teas,Teavana(TM/MC) Sparkling Blood Orange Mango White Tea,2019-10-01,2019
2122722,Drinks,Iced Teas,Bottled Teas,Teavana® Pineapple Berry Iced Tea,2019-10-01,2019
2122247,Drinks,Iced Teas,Bottled Teas,Teavana® Mango Black Tea,2019-10-01,2019
2122756,Drinks,Cold Drinks,Starbucks Refreshers™,Dragon Drink,2019-10-01,2019
2122725,Drinks,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Starbucks Refreshers® Beverage,2019-10-01,2019
2122726,Drinks,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,2019-10-01,2019
2122677,Drinks,Cold Drinks,Starbucks Refreshers™,Strawberry Acai Lemonade Starbucks Refreshers®,2019-10-01,2019
2122679,Drinks,Cold Drinks,Starbucks Refreshers™,Very Berry Hibiscus Lemonade Starbucks Refreshers®,2019-10-01,2019
2122275,Drinks,Cold Drinks,Starbucks Refreshers™,Pink Drink,2019-10-01,2019
2121342,Drinks,Cold Drinks,Starbucks Refreshers™,Strawberry Acai Starbucks Refreshers™,2019-10-01,2019
968,Drinks,Cold Drinks,Starbucks Refreshers™,Very Berry Hibiscus Starbucks Refreshers™,2019-10-01,2019
2122375,Drinks,Cold Drinks,Starbucks Refreshers™,Violet Drink,2019-10-01,2019
1225,Drinks,Cold Drinks,Starbucks Refreshers™,Starbucks Refreshers™ Blueberry Acai,2019-10-01,2019
2122705,Drinks,Cold Drinks,Juice,Evolution Fresh® Organic Strawberry Lemonade,2019-10-01,2019
2122702,Drinks,Cold Drinks,Juice,Evolution Fresh® Organic Defense Up,2019-10-01,2019
2122701,Drinks,Cold Drinks,Juice,Evolution Fresh® Orange,2019-10-01,2019
2122699,Drinks,Cold Drinks,Juice,Evolution Fresh® Organic Super Fruit Greens,2019-10-01,2019
2122697,Drinks,Cold Drinks,Juice,Evolution Fresh® Organic Green Devotion,2019-10-01,2019
2122704,Drinks,Cold Drinks,Juice,Evolution Fresh® Watermelon,2019-10-01,2019
873068637,Drinks,Cold Drinks,Juice,Tree Top Apple Juice Box,2019-10-01,2019
873068639,Drinks,Cold Drinks,Juice,Lemonade,2019-10-01,2019
2121242,Drinks,Cold Drinks,Juice,San Pellegrino® Blood Orange,2019-10-01,2019
873068641,Drinks,Cold Drinks,Juice,Blended Strawberry Lemonade,2019-10-01,2019
2121858,Drinks,Cold Drinks,Juice,San Pellegrino® Limonata,2019-10-01,2019
2121286,Drinks,Cold Drinks,Milk,Horizon Chocolate Organic Milk,2019-10-01,2019
2121281,Drinks,Cold Drinks,Milk,Horizon Organic Lowfat Milk,2019-10-01,2019
490,Drinks,Cold Drinks,Milk,Milk,2019-10-01,2019
2122581,Drinks,Cold Drinks,Milk,Horizon Vanilla Milk,2019-10-01,2019
2122832,Drinks,Cold Drinks,Sparkling Water,Galvanina Sparkling Water,2019-10-01,2019
2122640,Drinks,Cold Drinks,Sparkling Water,Spindrift Grapefruit Sparkling Water,2019-10-01,2019
2122638,Drinks,Cold Drinks,Sparkling Water,Spindrift Raspberry Lime Sparkling Water,2019-10-01,2019
2122833,Drinks,Cold Drinks,Sparkling Water,Galvanina Sparkling Water - Lime,2019-10-01,2019
873068636,Drinks,Cold Drinks,Water,Ethos® Bottled Water,2019-10-01,2019
2123023,Drinks,Cold Drinks,Water,Hawaii Volcanic Water,2019-10-01,2019
2122765,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,Smoked Shoulder Bacon Breakfast Sandwich,2019-10-01,2019
369,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Bacon, Gouda & Egg Sandwich",2019-10-01,2019
2121219,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Double-Smoked Bacon, Cheddar & Egg Sandwich",2019-10-01,2019
368,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,Reduced-Fat Turkey Bacon & Cage Free Egg White Sandwich,2019-10-01,2019
367,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Sausage, Cheddar & Egg Sandwich",2019-10-01,2019
1201,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Roasted Ham, Swiss & Egg Sandwich",2019-10-01,2019
371,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Spinach, Feta & Cage Free Egg White Wrap",2019-10-01,2019
2122540,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,Chicken Sausage & Bacon Biscuit,2019-10-01,2019
2122257,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,Avocado Spread,2019-10-01,2019
2121719,Food,Hot Breakfast,Breakfast Sandwiches & Wraps,"Spicy Chorizo, Monterey Jack & Egg Sandwich",2019-10-01,2019
2122936,Food,Hot Breakfast,Egg Bites,"Sous Vide Egg Bites: Ham, Cheddar & Peppers",2019-10-01,2019
2122116,Food,Hot Breakfast,Egg Bites,Sous Vide Egg Bites: Bacon & Gruyere,2019-10-01,2019
2122117,Food,Hot Breakfast,Egg Bites,Sous Vide Egg Bites: Egg White & Red Pepper,2019-10-01,2019
301,Food,Hot Breakfast,Oatmeal,Classic Oatmeal,2019-10-01,2019
994,Food,Hot Breakfast,Oatmeal,Hearty Blueberry Oatmeal,2019-10-01,2019
321,Food,Bakery,Bagels,Plain Bagel,2019-10-01,2019
2121672,Food,Bakery,Bagels,Blueberry Bagel,2019-10-01,2019
340,Food,Bakery,Bagels,Chonga Bagel,2019-10-01,2019
2121804,Food,Bakery,Bagels,Cinnamon Raisin Bagel,2019-10-01,2019
2121661,Food,Bakery,Bagels,Everybody's Favorite - Bantam Bagel (2 Pack),2019-10-01,2019
324,Food,Bakery,Bagels,Everything Bagel,2019-10-01,2019
2121662,Food,Bakery,Bagels,French Toast - Bantam Bagels (2 Pack),2019-10-01,2019
2122199,Food,Bakery,Bagels,Sprouted Grain Vegan Bagel,2019-10-01,2019
2121659,Food,Bakery,Bagels,The Classic - Bantam Bagels (2 Pack),2019-10-01,2019
2122257,Food,Bakery,Bagels,Avocado Spread,2019-10-01,2019
2122774,Food,Bakery,Cakes & Pies,Cat Cake Pop,2019-10-01,2019
2122321,Food,Bakery,Cakes & Pies,Strawberry Cake Pop,2019-10-01,2019
2122943,Food,Bakery,Cakes & Pies,Blueberry Oat Cake,2019-10-01,2019
1015,Food,Bakery,Cakes & Pies,Chocolate Cake Pop,2019-10-01,2019
2121664,Food,Bakery,Cakes & Pies,Chocolate Chip Cookie Dough Cake Pop,2019-10-01,2019
1021,Food,Bakery,Cakes & Pies,Classic Coffee Cake,2019-10-01,2019
1254,Food,Bakery,Cakes & Pies,Iced Lemon Loaf Cake,2019-10-01,2019
2122723,Food,Bakery,Cookies & Brownies,Confetti Sugar Cookie,2019-10-01,2019
2122714,Food,Bakery,Cookies & Brownies,Chocolate Chip Cookie,2019-10-01,2019
1130,Food,Bakery,Cookies & Brownies,Double Chocolate Chunk Brownie,2019-10-01,2019
1131,Food,Bakery,Croissants,Almond Croissant,2019-10-01,2019
1033,Food,Bakery,Croissants,Butter Croissant,2019-10-01,2019
1040,Food,Bakery,Croissants,Cheese Danish,2019-10-01,2019
1028,Food,Bakery,Croissants,Chocolate Croissant,2019-10-01,2019
