hospital,fac_name
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE","MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE"
MARINHEALTH MEDICAL CENTER,MARINHEALTH MEDICAL CENTER
MARK TWAIN MEDICAL CENTER,MARK TWAIN MEDICAL CENTER
MARSHALL MEDICAL CENTER,MARSHALL MEDICAL CENTER
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL"
MEMORIAL HOSPITAL LOS BANOS,MEMORIAL HOSPITAL LOS BANOS
MEMORIAL HOSPITAL OF GARDENA,MEMORIAL HOSPITAL OF GARDENA
,MEMORIAL MEDICAL CENTER - MODESTO
,MEMORIALCARE LONG BEACH MEDICAL CENTER
,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH
MEMORIALCARE ORANGE COAST MEDICAL CENTER,MEMORIALCARE ORANGE COAST MEDICAL CENTER
MEMORIALCARE SADDLEBACK MEDICAL CENTER,MEMORIALCARE SADDLEBACK MEDICAL CENTER
,MENDOCINO COAST DISTRICT HOSPITAL
MENIFEE GLOBAL MEDICAL CENTER,MENIFEE GLOBAL MEDICAL CENTER
MERCY GENERAL HOSPITAL,MERCY GENERAL HOSPITAL
,MERCY HOSPITAL - BAKERSFIELD
MERCY HOSPITAL OF FOLSOM,MERCY HOSPITAL OF FOLSOM
,MERCY MEDICAL CENTER - MERCED
,MERCY MEDICAL CENTER - REDDING
,MERCY MEDICAL CENTER MT. SHASTA
,MERCY SAN JUAN HOSPITAL
,MERCY SOUTHWEST HOSPITAL
METHODIST HOSPITAL OF SACRAMENTO,METHODIST HOSPITAL OF SACRAMENTO
,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA
MILLS-PENINSULA MEDICAL CENTER,MILLS-PENINSULA MEDICAL CENTER
,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS
,MISSION HOSPITAL LAGUNA BEACH
,MISSION HOSPITAL REGIONAL MEDICAL CENTER
MONROVIA MEMORIAL HOSPITAL,MONROVIA MEMORIAL HOSPITAL
MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR HOSPITAL MEDICAL CENTER
MONTEREY PARK HOSPITAL,MONTEREY PARK HOSPITAL
NATIVIDAD MEDICAL CENTER,NATIVIDAD MEDICAL CENTER
NORTHBAY MEDICAL CENTER,NORTHBAY MEDICAL CENTER
,NORTHBAY VACAVALLEY HOSPITAL
NORTHERN INYO HOSPITAL,NORTHERN INYO HOSPITAL
NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE HOSPITAL MEDICAL CENTER
,NORWALK COMMUNITY HOSPITAL
NOVATO COMMUNITY HOSPITAL,NOVATO COMMUNITY HOSPITAL
,O'CONNOR HOSPITAL
OAK VALLEY HOSPITAL DISTRICT,OAK VALLEY HOSPITAL DISTRICT
,OJAI VALLEY COMMUNITY HOSPITAL
OLYMPIA MEDICAL CENTER,OLYMPIA MEDICAL CENTER
ORANGE COUNTY GLOBAL MEDICAL CENTER,ORANGE COUNTY GLOBAL MEDICAL CENTER
ORCHARD HOSPITAL,ORCHARD HOSPITAL
OROVILLE HOSPITAL,OROVILLE HOSPITAL
PACIFICA HOSPITAL OF THE VALLEY,PACIFICA HOSPITAL OF THE VALLEY
PALMDALE REGIONAL MEDICAL CENTER,PALMDALE REGIONAL MEDICAL CENTER
,PALO VERDE HOSPITAL
PALOMAR HEALTH DOWNTOWN CAMPUS,PALOMAR HEALTH DOWNTOWN CAMPUS
,PALOMAR MEDICAL CENTER
PARADISE VALLEY HOSPITAL,PARADISE VALLEY HOSPITAL
,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
PETALUMA VALLEY HOSPITAL,PETALUMA VALLEY HOSPITAL
,PIH HEALTH HOSPITAL - DOWNEY
,PIH HEALTH HOSPITAL - WHITTIER
PIONEERS MEMORIAL HEALTHCARE DISTRICT,PIONEERS MEMORIAL HEALTHCARE DISTRICT
PLACENTIA LINDA HOSPITAL,PLACENTIA LINDA HOSPITAL
,POMERADO HOSPITAL
POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA VALLEY HOSPITAL MEDICAL CENTER
,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER
,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER
PROVIDENCE HOLY CROSS MEDICAL CENTER,PROVIDENCE HOLY CROSS MEDICAL CENTER
,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO
,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE
PROVIDENCE SAINT JOHN'S HEALTH CENTER,PROVIDENCE SAINT JOHN'S HEALTH CENTER
,PROVIDENCE SAINT JOSEPH MEDICAL CENTER
QUEEN OF THE VALLEY MEDICAL CENTER,QUEEN OF THE VALLEY MEDICAL CENTER
RADY CHILDREN'S HOSPITAL - SAN DIEGO,RADY CHILDREN'S HOSPITAL - SAN DIEGO
REDLANDS COMMUNITY HOSPITAL,REDLANDS COMMUNITY HOSPITAL
,REDWOOD MEMORIAL HOSPITAL
,REGIONAL MEDICAL OF SAN JOSE
RIDGECREST REGIONAL HOSPITAL,RIDGECREST REGIONAL HOSPITAL
RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE COMMUNITY HOSPITAL
,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER
,RONALD REAGAN UCLA MEDICAL CENTER
,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE
SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS VALLEY MEMORIAL HOSPITAL
SAN ANTONIO REGIONAL HOSPITAL,SAN ANTONIO REGIONAL HOSPITAL
SAN DIMAS COMMUNITY HOSPITAL,SAN DIMAS COMMUNITY HOSPITAL
SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL VALLEY MEDICAL CENTER
SAN GORGONIO MEMORIAL HOSPITAL,SAN GORGONIO MEMORIAL HOSPITAL
SAN JOAQUIN GENERAL HOSPITAL,SAN JOAQUIN GENERAL HOSPITAL
,SAN LEANDRO HOSPITAL
SAN MATEO MEDICAL CENTER,SAN MATEO MEDICAL CENTER
SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON REGIONAL MEDICAL CENTER
SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA COTTAGE HOSPITAL
SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA VALLEY MEDICAL CENTER
,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL
,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY
SCRIPPS GREEN HOSPITAL,SCRIPPS GREEN HOSPITAL
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS
,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA
SCRIPPS MERCY HOSPITAL,SCRIPPS MERCY HOSPITAL
,SCRIPPS MERCY HOSPITAL - CHULA VISTA
SEQUOIA HOSPITAL,SEQUOIA HOSPITAL
SETON MEDICAL CENTER,SETON MEDICAL CENTER
SHARP CHULA VISTA MEDICAL CENTER,SHARP CHULA VISTA MEDICAL CENTER
,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER
SHARP MEMORIAL HOSPITAL,SHARP MEMORIAL HOSPITAL
SHASTA REGIONAL MEDICAL CENTER,SHASTA REGIONAL MEDICAL CENTER
SHERMAN OAKS HOSPITAL,SHERMAN OAKS HOSPITAL
,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.
SIERRA NEVADA MEMORIAL HOSPITAL,SIERRA NEVADA MEMORIAL HOSPITAL
SIERRA VIEW MEDICAL CENTER,SIERRA VIEW MEDICAL CENTER
SIERRA VISTA REGIONAL MEDICAL CENTER,SIERRA VISTA REGIONAL MEDICAL CENTER
SONOMA SPECIALTY HOSPITAL,SONOMA SPECIALTY HOSPITAL
SONOMA VALLEY HOSPITAL,SONOMA VALLEY HOSPITAL
SOUTH COAST GLOBAL MEDICAL CENTER,SOUTH COAST GLOBAL MEDICAL CENTER
,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD
,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA
,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR
,ST. AGNES MEDICAL CENTER
,ST. BERNARDINE MEDICAL CENTER
,ST. ELIZABETH COMMUNITY HOSPITAL
,ST. FRANCIS MEMORIAL HOSPITAL
,ST. JOHN'S PLEASANT VALLEY HOSPITAL
,ST. JOHN'S REGIONAL MEDICAL CENTER
,ST. JOSEPH HOSPITAL - EUREKA
,ST. JOSEPH HOSPITAL - ORANGE
,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON
,ST. JUDE MEDICAL CENTER
,ST. LOUISE REGIONAL HOSPITAL
,ST. MARY MEDICAL CENTER - APPLE VALLEY
,ST. MARY MEDICAL CENTER - LONG BEACH
,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO"
,ST. ROSE HOSPITAL
STANFORD HEALTH CARE,STANFORD HEALTH CARE
STANFORD HEALTH CARE,STANFORD HEALTH CARE
STANFORD HEALTH CARE - VALLEYCARE,STANFORD HEALTH CARE - VALLEYCARE
SUTTER AMADOR HOSPITAL,SUTTER AMADOR HOSPITAL
SUTTER AUBURN FAITH HOSPITAL,SUTTER AUBURN FAITH HOSPITAL
SUTTER COAST HOSPITAL,SUTTER COAST HOSPITAL
SUTTER DAVIS HOSPITAL,SUTTER DAVIS HOSPITAL
SUTTER DELTA MEDICAL CENTER,SUTTER DELTA MEDICAL CENTER
SUTTER LAKESIDE HOSPITAL,SUTTER LAKESIDE HOSPITAL
"SUTTER MEDICAL CENTER, SACRAMENTO","SUTTER MEDICAL CENTER, SACRAMENTO"
SUTTER ROSEVILLE MEDICAL CENTER,SUTTER ROSEVILLE MEDICAL CENTER
SUTTER SANTA ROSA REGIONAL HOSPITAL,SUTTER SANTA ROSA REGIONAL HOSPITAL
SUTTER SOLANO MEDICAL CENTER,SUTTER SOLANO MEDICAL CENTER
SUTTER TRACY COMMUNITY HOSPITAL,SUTTER TRACY COMMUNITY HOSPITAL
TAHOE FOREST HOSPITAL,TAHOE FOREST HOSPITAL
TEMECULA VALLEY HOSPITAL,TEMECULA VALLEY HOSPITAL
TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE MEMORIAL MEDICAL CENTER
TRI-CITY MEDICAL CENTER,TRI-CITY MEDICAL CENTER
TWIN CITIES COMMUNITY HOSPITAL,TWIN CITIES COMMUNITY HOSPITAL
,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER
,UCSD HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER
UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND
UCSF MEDICAL CENTER,UCSF MEDICAL CENTER
,UCSF MEDICAL CENTER AT MISSION BAY
,UCSF MEDICAL CENTER AT MOUNT ZION
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER
,"USC KENNETH NORRIS, JR. CANCER HOSPITAL"
USC VERDUGO HILLS HOSPITAL,USC VERDUGO HILLS HOSPITAL
VALLEY CHILDREN'S HOSPITAL,VALLEY CHILDREN'S HOSPITAL
,VALLEY MEMORIAL HOSPITAL
VALLEY PRESBYTERIAN HOSPITAL,VALLEY PRESBYTERIAN HOSPITAL
VENTURA COUNTY MEDICAL CENTER,VENTURA COUNTY MEDICAL CENTER
,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA  HOSPITAL
,VIBRA HOSPITAL OF SACRAMENTO
VIBRA HOSPITAL OF SAN DIEGO,VIBRA HOSPITAL OF SAN DIEGO
VICTOR VALLEY GLOBAL MEDICAL CENTER,VICTOR VALLEY GLOBAL MEDICAL CENTER
,WASHINGTON HOSPITAL - FREMONT
WATSONVILLE COMMUNITY HOSPITAL,WATSONVILLE COMMUNITY HOSPITAL
WEST ANAHEIM MEDICAL CENTER,WEST ANAHEIM MEDICAL CENTER
,WEST HILLS HOSPITAL AND MEDICAL CENTER
WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER HOSPITAL MEDICAL CENTER
WOODLAND MEMORIAL HOSPITAL,WOODLAND MEMORIAL HOSPITAL
