,fac_name,fac_str_addr,county,total_beds,icu_beds,icu_occupancy_rate_2018
157,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,16453 COLORADO AVENUE,Los Angeles,177.0,7.0,127.0
158,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 NORTH GAREY AVENUE,Los Angeles,412.0,38.0,74.0
159,PIH HEALTH HOSPITAL - WHITTIER,12401 WASHINGTON BLVD.,Los Angeles,523.0,48.0,24.0
160,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,1115 SOUTH SUNSET AVENUE,Los Angeles,325.0,12.0,90.0
162,SILVER LAKE MEDICAL CENTER - DOWNTOWN CAMPUS,1711 WEST TEMPLE STREET,Los Angeles,234.0,12.0,18.0
163,SAN DIMAS COMMUNITY HOSPITAL,1350 WEST COVINA BOULEVARD,Los Angeles,101.0,8.0,39.0
164,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,1300 WEST SEVENTH STREET,Los Angeles,356.0,12.0,51.0
166,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,1250 16TH STREET,Los Angeles,281.0,22.0,71.0
167,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,Los Angeles,231.0,7.0,29.0
168,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BOULEVARD,Los Angeles,153.0,8.0,101.0
169,ST. FRANCIS MEDICAL CENTER,3630 E. IMPERIAL HIGHWAY,Los Angeles,384.0,36.0,
170,PROVIDENCE SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD.,Los Angeles,266.0,23.0,67.0
171,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,501 S BUENA VISTA STREET,Los Angeles,392.0,38.0,78.0
172,ST. VINCENT MEDICAL CENTER,2131 WEST 3RD STREET,Los Angeles,366.0,67.0,11.0
173,COAST PLAZA HOSPITAL,13100 STUDEBAKER ROAD,Los Angeles,117.0,4.0,112.0
175,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,Los Angeles,445.0,120.0,101.0
176,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN STREET,Los Angeles,350.0,30.0,53.0
177,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BOULEVARD,Los Angeles,158.0,6.0,100.0
179,WEST HILLS HOSPITAL AND MEDICAL CENTER,"7300 MEDICAL CENTER DRIVE, BLDG A",Los Angeles,260.0,25.0,61.0
180,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E. CHAVEZ AVENUE,Los Angeles,353.0,39.0,34.0
181,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA ROAD,Los Angeles,178.0,16.0,47.0
183,HENRY MAYO NEWHALL HOSPITAL,23845 MCBEAN PARKWAY,Los Angeles,238.0,12.0,83.0
185,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",1441 EASTLAKE AVENUE,Los Angeles,60.0,13.0,16.0
187,LAC/HARBOR-UCLA MEDICAL CENTER,1000 WEST CARSON STREET,Los Angeles,453.0,44.0,69.0
188,LAC+USC MEDICAL CENTER,"1200 NORTH STATE STREET, ROOM C2K100",Los Angeles,676.0,130.0,58.0
189,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1680 EAST 120TH STREET,Los Angeles,131.0,20.0,30.0
190,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,Los Angeles,355.0,42.0,25.0
191,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,7601 EAST IMPERIAL HIGHWAY,Los Angeles,239.0,12.0,21.0
192,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,5601 DE SOTO AVENUE,Los Angeles,280.0,22.0,27.0
194,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,Los Angeles,401.0,84.0,78.0
197,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD.,Los Angeles,272.0,12.0,68.0
198,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,2801 ATLANTIC AVENUE,Los Angeles,357.0,30.0,36.0
199,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,Los Angeles,352.0,38.0,33.0
201,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,Los Angeles,184.0,24.0,47.0
204,MADERA COMMUNITY HOSPITAL,1250 EAST ALMOND AVENUE,Madera,106.0,10.0,52.0
205,VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,Madera,358.0,42.0,50.0
206,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,99 MONTECILLO ROAD,Marin,116.0,12.0,48.0
208,MARIN GENERAL HOSPITAL,250 BON AIR ROAD,Marin,235.0,14.0,71.0
209,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,Marin,47.0,4.0,84.0
211,MENDOCINO COAST DISTRICT HOSPITAL,700 RIVER DRIVE,Mendocino,49.0,4.0,32.0
212,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,Mendocino,68.0,6.0,71.0
213,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DRIVE,Mendocino,25.0,4.0,77.0
214,MEMORIAL HOSPITAL LOS BANOS,520 WEST I STREET,Merced,40.0,4.0,35.0
215,MERCY MEDICAL CENTER - MERCED,333  MERCY AVENUE,Merced,186.0,20.0,55.0
219,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD,Mono,17.0,2.0,10.0
220,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W. R. HOLMAN HIGHWAY,Monterey,258.0,10.0,35.0
221,GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,Monterey,80.0,4.0,13.0
222,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,Monterey,263.0,6.0,91.0
223,NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BOULEVARD,Monterey,172.0,10.0,75.0
224,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS STREET,Napa,208.0,36.0,28.0
225,ADVENTIST HEALTH ST. HELENA,10 WOODLAND RD.,Napa,151.0,12.0,56.0
227,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,Nevada,104.0,2.0,93.0
228,TAHOE FOREST HOSPITAL,10121 PINE AVE,Nevada,72.0,6.0,55.0
229,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1201 WEST LA VETA AVENUE,Orange,334.0,54.0,48.0
230,MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVENUE,Orange,218.0,21.0,82.0
231,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 WEST LA PALMA AVENUE,Orange,223.0,22.0,42.0
232,KINDRED HOSPITAL - BREA,875 NORTH BREA BOULEVARD,Orange,86.0,4.0,98.0
233,CHAPMAN GLOBAL MEDICAL CENTER,2601 EAST CHAPMAN AVENUE,Orange,114.0,12.0,28.0
235,KINDRED HOSPITAL - SANTA ANA,1901 COLLEGE AVENUE,Orange,54.0,7.0,69.0
236,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - EUCLID,17100 EUCLID STREET,Orange,293.0,36.0,71.0
237,ANAHEIM GLOBAL MEDICAL CENTER,1025 SOUTH ANAHEIM BLVD.,Orange,189.0,22.0,40.0
238,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,1 HOAG DRIVE,Orange,434.0,19.0,59.0
239,HUNTINGTON BEACH HOSPITAL,17772 BEACH BOULEVARD,Orange,131.0,6.0,73.0
240,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,Orange,140.0,4.0,99.0
241,LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVENUE,Orange,163.0,9.0,97.0
242,SOUTH COAST GLOBAL MEDICAL CENTER,2701 S. BRISTOL STREET,Orange,178.0,9.0,42.0
243,MISSION HOSPITAL REGIONAL MEDICAL CENTER,27700 MEDICAL CENTER ROAD,Orange,345.0,36.0,41.0
244,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,101 CITY DRIVE SOUTH,Orange,417.0,60.0,88.0
245,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,12601 GARDEN GROVE BLVD.,Orange,167.0,12.0,53.0
246,PLACENTIA LINDA HOSPITAL,1301 NORTH ROSE DRIVE,Orange,114.0,4.0,42.0
248,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,Orange,252.0,31.0,44.0
249,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,Orange,73.0,7.0,
250,MISSION HOSPITAL LAGUNA BEACH,31872 COAST HIGHWAY,Orange,178.0,10.0,18.0
251,ST. JOSEPH HOSPITAL - ORANGE,1100 WEST STEWART DRIVE,Orange,463.0,32.0,57.0
252,ST. JUDE MEDICAL CENTER,101 EAST VALENCIA MESA DRIVE,Orange,320.0,51.0,35.0
253,FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVENUE,Orange,177.0,15.0,41.0
254,WEST ANAHEIM MEDICAL CENTER,3033 WEST ORANGE AVENUE,Orange,219.0,10.0,93.0
255,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,Orange,109.0,16.0,80.0
256,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,Orange,282.0,42.0,56.0
259,HOAG HOSPITAL IRVINE,16200 SAND CANYON AVENUE,Orange,84.0,12.0,33.0
261,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CTR. RD., 5TH FL",Orange,54.0,8.0,27.0
263,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,6640 ALTON PARKWAY,Orange,222.0,20.0,64.0
264,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,3440 E LA PALMA AVE,Orange,262.0,40.0,41.0
267,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,Placer,64.0,4.0,71.0
268,SUTTER ROSEVILLE MEDICAL CENTER,1 MEDICAL PLAZA DRIVE,Placer,328.0,24.0,77.0
269,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,Placer,340.0,30.0,59.0
276,CORONA REGIONAL MEDICAL CENTER-MAIN,800 SOUTH MAIN STREET,Riverside,160.0,18.0,50.0
277,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,Riverside,385.0,23.0,102.0
278,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,Riverside,463.0,64.0,26.0
279,HEMET VALLEY MEDICAL CENTER,1117 EAST DEVONSHIRE,Riverside,417.0,18.0,82.0
280,JOHN F KENNEDY MEMORIAL HOSPITAL,47111 MONROE STREET,Riverside,145.0,16.0,43.0
282,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,Riverside,51.0,4.0,1.0
283,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,Riverside,193.0,13.0,58.0
284,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,Riverside,478.0,75.0,64.0
285,SAN GORGONIO MEMORIAL HOSPITAL,600 N. HIGHLAND SPRINGS AVENUE,Riverside,79.0,16.0,24.0
286,KINDRED HOSPITAL - RIVERSIDE,2224 MEDICAL CENTER DRIVE,Riverside,40.0,8.0,75.0
287,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,36485 INLAND VALLEY,Riverside,130.0,18.0,50.0
288,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL BOULEVARD,Riverside,84.0,6.0,87.0
289,KAISER FOUNDATION HOSPITAL - RIVERSIDE,10800 MAGNOLIA AVENUE,Riverside,226.0,11.0,61.0
290,KAISER FOUNDATION HOSPITAL - MORENO VALLEY,27300 IRIS AVENUE,Riverside,94.0,5.0,64.0
291,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,25500 MEDICAL CENTER DRIVE,Riverside,120.0,7.0,38.0
293,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER,26520 CACTUS AVENUE,Riverside,439.0,44.0,60.0
295,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,Riverside,140.0,20.0,49.0
296,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,Riverside,112.0,12.0,77.0
297,KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,Sacramento,287.0,25.0,106.0
298,MERCY GENERAL HOSPITAL,4001 J STREET,Sacramento,419.0,46.0,55.0
299,MERCY SAN JUAN HOSPITAL,6501 COYLE AVENUE,Sacramento,370.0,45.0,86.0
300,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,Sacramento,329.0,10.0,83.0
301,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,Sacramento,625.0,116.0,77.0
302,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVE,Sacramento,523.0,80.0,71.0
303,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,6600 BRUCEVILLE ROAD,Sacramento,217.0,30.0,71.0
308,MERCY HOSPITAL OF FOLSOM,1650 CREEKSIDE DRIVE,Sacramento,106.0,8.0,76.0
309,VIBRA HOSPITAL OF SACRAMENTO,330 MONTROSE DRIVE,Sacramento,58.0,6.0,66.0
310,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.,2425 STOCKTON BLVD,Sacramento,80.0,10.0,53.0
313,HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DRIVE,San Benito,106.0,8.0,33.0
315,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVENUE,San Bernardino,112.0,14.0,24.0
316,MONTCLAIR HOSPITAL MEDICAL CENTER,5000 SAN BERNARDINO STREET,San Bernardino,106.0,8.0,27.0
317,KAISER FOUNDATION HOSPITAL - FONTANA,9961 SIERRA AVENUE,San Bernardino,450.0,60.0,69.0
318,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,San Bernardino,134.0,8.0,64.0
319,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET,San Bernardino,371.0,90.0,95.0
321,KINDRED HOSPITAL - ONTARIO,550 NORTH MONTEREY AVENUE,San Bernardino,91.0,7.0,86.0
