hospital,hospital_subtype,ccn,week,county,fips,total_beds,total_staffed_adult_icu_beds,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
Monterey Park Hospital,Short Term,050736,2021-01-01,Los Angeles,037,110.0,8.0,7.0,0.0,1.0,53.0,79.0,0.67,Southern California
Corona Regional Medical Center,Short Term,050329,2021-01-01,Riverside,065,214.0,40.0,32.0,2.0,0.95,120.0,180.0,0.67,Southern California
La Palma Intercommunity Hospital,Short Term,050580,2021-01-01,Orange,059,54.0,9.0,8.0,0.0,1.0,29.0,43.0,0.67,Southern California
Olympia Medical Center,Short Term,050742,2021-01-01,Los Angeles,037,110.0,12.0,9.0,1.0,0.92,47.0,70.0,0.67,Southern California
Providence St. Joseph Hospital,Short Term,050069,2021-01-01,Orange,059,426.0,42.0,29.0,2.0,0.95,235.0,354.0,0.66,Southern California
Los Angeles Community Hospital,Short Term,050663,2021-01-01,Los Angeles,037,191.0,19.0,12.0,3.0,0.84,85.0,129.0,0.66,Southern California
Glendale Mem Hospital & Health Center,Short Term,050058,2021-01-01,Los Angeles,037,169.0,28.0,22.0,0.0,1.0,111.0,169.0,0.66,Southern California
Kaiser Foundation Hospital - Woodland Hills,Short Term,050677,2021-01-01,Los Angeles,037,328.0,22.0,18.0,2.0,0.91,113.0,173.0,0.65,Southern California
Fountain Valley Regional Hospital & Medical Center,Short Term,050570,2021-01-01,Orange,059,293.0,38.0,28.0,1.0,0.97,182.0,280.0,0.65,Southern California
White Memorial Medical Center,Short Term,050103,2021-01-01,Los Angeles,037,352.0,35.0,18.0,1.0,0.97,192.0,296.0,0.65,Southern California
"L A Downtown Medical Center, Llc",Short Term,050763,2021-01-01,Los Angeles,037,113.0,12.0,3.0,2.0,0.83,70.0,107.0,0.65,Southern California
Emanate Health Foothill Presbyterian Hospital,Short Term,050597,2021-01-01,Los Angeles,037,103.0,18.0,14.0,0.0,1.0,49.0,75.0,0.65,Southern California
Emanate Health Inter-Community Hospital,Short Term,050382,2021-01-01,Los Angeles,037,469.0,40.0,26.0,4.0,0.9,176.0,274.0,0.64,Southern California
Bear Valley Community Hospital,Critical Access Hospitals,051335,2021-01-01,San Bernardino,071,20.0,0.0,0.0,0.0,,7.0,11.0,0.64,Southern California
Coast Plaza Hospital,Short Term,050771,2021-01-01,Los Angeles,037,76.0,7.0,6.0,0.0,1.0,32.0,50.0,0.64,Southern California
Glendale Adventist Medical Center,Short Term,050239,2021-01-01,Los Angeles,037,324.0,40.0,29.0,0.0,1.0,203.0,315.0,0.64,Southern California
Kaiser Foundation Hospital - South Bay,Short Term,050411,2021-01-01,Los Angeles,037,293.0,49.0,21.0,21.0,0.57,139.0,219.0,0.63,Southern California
Pih Health Hospital-Whittier,Short Term,050169,2021-01-01,Los Angeles,037,480.0,48.0,34.0,5.0,0.9,231.0,364.0,0.63,Southern California
Victor Valley Global Medical Center,Short Term,050517,2021-01-01,San Bernardino,071,101.0,13.0,10.0,2.0,0.85,63.0,101.0,0.62,Southern California
Good Samaritan Hospital,Short Term,050471,2021-01-01,Los Angeles,037,275.0,64.0,30.0,18.0,0.72,160.0,260.0,0.62,Southern California
Loma Linda University Medical Center,Short Term,050327,2021-01-01,San Bernardino,071,441.0,99.0,57.0,1.0,0.99,191.0,307.0,0.62,Southern California
St Mary Medical Center,Short Term,050300,2021-01-01,San Bernardino,071,259.0,23.0,19.0,0.0,1.0,127.0,205.0,0.62,Southern California
Kaiser Foundation Hospital-San Jose,Short Term,050604,2021-01-01,Santa Clara,085,175.0,20.0,16.0,2.0,0.9,97.0,159.0,0.61,Bay Area
San Gorgonio Memorial Hospital,Short Term,050054,2021-01-01,Riverside,065,116.0,23.0,18.0,0.0,1.0,46.0,76.0,0.61,Southern California
Loma Linda University Medical Center-Murrieta,Short Term,050770,2021-01-01,Riverside,065,164.0,12.0,6.0,1.0,0.92,68.0,111.0,0.61,Southern California
El Centro Regional Medical Center,Short Term,050045,2021-01-01,Imperial,025,173.0,46.0,43.0,3.0,0.93,106.0,173.0,0.61,Southern California
"Doctors Hospital of Riverside, Llc",Short Term,050102,2021-01-01,Riverside,065,208.0,29.0,11.0,3.0,0.9,85.0,140.0,0.61,Southern California
Hazel Hawkins Memorial Hospital,Critical Access Hospitals,051337,2021-01-01,San Benito,069,27.0,5.0,4.0,0.0,1.0,14.0,23.0,0.61,San Joaquin Valley
Cedar-Sinai Marina Del Rey Hospital,Short Term,050740,2021-01-01,Los Angeles,037,91.0,16.0,8.0,5.0,0.69,52.0,85.0,0.61,Southern California
Los Alamitos Medical Center,Short Term,050551,2021-01-01,Orange,059,196.0,17.0,17.0,0.0,1.0,110.0,179.0,0.61,Southern California
Riverside University Health System-Medical Center,Short Term,050292,2021-01-01,Riverside,065,383.0,58.0,32.0,3.0,0.95,224.0,371.0,0.6,Southern California
Torrance Memorial Medical Center,Short Term,050351,2021-01-01,Los Angeles,037,521.0,48.0,22.0,6.0,0.88,200.0,332.0,0.6,Southern California
Beverly Hospital,Short Term,050350,2021-01-01,Los Angeles,037,182.0,25.0,19.0,0.0,1.0,81.0,136.0,0.6,Southern California
St Bernardine Medical Center,Short Term,050129,2021-01-01,San Bernardino,071,305.0,52.0,33.0,0.0,1.0,181.0,302.0,0.6,Southern California
Providence Little Company of Mary Med Ctr Torrance,Short Term,050353,2021-01-01,Los Angeles,037,334.0,33.0,23.0,0.0,1.0,164.0,279.0,0.59,Southern California
Lakewood Regional Medical Center,Short Term,050581,2021-01-01,Los Angeles,037,201.0,40.0,25.0,3.0,0.92,108.0,183.0,0.59,Southern California
California Hospital Medical Center LA,Short Term,050149,2021-01-01,Los Angeles,037,342.0,46.0,36.0,5.0,0.89,151.0,256.0,0.59,Southern California
Southwest Healthcare System,Short Term,050701,2021-01-01,Riverside,065,268.0,37.0,32.0,0.0,1.0,138.0,234.0,0.59,Southern California
Garfield Medical Center,Short Term,050737,2021-01-01,Los Angeles,037,210.0,22.0,13.0,3.0,0.86,86.0,146.0,0.59,Southern California
St Johns Regional Medical Center,Short Term,050082,2021-01-01,Ventura,111,225.0,25.0,20.0,1.0,0.96,101.0,170.0,0.59,Southern California
Menifee Global Medical Center,Short Term,050684,2021-01-01,Riverside,065,84.0,21.0,13.0,3.0,0.86,36.0,61.0,0.59,Southern California
Pomona Valley Hospital Medical Center,Short Term,050231,2021-01-01,Los Angeles,037,459.0,84.0,53.0,2.0,0.98,191.0,324.0,0.59,Southern California
Mountains Community Hospital,Critical Access Hospitals,051312,2021-01-01,San Bernardino,071,20.0,0.0,0.0,0.0,,7.0,12.0,0.58,Southern California
Temecula Valley Hospital,Short Term,050775,2021-01-01,Riverside,065,160.0,26.0,19.0,0.0,1.0,83.0,144.0,0.58,Southern California
Good Samaritan Hospital,Short Term,050257,2021-01-01,Kern,029,39.0,4.0,0.0,2.0,0.5,11.0,19.0,0.58,San Joaquin Valley
Providence-Cedars Sinai Tarzana Medical Center,Short Term,050761,2021-01-01,Los Angeles,037,222.0,33.0,10.0,0.0,1.0,107.0,189.0,0.57,Southern California
Centinela Hospital Medical Center,Short Term,050739,2021-01-01,Los Angeles,037,291.0,85.0,52.0,1.0,0.99,147.0,257.0,0.57,Southern California
Adventist Health Hanford,Short Term,050121,2021-01-01,Kings,031,170.0,24.0,14.0,2.0,0.92,94.0,164.0,0.57,San Joaquin Valley
Hemet Global Medical Center,Short Term,050390,2021-01-01,Riverside,065,220.0,34.0,19.0,5.0,0.85,79.0,138.0,0.57,Southern California
Valley Presbyterian Hospital,Short Term,050126,2021-01-01,Los Angeles,037,357.0,27.0,23.0,5.0,0.81,109.0,192.0,0.57,Southern California
Kaiser Foundation Hospital - Fresno,Short Term,050710,2021-01-01,Fresno,019,152.0,17.0,14.0,0.0,1.0,78.0,139.0,0.56,San Joaquin Valley
Banner LAssen Medical Center,Critical Access Hospitals,051320,2021-01-01,Lassen,035,25.0,0.0,0.0,0.0,,5.0,9.0,0.56,Northern California
Providence Holy Cross Medical Center,Short Term,050278,2021-01-01,Los Angeles,037,365.0,43.0,29.0,1.0,0.98,184.0,331.0,0.56,Southern California
Memorialcare Orange Coast Medical Center,Short Term,050678,2021-01-01,Orange,059,243.0,39.0,29.0,1.0,0.97,92.0,167.0,0.55,Southern California
Ridgecrest Regional Hospital,Critical Access Hospitals,051333,2021-01-01,Kern,029,29.0,4.0,3.0,0.0,1.0,16.0,29.0,0.55,San Joaquin Valley
San Antonio Regional Hospital,Short Term,050099,2021-01-01,San Bernardino,071,378.0,70.0,22.0,1.0,0.99,198.0,363.0,0.55,Southern California
West Hills Hospital & Medical Center,Short Term,050481,2021-01-01,Los Angeles,037,261.0,33.0,13.0,9.0,0.73,76.0,139.0,0.55,Southern California
Long Beach Memorial Medical Center,Short Term,050485,2021-01-01,Los Angeles,037,450.0,105.0,71.0,17.0,0.84,177.0,319.0,0.55,Southern California
Clovis Community Medical Center,Short Term,050492,2021-01-01,Fresno,019,253.0,37.0,30.0,5.0,0.86,128.0,238.0,0.54,San Joaquin Valley
Redlands Community Hospital,Short Term,050272,2021-01-01,San Bernardino,071,179.0,32.0,28.0,1.0,0.97,97.0,178.0,0.54,Southern California
Whittier Hospital Medical Center,Short Term,050735,2021-01-01,Los Angeles,037,183.0,25.0,17.0,0.0,1.0,69.0,127.0,0.54,Southern California
John F Kennedy Memorial Hospital,Short Term,050534,2021-01-01,Riverside,065,113.0,23.0,13.0,9.0,0.61,55.0,103.0,0.53,Southern California
Adventist Health Bakersfield,Short Term,050455,2021-01-01,Kern,029,235.0,29.0,21.0,1.0,0.97,123.0,230.0,0.53,San Joaquin Valley
Oak Valley Hospital District,Short Term,050067,2021-01-01,Stanislaus,099,20.0,5.0,1.0,3.0,0.4,8.0,15.0,0.53,San Joaquin Valley
Hollywood Presbyterian Medical Center,Short Term,050063,2021-01-01,Los Angeles,037,302.0,34.0,20.0,13.0,0.62,96.0,181.0,0.53,Southern California
Eisenhower Medical Center,Short Term,050573,2021-01-01,Riverside,065,287.0,32.0,16.0,3.0,0.91,132.0,252.0,0.52,Southern California
Providence Saint Joseph Medical Ctr,Short Term,050235,2021-01-01,Los Angeles,037,350.0,55.0,39.0,3.0,0.95,150.0,286.0,0.52,Southern California
Kaiser Foundation Hospital Manteca,Short Term,050748,2021-01-01,San Joaquin,077,180.0,28.0,20.0,1.0,0.96,90.0,173.0,0.52,San Joaquin Valley
Saint Agnes Medical Center,Short Term,050093,2021-01-01,Fresno,019,378.0,45.0,31.0,2.0,0.96,173.0,330.0,0.52,San Joaquin Valley
Palomar Medical Center Poway,Short Term,050636,2021-01-01,San Diego,073,68.0,12.0,9.0,0.0,1.0,23.0,44.0,0.52,Southern California
Mercy Hospital,Short Term,050295,2021-01-01,Kern,029,202.0,31.0,21.0,2.0,0.94,83.0,159.0,0.52,San Joaquin Valley
Northridge Hospital Medical Center,Short Term,050116,2021-01-01,Los Angeles,037,325.0,45.0,33.0,0.0,1.0,130.0,257.0,0.51,Southern California
Huntington Memorial Hospital,Short Term,050438,2021-01-01,Los Angeles,037,750.0,74.0,39.0,22.0,0.7,188.0,370.0,0.51,Southern California
Sierra View Medical Center,Short Term,050261,2021-01-01,Tulare,107,114.0,10.0,7.0,2.0,0.8,53.0,104.0,0.51,San Joaquin Valley
St Johns Pleasant Valley Hospital,Short Term,050616,2021-01-01,Ventura,111,58.0,8.0,4.0,1.0,0.88,29.0,57.0,0.51,Southern California
Memorial Hospital Los Banos,Short Term,050528,2021-01-01,Merced,047,41.0,5.0,5.0,0.0,1.0,13.0,26.0,0.5,San Joaquin Valley
Usc Verdugo Hills Hospital,Short Term,050124,2021-01-01,Los Angeles,037,130.0,15.0,10.0,0.0,1.0,63.0,126.0,0.5,Southern California
Pacifica Hospital of The Valley,Short Term,050378,2021-01-01,Los Angeles,037,118.0,13.0,4.0,0.0,1.0,32.0,64.0,0.5,Southern California
Doctors Hospital of Manteca,Short Term,050118,2021-01-01,San Joaquin,077,53.0,8.0,4.0,1.0,0.88,24.0,48.0,0.5,San Joaquin Valley
West Anaheim Medical Center,Short Term,050426,2021-01-01,Orange,059,166.0,19.0,17.0,2.0,0.89,58.0,116.0,0.5,Southern California
Arrowhead Regional Medical Center,Short Term,050245,2021-01-01,San Bernardino,071,360.0,57.0,36.0,0.0,1.0,152.0,304.0,0.5,Southern California
Lac/Olive View-Ucla Medical Center,Short Term,050040,2021-01-01,Los Angeles,037,282.0,29.0,21.0,6.0,0.79,99.0,198.0,0.5,Southern California
Palomar Health Downtown Campus,Short Term,050115,2021-01-01,San Diego,073,392.0,36.0,23.0,1.0,0.97,144.0,286.0,0.5,Southern California
Riverside Community Hospital,Short Term,050022,2021-01-01,Riverside,065,573.0,76.0,47.0,1.0,0.99,218.0,443.0,0.49,Southern California
Kaweah Delta Medical Center,Short Term,050057,2021-01-01,Tulare,107,509.0,41.0,19.0,8.0,0.8,162.0,332.0,0.49,San Joaquin Valley
Regional Medical Center of San Jose,Short Term,050125,2021-01-01,Santa Clara,085,286.0,47.0,29.0,0.0,1.0,118.0,242.0,0.49,Bay Area
Sherman Oaks Hospital,Short Term,050755,2021-01-01,Los Angeles,037,121.0,19.0,11.0,1.0,0.95,47.0,96.0,0.49,Southern California
Community Memorial Hospital San Buenaventura,Short Term,050394,2021-01-01,Ventura,111,217.0,23.0,16.0,1.0,0.96,81.0,167.0,0.49,Southern California
Kaiser Foundation Hospital - South San Francisco,Short Term,050070,2021-01-01,San Mateo,081,98.0,13.0,6.0,1.0,0.92,43.0,89.0,0.48,Bay Area
Southern California Hospital At Hollywood,Short Term,050135,2021-01-01,Los Angeles,037,439.0,50.0,15.0,27.0,0.46,117.0,245.0,0.48,Southern California
Memorial Medical Center,Short Term,050557,2021-01-01,Stanislaus,099,327.0,41.0,28.0,5.0,0.88,121.0,257.0,0.47,San Joaquin Valley
Kaiser Foundation Hospital - Zion,Short Term,050515,2021-01-01,San Diego,073,779.0,73.0,42.0,7.0,0.9,168.0,354.0,0.47,Southern California
Salinas Valley Memorial Hospital,Short Term,050334,2021-01-01,Monterey,053,252.0,27.0,14.0,9.0,0.67,68.0,145.0,0.47,Bay Area
Alameda Hospital,Short Term,050211,2021-01-01,Alameda,001,90.0,8.0,4.0,1.0,0.88,20.0,43.0,0.47,Bay Area
Saint Francis Medical Center,Short Term,050104,2021-01-01,Los Angeles,037,329.0,33.0,25.0,1.0,0.97,129.0,276.0,0.47,Southern California
Marian Regional Medical Center,Short Term,050107,2021-01-01,Santa Barbara,083,250.0,38.0,26.0,1.0,0.97,81.0,171.0,0.47,Southern California
Adventist Health Tulare,Short Term,050784,2021-01-01,Tulare,107,32.0,4.0,0.0,2.0,0.5,13.0,28.0,0.46,San Joaquin Valley
Adventist Health Lodi Memorial,Short Term,050336,2021-01-01,San Joaquin,077,119.0,20.0,7.0,2.0,0.9,49.0,106.0,0.46,San Joaquin Valley
Tri-City Medical Center,Short Term,050128,2021-01-01,San Diego,073,278.0,25.0,15.0,8.0,0.68,78.0,169.0,0.46,Southern California
Scripps Green Hospital,Short Term,050424,2021-01-01,San Diego,073,173.0,24.0,8.0,6.0,0.75,49.0,107.0,0.46,Southern California
Lac/Harbor-Ucla Med Center,Short Term,050376,2021-01-01,Los Angeles,037,377.0,48.0,31.0,5.0,0.9,147.0,319.0,0.46,Southern California
Sharp Coronado Hospital And Healthcr Ctr,Short Term,050234,2021-01-01,San Diego,073,70.0,15.0,9.0,0.0,1.0,28.0,62.0,0.45,Southern California
Seton Medical Center,Short Term,050289,2021-01-01,San Mateo,081,92.0,16.0,6.0,6.0,0.62,33.0,73.0,0.45,Bay Area
Community Regional Medical Center,Short Term,050060,2021-01-01,Fresno,019,711.0,92.0,47.0,1.0,0.99,271.0,598.0,0.45,San Joaquin Valley
Memorialcare Saddleback Medical Center,Short Term,050603,2021-01-01,Orange,059,234.0,28.0,18.0,1.0,0.96,69.0,153.0,0.45,Southern California
Foothill Regional Medical Center,Short Term,050780,2021-01-01,Orange,059,125.0,29.0,7.0,20.0,0.31,34.0,75.0,0.45,Southern California
Mission Community Hospital,Short Term,050704,2021-01-01,Los Angeles,037,221.0,17.0,12.0,2.0,0.88,77.0,171.0,0.45,Southern California
St Elizabeth Community Hospital,Short Term,050042,2021-01-01,Tehama,103,93.0,8.0,3.0,1.0,0.88,20.0,44.0,0.45,Northern California
Scripps Memorial Hospital - Encinitas,Short Term,050503,2021-01-01,San Diego,073,263.0,12.0,10.0,1.0,0.92,81.0,181.0,0.45,Southern California
Adventist Health Simi Valley,Short Term,050236,2021-01-01,Ventura,111,143.0,24.0,18.0,3.0,0.88,59.0,133.0,0.44,Southern California
St Rose Hospital,Short Term,050002,2021-01-01,Alameda,001,95.0,15.0,7.0,4.0,0.73,25.0,57.0,0.44,Bay Area
Kaiser Foundation Hosp So Sacramento,Short Term,050674,2021-01-01,Sacramento,067,264.0,46.0,32.0,0.0,1.0,116.0,264.0,0.44,Greater Sacramento
Kaiser Foundation Hospital - San Leandro,Short Term,050777,2021-01-01,Alameda,001,182.0,19.0,13.0,1.0,0.95,73.0,166.0,0.44,Bay Area
Emanuel Medical Center,Short Term,050179,2021-01-01,Stanislaus,099,136.0,12.0,8.0,0.0,1.0,50.0,116.0,0.43,San Joaquin Valley
Kindred Hospital South Bay,Long Term,052050,2021-01-01,Los Angeles,037,59.0,9.0,3.0,2.0,0.78,23.0,53.0,0.43,Southern California
South Coast Global Medical Center,Short Term,050747,2021-01-01,Orange,059,180.0,11.0,9.0,0.0,1.0,48.0,111.0,0.43,Southern California
Sutter LAkeside Hospital,Critical Access Hospitals,051329,2021-01-01,Lake,033,40.0,5.0,3.0,1.0,0.8,8.0,19.0,0.42,Northern California
Providence Saint John'S Health Center,Short Term,050290,2021-01-01,Los Angeles,037,203.0,24.0,13.0,1.0,0.96,66.0,157.0,0.42,Southern California
Bakersfield Heart Hospital,Short Term,050724,2021-01-01,Kern,029,48.0,10.0,3.0,2.0,0.8,18.0,43.0,0.42,San Joaquin Valley
San Mateo Medical Center,Short Term,050113,2021-01-01,San Mateo,081,54.0,7.0,5.0,0.0,1.0,17.0,40.0,0.42,Bay Area
Lac+Usc Medical Center,Short Term,050373,2021-01-01,Los Angeles,037,650.0,116.0,62.0,11.0,0.91,245.0,590.0,0.42,Southern California
Sutter Delta Medical Center,Short Term,050523,2021-01-01,Contra Costa,013,148.0,12.0,5.0,0.0,1.0,43.0,103.0,0.42,Bay Area
Marshall Medical Center,Short Term,050254,2021-01-01,El Dorado,017,111.0,15.0,8.0,2.0,0.87,29.0,71.0,0.41,Greater Sacramento
St Mary Medical Center,Short Term,050191,2021-01-01,Los Angeles,037,406.0,60.0,30.0,17.0,0.72,91.0,221.0,0.41,Southern California
Henry Mayo Newhall  Hospital,Short Term,050624,2021-01-01,Los Angeles,037,352.0,45.0,20.0,14.0,0.69,96.0,237.0,0.41,Southern California
Providence Mission Hospital,Short Term,050567,2021-01-01,Orange,059,337.0,63.0,34.0,3.0,0.95,113.0,274.0,0.41,Southern California
Methodist Hospital of Sacramento,Short Term,050590,2021-01-01,Sacramento,067,206.0,20.0,9.0,7.0,0.65,43.0,105.0,0.41,Greater Sacramento
University of California Irvine Medical Center,Short Term,050348,2021-01-01,Orange,059,439.0,68.0,45.0,2.0,0.97,167.0,405.0,0.41,Southern California
Healdsburg District Hospital,Critical Access Hospitals,051321,2021-01-01,Sonoma,097,28.0,5.0,0.0,5.0,0.0,4.0,10.0,0.4,Bay Area
Hoag Memorial Hospital Presbyterian,Short Term,050224,2021-01-01,Orange,059,441.0,92.0,68.0,4.0,0.96,172.0,426.0,0.4,Southern California
Scripps Mercy Hospital,Short Term,050077,2021-01-01,San Diego,073,764.0,66.0,39.0,12.0,0.82,172.0,430.0,0.4,Southern California
Scripps Memorial Hospital LA Jolla,Short Term,050324,2021-01-01,San Diego,073,522.0,77.0,44.0,4.0,0.95,138.0,343.0,0.4,Southern California
Cedars-Sinai Medical Center,Short Term,050625,2021-01-01,Los Angeles,037,928.0,107.0,80.0,-39.0,1.36,336.0,830.0,0.4,Southern California
Community Hospital of San Bernardino,Short Term,050089,2021-01-01,San Bernardino,071,267.0,21.0,14.0,5.0,0.76,65.0,164.0,0.4,Southern California
Natividad Medical Center,Short Term,050248,2021-01-01,Monterey,053,176.0,19.0,9.0,2.0,0.89,65.0,161.0,0.4,Bay Area
Kaiser Foundation Hospital - Fremont,Short Term,050512,2021-01-01,Alameda,001,90.0,12.0,9.0,0.0,1.0,32.0,82.0,0.39,Bay Area
Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Short Term,050112,2021-01-01,Los Angeles,037,302.0,28.0,17.0,1.0,0.96,95.0,243.0,0.39,Southern California
Woodland Memorial Hospital,Short Term,050127,2021-01-01,Yolo,113,113.0,26.0,8.0,16.0,0.38,19.0,49.0,0.39,Greater Sacramento
French Hospital Medical Center,Short Term,050232,2021-01-01,San Luis Obispo,079,105.0,12.0,7.0,2.0,0.83,21.0,56.0,0.38,Southern California
Barlow Respiratory Hospital,Long Term,052031,2021-01-01,Los Angeles,037,80.0,6.0,0.0,4.0,0.33,28.0,74.0,0.38,Southern California
Kaiser Foundation Hospital - Vacaville,Short Term,050767,2021-01-01,Solano,095,123.0,16.0,9.0,1.0,0.94,43.0,112.0,0.38,Bay Area
Desert Regional Medical Center,Short Term,050243,2021-01-01,Riverside,065,298.0,40.0,21.0,0.0,1.0,105.0,273.0,0.38,Southern California
Kaiser Foundation Hospital - Antioch,Short Term,050760,2021-01-01,Contra Costa,013,117.0,11.0,6.0,1.0,0.91,40.0,106.0,0.38,Bay Area
