hospital,fac_name
MEMORIALCARE SADDLEBACK MEDICAL CENTER,MEMORIALCARE SADDLEBACK MEDICAL CENTER
MENIFEE GLOBAL MEDICAL CENTER,MENIFEE GLOBAL MEDICAL CENTER
MERCY GENERAL HOSPITAL,MERCY GENERAL HOSPITAL
MERCY HOSPITAL,
MERCY HOSPITAL OF FOLSOM,MERCY HOSPITAL OF FOLSOM
MERCY MEDICAL CENTER,
MERCY MEDICAL CENTER MT SHASTA,
MERCY MEDICAL CENTER REDDING,
MERCY SAN JUAN MEDICAL CENTER,
METHODIST HOSPITAL OF SACRAMENTO,METHODIST HOSPITAL OF SACRAMENTO
METHODIST HOSPITAL OF SOUTHERN CA,
MILLS-PENINSULA MEDICAL CENTER,MILLS-PENINSULA MEDICAL CENTER
MISSION COMMUNITY HOSPITAL,
MODOC MEDICAL CENTER,
MONROVIA MEMORIAL HOSPITAL,MONROVIA MEMORIAL HOSPITAL
MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR HOSPITAL MEDICAL CENTER
MONTEREY PARK HOSPITAL,MONTEREY PARK HOSPITAL
MOUNTAINS COMMUNITY HOSPITAL,
NATIVIDAD MEDICAL CENTER,NATIVIDAD MEDICAL CENTER
NORTHBAY MEDICAL CENTER,NORTHBAY MEDICAL CENTER
NORTHERN INYO HOSPITAL,NORTHERN INYO HOSPITAL
NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE HOSPITAL MEDICAL CENTER
NOVATO COMMUNITY HOSPITAL,NOVATO COMMUNITY HOSPITAL
OAK VALLEY HOSPITAL DISTRICT,OAK VALLEY HOSPITAL DISTRICT
OLYMPIA MEDICAL CENTER,OLYMPIA MEDICAL CENTER
ORANGE COUNTY GLOBAL MEDICAL CENTER,ORANGE COUNTY GLOBAL MEDICAL CENTER
ORCHARD HOSPITAL,ORCHARD HOSPITAL
OROVILLE HOSPITAL,OROVILLE HOSPITAL
PACIFICA HOSPITAL OF THE VALLEY,PACIFICA HOSPITAL OF THE VALLEY
PALMDALE REGIONAL MEDICAL CENTER,PALMDALE REGIONAL MEDICAL CENTER
PALOMAR HEALTH DOWNTOWN CAMPUS,PALOMAR HEALTH DOWNTOWN CAMPUS
PALOMAR MEDICAL CENTER POWAY,
PARADISE VALLEY HOSPITAL,PARADISE VALLEY HOSPITAL
PETALUMA VALLEY HOSPITAL,PETALUMA VALLEY HOSPITAL
PIH HEALTH HOSPITAL-WHITTIER,
PIH HOSPITAL - DOWNEY,
PIONEERS MEMORIAL HEALTHCARE DISTRICT,PIONEERS MEMORIAL HEALTHCARE DISTRICT
PLACENTIA LINDA HOSPITAL,PLACENTIA LINDA HOSPITAL
PLUMAS DISTRICT HOSPITAL,
POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA VALLEY HOSPITAL MEDICAL CENTER
PROVIDENCE HOLY CROSS MEDICAL CENTER,PROVIDENCE HOLY CROSS MEDICAL CENTER
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,
PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,
PROVIDENCE MISSION HOSPITAL,
PROVIDENCE SAINT JOHN'S HEALTH CENTER,PROVIDENCE SAINT JOHN'S HEALTH CENTER
PROVIDENCE SAINT JOSEPH MEDICAL CTR,
PROVIDENCE ST. JOSEPH HOSPITAL,
PROVIDENCE ST. JUDE MEDICAL CENTER,
PROVIDENCE-CEDARS SINAI TARZANA MEDICAL CENTER,
QUEEN OF THE VALLEY MEDICAL CENTER,QUEEN OF THE VALLEY MEDICAL CENTER
RADY CHILDREN'S HOSPITAL - SAN DIEGO,RADY CHILDREN'S HOSPITAL - SAN DIEGO
REDLANDS COMMUNITY HOSPITAL,REDLANDS COMMUNITY HOSPITAL
REGIONAL MEDICAL CENTER OF SAN JOSE,
RIDGECREST REGIONAL HOSPITAL,RIDGECREST REGIONAL HOSPITAL
RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE COMMUNITY HOSPITAL
RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,
RONALD REAGAN U C L A MEDICAL CENTER,
SAINT AGNES MEDICAL CENTER,
SAINT FRANCIS MEDICAL CENTER,
SAINT FRANCIS MEMORIAL HOSPITAL,
SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS VALLEY MEMORIAL HOSPITAL
SAN ANTONIO REGIONAL HOSPITAL,SAN ANTONIO REGIONAL HOSPITAL
SAN DIMAS COMMUNITY HOSPITAL,SAN DIMAS COMMUNITY HOSPITAL
SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL VALLEY MEDICAL CENTER
SAN GORGONIO MEMORIAL HOSPITAL,SAN GORGONIO MEMORIAL HOSPITAL
SAN JOAQUIN GENERAL HOSPITAL,SAN JOAQUIN GENERAL HOSPITAL
SAN MATEO MEDICAL CENTER,SAN MATEO MEDICAL CENTER
SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON REGIONAL MEDICAL CENTER
SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA COTTAGE HOSPITAL
SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA VALLEY MEDICAL CENTER
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,
SANTA PAULA HOSPITAL,
SANTA ROSA MEMORIAL HOSPITAL,
SCRIPPS GREEN HOSPITAL,SCRIPPS GREEN HOSPITAL
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,
SCRIPPS MERCY HOSPITAL,SCRIPPS MERCY HOSPITAL
SEQUOIA HOSPITAL,SEQUOIA HOSPITAL
SETON MEDICAL CENTER,SETON MEDICAL CENTER
SHARP CHULA VISTA MEDICAL CENTER,SHARP CHULA VISTA MEDICAL CENTER
SHARP CORONADO HOSPITAL AND HEALTHCR CTR,
SHARP MEMORIAL HOSPITAL,SHARP MEMORIAL HOSPITAL
SHASTA REGIONAL MEDICAL CENTER,SHASTA REGIONAL MEDICAL CENTER
SHERMAN OAKS HOSPITAL,SHERMAN OAKS HOSPITAL
SIERRA NEVADA MEMORIAL HOSPITAL,SIERRA NEVADA MEMORIAL HOSPITAL
SIERRA VIEW MEDICAL CENTER,SIERRA VIEW MEDICAL CENTER
SIERRA VISTA REGIONAL MEDICAL CENTER,SIERRA VISTA REGIONAL MEDICAL CENTER
SONOMA SPECIALTY HOSPITAL,SONOMA SPECIALTY HOSPITAL
SONOMA VALLEY HOSPITAL,SONOMA VALLEY HOSPITAL
SOUTH COAST GLOBAL MEDICAL CENTER,SOUTH COAST GLOBAL MEDICAL CENTER
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD
SOUTHWEST HEALTHCARE SYSTEM,
ST BERNARDINE MEDICAL CENTER,
ST ELIZABETH COMMUNITY HOSPITAL,
ST JOHNS PLEASANT VALLEY HOSPITAL,
ST JOHNS REGIONAL MEDICAL CENTER,
ST JOSEPH HOSPITAL,
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,
ST MARY MEDICAL CENTER,
ST MARY MEDICAL CENTER,
ST MARY'S MEDICAL CENTER,
ST ROSE HOSPITAL,
STANFORD HEALTH CARE,STANFORD HEALTH CARE
STANFORD HEALTH CARE,STANFORD HEALTH CARE
STANFORD HEALTH CARE - VALLEYCARE,STANFORD HEALTH CARE - VALLEYCARE
SUTTER AMADOR HOSPITAL,SUTTER AMADOR HOSPITAL
SUTTER AUBURN FAITH HOSPITAL,SUTTER AUBURN FAITH HOSPITAL
SUTTER COAST HOSPITAL,SUTTER COAST HOSPITAL
SUTTER DAVIS HOSPITAL,SUTTER DAVIS HOSPITAL
SUTTER DELTA MEDICAL CENTER,SUTTER DELTA MEDICAL CENTER
SUTTER LAKESIDE HOSPITAL,SUTTER LAKESIDE HOSPITAL
"SUTTER MEDICAL CENTER, SACRAMENTO","SUTTER MEDICAL CENTER, SACRAMENTO"
SUTTER ROSEVILLE MEDICAL CENTER,SUTTER ROSEVILLE MEDICAL CENTER
SUTTER SANTA ROSA REGIONAL HOSPITAL,SUTTER SANTA ROSA REGIONAL HOSPITAL
SUTTER SOLANO MEDICAL CENTER,SUTTER SOLANO MEDICAL CENTER
SUTTER TRACY COMMUNITY HOSPITAL,SUTTER TRACY COMMUNITY HOSPITAL
TAHOE FOREST HOSPITAL,TAHOE FOREST HOSPITAL
TEMECULA VALLEY HOSPITAL,TEMECULA VALLEY HOSPITAL
TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE MEMORIAL MEDICAL CENTER
TRI-CITY MEDICAL CENTER,TRI-CITY MEDICAL CENTER
TWIN CITIES COMMUNITY HOSPITAL,TWIN CITIES COMMUNITY HOSPITAL
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,
UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND
UCSF MEDICAL CENTER,UCSF MEDICAL CENTER
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER
USC VERDUGO HILLS HOSPITAL,USC VERDUGO HILLS HOSPITAL
VALLEY CHILDREN'S HOSPITAL,VALLEY CHILDREN'S HOSPITAL
VALLEY PRESBYTERIAN HOSPITAL,VALLEY PRESBYTERIAN HOSPITAL
VENTURA COUNTY MEDICAL CENTER,VENTURA COUNTY MEDICAL CENTER
VIBRA HOSPITAL OF SAN DIEGO,VIBRA HOSPITAL OF SAN DIEGO
VICTOR VALLEY GLOBAL MEDICAL CENTER,VICTOR VALLEY GLOBAL MEDICAL CENTER
WASHINGTON HOSPITAL,
WATSONVILLE COMMUNITY HOSPITAL,WATSONVILLE COMMUNITY HOSPITAL
WEST ANAHEIM MEDICAL CENTER,WEST ANAHEIM MEDICAL CENTER
WEST HILLS HOSPITAL & MEDICAL CENTER,
WHITE MEMORIAL MEDICAL CENTER,
WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER HOSPITAL MEDICAL CENTER
WOODLAND MEMORIAL HOSPITAL,WOODLAND MEMORIAL HOSPITAL
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,
