name,total_population,under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over,est_under_5_years_pct,est_5_to_9_years_pct,est_10_to_14_years_pct,est_15_to_19_years_pct,est_20_to_24_years_pct,est_25_to_29_years_pct,est_30_to_34_years_pct,est_35_to_39_years_pct,est_40_to_44_years_pct,est_45_to_49_years_pct,est_50_to_54_years_pct,est_55_to_59_years_pct,est_60_to_64_years_pct,est_65_to_69_years_pct,est_70_to_74_years_pct,est_75_to_79_years_pct,est_80_to_84_years_pct
Hermosa Beach,16365.0,929.0,845.0,770.0,554.0,465.0,1616.0,1538.0,1414.0,1332.0,1376.0,1440.0,1149.0,830.0,860.0,468.0,424.0,193.0,162.0,5.68,5.16,4.71,3.39,2.84,9.87,9.4,8.64,8.14,8.41,8.8,7.02,5.07,5.26,2.86,2.59,1.18
Walnut Park,15880.0,765.0,1137.0,1135.0,1052.0,1093.0,1313.0,1319.0,1037.0,1209.0,1144.0,995.0,978.0,872.0,560.0,516.0,334.0,210.0,209.0,4.82,7.16,7.15,6.62,6.88,8.27,8.31,6.53,7.61,7.2,6.27,6.16,5.49,3.53,3.25,2.1,1.32
Historic Filipinotown,15650.0,855.0,839.0,856.0,863.0,1335.0,1392.0,1887.0,1201.0,1022.0,961.0,1054.0,788.0,978.0,553.0,429.0,262.0,165.0,211.0,5.46,5.36,5.47,5.51,8.53,8.89,12.06,7.67,6.53,6.14,6.73,5.04,6.25,3.53,2.74,1.67,1.05
Hancock Park,15574.0,809.0,844.0,1005.0,724.0,592.0,1270.0,1226.0,1186.0,1099.0,1282.0,971.0,1234.0,1020.0,661.0,698.0,387.0,280.0,285.0,5.19,5.42,6.45,4.65,3.8,8.15,7.87,7.62,7.06,8.23,6.23,7.92,6.55,4.24,4.48,2.48,1.8
Mid-city,15245.0,871.0,473.0,626.0,382.0,1295.0,1138.0,1516.0,1474.0,1343.0,1008.0,1123.0,994.0,1088.0,609.0,485.0,356.0,220.0,243.0,5.71,3.1,4.11,2.51,8.49,7.46,9.94,9.67,8.81,6.61,7.37,6.52,7.14,3.99,3.18,2.34,1.44
Leimert Park,15070.0,866.0,812.0,587.0,614.0,1020.0,937.0,1041.0,1193.0,992.0,811.0,1359.0,1210.0,1013.0,885.0,672.0,477.0,335.0,245.0,5.75,5.39,3.9,4.07,6.77,6.22,6.91,7.92,6.58,5.38,9.02,8.03,6.72,5.87,4.46,3.17,2.22
Atwater Village,14939.0,840.0,607.0,484.0,549.0,799.0,1082.0,1908.0,1459.0,942.0,1168.0,952.0,1045.0,815.0,614.0,691.0,411.0,256.0,318.0,5.62,4.06,3.24,3.67,5.35,7.24,12.77,9.77,6.31,7.82,6.37,7.0,5.46,4.11,4.63,2.75,1.71
Hawaiian Gardens,14921.0,1100.0,1041.0,1096.0,1123.0,1415.0,1015.0,1096.0,958.0,918.0,1184.0,907.0,808.0,689.0,601.0,270.0,352.0,215.0,135.0,7.37,6.98,7.35,7.53,9.48,6.8,7.35,6.42,6.15,7.94,6.08,5.42,4.62,4.03,1.81,2.36,1.44
Calabasas,14546.0,500.0,976.0,1181.0,1061.0,706.0,492.0,459.0,713.0,791.0,1058.0,1139.0,1220.0,1238.0,968.0,981.0,454.0,373.0,236.0,3.44,6.71,8.12,7.29,4.85,3.38,3.16,4.9,5.44,7.27,7.83,8.39,8.51,6.65,6.74,3.12,2.56
Playa Vista,14050.0,1209.0,1018.0,266.0,320.0,562.0,1080.0,1981.0,2040.0,1150.0,1158.0,604.0,802.0,385.0,330.0,363.0,199.0,283.0,299.0,8.6,7.25,1.89,2.28,4.0,7.69,14.1,14.52,8.19,8.24,4.3,5.71,2.74,2.35,2.58,1.42,2.01
Echo Park,13573.0,559.0,415.0,585.0,458.0,809.0,2160.0,1741.0,1423.0,817.0,1035.0,833.0,732.0,557.0,425.0,323.0,252.0,182.0,267.0,4.12,3.06,4.31,3.37,5.96,15.91,12.83,10.48,6.02,7.63,6.14,5.39,4.1,3.13,2.38,1.86,1.34
Country Club Park,13517.0,662.0,666.0,702.0,435.0,775.0,1120.0,930.0,892.0,1098.0,1023.0,1080.0,884.0,912.0,682.0,514.0,446.0,316.0,382.0,4.9,4.93,5.19,3.22,5.73,8.29,6.88,6.6,8.12,7.57,7.99,6.54,6.75,5.05,3.8,3.3,2.34
Crenshaw District,13453.0,779.0,527.0,718.0,833.0,815.0,849.0,936.0,936.0,1052.0,761.0,1055.0,762.0,861.0,930.0,463.0,530.0,328.0,320.0,5.79,3.92,5.34,6.19,6.06,6.31,6.96,6.96,7.82,5.66,7.84,5.66,6.4,6.91,3.44,3.94,2.44
Cloverdale/Cochran,13438.0,901.0,712.0,718.0,904.0,983.0,1303.0,1249.0,866.0,1079.0,1091.0,900.0,735.0,611.0,518.0,248.0,228.0,246.0,146.0,6.7,5.3,5.34,6.73,7.32,9.7,9.29,6.44,8.03,8.12,6.7,5.47,4.55,3.85,1.85,1.7,1.83
Carthay,13415.0,647.0,245.0,217.0,141.0,637.0,2230.0,1842.0,1464.0,924.0,924.0,544.0,707.0,542.0,604.0,498.0,301.0,284.0,665.0,4.82,1.83,1.62,1.05,4.75,16.62,13.73,10.91,6.89,6.89,4.06,5.27,4.04,4.5,3.71,2.24,2.12
Commerce,13413.0,789.0,820.0,1013.0,891.0,949.0,1310.0,766.0,879.0,726.0,961.0,967.0,793.0,789.0,481.0,516.0,303.0,250.0,209.0,5.88,6.11,7.55,6.64,7.08,9.77,5.71,6.55,5.41,7.16,7.21,5.91,5.88,3.59,3.85,2.26,1.86
Lake Los Angeles,13396.0,967.0,1089.0,1388.0,997.0,668.0,964.0,587.0,807.0,824.0,830.0,867.0,915.0,958.0,557.0,368.0,373.0,140.0,96.0,7.22,8.13,10.36,7.44,4.99,7.2,4.38,6.02,6.15,6.2,6.47,6.83,7.15,4.16,2.75,2.78,1.05
San Marino,13199.0,468.0,802.0,878.0,1021.0,343.0,672.0,439.0,551.0,978.0,1130.0,944.0,1131.0,1116.0,942.0,723.0,464.0,295.0,305.0,3.55,6.08,6.65,7.74,2.6,5.09,3.33,4.17,7.41,8.56,7.15,8.57,8.46,7.14,5.48,3.52,2.24
Lakeview Terrace,13087.0,792.0,625.0,884.0,818.0,1000.0,840.0,1027.0,918.0,760.0,1002.0,1015.0,745.0,809.0,687.0,406.0,272.0,253.0,233.0,6.05,4.78,6.75,6.25,7.64,6.42,7.85,7.01,5.81,7.66,7.76,5.69,6.18,5.25,3.1,2.08,1.93
Century City,12430.0,630.0,666.0,677.0,357.0,394.0,1015.0,1117.0,866.0,785.0,1030.0,762.0,660.0,563.0,575.0,535.0,759.0,434.0,606.0,5.07,5.36,5.45,2.87,3.17,8.17,8.99,6.97,6.32,8.29,6.13,5.31,4.53,4.63,4.3,6.11,3.49
Ladera Heights,12148.0,417.0,502.0,623.0,550.0,636.0,773.0,826.0,612.0,825.0,1023.0,919.0,846.0,981.0,667.0,515.0,456.0,400.0,577.0,3.43,4.13,5.13,4.53,5.24,6.36,6.8,5.04,6.79,8.42,7.57,6.96,8.08,5.49,4.24,3.75,3.29
Covina (Charter Oak),11923.0,699.0,793.0,812.0,757.0,695.0,776.0,833.0,792.0,1003.0,792.0,857.0,807.0,792.0,535.0,393.0,314.0,140.0,136.0,5.86,6.65,6.81,6.35,5.83,6.51,6.99,6.64,8.41,6.64,7.19,6.77,6.64,4.49,3.3,2.63,1.17
View Park/Windsor Hills,11855.0,448.0,471.0,435.0,521.0,625.0,623.0,866.0,534.0,767.0,679.0,993.0,949.0,1269.0,670.0,662.0,435.0,425.0,484.0,3.78,3.97,3.67,4.39,5.27,5.26,7.3,4.5,6.47,5.73,8.38,8.01,10.7,5.65,5.58,3.67,3.58
East Rancho Dominguez,11805.0,724.0,977.0,994.0,1102.0,1024.0,1060.0,730.0,890.0,813.0,716.0,764.0,603.0,454.0,381.0,226.0,146.0,141.0,60.0,6.13,8.28,8.42,9.34,8.67,8.98,6.18,7.54,6.89,6.07,6.47,5.11,3.85,3.23,1.91,1.24,1.19
Signal Hill,11575.0,737.0,476.0,696.0,436.0,695.0,1019.0,1124.0,1009.0,607.0,952.0,736.0,858.0,736.0,555.0,452.0,264.0,92.0,131.0,6.37,4.11,6.01,3.77,6.0,8.8,9.71,8.72,5.24,8.22,6.36,7.41,6.36,4.79,3.9,2.28,0.79
Beverlywood,11528.0,881.0,763.0,817.0,533.0,398.0,886.0,1096.0,964.0,579.0,952.0,753.0,629.0,704.0,483.0,340.0,175.0,162.0,411.0,7.64,6.62,7.09,4.62,3.45,7.69,9.51,8.36,5.02,8.26,6.53,5.46,6.11,4.19,2.95,1.52,1.41
Bassett,11434.0,754.0,657.0,680.0,842.0,980.0,930.0,767.0,674.0,773.0,880.0,893.0,540.0,572.0,490.0,320.0,300.0,166.0,215.0,6.59,5.75,5.95,7.36,8.57,8.13,6.71,5.89,6.76,7.7,7.81,4.72,5.0,4.29,2.8,2.62,1.45
Park La Brea,11409.0,638.0,753.0,526.0,451.0,990.0,1366.0,1505.0,980.0,1001.0,759.0,651.0,373.0,456.0,246.0,164.0,167.0,157.0,228.0,5.59,6.6,4.61,3.95,8.68,11.97,13.19,8.59,8.77,6.65,5.71,3.27,4.0,2.16,1.44,1.46,1.38
Palos Verdes Estates,11150.0,460.0,517.0,762.0,857.0,416.0,248.0,379.0,303.0,548.0,663.0,983.0,892.0,1102.0,733.0,794.0,509.0,446.0,540.0,4.13,4.64,6.83,7.69,3.73,2.22,3.4,2.72,4.91,5.95,8.82,8.0,9.88,6.57,7.12,4.57,4.0
Sierra Madre,10932.0,453.0,672.0,595.0,485.0,288.0,438.0,412.0,708.0,660.0,962.0,944.0,924.0,888.0,653.0,637.0,592.0,311.0,310.0,4.14,6.15,5.44,4.44,2.63,4.01,3.77,6.48,6.04,8.8,8.64,8.45,8.12,5.97,5.83,5.42,2.84
Beverly Crest,10870.0,604.0,603.0,597.0,489.0,408.0,321.0,589.0,633.0,765.0,760.0,866.0,929.0,723.0,712.0,578.0,637.0,258.0,397.0,5.56,5.55,5.49,4.5,3.75,2.95,5.42,5.82,7.04,6.99,7.97,8.55,6.65,6.55,5.32,5.86,2.37
Gramercy Place,10865.0,777.0,596.0,691.0,389.0,485.0,724.0,622.0,818.0,493.0,675.0,675.0,788.0,876.0,728.0,422.0,361.0,450.0,296.0,7.15,5.49,6.36,3.58,4.46,6.66,5.72,7.53,4.54,6.21,6.21,7.25,8.06,6.7,3.88,3.32,4.14
Crestview,10809.0,744.0,605.0,770.0,473.0,589.0,1119.0,1186.0,829.0,851.0,839.0,610.0,373.0,548.0,401.0,289.0,208.0,233.0,141.0,6.88,5.6,7.12,4.38,5.45,10.35,10.97,7.67,7.87,7.76,5.64,3.45,5.07,3.71,2.67,1.92,2.16
Arcadia,10504.0,477.0,656.0,672.0,553.0,516.0,635.0,602.0,523.0,850.0,998.0,637.0,738.0,750.0,688.0,405.0,377.0,149.0,277.0,4.54,6.25,6.4,5.26,4.91,6.05,5.73,4.98,8.09,9.5,6.06,7.03,7.14,6.55,3.86,3.59,1.42
South San Gabriel,10499.0,603.0,303.0,612.0,635.0,650.0,697.0,720.0,728.0,556.0,708.0,700.0,827.0,850.0,580.0,369.0,226.0,347.0,389.0,5.74,2.89,5.83,6.05,6.19,6.64,6.86,6.93,5.3,6.74,6.67,7.88,8.1,5.52,3.51,2.15,3.31
Elysian Valley,10344.0,562.0,538.0,388.0,614.0,819.0,1018.0,848.0,665.0,804.0,785.0,841.0,538.0,575.0,312.0,306.0,331.0,181.0,218.0,5.43,5.2,3.75,5.94,7.92,9.84,8.2,6.43,7.77,7.59,8.13,5.2,5.56,3.02,2.96,3.2,1.75
Quartz Hill,10156.0,644.0,520.0,675.0,808.0,615.0,586.0,786.0,491.0,553.0,752.0,726.0,934.0,605.0,492.0,449.0,218.0,200.0,102.0,6.34,5.12,6.65,7.96,6.06,5.77,7.74,4.83,5.45,7.4,7.15,9.2,5.96,4.84,4.42,2.15,1.97
Alsace,10039.0,386.0,645.0,624.0,719.0,857.0,1096.0,1006.0,756.0,814.0,680.0,573.0,479.0,507.0,347.0,227.0,172.0,87.0,62.0,3.85,6.42,6.22,7.16,8.54,10.92,10.02,7.53,8.11,6.77,5.71,4.77,5.05,3.46,2.26,1.71,0.87
Rolling Hills Estates,9717.0,424.0,565.0,649.0,618.0,302.0,195.0,272.0,382.0,645.0,727.0,854.0,820.0,854.0,542.0,612.0,445.0,355.0,456.0,4.36,5.81,6.68,6.36,3.11,2.01,2.8,3.93,6.64,7.48,8.79,8.44,8.79,5.58,6.3,4.58,3.65
Manchester Square,9567.0,674.0,753.0,470.0,542.0,858.0,619.0,745.0,671.0,375.0,783.0,777.0,538.0,495.0,426.0,316.0,211.0,112.0,202.0,7.05,7.87,4.91,5.67,8.97,6.47,7.79,7.01,3.92,8.18,8.12,5.62,5.17,4.45,3.3,2.21,1.17
Figueroa Park Square,9541.0,773.0,788.0,832.0,611.0,609.0,760.0,749.0,684.0,589.0,537.0,575.0,540.0,518.0,234.0,137.0,294.0,149.0,161.0,8.1,8.26,8.72,6.4,6.38,7.97,7.85,7.17,6.17,5.63,6.03,5.66,5.43,2.45,1.44,3.08,1.56
Vermont Square,9495.0,393.0,543.0,704.0,481.0,754.0,1431.0,860.0,487.0,809.0,424.0,884.0,400.0,482.0,352.0,175.0,121.0,26.0,167.0,4.14,5.72,7.41,5.07,7.94,15.07,9.06,5.13,8.52,4.47,9.31,4.21,5.08,3.71,1.84,1.27,0.27
South Carthay,9447.0,615.0,299.0,260.0,391.0,692.0,995.0,1144.0,896.0,763.0,410.0,675.0,384.0,517.0,258.0,474.0,248.0,174.0,252.0,6.51,3.17,2.75,4.14,7.33,10.53,12.11,9.48,8.08,4.34,7.15,4.06,5.47,2.73,5.02,2.63,1.84
West Puente Valley,9366.0,446.0,506.0,640.0,587.0,783.0,1024.0,520.0,522.0,614.0,576.0,683.0,610.0,518.0,313.0,463.0,243.0,183.0,136.0,4.76,5.4,6.83,6.27,8.36,10.93,5.55,5.57,6.56,6.15,7.29,6.51,5.53,3.34,4.94,2.59,1.95
Thai Town,9319.0,372.0,267.0,225.0,209.0,502.0,1325.0,1304.0,766.0,666.0,692.0,536.0,797.0,445.0,394.0,306.0,207.0,170.0,137.0,3.99,2.87,2.41,2.24,5.39,14.22,13.99,8.22,7.15,7.43,5.75,8.55,4.78,4.23,3.28,2.22,1.82
Agua Dulce,9161.0,720.0,337.0,542.0,628.0,461.0,550.0,519.0,626.0,431.0,561.0,941.0,994.0,575.0,538.0,277.0,253.0,66.0,139.0,7.86,3.68,5.92,6.86,5.03,6.0,5.67,6.83,4.7,6.12,10.27,10.85,6.28,5.87,3.02,2.76,0.72
Chinatown,9042.0,421.0,318.0,351.0,374.0,740.0,1041.0,750.0,554.0,687.0,640.0,391.0,294.0,388.0,600.0,353.0,384.0,391.0,364.0,4.66,3.52,3.88,4.14,8.18,11.51,8.29,6.13,7.6,7.08,4.32,3.25,4.29,6.64,3.9,4.25,4.32
Toluca Lake,8836.0,466.0,203.0,265.0,153.0,270.0,1189.0,1146.0,844.0,613.0,704.0,837.0,406.0,561.0,456.0,310.0,162.0,94.0,156.0,5.27,2.3,3.0,1.73,3.06,13.46,12.97,9.55,6.94,7.97,9.47,4.59,6.35,5.16,3.51,1.83,1.06
East Pasadena,8765.0,526.0,458.0,546.0,367.0,331.0,490.0,429.0,621.0,582.0,772.0,738.0,622.0,540.0,560.0,482.0,223.0,207.0,271.0,6.0,5.23,6.23,4.19,3.78,5.59,4.89,7.08,6.64,8.81,8.42,7.1,6.16,6.39,5.5,2.54,2.36
Cheviot Hills,8664.0,388.0,596.0,480.0,481.0,337.0,428.0,577.0,470.0,565.0,657.0,552.0,622.0,760.0,519.0,560.0,218.0,163.0,291.0,4.48,6.88,5.54,5.55,3.89,4.94,6.66,5.42,6.52,7.58,6.37,7.18,8.77,5.99,6.46,2.52,1.88
El Camino Village,8591.0,638.0,470.0,481.0,522.0,592.0,781.0,596.0,534.0,606.0,654.0,443.0,594.0,447.0,398.0,306.0,190.0,150.0,188.0,7.43,5.47,5.6,6.08,6.89,9.09,6.94,6.22,7.05,7.61,5.16,6.91,5.2,4.63,3.56,2.21,1.75
Jefferson Park,8450.0,536.0,775.0,499.0,531.0,496.0,692.0,543.0,608.0,513.0,783.0,594.0,396.0,471.0,139.0,348.0,250.0,157.0,120.0,6.34,9.17,5.91,6.28,5.87,8.19,6.43,7.2,6.07,9.27,7.03,4.69,5.57,1.64,4.12,2.96,1.86
Adams-Normandie,8356.0,625.0,527.0,484.0,695.0,828.0,644.0,706.0,768.0,544.0,311.0,652.0,472.0,389.0,314.0,163.0,81.0,100.0,52.0,7.48,6.31,5.79,8.32,9.91,7.71,8.45,9.19,6.51,3.72,7.8,5.65,4.66,3.76,1.95,0.97,1.2
Victoria Park,7818.0,729.0,493.0,479.0,374.0,492.0,718.0,739.0,752.0,420.0,403.0,340.0,541.0,474.0,195.0,314.0,133.0,135.0,86.0,9.32,6.31,6.13,4.78,6.29,9.18,9.45,9.62,5.37,5.15,4.35,6.92,6.06,2.49,4.02,1.7,1.73
La Verne,7797.0,363.0,361.0,573.0,500.0,341.0,306.0,333.0,274.0,476.0,404.0,756.0,650.0,766.0,611.0,416.0,280.0,223.0,164.0,4.66,4.63,7.35,6.41,4.37,3.92,4.27,3.51,6.1,5.18,9.7,8.34,9.82,7.84,5.34,3.59,2.86
Malibu,7679.0,165.0,201.0,622.0,618.0,464.0,261.0,300.0,266.0,330.0,600.0,623.0,836.0,672.0,663.0,383.0,251.0,201.0,223.0,2.15,2.62,8.1,8.05,6.04,3.4,3.91,3.46,4.3,7.81,8.11,10.89,8.75,8.63,4.99,3.27,2.62
Monrovia,7440.0,476.0,437.0,395.0,486.0,583.0,546.0,545.0,527.0,500.0,475.0,486.0,563.0,467.0,372.0,294.0,122.0,74.0,93.0,6.4,5.87,5.31,6.53,7.84,7.34,7.33,7.08,6.72,6.38,6.53,7.57,6.28,5.0,3.95,1.64,0.99
Little Armenia,7378.0,205.0,262.0,186.0,197.0,448.0,730.0,707.0,485.0,384.0,438.0,661.0,507.0,703.0,483.0,302.0,163.0,299.0,218.0,2.78,3.55,2.52,2.67,6.07,9.89,9.58,6.57,5.2,5.94,8.96,6.87,9.53,6.55,4.09,2.21,4.05
Bel Air,7105.0,402.0,393.0,415.0,410.0,238.0,121.0,282.0,323.0,450.0,574.0,587.0,397.0,360.0,579.0,684.0,283.0,253.0,355.0,5.66,5.53,5.84,5.77,3.35,1.7,3.97,4.55,6.33,8.08,8.26,5.59,5.07,8.15,9.63,3.98,3.56
Acton,7098.0,389.0,248.0,410.0,500.0,344.0,477.0,300.0,251.0,440.0,485.0,641.0,902.0,612.0,546.0,238.0,207.0,68.0,37.0,5.48,3.49,5.78,7.04,4.85,6.72,4.23,3.54,6.2,6.83,9.03,12.71,8.62,7.69,3.35,2.92,0.96
Westlake Village,6852.0,326.0,394.0,360.0,388.0,297.0,196.0,239.0,320.0,344.0,586.0,559.0,527.0,660.0,472.0,458.0,302.0,156.0,268.0,4.76,5.75,5.25,5.66,4.33,2.86,3.49,4.67,5.02,8.55,8.16,7.69,9.63,6.89,6.68,4.41,2.28
Littlerock/Pearblossom,6785.0,446.0,444.0,599.0,594.0,344.0,546.0,378.0,581.0,322.0,309.0,533.0,237.0,506.0,321.0,66.0,272.0,182.0,105.0,6.57,6.54,8.83,8.75,5.07,8.05,5.57,8.56,4.75,4.55,7.86,3.49,7.46,4.73,0.97,4.01,2.68
Canyon Country,6608.0,426.0,415.0,508.0,510.0,370.0,396.0,374.0,463.0,377.0,459.0,532.0,633.0,435.0,273.0,168.0,138.0,66.0,65.0,6.45,6.28,7.69,7.72,5.6,5.99,5.66,7.01,5.71,6.95,8.05,9.58,6.58,4.13,2.54,2.09,1.0
Rancho Park,6370.0,404.0,355.0,384.0,184.0,354.0,423.0,627.0,476.0,487.0,445.0,402.0,480.0,307.0,303.0,253.0,180.0,169.0,138.0,6.34,5.57,6.03,2.89,5.56,6.64,9.84,7.47,7.65,6.99,6.31,7.54,4.82,4.76,3.97,2.83,2.65
Cadillac-Corning,6256.0,241.0,365.0,359.0,426.0,485.0,795.0,615.0,478.0,650.0,426.0,281.0,342.0,316.0,113.0,184.0,106.0,20.0,56.0,3.85,5.83,5.74,6.81,7.75,12.71,9.83,7.64,10.39,6.81,4.49,5.47,5.05,1.81,2.94,1.69,0.32
North Lancaster,6108.0,354.0,721.0,578.0,752.0,568.0,265.0,291.0,487.0,381.0,199.0,348.0,284.0,380.0,136.0,117.0,133.0,45.0,69.0,5.8,11.8,9.46,12.31,9.3,4.34,4.76,7.97,6.24,3.26,5.7,4.65,6.22,2.23,1.92,2.18,0.74
Marina del Rey,6027.0,318.0,62.0,1.0,215.0,454.0,772.0,594.0,959.0,294.0,371.0,479.0,505.0,371.0,236.0,150.0,90.0,68.0,87.0,5.28,1.03,0.02,3.57,7.53,12.81,9.86,15.91,4.88,6.16,7.95,8.38,6.16,3.92,2.49,1.49,1.13
North Whittier,5771.0,248.0,233.0,303.0,361.0,502.0,345.0,394.0,484.0,296.0,395.0,423.0,308.0,378.0,262.0,243.0,279.0,179.0,141.0,4.3,4.04,5.25,6.26,8.7,5.98,6.83,8.39,5.13,6.84,7.33,5.34,6.55,4.54,4.21,4.83,3.1
Whittier Narrows,5495.0,312.0,284.0,281.0,360.0,414.0,465.0,387.0,280.0,354.0,411.0,318.0,374.0,356.0,256.0,235.0,150.0,159.0,99.0,5.68,5.17,5.11,6.55,7.53,8.46,7.04,5.1,6.44,7.48,5.79,6.81,6.48,4.66,4.28,2.73,2.89
Elysian Park,5457.0,336.0,208.0,146.0,194.0,484.0,816.0,581.0,526.0,248.0,303.0,240.0,330.0,261.0,293.0,144.0,106.0,95.0,146.0,6.16,3.81,2.68,3.56,8.87,14.95,10.65,9.64,4.54,5.55,4.4,6.05,4.78,5.37,2.64,1.94,1.74
East La Mirada,5347.0,257.0,286.0,331.0,378.0,473.0,254.0,326.0,428.0,305.0,409.0,331.0,387.0,340.0,195.0,279.0,156.0,109.0,103.0,4.81,5.35,6.19,7.07,8.85,4.75,6.1,8.0,5.7,7.65,6.19,7.24,6.36,3.65,5.22,2.92,2.04
Avocado Heights,5218.0,315.0,433.0,274.0,362.0,373.0,505.0,322.0,378.0,326.0,342.0,336.0,260.0,342.0,182.0,155.0,151.0,101.0,63.0,6.04,8.3,5.25,6.94,7.15,9.68,6.17,7.24,6.25,6.55,6.44,4.98,6.55,3.49,2.97,2.89,1.94
Athens Village,4936.0,316.0,277.0,274.0,285.0,290.0,448.0,357.0,284.0,275.0,409.0,329.0,291.0,310.0,155.0,315.0,94.0,51.0,176.0,6.4,5.61,5.55,5.77,5.88,9.08,7.23,5.75,5.57,8.29,6.67,5.9,6.28,3.14,6.38,1.9,1.03
East Whittier,4879.0,279.0,304.0,246.0,287.0,332.0,327.0,394.0,277.0,237.0,489.0,504.0,166.0,351.0,150.0,131.0,162.0,178.0,65.0,5.72,6.23,5.04,5.88,6.8,6.7,8.08,5.68,4.86,10.02,10.33,3.4,7.19,3.07,2.68,3.32,3.65
Del Aire,4841.0,166.0,477.0,364.0,236.0,110.0,375.0,675.0,433.0,393.0,315.0,411.0,179.0,202.0,67.0,224.0,69.0,39.0,106.0,3.43,9.85,7.52,4.88,2.27,7.75,13.94,8.94,8.12,6.51,8.49,3.7,4.17,1.38,4.63,1.43,0.81
Reseda Ranch,4532.0,162.0,240.0,308.0,308.0,412.0,356.0,144.0,414.0,375.0,427.0,220.0,227.0,358.0,172.0,149.0,40.0,85.0,133.0,3.57,5.3,6.8,6.8,9.09,7.86,3.18,9.14,8.27,9.42,4.85,5.01,7.9,3.8,3.29,0.88,1.88
Kagel/Lopez Canyons,4473.0,370.0,166.0,259.0,224.0,266.0,313.0,342.0,314.0,314.0,336.0,289.0,306.0,287.0,298.0,190.0,116.0,44.0,39.0,8.27,3.71,5.79,5.01,5.95,7.0,7.65,7.02,7.02,7.51,6.46,6.84,6.42,6.66,4.25,2.59,0.98
Wellington Square,4389.0,183.0,309.0,224.0,251.0,264.0,411.0,227.0,323.0,278.0,313.0,400.0,334.0,280.0,219.0,134.0,66.0,41.0,132.0,4.17,7.04,5.1,5.72,6.02,9.36,5.17,7.36,6.33,7.13,9.11,7.61,6.38,4.99,3.05,1.5,0.93
Shadow Hills,4364.0,173.0,252.0,259.0,211.0,278.0,106.0,261.0,198.0,292.0,304.0,460.0,441.0,305.0,264.0,214.0,115.0,89.0,142.0,3.96,5.77,5.93,4.84,6.37,2.43,5.98,4.54,6.69,6.97,10.54,10.11,6.99,6.05,4.9,2.64,2.04
White Fence Farms,4313.0,224.0,279.0,250.0,318.0,291.0,220.0,255.0,252.0,249.0,312.0,414.0,341.0,277.0,249.0,119.0,172.0,41.0,49.0,5.19,6.47,5.8,7.37,6.75,5.1,5.91,5.84,5.77,7.23,9.6,7.91,6.42,5.77,2.76,3.99,0.95
Wiseburn,4240.0,189.0,306.0,350.0,230.0,354.0,305.0,271.0,215.0,348.0,263.0,391.0,245.0,268.0,102.0,195.0,66.0,50.0,93.0,4.46,7.22,8.25,5.42,8.35,7.19,6.39,5.07,8.21,6.2,9.22,5.78,6.32,2.41,4.6,1.56,1.18
Little Tokyo,3998.0,99.0,0.0,31.0,85.0,269.0,518.0,355.0,335.0,241.0,286.0,267.0,279.0,193.0,179.0,296.0,266.0,146.0,153.0,2.48,0.0,0.78,2.13,6.73,12.96,8.88,8.38,6.03,7.15,6.68,6.98,4.83,4.48,7.4,6.65,3.65
University Hills,3961.0,197.0,193.0,144.0,626.0,635.0,355.0,317.0,303.0,160.0,241.0,226.0,143.0,119.0,106.0,84.0,42.0,11.0,58.0,4.97,4.87,3.64,15.8,16.03,8.96,8.0,7.65,4.04,6.08,5.71,3.61,3.0,2.68,2.12,1.06,0.28
Longwood,3884.0,203.0,164.0,276.0,134.0,269.0,468.0,292.0,279.0,333.0,364.0,261.0,239.0,172.0,158.0,120.0,68.0,18.0,64.0,5.23,4.22,7.11,3.45,6.93,12.05,7.52,7.18,8.57,9.37,6.72,6.15,4.43,4.07,3.09,1.75,0.46
Lafayette Square,3876.0,155.0,182.0,158.0,148.0,333.0,287.0,427.0,315.0,272.0,219.0,286.0,442.0,149.0,188.0,150.0,89.0,31.0,45.0,4.0,4.7,4.08,3.82,8.59,7.4,11.02,8.13,7.02,5.65,7.38,11.4,3.84,4.85,3.87,2.3,0.8
Leona Valley,3839.0,205.0,288.0,260.0,221.0,237.0,232.0,179.0,240.0,151.0,286.0,221.0,364.0,314.0,371.0,99.0,102.0,50.0,18.0,5.34,7.5,6.77,5.76,6.17,6.04,4.66,6.25,3.93,7.45,5.76,9.48,8.18,9.66,2.58,2.66,1.3
Exposition,3778.0,145.0,250.0,369.0,254.0,353.0,279.0,224.0,316.0,199.0,272.0,223.0,299.0,185.0,157.0,164.0,8.0,17.0,64.0,3.84,6.62,9.77,6.72,9.34,7.38,5.93,8.36,5.27,7.2,5.9,7.91,4.9,4.16,4.34,0.21,0.45
St Elmo Village,3707.0,248.0,201.0,166.0,148.0,373.0,372.0,267.0,334.0,211.0,382.0,242.0,218.0,220.0,169.0,31.0,78.0,19.0,27.0,6.69,5.42,4.48,3.99,10.06,10.04,7.2,9.01,5.69,10.3,6.53,5.88,5.93,4.56,0.84,2.1,0.51
