state_code,county_name,county_fips_code,county_population_in_2012,county_income_in_2012,5th_percentile_damages,17th_percentile_damages,median_damages,83rd_percentile_damages,95th_percentile_damages
FL,Pinellas County,12103,922270,44108,7.678899765,10.32800007,14.8739996,23.37800026,31.88999939
TX,Bee County,48025,32451,27516,8.29940033,10.36999989,14.82699966,20.31500053,25.89299965
MS,Winston County,28159,18985,29025,7.007100105,9.901599884,14.80300045,23.20499992,29.96100044
TX,Hill County,48217,35109,33211,5.152800083,8.739299774,14.77999973,21.86599922,28.56999969
AL,Franklin County,01059,31660,28543,6.559299946,9.50549984,14.76599979,22.55800056,30.45400047
TX,Milam County,48331,24143,34629,6.057499886,9.201600075,14.73499966,22.13299942,29.11800003
FL,Hendry County,12051,37686,27471,8.388400078,10.87199974,14.72999954,21.1989994,30.54299927
TX,Aransas County,48007,23707,41450,7.679900169,10.09899998,14.72599983,21.57999992,28.46999931
AL,Conecuh County,01035,13005,27846,6.602300167,9.414400101,14.72299957,24.56900024,34.93500137
AL,Winston County,01133,24185,27993,7.158699989,10.28299999,14.71199989,23.29500008,31.04500008
AL,Choctaw County,01023,13559,28994,6.950900078,9.675100327,14.69200039,23.50200081,31.37999916
TX,Gonzales County,48177,19971,34650,6.988100052,9.736100197,14.68299961,21.64500046,27.76399994
TX,Cameron County,48061,416050,23921,9.01060009,11.29500008,14.67800045,19.36100006,24.9659996
FL,Volusia County,12127,497090,34486,6.41779995,9.917200089,14.67700005,23.93700027,33.67200089
AR,Chicot County,05017,11458,32872,7.270800114,9.915800095,14.63799953,23.37100029,30.06999969
GA,Grady County,13131,25366,28810,5.90530014,9.303799629,14.63300037,22.88400078,31.62899971
TN,Lake County,47095,7703,22736,5.198200226,9.174799919,14.58300018,26.05400085,36.01699829
GA,Cook County,13075,16859,25623,5.723199844,9.043399811,14.58300018,25.92499924,35.45399857
AL,Bullock County,01011,10589,24541,5.460499763,8.7208004,14.57800007,25.26099968,34.93199921
TX,Childress County,48075,7096,23465,4.959899902,8.220999718,14.56499958,23.67700005,32.34500122
MS,Humphreys County,28053,9208,30954,7.459899902,10.15100002,14.50699997,22.81399918,28.38999939
TX,Zapata County,48505,14232,30242,9.505599976,11.17000008,14.50500011,18.22500038,22.14999962
OK,Pushmataha County,40127,11233,28994,4.350699902,8.122099876,14.48400021,23.08099937,31.28300095
TX,Cass County,48067,30187,32624,6.209199905,9.318300247,14.46500015,21.44099998,26.81500053
OK,Greer County,40055,6056,24874,4.594600201,7.809999943,14.43700027,23.52899933,30.7840004
FL,St. Lucie County,12111,283560,32330,7.547200203,10.11200047,14.43500042,23.25699997,32.09600067
GA,Screven County,13251,14200,27801,5.304200172,9.019900322,14.42700005,23.08499908,32.27799988
LA,Grant Parish,22043,22376,28037,6.583300114,9.553099632,14.42500019,21.70400047,27.59399986
MS,Webster County,28155,10051,29154,6.075300217,9.517000198,14.41800022,24.16200066,32.92300034
FL,Manatee County,12081,334070,39183,7.576200008,10.10200024,14.40100002,21.74699974,29.15999985
MS,Quitman County,28119,7802,27585,6.236499786,9.00399971,14.39599991,24.29800034,31.33099937
AR,Phillips County,05107,20772,28907,6.062399864,9.119099617,14.38500023,23.43400002,30.7840004
AR,Bradley County,05011,11298,30220,5.807600021,8.763199806,14.36200047,22.91500092,30.68499947
MS,Jefferson Davis County,28065,12087,27550,6.718100071,8.957500458,14.35700035,23.5,32.17300034
MS,Franklin County,28037,7887,28617,6.871799946,9.493200302,14.35299969,21.89900017,28.70999908
MS,Copiah County,28029,28902,29499,7.665699959,9.811400414,14.34899998,21.5529995,29.05500031
LA,Caldwell Parish,22021,10000,32853,6.88380003,9.252599716,14.33300018,20.97500038,27.85499954
MS,Yazoo County,28163,28282,27908,6.979100227,9.660300255,14.32499981,21.39999962,27.38100052
MS,Amite County,28005,12972,29353,6.570300102,9.40530014,14.30599976,21.88800049,30.80400085
AR,Ouachita County,05103,25411,31180,5.897799969,8.915699959,14.29699993,23.15800095,30.23900032
AR,Little River County,05081,12905,29972,5.279300213,8.637800217,14.29100037,21.7859993,29.09300041
MS,Kemper County,28069,10366,26123,7.376299858,9.82159996,14.27299976,22.66399956,28.78899956
AL,Pickens County,01107,19344,30118,7.06069994,9.519100189,14.25199986,22.1439991,30.12000084
FL,Sumter County,12119,102820,35300,6.283400059,9.325900078,14.23799992,23.27099991,31.37899971
TX,Goliad County,48175,7338,35489,7.607800007,9.823699951,14.21100044,20.38400078,27.125
AR,Sevier County,05133,17174,23646,5.342299938,8.970499992,14.18900013,21.46699905,28.91399956
FL,Lee County,12071,644990,40248,7.911200047,10.34200001,14.16499996,21.30699921,28.1420002
TX,Motley County,48345,1195,28745,4.28429985,7.501999855,14.15999985,24.45999908,35.1629982
GA,Emanuel County,13107,22849,26727,5.129499912,8.696900368,14.15499973,23.22999954,32.44900131
FL,Gadsden County,12039,46653,27809,5.708899975,9.103599548,14.13000011,22.68899918,31.93700027
GA,Dodge County,13091,21353,25781,5.191999912,8.253399849,14.10999966,24.12599945,33.54399872
MO,Dunklin County,29069,31872,30988,5.738399982,9.126999855,14.09500027,23.1079998,32.45700073
LA,Richland Parish,22083,20923,33870,6.833899975,9.469400406,14.08899975,21.3920002,27.73399925
SC,McCormick County,45065,9949,29814,5.894299984,8.775300026,14.08199978,21.44400024,30.46699905
GA,Irwin County,13155,9600,27971,5.628600121,8.181799889,14.07999992,23.4659996,33.60499954
TX,Cherokee County,48073,51152,30734,5.028299809,8.571700096,14.07999992,21.03100014,28.20899963
AR,Dallas County,05039,7965,28605,4.760799885,8.16230011,14.07699966,23.625,32.59400177
MO,Wayne County,29223,13377,25829,3.99180007,8.427000046,14.05099964,25.20899963,35.01300049
TX,Grimes County,48185,26724,34070,6.787700176,9.255299568,14.04899979,20.4109993,26.34700012
MS,Smith County,28129,16333,27201,6.93170023,9.347100258,14.03100014,22.08099937,29.48999977
OK,McIntosh County,40091,20522,30681,3.536299944,7.05039978,14.01000023,22.01300049,30.17499924
MS,Adams County,28001,32141,33454,6.486199856,9.183899879,13.99800014,21.79999924,27.91699982
GA,Appling County,13001,18379,28309,5.548999786,8.727600098,13.97599983,22.13599968,30.77599907
FL,Calhoun County,12013,14709,22415,4.676599979,7.979499817,13.97399998,24.01600075,35.27299881
TX,Caldwell County,48055,38711,27312,6.682099819,9.366600037,13.97299957,19.56999969,25.15800095
TX,Shelby County,48419,25988,35496,5.714099884,8.860500336,13.9630003,20.59399986,26.68899918
GA,Atkinson County,13003,8247,24432,5.859799862,8.478899956,13.95199966,22.68799973,31.75300026
AR,Lincoln County,05079,14149,23053,6.527200222,9.179499626,13.93799973,22.17200089,29.04500008
TX,Wood County,48499,42525,30984,4.180300236,7.698299885,13.91399956,22.30900002,29.33600044
MS,Calhoun County,28013,14848,27597,6.138400078,8.861100197,13.90200043,22.60199928,31.6970005
TX,Walker County,48471,68656,23704,6.78000021,9.670399666,13.89700031,19.97200012,25.63400078
GA,Jeff Davis County,13161,15114,27607,5.71780014,8.647299767,13.88700008,23.12599945,30.38699913
TX,Fayette County,48149,24720,43090,5.700099945,8.574199677,13.8760004,20.56100082,27.77799988
GA,Talbot County,13263,6538,27549,4.912000179,7.98239994,13.83399963,23.40800095,33.67200089
FL,Gilchrist County,12041,16872,29353,5.682799816,8.868700027,13.77999973,22.9260006,30.38999939
GA,Glascock County,13125,3120,25668,4.062200069,7.080900192,13.77499962,24.7159996,36.875
GA,Crisp County,13081,23657,25363,5.159800053,8.061200142,13.7670002,24.27499962,34.87900162
TX,Knox County,48275,3768,34824,4.392399788,7.84829998,13.75399971,21.86700058,30.81299973
MS,George County,28039,22872,29320,6.55340004,9.19699955,13.7510004,21.49200058,31.01600075
SC,Marlboro County,45069,28157,23383,4.927100182,7.200399876,13.73700047,22.34700012,31.87000084
LA,Jackson Parish,22049,16236,31047,5.995299816,8.870699883,13.71500015,22.67300034,30.78700066
MS,Sunflower County,28133,28473,27270,7.038899899,9.450499535,13.69099998,21.72800064,28.05800056
AL,Greene County,01063,8827,29326,6.374199867,9.043899536,13.68000031,21.46699905,28.88299942
TX,Kleberg County,48273,32180,32593,7.777100086,9.913299561,13.67199993,18.2329998,23.76799965
FL,Holmes County,12059,19725,25539,3.761300087,7.213699818,13.60400009,24.44599915,36.10400009
FL,Osceola County,12097,288970,26770,7.44659996,9.782299995,13.59899998,20.66600037,29.20400047
LA,St. Bernard Parish,22087,41498,28047,5.995900154,8.581100464,13.59200001,20.85400009,28.40200043
AL,Clarke County,01025,25168,29684,6.502999783,9.106300354,13.59000015,21.1760006,29.99300003
MS,Scott County,28123,28248,25793,6.097799778,8.917200089,13.57499981,22.03800011,27.88800049
AL,Sumter County,01119,13411,28582,6.536600113,9.14659977,13.57499981,21.54299927,28.76600075
MS,Lawrence County,28077,12601,30135,5.918799877,8.246999741,13.56599998,20.83499908,27.97699928
TX,Colorado County,48089,20685,41993,6.338099957,9.004199982,13.55700016,20.62100029,26.93199921
AR,Hot Spring County,05059,33386,27005,5.373000145,8.655599594,13.55200005,20.79400063,28.38100052
OK,Bryan County,40013,43462,28436,4.031099796,7.667399883,13.54699993,21.00300026,28.05699921
GA,Wayne County,13305,30371,29300,5.858200073,8.805299759,13.54500008,21.21800041,32.36500168
GA,Taylor County,13269,8381,24534,4.439700127,7.730100155,13.53999996,24.00300026,32.47299957
AR,Lafayette County,05073,7431,30599,4.576300144,8.185199738,13.53899956,22.52400017,29.51399994
TX,Refugio County,48391,7238,42310,6.881700039,9.158599854,13.53299999,19.59600067,25.12899971
OK,Johnston County,40069,11005,29974,3.235899925,6.956600189,13.52700043,22.00099945,29.29700089
FL,Washington County,12133,24857,24218,4.076700211,7.268400192,13.50199986,24.37199974,36.25400162
MS,Covington County,28031,19523,29140,6.356500149,8.805199623,13.49400043,22.65399933,30.28499985
MS,Simpson County,28127,27334,30672,6.302499771,9.143600464,13.49400043,20.68199921,26.46899986
SC,Jasper County,45053,25973,23033,5.718900204,8.659899712,13.47099972,21.56500053,30.36700058
AR,Polk County,05113,20440,26102,4.498000145,7.458199978,13.47099972,21.18600082,29.4090004
NM,Luna County,35029,25019,28262,5.222899914,8.459199905,13.46899986,20.80200005,29.87100029
TX,Nacogdoches County,48347,65841,30125,6.55880022,9.187999725,13.46800041,19.67300034,25.05400085
LA,Claiborne Parish,22027,16861,32480,6.328800201,8.706999779,13.43099976,20.63199997,25.74200058
GA,Evans County,13109,10660,28239,5.310100079,8.100299835,13.40999985,21.98600006,30.625
GA,Pulaski County,13235,11680,25253,5.404900074,8.119700432,13.39799976,23.13400078,33.51900101
MO,Ripley County,29181,14035,27867,5.145199776,8.092200279,13.35700035,23.56200027,30.83499908
TX,Delta County,48119,5307,32039,3.574700117,7.745200157,13.35200024,20.99200058,28.06100082
TX,Anderson County,48001,58026,29970,4.508100033,7.698400021,13.34899998,20.06900024,27.17200089
TX,Kent County,48263,839,37126,3.665699959,6.913499832,13.31999969,22.39699936,30.82600021
OK,Hughes County,40063,13785,31903,3.620199919,6.899199963,13.31700039,21.8579998,29.33300018
TX,Freestone County,48161,19481,33982,4.71269989,8.301099777,13.31299973,19.98800087,26.28800011
TX,Haskell County,48207,5880,34885,4.113599777,7.499899864,13.30799961,21.30999947,28.87100029
TX,Baylor County,48023,3615,36316,3.39470005,7.186800003,13.30799961,21.05200005,27.70000076
TX,Van Zandt County,48467,52355,31481,3.998300076,7.890299797,13.3039999,20.92900085,27.96299934
TX,Henderson County,48213,78942,32677,4.066800117,7.704500198,13.29699993,20.81800079,25.7310009
AR,Lee County,05077,10190,27774,5.225500107,8.449199677,13.29500008,21.62999916,28.04299927
MS,Attala County,28007,19123,28207,5.348599911,8.11550045,13.28299999,22.99099922,32.94100189
AL,Monroe County,01099,22609,29306,6.377500057,8.683199883,13.28100014,21.80800056,30.28100014
GA,Brooks County,13027,15537,30782,4.992499828,8.188699722,13.27499962,23.31599998,33.7120018
LA,La Salle Parish,22059,14858,35921,6.620900154,9.054599762,13.27000046,19.60899925,25.67099953
LA,Webster Parish,22119,40943,34825,5.813600063,8.907299995,13.26200008,20.33600044,27.38100052
MO,Iron County,29093,10424,28467,3.788399935,7.444399834,13.26000023,23.28899956,31.24200058
OK,Haskell County,40061,12867,32097,4.437300205,7.623099804,13.24400043,20.57099915,27.63199997
TX,Jones County,48253,19910,27470,5.364099979,8.109000206,13.2329998,20.01300049,27.36199951
SC,Bamberg County,45009,15790,28189,5.094399929,7.837299824,13.2329998,21.37000084,30.45299911
TX,Uvalde County,48463,26760,34117,5.756599903,8.624500275,13.22500038,18.14999962,23.23699951
TN,McNairy County,47109,26171,27053,5.403299809,8.445899963,13.20899963,22.18000031,30.44499969
LA,Avoyelles Parish,22009,41602,33590,5.703800201,8.514699936,13.19200039,21.01600075,26.33799934
SC,Colleton County,45029,38230,29661,4.754099846,8.18200016,13.18999958,21.09199905,29.43000031
TX,San Jacinto County,48407,27000,29491,6.136000156,8.847200394,13.18099976,20.04100037,27.86800003
MS,Coahoma County,28027,25685,29091,6.179500103,8.655099869,13.17399979,21.65999985,28.16200066
GA,Pierce County,13229,18835,29750,5.902800083,8.282099724,13.17199993,21.22400093,29.66200066
TX,Mason County,48319,4044,35255,4.007900238,7.255400181,13.16600037,20.27400017,27.34300041
HI,Kalawao County,15005,79261,38240,7.349599838,9.345299721,13.16100025,21.93700027,30.45000076
AR,Woodruff County,05147,7071,34329,4.972799778,7.889699936,13.13500023,22.59300041,30.55800056
SC,Union County,45087,28222,27121,5.002200127,7.57490015,13.1239996,21.04199982,30.75200081
GA,Decatur County,13087,27463,32429,5.627099991,8.312399864,13.11499977,20.61899948,28.81200027
TX,Dickens County,48125,2325,26947,3.987099886,6.894100189,13.11200047,21.69199944,29.45599937
MS,Washington County,28151,50051,31957,6.670700073,8.986599922,13.09799957,19.8409996,25.45000076
FL,Franklin County,12037,11671,30856,5.395400047,8.47329998,13.09599972,21.02499962,30.16399956
GA,Dooly County,13093,14326,22448,5.315499783,7.871099949,13.0909996,22.51499939,30.56100082
TX,Comanche County,48093,13746,33476,4.080200195,7.943699837,13.07699966,20.34900093,29.36100006
MS,Sharkey County,28125,4787,32716,5.987999916,8.802900314,13.07499981,19.8939991,26.10199928
AR,Hempstead County,05057,22325,28373,4.172999859,7.728899956,13.04500008,20.18899918,26.3560009
GA,Twiggs County,13289,8501,29744,5.048900127,7.88929987,13.03199959,21.64900017,28.64100075
LA,Red River Parish,22081,9027,32318,5.266600132,8.019000053,13.01900005,20.42099953,26.56299973
GA,Long County,13183,16161,21758,6.468699932,8.929100037,13.00699997,19.14800072,26.99300003
TX,Webb County,48479,259990,27159,8.325799942,10.12300014,13.00300026,16.20599937,19.38999939
MS,Wayne County,28153,20635,29604,6.359099865,8.411299706,12.97200012,20.13899994,25.18499947
GA,Hancock County,13141,9030,23629,5.529300213,7.879799843,12.95699978,21.13899994,30.85000038
GA,Berrien County,13019,19063,28007,5.578299999,8.481100082,12.93900013,21.96899986,30.29100037
OK,Okmulgee County,40111,39587,29217,2.984600067,6.497399807,12.91399956,22.11599922,29.15200043
MO,Shannon County,29203,8323,22850,4.263700008,7.588500023,12.90400028,21.10400009,27.84000015
AL,Perry County,01105,10172,28208,5.111400127,7.840499878,12.89599991,21.98200035,30.70899963
FL,Jefferson County,12065,14193,33088,5.045700073,7.819300175,12.88700008,21.0359993,30.37100029
OK,Coal County,40029,5918,31468,3.500699997,6.635900021,12.88099957,21.45599937,28.88899994
LA,Concordia Parish,22029,20446,32019,5.913899899,7.89260006,12.86699963,20.31900024,26.22900009
TX,Rains County,48379,10938,30140,4.202600002,7.715799809,12.86600018,19.35899925,26.26799965
OK,McCurtain County,40089,33229,28929,4.208499908,7.684299946,12.8579998,20.4489994,26.77700043
TX,Robertson County,48395,16490,39506,4.86619997,7.956200123,12.84399986,19.32600021,26.06200027
MS,Benton County,28009,8652,24649,4.558499813,7.872499943,12.8380003,21.51300049,30.54999924
FL,Brevard County,12009,547670,37794,6.538799763,8.887000084,12.82499981,20.62400055,28.07600021
TX,Medina County,48325,46867,33265,6.269299984,8.624500275,12.81599998,17.82999992,23.40699959
OK,Le Flore County,40079,49935,29878,4.140299797,7.619400024,12.81400013,20.40600014,27.23500061
AL,Macon County,01087,20470,27969,4.697199821,7.697500229,12.80500031,22.06699944,30.75799942
TX,Edwards County,48137,1968,33351,6.471399784,9.124799728,12.79800034,18.07699966,23.46999931
AR,Monroe County,05095,7840,33799,5.286200047,7.94630003,12.79699993,21.16399956,28.67900085
TX,Reeves County,48389,13892,23626,4.661099911,7.810500145,12.78899956,19.94000053,26.0359993
TX,Kenedy County,48261,432,39766,7.961400032,9.739199638,12.76599979,16.65600014,21.67200089
GA,Coffee County,13069,43093,25902,5.780200005,8.106300354,12.76000023,20.40299988,27.06900024
GA,Mitchell County,13205,23121,30087,5.684700012,7.998300076,12.74100018,20.27499962,27.48600006
GA,Jefferson County,13163,16422,29298,4.459599972,7.337100029,12.72799969,21.70899963,29.9260006
FL,Sarasota County,12115,386050,50976,6.578299999,8.932700157,12.72799969,19.47500038,27.05200005
SC,Dillon County,45033,31447,24027,4.513800144,7.184800148,12.72599983,20.95700073,30.90200043
