store_code,sku,item_title,primary_image,primary_image_url,sales_size,sales_uom_description,final_price,retail_price,fun_tags,item_characteristics,category_hierarchy,name,store_number,drop,prod_cat,prod_cat_type,prod_cat_desc
199,065156,La Colombe Pumpkin Spice Cold Brew Latte,/content/dam/trjo/products/m301/65156.png,/content/dam/trjo/products/m301/65156.png,9.0,Fl Oz,2.99,2.99,"Fall Faves, Heat Wave, Rise & Shine",,Products > Beverages > Juices & More,Trader Joe's Chico ,199,Products , Beverages , Juices & More,None
199,072270,Organic Pasture Raised Large Brown Eggs,/content/dam/trjo/products/m20304/72270.png,/content/dam/trjo/products/m20304/72270.png,1.0,Doz,5.99,6.49,"Brunch All Day, Family Style, Put An Egg On It, Yes!","Kosher, Organic",Products > Food > Dairy & Eggs > Eggs,Trader Joe's Chico ,199,Products , Food , Dairy & Eggs , Eggs
199,050661,Delicata Squash,/content/dam/trjo/products/m20702/50661.png,/content/dam/trjo/products/m20702/50661.png,1.0,Each,1.49,1.49,"Alfresco Dining, Fall Faves, Let's Bake!, Picnic, The ""X"" Factor",,Products > Food > Fresh Fruits & Veggies > Veggies,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Veggies
199,078933,Organic Maple Butter,/content/dam/trjo/products/m20909/78933.png,/content/dam/trjo/products/m20909/78933.png,7.0,Oz,4.99,4.99,"Fall Faves, Pour It On, Yes!","Organic, Kosher","Products > Food > For the Pantry > Honeys, Syrups & Nectars",Trader Joe's Chico ,199,Products , Food , For the Pantry ," Honeys, Syrups & Nectars"
199,078780,Pumpkin & Spice Snickerdoodle Cookie Mix,/content/dam/trjo/products/m20905/78780.png,/content/dam/trjo/products/m20905/78780.png,17.57,Oz,3.99,3.99,"Fall Faves, Family Style, Let's Bake!, Treat Yourself",Kosher,Products > Food > For the Pantry > For Baking & Cooking,Trader Joe's Chico ,199,Products , Food , For the Pantry , For Baking & Cooking
199,079675,Chicken Uncured Bacon Ranch Dip,/content/dam/trjo/products/m20404/79675.png,/content/dam/trjo/products/m20404/79675.png,12.0,Oz,5.49,5.49,"Cheese Board, Crack a Beer, Effortless Entertaining, Game Night",,"Products > Food > Dips, Sauces & Dressings > Dip/Spread",Trader Joe's Chico ,199,Products , Food ," Dips, Sauces & Dressings ", Dip/Spread
199,079111,Sweet Chili Mango Complete Salad Kit,/content/dam/trjo/products/m20501/79111.png,/content/dam/trjo/products/m20501/79111.png,11.25,Oz,3.99,3.99,"Alfresco Dining, Dinner Hack, Picnic",Vegan,"Products > Food > Fresh Prepared Foods > Salads, Soups & Sides",Trader Joe's Chico ,199,Products , Food , Fresh Prepared Foods ," Salads, Soups & Sides"
199,091769,Spaghetti Squash,/content/dam/trjo/products/m20702/91769.png,/content/dam/trjo/products/m20702/91769.png,1.0,Each,2.49,2.49,"Fall Faves, Let's Bake!",,Products > Food > Fresh Fruits & Veggies > Veggies,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Veggies
199,078597,Sugar Bee® Apple,/content/dam/trjo/products/m20701/78597.png,/content/dam/trjo/products/m20701/78597.png,1.0,Each,1.29,1.29,"Backpack Ready, Fall Faves, Rain or Shine",,Products > Food > Fresh Fruits & Veggies > Fruits,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Fruits
199,079301,Harvest Brunch Dog Treats,/content/dam/trjo/products/m503/79301.png,/content/dam/trjo/products/m503/79301.png,4.5,Oz,3.49,3.49,"Backpack Ready, Fall Faves, Giftable",,Products > Everything Else > Pet Stuff,Trader Joe's Chico ,199,Products , Everything Else , Pet Stuff,None
199,079261,Pumpkin Ultra Moisturizing Hand Cream,/content/dam/trjo/products/m502/79261.png,/content/dam/trjo/products/m502/79261.png,3.0,Oz,4.99,4.99,"Fall Faves, Giftable",,Products > Everything Else > For the Face & Body,Trader Joe's Chico ,199,Products , Everything Else , For the Face & Body,None
199,079363,Vanilla Pumpkin Scented Hand Soap,/content/dam/trjo/products/m502/79363.png,/content/dam/trjo/products/m502/79363.png,16.0,Fl Oz,3.99,3.99,"Fall Faves, Giftable",,Products > Everything Else > For the Face & Body,Trader Joe's Chico ,199,Products , Everything Else , For the Face & Body,None
199,094506,10 Minute Farro,/content/dam/trjo/products/m20901/94506.png,/content/dam/trjo/products/m20901/94506.png,8.8,Oz,1.99,1.99,"Dinner Hack, Yes!",,Products > Food > For the Pantry > Pastas & Grains,Trader Joe's Chico ,199,Products , Food , For the Pantry , Pastas & Grains
199,079109,Savory Squash Pastry Bites,/content/dam/trjo/products/m20601/79109.png,/content/dam/trjo/products/m20601/79109.png,9.0,Oz,5.49,5.49,"Alfresco Dining, Effortless Entertaining, Fall Faves, Finger Food",,Products > Food > From The Freezer > Appetizers,Trader Joe's Chico ,199,Products , Food , From The Freezer , Appetizers
199,078809,All Butter Apple Shortbread Cookies,/content/dam/trjo/products/m21002/78809.png,/content/dam/trjo/products/m21002/78809.png,4.93,Oz,3.49,3.49,"Cheese Board, Date Night, Fall Faves, Feeling Fancy, Treat Yourself",,Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,079207,Pumpkin Spice Cold Brew Coffee Concentrate,/content/dam/trjo/products/m304/79207.png,/content/dam/trjo/products/m304/79207.png,32.0,Fl Oz,8.99,8.99,"Alfresco Dining, Backpack Ready, Brunch All Day, Fall Faves, Rise & Shine",,Products > Beverages > Coffee & Tea,Trader Joe's Chico ,199,Products , Beverages , Coffee & Tea,None
199,079153,Caramelized Onion Goat's Milk Cheese,/content/dam/trjo/products/m20203/79153.png,/content/dam/trjo/products/m20203/79153.png,4.0,Oz,2.99,2.99,"Alfresco Dining, Cheese Board, Crack a Beer, Effortless Entertaining, Fall Faves, Game Night, Pair With Wine",Kosher,"Products > Food > Cheese > Wedges, Wheels, Loaves, Logs",Trader Joe's Chico ,199,Products , Food , Cheese ," Wedges, Wheels, Loaves, Logs"
199,079157,White Stilton Cheese with Apple & Pear,/content/dam/trjo/products/m20203/79157.png,/content/dam/trjo/products/m20203/79157.png,1.0,Lb,11.99,11.99,"Alfresco Dining, Cheese Board, Date Night, Effortless Entertaining, Feeling Fancy",,"Products > Food > Cheese > Wedges, Wheels, Loaves, Logs",Trader Joe's Chico ,199,Products , Food , Cheese ," Wedges, Wheels, Loaves, Logs"
199,079616,Pumpkin Loaf,/content/dam/trjo/products/m20105/79616.png,/content/dam/trjo/products/m20105/79616.png,15.25,Oz,4.99,4.99,"Brunch All Day, Effortless Entertaining, Fall Faves, Treat Yourself",,Products > Food > Bakery > Sweet Stuff,Trader Joe's Chico ,199,Products , Food , Bakery , Sweet Stuff
199,076605,Pumpkin Spice Mini Sheet Cake,/content/dam/trjo/products/m20105/76605.png,/content/dam/trjo/products/m20105/76605.png,18.0,Oz,5.49,5.49,"Effortless Entertaining, Fall Faves, Family Style, Treat Yourself",,Products > Food > Bakery > Sweet Stuff,Trader Joe's Chico ,199,Products , Food , Bakery , Sweet Stuff
199,066065,Fall Leaf Corn Tortilla Chips,/content/dam/trjo/products/m21001/66065.png,/content/dam/trjo/products/m21001/66065.png,14.0,Oz,3.99,3.99,"Crack a Beer, Fall Faves, Finger Food, Game Night, Midday Snacks",Kosher,"Products > Food > Snacks & Sweets > Chips, Crackers & Crunchy Bites",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Chips, Crackers & Crunchy Bites"
199,062109,Susumaniello Ruggero di Bardo,/content/dam/trjo/products/m306/wine/62109.png,/content/dam/trjo/products/m306/wine/62109.png,750.0,mL,9.99,9.99,"A Long Finish, Bibulous, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,079524,Pumpkin Spice Chardonnay,/content/dam/trjo/products/m306/wine/79524.png,/content/dam/trjo/products/m306/wine/79524.png,750.0,mL,6.99,6.99,"A Long Finish, Bibulous, Date Night, Fall Faves, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,078993,Langhe Nebbiolo Rosa dell Olmo 2021,/content/dam/trjo/products/m306/wine/78993.png,/content/dam/trjo/products/m306/wine/78993.png,750.0,mL,8.99,8.99,"A Long Finish, Bibulous, Date Night, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,099318,Caretaker Pinot Noir 2022,/content/dam/trjo/products/m306/wine/99318.png,/content/dam/trjo/products/m306/wine/99318.png,750.0,mL,9.99,9.99,"A Long Finish, Bibulous, Date Night, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,066788,Loudenotte Pinot Noir 2022,/content/dam/trjo/products/m306/wine/66788.png,/content/dam/trjo/products/m306/wine/66788.png,750.0,mL,6.99,7.99,"A Long Finish, Bibulous, Date Night, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,057636,Moon X Pinot Noir,/content/dam/trjo/products/m306/wine/57636.png,/content/dam/trjo/products/m306/wine/57636.png,750.0,mL,6.99,6.99,"A Long Finish, Date Night, Glass Half Full",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,076003,Crunchy Pops,/content/dam/trjo/products/m21001/76003.png,/content/dam/trjo/products/m21001/76003.png,5.0,Oz,2.49,2.49,"Backpack Ready, Desk Drawer, Finger Food, Midday Snacks",Kosher,"Products > Food > Snacks & Sweets > Chips, Crackers & Crunchy Bites",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Chips, Crackers & Crunchy Bites"
199,072519,Sweet Potato Habanero Hot Sauce,/content/dam/trjo/products/m20403/72519.png,/content/dam/trjo/products/m20403/72519.png,5.0,Fl Oz,2.99,2.99,"Alfresco Dining, Crack a Beer, Feeling Adventurous, Mouth On Fire, Pour It On, Put An Egg On It",,"Products > Food > Dips, Sauces & Dressings > Salsa & Hot Sauce",Trader Joe's Chico ,199,Products , Food ," Dips, Sauces & Dressings ", Salsa & Hot Sauce
199,078791,Pizza Sauce,/content/dam/trjo/products/m20405/78791.png,/content/dam/trjo/products/m20405/78791.png,14.0,Oz,1.99,1.99,"Crack a Beer, Dinner Hack, Family Style, Let's Bake!, Pour It On",Kosher,"Products > Food > Dips, Sauces & Dressings > Dressing & Seasoning",Trader Joe's Chico ,199,Products , Food ," Dips, Sauces & Dressings ", Dressing & Seasoning
199,078836,Gluten Free Cheese Pizza,/content/dam/trjo/products/m20602/78836.png,/content/dam/trjo/products/m20602/78836.png,11.6,Oz,5.49,5.49,"Alfresco Dining, Crack a Beer, Dinner Hack, Family Style, Game Night, Rain or Shine",Gluten Free,Products > Food > From The Freezer > Entrées & Sides,Trader Joe's Chico ,199,Products , Food , From The Freezer , Entrées & Sides
199,077798,Freeze Dried Tart Cherries,/content/dam/trjo/products/m21003/77798.png,/content/dam/trjo/products/m21003/77798.png,1.2,Oz,3.99,3.99,"Backpack Ready, Desk Drawer, Finger Food, Midday Snacks",,"Products > Food > Snacks & Sweets > Nuts, Dried Fruits, Seeds",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Nuts, Dried Fruits, Seeds"
199,077924,Java of the Gods Small Lot Coffee,/content/dam/trjo/products/m304/77924.png,/content/dam/trjo/products/m304/77924.png,12.0,Oz,9.99,9.99,"Alfresco Dining, Brunch All Day, Rise & Shine",Kosher,Products > Beverages > Coffee & Tea,Trader Joe's Chico ,199,Products , Beverages , Coffee & Tea,None
199,053843,Dark Chocolate Ganache Mini Sheet Cake,/content/dam/trjo/products/m20105/53843.png,/content/dam/trjo/products/m20105/53843.png,18.0,Oz,4.99,4.99,"Date Night, Effortless Entertaining, Family Style, Stuff of Dreams, Treat Yourself",,Products > Food > Bakery > Sweet Stuff,Trader Joe's Chico ,199,Products , Food , Bakery , Sweet Stuff
199,053842,Chantilly Cream Vanilla Bean Mini Sheet Cake,/content/dam/trjo/products/m20105/53842.png,/content/dam/trjo/products/m20105/53842.png,18.0,Oz,4.99,4.99,"Date Night, Effortless Entertaining, Family Style, Stuff of Dreams, Treat Yourself",,Products > Food > Bakery > Sweet Stuff,Trader Joe's Chico ,199,Products , Food , Bakery , Sweet Stuff
199,020468,Pound Plus Milk Chocolate Bar,/content/dam/trjo/products/m21002/20468.png,/content/dam/trjo/products/m21002/20468.png,17.6,Oz,6.99,6.99,"Cheese Board, Desk Drawer, Treat Yourself",Kosher,Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,020469,Pound Plus Milk Chocolate Bar with Almonds,/content/dam/trjo/products/m21002/20469.png,/content/dam/trjo/products/m21002/20469.png,17.6,Oz,6.99,6.99,"Cheese Board, Date Night, Desk Drawer, Treat Yourself",Kosher,Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,048875,Pound Plus 72% Cacao Dark Chocolate,/content/dam/trjo/products/m21002/48875.png,/content/dam/trjo/products/m21002/48875.png,17.6,Oz,6.99,6.99,"Cheese Board, Date Night, Desk Drawer, Treat Yourself",Kosher,Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,029898,Tejava Original Black Tea,/content/dam/trjo/products/m301/29898.png,/content/dam/trjo/products/m301/29898.png,33.8,Fl Oz,2.49,2.49,"Alfresco Dining, Heat Wave, Picnic",,Products > Beverages > Juices & More,Trader Joe's Chico ,199,Products , Beverages , Juices & More,None
199,078498,Chile Crackers,/content/dam/trjo/products/m21001/78498.png,/content/dam/trjo/products/m21001/78498.png,5.0,Oz,2.99,2.99,"Cheese Board, Crack a Beer, Effortless Entertaining, Feeling Adventurous, Game Night, Mouth On Fire",,"Products > Food > Snacks & Sweets > Chips, Crackers & Crunchy Bites",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Chips, Crackers & Crunchy Bites"
199,009636,Black Beans,/content/dam/trjo/products/m20902/09636.png,/content/dam/trjo/products/m20902/09636.png,15.5,Oz,0.89,0.89,"Backpack Ready, Crack a Beer, Picnic, Rain or Shine, Yes!",Kosher,"Products > Food > For the Pantry > Packaged Fish, Meat, Fruit & Veg",Trader Joe's Chico ,199,Products , Food , For the Pantry ," Packaged Fish, Meat, Fruit & Veg"
199,075236,"Crispy, Crunchy Coated Peanuts",/content/dam/trjo/products/m21003/75236.png,/content/dam/trjo/products/m21003/75236.png,8.0,Oz,2.79,2.79,"Backpack Ready, Crack a Beer, Desk Drawer, Finger Food, Game Night, Midday Snacks",Kosher,"Products > Food > Snacks & Sweets > Nuts, Dried Fruits, Seeds",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Nuts, Dried Fruits, Seeds"
199,078750,Unexpected Cheddar Cheese & Turkey Sausage Egg White Bites,/content/dam/trjo/products/m20503/78750.png,/content/dam/trjo/products/m20503/78750.png,4.2,Oz,3.49,3.49,"Alfresco Dining, Backpack Ready, Brunch All Day, Finger Food, Midday Snacks, Rise & Shine",Gluten Free,Products > Food > Fresh Prepared Foods > Entrées & Center of Plate,Trader Joe's Chico ,199,Products , Food , Fresh Prepared Foods , Entrées & Center of Plate
199,077987,Sliced Seedy Multigrain Bread,/content/dam/trjo/products/m20101/77987.png,/content/dam/trjo/products/m20101/77987.png,16.0,Oz,3.49,3.49,"Cut The Mustard, Picnic, Rain or Shine",,Products > Food > Bakery > Sliced Bread,Trader Joe's Chico ,199,Products , Food , Bakery , Sliced Bread
199,077876,Ranch Seasoned Cashews,/content/dam/trjo/products/m21003/77876.png,/content/dam/trjo/products/m21003/77876.png,8.0,Oz,3.99,3.99,"Backpack Ready, Cheese Board, Crack a Beer, Desk Drawer, Finger Food, Game Night, Picnic",Kosher,"Products > Food > Snacks & Sweets > Nuts, Dried Fruits, Seeds",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Nuts, Dried Fruits, Seeds"
199,078876,Everything but the Kitchen Sink Cookie Mix,/content/dam/trjo/products/m20905/78876.png,/content/dam/trjo/products/m20905/78876.png,15.0,Oz,4.49,4.49,"Chance of Rain, Family Style, Let's Bake!, Treat Yourself",Kosher,Products > Food > For the Pantry > For Baking & Cooking,Trader Joe's Chico ,199,Products , Food , For the Pantry , For Baking & Cooking
199,077740,Spicy Squiggly Knife Cut Noodles,/content/dam/trjo/products/m20901/77740.png,/content/dam/trjo/products/m20901/77740.png,15.9,Oz,4.99,4.99,"Dinner Hack, Feeling Adventurous, In Lieu of Pizza, Mouth On Fire",,Products > Food > For the Pantry > Pastas & Grains,Trader Joe's Chico ,199,Products , Food , For the Pantry , Pastas & Grains
199,078549,Coffee Mochi,/content/dam/trjo/products/m20604/78549.png,/content/dam/trjo/products/m20604/78549.png,6.8,Oz,4.99,4.99,"Finger Food, Heat Wave, Treat Yourself","Gluten Free, Kosher",Products > Food > From The Freezer > Cool Desserts,Trader Joe's Chico ,199,Products , Food , From The Freezer , Cool Desserts
199,078136,Gluten Free Chocolate Chip Cookies,/content/dam/trjo/products/m21002/78136.png,/content/dam/trjo/products/m21002/78136.png,7.0,Oz,4.99,4.99,"Desk Drawer, The ""X"" Factor, Treat Yourself","Gluten Free, Kosher",Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,078169,Something Spritzy Pineapple & Orange,/content/dam/trjo/products/m305/78169.png,/content/dam/trjo/products/m305/78169.png,12.0,Fl Oz,1.99,1.99,"Alfresco Dining, Glass Half Full, Picnic",,Products > Beverages > Sodas & Mixers,Trader Joe's Chico ,199,Products , Beverages , Sodas & Mixers,None
199,078285,Turkey Chili with Beans,/content/dam/trjo/products/m20908/78285.png,/content/dam/trjo/products/m20908/78285.png,15.0,Oz,2.69,2.69,"Backpack Ready, Crack a Beer, Desk Drawer, Dinner Hack",,"Products > Food > For the Pantry > Soup, Chili & Meals",Trader Joe's Chico ,199,Products , Food , For the Pantry ," Soup, Chili & Meals"
199,077448,Chicken Sausage Breakfast Bowl,/content/dam/trjo/products/m20602/77448.png,/content/dam/trjo/products/m20602/77448.png,7.0,Oz,4.29,4.29,"Alfresco Dining, Brunch All Day, Rise & Shine",,Products > Food > From The Freezer > Entrées & Sides,Trader Joe's Chico ,199,Products , Food , From The Freezer , Entrées & Sides
199,079528,Mocha Latte Pretzels,/content/dam/trjo/products/m21002/79528.png,/content/dam/trjo/products/m21002/79528.png,7.0,Oz,2.99,2.99,"Date Night, Desk Drawer, Finger Food, Midday Snacks, Treat Yourself, Yes!",Kosher,Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,076864,Gluten Free Blueberry Muffins,/content/dam/trjo/products/m20105/76864.png,/content/dam/trjo/products/m20105/76864.png,14.0,Oz,5.99,5.99,"Alfresco Dining, Brunch All Day, Rise & Shine, The ""X"" Factor",Gluten Free,Products > Food > Bakery > Sweet Stuff,Trader Joe's Chico ,199,Products , Food , Bakery , Sweet Stuff
199,095153,Kumato Brown Tomatoes,/content/dam/trjo/products/m20702/95153.png,/content/dam/trjo/products/m20702/95153.png,16.0,Oz,3.69,3.69,"Alfresco Dining, Cut The Mustard, Picnic, Put An Egg On It",,Products > Food > Fresh Fruits & Veggies > Veggies,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Veggies
199,076075,Motif Cabernet Sauvignon Red Hills Lake County,/content/dam/trjo/products/m306/wine/76075.png,/content/dam/trjo/products/m306/wine/76075.png,750.0,mL,4.99,4.99,"Alfresco Dining, Bibulous, Date Night, Pair With Wine, Picnic",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,079632,Grand Reserve Syrah Sonoma County 2022,/content/dam/trjo/products/m306/wine/79632.png,/content/dam/trjo/products/m306/wine/79632.png,750.0,mL,12.99,12.99,"Alfresco Dining, Bibulous, Date Night",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,079777,Reserve Chardonnay Yountville Napa Valley 2023,/content/dam/trjo/products/m306/wine/79777.png,/content/dam/trjo/products/m306/wine/79777.png,750.0,mL,9.99,9.99,"Alfresco Dining, Bibulous, Date Night, Pair With Wine, Picnic",,"Products > Beverages > Wine, Beer & Liquor",Trader Joe's Chico ,199,Products , Beverages ," Wine, Beer & Liquor",None
199,032039,Yellow Squash,/content/dam/trjo/products/m20702/32039.png,/content/dam/trjo/products/m20702/32039.png,16.0,Oz,2.29,2.49,"Alfresco Dining, Fire Up The Grill, Fry It Up, Picnic",,Products > Food > Fresh Fruits & Veggies > Veggies,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Veggies
199,071698,Peach Black Tea Scented Candle,/content/dam/trjo/products/m501/71698.png,/content/dam/trjo/products/m501/71698.png,5.7,Oz,3.99,3.99,"Giftable, Treat Yourself, Welcoming",,Products > Everything Else > Household Essentials,Trader Joe's Chico ,199,Products , Everything Else , Household Essentials,None
199,050113,Organic Silver Dollar Pancakes,/content/dam/trjo/products/m20602/50113.png,/content/dam/trjo/products/m20602/50113.png,11.3,Oz,3.29,3.29,"Brunch All Day, Family Style, Rise & Shine","Organic, Kosher",Products > Food > From The Freezer > Entrées & Sides,Trader Joe's Chico ,199,Products , Food , From The Freezer , Entrées & Sides
199,073062,Tikka Masala Curry Sauce,/content/dam/trjo/products/m20908/73062.png,/content/dam/trjo/products/m20908/73062.png,8.8,Oz,2.29,2.29,"Dinner Hack, In Lieu of Pizza, Pour It On",Vegan,"Products > Food > For the Pantry > Soup, Chili & Meals",Trader Joe's Chico ,199,Products , Food , For the Pantry ," Soup, Chili & Meals"
199,091053,Pita Chips,/content/dam/trjo/products/m21001/91053.png,/content/dam/trjo/products/m21001/91053.png,6.0,Oz,2.49,2.49,"Cheese Board, Crack a Beer, Desk Drawer, Midday Snacks, Picnic","Kosher, Vegan","Products > Food > Snacks & Sweets > Chips, Crackers & Crunchy Bites",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Chips, Crackers & Crunchy Bites"
