nominee,replacing,nomination_date,result,result_date,yes,no,nomination_year,result_year
"Catron, John",(new seat),1837-03-03,C,1837-03-08,28,15,1837,1837
"Smith, William",(new seat),1837-03-03,D,1837-03-08,23,18,1837,1837
"Barbour, Philip",Duvall,1835-12-28,C,1836-03-15,30,11,1835,1836
"Taney, Roger",Marshall,1835-12-28,C,1836-03-15,29,15,1835,1836
"Taney, Roger",Duvall,1835-01-15,P,1835-03-03,24,21,1835,1835
"Wayne, James",Johnson,1835-01-06,C,1835-01-09,100,0,1835,1835
"Baldwin, Henry",Washington,1830-01-04,C,1830-01-06,41,2,1830,1830
"McLean, John",Trimble,1829-03-06,C,1829-03-07,100,0,1829,1829
"Crittenden, John",Trimble,1828-12-17,P,1829-02-12,23,17,1828,1829
"Trimble, Robert",Todd,1826-04-11,C,1826-05-09,27,5,1826,1826
"Thompson, Smith",Livingston,1823-12-05,C,1823-12-09,100,0,1823,1823
"Duvall, Gabriel",Chase,1811-11-15,C,1811-11-18,100,0,1811,1811
"Story, Joseph",Cushing,1811-11-15,C,1811-11-18,100,0,1811,1811
"Wolcott, Alexander",Cushing,1811-02-04,R,1811-02-13,9,24,1811,1811
"Todd, Thomas",(new seat),1807-02-28,C,1807-03-02,100,0,1807,1807
"Livingston, H. Brockholst",Paterson,1806-12-13,C,1806-12-17,100,0,1806,1806
"Johnson, William",Moore,1804-03-22,C,1804-03-24,100,0,1804,1804
"Marshall, John ",Ellsworth,1801-01-20,C,1801-01-27,100,0,1801,1801
"Moore, Alfred",Iredell,1799-12-04,C,1799-12-10,100,0,1799,1799
"Washington, Bushrod",Wilson,1798-12-19,C,1798-12-20,100,0,1798,1798
"Ellsworth, Oliver",Jay,1796-03-03,C,1796-03-04,21,1,1796,1796
"Chase, Samuel",Blair,1796-01-26,C,1796-01-27,100,0,1796,1796
"Rutledge, John ",Jay,1795-12-10,R,1795-12-15,10,14,1795,1795
"Paterson, William",Johnson,1793-03-04,C,1793-03-04,100,0,1793,1793
"Johnson, Thomas",Rutledge,1791-10-31,C,1791-11-07,100,0,1791,1791
"Iredell, James",Harrison,1790-02-08,C,1790-02-10,100,0,1790,1790
"Blair, John",,1789-09-24,C,1789-09-26,100,0,1789,1789
"Wilson, James",,1789-09-24,C,1789-09-26,100,0,1789,1789
"Cushing, William",,1789-09-24,C,1789-09-26,100,0,1789,1789
"Rutledge, John",,1789-09-24,C,1789-09-26,100,0,1789,1789
"Jay, John ",,1789-09-24,C,1789-09-26,100,0,1789,1789
