FY,Area,Legend,Rate
2019/2020,01103,UNIFIED SCHOOLS,0.1255
2019/2020,11030,CITY-CALABASAS T,0.0000
2019/2020,11030,COMMNTY COLLEGE,0.0272
2019/2020,11030,COUNTY,0.0000
2019/2020,11030,GENERAL,1.0000
2019/2020,11030,METRO WATER DIST,0.0035
2019/2020,11030,UNIFIED SCHOOLS,0.0756
2019/2020,11031,CITY-CALABASAS T,0.0000
2019/2020,11031,COMMNTY COLLEGE,0.0272
2019/2020,11031,COUNTY,0.0000
2019/2020,11031,GENERAL,1.0000
2019/2020,11031,METRO WATER DIST,0.0035
2019/2020,11031,UNIFIED SCHOOLS,0.0756
2019/2020,11032,CITY-CALABASAS T,0.0000
2019/2020,11032,COMMNTY COLLEGE,0.0272
2019/2020,11032,COUNTY,0.0000
2019/2020,11032,GENERAL,1.0000
2019/2020,11032,METRO WATER DIST,0.0035
2019/2020,11032,UNIFIED SCHOOLS,0.0756
2019/2020,11033,CITY-CALABASAS T,0.0000
2019/2020,11033,COMMNTY COLLEGE,0.0272
2019/2020,11033,COUNTY,0.0000
2019/2020,11033,GENERAL,1.0000
2019/2020,11033,METRO WATER DIST,0.0035
2019/2020,11033,UNIFIED SCHOOLS,0.0756
2019/2020,11034,CITY-CALABASAS T,0.0000
2019/2020,11034,COMMNTY COLLEGE,0.0272
2019/2020,11034,COUNTY,0.0000
2019/2020,11034,GENERAL,1.0000
2019/2020,11034,METRO WATER DIST,0.0035
2019/2020,11034,UNIFIED SCHOOLS,0.0756
2019/2020,11035,CITY-CALABASAS T,0.0000
2019/2020,11035,COMMNTY COLLEGE,0.0272
2019/2020,11035,COUNTY,0.0000
2019/2020,11035,GENERAL,1.0000
2019/2020,11549,COUNTY,0.0000
2019/2020,11549,GENERAL,1.0000
2019/2020,11549,METRO WATER DIST,0.0035
2019/2020,11549,UNIFIED SCHOOLS,0.0825
2019/2020,01155,COMMNTY COLLEGE,0.0272
2019/2020,01155,COUNTY,0.0000
2019/2020,01155,GENERAL,1.0000
2019/2020,01155,METRO WATER DIST,0.0035
2019/2020,01155,UNIFIED SCHOOLS,0.1255
2019/2020,11550,COMMNTY COLLEGE,0.0072
2019/2020,11550,COUNTY,0.0000
2019/2020,11550,ELEM SCHOOLS,0.1080
2019/2020,11550,GENERAL,1.0000
2019/2020,11550,HIGH SCHOOLS,0.1097
2019/2020,11550,METRO WATER DIST,0.0035
2019/2020,11551,COMMNTY COLLEGE,0.0478
2019/2020,11551,COUNTY,0.0000
2019/2020,11551,GENERAL,1.0000
2019/2020,11551,METRO WATER DIST,0.0035
2019/2020,11551,UNIFIED SCHOOLS,0.1076
2019/2020,11553,CITY-MALIBU TD #,0.0000
2019/2020,11553,COMMNTY COLLEGE,0.0788
2019/2020,11553,COUNTY,0.0000
2019/2020,11553,GENERAL,1.0000
2019/2020,11553,METRO WATER DIST,0.0035
2019/2020,11553,UNIFIED SCHOOLS,0.0810
2019/2020,11554,CITY-DIAMOND BAR,0.0000
2019/2020,11554,COMMNTY COLLEGE,0.0478
2019/2020,11554,COUNTY,0.0000
2019/2020,11554,GENERAL,1.0000
2019/2020,11554,METRO WATER DIST,0.0035
2019/2020,11554,UNIFIED SCHOOLS,0.2067
2019/2020,11556,COMMNTY COLLEGE,0.0472
2019/2020,11556,COUNTY,0.0000
2019/2020,11556,ELEM SCHOOLS,0.0304
2019/2020,11556,GENERAL,1.0000
2019/2020,11556,HIGH SCHOOLS,0.0219
2019/2020,11556,SPECIAL WATER,0.0705
2019/2020,11557,COMMNTY COLLEGE,0.0478
2019/2020,11557,COUNTY,0.0000
2019/2020,11557,GENERAL,1.0000
2019/2020,11557,METRO WATER DIST,0.0035
2019/2020,11557,UNIFIED SCHOOLS,0.0874
2019/2020,11558,COMMNTY COLLEGE,0.0478
2019/2020,11558,COUNTY,0.0000
2019/2020,11558,GENERAL,1.0000
2019/2020,11558,METRO WATER DIST,0.0035
2019/2020,11558,UNIFIED SCHOOLS,0.0874
2019/2020,11559,COMMNTY COLLEGE,0.0478
2019/2020,11559,COUNTY,0.0000
2019/2020,11559,GENERAL,1.0000
2019/2020,11559,METRO WATER DIST,0.0035
2019/2020,11559,UNIFIED SCHOOLS,0.0874
2019/2020,01156,COMMNTY COLLEGE,0.0272
2019/2020,01156,COUNTY,0.0000
2019/2020,01156,GENERAL,1.0000
2019/2020,01156,METRO WATER DIST,0.0035
2019/2020,01156,UNIFIED SCHOOLS,0.1255
2019/2020,11561,COMMNTY COLLEGE,0.0258
2019/2020,11561,COUNTY,0.0000
2019/2020,11561,GENERAL,1.0000
2019/2020,11561,METRO WATER DIST,0.0035
2019/2020,11561,UNIFIED SCHOOLS,0.0484
2019/2020,11562,CITY-DIAMOND BAR,0.0000
2019/2020,11562,COMMNTY COLLEGE,0.0478
2019/2020,11562,COUNTY,0.0000
2019/2020,11562,GENERAL,1.0000
2019/2020,11562,METRO WATER DIST,0.0035
2019/2020,11562,UNIFIED SCHOOLS,0.0954
2019/2020,11563,CITY-DIAMOND BAR,0.0000
2019/2020,11563,COMMNTY COLLEGE,0.0478
2019/2020,11563,COUNTY,0.0000
2019/2020,11563,GENERAL,1.0000
2019/2020,11563,METRO WATER DIST,0.0035
2019/2020,11563,UNIFIED SCHOOLS,0.2067
2019/2020,11564,COMMNTY COLLEGE,0.0072
2019/2020,11564,COUNTY,0.0000
2019/2020,11564,GENERAL,1.0000
2019/2020,11564,METRO WATER DIST,0.0035
2019/2020,11564,UNIFIED SCHOOLS,0.0453
2019/2020,11565,COMMNTY COLLEGE,0.0472
2019/2020,11565,COUNTY,0.0000
2019/2020,11565,ELEM SCHOOLS,0.0304
2019/2020,11565,GENERAL,1.0000
2019/2020,11565,HIGH SCHOOLS,0.0219
2019/2020,11565,SPECIAL WATER,0.0705
2019/2020,11566,COMMNTY COLLEGE,0.0472
2019/2020,11566,COUNTY,0.0000
2019/2020,11566,ELEM SCHOOLS,0.0304
2019/2020,11566,GENERAL,1.0000
2019/2020,11566,HIGH SCHOOLS,0.0219
2019/2020,11566,SPECIAL WATER,0.0705
2019/2020,11567,CITY-DIAMOND BAR,0.0000
2019/2020,11567,COMMNTY COLLEGE,0.0478
2019/2020,11567,COUNTY,0.0000
2019/2020,11567,GENERAL,1.0000
2019/2020,11567,METRO WATER DIST,0.0035
2019/2020,01213,GENERAL,1.0000
2019/2020,01213,METRO WATER DIST,0.0035
2019/2020,01213,UNIFIED SCHOOLS,0.1255
2019/2020,12130,COMMNTY COLLEGE,0.0072
2019/2020,12130,COUNTY,0.0000
2019/2020,12130,GENERAL,1.0000
2019/2020,12130,UNIFIED SCHOOLS,0.0453
2019/2020,12131,CITY-PICO RIVERA,0.0000
2019/2020,12131,COMMNTY COLLEGE,0.0257
2019/2020,12131,COUNTY,0.0000
2019/2020,12131,GENERAL,1.0000
2019/2020,12131,METRO WATER DIST,0.0035
2019/2020,12131,UNIFIED SCHOOLS,0.1783
2019/2020,12132,CITY AZUSA,0.0000
2019/2020,12132,COMMNTY COLLEGE,0.0217
2019/2020,12132,COUNTY,0.0000
2019/2020,12132,GENERAL,1.0000
2019/2020,12132,METRO WATER DIST,0.0035
2019/2020,12132,UNIFIED SCHOOLS,0.1142
2019/2020,12133,CITY-PICO RIVERA,0.0000
2019/2020,12133,COMMNTY COLLEGE,0.0257
2019/2020,12133,COUNTY,0.0000
2019/2020,12133,ELEM SCHOOLS,0.0510
2019/2020,12133,GENERAL,1.0000
2019/2020,12133,HIGH SCHOOLS,0.0550
2019/2020,12133,METRO WATER DIST,0.0035
2019/2020,12134,CITY-SAN DIMAS C,0.0000
2019/2020,12134,COMMNTY COLLEGE,0.0217
2019/2020,12134,COUNTY,0.0000
2019/2020,12134,GENERAL,1.0000
2019/2020,12134,METRO WATER DIST,0.0035
2019/2020,12134,UNIFIED SCHOOLS,0.0623
2019/2020,12135,CITY-SANTA CLARI,0.0000
2019/2020,12135,COMMNTY COLLEGE,0.0295
2019/2020,12135,COUNTY,0.0000
2019/2020,12135,ELEM SCHOOLS,0.0388
2019/2020,12135,GENERAL,1.0000
2019/2020,12135,HIGH SCHOOLS,0.0549
2019/2020,12135,SPECIAL WATER,0.0706
2019/2020,12137,CITY-SANTA CLARI,0.0000
2019/2020,12137,COMMNTY COLLEGE,0.0295
2019/2020,12137,COUNTY,0.0000
2019/2020,12137,ELEM SCHOOLS,0.0544
2019/2020,12137,GENERAL,1.0000
2019/2020,12137,HIGH SCHOOLS,0.0549
2019/2020,12137,SPECIAL WATER,0.0706
2019/2020,01214,COMMNTY COLLEGE,0.0272
2019/2020,01214,COUNTY,0.0000
2019/2020,01214,GENERAL,1.0000
2019/2020,01214,METRO WATER DIST,0.0035
2019/2020,01214,UNIFIED SCHOOLS,0.1255
2019/2020,12141,CITY-VERNON,0.0000
2019/2020,12141,COMMNTY COLLEGE,0.0272
2019/2020,12141,COUNTY,0.0000
2019/2020,12141,GENERAL,1.0000
2019/2020,12141,METRO WATER DIST,0.0035
2019/2020,12141,UNIFIED SCHOOLS,0.1255
2019/2020,12142,CITY-MAYWOOD CIT,0.1000
2019/2020,12142,COMMNTY COLLEGE,0.0272
2019/2020,12142,COUNTY,0.0000
2019/2020,12142,GENERAL,1.0000
2019/2020,12142,METRO WATER DIST,0.0035
2019/2020,12142,UNIFIED SCHOOLS,0.1255
2019/2020,12143,CITY-LONG BEACH,0.0000
2019/2020,12143,COMMNTY COLLEGE,0.0631
2019/2020,12143,COUNTY,0.0000
2019/2020,12143,GENERAL,1.0000
2019/2020,12143,METRO WATER DIST,0.0035
2019/2020,12143,UNIFIED SCHOOLS,0.1433
2019/2020,12144,CITY-LONG BEACH,0.0000
2019/2020,12144,COMMNTY COLLEGE,0.0631
2019/2020,12144,COUNTY,0.0000
2019/2020,12144,GENERAL,1.0000
2019/2020,12144,METRO WATER DIST,0.0035
2019/2020,12144,UNIFIED SCHOOLS,0.1433
2019/2020,12145,CITY-LONG BEACH,0.0000
2019/2020,12145,COMMNTY COLLEGE,0.0631
2019/2020,12145,COUNTY,0.0000
2019/2020,12145,GENERAL,1.0000
2019/2020,12145,METRO WATER DIST,0.0035
2019/2020,12145,UNIFIED SCHOOLS,0.1433
2019/2020,12147,COMMNTY COLLEGE,0.0295
2019/2020,12147,COUNTY,0.0000
2019/2020,12147,ELEM SCHOOLS,0.0198
2019/2020,12147,GENERAL,1.0000
2019/2020,12147,HIGH SCHOOLS,0.0549
2019/2020,12147,SPECIAL WATER,0.0706
2019/2020,12148,COMMNTY COLLEGE,0.0295
2019/2020,12148,COUNTY,0.0000
2019/2020,12148,ELEM SCHOOLS,0.0198
2019/2020,12148,GENERAL,1.0000
2019/2020,12148,HIGH SCHOOLS,0.0549
2019/2020,12148,SPECIAL WATER,0.0706
2019/2020,12149,CITY-SANTA CLARI,0.0000
2019/2020,12149,COMMNTY COLLEGE,0.0295
2019/2020,12149,COUNTY,0.0000
2019/2020,12149,ELEM SCHOOLS,0.0112
2019/2020,12634,GENERAL,1.0000
2019/2020,12634,METRO WATER DIST,0.0035
2019/2020,12634,UNIFIED SCHOOLS,0.0756
2019/2020,12635,COMMNTY COLLEGE,0.0272
2019/2020,12635,COUNTY,0.0000
2019/2020,12635,GENERAL,1.0000
2019/2020,12635,METRO WATER DIST,0.0035
2019/2020,12635,UNIFIED SCHOOLS,0.0756
2019/2020,12637,CITY-LANCASTER,0.0000
2019/2020,12637,COMMNTY COLLEGE,0.0472
2019/2020,12637,COUNTY,0.0000
2019/2020,12637,ELEM SCHOOLS,0.0751
2019/2020,12637,GENERAL,1.0000
2019/2020,12637,HIGH SCHOOLS,0.0219
2019/2020,12637,SPECIAL WATER,0.0705
2019/2020,01264,CITY CARSON,0.0000
2019/2020,01264,COMMNTY COLLEGE,0.0272
2019/2020,01264,COUNTY,0.0000
2019/2020,01264,GENERAL,1.0000
2019/2020,01264,METRO WATER DIST,0.0035
2019/2020,01264,UNIFIED SCHOOLS,0.1255
2019/2020,12640,CITY-LANCASTER,0.0000
2019/2020,12640,COMMNTY COLLEGE,0.0472
2019/2020,12640,COUNTY,0.0000
2019/2020,12640,ELEM SCHOOLS,0.0586
2019/2020,12640,GENERAL,1.0000
2019/2020,12640,HIGH SCHOOLS,0.0219
2019/2020,12640,SPECIAL WATER,0.0705
2019/2020,12643,CITY-W LAKE VILL,0.0000
2019/2020,12643,COMMNTY COLLEGE,0.0272
2019/2020,12643,COUNTY,0.0000
2019/2020,12643,GENERAL,1.0000
2019/2020,12643,METRO WATER DIST,0.0035
2019/2020,12643,UNIFIED SCHOOLS,0.0756
2019/2020,12644,CITY-AGOURA HILL,0.0000
2019/2020,12644,COMMNTY COLLEGE,0.0272
2019/2020,12644,COUNTY,0.0000
2019/2020,12644,GENERAL,1.0000
2019/2020,12644,METRO WATER DIST,0.0035
2019/2020,12644,UNIFIED SCHOOLS,0.0756
2019/2020,12645,CITY-AGOURA HILL,0.0000
2019/2020,12645,COMMNTY COLLEGE,0.0272
2019/2020,12645,COUNTY,0.0000
2019/2020,12645,GENERAL,1.0000
2019/2020,12645,METRO WATER DIST,0.0035
2019/2020,12645,UNIFIED SCHOOLS,0.0756
2019/2020,12646,CITY AZUSA,0.0000
2019/2020,12646,COMMNTY COLLEGE,0.0217
2019/2020,12646,COUNTY,0.0000
2019/2020,12646,GENERAL,1.0000
2019/2020,12646,METRO WATER DIST,0.0035
2019/2020,12646,UNIFIED SCHOOLS,0.1142
2019/2020,01265,COMMNTY COLLEGE,0.0272
2019/2020,01265,COUNTY,0.0000
2019/2020,01265,GENERAL,1.0000
2019/2020,01265,METRO WATER DIST,0.0035
2019/2020,01265,UNIFIED SCHOOLS,0.1255
2019/2020,12651,CITY-SANTA CLARI,0.0000
2019/2020,12651,COMMNTY COLLEGE,0.0295
2019/2020,12651,COUNTY,0.0000
2019/2020,12651,ELEM SCHOOLS,0.0544
2019/2020,12651,GENERAL,1.0000
2019/2020,12651,HIGH SCHOOLS,0.0549
2019/2020,12651,SPECIAL WATER,0.0706
2019/2020,12655,CITY-SANTA CLARI,0.0000
2019/2020,12655,COMMNTY COLLEGE,0.0295
2019/2020,12655,COUNTY,0.0000
2019/2020,12655,ELEM SCHOOLS,0.0071
2019/2020,12655,GENERAL,1.0000
2019/2020,12655,HIGH SCHOOLS,0.0549
2019/2020,12655,SPECIAL WATER,0.0706
2019/2020,12656,COMMNTY COLLEGE,0.0272
2019/2020,12656,COUNTY,0.0000
2019/2020,12656,GENERAL,1.0000
2019/2020,12656,METRO WATER DIST,0.0035
