notice_date,effective_date,received_date,company,city,employees,layoff_closure
10/17/2017,12/18/2017,10/19/2017,"Museum of Ice Cream, Los Angeles",Los Angeles,Los Angeles,114,Closure Permanent
10/18/2017,01/02/2018,10/19/2017,"Confluent Medical Technologies, Inc.",Sunnyvale,Santa Clara,69,Closure Permanent
10/19/2017,12/21/2017,10/19/2017,Nokia USA Inc.,Sunnyvale,Santa Clara,72,Layoff Permanent
10/13/2017,12/22/2017,10/20/2017,Murrays Iron Works,Commerce,Los Angeles,46,Closure Permanent
10/17/2017,12/17/2017,10/20/2017,Pacific Steel Casting Company LLC,Berkeley,Alameda County,106,Closure Permanent
10/19/2017,01/08/2018,10/20/2017,"Capital One, N.A.",San Francisco,San Francisco,132,Layoff Permanent
10/13/2017,12/15/2017,10/23/2017,Boeing Company,El Segundo,Los Angeles,38,Layoff Unknown at this time
10/20/2017,12/31/2017,10/23/2017,"YesVideo, Inc.",Santa Clara,Santa Clara,99,Closure Permanent
10/13/2017,11/17/2017,10/24/2017,Boeing Company,Huntington,Orange County,46,Layoff Unknown at this time
10/21/2017,12/23/2017,10/24/2017,"Bouchon Beverly Hills, L.P.",Beverly Hills,Los Angeles,137,Closure Permanent
10/23/2017,12/24/2017,10/24/2017,PharMerica (8822-San Francisco-KHPS,San Leandro,Alameda County,15,Closure Permanent
10/23/2017,12/24/2017,10/24/2017,PharMerica (8842-Westminster-KHPS Facility,Westminster,Orange County,49,Closure Permanent
10/23/2017,12/24/2017,10/24/2017,PharMerica (8895 Los Angeles-KHPS Facility,Los Angeles,Los Angeles,22,Closure Permanent
10/23/2017,12/24/2017,10/25/2017,PharMerica Corporation,Baldwin Park,Los Angeles,20,Closure Permanent
10/23/2017,12/24/2017,10/25/2017,PharMerica Corporation,Gardena,Los Angeles,14,Closure Permanent
10/23/2017,12/24/2017,10/25/2017,PharMerica Corporation,La Mirada,Los Angeles,42,Closure Permanent
10/23/2017,12/24/2017,10/25/2017,PharMerica Corporation,Perris,Riverside County,9,Closure Permanent
10/23/2017,12/24/2017,10/25/2017,PharMerica Corporation,San Diego,San Diego County,8,Closure Permanent
10/23/2017,12/24/2017,10/26/2017,PharMerica Corporation,Ontario,San Bernardino,37,Closure Permanent
10/24/2017,12/27/2017,10/26/2017,"Juniper Networks, Inc.",Sunnyvale,Santa Clara,123,Layoff Permanent
10/26/2017,12/29/2017,10/26/2017,"Molina Healthcare, Inc. (MHI)",Long Beach,Los Angeles,44,Layoff Permanent
09/13/2017,11/09/2017,10/27/2017,Scoobeez San Diego,San Diego,San Diego County,94,Closure Permanent
10/24/2017,12/28/2017,10/27/2017,Joseph Cozza Salon Inc.,San Francisco,San Francisco,11,Closure Permanent
10/24/2017,12/28/2017,10/27/2017,Joseph Cozza Salon Inc.,San Francisco,San Francisco,54,Closure Permanent
10/25/2017,12/31/2017,10/27/2017,"Broadspectrum Downstream Services, Inc.",El Segundo,Los Angeles,255,Layoff Permanent
10/25/2017,12/31/2017,10/27/2017,"Broadspectrum Downstream Services, Inc.",Richmond,Contra Costa,113,Layoff Permanent
10/25/2017,01/01/2018,10/27/2017,McKesson Corporation,San Francisco,San Francisco,129,Closure Permanent
10/27/2017,12/31/2017,10/27/2017,Hemming Horse LLP (HM LLP),Los Angeles,Los Angeles,2,Closure Permanent
10/27/2017,12/31/2017,10/27/2017,Hemming Horse LLP (HM LLP),San Francisco,San Francisco,1,Closure Permanent
10/27/2017,12/31/2017,10/27/2017,Hemming Horse LLP (HM LLP),San Mateo,San Mateo County,30,Closure Permanent
10/27/2017,12/31/2017,10/27/2017,Hemming Horse LLP (HM LLP),Walnut Creek,Contra Costa,5,Closure Permanent
10/26/2017,10/29/2017,10/30/2017,"HealthCare Conglomerate Associates, LLC",Tulare,Tulare County,524,Closure Temporary
10/27/2017,01/14/2018,10/30/2017,"C and D Zodiac, Inc.",La Palma,Orange County,177,Closure Permanent
10/23/2017,02/02/2018,10/31/2017,Novo Health Services,Long Beach,Los Angeles,86,Closure Permanent
10/27/2017,01/01/2018,10/31/2017,"Eurest Services, Inc.",Mountain View,Santa Clara,169,Closure Permanent
10/31/2017,12/31/2017,10/31/2017,"F and S Distributing Company, LLC",Vernon,Los Angeles,11,Closure Permanent
11/01/2017,12/31/2017,11/01/2017,Bridgestone Bandag,Long Beach,Los Angeles,65,Closure Permanent
11/01/2017,12/31/2017,11/01/2017,"Genentech, Inc.",Vacaville,Solano County,128,Layoff Permanent
11/01/2017,12/31/2017,11/02/2017,Amgen,Thousand Oaks,Ventura County,121,Layoff Permanent
11/02/2017,01/02/2018,11/02/2017,"REA 2003-1, LLC dba Saddle Ranch",Universal City,Los Angeles,124,Layoff Permanent
11/02/2017,01/02/2018,11/02/2017,"Tyson Foods, Inc.",San Diego,San Diego County,53,Layoff Permanent
07/24/2017,09/24/2017,11/03/2017,Build-A-Bear Workshop Inc.,Anaheim,Orange County,72,Closure Permanent
10/27/2017,01/01/2018,11/03/2017,Boeing Company,El Segundo,Los Angeles,6,Layoff Unknown at this time
10/27/2017,01/01/2018,11/03/2017,Boeing Company,Huntington,Orange County,9,Layoff Unknown at this time
10/30/2017,12/31/2017,11/03/2017,Schneider Electric,Clovis,Fresno County,18,Layoff Permanent
11/03/2017,01/05/2018,11/03/2017,"C.T. Mac, Inc.",Corona,Riverside County,81,Layoff Permanent
11/03/2017,01/05/2018,11/03/2017,"C.T. Mac, Inc.",Yorba Linda,Orange County,73,Layoff Permanent
11/03/2017,01/05/2018,11/03/2017,"Cormac, Inc. California Corporation",Norco,Riverside County,113,Layoff Permanent
06/09/2017,08/11/2017,11/06/2017,Nestle,Glendale,Los Angeles,498,Closure Permanent
10/31/2017,12/01/2017,11/06/2017,Symantec Corporation,Mountain View,Santa Clara,31,Layoff Permanent
10/31/2017,12/01/2017,11/06/2017,Symantec Corporation,San Francisco,San Francisco,15,Layoff Permanent
11/07/2017,01/08/2018,11/07/2017,Robert Talbott Inc.,Monterey,Monterey County,38,Layoff Permanent
11/07/2017,01/08/2018,11/07/2017,"Telltale, Inc.",San Rafael,Marin County,90,Layoff Permanent
10/30/2017,12/29/2017,11/08/2017,"Renovate America, Inc.",San Diego,San Diego County,100,Layoff Permanent
10/31/2017,12/31/2017,11/08/2017,"Latitude 45 Catering, Inc.",Paramount,Los Angeles,33,Closure Permanent
08/03/2017,10/01/2017,11/09/2017,Universal Alloy Corporation,Anaheim,Orange County,111,Layoff Permanent
10/31/2017,12/15/2017,11/09/2017,"United Denim, Inc.",Los Angeles,Los Angeles,164,Closure Permanent
11/08/2017,03/31/2018,11/09/2017,CSS Division of Parker Hannifin Corporation,Ventura,Ventura County,39,Closure Permanent
11/09/2017,01/02/2018,11/09/2017,"Collection Technology, Inc.",Rancho,San Bernardino,13,Layoff Permanent
11/03/2017,01/08/2018,11/13/2017,Zenith Education Group (Zenith),Santa Ana,Orange County,29,Layoff Permanent
