notice_date,effective_date,received_date,company,city,employees,layoff_closure
08/22/2018,11/25/2018,08/29/2018,Kmart Corporation,Antioch,Contra Costa,68,Closure Permanent
06/27/2018,08/31/2018,08/31/2018,California Medical Business Services,Arcadia,Los Angeles,59,Closure Permanent
07/18/2018,09/21/2018,08/31/2018,"Golden State Overnight Delivery Service, Inc.",Santa Fe,Los Angeles,74,Layoff Permanent
07/27/2018,09/28/2018,08/31/2018,"Golden State Overnight Delivery Service, Inc.",Ontario,San Bernardino,84,Layoff Permanent
08/20/2018,10/22/2018,08/31/2018,Silgan Containers,Modesto,Stanislaus County,62,Layoff Temporary
08/28/2018,10/30/2018,08/31/2018,Allstate Insurance Company,San Diego,San Diego County,58,Closure Permanent
08/31/2018,10/30/2018,08/31/2018,"Rainbow Disposal Co., Inc.",Huntington,Orange County,71,Layoff Permanent
08/31/2018,10/31/2018,08/31/2018,"InterContinental Hotels Group Resources, Inc.",San Francisco,San Francisco,186,Layoff Permanent
08/02/2018,10/03/2018,09/04/2018,"Golden State Overnight Delivery Service, Inc.",San Diego,San Diego County,52,Layoff Permanent
08/29/2018,12/15/2018,09/04/2018,ThredUp Inc.,San Leandro,Alameda County,118,Closure Permanent
09/04/2008,09/04/2018,09/06/2018,Adventist Health St. Helena,Saint Helena,Napa County,5,Layoff Permanent
09/04/2018,10/30/2018,09/06/2018,"Renovate America, Inc.",San Diego,San Diego County,83,Layoff Permanent
09/04/2018,12/31/2018,09/06/2018,Extreme Logistics Solutions Inc.,Victorville,San Bernardino,56,Closure Permanent
09/06/2018,09/13/2018,09/06/2018,"Carbine, LLC",Aliso Viejo,Orange County,47,Layoff Unknown at this time
09/06/2018,11/05/2018,09/06/2018,Peninsula Packaging,Hollister,San Benito County,156,Closure Permanent
09/04/2018,09/04/2018,09/07/2018,Meta Company,San Mateo,San Mateo County,88,Layoff Temporary
09/06/2018,11/08/2018,09/07/2018,Brinderson,Martinez,Contra Costa,98,Layoff Permanent
09/07/2018,11/12/2018,09/07/2018,Silgan Containers,Sacramento,Sacramento,49,Layoff Temporary
09/07/2018,11/09/2018,09/11/2018,"Super Rx, Inc.",Encinitas,San Diego County,11,Closure Permanent
09/07/2018,11/09/2018,09/11/2018,"Super Rx, Inc.",Fullerton,Orange County,12,Closure Permanent
09/07/2018,11/09/2018,09/11/2018,"Super Rx, Inc.",Palm Springs,Riverside County,40,Closure Permanent
09/07/2018,11/09/2018,09/11/2018,"Super Rx, Inc.",San Bernardino,San Bernardino,35,Closure Permanent
05/01/2018,07/02/2018,09/13/2018,Credit.org/Springboard Solutions,Riverside,Riverside County,214,Closure Permanent
09/06/2018,12/09/2018,09/13/2018,Kmart Corporation,Pinole,Contra Costa,67,Closure Permanent
09/13/2018,11/04/2018,09/13/2018,Savers,Milpitas,Santa Clara,54,Closure Permanent
09/13/2018,11/16/2018,09/13/2018,CoreLogic,Los Angeles,Los Angeles,60,Closure Permanent
09/14/2018,12/14/2018,09/17/2018,"Conduent Education Services, LLC",Long Beach,Los Angeles,20,Layoff Permanent
09/18/2018,03/15/2019,09/18/2018,CentralSquare Technologies,San Diego,San Diego County,144,Closure Permanent
08/03/2018,10/03/2018,09/19/2018,"Golden State Overnight Delivery Service, Inc.",Santa Clarita,Los Angeles,67,Layoff Permanent
09/12/2018,11/13/2018,09/19/2018,"Addepar, Inc.",Mountain View,Santa Clara,20,Layoff Permanent
09/18/2018,03/19/2019,09/19/2018,Masonite Corporation,Stockton,San Joaquin,131,Closure Permanent
09/19/2018,09/30/2018,09/19/2018,"VeriFone, Inc.",San Jose,Santa Clara,69,Layoff Permanent
09/19/2018,11/20/2018,09/19/2018,Qualcomm Incorporated,San Diego,San Diego County,94,Layoff Unknown at this time
09/19/2018,12/31/2018,09/19/2018,"Entegris, Inc.",San Diego,San Diego County,16,Closure Permanent
09/19/2018,12/31/2018,09/19/2018,"Hollar, Inc.",Commerce,Los Angeles,23,Layoff Permanent
09/19/2018,09/14/2018,09/20/2018,"Vital Therapies, Inc.",San Diego,San Diego County,83,Layoff Permanent
09/19/2018,11/20/2018,09/20/2018,Color Spot Nurseries,Carson,Los Angeles,52,Closure Permanent
02/05/2018,04/01/2018,09/21/2018,Adventist Health Bakersfield,Bakersfield,Kern County,174,Layoff Permanent
09/21/2018,11/19/2018,09/24/2018,Jabil Inc.,Fremont,Alameda County,343,Closure Temporary
09/21/2018,11/19/2018,09/24/2018,Jabil Inc.,Livermore,Alameda County,92,Closure Temporary
09/17/2018,01/15/2019,09/26/2018,"Jackpot Harvesting Company, Inc.",Gonzales,Monterey County,256,Closure Permanent
04/25/2018,06/22/2018,10/01/2018,Wells Fargo,Rancho,San Bernardino,86,Closure Unknown at this time
09/28/2018,11/29/2018,10/01/2018,Aerojet Rocketdyne,Rancho Cordova,Sacramento,120,Layoff Permanent
09/28/2018,11/30/2018,10/01/2018,"American Career College, Inc. - Lynwood",Lynwood,Los Angeles,11,Closure Permanent
09/28/2018,11/30/2018,10/01/2018,"IAP Worldwide Services, Inc.",Mcclellan,Sacramento,8,Layoff Permanent
09/28/2018,12/28/2018,10/01/2018,"Conduent Education Services, LLC",Long Beach,Los Angeles,18,Layoff Permanent
10/01/2018,11/26/2018,10/01/2018,"Century Blinds, Inc.",Corona,Riverside County,59,Closure Permanent
09/27/2018,11/30/2018,10/02/2018,Twin Arbors Athletic Club,Lodi,San Joaquin,143,Closure Permanent
09/28/2018,12/02/2018,10/02/2018,Healthy Living Network,Newark,Alameda County,128,Closure Permanent
10/01/2018,03/29/2019,10/02/2018,"Alpine Electronics of America, Inc.",Torrance,Los Angeles,72,Layoff Unknown at this time
10/01/2018,03/29/2019,10/02/2018,"Alpine Electronics Research of America, Inc.",Torrance,Los Angeles,56,Layoff Unknown at this time
07/13/2018,10/05/2018,10/03/2018,New Avon LLC,Pasadena,Los Angeles,77,Closure Permanent
09/07/2018,11/06/2018,10/03/2018,Pyramid Building Maintenance Company DBA,Santa Clara,Santa Clara,11,Closure Permanent
09/27/2018,11/30/2018,10/03/2018,State Farm Mutual Automobile Insurance,Roseville,Placer County,78,Closure Permanent
09/27/2018,11/30/2018,10/03/2018,State Farm Mutual Automobile Insurance,Vallejo,Solano County,77,Closure Permanent
09/27/2018,11/30/2018,10/03/2018,State Farm Mutual Automobile Insurance,Westlake Village,Ventura County,69,Closure Permanent
10/01/2018,12/06/2018,10/03/2018,Brinderson,Carson,Los Angeles,110,Layoff Permanent
10/01/2018,12/06/2018,10/03/2018,Brinderson,Wilmington,Los Angeles,115,Layoff Permanent
10/02/2018,10/30/2018,10/03/2018,Adventist Health Bakersfield,Bakersfield,Kern County,20,Layoff Permanent
10/02/2018,12/03/2018,10/04/2018,Bayer US LLC,Berkeley,Alameda County,227,Layoff Permanent
09/13/2018,09/13/2018,10/11/2018,"NC Interactive, LLC",Aliso Viejo,Orange County,52,Layoff Unknown at this time
02/06/2018,04/07/2018,10/15/2018,Concentra Inc.,Valencia,Los Angeles,182,Layoff Permanent
10/01/2018,11/30/2018,10/15/2018,"Nestle USA, Inc.",Bakersfield,Kern County,769,Closure Temporary
10/01/2018,11/30/2018,10/15/2018,"Nestle USA, Inc.",Tulare,Tulare County,273,Closure Temporary
10/01/2018,12/03/2018,10/15/2018,Urban Fulfillment Services,Westlake Village,Ventura County,85,Closure Permanent
10/04/2018,12/09/2018,10/15/2018,"Total Airport Services, LLC",El Segundo,Los Angeles,111,Closure Permanent
10/04/2018,12/31/2018,10/15/2018,Crispin Porter Bogusky LLC,Santa Monica,Los Angeles,13,Closure Permanent
10/02/2018,12/03/2018,10/16/2018,Kaiser Foundation Hospitals/Health Plan,Downey,Los Angeles,69,Closure Permanent
10/05/2018,10/12/2018,10/16/2018,"CareFusion Resources, LLC",San Diego,San Diego County,102,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,Kaiser Foundation Hospitals,Corona,Riverside County,14,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,Kaiser Foundation Hospitals,Oakland,Alameda County,10,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,Kaiser Foundation Hospitals,Pasadena,Los Angeles,15,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,Kaiser Foundation Hospitals,Pleasanton,Alameda County,49,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,Kaiser Foundation Hospitals,Walnut Creek,Contra Costa,5,Layoff Permanent
10/10/2018,12/10/2018,10/16/2018,"TDG Operations, LLC",Los Angeles,Los Angeles,60,Closure Permanent
10/10/2018,12/13/2018,10/16/2018,Brinderson,Rodeo,Contra Costa,99,Layoff Permanent
10/10/2018,12/26/2018,10/16/2018,"Providence Industries, LLC",Long Beach,Los Angeles,96,Closure Temporary
10/03/2018,12/04/2018,10/17/2018,Boardriders,Mira Loma,Riverside County,270,Layoff Temporary
10/09/2018,12/31/2018,10/17/2018,"Warner Media, LLC",Burbank,Los Angeles,1,Layoff Unknown at this time
10/11/2018,12/24/2018,10/17/2018,"MD2 Industries, LLC",Long Beach,Los Angeles,158,Closure Temporary
10/11/2018,12/26/2018,10/18/2018,"West Coast Warehouse, Inc.",Fontana,San Bernardino,18,Closure Permanent
10/10/2018,04/01/2019,10/19/2018,Los Amigos Harvesting,Watsonville,Santa Cruz,175,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Delano,Kern County,68,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Lemoore,Kings County,83,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Modesto,Stanislaus County,62,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Ontario,San Bernardino,59,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Placerville,El Dorado County,55,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Riverside,Riverside County,93,Closure Permanent
10/15/2018,12/31/2018,10/19/2018,Kmart Corporation,Visalia,Tulare County,64,Closure Permanent
10/16/2018,12/16/2018,10/19/2018,Metal Partners International,Bakersfield,Kern County,9,Closure Permanent
10/16/2018,12/31/2018,10/19/2018,CTC myCFO,Palo Alto,Santa Clara,51,Layoff Permanent
10/18/2018,12/18/2018,10/19/2018,Adventist Health Tehachapi Valley,Tehachapi,Kern County,1,Layoff Permanent
10/18/2018,12/20/2018,10/19/2018,Jabil Inc.,San Jose,Santa Clara,220,Closure Temporary
10/18/2018,12/21/2018,10/19/2018,Jabil Inc.,Chula Vista,San Diego County,99,Closure Temporary
10/19/2018,12/31/2018,10/19/2018,Raytheon Company,Fort Irwin,San Bernardino,57,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Bakersfield,Kern County,106,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",CERRITOS,Los Angeles,101,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Costa Mesa,Orange County,19,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Costa Mesa,Orange County,106,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Montebello,Los Angeles,79,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Sacramento,Sacramento,5,Closure Permanent
10/15/2018,12/31/2018,10/22/2018,"Sears, Roebuck and Co.",Sacramento,Sacramento,80,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",CERRITOS,Los Angeles,19,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",El Centro,Imperial County,10,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",El Centro,Imperial County,57,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",Merced,Merced County,11,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",Merced,Merced County,48,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",Modesto,Stanislaus County,18,Closure Permanent
10/15/2018,12/31/2018,10/23/2018,"Sears, Roebuck and Co.",Modesto,Stanislaus County,68,Closure Permanent
05/29/2018,08/02/2018,10/24/2018,JCPenney,Buena Park,Orange County,278,Closure Permanent
10/18/2018,12/21/2018,10/24/2018,Bon Appetit,San Francisco,San Francisco,91,Closure Permanent
10/18/2018,12/21/2018,10/24/2018,Jabil Inc.,San Jose,Santa Clara,562,Closure Temporary
10/18/2018,12/26/2018,10/24/2018,Jabil Inc.,San Jose,Santa Clara,289,Closure Temporary
10/19/2018,12/19/2018,10/24/2018,"Super Deluxe, LLC",Los Angeles,Los Angeles,103,Closure Permanent
10/22/2018,10/26/2018,10/24/2018,"DigiCert, Inc.",Mountain View,Santa Clara,73,Layoff Permanent
10/22/2018,01/04/2019,10/24/2018,Jack in the Box Inc.,San Diego,San Diego County,66,Layoff Permanent
10/21/2018,11/06/2018,10/25/2018,"Graystone Public Affairs, LLC",Corona,Riverside County,55,Closure Permanent
10/21/2018,11/06/2018,10/25/2018,"Graystone Public Affairs, LLC",Torrance,Los Angeles,80,Closure Permanent
10/23/2018,10/23/2018,10/25/2018,ARM Inc.,San Jose,Santa Clara,70,Layoff Unknown at this time
10/23/2018,12/31/2018,10/25/2018,National General Management Corp.,Van Nuys,Los Angeles,54,Closure Permanent
11/28/2016,01/31/2017,10/26/2018,Novartis Pharmaceuticals Corporation,San Carlos,San Mateo County,75,Layoff Permanent
10/18/2018,12/17/2018,10/26/2018,La Jolla Pharmaceutical Company,San Diego,San Diego County,166,Layoff Permanent
10/23/2018,12/28/2018,10/26/2018,"Bottling Group, LLC",Buena Park,Orange County,95,Closure Permanent
10/24/2018,12/31/2018,10/26/2018,PVH Neckwear Inc.,Los Angeles,Los Angeles,94,Closure Permanent
04/27/2018,04/30/2018,10/29/2018,"Veritas Technologies, LLC",Mountain View,Santa Clara,121,Layoff Permanent
10/18/2018,11/06/2018,10/29/2018,"Western Digital Technology, Inc.",Irvine,Orange County,51,Layoff Permanent
10/18/2018,11/06/2018,10/29/2018,"Western Digital Technology, Inc.",San Jose,Santa Clara,66,Closure Permanent
10/25/2018,12/30/2018,10/29/2018,"Stockton Spaghetti Restaurant, Inc. dba The Old",Stockton,San Joaquin,51,Closure Permanent
10/25/2018,12/31/2018,10/29/2018,"Mexicali, Inc.",Bakersfield,Kern County,55,Closure Permanent
10/25/2018,01/25/2019,10/29/2018,"Conduent Education Services, LLC",Long Beach,Los Angeles,9,Layoff Permanent
10/22/2018,01/02/2019,10/30/2018,Phils BBQ,San Diego,San Diego County,118,Closure Temporary
10/23/2018,01/04/2019,10/30/2018,Levys,Inglewood,Los Angeles,272,Closure Permanent
10/25/2018,12/26/2018,10/30/2018,Davis Wire Corporation,Irwindale,Los Angeles,109,Closure Temporary
10/25/2018,12/31/2018,10/30/2018,"Burke Industries (Delaware), Inc.",San Jose,Santa Clara,61,Layoff Permanent
10/18/2018,12/26/2018,10/31/2018,"Thermal Structures, Inc.",Corona,Riverside County,1,Closure Temporary
10/26/2018,10/26/2018,10/31/2018,"Zacky & Sons Poultry, LLC",Fresno,Fresno County,323,Closure Unknown at this time
10/26/2018,10/26/2018,10/31/2018,"Zacky & Sons Poultry, LLC",Stockton,San Joaquin,142,Closure Unknown at this time
10/29/2018,12/12/2018,10/31/2018,Symantec Corporation,Mountain View,Santa Clara,19,Layoff Permanent
10/29/2018,12/31/2018,10/31/2018,Keter Environmental Services,Encino,Los Angeles,4,Closure Permanent
10/29/2018,12/31/2018,10/31/2018,Symbotic LLC,Oceanside,San Diego County,48,Closure Permanent
10/29/2018,01/02/2019,10/31/2018,Cavium LLC,Irvine,Orange County,36,Layoff Permanent
10/29/2018,01/02/2019,10/31/2018,Cavium LLC,Roseville,Placer County,13,Layoff Permanent
10/29/2018,01/02/2019,10/31/2018,Cavium LLC,San Jose,Santa Clara,17,Layoff Permanent
10/29/2018,01/02/2019,10/31/2018,Cavium LLC,Santa Clara,Santa Clara,7,Layoff Permanent
