Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
07/08/2015,09/06/2015,07/16/2015,Southern California Edison Company,Rosemead,38,Layoff Permanent
07/14/2015,09/18/2015,07/20/2015,"Actavis, Inc.",Corona,45,Layoff Permanent
07/17/2015,07/13/2015,07/21/2015,American Management Services LLC,Monterey,56,Closure Permanent
07/17/2015,09/18/2015,07/21/2015,Boeing Company,El Segundo,66,Layoff Unknown at this time
07/17/2015,09/18/2015,07/21/2015,Boeing Company,Huntington Beach,65,Layoff Unknown at this time
07/17/2015,09/18/2015,07/21/2015,Boeing Company,Long Beach,113,Layoff Unknown at this time
07/17/2015,09/25/2015,07/21/2015,Maxim Integrated Product,San Jose,11,Layoff Permanent
07/17/2015,09/26/2015,07/21/2015,"DS Services of America, Inc.",Los Angeles,120,Closure Permanent
07/17/2015,09/26/2015,07/21/2015,"DS Services of America, Inc.",Pasadena,200,Closure Permanent
07/20/2015,09/18/2015,07/21/2015,"Minno, Inc.",San Francisco,255,Closure Permanent
07/20/2015,09/18/2015,07/21/2015,"Safeway, Inc.",Pleasanton,14,Layoff Unknown at this time
07/15/2015,09/15/2015,07/22/2015,"Oakley, Inc.",Encinitas,8,Layoff Unknown at this time
07/15/2015,09/15/2015,07/22/2015,"Oakley, Inc.",Foothill Ranch,159,Layoff Unknown at this time
07/20/2015,12/31/2017,07/22/2015,Toyota Motor North America,Gardena,100,Closure Permanent
07/20/2015,12/31/2017,07/22/2015,Toyota Motor North America,Torrance,3000,Closure Permanent
07/21/2015,07/22/2015,07/22/2015,"Cisco Systems, Inc.",San Jose,192,Layoff Permanent
07/20/2015,09/30/2015,07/23/2015,"IAP Worldwide Services, Inc.",Mountain View,67,Layoff Permanent
07/21/2015,09/15/2015,07/23/2015,Presse LLC dba Cafe de la Presse and,San Francisco,85,Closure Temporary
07/10/2015,10/04/2015,07/24/2015,Sears Holdings Corporation,Cupertino,17,Closure Permanent
07/10/2015,10/04/2015,07/24/2015,Sears Holdings Corporation,Cupertino,81,Closure Permanent
07/14/2015,09/14/2015,07/24/2015,"Associate Management Resources, Inc.",San Diego,533,Closure Permanent
07/10/2015,10/11/2015,07/27/2015,Kmart,Atwater,74,Closure Permanent
07/27/2015,09/25/2015,07/27/2015,"Safeway, Inc.",Pleasanton,37,Layoff Unknown at this time
07/27/2015,09/30/2015,07/29/2015,"Hank Fisher Properties, Inc.",Sacramento,242,Layoff Permanent
07/29/2015,09/30/2015,07/29/2015,SPS Distribution Center,Paso Robles,8,Closure Permanent
07/23/2015,07/31/2015,07/30/2015,"Turf Terminators, LLC",Los Angeles,94,Layoff Permanent
07/29/2015,07/28/2015,07/30/2015,Relativity Media,Beverly Hills,61,Layoff Permanent
07/29/2015,09/28/2015,07/30/2015,"Buca Restaurants 2, Inc.(CANCELLED)**",Santa Monica,61,Closure Permanent
07/30/2015,09/30/2015,07/30/2015,United Technologies Corporation,San Diego,21,Closure Permanent
07/28/2015,09/26/2015,07/31/2015,"Kixeye, Inc.",San Francisco,62,Layoff Permanent
07/31/2015,10/02/2015,07/31/2015,Boston Scientific Corporation,Fremont,284,Closure Permanent
07/31/2015,10/02/2015,07/31/2015,Boston Scientific Corporation,San Jose,171,Closure Permanent
07/20/2015,09/30/2015,08/03/2015,Ruan Transportation Corporation,Ripon,78,Closure Permanent
07/27/2015,09/30/2015,08/03/2015,Armstrong Growers,San Juan,56,Closure Permanent
07/28/2015,09/28/2015,08/03/2015,CR Briggs Corporation,Trona,5,Layoff Permanent
07/29/2015,08/03/2015,08/03/2015,Molycorp Minerals LLC,Mountain Pass,474,Layoff Permanent
07/30/2015,09/30/2015,08/03/2015,Binder & Binder,Orange,70,Closure Permanent
07/31/2015,09/30/2015,08/03/2015,"Driscoll's Strawberry Associates, Inc.",Salinas,38,Closure Permanent
07/27/2015,10/23/2015,08/04/2015,Hilton San Francisco Union Square,San Francisco,78,Layoff Permanent
08/03/2015,10/05/2015,08/04/2015,Owens-Brockway Glass Container Inc.,Oakland,202,Closure Permanent
07/30/2015,07/30/2015,08/05/2015,Abbott Vascular,Santa Clara,81,Layoff Permanent
07/30/2015,07/30/2015,08/05/2015,Abbott Vascular,Temecula,163,Layoff Permanent
08/04/2015,09/11/2015,08/07/2015,"Anna's Linens, Inc.",Costa Mesa,29,Closure Permanent
07/31/2015,10/02/2015,08/10/2015,Boeing Company,Long Beach,8,Layoff Unknown at this time
08/10/2015,10/09/2015,08/10/2015,"Safeway, Inc.",Pleasanton,37,Layoff Unknown at this time
08/04/2015,10/05/2015,08/11/2015,"CGR/Thompson Industries, Inc.",Fullerton,102,Closure Permanent
08/10/2015,10/15/2015,08/12/2015,"Bl NUTRACEUTICALS, INC.",Long Beach,54,Layoff Permanent
08/05/2015,09/30/2015,08/13/2015,"Lyris, Inc.",Emeryville,72,Layoff Permanent
08/05/2015,09/30/2015,08/13/2015,"Lyris, Inc.",Santa Clara,7,Layoff Permanent
08/05/2015,10/09/2015,08/13/2015,Ralphs Grocery Company,Pico Rivera,67,Layoff Permanent
08/12/2015,10/12/2015,08/13/2015,Chevron,Richmond,70,Layoff Permanent
08/12/2015,10/12/2015,08/13/2015,Chevron,San Ramon,430,Layoff Permanent
08/12/2015,10/16/2015,08/13/2015,Quest Diagnostics Incorporated,San Jose,78,Layoff Permanent
08/13/2015,10/23/2015,08/13/2015,Motorola Mobility LLC,Sunnyvale,213,Layoff Permanent
08/14/2015,10/14/2015,08/14/2015,"Raytheon Intelligence, Information &",Chula Vista,41,Closure Unknown at this time
08/14/2015,10/13/2015,08/17/2015,"Haggen, Inc.",Simi Valley,101,Closure Permanent
08/14/2015,10/13/2015,08/17/2015,"Haggen, Inc.",Tustin,157,Closure Permanent
08/14/2015,10/13/2015,08/17/2015,"Haggen, Inc. (Store #2154)",Newbury Park,38,Closure Permanent
08/14/2015,10/13/2015,08/17/2015,"Haggen, Inc. (Store #2213)",Santa Clarita,33,Closure Permanent
08/12/2015,10/16/2015,08/18/2015,Sky Aerospace Products,Los Angeles,53,Closure Permanent
08/13/2015,10/16/2015,08/18/2015,Ralphs Grocery Company,Hermosa Beach,74,Layoff Permanent
08/14/2015,10/13/2015,08/18/2015,"Haggen, Inc.",San Ysidro,231,Closure Permanent
08/14/2015,10/13/2015,08/18/2015,"Haggen, Inc. (Store #2208)",Bakersfield,36,Closure Permanent
08/14/2015,10/13/2015,08/18/2015,"Haggen, Inc. (Store #2210)",Los Osos,24,Closure Permanent
08/14/2015,10/25/2015,08/18/2015,Ralphs Grocery Company,Santa Ana,75,Layoff Permanent
08/14/2015,10/27/2015,08/18/2015,USS-POSCO Industries,Pittsburg,661,Layoff Temporary
08/06/2015,10/30/2015,08/19/2015,Zimmer Biomet Dental,Carlsbad,279,Closure Permanent
08/18/2015,10/18/2015,08/19/2015,"KND Development 53, L.L.C., d/b/a",Hawaiian Gardens,94,Closure Permanent
08/17/2015,10/16/2015,08/21/2015,"Soitec Solar Industries, LLC",San Diego,100,Closure Permanent
08/20/2015,10/19/2015,08/21/2015,Safeway,Walnut Creek,63,Closure Permanent
08/20/2015,10/22/2015,08/21/2015,XOMA (US) LLC,Berkeley,39,Layoff Permanent
08/21/2015,10/23/2015,08/21/2015,"Western Digital Technologies, Inc.",Irvine,81,Layoff Permanent
08/21/2015,10/23/2015,08/21/2015,"Western Digital Technologies, Inc.",Mountain View,56,Layoff Permanent
08/20/2015,10/25/2015,08/24/2015,Silgan Containers,Riverbank,180,Layoff Temporary
08/21/2015,10/23/2015,08/25/2015,Boeing Company,El Segundo,39,Layoff Unknown at this time
08/21/2015,10/23/2015,08/25/2015,Boeing Company,Huntington Beach,26,Layoff Unknown at this time
08/21/2015,10/23/2015,08/25/2015,Boeing Company,Long Beach,113,Layoff Unknown at this time
08/24/2015,10/31/2015,08/25/2015,"Mesa Beverage Co., Inc.",Santa Rosa,137,Layoff Permanent
08/25/2015,10/24/2015,08/26/2015,"Patina Group NewCo, LLC.",Los Angeles,317,Layoff Unknown at this time
08/27/2015,08/31/2015,08/27/2015,"VT West, Inc.",La Mirada,68,Layoff Permanent
08/25/2015,10/26/2015,08/28/2015,Intuit Inc.,Menlo Park,8,Layoff Permanent
08/25/2015,10/26/2015,08/28/2015,Intuit Inc.,Mountain View,45,Layoff Permanent
08/25/2015,10/26/2015,08/28/2015,Intuit Inc.,San Diego,9,Layoff Permanent
08/25/2015,10/26/2015,08/28/2015,Intuit Inc.,San Francisco,2,Layoff Permanent
08/25/2015,10/26/2015,08/28/2015,Intuit Inc.,Woodland Hills,46,Layoff Permanent
08/27/2015,10/30/2015,08/28/2015,Sheraton Operating Corporation,Palm Desert,124,Layoff Permanent
08/25/2015,11/07/2015,08/31/2015,San Jose Airport Garden Hotel,San Jose,123,Closure Permanent
08/31/2015,10/30/2015,08/31/2015,Safeway Inc.,Pleasanton,5,Layoff Unknown at this time
08/28/2015,10/30/2015,09/01/2015,Boeing Company,El Segundo,106,Layoff Unknown at this time
08/28/2015,10/30/2015,09/01/2015,Boeing Company,Huntington Beach,6,Layoff Unknown at this time
08/28/2015,10/30/2015,09/01/2015,Boeing Company,Long Beach,2,Layoff Unknown at this time
08/28/2015,11/01/2015,09/01/2015,"Kor Hotel Management, LLC dba Viceroy",San Francisco,47,Closure Temporary
09/01/2015,11/02/2015,09/02/2015,"M.E. Fox & Company, Inc.",San Jose,127,Layoff Permanent
09/01/2015,11/03/2015,09/03/2015,Sheraton Operating Corporation,Dana Point,610,Closure Temporary
08/24/2015,10/23/2015,09/04/2015,"Park 'N Fly San Diego and Park 'N Fly,",San Diego,71,Layoff Permanent
09/02/2015,11/06/2015,09/04/2015,"Acclarent, Inc.",Menlo Park,114,Layoff Unknown at this time
09/03/2015,10/30/2015,09/04/2015,FAMIMA Corporation,Los Angeles,73,Layoff Unknown at this time
09/03/2015,10/30/2015,09/04/2015,FAMIMA Corporation,Santa Monica,12,Layoff Unknown at this time
09/03/2015,10/30/2015,09/04/2015,FAMIMA Corporation,Torrance,9,Layoff Unknown at this time
09/03/2015,11/02/2015,09/04/2015,MiaSole Hi-Tech Corp.,Santa Clara,79,Layoff Permanent
08/28/2015,08/25/2015,09/08/2015,BAE SYSTEMS,San Francisco,134,Layoff Temporary
09/02/2015,11/06/2015,09/10/2015,Mentor Worldwide LLC,Santa Barbara,81,Layoff Unknown at this time
09/10/2015,11/09/2015,09/10/2015,"Collecto, Inc. dba EOS CCA",Novato,45,Closure Permanent
09/10/2015,11/10/2015,09/10/2015,"Western Digital Technologies, Inc.",Irvine,143,Layoff Permanent
09/01/2015,11/01/2015,09/11/2015,Zenith Education Group,Santa Ana,18,Layoff Permanent
09/04/2015,09/04/2015,09/11/2015,"Quiksilver, Inc.",Huntington Beach,77,Layoff Permanent
09/04/2015,11/06/2015,09/14/2015,Boeing Company,Long Beach,2,Layoff Unknown at this time
09/10/2015,11/09/2015,09/14/2015,Seagate US LLC,Cupertino,62,Layoff Permanent
09/11/2015,09/14/2015,09/14/2015,"Cisco Systems, Inc.",San Jose,20,Layoff Permanent
09/11/2015,09/29/2015,09/14/2015,AT&T,San Ramon,219,Layoff Permanent
09/15/2015,07/20/2015,09/16/2015,"GREE International, Inc.",San Francisco,114,Layoff Unknown at this time
09/15/2015,11/14/2015,09/16/2015,Brake Parts Inc.,Chowchilla,107,Layoff Permanent
09/16/2015,09/17/2015,09/16/2015,"Halliburton Energy Services, Inc.",Bakersfield,52,Layoff Permanent
09/15/2015,09/30/2015,09/17/2015,CareFusion,San Diego,95,Layoff Permanent
09/17/2015,11/20/2015,09/17/2015,Qualcomm Incorporated,San Jose,60,Layoff Permanent
09/17/2015,11/20/2015,09/17/2015,Qualcomm Incorporated,Santa Clara,70,Layoff Permanent
09/14/2015,11/20/2015,09/18/2015,AbilityFirst,Woodland Hills,105,Closure Permanent
09/17/2015,11/20/2015,09/18/2015,Qualcomm Incorporated,San Diego,1314,Layoff Permanent
09/11/2015,11/13/2015,09/21/2015,Boeing Company,El Segundo,3,Layoff Temporary
09/16/2015,11/16/2015,09/22/2015,Intuit Inc.,Woodland Hills,12,Layoff Permanent
09/16/2015,11/20/2015,09/22/2015,Ralphs Grocery Company,Glendora,73,Layoff Permanent
09/17/2015,11/16/2015,09/22/2015,MCC BB Property LLC,Santa Barbara,23,Layoff Permanent
09/21/2015,11/22/2015,09/22/2015,TGI Friday's,Valencia,62,Closure Permanent
09/24/2015,01/06/2016,09/24/2015,Medtronic Distribution,Mira Loma,21,Layoff Permanent
09/24/2015,11/23/2015,09/24/2015,"Bridgepoint Education, Inc.",San Diego,19,Layoff Permanent
09/18/2015,11/20/2015,09/28/2015,Boeing Company,El Segundo,54,Layoff Permanent
09/18/2015,11/20/2015,09/28/2015,Boeing Company,Huntington Beach,23,Layoff Permanent
09/18/2015,11/20/2015,09/28/2015,Boeing Company,Long Beach,37,Layoff Permanent
09/21/2015,11/20/2015,09/28/2015,Safeway Inc.,Pleasanton,15,Layoff Unknown at this time
09/24/2015,11/27/2015,09/28/2015,"Brice Manufacturing Company, Inc.",Pacoima,9,Layoff Permanent
09/28/2015,11/27/2015,09/28/2015,"Safeway, Inc.",Pleasanton,4,Layoff Unknown at this time
09/24/2015,09/24/2015,09/29/2015,"Space Systems/Loral, LLC",Palo Alto,90,Layoff Permanent
09/25/2015,11/23/2015,09/29/2015,Flagship Food Group,Chatsworth,123,Closure Permanent
09/30/2015,05/01/2016,09/30/2015,Packaging Advantage Corporation DBA,Los Angeles,192,Closure Permanent
09/30/2015,11/30/2015,09/30/2015,"San Diego Sports, LLC",San Diego,123,Closure Permanent
09/30/2015,11/30/2015,09/30/2015,United Technologies Corporation,San Diego,7,Closure Permanent
09/28/2015,11/27/2015,10/01/2015,"MobiTV, Inc.",Emeryville,54,Layoff Permanent
09/30/2015,11/30/2015,10/01/2015,"SunEdison, Inc.",Belmont,51,Layoff Permanent
09/30/2015,11/30/2016,10/01/2015,"SunEdison, Inc.",San Francisco,11,Layoff Permanent
09/30/2015,12/04/2015,10/01/2015,Fireman's Fund Insurance Company,Novato,73,Layoff Permanent
09/24/2015,12/01/2015,10/02/2015,Menzies Aviation,Los Angeles,51,Layoff Permanent
10/01/2015,01/16/2016,10/02/2015,"Kohl's Department Stores, Inc.",Santa Clara,119,Closure Permanent
10/02/2015,10/02/2015,10/02/2015,"Aerotek, Inc.",Oxnard,58,Layoff Unknown at this time
09/29/2015,11/30/2015,10/05/2015,"Kythera Biopharmaceuticals, Inc.",Westlake Village,117,Layoff Permanent
10/02/2015,11/05/2015,10/05/2015,"GMRI, Inc.",Los Angeles,83,Closure Permanent
10/02/2015,12/04/2015,10/05/2015,Svenhard's Swedish Bakery,Oakland,162,Closure Permanent
10/05/2015,12/05/2015,10/06/2015,Marine Terminal Corporation,Los Angeles,136,Closure Permanent
10/05/2015,12/05/2015,10/06/2015,Marine Terminal Corporation,Oakland,39,Closure Permanent
10/06/2015,12/07/2015,10/08/2015,MullinTBG,El Segundo,50,Layoff Permanent
10/06/2015,12/07/2015,10/08/2015,MullinTBG,Irvine,3,Layoff Permanent
10/08/2015,09/25/2015,10/08/2015,"Onyx Pharmaceuticals, Inc",South San,377,Closure Permanent
10/06/2015,12/05/2015,10/09/2015,"Ports America Shared Services, Inc.",Oakland,4,Layoff Permanent
10/06/2015,12/05/2015,10/09/2015,"Ports America Shared Services, Inc.",Terminal Island,7,Layoff Permanent
10/07/2015,11/24/2015,10/09/2015,Triple B Corporation,Irwindale,124,Closure Permanent
10/06/2015,12/06/2015,10/12/2015,"Apro Distribution, LLC",Gardena,61,Layoff Permanent
10/07/2015,12/07/2015,10/12/2015,Southern California Edison Company,Irwindale,32,Layoff Permanent
10/08/2015,12/28/2015,10/12/2015,Barclays Capital Inc.,Los Angeles,15,Layoff Permanent
10/08/2015,12/28/2015,10/12/2015,Barclays Capital Inc.,San Francisco,20,Layoff Permanent
10/01/2015,12/07/2015,10/13/2015,General Dynamics Advanced Information,Thousand Oaks,55,Closure Permanent
10/13/2015,12/18/2015,10/13/2015,"WD Media, LLC",San Jose,2,Layoff Permanent
10/13/2015,12/18/2015,10/13/2015,"Western Digital, LLC",Fremont,109,Layoff Permanent
09/29/2015,10/14/2015,10/14/2015,"TTM Technologies, Inc.",Milpitas,175,Closure Unknown at this time
10/01/2015,12/01/2015,10/14/2015,Zenith Education Group,Santa Ana,48,Layoff Permanent
10/12/2015,12/11/2015,10/14/2015,"Rockwell Collins, Inc.",Poway,29,Layoff Permanent
10/12/2015,12/13/2015,10/14/2015,"Twitter, Inc.",San Francisco,240,Layoff Permanent
10/14/2015,12/19/2015,10/14/2015,GENCO,Eastvale,68,Layoff Permanent
10/01/2015,11/30/2015,10/15/2015,Boeing Company,Long Beach,1,Layoff Unknown at this time
10/09/2015,12/11/2015,10/15/2015,Boeing Company,El Segundo,109,Layoff Unknown at this time
10/09/2015,12/11/2015,10/15/2015,Boeing Company,Huntington Beach,76,Layoff Unknown at this time
10/09/2015,12/11/2015,10/15/2015,Boeing Company,Long Beach,36,Layoff Unknown at this time
10/15/2015,12/15/2015,10/16/2015,Danmer Custom Shutters,Van Nuys,70,Layoff Permanent
10/16/2015,12/15/2015,10/16/2015,"Marvell Semiconductor, Inc.",Aliso Viejo,9,Layoff Permanent
10/16/2015,12/15/2015,10/16/2015,"Marvell Semiconductor, Inc.",Santa Clara,12,Layoff Permanent
10/16/2015,12/18/2015,10/16/2015,"Bridgepoint Education, Inc.",San Diego,4,Layoff Permanent
10/15/2015,10/02/2015,10/19/2015,Hewlett-Packard Company,Palo Alto,65,Layoff Permanent
10/15/2015,12/22/2015,10/19/2015,"PCM, Inc.",Laguna Woods,968,Layoff Permanent
09/29/2015,12/31/2015,10/20/2015,"DD Traders, Inc.",San Francisco,18,Layoff Permanent
10/19/2015,12/20/2015,10/20/2015,Tra Vigne,Saint Helena,136,Closure Permanent
10/20/2015,01/01/2016,10/21/2015,City Winery Napa,Napa,37,Closure Permanent
10/20/2015,12/21/2015,10/21/2015,XOMA (US) LLC,Berkeley,13,Layoff Permanent
10/21/2015,12/20/2015,10/21/2015,Microsoft Corporation,San Diego,4,Closure Unknown at this time
10/15/2015,12/15/2015,10/22/2015,Hersha Hospitality Management LP,Los Angeles,71,Closure Temporary
10/20/2015,10/23/2015,10/22/2015,"Halliburton Energy Services, Inc.",Bakersfield,6,Layoff Permanent
10/21/2015,10/23/2015,10/22/2015,"Fresh & Easy, LLC",Riverside,806,Closure Permanent
10/21/2015,10/23/2015,10/22/2015,"Fresh & Easy, LLC",Torrance,106,Closure Permanent
10/21/2015,12/20/2015,10/22/2015,Wells Fargo,Santa Ana,65,Closure Unknown at this time
10/22/2015,12/21/2015,10/22/2015,"Bridgepoint Education, Inc.",San Diego,4,Layoff Permanent
10/23/2015,12/26/2015,10/26/2015,The Declan Suites,San Diego,35,Layoff Unknown at this time
10/21/2015,10/21/2015,10/27/2015,"Agua Lung America, Inc.",Calexico,29,Closure Permanent
10/21/2015,12/22/2015,10/27/2015,Napa Valley Grille,Los Angeles,86,Closure Temporary
10/27/2015,12/28/2015,10/27/2015,ISOLA USA Corp.,Elk Grove,72,Closure Permanent
10/27/2015,12/31/2015,10/27/2015,"Arena Pharmaceuticals, Inc.",San Diego,79,Layoff Permanent
06/26/2015,09/12/2015,10/28/2015,Raley's,Sacramento,60,Closure Permanent
10/22/2015,10/22/2015,10/28/2015,"Haas Automation, Inc.",Oxnard,6,Layoff Permanent
10/22/2015,12/27/2015,10/28/2015,Raley's,Stockton,54,Closure Permanent
10/27/2015,01/04/2016,10/28/2015,CoreLogic,Redwood City,21,Closure Permanent
10/27/2015,12/28/2015,10/28/2015,"Brice Manufacturing Company, Inc.",Pacoima,33,Layoff Permanent
10/29/2015,03/31/2016,10/29/2015,Vishay Siliconix,Santa Clara,292,Layoff Permanent
10/23/2015,10/26/2015,10/30/2015,LG NanoH20,El Segundo,83,Layoff Permanent
10/26/2015,10/20/2015,10/30/2015,BAE SYSTEMS,San Francisco,2,Layoff Unknown at this time
10/26/2015,10/20/2015,10/30/2015,BAE SYSTEMS,San Francisco,163,Layoff Temporary
10/29/2015,12/31/2015,10/30/2015,Boston Scientific Corporation,San Jose,75,Layoff Permanent
10/30/2015,12/31/2015,10/30/2015,"Safeway, Inc.",Pleasanton,23,Layoff Unknown at this time
10/30/2015,12/31/2015,11/02/2015,Verizon,Irvine,171,Layoff Permanent
11/01/2015,12/31/2015,11/02/2015,CEVA Logistics,Stockton,56,Layoff Permanent
11/02/2015,01/03/2016,11/02/2015,Greystone Manor,Los Angeles,61,Closure Temporary
10/30/2015,01/03/2016,11/04/2015,Grill Concepts,Studio City,49,Closure Temporary
10/30/2015,11/03/2015,11/04/2015,"Cisco Systems, Inc.",San Jose,126,Layoff Permanent
10/29/2015,01/03/2016,11/05/2015,"Scott's Restaurants, LLC",Costa Mesa,106,Closure Permanent
10/30/2015,01/01/2016,11/05/2015,Boeing Company,El Segundo,17,Layoff Unknown at this time
10/30/2015,01/01/2016,11/05/2015,Boeing Company,Huntington Beach,35,Layoff Unknown at this time
10/30/2015,01/01/2016,11/05/2015,Boeing Company,Long Beach,13,Layoff Unknown at this time
11/04/2015,01/07/2016,11/05/2015,"JC Entertainment Lighting Services, Inc.",Sun Valley,169,Layoff Permanent
11/06/2015,01/06/2016,11/06/2015,Microsemi,Garden Grove,57,Layoff Permanent
10/30/2015,12/31/2015,11/09/2015,Boeing Company,Long Beach,1,Layoff Unknown at this time
11/04/2015,11/24/2015,11/09/2015,Penske Logistics,South Gate,6,Closure Permanent
11/04/2015,11/24/2015,11/09/2015,Penske Logistics,South Gate,54,Layoff Permanent
11/05/2015,12/10/2015,11/09/2015,"Golden State Drilling, Inc.",Bakersfield,104,Layoff Permanent
11/07/2015,11/01/2015,11/09/2015,"GMRI, Inc. d/b/a Yard House",San Diego,110,Closure Permanent
11/09/2015,01/08/2016,11/10/2015,Hyundai Capital America,Irvine,41,Layoff Permanent
11/10/2015,01/11/2016,11/12/2015,SWAY Management LLC,Oakland,102,Layoff Permanent
11/12/2015,01/06/2016,11/12/2015,"Forever 21 Retail, Inc.",San Luis Obispo,72,Closure Permanent
11/09/2015,01/05/2016,11/16/2015,AT&T,Commerce,99,Layoff Permanent
11/11/2015,01/18/2015,11/17/2015,Exel Inc.,Ontario,92,Closure Permanent
11/16/2015,01/16/2016,11/17/2015,Macy's Century City Store,Los Angeles,117,Closure Permanent
11/18/2015,01/17/2016,11/18/2015,Wells Fargo,San Bernardino,122,Closure Unknown at this time
11/19/2015,09/30/2016,11/19/2015,Plexus Corp.,Fremont,204,Closure Permanent
11/13/2015,01/18/2016,11/20/2015,AT&T,Oakland,92,Layoff Permanent
11/12/2015,01/15/2016,11/23/2015,Kim Lighting,City of Industry,160,Closure Unknown at this time
11/18/2015,12/31/2015,11/23/2015,"Rdio, Inc.",San Francisco,123,Closure Permanent
11/20/2015,01/20/2016,11/23/2015,"Construction Specialty Service, Inc. dba",Bakersfield,61,Layoff Unknown at this time
11/20/2015,01/22/2016,11/23/2015,"Complete Genomics, Inc.",Mountain View,158,Layoff Unknown at this time
11/20/2015,01/22/2016,11/23/2015,"Complete Genomics, Inc.",San Francisco,6,Layoff Unknown at this time
11/20/2015,01/22/2016,11/23/2015,"Complete Genomics, Inc.",San Jose,15,Layoff Unknown at this time
11/23/2015,01/22/2016,11/23/2015,Safeway Inc.,Pleasanton,7,Layoff Unknown at this time
11/20/2015,01/22/2016,11/25/2015,Boeing Company,El Segundo,28,Layoff Unknown at this time
11/20/2015,01/22/2016,11/25/2015,Boeing Company,Huntington Beach,28,Layoff Unknown at this time
11/20/2015,01/22/2016,11/25/2015,Boeing Company,Long Beach,10,Layoff Unknown at this time
11/24/2015,01/31/2016,11/30/2015,Runaway Two Five Corporation,Los Angeles,73,Closure Temporary
11/30/2015,02/01/2016,11/30/2015,"Ceradyne, Inc.",Costa Mesa,65,Closure Permanent
11/30/2015,02/29/2016,11/30/2015,Bay Valley Foods,City of Industry,62,Closure Permanent
11/30/2015,02/29/2016,11/30/2015,YP Advertising & Publishing LLC,Pleasanton,68,Layoff Permanent
11/25/2015,12/07/2015,12/01/2015,"Brinderson, L.P.",Coalinga,84,Closure Permanent
11/25/2015,12/07/2015,12/01/2015,"Brinderson, L.P.",Lost Hills,56,Closure Permanent
11/25/2015,12/07/2015,12/01/2015,"Brinderson, L.P.",San Ardo,101,Closure Permanent
