Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
07/14/2014,09/26/2014,08/01/2014,Terminal 2 Wolfgang Pucks-Bradley,Los Angeles,24,Layoff Permanent
07/15/2014,09/13/2014,08/01/2014,Beverly Community Hospital,Montebello,82,Layoff Permanent
07/15/2014,09/15/2014,08/01/2014,Intuit Inc,San Diego,7,Layoff Permanent
07/15/2014,09/15/2014,08/01/2014,Intuit Inc,Woodland Hills,120,Layoff Permanent
07/16/2014,09/29/2014,08/01/2014,"VPD IV, INc",El Dorado Hills,17,Closure Permanent
07/29/2014,09/30/2014,08/04/2014,Tatitlek Corporation,Twentynine Palms,2562,Layoff Permanent
08/01/2014,10/03/2014,08/04/2014,Nestle Prepared Foods Company/Hot,Chatsworth,353,Layoff Unknown at this time
08/01/2014,10/07/2014,08/04/2014,CTI Foods/Custom Food Products,Long Beach,315,Closure Permanent
07/30/2014,10/03/2014,08/05/2014,Northrop Grumman Corporation,Fort Irwin,423,Layoff Permanent
07/31/2014,06/18/2014,08/05/2014,Symantec Corporation,Mountain View,4,Layoff Permanent
07/31/2014,08/01/2014,08/05/2014,Hewlett-Packard Company,Palo Alto,39,Layoff Permanent
08/01/2014,09/19/2014,08/05/2014,Boeing Company,Long Beach,158,Layoff Unknown at this time
08/01/2014,10/01/2014,08/05/2014,"United Airlines, Inc.",San Francisco,233,Layoff Permanent
08/04/2014,10/03/2014,08/05/2014,RMR Financial LLC,Santa Monica,12,Layoff Permanent
07/31/2014,10/04/2014,08/06/2014,Foothill Transit/First Transit,Arcadia,416,Layoff Permanent
08/05/2014,10/04/2014,08/06/2014,"Space Systems/Loral, LLC",Palo Alto,53,Layoff Permanent
08/05/2014,10/05/2014,08/07/2014,Springleaf Finance,Rancho,10,Closure Permanent
08/05/2014,10/08/2014,08/07/2014,"Actavis, Inc.",Corona,48,Layoff Permanent
08/06/2014,10/06/2014,08/11/2014,Sutter Health/ABSMC Summit,Oakland,4,Layoff Permanent
08/08/2014,10/10/2014,08/11/2014,Southern California Edison Company,Azusa,8,Layoff Permanent
08/08/2014,10/10/2014,08/11/2014,Southern California Edison Company,Baldwin Park,320,Layoff Permanent
08/08/2014,10/10/2014,08/11/2014,Southern California Edison Company,Rosemead,82,Layoff Permanent
08/12/2014,08/12/2014,08/13/2014,TaylorMade Golf Company,Carlsbad,98,Layoff Permanent
08/11/2014,10/10/2014,08/14/2014,"RAD Harvest, LLC",Monterey,1,Layoff Permanent
08/11/2014,10/10/2014,08/14/2014,"RAD Harvest, LLC",Salinas,80,Layoff Permanent
08/14/2014,09/26/2014,08/14/2014,"Amcor Rigid Plastics USA, Inc.",Los Angeles,112,Layoff Permanent
08/14/2014,10/14/2014,08/15/2014,Raytheon Company-Space & Airborne,El Segundo,28,Layoff Permanent
08/19/2014,08/19/2014,08/19/2014,"Risk Management Solutions, Inc.",Newark,78,Layoff Permanent
08/21/2014,10/20/2014,08/21/2014,"Angelica Textile Services, Inc.",San Diego,67,Closure Permanent
08/25/2014,11/01/2014,08/25/2014,BD Medical,Carlsbad,100,Closure Permanent
08/22/2014,10/24/2014,08/26/2014,Boeing Company,Huntington Beach,53,Layoff Unknown at this time
08/22/2014,10/24/2014,08/26/2014,Boeing Company,Long Beach,49,Layoff Unknown at this time
08/25/2014,10/24/2014,08/26/2014,Ball Metal Food & Household Products,Oakdale,159,Layoff Permanent
08/18/2014,10/23/2014,08/27/2014,Imperium Security Specialists,San Jose,45,Layoff Unknown at this time
08/22/2014,10/24/2014,08/27/2014,Boeing Company,El Segundo,37,Layoff Unknown at this time
08/26/2014,08/26/2014,08/27/2014,Disney Interactive,Palo Alto,55,Layoff Permanent
08/26/2014,08/26/2014,08/28/2014,"Aruba Networks, Inc.",Sunnyvale,116,Layoff Permanent
08/26/2014,10/25/2014,08/28/2014,HSBC,Pomona,40,Layoff Permanent
08/27/2014,11/03/2014,08/28/2014,Precyse Solutions LLC,Los Angeles,61,Layoff Permanent
08/22/2014,10/22/2014,09/02/2014,Super Glue/Pacer Technology,Ontario,10,Layoff Permanent
08/22/2014,10/22/2014,09/02/2014,Super Glue/Pacer Technology,Rancho,1,Layoff Permanent
08/25/2014,10/26/2014,09/02/2014,USS-POSCO Industries,Pittsburg,643,Layoff Unknown at this time
08/05/2014,08/04/2014,09/03/2014,BAE Systems,San Francisco,1,Layoff Unknown at this time
08/12/2014,08/11/2014,09/03/2014,BAE Systems,San Francisco,1,Layoff Unknown at this time
08/21/2014,11/10/2014,09/03/2014,"Investor's Business Daily, Inc.",Los Angeles,38,Layoff Permanent
08/25/2014,10/31/2014,09/03/2014,"Allergan, Inc.",Irvine,129,Layoff Permanent
08/28/2014,11/01/2014,09/03/2014,Menzies Aviation LAX,Los Angeles,65,Layoff Permanent
08/28/2014,11/01/2014,09/04/2014,Stingaree,San Diego,111,Closure Permanent
09/02/2014,11/03/2014,09/04/2014,"Exelixis, Inc.",South San,152,Layoff Permanent
08/25/2014,09/09/2014,09/05/2014,BAE Systems,San Francisco,87,Layoff Temporary
08/29/2014,10/01/2014,09/05/2014,Symantec Corporation,Mountain View,2,Layoff Permanent
08/29/2014,10/29/2014,09/05/2014,The House of Big Fish and Ice Cold,Laguna Beach,58,Closure Permanent
09/02/2014,10/26/2014,09/05/2014,Bank of America,Simi Valley,36,Layoff Permanent
09/04/2014,11/07/2014,09/05/2014,The Active Network,San Diego,47,Layoff Permanent
09/05/2014,11/07/2014,09/05/2014,QBE North America,Irvine,68,Layoff Unknown at this time
09/04/2014,11/06/2014,09/09/2014,Narus,Sunnyvale,17,Layoff Permanent
09/08/2014,11/03/2014,09/09/2014,"Exelixis, Inc.",South San,2,Layoff Permanent
09/03/2014,10/31/2014,09/10/2014,"Security Industry Specialist, Inc.",San Bruno,10,Layoff Permanent
09/03/2014,10/31/2014,09/10/2014,"Security Industry Specialists, Inc.",Mountain View,310,Layoff Permanent
09/03/2014,10/31/2014,09/10/2014,"Security Industry Specialists, Inc.",Palo Alto,3,Layoff Permanent
09/03/2014,10/31/2014,09/10/2014,"Security Industry Specialists, Inc.",San Francisco,12,Layoff Permanent
09/08/2014,11/07/2014,09/15/2014,Discover Home Loans,Irvine,4,Layoff Permanent
09/09/2014,11/10/2014,09/15/2014,Antelope Valley Hospital,Lancaster,99,Layoff Unknown at this time
09/12/2014,11/14/2014,09/15/2014,Ducommun Incorporated/Ducommun,Monrovia,68,Layoff Permanent
09/07/2014,11/10/2014,09/17/2014,Aramark Management Services,Los Alamitos,51,Closure Permanent
09/11/2014,11/10/2014,09/17/2014,California Superstores Valencia CJDR,Valencia,64,Closure Unknown at this time
09/15/2014,11/14/2014,09/17/2014,United Technologies,San Diego,6,Closure Permanent
09/15/2014,11/16/2014,09/17/2014,Drew Ford,La Mesa,281,Closure Permanent
09/10/2014,11/02/2014,09/18/2014,Bank of America,Los Angeles,5,Layoff Permanent
09/11/2014,11/10/2014,09/18/2014,Morrison Healthcare,Los Alamitos,53,Closure Permanent
09/11/2014,11/15/2014,09/18/2014,Morrison Healthcare,Palm Springs,85,Closure Permanent
09/15/2014,11/14/2014,09/18/2014,Yahoo! Inc.,Carlsbad,59,Closure Permanent
09/15/2014,11/24/2014,09/18/2014,Warren's Blackboard,North Hollywood,58,Layoff Permanent
09/17/2014,09/17/2014,09/18/2014,"Hightail, Inc.",Campbell,74,Layoff Permanent
09/17/2014,11/24/2014,09/18/2014,San Francisco Marriott Marquis,San Francisco,22,Layoff Temporary
09/12/2014,11/12/2014,09/22/2014,BD Biosciences,San Jose,60,Layoff Permanent
09/15/2014,11/19/2014,09/23/2014,Ralphs Grocery Company,Whittier,62,Closure Unknown at this time
09/19/2014,11/19/2014,09/23/2014,Western/lnduspac Packaging Group,Livermore,46,Closure Unknown at this time
09/15/2014,11/17/2014,09/25/2014,Discover Financial Services-Personal,Irvine,25,Layoff Permanent
09/15/2014,11/17/2014,09/25/2014,Morrison Healthcare,Fountain Valley,91,Closure Permanent
09/17/2014,11/17/2014,09/25/2014,"Microsoft and Nokia, Inc.",Mountain View,94,Layoff Permanent
09/18/2014,11/17/2014,09/25/2014,"Microsoft and Nokia, Inc.",San Diego,13,Layoff Permanent
09/18/2014,11/17/2014,09/25/2014,"Microsoft and Nokia, Inc.",Sunnyvale,53,Layoff Permanent
09/19/2014,11/18/2014,09/25/2014,Sierra Nevada Corporation,Poway,33,Closure Permanent
09/19/2014,11/22/2014,09/25/2014,Envoy Air,Los Angeles,107,Layoff Permanent
09/22/2014,11/21/2014,09/25/2014,Office Max,Menlo Park,74,Closure Permanent
09/22/2014,11/21/2014,09/29/2014,Moark LLC,Fontana,73,Closure Permanent
09/15/2014,11/17/2014,09/30/2014,Discover Financial Services,Irvine,25,Layoff Permanent
09/22/2014,10/31/2014,09/30/2014,Areata Associates Inc.,Edwards,101,Layoff Permanent
09/22/2014,11/21/2014,09/30/2014,Moark LLC,Menifee,25,Closure Permanent
09/22/2014,11/21/2014,09/30/2014,Moark LLC,Nuevo,87,Closure Permanent
09/22/2014,11/23/2014,09/30/2014,Silgan Containers,Riverbank,178,Layoff Temporary
09/22/2014,10/10/2014,10/01/2014,"Cisco Systems, Inc.",San Jose,1005,Layoff Permanent
09/22/2014,11/21/2014,10/01/2014,Boeing Company,Huntington Beach,40,Layoff Unknown at this time
09/26/2014,10/27/2014,10/01/2014,Exide Technologies,Los Angeles,61,Layoff Temporary
09/22/2014,11/21/2014,10/02/2014,Boeing Company,Long Beach,227,Layoff Unknown at this time
09/22/2014,11/21/2014,10/03/2014,Boeing Company,El Segundo,51,Layoff Unknown at this time
09/16/2014,09/30/2014,10/06/2014,Asset Protection and Security,El Centro,184,Closure Permanent
09/30/2014,12/01/2014,10/06/2014,MBM Foodservice,Fullerton,76,Closure Permanent
09/25/2014,11/24/2014,10/07/2014,"Astronics Test Systems, Inc.",Irvine,53,Layoff Permanent
09/26/2014,11/15/2014,10/07/2014,Crothall Halthcare-Desert Regional,Palm Springs,81,Closure Permanent
10/02/2014,01/17/2015,10/07/2014,"Kohl's Department Stores, Inc.",Hayward,90,Closure Permanent
10/02/2014,12/02/2014,10/07/2014,McGraw-Hill Education,Monterey,47,Layoff Unknown at this time
10/01/2014,12/01/2014,10/08/2014,ITT Cannon LLC,Santa Ana,41,Layoff Permanent
10/03/2014,11/06/2014,10/08/2014,"Albertson's, LLC",Hawthorne,78,Closure Permanent
10/03/2014,12/31/2014,10/08/2014,Atrium Corporation,Ontario,131,Closure Permanent
09/29/2014,11/28/2014,10/09/2014,"Allergan, Inc.",Carlsbad,40,Layoff Permanent
09/29/2014,11/28/2014,10/13/2014,"Allergan, Inc.",Irvine,371,Layoff Permanent
09/15/2014,11/30/2014,10/14/2014,"Nor-Cal Beverage Co, Inc.",Loomis,118,Layoff Permanent
09/15/2014,11/30/2014,10/14/2014,"Nor-Cal Beverage Co., Inc./Go Girl",West Sacramento,10,Layoff Permanent
09/28/2014,11/28/2014,10/14/2014,Tatitlek Corporation,Twentynine Palms,125,Layoff Permanent
09/29/2014,11/28/2014,10/14/2014,"Allergan, Inc.",Goleta,134,Closure Permanent
09/29/2014,11/29/2014,10/14/2014,Super Glue/Pacer Technology,Rancho,65,Layoff Permanent
09/23/2014,11/30/2014,10/16/2014,"Kmart, Store #3276",San Leandro,102,Closure Permanent
09/23/2014,11/30/2014,10/16/2014,"Kmart, Store #4281",Covina,92,Closure Permanent
09/25/2014,10/25/2014,10/16/2014,Tri Counties Bank,Redding,34,Layoff Permanent
09/25/2014,10/25/2014,10/16/2014,Tri Counties Bank,Redding,40,Layoff Permanent
10/01/2014,12/31/2014,10/16/2014,Prometheus Real Estate Group,Hayward,5,Layoff Permanent
10/01/2014,12/31/2014,10/16/2014,Prometheus Real Estate Group,Los Gatos,8,Layoff Permanent
10/01/2014,12/31/2014,10/16/2014,Prometheus Real Estate Group,Mountain View,9,Layoff Permanent
10/01/2014,12/31/2014,10/16/2014,Prometheus Real Estate Group,San Mateo,9,Layoff Permanent
10/01/2014,12/31/2014,10/20/2014,Prometheus Real Estate Group,San Jose,6,Layoff Permanent
10/01/2014,12/31/2014,10/20/2014,Prometheus Real Estate Group,Santa Clara,9,Layoff Permanent
10/10/2014,12/12/2014,10/20/2014,Boeing Company,El Segundo,34,Layoff Unknown at this time
10/10/2014,12/12/2014,10/20/2014,Boeing Company,Huntington Beach,61,Layoff Unknown at this time
10/10/2014,12/12/2014,10/20/2014,Boeing Company,Long Beach,44,Layoff Unknown at this time
10/16/2014,10/17/2014,10/20/2014,Chukchansi Gold Resort & Casino,Coarsegold,1034,Closure Temporary
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,Dublin,7,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,Fremont,6,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,Pleasanton,5,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,Sacramento,6,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,San Jose,6,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,San Jose,7,Layoff Permanent
10/01/2014,12/31/2014,10/21/2014,Prometheus Real Estate Group,San Jose,10,Layoff Permanent
10/03/2014,12/19/2014,10/22/2014,City National Bank,Costa Mesa,2,Closure Permanent
10/08/2014,12/07/2014,10/22/2014,Bank of America,Canoga Park,57,Layoff Permanent
10/14/2014,10/16/2014,10/22/2014,Harrold Ford,Sacramento,120,Layoff Unknown at this time
10/15/2014,12/15/2014,10/22/2014,Albertelli Law,Chatsworth,66,Layoff Permanent
10/15/2014,12/16/2014,10/22/2014,Volcano Corporation,Rancho Cordova,170,Layoff Permanent
10/15/2014,12/19/2014,10/22/2014,The Active Network,San Diego,65,Layoff Permanent
10/10/2014,09/09/2014,10/23/2014,BAE Systems,San Francisco,201,Layoff Temporary
10/15/2014,11/26/2014,10/27/2014,Bon Appetit Management Company,Santa Clara,97,Closure Permanent
10/17/2014,12/31/2014,10/27/2014,American Medical Response West,Modesto,211,Layoff Permanent
10/17/2014,12/19/2014,10/28/2014,THINK Together,Santa Ana,77,Layoff Permanent
10/20/2014,12/19/2014,10/28/2014,Walt Disney Pictures,Burbank,61,Layoff Permanent
10/21/2014,12/20/2014,10/28/2014,Fallbrook Hospital,Fallbrook,269,Layoff Permanent
10/21/2014,12/20/2014,10/28/2014,Fallbrook Hospital Skilled Nursing,Fallbrook,96,Layoff Permanent
10/21/2014,12/22/2014,10/28/2014,Hacienda Hotel,El Segundo,28,Closure Temporary
10/22/2014,12/22/2014,10/28/2014,"Amgen, Inc.",Newbury Park,349,Layoff Permanent
10/15/2014,01/11/2015,10/29/2014,Kmart,El Centro,75,Closure Permanent
10/22/2014,10/24/2014,10/29/2014,"Carbine, LLC",Aliso Viejo,60,Layoff Unknown at this time
10/23/2014,01/16/2015,10/29/2014,XO Group Inc.,Redding,113,Closure Permanent
10/23/2014,12/23/2014,10/29/2014,Supertex LLC/Microchip Technology,San Jose,83,Layoff Permanent
10/24/2014,12/23/2014,10/29/2014,"Hartman Studios, Inc.",Richmond,219,Layoff Permanent
10/24/2014,12/31/2014,10/29/2014,First Student,Upland,156,Closure Permanent
10/24/2014,01/02/2015,10/30/2014,HGST,San Jose,26,Layoff Permanent
10/24/2014,01/02/2015,10/30/2014,HGST,San Jose,47,Layoff Permanent
10/24/2014,12/29/2014,10/30/2014,"LMC Services, Inc.",Glendale,93,Closure Permanent
10/28/2014,10/29/2014,10/30/2014,"Advanced Micro Devices, Inc.",Sunnyvale,57,Layoff Unknown at this time
10/28/2014,12/26/2014,10/30/2014,Verizon California Inc.,Victorville,58,Closure Permanent
10/29/2014,12/28/2014,10/31/2014,Microsoft and Nokia Inc.,San Diego,154,Layoff Permanent
10/29/2014,12/28/2014,11/04/2014,Microsoft and Nokia Inc.,Mountain View,8,Layoff Permanent
10/15/2014,12/19/2014,11/06/2014,Olam Spices & Vegetables,Modesto,242,Layoff Permanent
10/22/2014,12/22/2014,11/06/2014,Fallbrook Home Health and Hospice,Fallbrook,37,Closure Permanent
10/24/2014,01/02/2015,11/06/2014,HGST,San Jose,3,Layoff Permanent
10/27/2014,01/05/2015,11/06/2014,Sutter Amador Hospital,Jackson,1,Layoff Permanent
10/29/2014,12/28/2014,11/06/2014,Microsoft and Nokia Inc.,Sunnyvale,13,Layoff Permanent
10/30/2014,12/28/2014,11/06/2014,Ghirardelli Chocolate Manufactory,San Francisco,84,Closure Temporary
10/29/2014,12/31/2014,11/12/2014,"MV Transportation, Inc.",Redwood City,123,Layoff Permanent
10/31/2014,01/02/2015,11/12/2014,"Actavis, Inc.",Corona,200,Layoff Permanent
10/31/2014,01/05/2015,11/12/2014,Chaminade Resort & Spa,Santa Cruz,180,Layoff Temporary
11/04/2014,01/05/2015,11/12/2014,Laureate Education Inc,Los Angeles,105,Layoff Permanent
11/12/2014,12/22/2014,11/12/2014,Aimbridge Employee Service Corp,El Segundo,13,Closure Temporary
10/30/2014,12/31/2014,11/14/2014,Associated Third Party Administrators,El Monte,85,Closure Permanent
10/31/2014,01/01/2015,11/14/2014,Boeing Co,Huntington Beach,64,Layoff Unknown at this time
11/05/2014,01/05/2015,11/14/2014,"Simmons Manufacturing Company,",Compton,94,Closure Permanent
11/06/2014,11/05/2014,11/14/2014,Living Social,Torrance,79,Closure Permanent
10/31/2014,01/01/2015,11/17/2014,Boeing Company,El Segundo,64,Layoff Unknown at this time
10/31/2014,01/01/2015,11/17/2014,Boeing Company,Long Beach,93,Layoff Unknown at this time
10/31/2014,01/01/2015,11/17/2014,SoCAL,San Gabriel,45,Closure Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros - Shed Media USA,Los Angeles,1,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Burbank Television,Burbank,6,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Consumer Products,Burbank,4,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Distributing,Burbank,17,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Distributing,Encino,4,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Entertainment,Burbank,13,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Home Entertainment,Burbank,46,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. International Television,Burbank,9,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Pictures,Burbank,1,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Studio Facilities,Burbank,24,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Technical Operations,Burbank,11,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Television,Los Angeles,4,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Theatrical Enterprises,Burbank,6,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,Warner Bros. Worldwide Television,Burbank,5,Layoff Permanent
11/04/2014,01/10/2015,11/20/2014,WBTV Distribution Inc,Burbank,1,Layoff Permanent
11/06/2014,11/06/2014,11/21/2014,"Space Systems/Loral, LLC (""SSL"")",Palo Alto,57,Layoff Permanent
11/13/2014,01/07/2015,11/21/2014,ITT Canon LLC,Santa Ana,5,Layoff Permanent
11/13/2014,11/21/2014,11/21/2014,Hewlett-Packard Company (HP),Palo Alto,25,Layoff Permanent
11/14/2014,01/14/2015,11/21/2014,HERE North America LLC,Calabasas,15,Layoff Permanent
11/14/2014,02/28/2015,11/21/2014,HERE North America LLC,Calabasas,3,Layoff Permanent
11/19/2014,02/13/2015,11/21/2014,Science Application International,San Diego,63,Layoff Permanent
10/29/2014,01/30/2015,11/24/2014,St. Joseph Health Queen of the Valley,Napa,59,Layoff Permanent
10/31/2014,10/27/2014,11/24/2014,"Chivas USA (""Chivas"")",Carson,75,Layoff Permanent
10/31/2014,12/01/2014,11/24/2014,Symantec Corporation,Mountain View,25,Layoff Permanent
11/03/2014,01/02/2015,11/24/2014,"Bridgepoint Education, Inc.",San Diego,160,Layoff Permanent
10/23/2014,10/24/2014,12/02/2014,Hewlett-Packard Company,Palo Alto,80,Layoff Permanent
11/04/2014,01/10/2015,12/02/2014,WCI Global Business Services Inc-,Burbank,12,Layoff Permanent
11/12/2014,11/12/2014,12/02/2014,Abbott Vascular,Murrieta,8,Layoff Permanent
11/12/2014,11/12/2014,12/02/2014,Abbott Vascular,Temecula,9,Layoff Permanent
11/12/2014,11/12/2014,12/02/2014,Abbott Vascular,Temecula,41,Layoff Permanent
11/12/2014,11/12/2014,12/02/2014,Abbott Vascular,Temecula,53,Layoff Permanent
10/23/2014,10/24/2014,12/03/2014,Hewlett-Packard Company,Roseville,54,Layoff Permanent
10/28/2014,12/29/2014,12/04/2014,"Advanced Micro Devices, Inc.",Sunnyvale,57,Layoff Unknown at this time
11/05/2014,01/05/2015,12/09/2014,"General Mills Operations, LLC",Lodi,410,Closure Permanent
11/14/2014,01/15/2015,12/11/2014,"Trinity Sports, Inc.",Los Angeles,135,Closure Permanent
11/21/2014,02/27/2015,12/11/2014,Valley Waste Management,Walnut Creek,66,Layoff Permanent
11/25/2014,01/01/2015,12/11/2014,Symantec Corporation - Mountain View,Mountain View,12,Layoff Permanent
11/21/2014,01/23/2015,12/12/2014,Boeing Company,El Segundo,57,Layoff Unknown at this time
11/21/2014,01/23/2015,12/12/2014,Boeing Company,Huntington Beach,29,Layoff Unknown at this time
11/21/2014,01/23/2015,12/12/2014,Boeing Company,Long Beach,95,Layoff Unknown at this time
12/05/2014,02/06/2015,12/12/2014,Boeing Company,Long Beach,21,Layoff Unknown at this time
11/11/2014,01/09/2015,12/16/2014,PROVIDENCE HEALTH AND,Torrance,59,Closure Unknown at this time
11/25/2014,02/10/2015,12/16/2014,ARAMARK SPORTS AND,Monterey,119,Closure Permanent
12/04/2014,02/03/2015,12/16/2014,CALIFORNIA REDWOOD COMPANY,Korbel,106,Closure Permanent
11/04/2014,12/05/2014,12/17/2014,Capitol Expressway Ford,San Jose,102,Layoff Permanent
11/19/2014,12/10/2014,12/17/2014,Wish 1 Ah Health & Wellness Center,Auberry,95,Closure Permanent
11/21/2014,12/31/2014,12/17/2014,"Keaster Products, Inc.",Van Nuys,2,Closure Unknown at this time
12/02/2014,12/05/2014,12/17/2014,NARUS,Sunnyvale,35,Closure Permanent
12/04/2014,02/01/2015,12/17/2014,MILLS-PENINSULA HEALTH,Burlingame,67,Layoff Permanent
12/05/2014,02/08/2015,12/17/2014,"INTELLISOURCE, LLC",Ontario,312,Closure Unknown at this time
12/05/2014,02/23/2015,12/17/2014,LA SANDIA SMP LLC/RICHARD,Santa Monica,72,Closure Permanent
12/05/2014,02/23/2015,12/17/2014,ZENGO SMP LLC/RICHARD,Santa Monica,72,Closure Permanent
12/05/2014,12/03/2014,12/17/2014,FREEDOM COMMUNICATIONS INC.,Santa Ana,88,Layoff Permanent
12/09/2014,02/01/2015,12/17/2014,GENESIS HEALTHCARE,Foothill Ranch,71,Layoff Permanent
12/09/2014,02/07/2015,12/17/2014,"BOWHEAD SUPPORT GROUP, LLC",Herlong,119,Closure Permanent
11/14/2014,01/14/2015,12/18/2014,HERE North American LLC,Sunnyvale,82,Layoff Permanent
