notice_date,effective_date,received_date,company,city,employees,layoff_closure
07/06/2015,0  9  / 0  4  / 2  0  15,0  7  / 1  0  / 2  0  15,"ProCourier, Inc.",Los Angeles,71,Layoff Unknown at this time
07/06/2015,0  9  / 0  4  / 2  0  15,0  7  / 1  0  / 2  0  15,"ProCourier, Inc.",San Diego,22,Layoff Unknown at this time
07/07/2015,0  9  / 0  4  / 2  0  15,0  7  / 1  0  / 2  0  15,"ProCourier, Inc.",Irvine,22,Layoff Unknown at this time
07/09/2015,0  7  / 2  2  / 2  0  15,0  7  / 1  0  / 2  0  15,Berkeley Pyramid Alehouse,Berkeley,63,Closure Permanent
07/09/2015,0  9  / 1  4  / 2  0  15,0  7  / 1  0  / 2  0  15,Fireman's Fund Insurance Company,Novato,35,Layoff Permanent
06/30/2015,0  8  / 3  1  / 2  0  15,0  7  / 1  3  / 2  0  15,First Transit,Rancho,71,Layoff Permanent
06/30/2015,0  8  / 3  1  / 2  0  15,0  7  / 1  3  / 2  0  15,First Transit,San Bernardino,127,Layoff Permanent
07/10/2015,0  7  / 1  4  / 2  0  15,0  7  / 1  3  / 2  0  15,11 Main LLC,Chico,44,Layoff Permanent
07/10/2015,0  7  / 1  4  / 2  0  15,0  7  / 1  3  / 2  0  15,11 Main LLC,San Mateo,35,Closure Permanent
07/15/2015,0  7  / 1  5  / 2  0  15,0  7  / 1  5  / 2  0  15,TaylorMade Golf Company,Carlsbad,64,Layoff Permanent
07/08/2015,0  9  / 0  6  / 2  0  15,0  7  / 1  6  / 2  0  15,Southern California Edison Company,Rosemead,38,Layoff Permanent
07/14/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  0  / 2  0  15,"Actavis, Inc.",Corona,45,Layoff Permanent
07/17/2015,0  7  / 1  3  / 2  0  15,0  7  / 2  1  / 2  0  15,American Management Services LLC,Monterey,56,Closure Permanent
07/17/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  1  / 2  0  15,Boeing Company,El Segundo,66,Layoff Unknown at this time
07/17/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  1  / 2  0  15,Boeing Company,Huntington Beach,65,Layoff Unknown at this time
07/17/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  1  / 2  0  15,Boeing Company,Long Beach,113,Layoff Unknown at this time
07/17/2015,0  9  / 2  5  / 2  0  15,0  7  / 2  1  / 2  0  15,Maxim Integrated Product,San Jose,11,Layoff Permanent
07/17/2015,0  9  / 2  6  / 2  0  15,0  7  / 2  1  / 2  0  15,"DS Services of America, Inc.",Los Angeles,120,Closure Permanent
07/17/2015,0  9  / 2  6  / 2  0  15,0  7  / 2  1  / 2  0  15,"DS Services of America, Inc.",Pasadena,200,Closure Permanent
07/20/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  1  / 2  0  15,"Minno, Inc.",San Francisco,255,Closure Permanent
07/20/2015,0  9  / 1  8  / 2  0  15,0  7  / 2  1  / 2  0  15,"Safeway, Inc.",Pleasanton,14,Layoff Unknown at this time
07/15/2015,0  9  / 1  5  / 2  0  15,0  7  / 2  2  / 2  0  15,"Oakley, Inc.",Encinitas,8,Layoff Unknown at this time
07/15/2015,0  9  / 1  5  / 2  0  15,0  7  / 2  2  / 2  0  15,"Oakley, Inc.",Foothill Ranch,159,Layoff Unknown at this time
07/20/2015,1  2  / 3  1  / 2  0  17,0  7  / 2  2  / 2  0  15,Toyota Motor North America,Gardena,100,Closure Permanent
07/20/2015,1  2  / 3  1  / 2  0  17,0  7  / 2  2  / 2  0  15,Toyota Motor North America,Torrance,3000,Closure Permanent
07/21/2015,0  7  / 2  2  / 2  0  15,0  7  / 2  2  / 2  0  15,"Cisco Systems, Inc.",San Jose,192,Layoff Permanent
07/20/2015,0  9  / 3  0  / 2  0  15,0  7  / 2  3  / 2  0  15,"IAP Worldwide Services, Inc.",Mountain View,67,Layoff Permanent
07/21/2015,0  9  / 1  5  / 2  0  15,0  7  / 2  3  / 2  0  15,Presse LLC dba Cafe de la Presse and,San Francisco,85,Closure Temporary
07/10/2015,1  0  / 0  4  / 2  0  15,0  7  / 2  4  / 2  0  15,Sears Holdings Corporation,Cupertino,17,Closure Permanent
07/10/2015,1  0  / 0  4  / 2  0  15,0  7  / 2  4  / 2  0  15,Sears Holdings Corporation,Cupertino,81,Closure Permanent
07/14/2015,0  9  / 1  4  / 2  0  15,0  7  / 2  4  / 2  0  15,"Associate Management Resources, Inc.",San Diego,533,Closure Permanent
07/10/2015,1  0  / 1  1  / 2  0  15,0  7  / 2  7  / 2  0  15,Kmart,Atwater,74,Closure Permanent
07/27/2015,0  9  / 2  5  / 2  0  15,0  7  / 2  7  / 2  0  15,"Safeway, Inc.",Pleasanton,37,Layoff Unknown at this time
07/27/2015,0  9  / 3  0  / 2  0  15,0  7  / 2  9  / 2  0  15,"Hank Fisher Properties, Inc.",Sacramento,242,Layoff Permanent
07/29/2015,0  9  / 3  0  / 2  0  15,0  7  / 2  9  / 2  0  15,SPS Distribution Center,Paso Robles,8,Closure Permanent
07/23/2015,0  7  / 3  1  / 2  0  15,0  7  / 3  0  / 2  0  15,"Turf Terminators, LLC",Los Angeles,94,Layoff Permanent
07/29/2015,0  7  / 2  8  / 2  0  15,0  7  / 3  0  / 2  0  15,Relativity Media,Beverly Hills,61,Layoff Permanent
07/30/2015,0  9  / 3  0  / 2  0  15,0  7  / 3  0  / 2  0  15,United Technologies Corporation,San Diego,21,Closure Permanent
07/28/2015,0  9  / 2  6  / 2  0  15,0  7  / 3  1  / 2  0  15,"Kixeye, Inc.",San Francisco,62,Layoff Permanent
07/31/2015,1  0  / 0  2  / 2  0  15,0  7  / 3  1  / 2  0  15,Boston Scientific Corporation,Fremont,284,Closure Permanent
07/31/2015,1  0  / 0  2  / 2  0  15,0  7  / 3  1  / 2  0  15,Boston Scientific Corporation,San Jose,171,Closure Permanent
07/20/2015,0  9  / 3  0  / 2  0  15,0  8  / 0  3  / 2  0  15,Ruan Transportation Corporation,Ripon,78,Closure Permanent
07/27/2015,0  9  / 3  0  / 2  0  15,0  8  / 0  3  / 2  0  15,Armstrong Growers,San Juan,56,Closure Permanent
07/28/2015,0  9  / 2  8  / 2  0  15,0  8  / 0  3  / 2  0  15,CR Briggs Corporation,Trona,5,Layoff Permanent
07/29/2015,0  8  / 0  3  / 2  0  15,0  8  / 0  3  / 2  0  15,Molycorp Minerals LLC,Mountain Pass,474,Layoff Permanent
07/30/2015,0  9  / 3  0  / 2  0  15,0  8  / 0  3  / 2  0  15,Binder & Binder,Orange,70,Closure Permanent
07/31/2015,0  9  / 3  0  / 2  0  15,0  8  / 0  3  / 2  0  15,"Driscoll's Strawberry Associates, Inc.",Salinas,38,Closure Permanent
07/27/2015,1  0  / 2  3  / 2  0  15,0  8  / 0  4  / 2  0  15,Hilton San Francisco Union Square,San Francisco,78,Layoff Permanent
08/03/2015,1  0  / 0  5  / 2  0  15,0  8  / 0  4  / 2  0  15,Owens-Brockway Glass Container Inc.,Oakland,202,Closure Permanent
07/30/2015,0  7  / 3  0  / 2  0  15,0  8  / 0  5  / 2  0  15,Abbott Vascular,Santa Clara,81,Layoff Permanent
07/30/2015,0  7  / 3  0  / 2  0  15,0  8  / 0  5  / 2  0  15,Abbott Vascular,Temecula,163,Layoff Permanent
08/04/2015,0  9  / 1  1  / 2  0  15,0  8  / 0  7  / 2  0  15,"Anna's Linens, Inc.",Costa Mesa,29,Closure Permanent
07/31/2015,1  0  / 0  2  / 2  0  15,0  8  / 1  0  / 2  0  15,Boeing Company,Long Beach,8,Layoff Unknown at this time
08/10/2015,1  0  / 0  9  / 2  0  15,0  8  / 1  0  / 2  0  15,"Safeway, Inc.",Pleasanton,37,Layoff Unknown at this time
08/04/2015,1  0  / 0  5  / 2  0  15,0  8  / 1  1  / 2  0  15,"CGR/Thompson Industries, Inc.",Fullerton,102,Closure Permanent
08/10/2015,1  0  / 1  5  / 2  0  15,0  8  / 1  2  / 2  0  15,"BI NUTRACEUTICALS, INC.",Long Beach,54,Layoff Permanent
08/05/2015,0  9  / 3  0  / 2  0  15,0  8  / 1  3  / 2  0  15,"Lyris, Inc.",Emeryville,72,Layoff Permanent
08/05/2015,0  9  / 3  0  / 2  0  15,0  8  / 1  3  / 2  0  15,"Lyris, Inc.",Santa Clara,7,Layoff Permanent
08/05/2015,1  0  / 0  9  / 2  0  15,0  8  / 1  3  / 2  0  15,Ralphs Grocery Company,Pico Rivera,67,Layoff Permanent
08/12/2015,1  0  / 1  2  / 2  0  15,0  8  / 1  3  / 2  0  15,Chevron,Richmond,70,Layoff Permanent
08/12/2015,1  0  / 1  2  / 2  0  15,0  8  / 1  3  / 2  0  15,Chevron,San Ramon,430,Layoff Permanent
08/12/2015,1  0  / 1  6  / 2  0  15,0  8  / 1  3  / 2  0  15,Quest Diagnostics Incorporated,San Jose,78,Layoff Permanent
08/13/2015,1  0  / 2  3  / 2  0  15,0  8  / 1  3  / 2  0  15,Motorola Mobility LLC,Sunnyvale,213,Layoff Permanent
08/14/2015,1  0  / 1  4  / 2  0  15,0  8  / 1  4  / 2  0  15,"Raytheon Intelligence, Information &",Chula Vista,41,Closure Unknown at this time
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  7  / 2  0  15,"Haggen, Inc.",Simi Valley,101,Closure Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  7  / 2  0  15,"Haggen, Inc.",Tustin,157,Closure Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  7  / 2  0  15,"Haggen, Inc. (Store #2154)",Newbury Park,38,Closure Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  7  / 2  0  15,"Haggen, Inc. (Store #2213)",Santa Clarita,33,Closure Permanent
08/12/2015,1  0  / 1  6  / 2  0  15,0  8  / 1  8  / 2  0  15,Sky Aerospace Products,Los Angeles,53,Closure Permanent
08/13/2015,1  0  / 1  6  / 2  0  15,0  8  / 1  8  / 2  0  15,Ralphs Grocery Company,Hermosa Beach,74,Layoff Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  8  / 2  0  15,"Haggen, Inc.",San Ysidro,231,Closure Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  8  / 2  0  15,"Haggen, Inc. (Store #2208)",Bakersfield,36,Closure Permanent
08/14/2015,1  0  / 1  3  / 2  0  15,0  8  / 1  8  / 2  0  15,"Haggen, Inc. (Store #2210)",Los Osos,24,Closure Permanent
08/14/2015,1  0  / 2  5  / 2  0  15,0  8  / 1  8  / 2  0  15,Ralphs Grocery Company,Santa Ana,75,Layoff Permanent
08/14/2015,1  0  / 2  7  / 2  0  15,0  8  / 1  8  / 2  0  15,USS-POSCO Industries,Pittsburg,661,Layoff Temporary
08/06/2015,1  0  / 3  0  / 2  0  15,0  8  / 1  9  / 2  0  15,Zimmer Biomet Dental,Carlsbad,279,Closure Permanent
08/18/2015,1  0  / 1  8  / 2  0  15,0  8  / 1  9  / 2  0  15,"KND Development 53, L.L.C., d/b/a",Hawaiian Gardens,94,Closure Permanent
08/17/2015,1  0  / 1  6  / 2  0  15,0  8  / 2  1  / 2  0  15,"Soitec Solar Industries, LLC",San Diego,100,Closure Permanent
08/20/2015,1  0  / 1  9  / 2  0  15,0  8  / 2  1  / 2  0  15,Safeway,Walnut Creek,63,Closure Permanent
08/20/2015,1  0  / 2  2  / 2  0  15,0  8  / 2  1  / 2  0  15,XOMA (US) LLC,Berkeley,39,Layoff Permanent
08/21/2015,1  0  / 2  3  / 2  0  15,0  8  / 2  1  / 2  0  15,"Western Digital Technologies, Inc.",Irvine,81,Layoff Permanent
08/21/2015,1  0  / 2  3  / 2  0  15,0  8  / 2  1  / 2  0  15,"Western Digital Technologies, Inc.",Mountain View,56,Layoff Permanent
08/20/2015,1  0  / 2  5  / 2  0  15,0  8  / 2  4  / 2  0  15,Silgan Containers,Riverbank,180,Layoff Temporary
08/21/2015,1  0  / 2  3  / 2  0  15,0  8  / 2  5  / 2  0  15,Boeing Company,El Segundo,39,Layoff Unknown at this time
08/21/2015,1  0  / 2  3  / 2  0  15,0  8  / 2  5  / 2  0  15,Boeing Company,Huntington Beach,26,Layoff Unknown at this time
08/21/2015,1  0  / 2  3  / 2  0  15,0  8  / 2  5  / 2  0  15,Boeing Company,Long Beach,113,Layoff Unknown at this time
08/24/2015,1  0  / 3  1  / 2  0  15,0  8  / 2  5  / 2  0  15,"Mesa Beverage Co., Inc.",Santa Rosa,137,Layoff Permanent
08/25/2015,1  0  / 2  4  / 2  0  15,0  8  / 2  6  / 2  0  15,"Patina Group NewCo, LLC.",Los Angeles,317,Layoff Unknown at this time
08/27/2015,0  8  / 3  1  / 2  0  15,0  8  / 2  7  / 2  0  15,"VT West, Inc.",La Mirada,68,Layoff Permanent
08/25/2015,1  0  / 2  6  / 2  0  15,0  8  / 2  8  / 2  0  15,Intuit Inc.,Menlo Park,8,Layoff Permanent
08/25/2015,1  0  / 2  6  / 2  0  15,0  8  / 2  8  / 2  0  15,Intuit Inc.,Mountain View,45,Layoff Permanent
08/25/2015,1  0  / 2  6  / 2  0  15,0  8  / 2  8  / 2  0  15,Intuit Inc.,San Diego,9,Layoff Permanent
08/25/2015,1  0  / 2  6  / 2  0  15,0  8  / 2  8  / 2  0  15,Intuit Inc.,San Francisco,2,Layoff Permanent
08/25/2015,1  0  / 2  6  / 2  0  15,0  8  / 2  8  / 2  0  15,Intuit Inc.,Woodland Hills,46,Layoff Permanent
08/27/2015,1  0  / 3  0  / 2  0  15,0  8  / 2  8  / 2  0  15,Sheraton Operating Corporation,Palm Desert,124,Layoff Permanent
08/25/2015,1  1  / 0  7  / 2  0  15,0  8  / 3  1  / 2  0  15,San Jose Airport Garden Hotel,San Jose,123,Closure Permanent
08/31/2015,1  0  / 3  0  / 2  0  15,0  8  / 3  1  / 2  0  15,Safeway Inc.,Pleasanton,5,Layoff Unknown at this time
08/28/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  1  / 2  0  15,Boeing Company,El Segundo,106,Layoff Unknown at this time
08/28/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  1  / 2  0  15,Boeing Company,Huntington Beach,6,Layoff Unknown at this time
08/28/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  1  / 2  0  15,Boeing Company,Long Beach,2,Layoff Unknown at this time
08/28/2015,1  1  / 0  1  / 2  0  15,0  9  / 0  1  / 2  0  15,"Kor Hotel Management, LLC dba Viceroy",San Francisco,47,Closure Temporary
09/01/2015,1  1  / 0  2  / 2  0  15,0  9  / 0  2  / 2  0  15,"M.E. Fox & Company, Inc.",San Jose,127,Layoff Permanent
09/01/2015,1  1  / 0  3  / 2  0  15,0  9  / 0  3  / 2  0  15,Sheraton Operating Corporation,Dana Point,610,Closure Temporary
08/24/2015,1  0  / 2  3  / 2  0  15,0  9  / 0  4  / 2  0  15,"Park 'N Fly San Diego and Park 'N Fly,",San Diego,71,Layoff Permanent
09/02/2015,1  1  / 0  6  / 2  0  15,0  9  / 0  4  / 2  0  15,"Acclarent, Inc.",Menlo Park,114,Layoff Unknown at this time
09/03/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  4  / 2  0  15,FAMIMA Corporation,Los Angeles,73,Layoff Unknown at this time
09/03/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  4  / 2  0  15,FAMIMA Corporation,Santa Monica,12,Layoff Unknown at this time
09/03/2015,1  0  / 3  0  / 2  0  15,0  9  / 0  4  / 2  0  15,FAMIMA Corporation,Torrance,9,Layoff Unknown at this time
09/03/2015,1  1  / 0  2  / 2  0  15,0  9  / 0  4  / 2  0  15,MiaSole Hi-Tech Corp.,Santa Clara,79,Layoff Permanent
08/28/2015,0  8  / 2  5  / 2  0  15,0  9  / 0  8  / 2  0  15,BAE SYSTEMS,San Francisco,134,Layoff Temporary
09/02/2015,1  1  / 0  6  / 2  0  15,0  9  / 1  0  / 2  0  15,Mentor Worldwide LLC,Santa Barbara,81,Layoff Unknown at this time
09/10/2015,1  1  / 0  9  / 2  0  15,0  9  / 1  0  / 2  0  15,"Collecto, Inc. dba EOS CCA",Novato,45,Closure Permanent
09/10/2015,1  1  / 1  0  / 2  0  15,0  9  / 1  0  / 2  0  15,"Western Digital Technologies, Inc.",Irvine,143,Layoff Permanent
09/01/2015,1  1  / 0  1  / 2  0  15,0  9  / 1  1  / 2  0  15,Zenith Education Group,Santa Ana,18,Layoff Permanent
09/04/2015,0  9  / 0  4  / 2  0  15,0  9  / 1  1  / 2  0  15,"Quiksilver, Inc.",Huntington Beach,77,Layoff Permanent
09/04/2015,1  1  / 0  6  / 2  0  15,0  9  / 1  4  / 2  0  15,Boeing Company,Long Beach,2,Layoff Unknown at this time
09/10/2015,1  1  / 0  9  / 2  0  15,0  9  / 1  4  / 2  0  15,Seagate US LLC,Cupertino,62,Layoff Permanent
09/11/2015,0  9  / 1  4  / 2  0  15,0  9  / 1  4  / 2  0  15,"Cisco Systems, Inc.",San Jose,20,Layoff Permanent
09/11/2015,0  9  / 2  9  / 2  0  15,0  9  / 1  4  / 2  0  15,AT&T,San Ramon,219,Layoff Permanent
09/15/2015,0  7  / 2  0  / 2  0  15,0  9  / 1  6  / 2  0  15,"GREE International, Inc.",San Francisco,114,Layoff Unknown at this time
09/15/2015,1  1  / 1  4  / 2  0  15,0  9  / 1  6  / 2  0  15,Brake Parts Inc.,Chowchilla,107,Layoff Permanent
09/16/2015,0  9  / 1  7  / 2  0  15,0  9  / 1  6  / 2  0  15,"Halliburton Energy Services, Inc.",Bakersfield,52,Layoff Permanent
09/15/2015,0  9  / 3  0  / 2  0  15,0  9  / 1  7  / 2  0  15,CareFusion,San Diego,95,Layoff Permanent
09/17/2015,1  1  / 2  0  / 2  0  15,0  9  / 1  7  / 2  0  15,Qualcomm Incorporated,San Jose,60,Layoff Permanent
09/17/2015,1  1  / 2  0  / 2  0  15,0  9  / 1  7  / 2  0  15,Qualcomm Incorporated,Santa Clara,70,Layoff Permanent
09/14/2015,1  1  / 2  0  / 2  0  15,0  9  / 1  8  / 2  0  15,AbilityFirst,Woodland Hills,105,Closure Permanent
09/17/2015,1  1  / 2  0  / 2  0  15,0  9  / 1  8  / 2  0  15,Qualcomm Incorporated,San Diego,1314,Layoff Permanent
09/11/2015,1  1  / 1  3  / 2  0  15,0  9  / 2  1  / 2  0  15,Boeing Company,El Segundo,3,Layoff Temporary
09/16/2015,1  1  / 1  6  / 2  0  15,0  9  / 2  2  / 2  0  15,Intuit Inc.,Woodland Hills,12,Layoff Permanent
09/16/2015,1  1  / 2  0  / 2  0  15,0  9  / 2  2  / 2  0  15,Ralphs Grocery Company,Glendora,73,Layoff Permanent
09/17/2015,1  1  / 1  6  / 2  0  15,0  9  / 2  2  / 2  0  15,MCC BB Property LLC,Santa Barbara,23,Layoff Permanent
09/21/2015,1  1  / 2  2  / 2  0  15,0  9  / 2  2  / 2  0  15,TGI Friday's,Valencia,62,Closure Permanent
09/24/2015,0  1  / 0  6  / 2  0  16,0  9  / 2  4  / 2  0  15,Medtronic Distribution,Mira Loma,21,Layoff Permanent
09/24/2015,1  1  / 2  3  / 2  0  15,0  9  / 2  4  / 2  0  15,"Bridgepoint Education, Inc.",San Diego,19,Layoff Permanent
09/18/2015,1  1  / 2  0  / 2  0  15,0  9  / 2  8  / 2  0  15,Boeing Company,El Segundo,54,Layoff Permanent
09/18/2015,1  1  / 2  0  / 2  0  15,0  9  / 2  8  / 2  0  15,Boeing Company,Huntington Beach,23,Layoff Permanent
09/18/2015,1  1  / 2  0  / 2  0  15,0  9  / 2  8  / 2  0  15,Boeing Company,Long Beach,37,Layoff Permanent
09/21/2015,1  1  / 2  0  / 2  0  15,0  9  / 2  8  / 2  0  15,Safeway Inc.,Pleasanton,15,Layoff Unknown at this time
09/24/2015,1  1  / 2  7  / 2  0  15,0  9  / 2  8  / 2  0  15,"Brice Manufacturing Company, Inc.",Pacoima,9,Layoff Permanent
09/28/2015,1  1  / 2  7  / 2  0  15,0  9  / 2  8  / 2  0  15,"Safeway, Inc.",Pleasanton,4,Layoff Unknown at this time
09/24/2015,0  9  / 2  4  / 2  0  15,0  9  / 2  9  / 2  0  15,"Space Systems/Loral, LLC",Palo Alto,90,Layoff Permanent
09/25/2015,1  1  / 2  3  / 2  0  15,0  9  / 2  9  / 2  0  15,Flagship Food Group,Chatsworth,123,Closure Permanent
09/30/2015,0  5  / 0  1  / 2  0  16,0  9  / 3  0  / 2  0  15,Packaging Advantage Corporation DBA,Los Angeles,192,Closure Permanent
09/30/2015,1  1  / 3  0  / 2  0  15,0  9  / 3  0  / 2  0  15,"San Diego Sports, LLC",San Diego,123,Closure Permanent
09/30/2015,1  1  / 3  0  / 2  0  15,0  9  / 3  0  / 2  0  15,United Technologies Corporation,San Diego,7,Closure Permanent
09/28/2015,1  1  / 2  7  / 2  0  15,1  0  / 0  1  / 2  0  15,"MobiTV, Inc.",Emeryville,54,Layoff Permanent
09/30/2015,1  1  / 3  0  / 2  0  15,1  0  / 0  1  / 2  0  15,"SunEdison, Inc.",Belmont,51,Layoff Permanent
09/30/2015,1  1  / 3  0  / 2  0  16,1  0  / 0  1  / 2  0  15,"SunEdison, Inc.",San Francisco,11,Layoff Permanent
09/30/2015,1  2  / 0  4  / 2  0  15,1  0  / 0  1  / 2  0  15,Fireman's Fund Insurance Company,Novato,73,Layoff Permanent
09/24/2015,1  2  / 0  1  / 2  0  15,1  0  / 0  2  / 2  0  15,Menzies Aviation,Los Angeles,51,Layoff Permanent
10/01/2015,0  1  / 1  6  / 2  0  16,1  0  / 0  2  / 2  0  15,"Kohl's Department Stores, Inc.",Santa Clara,119,Closure Permanent
10/02/2015,1  0  / 0  2  / 2  0  15,1  0  / 0  2  / 2  0  15,"Aerotek, Inc.",Oxnard,58,Layoff Unknown at this time
09/29/2015,1  1  / 3  0  / 2  0  15,1  0  / 0  5  / 2  0  15,"Kythera Biopharmaceuticals, Inc.",Westlake Village,117,Layoff Permanent
10/02/2015,1  1  / 0  5  / 2  0  15,1  0  / 0  5  / 2  0  15,"GMRI, Inc.",Los Angeles,83,Closure Permanent
10/02/2015,1  2  / 0  4  / 2  0  15,1  0  / 0  5  / 2  0  15,Svenhard's Swedish Bakery,Oakland,162,Closure Permanent
10/05/2015,1  2  / 0  5  / 2  0  15,1  0  / 0  6  / 2  0  15,Marine Terminal Corporation,Los Angeles,136,Closure Permanent
10/05/2015,1  2  / 0  5  / 2  0  15,1  0  / 0  6  / 2  0  15,Marine Terminal Corporation,Oakland,39,Closure Permanent
10/06/2015,1  2  / 0  7  / 2  0  15,1  0  / 0  8  / 2  0  15,MullinTBG,El Segundo,50,Layoff Permanent
10/06/2015,1  2  / 0  7  / 2  0  15,1  0  / 0  8  / 2  0  15,MullinTBG,Irvine,3,Layoff Permanent
10/08/2015,0  9  / 2  5  / 2  0  15,1  0  / 0  8  / 2  0  15,"Onyx Pharmaceuticals, Inc",South San,377,Closure Permanent
10/06/2015,1  2  / 0  5  / 2  0  15,1  0  / 0  9  / 2  0  15,"Ports America Shared Services, Inc.",Oakland,4,Layoff Permanent
10/06/2015,1  2  / 0  5  / 2  0  15,1  0  / 0  9  / 2  0  15,"Ports America Shared Services, Inc.",Terminal Island,7,Layoff Permanent
10/07/2015,1  1  / 2  4  / 2  0  15,1  0  / 0  9  / 2  0  15,Triple B Corporation,Irwindale,124,Closure Permanent
10/06/2015,1  2  / 0  6  / 2  0  15,1  0  / 1  2  / 2  0  15,"Apro Distribution, LLC",Gardena,61,Layoff Permanent
10/07/2015,1  2  / 0  7  / 2  0  15,1  0  / 1  2  / 2  0  15,Southern California Edison Company,Irwindale,32,Layoff Permanent
10/08/2015,1  2  / 2  8  / 2  0  15,1  0  / 1  2  / 2  0  15,Barclays Capital Inc.,Los Angeles,15,Layoff Permanent
10/08/2015,1  2  / 2  8  / 2  0  15,1  0  / 1  2  / 2  0  15,Barclays Capital Inc.,San Francisco,20,Layoff Permanent
10/01/2015,1  2  / 0  7  / 2  0  15,1  0  / 1  3  / 2  0  15,General Dynamics Advanced Information,Thousand Oaks,55,Closure Permanent
10/13/2015,1  2  / 1  8  / 2  0  15,1  0  / 1  3  / 2  0  15,"WD Media, LLC",San Jose,2,Layoff Permanent
10/13/2015,1  2  / 1  8  / 2  0  15,1  0  / 1  3  / 2  0  15,"Western Digital, LLC",Fremont,109,Layoff Permanent
