doc_seq_no,expenditure_type,gub_account_type,gub_elec_type,page_no,expense_id,detail_id,doc_stmnt_year,doc_type_desc,com_legal_name,common_name,cfr_com_id,com_type,schedule_desc,exp_desc,purpose,extra_desc,f_name,lname_or_org,address,city,state,zip,exp_date,amount,state_loc,supp_opp,can_or_ballot,,county,debt_payment,vend_name,vend_addr,vend_city,vend_state,vend_zip,gotv_ink_ind,fundraiser,RUNTIME: 04-07-2022 07:37:39
517630,1B, , ,0,4420,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,FEES,,,VANTIV ECOMMERCE                    ,900 CHELMSFORD ST.,LOWELL              ,MA,01851-0000,12/9/21,1.93,,,,,,,,,,,,,,
517630,1B, , ,0,4421,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,FEES,,MARI                ,NEGRO                               ,5131 W. NO. 41 RD.,HERMANSVILLE        ,MI,49847-0000,12/16/21,97.3,,,,,,,,,,,,,,
517630,1B, , ,0,4422,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,FEES,,,PAYPAL                              ,2211 NORTH FIRST STREET,SAN JOSE            ,CA,95131-0000,12/14/21,71.84,,,,,,,,,,,,,,
517630,1B, , ,0,4425,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,POSTAGE,,,USPS                                ,W3804 US-2,POWERS              ,MI,49812-0000,12/27/21,-66,,,,,,,,,,,,,,
517630,1B, , ,0,4426,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,SUBSCRIPTION,,,ZOOM.US                             ,55 ALMADEN BLVD SUIE 600,SAN JOSE            ,CA,95113-0000,12/27/21,-158.89,,,,,,,,,,,,,,
517630,1B, , ,0,4427,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,WEBSITE,,,TIPTOPWEBSITE.COM                   ,2021 N ATLANTIC AVE # 258,COCOA BEACH         ,FL,32931-0000,12/27/21,-144.4,,,,,,,,,,,,,,
517630,1B, , ,0,4428,0,2022,ANNUAL CS,MENOMINEE COUNTY DEM PARTY,MENOMINEE COUNTY DEM PARTY,513814,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,FEES,,,<NON-ITEMIZED>                      ,,,,,12/27/21,-9.42,,,,,,,,,,,,,,
517632,1B, , ,0,4195,0,2022,ANNUAL CS,THE MARTIN L COUSINEAU COMMITTEE,THE MARTIN L COUSINEAU COMMITTEE,518357,CAN,DIRECT,BANK CHARGES,CHECK ENDORSEMENT STAMP,,,PNC                                 ,107 VIENNA ROAD,CLIO                ,MI,48420-0000,10/21/21,53.51,,,,,,,,,,,,,,
517632,1B, , ,0,4198,0,2022,ANNUAL CS,THE MARTIN L COUSINEAU COMMITTEE,THE MARTIN L COUSINEAU COMMITTEE,518357,CAN,DIRECT,FOOD EXPENSES,FOOD,,,MD SPORTS TAVERN                    ,3040 N. STATE RD,DAVISON             ,MI,48423-0000,10/21/21,170.86,,,,,,,,,,,,,X,
517634,1B, , ,0,7948,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,LINCOLN/REAGAN DINNER,,,AMERICAN LEGION POST 211            ,900 E. LINCOLN,EAST TAWAS          ,MI,48730-0000,2/2/21,50,,,,,,,,,,,,,,
517634,1B, , ,0,7949,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,LINCOLN/REAGAN DINNER,,,AMERICAN LEGION POST 211            ,900 E. LINCOLN,EAST TAWAS          ,MI,48730-0000,4/14/21,275,,,,,,,,,,,,,,
517634,1B, , ,0,7950,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,LINCOLN/REAGAN DINNER,,,MANCINO'S                           ,5665 N US 23,OSCODA              ,MI,48750-0000,6/26/21,1237.5,,,,,,,,,,,,,,
517634,1B, , ,0,7951,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,LINCOLN/REAGAN DINNER,,,MANCINO'S                           ,5665 N US 23,OSCODA              ,MI,48750-0000,6/27/21,700,,,,,,,,,,,,,,
517634,1B, , ,0,7952,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,PRINT ADVERTISING,LINCOLN/REAGAN DINNER ADS,,,IOSCO NEWS PRESS PUB. CO.           ,110 W. STATE,EAST TAWAS          ,MI,48730-0000,7/6/21,168,,,,,,,,,,,,,,
517634,1B, , ,0,7953,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,MEMORIAL DONATION,,,LEADER DOGS FOR THE BLIND           ,1039 S. ROCHESTER RD.,ROCHESTER HILLS     ,MI,48307-0000,5/12/21,25,,,,,,,,,,,,,,
517634,1B, , ,0,7954,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,REMBURSE EXPENSES FOR PAINT,,DAVID               ,CHANDLER                            ,8330 ALABASTER RD.,WHITTEMORE          ,MI,48770-0000,6/26/21,250.3,,,,,,,,,,,,,,
517634,1B, , ,0,7954,7962,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,SUPP,NON-FUND RAISER EVENTS,PAINT & PAINTING SUPPLIES,,,WAL-MART                            ,LAKE STREET,TAWAS CITY          ,MI,48763-0000,6/26/21,250.3,,,,,,,,,,,,,,
517634,1B, , ,0,7955,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,PRINT ADVERTISING,AD,,,IOSCO NEWS PRESS PUB. CO.           ,110 W. STATE,EAST TAWAS          ,MI,48730-0000,11/1/21,483.75,,,,,,,,,,,,,,
517634,1B, , ,0,7956,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,PARADE,,,TAWAS AREA CHAMBER OF COMMERCE      ,402 E. LAKE,TAWAS CITY          ,MI,48763-0000,6/10/21,10,,,,,,,,,,,,,,
517634,1B, , ,0,7957,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,NON-FUND RAISER EVENTS,REIMBURSE PARADE CANDY,,LEW                 ,RUDEL                               ,910 E. BAY,EAST TAWAS          ,MI,48730-0000,5/12/21,191.6,,,,,,,,,,,,,,
517634,1B, , ,0,7957,7958,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,SUPP,,PARADE CANDY,,,WAL-MART                            ,LAKE STREET,TAWAS CITY          ,MI,48763-0000,5/12/21,191.6,,,,,,,,,,,,,,
517634,1B, , ,0,7959,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",STAMPS,,,POSTMASTER                          ,NEWMAN ST.,EAST TAWAS          ,MI,48730-0000,5/12/21,110,,,,,,,,,,,,,,
517634,1B, , ,0,7960,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",STAMPS,,,POSTMASTER                          ,NEWMAN ST.,EAST TAWAS          ,MI,48730-0000,6/3/21,110,,,,,,,,,,,,,,
517634,1B, , ,0,7961,0,2022,ANNUAL CS,IOSCO COUNTY REPUBLICAN COMMITTEE,IOSCO CO REP COMM,1329,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",PO BOX 116,,,US POSTMASTER                       ,LAKE ST.,TAWAS CITY          ,MI,48763-0000,9/1/21,48,,,,,,,,,,,,,,
517637,1B, , ,0,310567350,0,2022,JANUARY QUARTERLY CS,MICHIGAN LIST,MICHIGAN LIST,511969,IND,DIRECT,,DIRECT CONTRIBUTION,,,JOCELYN BENSON FOR SEC OF STATE     ,19310 BERKELEY RD,DETROIT             ,MI,48221-1804,12/11/21,2500,1,1,JOCELYN BENSON,SECRETARY OF STATE STATEWIDE,STATEWIDE           ,,,,,,,,,
517637,1B, , ,0,310567934,0,2022,JANUARY QUARTERLY CS,MICHIGAN LIST,MICHIGAN LIST,511969,IND,DIRECT,,FEE,,,KEY BANK                            ,2207 W STADIUM BLVD,ANN ARBOR           ,MI,48103-3805,10/29/21,15,,,,,,,,,,,,,X,
517637,1B, , ,0,310567935,0,2022,JANUARY QUARTERLY CS,MICHIGAN LIST,MICHIGAN LIST,511969,IND,DIRECT,,BANK FEE,,,ACTBLUE MICHIGAN                    ,PO BOX 382110,CAMBRIDGE           ,MA,02238-2110,12/29/21,77.58,,,,,,,,,,,,,,
517647,1B, , ,0,10153,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,BRAD PAQUETTE FOR STATE REP         ,1215 N. FAIR OAKS DR,NILES               ,MI,49120-0000,10/21/21,150,,,BRAD PAQUETTE,STATE REPRESENTATIVE 78TH,BERRIEN             ,,,,,,,,,
517647,1B, , ,0,10157,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,INDEPENDENT CONTRACTORS,LEGAL; ALL IN-HOUSE; NO LITIGATION,,,DOSTER LAW OFFICES                  ,2145 COMMONS PARKWAY,OKEMOS              ,MI,48864-0000,11/4/21,980,,,,,,,,,,,,,,
517647,1B, , ,0,10160,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,BANK CHARGES,BANK FEE,,,COMERICA BANK                       ,101 N WASHINGTON SQ,LANSING             ,MI,48933-0000,12/14/21,38,,,,,,,,,,,,,,
517647,1B, , ,0,10161,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,CAMPAIGN OFFICE EXPENSE,PO BOX FEE,,,UNITED STATES POSTAL SERVICE        ,315 W ALLEGAN,LANSING             ,MI,48933-0000,11/17/21,188,,,,,,,,,,,,,,
517647,1B, , ,0,10163,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,INDEPENDENT CONTRACTORS,LEGAL; ALL IN-HOUSE; NO LITIGATION,,,DOSTER LAW OFFICES                  ,2145 COMMONS PARKWAY,OKEMOS              ,MI,48864-0000,12/2/21,70,,,,,,,,,,,,,,
517647,1B, , ,0,10164,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,INDEPENDENT CONTRACTORS,ACCOUNTING SERVICES,,,SAGE CONSULTANTS L.L.C.             ,2870 DOBIE ROAD,MASON               ,MI,48854-0000,12/2/21,480,,,,,,,,,,,,,,
517647,1B, , ,0,10165,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,SALARIES & WAGES,WAGES,,,PAYCHEX INC.                        ,29065 CABOT DR SUITE 100,NOVI                ,MI,48377-0000,12/8/21,211.67,,,,,,,,,,,,,,
517647,1B, , ,0,10166,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,FRIENDS OF BRYAN POSTHUMUS          ,11908 ELKINS ST NE,GREENVILLE          ,MI,48838-0000,12/15/21,500,,,BRYAN POSTHUMUS,STATE REPRESENTATIVE 73RD,.                   ,,,,,,,,,
517647,1B, , ,0,10167,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE RICK OUTMAN STATE SENATE        ,6481 N MILES RD,SIX LAKES           ,MI,48886-0000,12/15/21,250,,,RICK OUTMAN,STATE REPRESENTATIVE 70TH,MONTCALM            ,,,,,,,,,
517647,1B, , ,0,10169,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE TOMMY BRANN                     ,4335 56TH ST SW,WYOMING             ,MI,49418-0000,12/15/21,250,,,TOMMY BRANN,STATE REPRESENTATIVE 77TH,KENT                ,,,,,,,,,
517647,1B, , ,0,10172,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,"CONSULTATION, RESEARCH",REIMBURSEMENT,,BETH                ,DESHONE                             ,711 JOSIE LANE,LAINGSBURG          ,MI,48848-0000,12/15/21,896,,,,,,,,,,,,,,
517647,1B, , ,0,10172,10173,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,SUPP,"CONSULTATION, RESEARCH",SURVEY,,,SURVEYMONKEY.COM                    ,285 HAMILTON AVE STE 500,PALO ALTO           ,CA,94301-0000,12/15/21,896,,,,,,,,,,,,,,
517647,1B, , ,0,10174,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE LANA THEIS                      ,620 N KANE RD,WEBBERVILLE         ,MI,48892-0000,12/26/21,500,,,LANA THEIS,STATE SENATE 22ND,LIVINGSTON          ,,,,,,,,,
517647,1B, , ,0,10175,0,2022,JANUARY QUARTERLY CS,GREAT LAKES EDUCATION PROJECT,GREAT LAKES EDUCATION PROJECT,510264,IND,DIRECT,SALARIES & WAGES,FEE FOR BORROWED STAFFING,,,MICHIGAN FREEDOM NETWORK            ,PO BOX 14162,LANSING             ,MI,48901-0000,12/28/21,720,,,,,,,,,,,,,,
517654,1B, , ,0,4453,0,2022,ANNUAL CS,FRIENDS OF MANDY GREWAL,FRIENDS OF MANDY GREWAL,519163,CAN,DIRECT,,EVENT TICKET,,,JEFF IRWIN FOR STATE SENATE         ,2542 BELLWOOD,ANN ARBOR           ,MI,48108-0000,11/13/21,100,,,,,,,,,,,,,,
517654,1B, , ,0,4457,0,2022,ANNUAL CS,FRIENDS OF MANDY GREWAL,FRIENDS OF MANDY GREWAL,519163,CAN,DIRECT,,CAMPAIGN EQUIPMENT,,,APPLE                               ,ONE APPLE PARK WAY,CUPERTINO           ,CA,95014-0000,11/15/21,3635.73,,,,,,,,,,,,,,
517661,1B, , ,0,4316,0,2022,JANUARY QUARTERLY CS,ALLOR MAJORITY FUND,ALLOR MAJORITY FUND,519307,IND,DIRECT,INDEPENDENT CONTRACTORS,TREASURER EXPENSE- ALL IN HOUSE,,ASHLEY              ,BARRETT                             ,3086 VALLEY HWY,CHARLOTTE           ,MI,48813-0000,11/1/21,300,,,,,,,,,,,,,,
517662,1B, , ,0,5976,0,2022,ANNUAL CS,COMMITTEE TO ELECT SUE ALLOR,COMMITTEE TO ELECT SUE ALLOR,517411,CAN,DIRECT,INDEPENDENT CONTRACTORS,TREASURER EXPENSE-ALL IN HOUSE,,ASHLEY              ,BARRETT                             ,3086 VALLEY HWY,CHARLOTTE           ,MI,48813-0000,11/1/21,300,,,,,,,,,,,,,,
517663,1B, , ,0,4485,0,2022,JANUARY QUARTERLY CS,BARRETT BRIGADE LEADERSHIP FUND PAC,BARRETT BRIGADE LEADERSHIP FUND PAC,519178,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,TOM LEONARD FOR MICHIGAN            ,PO BOX 261,DEWITT              ,MI,48820-0000,11/22/21,2000,,,TOM LEONARD,ATTORNEY GENERAL STATEWIDE,.                   ,,,,,,,,,
517682,1B, , ,0,4158,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,LIABILITY INSURANCE,,,BILLER INSURANCE AGENCY             ,14314 NORTHLAND DR,BIG RAPIDS          ,MI,49307-0000,4/5/21,300,,,,,,,,,,,,,,
517682,1B, , ,0,4237,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,RENTAL OF FACILITIES,RENTAL FOR ROOM FOR AUSTIN BLAIR DINNER,,,CLEAR LAKE GOLF CLUB                ,14777 150TH AVENUE,BIG RAPIDS          ,MI,49307-0000,9/20/21,300,,,,,,,,,,,,,,
517682,1B, , ,0,4238,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,FOOD EXPENSES,CATERING FOR AUSTIN BLAIR DINNER,,,PERE MARQUETTE BISTRO & CATERI      ,102 EAST UPTON AVE,REED CITY           ,MI,49677-0000,9/23/21,2570.4,,,,,,,,,,,,,,
517682,1B, , ,0,4239,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,COMPUTER COSTS,E-MAIL SERVICE,,,CONSTANT CONTACT                    ,1601 TRAPELO ROAD SUITE 329,WALTHAM             ,MA,02451-0000,10/31/21,19,,,,,,,,,,,,,,
517682,1B, , ,0,4245,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,COMPUTER COSTS,EMAIL SERVICE,,,CONSTANT CONTACT                    ,1601 TRAPELO ROAD SUITE 329,WALTHAM             ,MA,02451-0000,11/30/21,19,,,,,,,,,,,,,,
517682,1B, , ,0,4253,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,PRINT ADVERTISING,PRINTING SERVICES,,,FERRIS PRINTING SERVICES            ,103 PERRY AVE,BIG RAPIDS          ,MI,49307-0000,9/20/21,136.55,,,,,,,,,,,,,,
517682,1B, , ,0,4257,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,RENTAL OF FACILITIES,GRANDSTAND AT COUNTY FAIR,,,MECOSTA CO. AGRICULTURAL FAIR       ,540 WEST AVE,BIG RAPIDS          ,MI,49307-0000,6/24/21,180,,,,,,,,,,,,,,
517682,1B, , ,0,4259,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,NON-FUND RAISER EVENTS,DELEGATES DUES,,,FOURTH CONGRESSIONAL DISTRICT       ,5735 30TH AVE,SEARS               ,MI,49679-0000,4/22/21,150,,,,,,,,,,,,,,
517682,1B, , ,0,4262,0,2022,ANNUAL CS,MECOSTA COUNTY REPUBLICAN PARTY,MECOSTA COUNTY REPUBLICAN PARTY,1472,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",POST BOX RENTAL,,,U.S. POSTAL SERVICE                 ,301 MAPLE ST,BIG RAPIDS          ,MI,49307-0000,7/23/21,64,,,,,,,,,,,,,,
517683,1B, , ,0,4190,0,2022,ANNUAL CS,12TH CONGRESSIONAL DISTRICT DEMOCRATS,12TH CONGRESSIONAL DISTRICT DEMOCRAT,516335,DIS,DIRECT,COMPUTER COSTS,REIMBURSE FOR ZOOM SUBSCRIPTION,,KELLIE              ,LOUNDS                              ,420 KELLOGG ST APT 66,ANN ARBOR           ,MI,48105-0000,1/21/21,85,,,,,,,,,,,,,,
517683,1B, , ,0,4191,0,2022,ANNUAL CS,12TH CONGRESSIONAL DISTRICT DEMOCRATS,12TH CONGRESSIONAL DISTRICT DEMOCRAT,516335,DIS,DIRECT,"MAILING,POSTAGE,BULK RATE",PRINTING/MAILOUT POSTAGE FOR MEETINGS,,,HESS PRINTING                       ,201 ELM SUITE A,WYANDOTTE           ,MI,48192-0000,2/12/21,873,,,,,,,,,,,,,,
517684,1C, , ,0,5655,0,2022,ANNUAL CS,BILL SOWERBY FOR STATE REPRESENTATIVE,BILL SOWERBY FOR STATE REP,517385,CAN,OFFICE,,WEBSITE,,,GOOGLE APPS                         ,ACCOUNTS.GOOGLE.COM 1600 AMPHITHEATER PARKWAY,MOUNTAIN VIEW       ,CA,94043-0000,11/3/21,5.99,,,,,,,,,,,,,,
517684,1C, , ,0,5656,0,2022,ANNUAL CS,BILL SOWERBY FOR STATE REPRESENTATIVE,BILL SOWERBY FOR STATE REP,517385,CAN,OFFICE,,WEBSITE,,,GOOGLE APPS                         ,ACCOUNTS.GOOGLE.COM 1600 AMPHITHEATER PARKWAY,MOUNTAIN VIEW       ,CA,94043-0000,12/3/21,6,,,,,,,,,,,,,,
517699,1B, , ,0,8380,0,2022,JANUARY QUARTERLY CS,JEWISH AGENCY POLITICAL ACTION COMMITTEE,JEWISH AGENCY PAC JAPAC,505974,IND,DIRECT,,BOOKKEEPING,,,PEDDLE TERRY                        ,56161 ASHBROOKE DRIVE EAST,SHELBY TOWNSHIP     ,MI,48316-0000,12/1/21,900,,,,,,,,,,,,,,
517705,1B, , ,0,6896,0,2022,ANNUAL CS,WASHTENAW COUNTY DEMOCRATIC COMMITTEE,WASHTENAW CO DEM COMM,1626,COU,DIRECT,REFUND OF CONTRIBUTIONS,501(C)3 DONATION NOTICE OF ERROR,,,WASHTENAW HOUSING ALLIANCE          ,220 N MAIN ST LOWER LEVEL,ANN ARBOR           ,MI,48104-0000,4/16/21,5651,,,,,,,,,,,,,,
517705,1B, , ,0,6898,0,2022,ANNUAL CS,WASHTENAW COUNTY DEMOCRATIC COMMITTEE,WASHTENAW CO DEM COMM,1626,COU,DIRECT,PRINT ADVERTISING,REIMBURSE FOR WCDP OFFICE WINDOW POSTEER,,CHRISTINE           ,BOLTZ                               ,2870 AURORA ST,ANN ARBOR           ,MI,48105-0000,1/2/21,89.4,,,,,,,,,,,,,,
