geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,metropolitan statistical area/micropolitan statistical area
11980,"Athens, TX Micro Area",80460.0,,-555555555.0,*****,11980
12020,"Athens-Clarke County, GA Metro Area",205303.0,,-555555555.0,*****,12020
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5779463.0,,-555555555.0,*****,12060
12100,"Atlantic City-Hammonton, NJ Metro Area",268539.0,,-555555555.0,*****,12100
12120,"Atmore, AL Micro Area",37328.0,,-555555555.0,*****,12120
12140,"Auburn, IN Micro Area",42704.0,,-555555555.0,*****,12140
12180,"Auburn, NY Micro Area",77868.0,,-555555555.0,*****,12180
12220,"Auburn-Opelika, AL Metro Area",159287.0,,-555555555.0,*****,12220
12260,"Augusta-Richmond County, GA-SC Metro Area",594300.0,,-555555555.0,*****,12260
12300,"Augusta-Waterville, ME Micro Area",121545.0,,-555555555.0,*****,12300
12380,"Austin, MN Micro Area",39602.0,,-555555555.0,*****,12380
12420,"Austin-Round Rock, TX Metro Area",2058351.0,,-555555555.0,*****,12420
12460,"Bainbridge, GA Micro Area",26833.0,,-555555555.0,*****,12460
12540,"Bakersfield, CA Metro Area",883053.0,,-555555555.0,*****,12540
12580,"Baltimore-Columbia-Towson, MD Metro Area",2793250.0,,-555555555.0,*****,12580
12620,"Bangor, ME Metro Area",151748.0,,-555555555.0,*****,12620
12660,"Baraboo, WI Micro Area",63596.0,,-555555555.0,*****,12660
12680,"Bardstown, KY Micro Area",45388.0,,-555555555.0,*****,12680
12700,"Barnstable Town, MA Metro Area",213690.0,,-555555555.0,*****,12700
12740,"Barre, VT Micro Area",58477.0,,-555555555.0,*****,12740
12780,"Bartlesville, OK Micro Area",52001.0,,-555555555.0,*****,12780
12820,"Bastrop, LA Micro Area",25992.0,,-555555555.0,*****,12820
12860,"Batavia, NY Micro Area",58112.0,,-555555555.0,*****,12860
12900,"Batesville, AR Micro Area",37264.0,,-555555555.0,*****,12900
12940,"Baton Rouge, LA Metro Area",829642.0,,-555555555.0,*****,12940
12980,"Battle Creek, MI Metro Area",134473.0,,-555555555.0,*****,12980
13020,"Bay City, MI Metro Area",104786.0,,-555555555.0,*****,13020
13060,"Bay City, TX Micro Area",36743.0,,-555555555.0,*****,13060
13100,"Beatrice, NE Micro Area",21595.0,,-555555555.0,*****,13100
13140,"Beaumont-Port Arthur, TX Metro Area",409693.0,,-555555555.0,*****,13140
13180,"Beaver Dam, WI Micro Area",87776.0,,-555555555.0,*****,13180
13220,"Beckley, WV Metro Area",120358.0,,-555555555.0,*****,13220
13260,"Bedford, IN Micro Area",45619.0,,-555555555.0,*****,13260
13300,"Beeville, TX Micro Area",32691.0,,-555555555.0,*****,13300
13340,"Bellefontaine, OH Micro Area",45307.0,,-555555555.0,*****,13340
13380,"Bellingham, WA Metro Area",216812.0,,-555555555.0,*****,13380
13420,"Bemidji, MN Micro Area",46117.0,,-555555555.0,*****,13420
13460,"Bend-Redmond, OR Metro Area",180640.0,,-555555555.0,*****,13460
13500,"Bennettsville, SC Micro Area",27131.0,,-555555555.0,*****,13500
13540,"Bennington, VT Micro Area",35920.0,,-555555555.0,*****,13540
13620,"Berlin, NH-VT Micro Area",38246.0,,-555555555.0,*****,13620
13660,"Big Rapids, MI Micro Area",43264.0,,-555555555.0,*****,13660
13720,"Big Stone Gap, VA Micro Area",57975.0,,-555555555.0,*****,13720
13780,"Binghamton, NY Metro Area",243447.0,,-555555555.0,*****,13780
13820,"Birmingham-Hoover, AL Metro Area",1147054.0,,-555555555.0,*****,13820
13940,"Blackfoot, ID Micro Area",45551.0,,-555555555.0,*****,13940
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",182341.0,,-555555555.0,*****,13980
14010,"Bloomington, IL Metro Area",189261.0,,-555555555.0,*****,14010
14020,"Bloomington, IN Metro Area",166281.0,,-555555555.0,*****,14020
14100,"Bloomsburg-Berwick, PA Metro Area",84514.0,,-555555555.0,*****,14100
14140,"Bluefield, WV-VA Micro Area",102566.0,,-555555555.0,*****,14140
14180,"Blytheville, AR Micro Area",42831.0,,-555555555.0,*****,14180
14220,"Bogalusa, LA Micro Area",46457.0,,-555555555.0,*****,14220
14260,"Boise City, ID Metro Area",693952.0,,-555555555.0,*****,14260
14300,"Bonham, TX Micro Area",34175.0,,-555555555.0,*****,14300
14340,"Boone, IA Micro Area",26399.0,,-555555555.0,*****,14340
14380,"Boone, NC Micro Area",54117.0,,-555555555.0,*****,14380
14420,"Borger, TX Micro Area",21571.0,,-555555555.0,*****,14420
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4811732.0,,-555555555.0,*****,14460
14500,"Boulder, CO Metro Area",321030.0,,-555555555.0,*****,14500
14540,"Bowling Green, KY Metro Area",172088.0,,-555555555.0,*****,14540
14580,"Bozeman, MT Micro Area",104729.0,,-555555555.0,*****,14580
14620,"Bradford, PA Micro Area",41806.0,,-555555555.0,*****,14620
14660,"Brainerd, MN Micro Area",92877.0,,-555555555.0,*****,14660
14700,"Branson, MO Micro Area",86247.0,,-555555555.0,*****,14700
14720,"Breckenridge, CO Micro Area",30429.0,,-555555555.0,*****,14720
14740,"Bremerton-Silverdale, WA Metro Area",262475.0,,-555555555.0,*****,14740
14780,"Brenham, TX Micro Area",34796.0,,-555555555.0,*****,14780
14820,"Brevard, NC Micro Area",33513.0,,-555555555.0,*****,14820
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",944348.0,,-555555555.0,*****,14860
15020,"Brookhaven, MS Micro Area",34432.0,,-555555555.0,*****,15020
15060,"Brookings, OR Micro Area",22507.0,,-555555555.0,*****,15060
15100,"Brookings, SD Micro Area",34239.0,,-555555555.0,*****,15100
15140,"Brownsville, TN Micro Area",17779.0,,-555555555.0,*****,15140
15180,"Brownsville-Harlingen, TX Metro Area",421750.0,,-555555555.0,*****,15180
15220,"Brownwood, TX Micro Area",37834.0,,-555555555.0,*****,15220
15260,"Brunswick, GA Metro Area",116655.0,,-555555555.0,*****,15260
15340,"Bucyrus, OH Micro Area",42021.0,,-555555555.0,*****,15340
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1131570.0,,-555555555.0,*****,15380
15420,"Burley, ID Micro Area",44230.0,,-555555555.0,*****,15420
15460,"Burlington, IA-IL Micro Area",46484.0,,-555555555.0,*****,15460
15500,"Burlington, NC Metro Area",160576.0,,-555555555.0,*****,15500
15540,"Burlington-South Burlington, VT Metro Area",218042.0,,-555555555.0,*****,15540
15580,"Butte-Silver Bow, MT Micro Area",34814.0,,-555555555.0,*****,15580
15620,"Cadillac, MI Micro Area",48117.0,,-555555555.0,*****,15620
15660,"Calhoun, GA Micro Area",56790.0,,-555555555.0,*****,15660
15680,"California-Lexington Park, MD Metro Area",111531.0,,-555555555.0,*****,15680
15700,"Cambridge, MD Micro Area",32261.0,,-555555555.0,*****,15700
15740,"Cambridge, OH Micro Area",39274.0,,-555555555.0,*****,15740
15780,"Camden, AR Micro Area",29308.0,,-555555555.0,*****,15780
15820,"Campbellsville, KY Micro Area",25500.0,,-555555555.0,*****,15820
15860,"Ca�on City, CO Micro Area",47002.0,,-555555555.0,*****,15860
15900,"Canton, IL Micro Area",35418.0,,-555555555.0,*****,15900
15940,"Canton-Massillon, OH Metro Area",401053.0,,-555555555.0,*****,15940
15980,"Cape Coral-Fort Myers, FL Metro Area",718679.0,,-555555555.0,*****,15980
16020,"Cape Girardeau, MO-IL Metro Area",97137.0,,-555555555.0,*****,16020
16060,"Carbondale-Marion, IL Metro Area",125850.0,,-555555555.0,*****,16060
16100,"Carlsbad-Artesia, NM Micro Area",57437.0,,-555555555.0,*****,16100
16140,"Carroll, IA Micro Area",20344.0,,-555555555.0,*****,16140
16180,"Carson City, NV Metro Area",54467.0,,-555555555.0,*****,16180
16220,"Casper, WY Metro Area",80610.0,,-555555555.0,*****,16220
16260,"Cedar City, UT Micro Area",49691.0,,-555555555.0,*****,16260
16300,"Cedar Rapids, IA Metro Area",268315.0,,-555555555.0,*****,16300
16340,"Cedartown, GA Micro Area",41621.0,,-555555555.0,*****,16340
16380,"Celina, OH Micro Area",40806.0,,-555555555.0,*****,16380
16420,"Central City, KY Micro Area",31081.0,,-555555555.0,*****,16420
16460,"Centralia, IL Micro Area",38084.0,,-555555555.0,*****,16460
16500,"Centralia, WA Micro Area",76947.0,,-555555555.0,*****,16500
16540,"Chambersburg-Waynesboro, PA Metro Area",153751.0,,-555555555.0,*****,16540
16580,"Champaign-Urbana, IL Metro Area",239273.0,,-555555555.0,*****,16580
16620,"Charleston, WV Metro Area",217312.0,,-555555555.0,*****,16620
16660,"Charleston-Mattoon, IL Micro Area",62601.0,,-555555555.0,*****,16660
16700,"Charleston-North Charleston, SC Metro Area",759247.0,,-555555555.0,*****,16700
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2473125.0,,-555555555.0,*****,16740
16820,"Charlottesville, VA Metro Area",230905.0,,-555555555.0,*****,16820
16860,"Chattanooga, TN-GA Metro Area",552043.0,,-555555555.0,*****,16860
16940,"Cheyenne, WY Metro Area",97692.0,,-555555555.0,*****,16940
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9536428.0,,-555555555.0,*****,16980
17020,"Chico, CA Metro Area",227075.0,,-555555555.0,*****,17020
17060,"Chillicothe, OH Micro Area",77051.0,,-555555555.0,*****,17060
17140,"Cincinnati, OH-KY-IN Metro Area",2168825.0,,-555555555.0,*****,17140
17200,"Claremont-Lebanon, NH-VT Micro Area",217300.0,,-555555555.0,*****,17200
17220,"Clarksburg, WV Micro Area",93696.0,,-555555555.0,*****,17220
17260,"Clarksdale, MS Micro Area",23802.0,,-555555555.0,*****,17260
17300,"Clarksville, TN-KY Metro Area",282994.0,,-555555555.0,*****,17300
17340,"Clearlake, CA Micro Area",64148.0,,-555555555.0,*****,17340
17380,"Cleveland, MS Micro Area",32592.0,,-555555555.0,*****,17380
17420,"Cleveland, TN Metro Area",121339.0,,-555555555.0,*****,17420
17460,"Cleveland-Elyria, OH Metro Area",2061766.0,,-555555555.0,*****,17460
17500,"Clewiston, FL Micro Area",40127.0,,-555555555.0,*****,17500
17540,"Clinton, IA Micro Area",47218.0,,-555555555.0,*****,17540
17580,"Clovis, NM Micro Area",50199.0,,-555555555.0,*****,17580
17620,"Coamo, PR Micro Area",39265.0,,-555555555.0,*****,17620
17640,"Coco, PR Micro Area",28633.0,,-555555555.0,*****,17640
17660,"Coeur d'Alene, ID Metro Area",153605.0,,-555555555.0,*****,17660
17700,"Coffeyville, KS Micro Area",32970.0,,-555555555.0,*****,17700
17740,"Coldwater, MI Micro Area",43584.0,,-555555555.0,*****,17740
17780,"College Station-Bryan, TX Metro Area",253946.0,,-555555555.0,*****,17780
17820,"Colorado Springs, CO Metro Area",712266.0,,-555555555.0,*****,17820
17860,"Columbia, MO Metro Area",176515.0,,-555555555.0,*****,17860
17900,"Columbia, SC Metro Area",816664.0,,-555555555.0,*****,17900
17980,"Columbus, GA-AL Metro Area",307724.0,,-555555555.0,*****,17980
18020,"Columbus, IN Metro Area",81893.0,,-555555555.0,*****,18020
18060,"Columbus, MS Micro Area",59437.0,,-555555555.0,*****,18060
18100,"Columbus, NE Micro Area",33063.0,,-555555555.0,*****,18100
18140,"Columbus, OH Metro Area",2054062.0,,-555555555.0,*****,18140
18180,"Concord, NH Micro Area",149452.0,,-555555555.0,*****,18180
18220,"Connersville, IN Micro Area",23259.0,,-555555555.0,*****,18220
18260,"Cookeville, TN Micro Area",110059.0,,-555555555.0,*****,18260
18300,"Coos Bay, OR Micro Area",63308.0,,-555555555.0,*****,18300
18380,"Cordele, GA Micro Area",22846.0,,-555555555.0,*****,18380
18420,"Corinth, MS Micro Area",37180.0,,-555555555.0,*****,18420
18460,"Cornelia, GA Micro Area",44289.0,,-555555555.0,*****,18460
18500,"Corning, NY Micro Area",96927.0,,-555555555.0,*****,18500
18580,"Corpus Christi, TX Metro Area",452295.0,,-555555555.0,*****,18580
18620,"Corsicana, TX Micro Area",48583.0,,-555555555.0,*****,18620
18660,"Cortland, NY Micro Area",48123.0,,-555555555.0,*****,18660
18700,"Corvallis, OR Metro Area",89780.0,,-555555555.0,*****,18700
18740,"Coshocton, OH Micro Area",36574.0,,-555555555.0,*****,18740
18780,"Craig, CO Micro Area",13060.0,,-555555555.0,*****,18780
18820,"Crawfordsville, IN Micro Area",38276.0,,-555555555.0,*****,18820
18860,"Crescent City, CA Micro Area",27424.0,,-555555555.0,*****,18860
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",266595.0,,-555555555.0,*****,18880
18900,"Crossville, TN Micro Area",58634.0,,-555555555.0,*****,18900
18980,"Cullman, AL Micro Area",82313.0,,-555555555.0,*****,18980
19000,"Cullowhee, NC Micro Area",42256.0,,-555555555.0,*****,19000
19060,"Cumberland, MD-WV Metro Area",99255.0,,-555555555.0,*****,19060
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7255028.0,,-555555555.0,*****,19100
19140,"Dalton, GA Metro Area",143406.0,,-555555555.0,*****,19140
19180,"Danville, IL Metro Area",78407.0,,-555555555.0,*****,19180
19220,"Danville, KY Micro Area",54371.0,,-555555555.0,*****,19220
19260,"Danville, VA Micro Area",103188.0,,-555555555.0,*****,19260
19300,"Daphne-Fairhope-Foley, AL Metro Area",208107.0,,-555555555.0,*****,19300
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",382720.0,,-555555555.0,*****,19340
19380,"Dayton, OH Metro Area",802645.0,,-555555555.0,*****,19380
19420,"Dayton, TN Micro Area",32628.0,,-555555555.0,*****,19420
19460,"Decatur, AL Metro Area",152293.0,,-555555555.0,*****,19460
19500,"Decatur, IL Metro Area",106512.0,,-555555555.0,*****,19500
19540,"Decatur, IN Micro Area",35195.0,,-555555555.0,*****,19540
19580,"Defiance, OH Micro Area",38279.0,,-555555555.0,*****,19580
19620,"Del Rio, TX Micro Area",49027.0,,-555555555.0,*****,19620
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",634773.0,,-555555555.0,*****,19660
19700,"Deming, NM Micro Area",24264.0,,-555555555.0,*****,19700
19740,"Denver-Aurora-Lakewood, CO Metro Area",2850221.0,,-555555555.0,*****,19740
19760,"DeRidder, LA Micro Area",36769.0,,-555555555.0,*****,19760
19780,"Des Moines-West Des Moines, IA Metro Area",634201.0,,-555555555.0,*****,19780
19820,"Detroit-Warren-Dearborn, MI Metro Area",4317179.0,,-555555555.0,*****,19820
19860,"Dickinson, ND Micro Area",30876.0,,-555555555.0,*****,19860
19940,"Dixon, IL Micro Area",34527.0,,-555555555.0,*****,19940
19980,"Dodge City, KS Micro Area",34484.0,,-555555555.0,*****,19980
20020,"Dothan, AL Metro Area",147967.0,,-555555555.0,*****,20020
20060,"Douglas, GA Micro Area",42961.0,,-555555555.0,*****,20060
20100,"Dover, DE Metro Area",174822.0,,-555555555.0,*****,20100
20140,"Dublin, GA Micro Area",57148.0,,-555555555.0,*****,20140
20180,"DuBois, PA Micro Area",80216.0,,-555555555.0,*****,20180
20220,"Dubuque, IA Metro Area",96802.0,,-555555555.0,*****,20220
20260,"Duluth, MN-WI Metro Area",279022.0,,-555555555.0,*****,20260
20300,"Dumas, TX Micro Area",21801.0,,-555555555.0,*****,20300
20340,"Duncan, OK Micro Area",43983.0,,-555555555.0,*****,20340
20380,"Dunn, NC Micro Area",130361.0,,-555555555.0,*****,20380
20420,"Durango, CO Micro Area",55101.0,,-555555555.0,*****,20420
20460,"Durant, OK Micro Area",45759.0,,-555555555.0,*****,20460
20500,"Durham-Chapel Hill, NC Metro Area",558491.0,,-555555555.0,*****,20500
20540,"Dyersburg, TN Micro Area",37576.0,,-555555555.0,*****,20540
20580,"Eagle Pass, TX Micro Area",57970.0,,-555555555.0,*****,20580
20660,"Easton, MD Micro Area",37211.0,,-555555555.0,*****,20660
20700,"East Stroudsburg, PA Metro Area",167586.0,,-555555555.0,*****,20700
20740,"Eau Claire, WI Metro Area",166626.0,,-555555555.0,*****,20740
20780,"Edwards, CO Micro Area",54357.0,,-555555555.0,*****,20780
20820,"Effingham, IL Micro Area",34174.0,,-555555555.0,*****,20820
20900,"El Campo, TX Micro Area",41551.0,,-555555555.0,*****,20900
20940,"El Centro, CA Metro Area",180216.0,,-555555555.0,*****,20940
20980,"El Dorado, AR Micro Area",39732.0,,-555555555.0,*****,20980
21020,"Elizabeth City, NC Micro Area",63385.0,,-555555555.0,*****,21020
21060,"Elizabethtown-Fort Knox, KY Metro Area",150577.0,,-555555555.0,*****,21060
21120,"Elk City, OK Micro Area",22621.0,,-555555555.0,*****,21120
21140,"Elkhart-Goshen, IN Metro Area",203604.0,,-555555555.0,*****,21140
21180,"Elkins, WV Micro Area",29065.0,,-555555555.0,*****,21180
21260,"Ellensburg, WA Micro Area",44825.0,,-555555555.0,*****,21260
21300,"Elmira, NY Metro Area",85740.0,,-555555555.0,*****,21300
21340,"El Paso, TX Metro Area",841752.0,,-555555555.0,*****,21340
21380,"Emporia, KS Micro Area",33299.0,,-555555555.0,*****,21380
21420,"Enid, OK Metro Area",62190.0,,-555555555.0,*****,21420
21460,"Enterprise, AL Micro Area",51288.0,,-555555555.0,*****,21460
21500,"Erie, PA Metro Area",275972.0,,-555555555.0,*****,21500
21540,"Escanaba, MI Micro Area",36190.0,,-555555555.0,*****,21540
21580,"Espa�ola, NM Micro Area",39307.0,,-555555555.0,*****,21580
21660,"Eugene, OR Metro Area",368882.0,,-555555555.0,*****,21660
21700,"Eureka-Arcata-Fortuna, CA Micro Area",135768.0,,-555555555.0,*****,21700
21740,"Evanston, WY Micro Area",20609.0,,-555555555.0,*****,21740
21780,"Evansville, IN-KY Metro Area",314967.0,,-555555555.0,*****,21780
21820,"Fairbanks, AK Metro Area",99653.0,,-555555555.0,*****,21820
21840,"Fairfield, IA Micro Area",18077.0,,-555555555.0,*****,21840
21860,"Fairmont, MN Micro Area",19964.0,,-555555555.0,*****,21860
21900,"Fairmont, WV Micro Area",56497.0,,-555555555.0,*****,21900
21980,"Fallon, NV Micro Area",24010.0,,-555555555.0,*****,21980
22020,"Fargo, ND-MN Metro Area",237003.0,,-555555555.0,*****,22020
22060,"Faribault-Northfield, MN Micro Area",65765.0,,-555555555.0,*****,22060
22100,"Farmington, MO Micro Area",66342.0,,-555555555.0,*****,22100
22140,"Farmington, NM Metro Area",127455.0,,-555555555.0,*****,22140
22180,"Fayetteville, NC Metro Area",385345.0,,-555555555.0,*****,22180
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",526412.0,,-555555555.0,*****,22220
22260,"Fergus Falls, MN Micro Area",57992.0,,-555555555.0,*****,22260
22280,"Fernley, NV Micro Area",53155.0,,-555555555.0,*****,22280
22300,"Findlay, OH Micro Area",75690.0,,-555555555.0,*****,22300
22340,"Fitzgerald, GA Micro Area",17154.0,,-555555555.0,*****,22340
22380,"Flagstaff, AZ Metro Area",140217.0,,-555555555.0,*****,22380
22420,"Flint, MI Metro Area",409361.0,,-555555555.0,*****,22420
22500,"Florence, SC Metro Area",205814.0,,-555555555.0,*****,22500
22520,"Florence-Muscle Shoals, AL Metro Area",147080.0,,-555555555.0,*****,22520
22540,"Fond du Lac, WI Metro Area",102315.0,,-555555555.0,*****,22540
22580,"Forest City, NC Micro Area",66532.0,,-555555555.0,*****,22580
22620,"Forrest City, AR Micro Area",26294.0,,-555555555.0,*****,22620
22660,"Fort Collins, CO Metro Area",338161.0,,-555555555.0,*****,22660
22700,"Fort Dodge, IA Micro Area",36757.0,,-555555555.0,*****,22700
22780,"Fort Leonard Wood, MO Micro Area",52591.0,,-555555555.0,*****,22780
22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",59453.0,,-555555555.0,*****,22800
22820,"Fort Morgan, CO Micro Area",28257.0,,-555555555.0,*****,22820
22840,"Fort Payne, AL Micro Area",71200.0,,-555555555.0,*****,22840
22860,"Fort Polk South, LA Micro Area",51007.0,,-555555555.0,*****,22860
22900,"Fort Smith, AR-OK Metro Area",281201.0,,-555555555.0,*****,22900
23060,"Fort Wayne, IN Metro Area",431612.0,,-555555555.0,*****,23060
23140,"Frankfort, IN Micro Area",32301.0,,-555555555.0,*****,23140
23180,"Frankfort, KY Micro Area",72510.0,,-555555555.0,*****,23180
23240,"Fredericksburg, TX Micro Area",26208.0,,-555555555.0,*****,23240
23300,"Freeport, IL Micro Area",45433.0,,-555555555.0,*****,23300
23340,"Fremont, NE Micro Area",36683.0,,-555555555.0,*****,23340
23380,"Fremont, OH Micro Area",59299.0,,-555555555.0,*****,23380
23420,"Fresno, CA Metro Area",978130.0,,-555555555.0,*****,23420
23460,"Gadsden, AL Metro Area",102939.0,,-555555555.0,*****,23460
23500,"Gaffney, SC Micro Area",56711.0,,-555555555.0,*****,23500
23540,"Gainesville, FL Metro Area",280763.0,,-555555555.0,*****,23540
23580,"Gainesville, GA Metro Area",195961.0,,-555555555.0,*****,23580
23620,"Gainesville, TX Micro Area",39571.0,,-555555555.0,*****,23620
23660,"Galesburg, IL Micro Area",50999.0,,-555555555.0,*****,23660
23700,"Gallup, NM Micro Area",72849.0,,-555555555.0,*****,23700
23780,"Garden City, KS Micro Area",40889.0,,-555555555.0,*****,23780
23820,"Gardnerville Ranchos, NV Micro Area",47828.0,,-555555555.0,*****,23820
23860,"Georgetown, SC Micro Area",61605.0,,-555555555.0,*****,23860
23900,"Gettysburg, PA Metro Area",102023.0,,-555555555.0,*****,23900
23940,"Gillette, WY Micro Area",47708.0,,-555555555.0,*****,23940
23980,"Glasgow, KY Micro Area",53684.0,,-555555555.0,*****,23980
24020,"Glens Falls, NY Metro Area",126308.0,,-555555555.0,*****,24020
24060,"Glenwood Springs, CO Micro Area",76447.0,,-555555555.0,*****,24060
24100,"Gloversville, NY Micro Area",53743.0,,-555555555.0,*****,24100
24140,"Goldsboro, NC Metro Area",124002.0,,-555555555.0,*****,24140
24220,"Grand Forks, ND-MN Metro Area",101991.0,,-555555555.0,*****,24220
24260,"Grand Island, NE Metro Area",84729.0,,-555555555.0,*****,24260
24300,"Grand Junction, CO Metro Area",149998.0,,-555555555.0,*****,24300
24330,"Grand Rapids, MN Micro Area",45203.0,,-555555555.0,*****,24330
24340,"Grand Rapids-Wyoming, MI Metro Area",1050440.0,,-555555555.0,*****,24340
24380,"Grants, NM Micro Area",26978.0,,-555555555.0,*****,24380
24420,"Grants Pass, OR Metro Area",85481.0,,-555555555.0,*****,24420
24460,"Great Bend, KS Micro Area",26791.0,,-555555555.0,*****,24460
24500,"Great Falls, MT Metro Area",81746.0,,-555555555.0,*****,24500
24540,"Greeley, CO Metro Area",295123.0,,-555555555.0,*****,24540
24580,"Green Bay, WI Metro Area",317702.0,,-555555555.0,*****,24580
24620,"Greeneville, TN Micro Area",68669.0,,-555555555.0,*****,24620
24640,"Greenfield Town, MA Micro Area",70935.0,,-555555555.0,*****,24640
24660,"Greensboro-High Point, NC Metro Area",757810.0,,-555555555.0,*****,24660
24700,"Greensburg, IN Micro Area",26552.0,,-555555555.0,*****,24700
24740,"Greenville, MS Micro Area",47086.0,,-555555555.0,*****,24740
24780,"Greenville, NC Metro Area",177372.0,,-555555555.0,*****,24780
24820,"Greenville, OH Micro Area",51734.0,,-555555555.0,*****,24820
24860,"Greenville-Anderson-Mauldin, SC Metro Area",883853.0,,-555555555.0,*****,24860
24900,"Greenwood, MS Micro Area",39933.0,,-555555555.0,*****,24900
24940,"Greenwood, SC Micro Area",94921.0,,-555555555.0,*****,24940
24980,"Grenada, MS Micro Area",21278.0,,-555555555.0,*****,24980
25020,"Guayama, PR Metro Area",77151.0,,-555555555.0,*****,25020
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",391293.0,,-555555555.0,*****,25060
25100,"Guymon, OK Micro Area",21121.0,,-555555555.0,*****,25100
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",263306.0,,-555555555.0,*****,25180
25220,"Hammond, LA Metro Area",130504.0,,-555555555.0,*****,25220
25260,"Hanford-Corcoran, CA Metro Area",150075.0,,-555555555.0,*****,25260
25300,"Hannibal, MO Micro Area",38889.0,,-555555555.0,*****,25300
25420,"Harrisburg-Carlisle, PA Metro Area",567872.0,,-555555555.0,*****,25420
