geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,combined statistical area
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",708913.0,,-555555555.0,*****,518
520,"Springfield-Branson, MO CSA",545081.0,,-555555555.0,*****,520
521,"Springfield-Greenfield Town, MA CSA",701210.0,,-555555555.0,*****,521
522,"Springfield-Jacksonville-Lincoln, IL CSA",311939.0,,-555555555.0,*****,522
524,"State College-DuBois, PA CSA",241659.0,,-555555555.0,*****,524
525,"Steamboat Springs-Craig, CO CSA",37934.0,,-555555555.0,*****,525
540,"Tyler-Jacksonville, TX CSA",276918.0,,-555555555.0,*****,540
544,"Victoria-Port Lavaca, TX CSA",121308.0,,-555555555.0,*****,544
545,"Virginia Beach-Norfolk, VA-NC CSA",1825246.0,,-555555555.0,*****,545
546,"Visalia-Porterville-Hanford, CA CSA",610552.0,,-555555555.0,*****,546
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",9665997.0,,-555555555.0,*****,548
532,"Syracuse-Auburn, NY CSA",732573.0,,-555555555.0,*****,532
533,"Tallahassee-Bainbridge, FL-GA CSA",406934.0,,-555555555.0,*****,533
534,"Toledo-Port Clinton, OH CSA",645329.0,,-555555555.0,*****,534
536,"Tucson-Nogales, AZ CSA",1066306.0,,-555555555.0,*****,536
538,"Tulsa-Muskogee-Bartlesville, OK CSA",1154917.0,,-555555555.0,*****,538
554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",306985.0,,-555555555.0,*****,554
556,"Wichita-Arkansas City-Winfield, KS CSA",679356.0,,-555555555.0,*****,556
558,"Williamsport-Lock Haven, PA CSA",153933.0,,-555555555.0,*****,558
566,"Youngstown-Warren, OH-PA CSA",649491.0,,-555555555.0,*****,566
104,"Albany-Schenectady, NY CSA",1170877.0,,-555555555.0,*****,104
106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",1171604.0,,-555555555.0,*****,106
108,"Amarillo-Borger, TX CSA",284983.0,,125.0,,108
118,"Appleton-Oshkosh-Neenah, WI CSA",404487.0,,-555555555.0,*****,118
120,"Asheville-Brevard, NC CSA",483450.0,,-555555555.0,*****,120
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",6440883.0,,-555555555.0,*****,122
145,"Bloomington-Pontiac, IL CSA",225585.0,,-555555555.0,*****,145
146,"Bloomsburg-Berwick-Sunbury, PA CSA",262419.0,,-555555555.0,*****,146
147,"Boise City-Mountain Home-Ontario, ID-OR CSA",773857.0,,-555555555.0,*****,147
144,"Bloomington-Bedford, IN CSA",211900.0,,-555555555.0,*****,144
148,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",8200935.0,,-555555555.0,*****,148
140,"Bend-Redmond-Prineville, OR CSA",202977.0,,-555555555.0,*****,140
142,"Birmingham-Hoover-Talladega, AL CSA",1361423.0,,-555555555.0,*****,142
160,"Buffalo-Cheektowaga, NY CSA",1209256.0,,-555555555.0,*****,160
162,"Cape Coral-Fort Myers-Naples, FL CSA",1082601.0,,-555555555.0,*****,162
164,"Cape Girardeau-Sikeston, MO-IL CSA",135866.0,,-555555555.0,*****,164
168,"Cedar Rapids-Iowa City, IA CSA",437459.0,,-555555555.0,*****,168
150,"Bowling Green-Glasgow, KY CSA",225772.0,,-555555555.0,*****,150
154,"Brownsville-Harlingen-Raymondville, TX CSA",443504.0,,-555555555.0,*****,154
170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",685724.0,,-555555555.0,*****,170
172,"Charlotte-Concord, NC-SC CSA",2631398.0,,-555555555.0,*****,172
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",954283.0,,-555555555.0,*****,174
176,"Chicago-Naperville, IL-IN-WI CSA",9907569.0,,-555555555.0,*****,176
178,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",2227874.0,,-555555555.0,*****,178
184,"Cleveland-Akron-Canton, OH CSA",3491528.0,,-555555555.0,*****,184
185,"Cleveland-Indianola, MS CSA",59124.0,,-555555555.0,*****,185
188,"Clovis-Portales, NM CSA",69316.0,,-555555555.0,*****,188
190,"Columbia-Moberly-Mexico, MO CSA",227195.0,,-555555555.0,*****,190
192,"Columbia-Orangeburg-Newberry, SC CSA",943186.0,,-555555555.0,*****,192
194,"Columbus-Auburn-Opelika, GA-AL CSA",500837.0,,-555555555.0,*****,194
198,"Columbus-Marion-Zanesville, OH CSA",2456974.0,,-555555555.0,*****,198
200,"Columbus-West Point, MS CSA",79245.0,,-555555555.0,*****,200
204,"Corpus Christi-Kingsville-Alice, TX CSA",525507.0,,181.0,,204
206,"Dallas-Fort Worth, TX-OK CSA",7696693.0,,-555555555.0,*****,206
209,"Davenport-Moline, IA-IL CSA",472888.0,,-555555555.0,*****,209
212,"Dayton-Springfield-Sidney, OH CSA",1077238.0,,-555555555.0,*****,212
216,"Denver-Aurora, CO CSA",3466374.0,,-555555555.0,*****,216
217,"DeRidder-Fort Polk South, LA CSA",87776.0,,-555555555.0,*****,217
218,"Des Moines-Ames-West Des Moines, IA CSA",794413.0,,-555555555.0,*****,218
220,"Detroit-Warren-Ann Arbor, MI CSA",5340674.0,,-555555555.0,*****,220
221,"Dixon-Sterling, IL CSA",90923.0,,-555555555.0,*****,221
222,"Dothan-Enterprise-Ozark, AL CSA",248510.0,,-555555555.0,*****,222
232,"Eau Claire-Menomonie, WI CSA",211124.0,,-555555555.0,*****,232
233,"Edwards-Glenwood Springs, CO CSA",130804.0,,-555555555.0,*****,233
236,"Elmira-Corning, NY CSA",182667.0,,-555555555.0,*****,236
238,"El Paso-Las Cruces, TX-NM CSA",1057090.0,,-555555555.0,*****,238
240,"Erie-Meadville, PA CSA",362136.0,,-555555555.0,*****,240
244,"Fargo-Wahpeton, ND-MN CSA",259634.0,,-555555555.0,*****,244
246,"Fayetteville-Lumberton-Laurinburg, NC CSA",554049.0,,-555555555.0,*****,246
248,"Findlay-Tiffin, OH CSA",131165.0,,-555555555.0,*****,248
258,"Fort Wayne-Huntington-Auburn, IN CSA",627814.0,,-555555555.0,*****,258
260,"Fresno-Madera, CA CSA",1133143.0,,-555555555.0,*****,260
264,"Gainesville-Lake City, FL CSA",349868.0,,-555555555.0,*****,264
266,"Grand Rapids-Wyoming-Muskegon, MI CSA",1446173.0,,-555555555.0,*****,266
267,"Green Bay-Shawano, WI CSA",363290.0,,-555555555.0,*****,267
268,"Greensboro--Winston-Salem--High Point, NC CSA",1652283.0,,-555555555.0,*****,268
