geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,school district (elementary)
0400960,"Avondale Elementary District, Arizona",48582.0,,1459.0,,04,00960
0401050,"Balsz Elementary District, Arizona",32519.0,,1696.0,,04,01050
0401080,"Beaver Creek Elementary District, Arizona",5364.0,,749.0,,04,01080
0401260,"Bonita Elementary District, Arizona",899.0,,181.0,,04,01260
0401290,"Bouse Elementary District, Arizona",1202.0,,239.0,,04,01290
0401380,"Buckeye Elementary District, Arizona",43277.0,,1163.0,,04,01380
0401500,"Bullhead City School District, Arizona",40810.0,,220.0,,04,01500
0401650,"Canon Elementary District, Arizona",3172.0,,674.0,,04,01650
0402130,"Cochise Elementary District, Arizona",295.0,,105.0,,04,02130
0401680,"Cartwright Elementary District, Arizona",133255.0,,3041.0,,04,01680
0401710,"Casa Grande Elementary District, Arizona",68890.0,,1554.0,,04,01710
0401920,"Chevelon Butte School District, Arizona",715.0,,155.0,,04,01920
0402190,"Concho Elementary District, Arizona",2480.0,,397.0,,04,02190
0402220,"Congress Elementary District, Arizona",1960.0,,402.0,,04,02220
0402250,"Continental Elementary District, Arizona",27855.0,,964.0,,04,02250
0402370,"Cottonwood-Oak Creek Elementary District, Arizona",31554.0,,1247.0,,04,02370
0402400,"Crane Elementary District, Arizona",43984.0,,1387.0,,04,02400
0402430,"Creighton Elementary District, Arizona",72240.0,,2084.0,,04,02430
0402460,"Crown King Elementary District, Arizona",68.0,,43.0,,04,02460
0402490,"Double Adobe Elementary District, Arizona",462.0,,102.0,,04,02490
0402710,"Eagle Elementary District, Arizona",58.0,,45.0,,04,02710
0402760,"Elfrida Elementary District, Arizona",856.0,,203.0,,04,02760
0402790,"Eloy Elementary District, Arizona",5797.0,,730.0,,04,02790
0402820,"Empire Elementary District, Arizona",552.0,,262.0,,04,02820
0403060,"Fowler Elementary District, Arizona",38821.0,,2060.0,,04,03060
0403240,"Gadsden Elementary District, Arizona",30328.0,,637.0,,04,03240
0403420,"Glendale Elementary District, Arizona",109290.0,,2011.0,,04,03420
0403660,"Hackberry School District, Arizona",1394.0,,277.0,,04,03660
0403900,"Hyder Elementary District, Arizona",643.0,,175.0,,04,03900
0403960,"Isaac Elementary District, Arizona",45999.0,,1765.0,,04,03960
0404170,"Kirkland Elementary District, Arizona",1135.0,,196.0,,04,04170
0404200,"Klondyke Elementary District, Arizona",43.0,,19.0,,04,04200
0404230,"Kyrene Elementary District, Arizona",162128.0,,2703.0,,04,04230
0404290,"Laveen Elementary District, Arizona",51805.0,,1678.0,,04,04290
0404320,"Liberty Elementary District, Arizona",31971.0,,1676.0,,04,04320
0404380,"Litchfield Elementary District, Arizona",94392.0,,1795.0,,04,04380
0404440,"Littleton Elementary District, Arizona",46806.0,,1408.0,,04,04440
0404500,"Madison Elementary District, Arizona",60545.0,,1722.0,,04,04500
0404530,"Maine Consolidated School District, Arizona",1476.0,,311.0,,04,04530
0404770,"Altar Valley Elementary District, Arizona",7075.0,,663.0,,04,04770
0404860,"McNary Elementary District, Arizona",663.0,,105.0,,04,04860
0404920,"McNeal Elementary District, Arizona",428.0,,128.0,,04,04920
0405100,"Mobile Elementary District, Arizona",91.0,,38.0,,04,05100
0405190,"Mohave Valley Elementary District, Arizona",23021.0,,925.0,,04,05190
0405220,"Mohawk Valley Elementary District, Arizona",1633.0,,267.0,,04,05220
0405340,"Morristown Elementary District, Arizona",1601.0,,304.0,,04,05340
0405400,"Murphy Elementary District, Arizona",12766.0,,947.0,,04,05400
0405430,"Naco Elementary District, Arizona",1408.0,,356.0,,04,05430
0405640,"Oracle Elementary District, Arizona",15812.0,,972.0,,04,05640
0405670,"Osborn Elementary District, Arizona",38217.0,,1298.0,,04,05670
0405730,"Owens-Whitney Elementary District, Arizona",556.0,,170.0,,04,05730
0405760,"Tonto Basin Elementary District, Arizona",1733.0,,291.0,,04,05760
0405850,"Palo Verde Elementary District, Arizona",2743.0,,599.0,,04,05850
0406210,"Pendergast Elementary District, Arizona",79367.0,,2036.0,,04,06210
0405880,"Palominas Elementary District, Arizona",10507.0,,688.0,,04,05880
0406000,"Patagonia Elementary District, Arizona",1402.0,,273.0,,04,06000
0406150,"Pearce Elementary District, Arizona",2252.0,,346.0,,04,06150
0406300,"Phoenix Elementary District, Arizona",57628.0,,2051.0,,04,06300
0406780,"Quartzsite Elementary District, Arizona",5734.0,,405.0,,04,06780
0406360,"Picacho Elementary District, Arizona",10135.0,,1100.0,,04,06360
0406510,"Pine Strawberry Elementary District, Arizona",2487.0,,427.0,,04,06510
0406630,"Pomerene Elementary District, Arizona",1168.0,,283.0,,04,06630
0406900,"Red Rock Elementary District, Arizona",4841.0,,569.0,,04,06900
0406930,"Redington Elementary District, Arizona",69.0,,36.0,,04,06930
0630630,"Pixley Union Elementary School District, California",5680.0,,789.0,,06,30630
0606750,"Byron Union Elementary School District, California",16538.0,,862.0,,06,06750
0626040,"Mount Shasta Union Elementary School District, California",6934.0,,553.0,,06,26040
0616860,"Helendale Elementary School District, California",6573.0,,852.0,,06,16860
0620790,"Lakeside Union Elementary School District (San Diego County), California",45500.0,,1716.0,,06,20790
0626280,"Mountain View Whisman Elementary School District, California",71472.0,,854.0,,06,26280
0619800,"Kingsburg Elementary Charter School District, California",15429.0,,754.0,,06,19800
0605250,"Blake Elementary School District, California",136.0,,79.0,,06,05250
0619440,"Keppel Union Elementary School District, California",22352.0,,1491.0,,06,19440
0642600,"Willow Creek Elementary School District, California",665.0,,134.0,,06,42600
0616470,"Hanford Elementary School District, California",46600.0,,1160.0,,06,16470
0609480,"Columbia Union Elementary School District, California",6276.0,,629.0,,06,09480
0641790,"Waugh Elementary School District, California",6100.0,,604.0,,06,41790
0612420,"Elkins Elementary School District, California",174.0,,61.0,,06,12420
0633480,"Rosedale Union Elementary School District, California",49599.0,,2018.0,,06,33480
0634290,"San Carlos Elementary School District, California",28505.0,,502.0,,06,34290
0607200,"Campbell Union Elementary School District, California",99381.0,,1815.0,,06,07200
0631020,"Pleasant Valley Joint Union Elementary School District, California",945.0,,228.0,,06,31020
0635790,"Santa Rita Union Elementary School District, California",25467.0,,1220.0,,06,35790
0604980,"Big Springs Union Elementary School District, California",1756.0,,271.0,,06,04980
0619050,"Johnstonville Elementary School District, California",1302.0,,237.0,,06,19050
0638430,"Sunnyside Union Elementary School District, California",2496.0,,560.0,,06,38430
0627030,"New Jerusalem Elementary School District, California",2061.0,,265.0,,06,27030
0637350,"South Bay Union Elementary School District, California",7203.0,,783.0,,06,37350
0627780,"Nuview Union Elementary School District, California",11235.0,,1033.0,,06,27780
0624630,"Merced River Union Elementary School District, California",1002.0,,201.0,,06,24630
0605280,"Blochman Union Elementary School District, California",972.0,,237.0,,06,05280
0633900,"Salida Union Elementary School District, California",20815.0,,1339.0,,06,33900
0616560,"Happy Valley Elementary School District, California",1603.0,,273.0,,06,16560
0627750,"Nuestro Elementary School District, California",351.0,,137.0,,06,27750
0605490,"Bogus Elementary School District, California",469.0,,101.0,,06,05490
0637470,"South Fork Union School District, California",3389.0,,765.0,,06,37470
0641880,"Weaver Union Elementary School District, California",12658.0,,1171.0,,06,41880
0630840,"Planada Elementary School District, California",5042.0,,510.0,,06,30840
0620010,"Knights Ferry Elementary School District, California",498.0,,117.0,,06,20010
0631050,"Pleasant View Elementary School District, California",2475.0,,463.0,,06,31050
0608580,"Chualar Union Elementary School District, California",2555.0,,494.0,,06,08580
0620190,"La Habra City Elementary School District, California",52206.0,,958.0,,06,20190
0631680,"Raisin City Elementary School District, California",1669.0,,357.0,,06,31680
0614970,"Gazelle Union Elementary School District, California",232.0,,70.0,,06,14970
0607260,"Camptonville Elementary School District, California",504.0,,112.0,,06,07260
0638340,"Sundale Union Elementary School District, California",2659.0,,352.0,,06,38340
0629670,"Palo Verde Union Elementary School District, California",2667.0,,374.0,,06,29670
0609300,"Colfax Elementary School District, California",5411.0,,643.0,,06,09300
0616530,"Happy Camp Union Elementary School District, California",1000.0,,148.0,,06,16530
0633930,"Salinas City Elementary School District, California",80388.0,,1552.0,,06,33930
0640650,"Valle Lindo Elementary School District, California",7208.0,,531.0,,06,40650
0643380,"Yreka Union Elementary School District, California",9643.0,,279.0,,06,43380
0637650,"Southside Elementary School District, California",1669.0,,263.0,,06,37650
0618780,"Janesville Union Elementary School District, California",3603.0,,362.0,,06,18780
0619380,"Kentfield Elementary School District, California",12380.0,,544.0,,06,19380
0640320,"Union Elementary School District, California",46442.0,,1379.0,,06,40320
0632760,"Rio Elementary School District, California",42028.0,,1651.0,,06,32760
0633390,"Romoland Elementary School District, California",32771.0,,1585.0,,06,33390
0603270,"Arvin Union School District, California",21173.0,,115.0,,06,03270
0639600,"Traver Joint Elementary School District, California",1209.0,,208.0,,06,39600
0602100,"Alpine Union Elementary School District, California",19474.0,,1099.0,,06,02100
0641250,"Walnut Creek Elementary School District, California",51840.0,,1509.0,,06,41250
0637110,"Solvang Elementary School District, California",6020.0,,217.0,,06,37110
0615480,"Golden Feather Union Elementary School District, California",2744.0,,364.0,,06,15480
0609510,"Columbine Elementary School District, California",307.0,,82.0,,06,09510
0624540,"Menifee Union School District, California",92036.0,,1679.0,,06,24540
0620700,"Lakeside Joint Elementary School District, California",2674.0,,383.0,,06,20700
0629340,"Pacific Elementary School District, California",603.0,,149.0,,06,29340
0617760,"Howell Mountain Elementary School District, California",4298.0,,340.0,,06,17760
0637560,"South Whittier Elementary School District, California",29794.0,,1133.0,,06,37560
0608850,"Clay Joint Elementary School District, California",536.0,,151.0,,06,08850
0628470,"Ontario-Montclair School District, California",176298.0,,1285.0,,06,28470
0610740,"Del Mar Union Elementary School District, California",46664.0,,1695.0,,06,10740
0621330,"Lemon Grove Elementary School District, California",35993.0,,897.0,,06,21330
0624210,"McCloud Union Elementary School District, California",1299.0,,178.0,,06,24210
0632340,"Kashia Elementary School District, California",91.0,,48.0,,06,32340
0637290,"Soquel Elementary School District, California",27628.0,,1073.0,,06,37290
0610230,"Cuddeback Union Elementary School District, California",1197.0,,240.0,,06,10230
0612880,"Escondido Union Elementary School District, California",168827.0,,1412.0,,06,12880
0633210,"Roberts Ferry Union Elementary School District, California",635.0,,115.0,,06,33210
0606810,"Cajon Valley Union Elementary School District, California",170559.0,,2540.0,,06,06810
0607470,"Cardiff Elementary School District, California",11869.0,,585.0,,06,07470
0624330,"McKittrick Elementary School District, California",162.0,,52.0,,06,24330
0625980,"Mother Lode Union Elementary School District, California",15785.0,,1038.0,,06,25980
0620760,"Lakeside Union Elementary School District (Kings County), California",2655.0,,418.0,,06,20760
0635010,"San Miguel Joint Union Elementary School District, California",6811.0,,1088.0,,06,35010
0626820,"Nevada City Elementary School District, California",15790.0,,882.0,,06,26820
0625650,"Montgomery Elementary School District, California",875.0,,217.0,,06,25650
0629280,"Pacheco Union Elementary School District, California",9050.0,,740.0,,06,29280
0631860,"Ravenswood City Elementary School District, California",36052.0,,517.0,,06,31860
0616650,"Hart-Ransom Union Elementary School District, California",4293.0,,472.0,,06,16650
0608640,"Cienega Union Elementary School District, California",168.0,,57.0,,06,08640
0629540,"Palermo Union Elementary School District, California",7664.0,,743.0,,06,29540
0607350,"Canyon Elementary School District, California",171.0,,61.0,,06,07350
0637140,"Somis Union Elementary School District, California",3210.0,,373.0,,06,37140
0626460,"Mupu Elementary School District, California",1251.0,,198.0,,06,26460
0627040,"Mountain Union Elementary School District, California",1023.0,,226.0,,06,27040
0631470,"Portola Valley Elementary School District, California",6946.0,,309.0,,06,31470
0612750,"Encinitas Union Elementary School District, California",74456.0,,925.0,,06,12750
0603090,"Arena Union Elementary School District, California",3351.0,,383.0,,06,03090
0608340,"Chicago Park Elementary School District, California",1341.0,,189.0,,06,08340
0631920,"Raymond-Knowles Union Elementary School District, California",1173.0,,184.0,,06,31920
0642120,"Westside Union Elementary School District, California",73995.0,,2115.0,,06,42120
0607140,"Cambrian Elementary School District, California",30954.0,,1240.0,,06,07140
0607840,"Cayucos Elementary School District, California",2844.0,,361.0,,06,07840
0638550,"Susanville Elementary School District, California",9010.0,,582.0,,06,38550
0601680,"Ackerman Elementary School District, California",2783.0,,387.0,,06,01680
0615840,"Gravenstein Union Elementary School District, California",5620.0,,441.0,,06,15840
0634080,"San Ardo Union Elementary School District, California",812.0,,233.0,,06,34080
0630930,"Pleasant Ridge Union Elementary School District, California",20758.0,,813.0,,06,30930
0609240,"Coffee Creek Elementary School District, California",198.0,,76.0,,06,09240
0620040,"Knightsen Elementary School District, California",4258.0,,685.0,,06,20040
0635940,"Saucelito Elementary School District, California",250.0,,115.0,,06,35940
0642810,"Wilsona Elementary School District, California",9135.0,,689.0,,06,42810
0615810,"Gratton Elementary School District, California",647.0,,136.0,,06,15810
0606480,"Burlingame Elementary School District, California",31291.0,,258.0,,06,06480
0617340,"Hollister School District, California",46816.0,,602.0,,06,17340
0611910,"Eastside Union Elementary School District, California",24882.0,,1184.0,,06,11910
0642420,"Whitmore Union Elementary School District, California",760.0,,153.0,,06,42420
0627840,"Oak Grove Union Elementary School District, California",5611.0,,820.0,,06,27840
0634050,"San Antonio Union Elementary School District, California",2677.0,,1219.0,,06,34050
0640800,"Valley Home Joint Elementary School District, California",1617.0,,220.0,,06,40800
0603870,"Banta Elementary School District, California",4725.0,,532.0,,06,03870
0643140,"Woodside Elementary School District, California",3356.0,,289.0,,06,43140
0614010,"Forestville Union Elementary School District, California",7618.0,,483.0,,06,14010
0641130,"Vineland Elementary School District, California",4064.0,,485.0,,06,41130
0630390,"Pine Ridge Elementary School District, California",788.0,,128.0,,06,30390
0630870,"Plaza Elementary School District, California",376.0,,107.0,,06,30870
0619680,"King City Union Elementary School District, California",16931.0,,504.0,,06,19680
0605580,"Santa Maria-Bonita Elementary School District, California",106266.0,,1266.0,,06,05580
0623460,"Magnolia Union Elementary School District, California",120.0,,70.0,,06,23460
0634230,"San Bruno Park Elementary School District, California",38862.0,,592.0,,06,34230
0642270,"West Side Union Elementary School District, California",946.0,,213.0,,06,42270
0625410,"Monte Rio Union Elementary School District, California",2017.0,,285.0,,06,25410
0606360,"Buena Park Elementary School District, California",48927.0,,1673.0,,06,06360
0619410,"Kenwood Elementary School District, California",3856.0,,433.0,,06,19410
0619860,"Kirkwood Elementary School District, California",383.0,,113.0,,06,19860
0601980,"Allensworth Elementary School District, California",527.0,,125.0,,06,01980
0620250,"La Mesa-Spring Valley School District, California",138728.0,,2298.0,,06,20250
0605220,"Black Butte Union Elementary School District, California",4245.0,,364.0,,06,05220
0640260,"Two Rock Union Elementary School District, California",1728.0,,331.0,,06,40260
0618660,"Jacoby Creek Elementary School District, California",2990.0,,349.0,,06,18660
0619230,"Junction Elementary School District (Siskiyou County), California",273.0,,130.0,,06,19230
0617520,"Hope Elementary School District (Tulare County), California",985.0,,261.0,,06,17520
0611940,"Edison Elementary School District, California",6115.0,,1036.0,,06,11940
0615450,"Gold Trail Union Elementary School District, California",5826.0,,611.0,,06,15450
0606690,"Butteville Union Elementary School District, California",1755.0,,238.0,,06,06690
0609990,"Cottonwood Union Elementary School District, California",9043.0,,898.0,,06,09990
0615990,"Green Point Elementary School District, California",167.0,,62.0,,06,15990
0633240,"Robla Elementary School District, California",19684.0,,1136.0,,06,33240
0638130,"Strathmore Union Elementary School District, California",5163.0,,971.0,,06,38130
0639720,"Trinidad Union Elementary School District, California",1972.0,,241.0,,06,39720
0617880,"Hughes-Elizabeth Lakes Union Elementary School District, California",3819.0,,424.0,,06,17880
0635810,"Santa Rosa Elementary School District, California",75362.0,,1899.0,,06,35810
0623430,"Magnolia Elementary School District, California",66719.0,,1941.0,,06,23430
0618160,"Igo, Ono, Platina Union Elementary School District; California",889.0,,196.0,,06,18160
0621990,"Live Oak Elementary School District, California",24166.0,,1280.0,,06,21990
0604350,"Bella Vista Elementary School District, California",4282.0,,535.0,,06,04350
0619980,"Kneeland Elementary School District, California",407.0,,91.0,,06,19980
0612810,"Enterprise Elementary School District, California",33000.0,,955.0,,06,12810
0625500,"Montecito Union Elementary School District, California",5623.0,,492.0,,06,25500
0620310,"Lafayette Elementary School District, California",29754.0,,518.0,,06,20310
0627180,"Newhall Elementary School District, California",72741.0,,1271.0,,06,27180
0628320,"Old Adobe Union Elementary School District, California",26770.0,,919.0,,06,28320
0633270,"Rockford Elementary School District, California",1315.0,,256.0,,06,33270
0606330,"Buellton Union Elementary School District, California",6341.0,,509.0,,06,06330
0603480,"Auburn Union Elementary School District, California",35076.0,,1072.0,,06,03480
0621210,"Lawndale Elementary School District, California",48336.0,,973.0,,06,21210
0628950,"Oro Grande Elementary School District, California",1035.0,,216.0,,06,28950
0632430,"Richgrove Elementary School District, California",2942.0,,284.0,,06,32430
0616680,"Hawthorne Elementary School District, California",74939.0,,973.0,,06,16680
0624570,"Menlo Park City Elementary School District, California",27831.0,,759.0,,06,24570
0639180,"Thermalito Union School District, California",12701.0,,706.0,,06,39180
0636570,"Shasta Union Elementary School District, California",2267.0,,315.0,,06,36570
0602160,"Alta Loma Elementary School District, California",55244.0,,1272.0,,06,02160
0639690,"Tres Pinos Union Elementary School District, California",960.0,,166.0,,06,39690
0631350,"Pond Union Elementary School District, California",550.0,,163.0,,06,31350
0616830,"Heber Elementary School District, California",7891.0,,941.0,,06,16830
0603000,"Arcata Elementary School District, California",15219.0,,590.0,,06,03000
0606100,"Browns Elementary School District, California",934.0,,165.0,,06,06100
0617850,"Hueneme Elementary School District, California",58569.0,,1629.0,,06,17850
0621090,"Lassen View Union Elementary School District, California",2949.0,,340.0,,06,21090
0622650,"Los Altos Elementary School District, California",44280.0,,855.0,,06,22650
0623760,"Maple Elementary School District, California",548.0,,133.0,,06,23760
0607680,"Cascade Union Elementary School District, California",15690.0,,770.0,,06,07680
0636000,"Sausalito Elementary School District, California",11237.0,,441.0,,06,36000
0630990,"Pleasant Valley Elementary School District, California",77957.0,,738.0,,06,30990
0602360,"Alview-Dairyland Union Elementary School District, California",1651.0,,314.0,,06,02360
0620880,"Lancaster Elementary School District, California",113212.0,,1653.0,,06,20880
0642060,"West Park Elementary School District, California",1643.0,,326.0,,06,42060
0604500,"Belleview Elementary School District, California",1695.0,,265.0,,06,04500
0610320,"Curtis Creek Elementary School District, California",9583.0,,792.0,,06,10320
0609450,"Columbia Elementary School District, California",9292.0,,549.0,,06,09450
0619170,"Junction City Elementary School District, California",713.0,,134.0,,06,19170
0630480,"Pioneer Union Elementary School District (El Dorado County), California",5233.0,,512.0,,06,30480
0623130,"Luther Burbank Elementary School District, California",3955.0,,427.0,,06,23130
0626430,"Mulberry Elementary School District, California",123.0,,70.0,,06,26430
0604650,"Bennett Valley Union Elementary School District, California",8926.0,,657.0,,06,04650
0605400,"Blue Lake Union Elementary School District, California",2253.0,,255.0,,06,05400
0612030,"El Centro Elementary School District, California",40136.0,,954.0,,06,12030
0638040,"Stone Corral Elementary School District, California",877.0,,287.0,,06,38040
0613710,"Feather Falls Union Elementary School District, California",323.0,,66.0,,06,13710
0603060,"Arcohe Union Elementary School District, California",4135.0,,462.0,,06,03060
0626190,"Mountain View Elementary School District (Los Angeles County), California",58196.0,,1680.0,,06,26190
0632400,"Richfield Elementary School District, California",1316.0,,373.0,,06,32400
0637380,"South Bay Union School District, California",81529.0,,1698.0,,06,37380
0642450,"Whittier City Elementary School District, California",68169.0,,1505.0,,06,42450
0629580,"Palmdale Elementary School District, California",133630.0,,1439.0,,06,29580
0624300,"McKinleyville Union Elementary School District, California",16787.0,,925.0,,06,24300
0602220,"Alta Vista Elementary School District, California",3286.0,,560.0,,06,02220
0603750,"Ballico-Cressey Elementary School District, California",1975.0,,270.0,,06,03750
0624780,"Midway Elementary School District, California",453.0,,97.0,,06,24780
0625290,"Monroe Elementary School District, California",1158.0,,326.0,,06,25290
0636100,"Scotia Union Elementary School District, California",994.0,,247.0,,06,36100
0623800,"Marcum-Illinois Union Elementary School District, California",986.0,,149.0,,06,23800
0627900,"Oak Valley Union Elementary School District, California",1602.0,,232.0,,06,27900
0619890,"Kit Carson Union Elementary School District, California",2258.0,,348.0,,06,19890
0631180,"Plumas Lake Elementary School District, California",7730.0,,907.0,,06,31180
0629790,"Paradise Elementary School District, California",783.0,,164.0,,06,29790
0626130,"Mountain House Elementary School District, California",295.0,,139.0,,06,26130
0632730,"Rio Dell Elementary School District, California",3422.0,,42.0,,06,32730
0602760,"Antelope Elementary School District, California",5675.0,,673.0,,06,02760
0633570,"Rosemead Elementary School District, California",26532.0,,1127.0,,06,33570
0616080,"Greenfield Union Elementary School District, California",18516.0,,520.0,,06,16080
0606060,"Brisbane Elementary School District, California",8747.0,,506.0,,06,06060
0621930,"Little Lake City Elementary School District, California",36659.0,,1291.0,,06,21930
0631380,"Pope Valley Union Elementary School District, California",787.0,,163.0,,06,31380
0621900,"Linns Valley-Poso Flat Union School District, California",682.0,,205.0,,06,21900
0605790,"Brawley Elementary School District, California",26794.0,,190.0,,06,05790
0637890,"Standard Elementary School District, California",24569.0,,1509.0,,06,37890
0627810,"Oak Grove Elementary School District, California",114057.0,,2116.0,,06,27810
0628710,"Orcutt Union Elementary School District, California",36979.0,,1447.0,,06,28710
0608250,"Chatom Union Elementary School District, California",3537.0,,694.0,,06,08250
0617640,"Hot Springs Elementary School District, California",253.0,,83.0,,06,17640
0620520,"Lagunitas Elementary School District, California",3301.0,,381.0,,06,20520
0699999,"Remainder of California, California",28326982.0,,11329.0,,06,99999
0636180,"Sebastopol Union Elementary School District, California",12890.0,,698.0,,06,36180
0624360,"McSwain Union Elementary School District, California",5731.0,,735.0,,06,24360
0614940,"Garvey Elementary School District, California",53106.0,,1601.0,,06,14940
0609330,"College Elementary School District, California",5714.0,,688.0,,06,09330
0622830,"Los Gatos Union Elementary School District, California",28326.0,,813.0,,06,22830
0615600,"Gorman Elementary School District, California",51.0,,20.0,,06,15600
0611130,"Di Giorgio Elementary School District, California",1123.0,,250.0,,06,11130
0618730,"Jamul-Dulzura Union Elementary School District, California",8242.0,,820.0,,06,18730
0641820,"Waukena Joint Union Elementary School District, California",968.0,,172.0,,06,41820
0626670,"National Elementary School District, California",59181.0,,949.0,,06,26670
0635490,"Santa Clara Elementary School District, California",118.0,,64.0,,06,35490
0622170,"Livingston Union School District, California",17103.0,,459.0,,06,22170
0631830,"Ravendale-Termo Elementary School District, California",93.0,,44.0,,06,31830
0619620,"Keyes Union Elementary School District, California",6433.0,,881.0,,06,19620
0620490,"Lagunita Elementary School District, California",292.0,,117.0,,06,20490
0603630,"Bakersfield City School District, California",196616.0,,3107.0,,06,03630
0625350,"Monson-Sultana Joint Union Elementary School District, California",2708.0,,544.0,,06,25350
0630900,"Pleasant Grove Joint Union Elementary School District, California",741.0,,117.0,,06,30900
0631980,"Red Bluff Union Elementary School District, California",20687.0,,820.0,,06,31980
0620730,"Lakeside Union School District, California",11736.0,,2012.0,,06,20730
0635090,"San Rafael City Elementary School District, California",54676.0,,1049.0,,06,35090
0616320,"Guerneville Elementary School District, California",5515.0,,605.0,,06,16320
0628860,"Orinda Union Elementary School District, California",19385.0,,110.0,,06,28860
0618240,"Indian Diggings Elementary School District, California",145.0,,57.0,,06,18240
0607770,"Castle Rock Union Elementary School District, California",277.0,,63.0,,06,07770
0639210,"Three Rivers Union Elementary School District, California",2432.0,,332.0,,06,39210
0641400,"Wasco Union Elementary School District, California",27165.0,,233.0,,06,41400
0614370,"Franklin-McKinley Elementary School District, California",93387.0,,1762.0,,06,14370
0615690,"Grant Elementary School District, California",2646.0,,284.0,,06,15690
0617040,"Hermosa Beach City Elementary School District, California",19650.0,,36.0,,06,17040
0611610,"Dunham Elementary School District, California",904.0,,207.0,,06,11610
0611670,"Dunsmuir Elementary School District, California",1837.0,,166.0,,06,11670
0627300,"Nicasio Elementary School District, California",704.0,,111.0,,06,27300
0632520,"Richmond Elementary School District, California",1131.0,,180.0,,06,32520
0606030,"Briggs Elementary School District, California",3640.0,,573.0,,06,06030
0611430,"Douglas City Elementary School District, California",651.0,,162.0,,06,11430
0632160,"Reed Union Elementary School District, California",14642.0,,662.0,,06,32160
0613290,"Fairfax Elementary School District, California",14734.0,,1280.0,,06,13290
0610290,"Cupertino Union Elementary School District, California",143566.0,,1623.0,,06,10290
0613980,"Foresthill Union Elementary School District, California",6800.0,,895.0,,06,13980
0635220,"San Ysidro Elementary School District, California",42730.0,,2033.0,,06,35220
0619770,"Kings River-Hardwick Union Elementary School District, California",2054.0,,374.0,,06,19770
0615000,"General Shafter Elementary School District, California",1061.0,,293.0,,06,15000
0616300,"Cucamonga Elementary School District, California",30105.0,,1336.0,,06,16300
0628830,"Orick Elementary School District, California",324.0,,115.0,,06,28830
