id,date,time,shift,reporting_personnel,number_assisting,location
201800195,11/29/18,1745,EVES,"THOMAS, R",,CELL
201800200,12/2/18,1030,DAYS,"VARELA, L",4,"SALLYPORT"
201800203,12/3/18,2030,EVES,"WALKER, K",2,CELL
201800204,12/8/18,525,NITE,"PINA, F",3,"SALLYPORT"
201800206,12/12/18,1930,EVES,"THOMAS, R",1,"BOOKINGAREA"
201800207,12/15/18,235,NITE,"PINA, F",5,"BOOKINGAREA"
201800208,12/19/18,530,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800213,12/21/18,1735,EVES,"HO, T",5,"BOOKINGAREA"
201800214,12/22/18,2245,NITE,"VILLEGAS, L",,"BOOKINGAREA"
201800215,12/25/18,545,NITE,"BETANCOURT, L",2,CELL
201800216,12/25/18,1855,EVES,"CORTES, A",3,"BOOKINGAREA"
201800217,12/26/18,1545,EVES,"THOMAS, R",1,CELL
201800218,12/27/18,1530,EVES,"OROZCO, C",1,
201800219,12/28/18,1600,EVES,"HO, T",4,"BOOKINGAREA"
201800220,12/28/18,1915,EVES,"HO, T",3,"SALLYPORT"
201800221,12/29/18,1925,EVES,"HERRERA, M",2,"AFISROOM"
201800222,12/29/18,2105,EVES,"HERRERA, M",,CELL
201800223,12/29/18,2315,NITE,"PINA, F",5,"BOOKINGAREA"
201800224,12/31/18,5,NITE,"PINA, F",3,"BOOKINGAREA"
201900004,1/4/19,2125,EVES,"WALKER, K",3,"BOOKINGAREA"
201900005,1/6/19,115,NITE,"PINA, F",,CELL
201900006,1/6/19,655,DAYS,"WINGERSON, B",2,"BOOKINGAREA"
201900007,1/7/19,2110,EVES,"WALKER, K",3,CELL
201900009,1/9/19,1635,EVES,"WADE, K",2,"BOOKINGAREA"
201900010,1/11/19,720,DAYS,"VARELA, L",2,"AFISROOM"
201900011,1/12/19,1750,EVES,"HERRERA, M",2,CELL
201900012,1/16/19,5,NITE,"HO, T",3,"BOOKINGAREA"
201900013,1/17/19,51,NITE,"VALDEZ, G",7,"SALLYPORT"
201900014,1/17/19,147,NITE,"VALDEZ, G",3,"BOOKINGAREA"
201900015,1/17/19,1115,DAYS,"RICE, L",,
201900016,1/19/19,310,NITE,"HO, T",3,"SALLYPORT"
201900017,1/19/19,425,NITE,"HO, T",3,"SALLYPORT"
201900018,1/25/19,2118,EVES,"HERRERA, M",3,CELL
201900019,1/26/19,1200,NITE,"BETANCOURT, L",5,"BOOKINGAREA"
201900020,1/26/19,1625,EVES,"CORTES, A",2,CELL
201900022,1/26/19,1800,EVES,"CORTES, A",,CELL
201900023,1/29/19,1555,EVES,"CORTES, A",4,"SALLYPORT"
201900024,2/1/19,300,NITE,"ADAME, R",5,"BOOKINGAREA"
201900027,2/3/19,435,NITE,"HO, T",,CELL
201900028,2/5/19,1930,EVES,"WADE, K",4,CELL
201900030,2/6/19,1854,EVES,"OROZCO, C",6,"SALLYPORT"
201900031,2/7/19,1315,DAYS,"RICE, L",2,CELL
201900032,2/7/19,1545,EVES,"THOMAS, R",3,
201900033,2/7/19,2140,EVES,"HERRERA, M",2,CELL
201900034,2/8/19,2241,NITE,"BETANCOURT, L",2,CELL
201900035,2/8/19,2230,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201900036,2/8/19,1653,NITE,"BETANCOURT, L",2,"SALLYPORT"
201900037,2/8/19,1633,EVES,"BETANCOURT, L",3,"BOOKINGAREA"
201900038,2/9/19,250,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
201900040,2/9/19,200,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
201900041,2/12/19,100,NITE,"BETANCOURT, L",1,"BOOKINGAREA"
201900042,2/12/19,1944,EVES,"CORTES, A",2,"AFISROOM"
201900046,2/18/19,1800,EVES,"WADE, K",2,CELL
201900048,2/19/19,20,NITE,"HO, T",4,CELL
201900049,2/19/19,1620,EVES,"CORTES, A",1,"BOOKINGAREA"
201900050,2/20/19,1745,EVES,"OROZCO, C",3,"BOOKINGAREA"
201900052,2/21/19,320,NITE,"ADAME, R",3,CELL
201900053,2/21/19,1400,EVES,"OROZCO, C",3,"BOOKINGAREA"
201900054,2/21/19,1640,EVES,"OROZCO, C",3,"SALLYPORT"
201900056,2/22/19,700,DAYS,"MARROQUIN, J",,"BOOKINGAREA"
201900058,2/23/19,2300,NITE,"PINA, F",6,"SALLYPORT"
201900059,2/23/19,1930,EVES,"WADE, K",3,"SALLYPORT"
201900061,2/24/19,330,NITE,"VILLEGAS, L",3,"AFISROOM"
201900063,2/24/19,2055,EVES,"CROWDER, R",4,"SALLYPORT"
201900065,2/25/19,1545,EVES,"CROWDER, R",3,CELL
201900066,2/25/19,2145,EVES,"CROWDER, R",4,CELL
201900068,2/27/19,1515,EVES,"THOMAS, R",2,"BOOKINGAREA"
201900069,2/28/19,5,NITE,"PINA, F",5,
201900071,2/28/19,2140,EVES,"HERRERA, M",2,CELL
201900072,2/28/19,2049,EVES,"HERRERA, M",4,"SALLYPORT"
201900074,3/1/19,2110,EVES,"HERRERA, M",2,CELL
201900075,3/4/19,1250,DAYS,"SALAZAR, S",6,"BOOKINGAREA"
201900077,3/4/19,1630,EVES,"CROWDER, R",4,CELL
201900078,3/6/19,1715,EVES,"HERRERA, M",1,CELL
201900079,3/7/19,955,DAYS,"RICE, L",4,CELL
201900080,3/8/19,1800,EVES,"CORTES, A",2,CELL
201900081,3/8/19,2120,EVES,"CORTES, A",1,"SALLYPORT"
201900082,3/9/19,120,NITE,"HO, T",2,"AFISROOM"
201900083,3/9/19,1645,EVES,"CROWDER, R",3,"BOOKINGAREA"
201900084,3/12/19,525,NITE,"VARELA, L",2,CELL
201900098,4/1/19,1700,EVES,"HERRERA, M",3,CELL
201900100,4/6/19,2048,EVES,"HERRERA, M",3,CELL
201900101,4/7/19,350,NITE,"HO, T",2,CELL
201900102,4/7/19,1240,DAYS,"MARROQUIN, J",4,CELL
201900119,4/23/19,2050,EVES,"WADE, K",3,"SALLYPORT"
201900120,4/24/19,840,DAYS,"RICE, L",3,"SALLYPORT"
201900121,4/24/19,1630,EVES,"THOMAS, R",5,"BOOKINGAREA"
201900122,4/24/19,1750,EVES,"THOMAS, R",2,CELL
201900124,4/30/19,2050,EVES,"WADE, K",3,CELL
201900125,5/1/19,50,NITE,"HO, T",4,"AFISROOM"
201900126,5/1/19,2030,EVES,"TEEL, S",3,
201900129,5/2/19,1830,EVES,"THOMAS, R",2,CELL
201900130,5/3/19,2030,EVES,"HERRERA, M",3,"SALLYPORT"
201900131,5/4/19,1905,EVES,"WADE, K",3,"SALLYPORT"
201900132,5/5/19,540,NITE,"BETANCOURT, L",3,CELL
201900133,5/5/19,2045,EVES,"TEEL, S",2,"SALLYPORT"
201900134,5/6/19,1445,EVES,"CROWDER, R",4,"BOOKINGAREA"
201900136,5/7/19,515,NITE,"HO, T",2,CELL
201900137,5/9/19,1545,EVES,"CROWDER, R",2,CELL
201900138,5/9/19,1740,EVES,"THOMAS, R",3,"BOOKINGAREA"
201900139,5/9/19,1955,EVES,"THOMAS, R",2,CELL
201900140,5/10/19,330,NITE,"BETANCOURT, L",2,CELL
201900141,5/14/19,135,NITE,"HO, T",4,"BOOKINGAREA"
201900142,5/14/19,415,EVES,"CORTES, A",,"BOOKINGAREA"
201900143,5/18/19,1030,DAYS,"WHITEHEAD, R",5,"SALLYPORT"
201900144,5/22/19,1800,EVES,"TEEL, S",3,CELL
201900145,5/22/19,1840,EVES,"TEEL, S",2,"SALLYPORT"
201900148,5/24/19,330,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
201900149,5/24/19,1709,EVES,"HERRERA, M",,CELL
201900150,5/25/19,1450,EVES,"HERRERA, M",,"SALLYPORT"
201900151,5/26/19,140,NITE,"HO, T",4,"BOOKINGAREA"
201900152,5/29/19,1930,EVES,"OROZCO, C",2,CELL
201900153,5/30/19,1700,EVES,"HERRERA, M",3,"SALLYPORT"
201900169,6/11/19,2138,EVES,"CORTES, A",,"SALLYPORT"
201900170,6/12/19,831,DAYS,"WHITEHEAD, R",1,
201900171,6/13/19,110,NITE,"VILLEGAS, L",3,CELL
201900172,6/14/19,201,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201900173,6/14/19,1720,EVES,"HERRERA, M",2,CELL
201900174,6/15/19,315,NITE,"BETANCOURT, L",2,"AFISROOM"
201900176,6/15/19,1600,EVES,"WALKER, K",2,CELL
201900177,6/16/19,1335,DAYS,"HERRERA, M",2,CELL
201900178,6/17/19,200,NITE,"VILLEGAS, L",2,"AFISROOM"
201900179,6/18/19,1430,EVES,"WADE, K",2,"SALLYPORT"
201900180,6/19/19,1717,EVES,"THOMAS, R",2,CELL
201900181,6/19/19,2030,EVES,"THOMAS, R",1,CELL
201900182,6/20/19,2355,NITE,"PINA, F",5,"BOOKINGAREA"
201900184,6/22/19,1735,EVES,"THOMAS, R",2,CELL
201900186,6/24/19,2150,NITE,"PINA, F",4,"SALLYPORT"
201900187,6/28/19,450,NITE,"BETANCOURT, L",1,"SALLYPORT"
201900188,6/28/19,1245,DAYS,"BURDEN, D",7,"BOOKINGAREA"
201900190,7/2/19,110,NITE,"VILLEGAS, L",3,CELL
201900191,7/3/19,0,NITE,"VALDEZ, G",3,"BOOKINGAREA"
201900193,7/3/19,145,NITE,"VALDEZ, G",3,"SALLYPORT"
201900196,7/3/19,1510,EVES,"THOMAS, R",4,"SALLYPORT"
201900197,7/4/19,700,DAYS,"RICE, L",3,CELL
201900198,7/7/19,1020,DAYS,"RIFE, C",3,"BOOKINGAREA"
201900199,7/10/19,30,NITE,"ADAME, R",3,"BOOKINGAREA"
201900200,7/11/19,1600,EVES,"CROWDER, R",4,CELL
201900201,7/13/19,510,NITE,"MARROQUIN, J",2,CELL
201900202,7/13/19,2225,NITE,"HO, T",3,"BOOKINGAREA"
201900203,7/16/19,2115,EVES,"RHODES, R",5,"SALLYPORT"
201900204,7/19/19,28,NITE,"MARROQUIN, J",3,"BOOKINGAREA"
201900205,7/19/19,1050,DAYS,"BURDEN, D",6,"SALLYPORT"
201900207,7/22/19,1533,EVES,"HERRERA, M",2,CELL
201900208,7/23/19,1430,EVES,"RHODES, R",2,CELL
201900209,7/23/19,1715,EVES,"RHODES, R",2,CELL
201900212,7/28/19,250,NITE,"HO, T",3,"BOOKINGAREA"
201900214,7/29/19,1447,EVES,"CORTES, A",2,CELL
201900215,7/30/19,1,NITE,"VILLEGAS, L",5,CELL
201900217,7/30/19,2145,EVES,"ADAME, R",4,"SALLYPORT"
201900218,8/3/19,2000,EVES,"WADE, K",6,"SALLYPORT"
201900219,8/3/19,2300,NITE,"HO, T",3,"BOOKINGAREA"
201900220,8/4/19,415,NITE,"HO, T",3,"BOOKINGAREA"
201900221,8/6/19,2102,EVES,"OROZCO, C",,"SALLYPORT"
201900223,8/7/19,1420,EVES,"THOMAS, R",2,CELL
201900225,8/9/19,11,NITE,"BETANCOURT, L",3,"SALLYPORT"
201900226,8/10/19,145,NITE,"MARROQUIN, J",4,"AFISROOM"
201900227,8/10/19,1720,EVES,"CORTES, A",2,CELL
201900230,8/15/19,200,NITE,"VILLEGAS, L",,CELL
201900231,8/18/19,140,NITE,"HO, T",3,"BOOKINGAREA"
201900234,8/20/19,1100,DAYS,"WINGERSON, B",3,"BOOKINGAREA"
201900235,8/20/19,2130,EVES,"WALKER, K",2,"SALLYPORT"
201900236,8/21/19,140,NITE,"PINA, F",,CELL
201900237,8/22/19,120,NITE,"PINA, F",2,"BOOKINGAREA"
201900238,8/22/19,2150,EVES,"HERRERA, M",3,CELL
201900239,8/25/19,245,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201900240,8/26/19,1050,DAYS,"PINA, F",4,"AFISROOM"
201900242,8/28/19,515,NITE,"PINA, F",4,"BOOKINGAREA"
201900243,8/29/19,1840,EVES,"CROWDER, R",3,CELL
201900244,8/29/19,2200,NITE,"PINA, F",5,CELL
201900246,8/30/19,210,NITE,"PINA, F",7,"JUVENILEHOLDINGAREA"
201900247,8/30/19,930,DAYS,"PINA, F",4,"SALLYPORT"
201900248,8/31/19,1125,NITE,"HO, T",4,"SALLYPORT"
201900249,8/31/19,555,NITE,"PINA, F",3,"SALLYPORT"
201900250,8/31/19,1718,EVES,"WALKER, K",2,CELL
201900251,9/3/19,750,DAYS,"BETANCOURT, L",3,CELL
201900252,9/4/19,1526,EVES,"OROZCO, C",3,
201900253,9/7/19,1946,EVES,"HERRERA, M",3,CELL
201900254,9/8/19,520,NITE,"BETANCOURT, L",,CELL
201900255,9/9/19,2315,NITE,"HO, T",2,"BOOKINGAREA"
201900256,9/10/19,1840,EVES,"CORTES, A",3,CELL
201900257,9/11/19,150,NITE,"ADAME, R",3,"AFISROOM"
201900259,9/13/19,2230,NITE,"HO, T",5,"BOOKINGAREA"
201900260,9/14/19,850,DAYS,"WHITEHEAD, R",3,
201900261,9/14/19,2320,NITE,"HO, T",3,CELL
201900262,9/15/19,50,NITE,"HO, T",4,"SALLYPORT"
201900263,9/16/19,1,NITE,"VILLEGAS, L",2,"BOOKINGAREA"
201900264,9/16/19,2030,EVES,"CORTES, A",3,CELL
201900265,9/16/19,2200,NITE,"PINA, F",1,CELL
201900267,9/17/19,120,NITE,"PINA, F",3,"AFISROOM"
201900269,9/17/19,340,NITE,"PINA, F",3,CELL
201900270,9/18/19,2200,EVES,"PINA, F",3,
201900274,9/19/19,0,NITE,"MARROQUIN, J",3,CELL
201900276,9/19/19,315,NITE,"MARROQUIN, J",4,"BOOKINGAREA"
201900278,9/20/19,1920,EVES,"WALKER, K",2,"SALLYPORT"
201900279,9/22/19,120,NITE,"BETANCOURT, L",,"SALLYPORT"
201900283,9/27/19,40,NITE,"MARROQUIN, J",3,CELL
201900285,9/28/19,30,NITE,"BETANCOURT, L",4,CELL
201900287,9/29/19,1940,EVES,"WADE, K",5,"SALLYPORT"
201900289,10/3/19,1,NITE,"VILLEGAS, L",,"BOOKINGAREA"
201900290,10/5/19,230,NITE,"MARROQUIN, J",6,"AFISROOM"
201900293,10/8/19,1720,EVES,"WADE, K",7,"SALLYPORT"
201900294,10/12/19,1641,EVES,"RHODES, R",1,CELL
201900299,10/17/19,1415,EVES,"HERRERA, M",2,"BOOKINGAREA"
201900303,10/19/19,1450,EVES,"WADE, K",4,"BOOKINGAREA"
201900304,10/19/19,110,NITE,"HO, T",2,"BOOKINGAREA"
201900308,10/23/19,430,NITE,"HO, T",2,"SALLYPORT"
201900309,10/23/19,1605,EVES,"WADE, K",2,CELL
201900311,10/25/19,2340,NITE,"MARROQUIN, J",3,"SALLYPORT"
201900313,10/26/19,110,NITE,"MARROQUIN, J",3,CELL
201900314,10/26/19,2155,EVES,"WALKER, K",2,"SALLYPORT"
201900316,10/31/19,340,NITE,"PINA, F",3,CELL
201900317,11/3/19,2345,NITE,"BETANCOURT, L",3,"SALLYPORT"
201900320,11/5/19,1941,EVES,"TEEL, S",2,CELL
201900321,11/5/19,2043,EVES,"TEEL, S",3,CELL
201900326,11/7/19,1730,EVES,"THOMAS, R",3,"BOOKINGAREA"
201900329,11/9/19,1715,EVES,"HERRERA, M",2,"BOOKINGAREA"
201900330,11/10/19,2200,EVES,"WADE, K",2,CELL
201900332,11/10/19,2200,NITE,"ADAME, R",3,
201900337,11/22/19,2145,EVES,"WALKER, K",4,CELL
201900338,11/22/19,1930,EVES,"WALKER, K",3,"BOOKINGAREA"
201900341,11/25/19,1100,DAYS,"SALAZAR, S",3,"BOOKINGAREA"
201900347,11/26/19,500,NITE,"PINA, F",5,CELL
201900355,12/1/19,1915,EVES,"WALKER, K",4,"SALLYPORT"
201900358,12/3/19,152,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
201900359,12/4/19,232,NITE,"HO, T",1,"BOOKINGAREA"
201900361,12/11/19,650,DAYS,"RICE, L",4,
201900362,12/11/19,1406,EVES,"OROZCO, C",2,CELL
201900364,12/12/19,2035,EVES,"CROWDER, R",4,CELL
201900373,12/29/19,1630,EVES,"THOMAS, R",6,"SALLYPORT"
202000004,1/2/20,25,NITE,"MARROQUIN, J",4,CELL
202000005,1/3/20,338,NITE,"BETANCOURT, L",2,CELL
202000006,1/4/20,400,NITE,"MARROQUIN, J",3,"BOOKINGAREA"
202000007,1/4/20,605,DAYS,"RICE, L",2,CELL
202000009,1/5/20,235,NITE,"BETANCOURT, L",,"BOOKINGAREA"
202000010,1/6/20,350,NITE,"MARROQUIN, J",7,"SALLYPORT"
202000013,1/8/20,1738,EVES,"MOODY, P",2,"AFISROOM"
202000017,1/13/20,230,NITE,"BETANCOURT, L",2,"SALLYPORT"
202000020,1/19/20,1600,NITE,"WALKER, K",5,"SALLYPORT"
202000021,1/20/20,10,NITE,"VALDEZ, G",,CELL
202000022,1/21/20,230,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202000025,1/26/20,750,DAYS,"WHITEHEAD, R",2,CELL
202000028,2/1/20,415,NITE,"HERRERA, M",2,CELL
202000029,2/2/20,1045,DAYS,"WINGERSON, B",4,"SALLYPORT"
202000032,2/9/20,239,NITE,"HERRERA, M",4,"SALLYPORT"
202000033,2/9/20,315,NITE,"BETANCOURT, L",2,CELL
202000040,2/11/20,2205,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202000041,2/12/20,430,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
202000042,2/12/20,900,DAYS,"WHITEHEAD, R",2,
202000053,2/23/20,2125,NITE,"HERRERA, M",4,CELL
202000056,2/25/20,1350,EVES,"THOMAS, R",3,
202000060,3/1/20,1710,EVES,"WADE, K",2,CELL
202000062,3/2/20,1555,EVES,"HO, T",2,CELL
202000065,3/8/20,415,NITE,"MARROQUIN, J",4,"BOOKINGAREA"
202000067,3/11/20,300,NITE,"PINA, F",,"SALLYPORT"
202000070,3/18/20,1525,EVES,"WADE, K",2,"BOOKINGAREA"
202000071,3/19/20,1710,EVES,"OROZCO, C",2,CELL
202000072,3/20/20,2248,NITE,"ADAME, R",3,"BOOKINGAREA"
202000074,3/24/20,2300,NITE,"BETANCOURT, L",2,
202000076,3/26/20,230,NITE,"MARROQUIN, J",3,"SALLYPORT"
202000077,3/30/20,1645,EVES,"HO, T",3,"SALLYPORT"
202000080,4/4/20,2120,EVES,"HO, T",3,"SALLYPORT"
202000081,4/10/20,2000,EVES,"HO, T",3,"SALLYPORT"
202000083,4/12/20,147,NITE,"BETANCOURT, L",2,"SALLYPORT"
202000084,4/12/20,840,DAYS,"WHITEHEAD, R",6,CELL
202000087,4/17/20,40,NITE,"MARROQUIN, J",3,CELL
202000089,4/18/20,2050,EVES,"HO, T",3,"SALLYPORT"
202000094,4/21/20,1120,DAYS,"BURDEN, D",2,"SALLYPORT"
202000098,4/29/20,215,NITE,"ADAME, R",3,"BOOKINGAREA"
202000099,4/29/20,800,DAYS,"WINGERSON, B",3,"SALLYPORT"
202000100,5/3/20,1230,DAYS,"WHITEHEAD, R",2,"BOOKINGAREA"
202000103,5/14/20,20,NITE,"MARROQUIN, J",5,CELL
202000104,5/14/20,1950,EVES,"OROZCO, C",3,CELL
202000105,5/15/20,50,NITE,"HERRERA, M",2,"SALLYPORT"
202000106,5/16/20,255,NITE,"MARROQUIN, J",5,"SALLYPORT"
202000112,5/20/20,320,NITE,"MARROQUIN, J",3,"DWIROOM"
202000113,5/20/20,405,NITE,"MARROQUIN, J",4,CELL
202000116,5/21/20,145,NITE,"PINA, F",5,"BOOKINGAREA"
202000118,5/21/20,2040,EVES,"OROZCO, C",3,"SALLYPORT"
202000122,5/24/20,1312,DAYS,"THOMAS, R",3,"SALLYPORT"
202000124,5/24/20,1703,EVES,"ANTOS, M",1,CELL
202000125,5/24/20,1834,EVES,"ANTOS, M",5,"SALLYPORT"
202000126,5/24/20,1835,EVES,"ANTOS, M",5,"SALLYPORT"
202000127,5/26/20,50,NITE,"BETANCOURT, L",,"BOOKINGAREA"
202000128,5/28/20,1730,EVES,"MOODY, P",,CELL
202000130,5/29/20,1749,EVES,"ANTOS, M",3,
202000151,6/6/20,2310,NITE,"MARROQUIN, J",5,"SALLYPORT"
202000153,6/9/20,1150,DAYS,"CLARKE, T",1,"BOOKINGAREA"
202000156,6/9/20,2220,NITE,"PINA, F",,"BOOKINGAREA"
202000157,6/10/20,430,NITE,"PINA, F",2,CELL
202000158,6/10/20,620,DAYS,"CLARKE, T",4,"SALLYPORT"
202000159,6/10/20,1222,DAYS,"CLARKE, T",3,CELL
202000160,6/10/20,2110,EVES,"RHODES, R",3,"SALLYPORT"
202000162,6/12/20,240,NITE,"WALKER, K",3,"BOOKINGAREA"
202000175,6/17/20,430,NITE,"PINA, F",,
202000176,6/17/20,1946,EVES,"RHODES, R",3,CELL
202000178,6/20/20,230,NITE,"CORTES, A",5,CELL
202000179,6/21/20,2350,NITE,"TEEL, S",3,CELL
202000180,6/24/20,1800,EVES,"RHODES, R",3,"SALLYPORT"
202000181,6/25/20,400,NITE,"PINA, F",6,"SALLYPORT"
202000184,7/1/20,2300,NITE,"PINA, F",,"SALLYPORT"
202000186,7/2/20,141,NITE,"MARROQUIN, J",5,"BOOKINGAREA"
202000188,7/3/20,330,NITE,"MARROQUIN, J",3,"BOOKINGAREA"
202000189,7/3/20,505,NITE,"HERRERA, M",1,CELL
202000190,7/5/20,1200,DAYS,"WHITEHEAD, R",2,CELL
202000201,7/9/20,1345,DAYS,"RIFE, C",3,"SALLYPORT"
202000202,7/10/20,2300,NITE,"MARROQUIN, J",2,"BOOKINGAREA"
202000203,7/11/20,100,NITE,"MARROQUIN, J",2,"BOOKINGAREA"
202000207,7/14/20,225,NITE,"MARROQUIN, J",,"BOOKINGAREA"
202000210,7/22/20,120,NITE,"TEEL, S",2,
202000211,7/25/20,520,NITE,"MARROQUIN, J",2,"BOOKINGAREA"
202000213,7/29/20,2320,NITE,"MARROQUIN, J",3,"BOOKINGAREA"
202000214,7/31/20,430,NITE,"VILLEGAS, L",2,"AFISROOM"
202000215,7/31/20,2015,EVES,"CLARKE, T",2,CELL
202000217,8/3/20,32,NITE,"ANTOS, M",4,"BOOKINGAREA"
202000221,8/16/20,551,NITE,"ANTOS, M",2,CELL
202000223,8/18/20,1255,NITE,"ANTOS, M",2,"BOOKINGAREA"
202000224,8/23/20,40,NITE,"MARROQUIN, J",3,"SALLYPORT"
202000225,8/23/20,100,NITE,"MARROQUIN, J",3,"SALLYPORT"
202000228,8/30/20,15,NITE,"MARROQUIN, J",4,"BOOKINGAREA"
202000230,8/30/20,2045,EVES,"HO, T",2,"BOOKINGAREA"
202000234,9/5/20,300,NITE,"BETANCOURT, L",2,"SALLYPORT"
202000238,9/5/20,2349,NITE,"ANTOS, M",2,"BOOKINGAREA"
202000240,9/6/20,411,NITE,"ANTOS, M",1,"BOOKINGAREA"
202000242,9/8/20,2005,EVES,"MOODY, P",2,"DWIROOM"
202000243,9/8/20,2220,NITE,"VALDEZ, G",,CELL
