title,video_id,channel,viewCount,likeCount,commentCount,pub_date,pub_time,hours_since_pub,days_since_pub,views_per_day,likes_per_day,comments_per_day
Drake - Take Care ft. Rihanna,-zzP29emgpg,Drake,452833412,2146583,78494,2012-04-23,12:07:14,105543.0,4398.0,102963.0,488.0,18.0
Drake - Search & Rescue (Official Visualizer),ntp9_iznQ-0,Drake,39910307,332244,11188,2023-04-10,21:08:09,9438.0,393.0,101553.0,845.0,28.0
Kendrick Lamar - DNA.,NLZRYQMLDW4,Kendrick Lamar,256078937,2739264,99082,2017-04-18,15:00:02,61837.0,2577.0,99371.0,1063.0,38.0
Kendrick Lamar - LOYALTY. ft. Rihanna,Dlh-dzB2U4Y,Kendrick Lamar,232484086,2286201,61769,2017-07-28,14:00:00,59414.0,2476.0,93895.0,923.0,25.0
Drake - You Broke My Heart,w1-jss2mZlY,Drake,12114182,265998,11551,2023-12-20,11:49:22,3351.0,140.0,86530.0,1900.0,83.0
Drake - Gently (Audio) ft. Bad Bunny,ZsMbP5c4pb4,Drake,17691563,237105,6440,2023-10-06,14:00:28,5150.0,215.0,82286.0,1103.0,30.0
Drake - First Person Shooter (Audio) ft. J. Cole,sRs2o36a1Us,Drake,16625869,215565,10470,2023-10-06,14:00:24,5150.0,215.0,77330.0,1003.0,49.0
"Drake, Kanye West, Lil Wayne, Eminem - Forever (Explicit Version) (Official Music Video)",eDuRoPIOBjE,Drake,380730459,2238323,191102,2009-11-25,21:01:04,126654.0,5277.0,72149.0,424.0,36.0
Drake - Slime You Out ft. SZA (Official Audio),2_gLD1jarfU,Drake,16675070,221431,11030,2023-09-15,12:00:03,5656.0,236.0,70657.0,938.0,47.0
Drake - Virginia Beach (Audio),k20wnICXpps,Drake,15044662,116674,3525,2023-10-06,14:00:28,5150.0,215.0,69975.0,543.0,16.0
"Drake, 21 Savage - Spin Bout U (Audio)",jALeORvCJG8,Drake,37434499,204927,2291,2022-11-04,20:44:34,13207.0,550.0,68063.0,373.0,4.0
"Drake, Giveon - Chicago Freestyle (Audio) ft. Giveon",p9pf5EyOgcs,Drake,99679238,811260,14929,2020-05-01,00:20:57,35235.0,1468.0,67901.0,553.0,10.0
Kendrick Lamar - LOVE. ft. Zacari,ox7RsX1Ee34,Kendrick Lamar,157561058,2192146,60773,2017-12-22,00:00:05,55899.0,2329.0,67652.0,941.0,26.0
Kendrick Lamar - The Heart Part 5,uAPUkgeiFVY,Kendrick Lamar,45633502,1988446,128567,2022-05-08,19:58:06,17528.0,730.0,62512.0,2724.0,176.0
Drake - Girls Want Girls (Audio) ft. Lil Baby,b8M6N0FTpNc,Drake,58814288,416049,9644,2021-09-03,12:10:22,23463.0,978.0,60137.0,425.0,10.0
Drake - Headlines (Explicit),cimoNqiulUE,Drake,269406328,1310786,66673,2011-10-21,03:00:00,109993.0,4583.0,58784.0,286.0,15.0
Drake - Sticky (Official Music Video),AnZcWgXZOKM,Drake,37287100,503109,18034,2022-08-02,19:00:04,15465.0,644.0,57899.0,781.0,28.0
Kendrick Lamar - Rich Spirit,toBTPGfurLc,Kendrick Lamar,31062920,649907,18158,2022-11-16,13:00:02,12926.0,539.0,57631.0,1206.0,34.0
"Kendrick Lamar - Bitch, Don't Kill My Vibe (Explicit)",GF8aaTu2kg0,Kendrick Lamar,225528482,1691825,47259,2013-05-13,12:55:06,96303.0,4013.0,56199.0,422.0,12.0
Drake and 21 Savage - Rich Flex Her Loss Recap,PrSBuEFdRFU,Drake,29636060,333171,6908,2022-11-16,20:53:22,12918.0,538.0,55086.0,619.0,13.0
Drake - Nonstop,lJTRVX9R5EA,Drake,114943121,1163524,29142,2018-08-04,00:00:03,50500.0,2104.0,54631.0,553.0,14.0
Drake - Jumbotron Shit Poppin,Iu9xmEaHwpU,Drake,26018353,401782,16808,2023-01-17,01:05:24,11449.0,477.0,54546.0,842.0,35.0
Drake - I'm Upset,rIhx2wZ8jnA,Drake,116318844,1154107,98856,2018-06-13,23:25:37,51724.0,2155.0,53976.0,536.0,46.0
Kendrick Lamar - Alright (Official Music Video),Z-48u_uWMHY,Kendrick Lamar,172852413,1736411,66697,2015-06-30,17:00:01,77627.0,3234.0,53448.0,537.0,21.0
Kendrick Lamar - King Kunta,hRK7PVJFbS8,Kendrick Lamar,173830501,1178636,35881,2015-04-01,21:00:00,79783.0,3324.0,52296.0,355.0,11.0
Drake - When To Say When & Chicago Freestyle,0jz0GAFNNIo,Drake,78691192,1030961,40763,2020-02-29,23:13:08,36699.0,1529.0,51466.0,674.0,27.0
"Drake - Hold On, We’re Going Home ft. Majid Jordan",GxgqpCdOKak,Drake,197675596,1193200,57123,2013-09-25,23:00:01,93053.0,3877.0,50987.0,308.0,15.0
Kendrick Lamar - Swimming Pools (Drank),B5YNiCfWC3A,Kendrick Lamar,196837615,1884463,42092,2013-08-03,03:00:13,94345.0,3931.0,50073.0,479.0,11.0
Kendrick Lamar - ELEMENT.,glaG64Ao7sM,Kendrick Lamar,123630265,1447881,42356,2017-06-27,15:00:05,60157.0,2507.0,49314.0,578.0,17.0
Kendrick Lamar - Count Me Out,5GhhVHpPR_M,Kendrick Lamar,24304072,821873,14714,2022-12-16,13:00:14,12206.0,509.0,47749.0,1615.0,29.0
"Drake - Knife Talk (Audio) ft. 21 Savage, Project Pat",3HFY0xuHybk,Drake,46597290,454179,11790,2021-09-03,12:10:41,23463.0,978.0,47645.0,464.0,12.0
Drake - Worst Behavior,CccnAvfLPvE,Drake,180176930,999596,35067,2013-12-11,21:00:00,91206.0,3800.0,47415.0,263.0,9.0
Drake - You Broke My Heart (Audio),-_HIZtRlkDo,Drake,7699582,87843,4021,2023-11-17,00:00:00,4155.0,173.0,44506.0,508.0,23.0
Drake - War,lIlMtVGI5Pg,Drake,68342496,944139,74546,2019-12-25,01:24:02,38305.0,1596.0,42821.0,592.0,47.0
Drake - Yebba’s Heartbreak (Audio),9rlW2rUzyn0,Drake,41800636,449113,6544,2021-09-03,12:08:43,23463.0,978.0,42741.0,459.0,7.0
Drake - What's Next (Official Music Video),7EUVJaKJtBY,Drake,48877000,940933,47906,2021-03-05,00:24:00,27842.0,1160.0,42135.0,811.0,41.0
Drake - Massive,ay1l_u6vltY,Drake,27700891,256802,5104,2022-06-17,12:01:42,16576.0,691.0,40088.0,372.0,7.0
Drake - Polar Opposites,0bxhAxRmrJw,Drake,6273825,177688,12560,2023-11-29,12:00:10,3855.0,161.0,38968.0,1104.0,78.0
Kendrick Lamar - Poetic Justice (Explicit) ft. Drake,yyr2gEouEMM,Kendrick Lamar,159340411,1101890,39985,2013-02-22,11:40:08,98223.0,4093.0,38930.0,269.0,10.0
Kendrick Lamar - Count Me Out (Official Audio),6nTcdw7bVdc,Kendrick Lamar,27083080,344391,7251,2022-05-13,00:01:51,17428.0,726.0,37305.0,474.0,10.0
Kendrick Lamar - Silent Hill ft. Kodak Black (Official Audio),00QQWJIFxDA,Kendrick Lamar,27075496,420335,14786,2022-05-13,00:01:51,17428.0,726.0,37294.0,579.0,20.0
Drake - Money In The Grave ft. Rick Ross,R0ykLlhg0AQ,Drake,62243161,837378,18588,2019-08-26,12:00:07,41200.0,1717.0,36251.0,488.0,11.0
Drake - 8am in Charlotte,VEW9E1EIQ1M,Drake,7770037,196980,10014,2023-10-06,06:00:22,5158.0,215.0,36140.0,916.0,47.0
Drake - Members Only (Audio) ft. PARTYNEXTDOOR,9YN6_jvHheo,Drake,7756684,61638,2022,2023-10-06,14:00:05,5150.0,215.0,36078.0,287.0,9.0
Drake - Champagne Poetry (Audio),IxVuT8cgccM,Drake,34697600,370336,10028,2021-09-03,12:09:09,23463.0,978.0,35478.0,379.0,10.0
"Drake, 21 Savage - Hours In Silence (Audio)",6hfbHSItskQ,Drake,19467137,123312,3033,2022-11-04,20:44:27,13207.0,550.0,35395.0,224.0,6.0
Drake & 21 Savage - Privileged Rappers | A COLORS SHOW,WlaGHS_qs58,Drake,17439191,264780,6298,2022-11-07,17:52:29,13137.0,547.0,31882.0,484.0,12.0
Drake - Over,2lTB1pIg1y0,Drake,160039797,660974,50332,2010-04-07,18:45:06,123465.0,5144.0,31112.0,128.0,10.0
"Drake - Way 2 Sexy (Audio) ft. Future, Young Thug",Qr2PWFDB4ZU,Drake,29819047,263074,3665,2021-09-03,12:09:45,23463.0,978.0,30490.0,269.0,4.0
"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",K5xERXE7pxI,Kendrick Lamar,68430652,834960,31238,2018-02-02,00:00:01,54891.0,2287.0,29922.0,365.0,14.0
Kendrick Lamar - Die Hard ft. Blxst & Amanda Reifer (Official Audio),Lx3MGrafykU,Kendrick Lamar,21302216,267365,6306,2022-05-13,00:01:51,17428.0,726.0,29342.0,368.0,9.0
Drake & 21 Savage - Jimmy Cooks,4nyld2SqleU,Drake,16167787,510062,13548,2022-10-22,16:55:39,13523.0,563.0,28717.0,906.0,24.0
Kendrick Lamar - United In Grief (Official Audio),tvNSXS4x9nc,Kendrick Lamar,20519382,520539,10666,2022-05-13,00:01:51,17428.0,726.0,28264.0,717.0,15.0
Drake - Sneakin' ft. 21 Savage (Official Video),WNW1xRqbt94,Drake,69630763,533109,10465,2017-07-30,14:00:02,59366.0,2474.0,28145.0,215.0,4.0
Drake - Find Your Love (Extended Version),Xyv4Bjja8yc,Drake,141666728,684226,50914,2010-05-11,21:47:57,122646.0,5110.0,27723.0,134.0,10.0
"Drake, 21 Savage - On BS (Audio)",PNFZHl1H8zY,Drake,15093892,145473,4070,2022-11-04,20:44:49,13207.0,550.0,27443.0,264.0,7.0
Drake - Falling Back (Extended Version),sOreUnGoIMg,Drake,18285354,374144,26229,2022-06-17,01:48:26,16586.0,691.0,26462.0,541.0,38.0
Kendrick Lamar - i (Official Video),8aShfolR6w8,Kendrick Lamar,88465785,668838,25650,2014-11-04,11:55:00,83343.0,3473.0,25472.0,193.0,7.0
Drake - Another Late Night ft. Lil Yachty,Y3puNlFBqvo,Drake,5090366,102568,4542,2023-10-20,15:28:19,4812.0,201.0,25325.0,510.0,23.0
Drake - Not You Too (Audio) ft. Chris Brown,ZX_mvoY_Hg0,Drake,36981729,305469,8678,2020-05-01,00:17:54,35235.0,1468.0,25192.0,208.0,6.0
Kendrick Lamar - The Recipe (Lyric Video) ft. Dr. Dre,YpugK0RpEaU,Kendrick Lamar,110546898,632733,20525,2012-04-23,16:57:54,105539.0,4397.0,25141.0,144.0,5.0
"Drake - In The Bible (Audio) ft. Lil Durk, Giveon",eEdVtJW_PwE,Drake,24273166,270531,4691,2021-09-03,12:10:48,23463.0,978.0,24819.0,277.0,5.0
Drake - Sticky,H_AE7YSJSWU,Drake,16822774,169883,4326,2022-06-17,12:01:08,16576.0,691.0,24346.0,246.0,6.0
Drake - What Would Pluto Do (Audio),tKKpB4FLgzA,Drake,5211005,49668,1878,2023-10-06,14:00:21,5150.0,215.0,24237.0,231.0,9.0
"Drake, 21 Savage - Circo Loco (Audio)",jxILuhLm6hs,Drake,13165408,128838,3677,2022-11-04,20:43:56,13207.0,550.0,23937.0,234.0,7.0
"Drake - The Motto (Explicit) ft. Lil Wayne, Tyga",BYDKK95cpfM,Drake,105869262,696314,50086,2012-02-10,03:00:00,107304.0,4471.0,23679.0,156.0,11.0
Kendrick Lamar - Swimming Pools (Drank) (Clean),8-ejyHzz3XE,Kendrick Lamar,100164087,654788,39521,2012-08-03,11:45:07,103096.0,4296.0,23316.0,152.0,9.0
Drake - Calling For You (Audio) ft. 21 Savage,Z06HSkhGuK4,Drake,4928038,69649,2706,2023-10-06,14:00:25,5150.0,215.0,22921.0,324.0,13.0
Drake - Toosie Slide (Official Explicit Audio),dGYxT1QReQs,Drake,33224902,426389,6881,2020-04-03,00:36:16,35907.0,1496.0,22209.0,285.0,5.0
"ADONIS ""MY MAN FREESTYLE""",S3ES0IQQdG8,Drake,4516388,137865,0,2023-10-15,19:25:24,4928.0,205.0,22031.0,673.0,0.0
"Kendrick Lamar, SZA - All The Stars",GfCqMv--ncA,Kendrick Lamar,48605253,528671,17823,2018-01-04,08:00:03,55579.0,2316.0,20987.0,228.0,8.0
"Drake, 21 Savage - Major Distribution (Audio)",LfPYX03_4rA,Drake,11401819,128267,2332,2022-11-04,20:43:58,13207.0,550.0,20731.0,233.0,4.0
Drake - HYFR (Hell Ya Fucking Right) (Explicit) ft. Lil Wayne,0KCWqnldEag,Drake,90766945,594526,33073,2012-04-26,03:00:10,105481.0,4395.0,20652.0,135.0,8.0
Drake - Drew A Picasso (Audio),NP6jx4ZLF-Q,Drake,4368090,37971,1288,2023-10-06,14:00:08,5150.0,215.0,20317.0,177.0,6.0
Drake - Love All (Audio) ft. JAY-Z,Pnz4wbCblmM,Drake,19659978,217303,5517,2021-09-03,12:11:19,23463.0,978.0,20102.0,222.0,6.0
Drake - No Friends In The Industry,_dSN9EaQotw,Drake,19542297,218565,4916,2021-09-03,12:11:17,23463.0,978.0,19982.0,223.0,5.0
Drake - Evil Ways (Audio) ft. J. Cole,wrhDUwYbTkI,Drake,3453718,79705,5133,2023-11-17,00:00:36,4155.0,173.0,19964.0,461.0,30.0
Drake - Time Flies (Audio),OjgBxXNP3gw,Drake,29201051,298847,5243,2020-05-01,00:54:52,35235.0,1468.0,19892.0,204.0,4.0
"Drake, 21 Savage - Broke Boys (Audio)",cE0iNes-bMQ,Drake,10918286,105624,2191,2022-11-04,20:43:49,13207.0,550.0,19851.0,192.0,4.0
Drake and 21 Savage performing “On BS” live on SNL,vZo3KgqU6oY,Drake,10425863,224899,6030,2022-11-06,01:02:00,13179.0,549.0,18991.0,410.0,11.0
Drake - Trust Issues,vMGpBAOD2CI,Drake,55288681,640293,7790,2016-05-04,13:07:48,70214.0,2926.0,18896.0,219.0,3.0
Drake - 8am in Charlotte (Audio),udTQIU_BiPo,Drake,3997409,50633,2027,2023-10-06,14:00:34,5150.0,215.0,18593.0,236.0,9.0
Drake - Miss Me ft. Lil Wayne,TRLSQDCkcaA,Drake,92320780,333299,31900,2010-08-19,06:39:23,120261.0,5011.0,18424.0,67.0,6.0
Drake - Pain 1993 (Audio) ft. Playboi Carti,Q5jnuOCJvK0,Drake,26342549,411642,22370,2020-05-01,00:48:24,35235.0,1468.0,17945.0,280.0,15.0
Roy Woods - Drama feat. Drake (Audio) @RoyWoods,XP0fdtXn49s,Drake,48905398,384415,5278,2016-10-18,19:38:44,66200.0,2758.0,17732.0,139.0,2.0
Drake - Bahamas Promises (Audio),oKr9gDBd0qQ,Drake,3780651,38062,1315,2023-10-06,14:00:32,5150.0,215.0,17584.0,177.0,6.0
Kendrick Lamar - Rich Spirit (Official Audio),hl3-ZPg-JAA,Kendrick Lamar,12756592,185798,5845,2022-05-13,00:01:51,17428.0,726.0,17571.0,256.0,8.0
Drake - Tried Our Best (Audio),tJYeoXe5SsA,Drake,3706286,41711,1279,2023-10-06,14:00:32,5150.0,215.0,17239.0,194.0,6.0
Drake - TSU (Audio),fhEqtynX_xc,Drake,16766493,181495,5355,2021-09-03,12:11:32,23463.0,978.0,17144.0,186.0,5.0
Drake - N 2 Deep (Audio) ft. Future,Oh-Al70frOc,Drake,16573790,136761,4516,2021-09-03,12:10:44,23463.0,978.0,16947.0,140.0,5.0
"Drake ""Slime You Out"" ft. SZA (Lyric Video)",s0WIUpETeok,Drake,3653842,52551,1346,2023-09-21,18:25:42,5505.0,229.0,15956.0,229.0,6.0
Drake - Daylight (Audio),UklHtii5u3s,Drake,3293922,49581,2733,2023-10-06,14:00:11,5150.0,215.0,15321.0,231.0,13.0
Drake - Fear Of Heights (Audio),_6GOjETAPKo,Drake,3242168,41351,1598,2023-10-06,14:00:16,5150.0,215.0,15080.0,192.0,7.0
Drake - Desires (Audio) ft. Future,nGXCuAHEjYI,Drake,21978070,255853,7520,2020-05-01,00:12:47,35235.0,1468.0,14971.0,174.0,5.0
Drake - Pipe Down (Audio),ZIu-V_xEehs,Drake,14559469,124029,4962,2021-09-03,12:08:55,23463.0,978.0,14887.0,127.0,5.0
Drake - Amen (Audio) ft. Teezo Touchdown,8HYNcvMks6E,Drake,3192729,37473,1012,2023-10-06,14:00:08,5150.0,215.0,14850.0,174.0,5.0
Kendrick Lamar - Father Time ft. Sampha (Official Audio),toEW7_-pvOY,Kendrick Lamar,10774779,187602,5637,2022-05-13,00:01:51,17428.0,726.0,14841.0,258.0,8.0
"Drake, 21 Savage - Treacherous Twins (Audio)",jCtsnNpCDo0,Drake,8064599,76518,1480,2022-11-04,20:43:40,13207.0,550.0,14663.0,139.0,3.0
Drake - The Shoe Fits (Audio),tm4bgwUFRqk,Drake,2485378,47876,3011,2023-11-17,00:00:26,4155.0,173.0,14366.0,277.0,17.0
Kendrick Lamar - We Cry Together ft. Taylour Paige (Official Audio),C_s9JJnqQqM,Kendrick Lamar,10294099,259620,16526,2022-05-13,00:01:51,17428.0,726.0,14179.0,358.0,23.0
Drake - BackOutsideBoyz (Audio),srlxBpbKz70,Drake,7560037,77315,2443,2022-11-04,20:44:39,13207.0,550.0,13746.0,141.0,4.0
Drake - All The Parties (Audio) ft. Chief Keef,CPdLz75ds4Q,Drake,2933257,42785,3321,2023-10-06,14:00:07,5150.0,215.0,13643.0,199.0,15.0
Drake - Flight's Booked,hb24kZ0fiEA,Drake,9267780,81824,2369,2022-06-17,12:02:00,16576.0,691.0,13412.0,118.0,3.0
Drake - Middle of the Ocean (Audio),IEueorPNpT0,Drake,7325479,74980,2893,2022-11-04,20:44:55,13207.0,550.0,13319.0,136.0,5.0
Drake - 7969 Santa (Audio),VBK5gQuYy_U,Drake,2836856,35424,1216,2023-10-06,14:00:23,5150.0,215.0,13195.0,165.0,6.0
Drake - Away From Home (Audio),DYh6CJWdSHY,Drake,2771935,36344,1821,2023-10-06,14:00:05,5150.0,215.0,12893.0,169.0,8.0
Drake - Polar Opposites (Audio),jfuzmCOcQSs,Drake,2744025,30713,1140,2023-10-06,14:00:18,5150.0,215.0,12763.0,143.0,5.0
Drake - Trophies,vkSFh6HMUtQ,Drake,47962770,355360,9991,2013-12-30,04:18:41,90766.0,3782.0,12682.0,94.0,3.0
“We Cry Together” - A Short Film,wUGyZM9rcnY,Kendrick Lamar,7773010,381702,12395,2022-09-01,13:01:05,14751.0,615.0,12639.0,621.0,20.0
Drake - Papi’s Home (Audio),RJDZBozre1g,Drake,12250306,133102,3187,2021-09-03,12:09:17,23463.0,978.0,12526.0,136.0,3.0
Drake - 5AM In Toronto (Official Video),3t195yz9xCc,Drake,35862835,298682,9042,2016-05-16,15:30:33,69924.0,2914.0,12307.0,102.0,3.0
Kendrick Lamar - Backseat Freestyle (Explicit),EZW7et3tPuQ,Kendrick Lamar,49904983,441307,18370,2013-01-07,23:33:36,99315.0,4138.0,12060.0,107.0,4.0
Kendrick Lamar - Savior ft. Baby Keem & Sam Dew (Official Audio),HTAQxUXq674,Kendrick Lamar,8744645,144291,5353,2022-05-13,00:01:51,17428.0,726.0,12045.0,199.0,7.0
Rap Radar: Drake,mmsasEoupO4,Drake,19099080,364070,34451,2019-12-25,18:00:13,38289.0,1595.0,11974.0,228.0,22.0
Drake - Fountains (Audio) ft. Tems,pwtWYFUwenE,Drake,11580986,128661,3286,2021-09-03,12:10:41,23463.0,978.0,11841.0,132.0,3.0
Kendrick Lamar - N95 (Official Audio),XEV4x7xEprw,Kendrick Lamar,8544416,186637,5981,2022-05-13,00:01:51,17428.0,726.0,11769.0,257.0,8.0
Drake - Laugh Now Cry Later (Official Lyric Video) ft. Lil Durk,qojvO0E0z_Y,Drake,15602277,300118,8255,2020-08-18,09:00:13,32611.0,1359.0,11481.0,221.0,6.0
Drake - Get Along Better (Audio) ft. Ty Dolla $ign,84y-jaEiFZU,Drake,11168326,98051,2201,2021-09-03,12:11:07,23463.0,978.0,11420.0,100.0,2.0
Drake - Red Button (Audio),leWap1vgE8U,Drake,1908205,34587,2656,2023-11-17,00:00:24,4155.0,173.0,11030.0,200.0,15.0
Drake - Stories About My Brother (Audio),CeulVAjHTaM,Drake,1900068,36869,2651,2023-11-17,00:00:14,4155.0,173.0,10983.0,213.0,15.0
Drake - Texts Go Green (Official Audio),kFXHPfI2JoI,Drake,7385481,73448,2837,2022-06-17,12:01:42,16576.0,691.0,10688.0,106.0,4.0
PARTYNEXTDOOR - Come And See Me ft. Drake (Audio),lG4HICGeQoo,Drake,29009917,224314,2926,2016-10-22,20:30:00,66103.0,2754.0,10534.0,81.0,1.0
Kendrick Lamar - Purple Hearts ft. Summer Walker & Ghostface Killah (Official Audio),0kS-MtxPr9I,Kendrick Lamar,7451081,142536,4829,2022-05-13,00:01:51,17428.0,726.0,10263.0,196.0,7.0
"Drake - One Dance (Live On SNL) ft. Wizkid, Kyla",vcer12OFU2g,Drake,28909995,256635,16405,2016-05-15,14:00:02,69950.0,2915.0,9918.0,88.0,6.0
"Drake, 21 Savage - Pussy & Millions (Audio) ft. Travis Scott",8LpAtRIakkk,Drake,5015038,108792,2414,2022-11-04,20:44:14,13207.0,550.0,9118.0,198.0,4.0
Kendrick Lamar - Mr. Morale ft. Tanna Leone (Official Audio),SdwEIPD1bEw,Kendrick Lamar,6390354,138110,6060,2022-05-13,00:01:50,17428.0,726.0,8802.0,190.0,8.0
"Future, Drake, Young Thug - D4L (Audio)",ldeLy8D_uSE,Drake,12695985,180994,5308,2020-05-01,01:54:03,35234.0,1468.0,8648.0,123.0,4.0
Drake - Race My Mind (Audio),bpXztWUPPFQ,Drake,8375524,82161,2635,2021-09-03,12:09:34,23463.0,978.0,8564.0,84.0,3.0
"Drake, 21 Savage - More M’s (Audio)",KyDdFcIDVJw,Drake,4705178,62281,1566,2022-11-04,20:43:39,13207.0,550.0,8555.0,113.0,3.0
Drake - Jumbotron Shit Poppin (Audio),IkpgHYDGQlo,Drake,4693248,57678,3457,2022-11-04,20:43:37,13207.0,550.0,8533.0,105.0,6.0
"Drake, 21 Savage - Privileged Rappers (Audio)",lF3K70KR5Xk,Drake,4595676,51015,1167,2022-11-04,20:44:07,13207.0,550.0,8356.0,93.0,2.0
Drake - From Florida With Love (Audio),8sJlnTMOpGM,Drake,12168900,143487,4599,2020-05-01,00:55:05,35235.0,1468.0,8289.0,98.0,3.0
"Drake, Kanye West, Lil Wayne, Eminem - Forever",bOEvBlNI-wc,Drake,42421168,216508,27473,2010-01-06,15:40:03,125651.0,5235.0,8103.0,41.0,5.0
Drake - A Keeper (Official Audio),RaskP_FC9VA,Drake,5532928,59907,1596,2022-06-17,12:00:53,16576.0,691.0,8007.0,87.0,2.0
"Drake - Demons (Audio) ft. Fivio Foreign, Sosa Geek",ecopKVhf5io,Drake,11692862,171268,7106,2020-05-01,00:15:39,35235.0,1468.0,7965.0,117.0,5.0
"Kendrick Lamar - These Walls (Explicit) ft. Bilal, Anna Wise, Thundercat",drV0QatqbRU,Kendrick Lamar,24281363,307122,12678,2015-10-28,15:30:01,74748.0,3115.0,7795.0,99.0,4.0
Kendrick Lamar - Worldwide Steppers (Official Audio),AxNXkI94tbY,Kendrick Lamar,5595806,95681,3762,2022-05-13,00:01:51,17428.0,726.0,7708.0,132.0,5.0
Drake - Club Paradise,EfGOqrXcm_Y,Drake,35191677,152704,13348,2011-09-11,12:26:59,110943.0,4623.0,7612.0,33.0,3.0
