category,position
firefighter,ADMINISTRATIVE CHIEF/FIRE MARSHAL
firefighter,ADMINISTRATIVE CHIEF/FIRE MARSHAL (RM)
other,ADMINISTRATIVE CLERK PART-TIME
firefighter,ADMINISTRATIVE FIRE CAPTAIN
firefighter,ADMINISTRATIVE FIREFIGHTER
other,ADMINISTRATIVE INTERN
other,ADMINISTRATIVE INTERN I
other,ADMINISTRATIVE INTERN II
other,"ADMINISTRATIVE INTERN, SENIOR"
other,ADMINISTRATIVE MANAGEMENT ANALYST
other,ADMINISTRATIVE SECRETARY
other,ADMINISTRATIVE SECRETARY II
other,ADMINISTRATIVE SECRETARY PT
other,ADMINISTRATIVE SECRETARY/PUBLIC SAFETY - CONFIDENTIAL
other,ADMINISTRATIVE SPECIALIST II
firefighter,ADMINISTRATIVE SUPERVISOR/DEPUTY FIRE MARSHALL
other,"ADMINISTRATIVE TECH, P/T"
other,ADMINISTRATIVE TECHNICIAN
other,ADMINISTRATIVE TECHNICIAN I
other,ADMINISTRATIVE TECHNICIAN II
other,ADMINISTRATIVE TECHNICIAN II - ECEA
other,ADMINISTRATIVE TECHNICIAN III
firefighter,ADMINSTRATIVE REGIONAL TRAINING CAPTAIN
other,ADMINSTRATIVE SECRETARY
firefighter,ADMN SEC TO FIRE CHIEF
firefighter,AIR OPERATIONS CHIEF
other,AMBUL OP/FIRE INTERN
other,AMBULANCE OPERATOR P/T
firefighter,ANIMAL CONTROL OFIREFIGHTERICER
firefighter,APPARATUS OPERATOR
firefighter,APPRENTICE FIREFIGHTER
firefighter,APPRENTICE FIREFIGHTER           SHIFT HRS
firefighter,ASSIST FIRE CHIEF
firefighter,ASSIST FIRE CHIEF U
firefighter,ASSIST. CHIEF (VOLUNTEER)
firefighter,ASSISTANT  FIRE CHIEF
firefighter,ASSISTANT CHIEF
firefighter,"ASSISTANT CHIEF FINANCIAL MANAGEMENT, FIRE"
firefighter,"ASSISTANT CHIEF OF DEPARTMENT, (FIRE DEP"
firefighter,"ASSISTANT CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)"
firefighter,ASSISTANT CHIEF OF DEPT. (FIRE DEPT.)
firefighter,ASSISTANT CHIEF OF FIRE DEPARTMENT
firefighter,"ASSISTANT CHIEF, FIRE FLEET SERVICES"
firefighter,"ASSISTANT CHIEF, FORESTRY"
firefighter,"ASSISTANT CHIEF, HEALTH HAZARDOUS MATERIALS, FIRE"
firefighter,"ASSISTANT CHIEF, LIFEGUARD SERVICES, FIRE"
firefighter,"ASSISTANT CHIEF,FIRE FLEET SERVICES"
firefighter,"ASSISTANT CHIEF,FORESTRY DIVISION"
firefighter,ASSISTANT CHIEF/FIRE MARSHAL
firefighter,ASSISTANT CHIEF/FIRE MARSHL
firefighter,ASSISTANT CHIEF/FIRE PREVENTION
firefighter,ASSISTANT COUNTY FIRE CHIEF
firefighter,ASSISTANT COUNTY FIRE MARSHAL
firefighter,ASSISTANT DEPUTY CHIEF 2
firefighter,ASSISTANT DEPUTY CHIEF II
firefighter,ASSISTANT FIRE CHIEF
firefighter,ASSISTANT FIRE CHIEF - 56.3
other,ASSISTANT FIRE CHIEF - TEMP
other,ASSISTANT FIRE CHIEF - TEMPORARY
firefighter,ASSISTANT FIRE CHIEF - VOLUNTEER
firefighter,ASSISTANT FIRE CHIEF-EXEMPT
firefighter,ASSISTANT FIRE MARSHAL
other,ASSISTANT FIRE MARSHAL (TEMP/SEAS/PERDIEM/UNSHED)
firefighter,ASSISTANT FIRE MARSHAL-HAZ MAT
other,ASSISTANT FIRE MARSHAL-NON SWORN
firefighter,ASSISTANT FIRE MARSHAL/CIV
firefighter,ASSISTANT FIRE MARSHAL/CIVIL
firefighter,ASSISTANT FIRE MARSHALL
other,ASSISTANT GENERAL MANAGER ADMINISTRATION
firefighter,ASSISTANT TO FIRE CHIEF
firefighter,ASSISTANT TO THE FIRE CHIEF
other,"ASSISTANT, OFFICE P/T"
other,"ASSISTANT, OFFICE PART-TIME"
firefighter,ASSOC ENGINEER
firefighter,ASSOCIATE ENGINEER
firefighter,ASSOCIATE FIRE PROGRAM ENGINEER I/II
firefighter,"ASST CHIEF,LIFEGUARD SERVICES,FIRE"
firefighter,ASST CHIEF/FIRE MARSHAL
firefighter,ASST CHIEF/FIRE MARSHL
firefighter,ASST CHIEF/FIRE PREVENTION
firefighter,ASST FIRE CHIEF
firefighter,ASST FIRE CHIEF GROUP I
firefighter,ASST FIRE CHIEF-EXEMPT
firefighter,ASST FIRE MARSHAL
firefighter,ASST FIRE MARSHAL-HAZ MAT
firefighter,ASST FIRE MARSHALL
firefighter,ASST. FIRE CHIEF
firefighter,ASST. VOLUNTEER FIRE CHIEF
other,AUTO BODY BUILDER AND REPAIRER
other,AUTO BODY BUILDER AND REPAIRER SUPERVISOR II
other,AUTO BODY REPAIR SUPERVISOR II
other,AUTO ELECTRICIAN
other,AUTO PAINTER
other,AUXILIARY FIREFIGHTER
firefighter,B150 FIRE CHIEF
firefighter,BAT CHIEF-TRAINING
firefighter,BAT CHIEF-TRNG
firefighter,BATALLION CHIEF
firefighter,BATALLION CHIEF - PREVENTION
firefighter,BATALLION CHIEF/FIRE MARSHAL
firefighter,BATT CHIEF
firefighter,BATT CHIEF - 40 HR W/STIPEND
firefighter,BATT CHIEF/FIRE MARSHAL
firefighter,BATTALIAN CHIEF
firefighter,BATTALION CHIEF
firefighter,BATTALION CHIEF             (56 HR)
firefighter,BATTALION CHIEF  40HR W / STIP
firefighter,BATTALION CHIEF - PREVENTION
firefighter,BATTALION CHIEF - SHIFT/E
firefighter,BATTALION CHIEF - SHIFT/EMT
firefighter,BATTALION CHIEF - SUPPRESSION
firefighter,BATTALION CHIEF - TRNG BC/DPC
firefighter,BATTALION CHIEF (40HR)
firefighter,BATTALION CHIEF (48HR)
firefighter,BATTALION CHIEF (56HR)
firefighter,BATTALION CHIEF / FIRE MARSHALL
firefighter,BATTALION CHIEF + 5%
firefighter,BATTALION CHIEF +5%
firefighter,BATTALION CHIEF 24 HOURS
firefighter,BATTALION CHIEF 24 HRS
firefighter,BATTALION CHIEF ADMIN
firefighter,BATTALION CHIEF ADMINISTRATION-EMS
firefighter,BATTALION CHIEF ADMINISTRATION-EMS/TRAINING
firefighter,BATTALION CHIEF ADMINISTRATION/TRAINING
firefighter,BATTALION CHIEF ADMINISTRATIVE
firefighter,BATTALION CHIEF ADMN
firefighter,BATTALION CHIEF B/A 2.5%
firefighter,BATTALION CHIEF B/A 5%
firefighter,BATTALION CHIEF B/A 5% (40 HR)
firefighter,BATTALION CHIEF EMS/TRNG
firefighter,BATTALION CHIEF HRLY
firefighter,BATTALION CHIEF LINE
firefighter,BATTALION CHIEF OF OPERATIONS
firefighter,BATTALION CHIEF PREVENTION
firefighter,BATTALION CHIEF SHIFT
firefighter,BATTALION CHIEF SHIFT            SHIFT HRS
firefighter,BATTALION CHIEF SHIFT E86
firefighter,BATTALION CHIEF SHIFT HRS
firefighter,BATTALION CHIEF SHIFT-SHIFT HRS
firefighter,BATTALION CHIEF W / STIPEND
firefighter,BATTALION CHIEF WITH STIPEND
firefighter,BATTALION CHIEF-40 HOUR
firefighter,BATTALION CHIEF-40HR WITH STIPEND
firefighter,BATTALION CHIEF-56 HOUR
firefighter,BATTALION CHIEF-OPERATIONS
firefighter,BATTALION CHIEF-PREVENTION
firefighter,BATTALION CHIEF-PROBATIONARY
firefighter,BATTALION CHIEF-SHIFT HRS
firefighter,BATTALION CHIEF-TRAINING
firefighter,"BATTALION CHIEF, (FIRE DEPARTMENT)"
firefighter,"BATTALION CHIEF, FIRE SUPPRESS"
firefighter,"BATTALION CHIEF, FIRE SUPPRESSION"
firefighter,BATTALION CHIEF(56 HOURS)
firefighter,BATTALION CHIEF/56 HOURS/
firefighter,BATTALION CHIEF/DIVISION CHIEF
firefighter,BATTALION CHIEF/FIRE MARSHALL
firefighter,BATTALION CHIEF/TRAINING OFFCR
firefighter,BATTALION CHIEF/TRAINING OFFICER
firefighter,BATTALION CHIEF+5%
firefighter,BATTALION FIRE CHIEF
firefighter,BATTALION FIRE CHIEF - 40 HOUR
firefighter,BATTALION FIRE CHIEF (56 HOURS/WEEKS)
firefighter,BATTALION FIRE CHIEF (56 HRS/WK)
firefighter,BATTALION FIRE CHIEF (NE)
firefighter,BATTALION/DIV. CHIEF - 40
firefighter,BATTALION/DIV. CHIEF - 56.3
firefighter,BATTALLION CHIEF
firefighter,BATTALLION CHIEF/FIRE MARSHALL
firefighter,"BATTLION CHIEF, FIRE SUPPRESSI"
firefighter,BC/FIRE MARSHAL
firefighter,BC/FIRE MARSHALL
firefighter,BEACH LIFEGUARD - CAPTAIN
firefighter,BEACH LIFEGUARD - LIEUTENANT
firefighter,BEACH LIFEGUARD CAPTAIN
other,BOARD SECRETARY
other,BUILDING MAINTENANCE TECHNICIAN
other,BUILDING PLANS TECHNICIAN
other,BUILDING SERVICE TECHNICIAN
firefighter,C300 BATTALION CHIEF
firefighter,C301 BATTALION CHIEF - 40 HR
firefighter,C301 BATTALION CHIEF - 40 HR.
firefighter,C301 BATTALION CHIEF - 40 HUMAN RESOURCE
firefighter,C306 FIRE MARSHAL
firefighter,C319 DEPUTY FIRE CHIEF
other,C710 ADMINISTRATIVE SECRETARY
firefighter,"CALL FIRE FIGHTER SUPERVISOR, NC"
firefighter,"CALL FIRE FIGHTER SUPERVISOR,NC"
firefighter,"CALL FIRE FIGHTER,NC"
firefighter,"CALL FIREFIGHTER, NC"
firefighter,CALL PAID FIREFIGHTER
firefighter,"CAPT,FIRE PREV OR FIRE INVSGTN"
firefighter,CAPTAIN
firefighter,CAPTAIN - VOLUNTEER
firefighter,CAPTAIN (VOLUNTEER)
firefighter,CAPTAIN II
firefighter,CAPTAIN OF FIRE DEPARTMENT
firefighter,CAPTAIN SPECIALIST
firefighter,"CAPTAIN, (FIRE DEPARTMENT)"
firefighter,"CAPTAIN, BUREAU OF FIRE PREVENTION & PUBLIC SAFETY"
firefighter,"CAPTAIN, BUREAU OF FIRE PREVENTION AND PUBLIC SAFE"
firefighter,"CAPTAIN, EMERGENCY MED SERVICES"
firefighter,"CAPTAIN, EMERGENCY MED SVCS"
firefighter,"CAPTAIN, EMERGENCY MEDICAL SERVICES"
firefighter,"CAPTAIN, FIRE PREVENTION OR FIRE INVESTIGATION"
firefighter,"CAPTAIN, FIRE SUPPRESSION"
firefighter,"CAPTAIN, LIFEGUARD SERVICES, FIRE"
other,"CAPTAIN, LIFEGUARD SERVICES, FIRE"
firefighter,"CAPTAIN,LIFEGUARD SERVICES,FIRE"
firefighter,CAPTAIN/EMT
firefighter,CAPTAIN/PARAMEDIC
other,CAREER DEVELOPMENT INTERN
other,CARPENTER
other,CERT TECHNICIAN
firefighter,CHIEF
other,CHIEF BENEFITS ANALYST
other,CHIEF BUILDING OFFICIAL
other,CHIEF CLERK
other,CHIEF COOK
other,"CHIEF DEPUTY, BUSINESS OPNS, FIRE (UC)"
other,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)"
other,"CHIEF DEPUTY,BUSINESS OPNS,FIRE(UC)"
other,"CHIEF DEPUTY,EMER OPNS,FIRE(UC)"
firefighter,CHIEF ENGINEER FIRE DEPARTMENT
firefighter,CHIEF FIRE EMERGENCY MED SERVICES
firefighter,CHIEF FIRE EMERGENCY MED SVCS
firefighter,CHIEF FIRE INVESTIGATOR
other,CHIEF HEAVY EQUIPMENT
other,CHIEF INVESTMENT OFFICER
other,CHIEF MANAGEMENT ANALYST
other,"CHIEF MATERIALS MANAGEMENT, FIRE"
firefighter,"CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)"
firefighter,CHIEF OF FIRE
firefighter,CHIEF OF FIRE DEPARTMENT
other,CHIEF SPECIAL INVESTIGATOR
other,CHIEF STATIONARY ENGINEER
other,"CHIEF, FINANCIAL MANAGEMENT, FIRE"
firefighter,"CHIEF, FIRE DEPARTMENT"
firefighter,"CHIEF, FIRE FLEET SERVICES"
firefighter,"CHIEF, FORESTRY DIVISION"
firefighter,"CHIEF, HEALTH HAZARDOUS MATERIALS, FIRE"
firefighter,"CHIEF, HELICOPTER MAINTENANCE"
other,"CHIEF, LIFEGUARD SERVICES, FIRE"
other,"CHIEF, STAFF SUPPORT OPERATIONS, FIRE"
other,"CHIEF,FINANCIAL MANAGEMENT,FIRE"
firefighter,"CHIEF,FIRE FLEET SERVICES"
firefighter,"CHIEF,FORESTRY DIVISION"
firefighter,"CHIEF,HEALTH HAZARDOUS MATERIALS, FIRE"
firefighter,"CHIEF,HELICOPTER MAINTENANCE"
other,"CHIEF,LIFEGUARD SERVICES,FIRE"
other,"CHIEF,MATERIALS MANAGEMENT,FIRE"
other,"CHIEF,STAFF SUPPORT OPERATIONS,FIRE"
other,CITY INTERN
other,CIVIL BCKGRND INVEST (HOURLY)
other,CIVILIAN FIRE MARSHALL
other,CLEANUP - TEMP
other,CLERICAL
other,CLERICAL (TEMP/PART-TIME)
other,CLERICAL ASSIST II
other,CLERICAL ASSIST III
other,CLERICAL ASSISTANT
other,CLERICAL ASSISTANT 2
other,CLERICAL ASSISTANT I
other,CLERICAL ASSISTANT II
other,CLERICAL ASSISTANT III
other,"CLERICAL ASSISTANT, P/T"
other,CLERICAL ASST II
other,CLERICAL TE
other,CLERICAL WORKER
other,CLERK TYPIST
firefighter,CO FIRE CHIEF/EMERG SRVC COORD
firefighter,CO FIRE CHIEF/EMERG SRVC COORDINATOR
other,CODE COMPLIANCE TECHNICIAN II
other,CODE ENFORCEMENT I PART-TIME
other,CODE ENFORCEMENT PART-TIME
other,COLLEGE INTERN
other,COMMISSION EXECUTIVE ASSISTANT II
other,COMMISSION EXECUTIVE ASSISTANT L
other,COMMUNICATION TECHNICIAN
other,COMMUNICATIONS TECHNICIAN
other,COMMUNICATIONS TECHNICIAN I
other,COMMUNITY DEVELOPMENT TECHNICIAN
other,COMMUNITY SERVICES REPRESENTATIVE
other,CONSTRUCTION SERVICES TECHNICIAN II
firefighter,CONTRACT DEPUTY FIRE MARSHAL I
firefighter,CONTRACT FIRE CHIEF
other,CONTRACT INTERN
firefighter,COUNTY FIRE CHIEF
other,COURIER PART-TIME
other,COURT SECRETARY PART TIME
other,DATA BASE ARCHITECT
other,DATA CONTROL ASSISTANT II
other,DATA ENTRY CLERK - TEMP
other,DELIVERY DRIVER II
other,DELIVERY DRIVER IL
firefighter,DEP CHIEF OF DEPT. (FIRE DEPT.)
firefighter,DEP FIRE CHIEF
firefighter,DEP FIRE CHIEF - FIRE MARSHAL
firefighter,DEP FIRE CHIEF I
firefighter,DEP FIRE CHIEF II
firefighter,DEP FIRE CHIEF-FIRE MARSHAL
firefighter,DEP FIRE MARSHAL
firefighter,DEP FIRE MARSHALL
other,DEPARTMENT INTERN
other,DEPARTMENT SECRETARY
other,DEPARTMENT SECRETARY I
other,DEPARTMENT SECRETARY II
other,DEPARTMENTAL CHIEF ACCOUNTANT II
other,DEPARTMENTAL CHIEF ACCOUNTANT III
other,DEPARTMENTAL CHIEF ACCOUNTANT LLL
other,DEPARTMENTAL CHIEF INFORMATION OFFICER I
other,DEPARTMENTAL PERSONNEL TECHNICIAN
firefighter,DEPT. FIRE CHIEF I
firefighter,DEPT. FIRE CHIEF II
other,DEPTL CHIEF INFORMATION OFFICER I
other,DEPTY CHIEF/FIRE TRAINING OFFR
firefighter,DEPUTY CHIEF
firefighter,DEPUTY CHIEF - FIRE PREVENTION
firefighter,DEPUTY CHIEF - OPERATIONS
firefighter,DEPUTY CHIEF - SUPPORT SERVICES
firefighter,DEPUTY CHIEF - SUPPRESSION
firefighter,DEPUTY CHIEF - TRAINING
firefighter,DEPUTY CHIEF FIRE SERVICES
firefighter,"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPART"
firefighter,"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)"
firefighter,"DEPUTY CHIEF OF DEPARTMENT,(FIRE DEPARTMENT)"
firefighter,DEPUTY CHIEF OF FIRE DEPARTMENT
other,"DEPUTY CHIEF, FIRE PREVENTION"
other,"DEPUTY CHIEF, OPERATIONS"
other,"DEPUTY CHIEF, SUPPORT SERVICES"
other,"DEPUTY CHIEF, TRAINING"
other,DEPUTY CHIEF/ADMINISTRATION & PREVENTION
other,DEPUTY CHIEF/FIRE MARSHAL
other,DEPUTY CHIEF/OPERATIONS & SUPPORT
firefighter,DEPUTY FIRE CHIEF
firefighter,DEPUTY FIRE CHIEF - EMT
firefighter,DEPUTY FIRE CHIEF ( C )
firefighter,DEPUTY FIRE CHIEF ( C&U )
firefighter,DEPUTY FIRE CHIEF (40 HR)
firefighter,DEPUTY FIRE CHIEF (C)
firefighter,DEPUTY FIRE CHIEF (INTERIM)
firefighter,DEPUTY FIRE CHIEF (RM)
firefighter,DEPUTY FIRE CHIEF 5%
firefighter,DEPUTY FIRE CHIEF I
firefighter,DEPUTY FIRE CHIEF II
firefighter,DEPUTY FIRE CHIEF P/T
firefighter,DEPUTY FIRE CHIEF PART TIME
firefighter,DEPUTY FIRE CHIEF U
firefighter,DEPUTY FIRE CHIEF W/STIP
firefighter,DEPUTY FIRE CHIEF-C
firefighter,DEPUTY FIRE CHIEF-FIRE MARSHAL
firefighter,"DEPUTY FIRE CHIEF, BUSINESS OPNS (UC)"
firefighter,"DEPUTY FIRE CHIEF, EMER OPNS (UC)"
firefighter,"DEPUTY FIRE CHIEF,BUSINESS OPNS(UC)"
firefighter,"DEPUTY FIRE CHIEF,EMER OPNS(UC)"
firefighter,DEPUTY FIRE MARSHAL
firefighter,DEPUTY FIRE MARSHAL - 2E
other,DEPUTY FIRE MARSHAL - PART-TIME
firefighter,DEPUTY FIRE MARSHAL + 1.25%
firefighter,DEPUTY FIRE MARSHAL I
firefighter,DEPUTY FIRE MARSHAL I/II
firefighter,DEPUTY FIRE MARSHAL II
firefighter,DEPUTY FIRE MARSHALL
firefighter,DEPUTY PROBATION OFIREFIGHTERICER II
other,DIRECTOR OF SYSTEMS
firefighter,DISTRICT ASSISTANT FIRE CHIEF
firefighter,DISTRICT FIRE CHIEF
other,DISTRICT FIREMAN / EMERGENCY MEDICAL TECHNICIAN
other,DIV CHIEF FIRE TRAINER/FIRE MARSHALL
other,DIV CHIEF-OPERATIONS
other,DIV CHIEF/FIRE MARSHAL
firefighter,DIVISION CHIEF
other,DIVISION CHIEF - ADMIN
other,DIVISION CHIEF - OPERATIONS
firefighter,DIVISION CHIEF - SUPPRESSION
other,DIVISION CHIEF - TRAINING
other,DIVISION CHIEF 08-15
other,DIVISION CHIEF/OPERATIONS
other,DIVISION FIRE CHIEF
other,DIVISION FIRE CHIEF - TEMPORARY
other,DIVISIONS CHIEF
other,DRAFTING AIDE
firefighter,DRIVER/ENGINEER 24 HOURS
firefighter,DRIVER/ENGINEER TRAINING DIVISION
other,DRIVER/OPERATOR - RESERVE
other,E600 SECRETARY
other,EH ENGINEERING AIDE I
other,EH PAID CALL FIREFIGHTER
other,EH STUDENT INTERN
other,EH VOLUNTEER FIREFIGHTER INCDNT FEE
other,EMERG MGMT AND VOL SVC PROG SPEC
other,EMERG MGMT AND VOL SVCS PROG MGR
other,EMERGENCY MANAGEMENT PREPARATION INTERN
other,EMERGENCY MEDIC TECHNICIAN BLS
firefighter,EMERGENCY MEDICAL SERVICE CAPTAIN
firefighter,EMERGENCY MEDICAL SERVICES CAPTAIN
firefighter,EMERGENCY MEDICAL SERVICES CHIEF
other,EMERGENCY MEDICAL SERVICES EDUCATION COORDINATOR
other,EMERGENCY MEDICAL SERVICES EDUCATOR
firefighter,EMERGENCY MEDICAL SVCS CHIEF
other,EMERGENCY MEDICAL TECH
other,EMERGENCY MEDICAL TECHNICIAN
other,EMERGENCY MEDICAL TECHNICIAN - HOURLY
other,EMERGENCY MEDICAL TECHNICIAN - PART TIME
other,EMERGENCY MEDICAL TECHNICIAN (80019)
other,EMERGENCY MEDICAL TECHNICIAN COORDINATOR
other,EMERGENCY MEDICAL TECHNICIAN-PT
other,EMERGENCY MGMT. & VOL SVC PROG SPEC
other,EMERGENCY MGMT. & VOL SVCS PROG MGR.
other,EMERGENCY OPERATIONS & VOLUNTEER SERVICES PROGRAM MANAGER
other,EMERGENCY OPERATIONS & VOLUNTEER SERVICES PROGRAM SPECIALIST
firefighter,EMS CAPTAIN
other,EMS EDUCATION COORD
other,EMS PARAMEDIC NURSE COORDINATOR
firefighter,EMS SECTION CHIEF
firefighter,EMT B/FIREFIGHTER
firefighter,EMT/FIRE FIGHTER APPRENTICE
firefighter,EMT/PARAMEDIC/FIREFIGHTER
firefighter,ENDOWMENT FIRE FIGHTER
firefighter,ENGINEER
other,ENGINEER (VOLUNTEER)
firefighter,ENGINEER I
firefighter,ENGINEER II
firefighter,ENGINEER OF FIRE DEPARTMENT
firefighter,ENGINEER PARAMEDIC
firefighter,ENGINEER-PARAMEDIC
firefighter,"ENGINEER, FIRE"
firefighter,ENGINEER/EMT
firefighter,ENGINEER/FIRE FIGHTER
firefighter,ENGINEER/FIREFIGHTER
firefighter,ENGINEER/PARAMADIC
firefighter,ENGINEER/PARAMEDIC
firefighter,ENGINEER/PARAMEDICS
other,ENGINEERING AID III
other,ENGINEERING GEOLOGIST ASSOCIATE IV
other,ENGINEERING PROJECT SPECIALIST
other,ENGINEERING TECHNICIAN I
other,ENGINEERING TECHNICIAN II/III
firefighter,ENGINEERING/EMT
other,ENVIRONMENTAL PROTECTION SPECIALIST - CERTIFIED PROFESSIONAL ENGINEER
firefighter,EPT-FIREFIGHTER
other,EQUIPMENT MECHANIC
other,EQUIPMENT MECHANIC V
other,EQUIPMENT REPAIR SUPERVISOR
other,EQUIPMENT SPECIALIST I
other,EQUIPMENT SPECIALIST II
other,EQUIPMENT SUPERINTENDENT
other,EXEC SECRETARY
other,EXEC SECRETARY-EXEMPT
other,EXECUTIVE ADMINISTRATIVE ASSISTANT II
other,EXECUTIVE ADMINISTRATIVE ASSISTANT III
other,EXECUTIVE ADMINISTRATIVE ASSISTANT ILL
other,EXECUTIVE ADMINISTRATIVE ASSISTANT LL
other,EXECUTIVE ASSISTANT
other,EXECUTIVE SECRETARY
other,EXECUTIVE SECRETARY (STENO)
other,EXECUTIVE SECRETARY / PART TIME
other,EXECUTIVE SECRETARY 2
other,EXECUTIVE SECRETARY 3
other,EXECUTIVE SECRETARY I
other,EXECUTIVE SECRETARY II
other,EXECUTIVE SECRETARY III
other,EXTRA HELP - DISTRICT SECRETARY
other,EXTRA HELP STUDENT INTERN
firefighter,F630 FIRE CAPTAIN
firefighter,F700 FIRE FIGHTER
firefighter,F700 FIRE FIGHTER/ENGINEER
firefighter,F705 FIRE FIGHTER
firefighter,F705 FIRE FIGHTER - JPA 6
firefighter,F710 FIRE FIGHTER/PARAMEDIC
firefighter,F715 FIRE FIGHTER/PARAMEDIC - JPA 6
firefighter,F800 DEPUTY FIRE MARSHAL
other,FD TEMP
firefighter,FF/ENGINEER
firefighter,FF/PARA I
firefighter,FF/PARA II
firefighter,FF/PARA TRAINEE
firefighter,FF/PARAMED
firefighter,FF/PARAMEDIC
firefighter,FF/PARAMEDIC II
other,FF/TRAINEE
firefighter,FFS/ENGINEER
firefighter,FIER CAPTAIN
other,FILL IN PARAMEDIC
firefighter,FIRE  CAPTAIN BT
other,FIRE - PART-TIME FIREFIGHTER
other,FIRE ADMIN SVCS SUPV
other,FIRE ADMINISTRATION TECHNICIAN
other,FIRE ADMINISTRATOR
firefighter,FIRE APARATUS ENGINEER
firefighter,FIRE APPARATUS ENGINEER
other,FIRE APPARATUS TECHNICIAN I
other,FIRE APPARATUS TECHNICIAN II
firefighter,FIRE ASSISTANT CHIEF
firefighter,FIRE BATALLION CHIEF
firefighter,FIRE BATALLION CHIEF (40 HOUR)
firefighter,FIRE BATT CHIEF
firefighter,FIRE BATT CHIEF - OPERATIONS
firefighter,FIRE BATT CHIEF 80 HRS
firefighter,FIRE BATT CHIEF-40 HR
firefighter,FIRE BATT CHIEF-SUPPRESS
firefighter,FIRE BATTALION  CHIEF
firefighter,FIRE BATTALION CHIEF
firefighter,FIRE BATTALION CHIEF - 112 HOURS
firefighter,FIRE BATTALION CHIEF - 112 HRS
firefighter,FIRE BATTALION CHIEF - 40 HR
firefighter,FIRE BATTALION CHIEF - 40 HR.
firefighter,FIRE BATTALION CHIEF - 40 HRS
firefighter,FIRE BATTALION CHIEF - 56
firefighter,FIRE BATTALION CHIEF - ADMINISTRATION - PDP LEVEL 4
firefighter,FIRE BATTALION CHIEF - OPERATIONS
other,FIRE BATTALION CHIEF - PART-TIME
firefighter,FIRE BATTALION CHIEF - PDP L4
firefighter,FIRE BATTALION CHIEF - PDP LEVEL 4
firefighter,FIRE BATTALION CHIEF - PDP LEVEL 5
other,FIRE BATTALION CHIEF - TEMP
firefighter,FIRE BATTALION CHIEF (112 HR)
firefighter,FIRE BATTALION CHIEF (40 HOUR)
firefighter,FIRE BATTALION CHIEF (40 HOURS)
firefighter,FIRE BATTALION CHIEF (56 HOUR)
