fips,place_clean,state_name,place_type,2012,2016,2020
4606100000,Hanson,South Dakota,Other,,4.0,
4606300000,Harding,South Dakota,County,8.0,,6.0
4606300000,Harding,South Dakota,Other,,7.0,
4606500000,Hughes,South Dakota,County,15.0,,6.0
4606500000,Hughes,South Dakota,Other,,7.0,
4606700000,Hutchinson,South Dakota,County,7.0,,7.0
4606700000,Hutchinson,South Dakota,Other,,7.0,
4606900000,Hyde,South Dakota,County,2.0,,3.0
4606900000,Hyde,South Dakota,Other,,2.0,
4607100000,Jackson,South Dakota,County,7.0,,8.0
4607100000,Jackson,South Dakota,Other,,7.0,
4607300000,Jerauld,South Dakota,County,6.0,,2.0
4607300000,Jerauld,South Dakota,Other,,2.0,
4607500000,Jones,South Dakota,County,,,2.0
4607500000,Jones,South Dakota,Other,,3.0,
4607700000,Kingsbury,South Dakota,County,8.0,,1.0
4607700000,Kingsbury,South Dakota,Other,,6.0,
4607900000,Lake,South Dakota,County,6.0,,7.0
4607900000,Lake,South Dakota,Other,,6.0,
4608100000,Lawrence,South Dakota,County,9.0,,7.0
4608100000,Lawrence,South Dakota,Other,,9.0,
4608300000,Lincoln,South Dakota,County,18.0,,22.0
4608300000,Lincoln,South Dakota,Other,,18.0,
4608500000,Lyman,South Dakota,County,8.0,,7.0
4608500000,Lyman,South Dakota,Other,,7.0,
4608700000,Mccook,South Dakota,County,5.0,,5.0
4608700000,Mccook,South Dakota,Other,,6.0,
4608900000,Mcpherson,South Dakota,County,4.0,,3.0
4608900000,Mcpherson,South Dakota,Other,,7.0,
4609100000,Marshall,South Dakota,County,10.0,,6.0
4609100000,Marshall,South Dakota,Other,,9.0,
4609300000,Meade,South Dakota,County,18.0,,15.0
4609300000,Meade,South Dakota,Other,,18.0,
4609500000,Mellette,South Dakota,County,4.0,,3.0
4609500000,Mellette,South Dakota,Other,,3.0,
4609700000,Miner,South Dakota,County,4.0,,1.0
4609700000,Miner,South Dakota,Other,,5.0,
4609900000,Minnehaha,South Dakota,County,71.0,,72.0
4609900000,Minnehaha,South Dakota,Other,,71.0,
4610100000,Moody,South Dakota,County,6.0,,3.0
4610100000,Moody,South Dakota,Other,,5.0,
4610200000,Oglala Lakota,South Dakota,County,,,9.0
4610300000,Pennington,South Dakota,County,40.0,,31.0
4610300000,Pennington,South Dakota,Other,,34.0,
4610500000,Perkins,South Dakota,County,7.0,,7.0
4610500000,Perkins,South Dakota,Other,,7.0,
4610700000,Potter,South Dakota,County,2.0,,2.0
4610700000,Potter,South Dakota,Other,,2.0,
4610900000,Roberts,South Dakota,County,8.0,,9.0
4610900000,Roberts,South Dakota,Other,,12.0,
4611100000,Sanborn,South Dakota,County,4.0,,3.0
4611100000,Sanborn,South Dakota,Other,,4.0,
4611300000,Oglala Lakota,South Dakota,Other,,9.0,
4611300000,Shannon,South Dakota,County,9.0,,
4611500000,Spink,South Dakota,County,5.0,,7.0
4611500000,Spink,South Dakota,Other,,7.0,
4611700000,Stanley,South Dakota,County,3.0,,3.0
4611700000,Stanley,South Dakota,Other,,4.0,
4611900000,Sully,South Dakota,County,5.0,,3.0
4611900000,Sully,South Dakota,Other,,4.0,
4612100000,Todd,South Dakota,County,10.0,,8.0
4612100000,Todd,South Dakota,Other,,9.0,
4612300000,Tripp,South Dakota,County,8.0,,7.0
4612300000,Tripp,South Dakota,Other,,7.0,
4612500000,Turner,South Dakota,County,9.0,,8.0
4612500000,Turner,South Dakota,Other,,9.0,
4612700000,Union,South Dakota,County,8.0,,8.0
4612700000,Union,South Dakota,Other,,8.0,
4612900000,Walworth,South Dakota,County,4.0,,6.0
4612900000,Walworth,South Dakota,Other,,7.0,
4613500000,Yankton,South Dakota,County,7.0,,6.0
4613500000,Yankton,South Dakota,Other,,7.0,
4613700000,Ziebach,South Dakota,County,8.0,,6.0
4613700000,Ziebach,South Dakota,Other,,6.0,
4800100000,Anderson,Texas,County,23.0,23.0,22.0
4800300000,Andrews,Texas,County,2.0,1.0,1.0
4800500000,Angelina,Texas,County,35.0,27.0,30.0
4800700000,Aransas,Texas,County,7.0,4.0,5.0
4800900000,Archer,Texas,County,13.0,14.0,6.0
4801100000,Armstrong,Texas,County,7.0,7.0,6.0
4801300000,Atascosa,Texas,County,24.0,24.0,15.0
4801500000,Austin,Texas,County,19.0,19.0,16.0
4801700000,Bailey,Texas,County,2.0,2.0,1.0
4801900000,Bandera,Texas,County,13.0,10.0,10.0
4802100000,Bastrop,Texas,County,28.0,,22.0
4802300000,Baylor,Texas,County,5.0,,4.0
4802500000,Bee,Texas,County,,18.0,7.0
4802700000,Bell,Texas,County,53.0,,41.0
4802900000,Bexar,Texas,County,342.0,346.0,302.0
4803100000,Blanco,Texas,County,7.0,,6.0
4803300000,Borden,Texas,County,8.0,8.0,7.0
4803500000,Bosque,Texas,County,15.0,12.0,11.0
4803700000,Bowie,Texas,County,37.0,36.0,33.0
4803900000,Brazoria,Texas,County,73.0,49.0,35.0
4804100000,Brazos,Texas,County,41.0,30.0,25.0
4804300000,Brewster,Texas,County,12.0,,7.0
4804500000,Briscoe,Texas,County,6.0,4.0,4.0
4804700000,Brooks,Texas,County,,6.0,5.0
4804900000,Brown,Texas,County,17.0,17.0,18.0
4805100000,Burleson,Texas,County,17.0,16.0,13.0
4805300000,Burnet,Texas,County,22.0,20.0,21.0
4805500000,Caldwell,Texas,County,27.0,16.0,17.0
4805700000,Calhoun,Texas,County,24.0,23.0,14.0
4805900000,Callahan,Texas,County,10.0,9.0,5.0
4806100000,Cameron,Texas,County,104.0,104.0,73.0
4806300000,Camp,Texas,County,5.0,,4.0
4806500000,Carson,Texas,County,,8.0,8.0
4806700000,Cass,Texas,County,19.0,18.0,13.0
4806900000,Castro,Texas,County,9.0,,8.0
4807100000,Chambers,Texas,County,18.0,18.0,12.0
4807300000,Cherokee,Texas,County,28.0,26.0,25.0
4807500000,Childress,Texas,County,5.0,5.0,4.0
4807700000,Clay,Texas,County,17.0,,13.0
4807900000,Cochran,Texas,County,6.0,,3.0
4808100000,Coke,Texas,County,6.0,4.0,4.0
4808300000,Coleman,Texas,County,6.0,6.0,4.0
4808500000,Collin,Texas,County,25.0,107.0,102.0
4808700000,Collingsworth,Texas,County,8.0,8.0,7.0
4808900000,Colorado,Texas,County,13.0,13.0,12.0
4809100000,Comal,Texas,County,26.0,27.0,24.0
4809300000,Comanche,Texas,County,16.0,14.0,12.0
4809500000,Concho,Texas,County,9.0,9.0,9.0
4809700000,Cooke,Texas,County,17.0,17.0,29.0
4809900000,Coryell,Texas,County,17.0,8.0,8.0
4810100000,Cottle,Texas,County,,6.0,5.0
4810300000,Crane,Texas,County,5.0,5.0,4.0
4810500000,Crockett,Texas,County,5.0,4.0,4.0
4810700000,Crosby,Texas,County,5.0,,4.0
4810900000,Culberson,Texas,County,6.0,6.0,5.0
4811100000,Dallam,Texas,County,,3.0,4.0
4811300000,Dallas,Texas,County,514.0,535.0,464.0
4811500000,Dawson,Texas,County,10.0,,9.0
4811700000,Deaf Smith,Texas,County,5.0,,4.0
4811900000,Delta,Texas,County,8.0,,7.0
4812100000,Denton,Texas,County,117.0,135.0,156.0
4812300000,Dewitt,Texas,County,9.0,11.0,7.0
4812500000,Dickens,Texas,County,7.0,,7.0
4812700000,Dimmit,Texas,County,8.0,,1.0
4812900000,Donley,Texas,County,7.0,7.0,6.0
4813100000,Duval,Texas,County,12.0,9.0,9.0
4813300000,Eastland,Texas,County,10.0,9.0,9.0
4813500000,Ector,Texas,County,33.0,25.0,25.0
4813700000,Edwards,Texas,County,6.0,6.0,5.0
4813900000,Ellis,Texas,County,44.0,44.0,36.0
4814100000,El Paso,Texas,County,,219.0,151.0
4814300000,Erath,Texas,County,13.0,12.0,10.0
4814500000,Falls,Texas,County,14.0,,13.0
4814700000,Fannin,Texas,County,17.0,17.0,16.0
4814900000,Fayette,Texas,County,27.0,27.0,27.0
4815100000,Fisher,Texas,County,11.0,6.0,4.0
4815300000,Floyd,Texas,County,4.0,2.0,2.0
4815500000,Foard,Texas,County,3.0,2.0,4.0
4815700000,Fort Bend,Texas,County,,83.0,85.0
4815900000,Franklin,Texas,County,9.0,9.0,8.0
4816100000,Freestone,Texas,County,22.0,21.0,15.0
4816300000,Frio,Texas,County,20.0,10.0,9.0
4816500000,Gaines,Texas,County,6.0,6.0,4.0
4816700000,Galveston,Texas,County,62.0,55.0,46.0
4816900000,Garza,Texas,County,7.0,7.0,6.0
4817100000,Gillespie,Texas,County,14.0,14.0,13.0
4817300000,Glasscock,Texas,County,5.0,4.0,4.0
4817500000,Goliad,Texas,County,10.0,9.0,9.0
4817700000,Gonzales,Texas,County,17.0,,14.0
4817900000,Gray,Texas,County,8.0,8.0,7.0
4818100000,Grayson,Texas,County,41.0,28.0,26.0
