data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9462898,466,MLI7222,7222,"21 August 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,28,"Western Africa",Mali,Mopti,Douentza,Dallah,Toula,14.8561,-2.6439,2,"Al Zallaqa","New media","On 21 August 2022, JNIM claimed to have clashed with Wagner mercenaries near Toula (Douentza, Mopti). The mercenaries fled and abandoned two motorcycles. JNIM published photographs of the motorcycles captured.",0,1663010290,MLI
9462900,466,MLI7284,7284,"21 August 2022",2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Wagner Group","Military Forces of Mali (2021-)",8,28,"Western Africa",Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,"Al Zallaqa","New media","On 21 August 2022, JNIM claimed to have detonated an IED against an armored vehicle of Wagner and FAMa between Boni and Nokara (Douentza, Mopti). There were no casualties.",0,1663010290,MLI
9483627,804,UKR68539,68539,"15 August 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Wagner Group",,8,18,Europe,Ukraine,Luhansk,Sievierodonetskyi,Popasnianska,Popasna,48.6333,38.378,1,Ukrinform,National,"On 15 August 2022, Ukrainian forces destroyed a base of mercenaries from Russia's private military company Wagner in Popasna, Luhansk. Casualties unknown.",0,1663096259,UKR
9462604,466,MLI7212,7212,"13 August 2022",2022,1,Battles,"Armed clash","Wagner Group","Military Forces of Mali (2021-); Dan Na Ambassagou",8,28,"Western Africa",Mali,Mopti,Bandiagara,"Bara Sara",Diallo,14.1776,-3.8586,2,"Al Zallaqa; Undisclosed Source","Local partner-Other","On 13 August 2022, JNIM militants and a coalition of Wagner mercenaries, FAMa soldiers, and Dan Na Ambassagou militiamen clashed near the village of Diallo (Bandiagara, Mopti). Ten coalition members and four militants were killed. JNIM claimed responsibility and said that four Wagner and one JNIM fighter were killed.",14,1663010289,MLI
9462605,466,MLI7214,7214,"13 August 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,48,"Western Africa",Mali,Mopti,Mopti,Sio,Somadougou,14.2846,-4.0647,2,"Undisclosed Source; Whatsapp","Local partner-Other","On 13 August 2022, Dan Na Ambassagou militiamen attacked a Wagner convoy (mistaking them for militants) near Somadougou (Mopti, Mopti). One Wagner was killed.",1,1663010289,MLI
9463634,466,MLI7250,7250,"08 August 2022",2022,1,"Strategic developments","Change to group/activity","Wagner Group",,8,80,"Western Africa",Mali,Gao,Ansongo,Tessit,Tessit,15.2238,0.2925,1,"Undisclosed Source","Local partner-Other","Movement of forces: On 8 August 2022, about fifty Wagner mercenaries with surveillance drone deployed in support of FAMa to the town of Tessit (Ansongo, Gao).",0,1663010292,MLI
9436419,140,CEN49033,49033,"01 August 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Mambere-Kadei,Berberati,Basse-Batouri,Berberati,4.2555,15.7875,1,"Corbeau News",National,"On 1 August 2022, Wagner Group attacked and beat up civilians gathered for a burial service in Berberati (Basse-Batouri, Berberati, Mambere-Kadei). The mercenaries have imposed silence from 7 pm and the service had lasted past the hour. The event led to no fatalities.",0,1659983150,CAF
9478952,804,UKR65540,65540,"29 July 2022",2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Wagner Group","Military Forces of Russia (2000-)",8,78,Europe,Ukraine,Donetsk,Kalmiuskyi,Dokuchaievska,Olenivka,47.8297,37.6473,2,"Novoye Vremya Ukraine; Institute for the Study of War; Ministry of Defence of Ukraine; DPR Armed Forces Press Service; RFE/RL; 24 Channel",Other-National,"On 29 July 2022, a detention facility housing Ukrainian prisoners of war, including Azov soldiers imprisoned after the surrender of Azovstal in Mariupol, was destroyed in an explosion near Olenivka, Donetsk. Ukrainian sources claim the building was destroyed by the Wagner Group, possible with the involvement of Russian forces, to cover up war crimes against the prisoners and to hide financial crimes from the Russian chain of command. Russian sources claimed that Ukraine shelled the Ukrainian prisoners with HIMARS (coded according to the Ukrainian version as independent sources consider the available visual evidence more consistent with Ukraine's claims). Around 53 prisoners of war were killed and 73 were wounded.",53,1663096246,UKR
9436418,140,CEN49032,49032,"28 July 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Mambere-Kadei,Berberati,Basse-Batouri,Berberati,4.2555,15.7875,1,"Corbeau News",National,"On 28 July 2022, Wagner Group mercenaries attacked an evangelical pastor in Berberati (Basse-Batouri, Berberati, Mambere-Kadei) severely beating him and destroying musical instruments. The mercenaries have imposed silence from 7 pm and the pastor was leading a evening service when he was beaten. The event led to no fatalities.",0,1659983150,CAF
9418958,140,CEN49024,49024,"19 July 2022",2022,2,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Ouaka,Bambari,Bambari,Bambari,5.7648,20.6542,1,"Corbeau News",National,"Around 19 July 2022, Wagner Group mercenaries beat a prosecutor in Bambari (Bambari, Bambari, Ouaka). The Wagner mercenaries were informed by their informant that the magistrate had told him to be careful with the mercenaries, which led to his attack.",0,1658774791,CAF
9418853,466,MLI6982,6982,"15 July 2022",2022,1,"Strategic developments","Looting/property destruction","Wagner Group","Military Forces of Mali (2021-)",8,28,"Western Africa",Mali,Menaka,Menaka,Menaka,Salanga,15.6345,2.2497,2,"Nashir; Amaq; Whatsapp; Undisclosed Source; Al Nabaa","Local partner-Other","Property destruction: On 15 July 2022, a surveillance drone crashed during a joint Wagner and FAMa operation in the area of Salanga (Menaka, Menaka). IS Sahel claimed to have shot down the drone and published a video showing the drone being destroyed on the ground by machine gunfire.",0,1658774791,MLI
9401442,466,MLI6945,6945,"07 July 2022",2022,2,"Strategic developments","Headquarters or base established","Wagner Group",,8,80,"Western Africa",Mali,Mopti,Douentza,Hombori,Hombori,15.279,-1.7004,1,"Undisclosed Source","Local partner-Other","Around 7 July 2022 (as reported), Wagner forces established a base in Hombori (Douentza, Mopti).",0,1657560245,MLI
9401277,140,CEN49016,49016,"02 July 2022",2022,1,"Strategic developments",Arrests,"Wagner Group","Military Forces of the Central African Republic (2016-); Police Forces of the Central African Republic (2016-); Military Forces of the Central African Republic (2016-) Gendarmerie",8,78,"Middle Africa","Central African Republic",Ouaka,Bambari,Bambari,Bambari,5.7648,20.6542,2,"Corbeau News",National,"On 2 July 2022, Wagner Group mercenaries with FACA, gendarmerie and police arrested around 30 civilians in Elevage, Bornou and Hadji districts of Bambari (Bambari, Bambari, Ouaka) in search of connections to rebel groups.",0,1657560244,CAF
9385996,466,MLI6896,6896,"30 June 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Western Africa",Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,1,"Undisclosed Source","Local partner-Other","On 30 June 2022, Wagner mercenaries shot and wounded a girl in Boni (Douentza, Mopti). [women targeted: girls]",0,1657036698,MLI
9401275,140,CEN49015,49015,"23 June 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Ouaka,Bambari,Bambari,Bambari,5.7648,20.6542,1,"Corbeau News",National,"On 23 June 2022, Wagner Group mercenaries kidnapped and tortured a civilian to death in Lawane district of Bambari (Bambari, Bambari, Ouaka). The mercenaries suspected the civilian to be the doctor of Ali Darassa, the leader of UPC rebel group.",1,1657560244,CAF
9377143,466,MLI6878,6878,"19 June 2022",2022,1,"Strategic developments","Change to group/activity","Wagner Group","Military Forces of Mali (2021-)",8,80,"Western Africa",Mali,Menaka,Menaka,Menaka,Menaka,15.9182,2.4022,1,Twitter,"New media","Movement of forces: On 19 June 2022, Wagner mercenaries and Malian soldiers patrolled in the town of Menaka (Menaka, Menaka).",0,1656348317,MLI
9364306,466,MLI6821,6821,"15 June 2022",2022,1,"Strategic developments","Change to group/activity","Wagner Group",,8,80,"Western Africa",Mali,Menaka,Menaka,Menaka,Menaka,15.9182,2.4022,1,"aBamako; Twitter; Undisclosed Source","Local partner-Other","Movement of forces: On 15 June 2022, dozens of Wagner Group operatives aboard helicopters arrived in the town of Menaka (Menaka, Menaka). The operatives installed themselves at the military camp transferred by French Operation Barkhane forces to FAMa on 13 June.",0,1655827947,MLI
9364444,140,CEN48993,48993,"13 June 2022",2022,1,Battles,"Armed clash","Wagner Group","Military Forces of the Central African Republic (2016-)",8,38,"Middle Africa","Central African Republic",Basse-Kotto,Kembe,Kembe,Dimbi,4.6247,21.7203,1,"Corbeau News",National,"On 13 June 2022, Wagner Group mercenaries and FACA clashed with CPC in Dimbi (Kembe, Kembe, Basse-Kotto), unknown fatalities, coded to FP 3.",0,1655827947,CAF
9356026,466,MLI6779,6779,"09 June 2022",2022,1,"Strategic developments","Disrupted weapons use","Wagner Group",,8,28,"Western Africa",Mali,Mopti,Bandiagara,"Pignari Bana",Fiko,14.4554,-3.8996,2,Whatsapp,"New media","Defusal: On 9 June 2022, Russian forces (assumed to be Wagner Group) discovered and destroyed an IED likely planted by JNIM militants near the village of Fiko (Bandiagara, Mopti).",0,1655149930,MLI
9360678,804,UKR60253,60253,"09 June 2022",2022,1,"Explosions/Remote violence","Air/drone strike","Wagner Group",,8,18,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Stakhanov,48.5682,38.6435,1,"Novoye Vremya; 24 Channel",National-Regional,"On 9 June 2022, Ukrainian forces launched an airstrike on the Wagner group military base in Stakhanov, Luhansk. According to the Luhansk military administration, all Wagner group members, who were inside the base, were killed, except for one person. Unspecified casualties coded as 10.",10,1655227260,UKR
9355849,140,CEN48989,48989,"08 June 2022",2022,2,"Strategic developments",Arrests,"Wagner Group",,8,18,"Middle Africa","Central African Republic",Nana-Mambere,Bouar,Herman-Brousse,Bouar,5.9312,15.593,1,"Corbeau News",National,"Around 8 June 2022, Wagner Group mercenaries arrested 30 FACA in Bouar (Herman-Brousse, Bouar, Nana-Mambere) after they had abandoned their army posts in Ngaoukala and Hassana.",0,1655149929,CAF
9355714,140,CEN48991,48991,"07 June 2022",2022,1,"Strategic developments",Other,"Wagner Group",,8,88,"Middle Africa","Central African Republic",Bangui,Bangui,Bangui,Bangui,4.3612,18.5549,1,"Corbeau News; Camer.be",National-Regional,"Non-violent activity: On 7 June 2022, Wagner Group mercenaries tried to abduct prisoners from the Roux military camp in Bangui (Bangui, Bangui, Bangui). The mercenaries were stopped by MINUSCA peacekeepers. No fighting took place, no fatalities or injuries",0,1655149929,CAF
9348625,140,CEN48982,48982,"27 May 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,38,"Middle Africa","Central African Republic",Ouham,Bossangoa,"Ben Zambe",Gaga,6.8056,17.6519,2,"Corbeau News",National,"On 27 May 2022, unidentified armed men clashed with mercenaries from the Wagner Group in Djouwe, coded to Gaga (Ben Zambe, Bossangoa, Ouham) leading to the death of 2 mercenaries and 4 others wounded.",2,1654534166,CAF
9348626,140,CEN48981,48981,"26 May 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,38,"Middle Africa","Central African Republic",Ouham-Pende,Ngaoundaye,Mbili,Kaita,7.1386,15.2668,2,"Corbeau News",National,"On 26 May 2022, 3R elements clashed with the mercenaries from the Wagner Group near Kaita (Mbili, Ngaoundaye, Ouham-Pende). The mercenaries abandoned their vehicles and equipment as they fled. 3 mercenaries were seriously injured, no fatalities.",0,1654534166,CAF
9340205,140,CEN48978,48978,"25 May 2022",2022,1,"Strategic developments","Looting/property destruction","Wagner Group",,8,78,"Middle Africa","Central African Republic",Vakaga,Birao,Ouandja,Tiringoulou,9.5479,21.8555,1,"Corbeau News",National,"Looting: On 25 May 2022, mercenaries from the Wagner group looted Tiringoulou (Ouandja, Birao, Vakaga). They drove the civilians out of the village blocking the roads to the city to prevent civilians to return.",0,1653932199,CAF
9340213,140,CEN48979,48979,"25 May 2022",2022,1,"Strategic developments","Looting/property destruction","Wagner Group",,8,78,"Middle Africa","Central African Republic",Vakaga,Birao,Ouandja,Tiringoulou,9.5479,21.8555,2,"Corbeau News",National,"Looting: On 25 May 2022, mercenaries from the Wagner group looted Manou, coded to Tiringoulou (Ouandja, Birao, Vakaga). They drove the civilians out of the village and blocking car of the Justice Minister.",0,1653932200,CAF
9340210,140,CEN48977,48977,"22 May 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Vakaga,Birao,Ouandja,Gordil,9.6101,21.687,2,"Corbeau News",National,"On 22 May 2022, mercenaries from the Wagner group attacked civilians in Ndah mining site, coded to Gordil (Ouandja, Birao, Vakaga) killing at least 5 and looting more than 100 motorbikes, money and gold.",5,1653932200,CAF
9340211,140,CEN48974,48974,"21 May 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,18,"Middle Africa","Central African Republic",Lobaye,Boda,Lobaye,Boda,4.3153,17.4669,1,"Corbeau News",National,"On 21 May 2022, mercenaries from the Wagner group tortured at least 2 FACA soldiers in Boda (Lobaye, Boda, Lobaye), leading to the death of 1 FACA soldier. The mercenaries carried out the torture of the soldiers for drinking too much alcohol.",1,1653932200,CAF
9280478,466,MLI6684,6684,"16 May 2022",2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Wagner Group","Military Forces of Mali (2021-)",8,28,"Western Africa",Mali,Mopti,Djenne,Femaye,Waya,13.9619,-4.4319,2,"Undisclosed Source; FAMAMali","Local partner-Other","On 16 May 2022, one JNIM militant was killed and another wounded by the explosion of a booby-trap set up by Wagner and FAMa forces at their camp in the area of Waya (Djenne, Mopti).",1,1653327027,MLI
9238023,140,CEN48959,48959,"12 May 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,18,"Middle Africa","Central African Republic",Nana-Mambere,Bouar,Yenga,Ngaguene,6.0659,15.3776,1,"Corbeau News",National,"On 12 May 2022, fighters of the Wagner group captured and allegedly tortured soldiers in Ngaguene (Yenga, Bouar, Nana-Mambere) after they killed one Fulani pastoralist (coded separately).",0,1652723378,CAF
9238226,466,MLI6618,6618,"10 May 2022",2022,1,"Violence against civilians","Abduction/forced disappearance","Wagner Group",,8,78,"Western Africa",Mali,Mopti,Douentza,Hombori,Hombori,15.279,-1.7004,1,Twitter,"New media","On 10 May 2022, Russian instructors (assumed to be Wagner Group) abducted five people at the market in Hombori (Douentza, Mopti).",0,1652723378,MLI
9238018,140,CEN48960,48960,"07 May 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,38,"Middle Africa","Central African Republic",Mambere-Kadei,Gadzi,Topia,Gadzi,4.7756,16.7072,1,"Corbeau News",National,"On 7 May 2022, mercenaries from the Wagner group attacked unidentified armed men in Gadzi (Topia, Gadzi, Mambere-Kadei). Casualties unknown.",0,1652723378,CAF
9238020,140,CEN48962,48962,"07 May 2022",2022,2,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Bangui,Bangui,"Arrondissement 7","Bangui - 7",4.3759,18.6126,1,"Corbeau News",National,"Around 7 May 2022, mercenaries from the Wagner group attacked and injured an orphaned child in Bangui - 7 (Arrondissement 7, Bangui). The child had picked up an empty water bottle to sell which the mercenaries wanted.",0,1652723378,CAF
9238022,140,CEN48965,48965,"04 May 2022",2022,1,"Strategic developments","Looting/property destruction","Wagner Group","Military Forces of the Central African Republic (2016-); Military Forces of the Central African Republic (2016-) Gendarmerie",8,78,"Middle Africa","Central African Republic",Ouham-Pende,Bozoum,Dan-Gbabiri,Bata,6.3149,16.4269,1,"Corbeau News",National,"Looting: On 4 May 2022, mercenaries from the Wagner group with FACA and gendarmes looted primarily from women in the village of Bata (Dan-Gbabiri, Bozoum, Ouham-Pende), also destroying properties and shops, looting goods and arresting civilians.",0,1652723378,CAF
9195002,140,CEN48949,48949,"03 May 2022",2022,2,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Nana-Mambere,Baboua,Kounde,Kounde,6.1074,14.634,1,"Corbeau News",National,"Around 3 May 2022, mercenaries from the Wagner group beat up and tortured 5 civilians in Kpande [Kounde] (Kounde, Baboua, Nana-Mambere). The 5 civilians were former armed group members who had disarmed in December and were seeking to work at a mining site that was overtaken by the Wagner mercenaries.",0,1652116565,CAF
9237917,466,MLI6567,6567,"03 May 2022",2022,1,"Strategic developments","Looting/property destruction","Wagner Group",,8,78,"Western Africa",Mali,Segou,Niono,Nampalari,Lougui,14.9822,-5.6052,1,"Whatsapp; Facebook; Undisclosed Source","Local partner-Other","Looting: On 3 May 2022, Wagner forces raided the Tuareg village of Lougui (Niono, Segou). The force searched the village, pillaged the market and seized belongings including valuables and cash from residents. The mercenaries had cut the Nampala telecommunications network before raiding the village.",0,1652723378,MLI
9195000,140,CEN48951,48951,"25 April 2022",2022,1,Battles,"Armed clash","Wagner Group","Military Forces of the Central African Republic (2016-)",8,38,"Middle Africa","Central African Republic",Ouaka,Kouango,Azengue-Mindou,Lioto,5.3123,20.1584,1,"Corbeau News",National,"On 25 April 2022, mercenaries from the Wagner group and FACA clashed with UPC elements under the CPC coalition in Lioto (Azengue-Mindou, Kouango, Ouaka), leading to the death of at least 2 UPC elements and 1 mercenary was seriously injured.",2,1652116565,CAF
9194999,140,CEN48953,48953,"23 April 2022",2022,2,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Ouaka,Bambari,Danga-Gboudou,Ndassima,6.1389,20.7779,1,"Corbeau News",National,"Around 23 April 2022, mercenaries from the Wagner group abducted and then killed six civilians in Ndachima (Ndassima) (Danga-Gboudou, Bambari, Ouaka), including the Imam of Ndassima. The mercenaries burnt the victims' bodies.",6,1652116565,CAF
9151233,140,CEN48942,48942,"21 April 2022",2022,2,"Violence against civilians",Attack,"Wagner Group","Military Forces of the Central African Republic (2016-)",8,78,"Middle Africa","Central African Republic",Ouham,Nana-Bakassa,Nana-Bakassa,Kouki,7.1663,17.3091,1,"Corbeau News",National,"Around 21 April 2022, mercenaries from the Wagner group and FACA conducted a joint operation in the mining village of Kouki (Nana-Bakassa, Nana-Bakassa, Ouham). Mercenaries' arrested civilians and shot those who tried to escape. Those captured were tied up and tortured. At least 2 dead.",2,1650902756,CAF
9151112,466,MLI6535,6535,"20 April 2022",2022,1,"Strategic developments",Other,"Wagner Group","Military Forces of Mali (2021-)",8,88,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,"In Aeld",15.8344,-1.2423,2,"FAMAMali; AFP; Le Figaro; RFI; AP",National-International,"Other: On 20 April 2022, overnight Wagner Group and Malian soldiers are believed to have staged a mass grave suggesting that French Operation Barkhane forces are responsible near In Aeld, Gossi Commune (Gourma-Rharous, Tombouctou). French aerial footage claims to show the operation carried out for disinformation purposes. The incident occurred less than two days after France handed over the Gossi military camp to the Malian armed forces (FAMa).",0,1650902756,MLI
9151114,466,MLI6538,6538,"19 April 2022",2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Wagner Group","Police Forces of Mali (2021-) Gendarmerie",8,28,"Western Africa",Mali,Mopti,Douentza,Hombori,Hombori,15.279,-1.7004,2,"FAMAMali; MSF; aBamako; Twitter; Whatsapp; RFI; AFP; Undisclosed Source","Local partner-Other","On 19 April 2022, a joint convoy of Malian gendarmes and Russian instructors (assumed to be Wagner Group) hit an IED near the town of Hombori (Douentza, Mopti). One Russian instructor was killed and at least Malian gendarme wounded. JNIM claimed responsibility by audio.",1,1650902756,MLI
9151232,140,CEN48940,48940,"16 April 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,38,"Middle Africa","Central African Republic",Mambere-Kadei,Amada-Gaza,Haute-Boumbe,Amada-Gaza,4.7721,15.1956,1,"Corbeau News",National,"On 16 April 2022, mercenaries from the Wagner group clashed with 3R elements in Amada-Gaza (Haute-Boumbe, Amada-Gaza, Mambere-Kadei), leading to at least 1 fatality and 1 wounded on the side of 3R.",1,1650902756,CAF
9104588,140,CEN48936,48936,"11 April 2022",2022,1,"Violence against civilians",Attack,"Wagner Group","Military Forces of the Central African Republic (2016-)",8,78,"Middle Africa","Central African Republic",Vakaga,Birao,Ouandja,Gordil,9.6101,21.687,1,"Corbeau News",National,"On 11 April 2022, Wagner militants helped by the Central African military forces attacked Gordil (Ouandja, Birao, Vakaga) and Ndil localities (coded separately), killing at least 22 civilians, confiscating at least 37 motorcycles and setting fire at hundreds of houses. Fatalities split between 2 events.",11,1650298593,CAF
9104590,140,CEN48935,48935,"11 April 2022",2022,1,"Violence against civilians",Attack,"Wagner Group","Military Forces of the Central African Republic (2016-)",8,78,"Middle Africa","Central African Republic",Vakaga,Birao,Ouandja,Gordil,9.6101,21.687,2,"Corbeau News",National,"On 11 April 2022, Wagner militants helped by the Central African military forces attacked Ndil locality (Ouandja, Birao, Vakaga) and Gordil (coded separately), killing at least 22 civilians, confiscating at least 37 motorcycles and setting fire at hundreds of houses. Fatalities split between 2 events.",11,1650298593,CAF
9151234,140,CEN48941,48941,"10 April 2022",2022,2,"Violence against civilians",Attack,"Wagner Group",,8,78,"Middle Africa","Central African Republic",Ouaka,Bambari,Danga-Gboudou,Ndassima,6.1389,20.7779,1,"Corbeau News",National,"Around 10 April 2022, mercenaries from the Wagner group killed the village chief in Ndachima (Danga-Gboudou, Bambari, Ouaka) (also spelt Ndassima) because they alleged that he and his family were supporters of UPC.",1,1650902756,CAF
9151235,140,CEN48946,48946,"10 April 2022",2022,1,"Violence against civilians","Sexual violence","Wagner Group",,8,78,"Middle Africa","Central African Republic",Bangui,Bangui,Bangui,Bangui,4.3612,18.5549,1,"Corbeau News",National,"On 10 April 2022, 3 mercenaries from the Wagner group gang-raped patients and nurses at Henri Izamo camp of the national gendarmerie in Bangui (Bangui, Bangui, Bangui).",0,1650902757,CAF
8974340,466,MLI6430,6430,"27 March 2022",2022,1,Battles,"Armed clash","Wagner Group","Military Forces of Mali (2021-)",8,28,"Western Africa",Mali,Mopti,Douentza,Haire,Yirma,14.6264,-2.1611,2,"Undisclosed Source; Whatsapp","Local partner-Other","On 27 March 2022, Wagner and Malian forces killed two presumed JNIM militants and burned motorcycles between Yirma and Serma (Douentza, Mopti). One militant was beheaded with an axe.",2,1649088162,MLI
8974343,466,MLI6442,6442,"26 March 2022",2022,1,"Violence against civilians",Attack,"Wagner Group","Military Forces of Mali (2021-)",8,78,"Western Africa",Mali,Mopti,Douentza,Mondoro,Sambaladio,14.8283,-1.9538,1,"Undisclosed Source; Kisal","Local partner-Other","On 26 March 2022, Wagner and Malian forces killed at least ten people in the village of Sambaladio (Douentza, Mopti).",10,1649088162,MLI
8974479,140,CEN48915,48915,"25 March 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,38,"Middle Africa","Central African Republic",Ouham-Pende,Paoua,Paoua,Paoua,7.2452,16.4342,2,"Corbeau News",National,"On 25 March 2022, Wagner group militants attacked several RRR rebel group officers (under the CPC coalition) between Paoua and Pougole (coded to Paoua, Paoua, Oham-Pende), causing the killing of a RRR 'general' and three fighters.",4,1649088163,CAF
8974559,466,MLI6438,6438,"22 March 2022",2022,2,"Violence against civilians",Attack,"Wagner Group","Military Forces of Mali (2021-)",8,78,"Western Africa",Mali,Mopti,Koro,Diougani,Mbana,14.4583,-2.8261,1,Kisal,"New media","Around 22 March 2022 (between 20 - 24 March), Wagner and Malian forces killed four male members of the Fulani community in the village of Mbana (Koro, Mopti).",4,1649088163,MLI
