incident_id,incident_date,state,city_or_county,address,no_killed,no_injured,total,year,ap_state,postal_state,full_address
2135508,2021-10-07,Wisconsin,Milwaukee,W Cherry St and N 8th St,3,1,4,2021,Wis.,WI,"W Cherry St and N 8th St, Milwaukee, WI"
2126261,2021-09-26,Washington,Seattle (Des Moines),22855 Pacific Hwy S,3,3,6,2021,Wash.,WA,"22855 Pacific Hwy S, Seattle (Des Moines), WA"
2125444,2021-09-25,Tennessee,Athens,Co Rd 60,4,1,5,2021,Tenn.,TN,"Co Rd 60, Athens, TN"
2124396,2021-09-24,South Carolina,Aiken,749 Silver Bluff Rd,4,1,5,2021,S.C.,SC,"749 Silver Bluff Rd, Aiken, SC"
2115947,2021-09-12,Minnesota,Saint Paul,7th St W and N Walnut St,4,0,4,2021,Minn.,MN,"7th St W and N Walnut St, Saint Paul, MN"
2108414,2021-09-05,Texas,Houston,7518 Imogene St,4,0,4,2021,Texas,TX,"7518 Imogene St, Houston, TX"
2108302,2021-09-05,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,6,2021,Fla.,FL,"N Socrum Loop Rd and Fulton Green Rd, Lakeland, FL"
2107930,2021-09-04,District of Columbia,Washington,700 block of Longfellow St NW,3,3,6,2021,,DC,"700 Longfellow St NW, Washington, DC"
2104181,2021-08-30,Illinois,Normal,2000 block of Lambert Dr,3,3,6,2021,Ill.,IL,"2000 Lambert Dr, Normal, IL"
2091597,2021-08-15,Texas,San Antonio,1621 S New Braunfels Ave,3,2,5,2021,Texas,TX,"1621 S New Braunfels Ave, San Antonio, TX"
2085396,2021-08-08,New York,Brooklyn,101 Wortman Ave,3,2,5,2021,N.Y.,NY,"101 Wortman Ave, Brooklyn, NY"
2081131,2021-08-02,South Carolina,Greenwood,101 Heddy Rd,3,1,4,2021,S.C.,SC,"101 Heddy Rd, Greenwood, SC"
2077587,2021-07-29,Pennsylvania,Pittsburgh,239 Gilkeson Rd,3,2,5,2021,Pa.,PA,"239 Gilkeson Rd, Pittsburgh, PA"
2074406,2021-07-25,California,Wasco,1718 1st St,5,1,6,2021,Calif.,CA,"1718 1st St, Wasco, CA"
2068568,2021-07-20,Texas,Jacksonville,16241 TX-110,4,0,4,2021,Texas,TX,"16241 TX-110, Jacksonville, TX"
2066905,2021-07-18,Arizona,Tucson,1575 E 36th St,4,3,7,2021,Ariz.,AZ,"1575 E 36th St, Tucson, AZ"
2067290,2021-07-18,Texas,Houston,3421 Antoine Dr,3,2,5,2021,Texas,TX,"3421 Antoine Dr, Houston, TX"
2053346,2021-07-04,Texas,Dallas,8200 block of Towns St,3,3,6,2021,Texas,TX,"8200 Towns St, Dallas, TX"
2052058,2021-07-03,North Carolina,Chadbourn,Broadway Rd,3,1,4,2021,N.C.,NC,"Broadway Rd, Chadbourn, NC"
2049845,2021-06-30,Texas,Houston,12101 Fondren Rd,3,1,4,2021,Texas,TX,"12101 Fondren Rd, Houston, TX"
2047170,2021-06-27,Tennessee,Memphis,2500 block of Dunn Ave,3,1,4,2021,Tenn.,TN,"2500 Dunn Ave, Memphis, TN"
2041726,2021-06-21,Missouri,Saint Louis,4002 Sullivan Ave,3,4,7,2021,Mo.,MO,"4002 Sullivan Ave, Saint Louis, MO"
2041297,2021-06-20,California,Richmond,2108 Dunn Ave,3,5,8,2021,Calif.,CA,"2108 Dunn Ave, Richmond, CA"
2035313,2021-06-15,Alabama,Albertville,956 Industrial Blvd,3,2,5,2021,Ala.,AL,"956 Industrial Blvd, Albertville, AL"
2035452,2021-06-15,Illinois,Chicago,6221 S Morgan St,5,3,8,2021,Ill.,IL,"6221 S Morgan St, Chicago, IL"
2032486,2021-06-12,Ohio,Cleveland,8805 Buckeye Rd,3,4,7,2021,Ohio,OH,"8805 Buckeye Rd, Cleveland, OH"
2027046,2021-06-07,Florida,Homestead,12550 SW 282nd St,3,3,6,2021,Fla.,FL,"12550 SW 282nd St, Homestead, FL"
2026123,2021-06-06,Florida,Miami (Kendall),10549 SW 109th Ct,3,6,9,2021,Fla.,FL,"10549 SW 109th Ct, Miami (Kendall), FL"
2019622,2021-05-30,Florida,Hialeah,7630 NW 186th St,3,20,23,2021,Fla.,FL,"7630 NW 186th St, Hialeah, FL"
2015730,2021-05-26,California,San Jose,101 W Younger Ave,10,0,10,2021,Calif.,CA,"101 W Younger Ave, San Jose, CA"
2014381,2021-05-24,Ohio,West Jefferson,127 Jackson St,4,0,4,2021,Ohio,OH,"127 Jackson St, West Jefferson, OH"
2012633,2021-05-22,New Jersey,Bridgeton,1029 E Commerce St,3,11,14,2021,N.J.,NJ,"1029 E Commerce St, Bridgeton, NJ"
1999125,2021-05-09,Colorado,Colorado Springs,2828 Preakness Way,7,0,7,2021,Colo.,CO,"2828 Preakness Way, Colorado Springs, CO"
1998476,2021-05-08,Maryland,Gwynn Oak (Woodlawn),7300 block of Maury Rd,4,1,5,2021,Mass.,MD,"7300 Maury Rd, Gwynn Oak (Woodlawn), MD"
1989840,2021-04-28,North Carolina,Boone,553 Hardaman Cir,5,0,5,2021,N.C.,NC,"553 Hardaman Cir, Boone, NC"
1980689,2021-04-18,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,6,2021,Wis.,WI,"1548 Sheridan Rd, Kenosha, WI"
1978635,2021-04-15,Indiana,Indianapolis,8951 Mirabel Rd,9,7,16,2021,Ind.,IN,"8951 Mirabel Rd, Indianapolis, IN"
1971410,2021-04-07,South Carolina,Rock Hill,4456 Marshall Rd,7,0,7,2021,S.C.,SC,"4456 Marshall Rd, Rock Hill, SC"
1969221,2021-04-03,Texas,Allen,1517 Pine Bluff Dr,6,0,6,2021,Texas,TX,"1517 Pine Bluff Dr, Allen, TX"
1967914,2021-04-03,North Carolina,Wilmington,718 Kidder St,3,4,7,2021,N.C.,NC,"718 Kidder St, Wilmington, NC"
1966181,2021-03-31,California,Orange,202 West Lincoln Ave,4,2,6,2021,Calif.,CA,"202 West Lincoln Ave, Orange, CA"
1963598,2021-03-28,Maryland,Essex,1601 Middleborough Rd,5,1,6,2021,Mass.,MD,"1601 Middleborough Rd, Essex, MD"
1962890,2021-03-26,Tennessee,Memphis,500 block of Arrington Ave,3,2,5,2021,Tenn.,TN,"500 Arrington Ave, Memphis, TN"
1958652,2021-03-22,Colorado,Boulder,3600 Table Mesa Dr,10,1,11,2021,Colo.,CO,"3600 Table Mesa Dr, Boulder, CO"
1954379,2021-03-16,Georgia,Acworth,6468 Hwy 92,8,1,9,2021,Ga.,GA,"6468 Hwy 92, Acworth, GA"
1954950,2021-03-16,Arizona,Phoenix,6215 W Elm St,4,1,5,2021,Ariz.,AZ,"6215 W Elm St, Phoenix, AZ"
1952161,2021-03-13,Indiana,Indianapolis,300 block of N Randolph St,4,1,5,2021,Ind.,IN,"300 N Randolph St, Indianapolis, IN"
1949977,2021-03-10,Texas,Houston,6300 Ranchester Dr,3,1,4,2021,Texas,TX,"6300 Ranchester Dr, Houston, TX"
1941382,2021-02-28,Ohio,Cincinnati,3600 block of Idlewild Ave,3,3,6,2021,Ohio,OH,"3600 Idlewild Ave, Cincinnati, OH"
1934077,2021-02-20,Louisiana,Metairie,6719 Airline Dr,3,2,5,2021,La.,LA,"6719 Airline Dr, Metairie, LA"
1930463,2021-02-16,Florida,Saint Petersburg,2968 Emerson Ave S,3,1,4,2021,Fla.,FL,"2968 Emerson Ave S, Saint Petersburg, FL"
1924951,2021-02-05,Mississippi,Benoit,1017 Lake Bolivar Rd,3,1,4,2021,Miss.,MS,"1017 Lake Bolivar Rd, Benoit, MS"
1919696,2021-02-03,Colorado,Oak Creek,200 block of Wild Hogg Dr,3,2,5,2021,Colo.,CO,"200 Wild Hogg Dr, Oak Creek, CO"
1917918,2021-02-02,Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3,6,2021,Fla.,FL,"10100 Reflections Blvd W, Fort Lauderdale (Sunrise), FL"
1917909,2021-02-02,Oklahoma,Muskogee,903 Indiana St,6,1,7,2021,Okla.,OK,"903 Indiana St, Muskogee, OK"
1910136,2021-01-24,Indiana,Indianapolis,3540 Adams St,5,1,6,2021,Ind.,IN,"3540 Adams St, Indianapolis, IN"
1898261,2021-01-09,Illinois,Evanston,100 Asbury Ave,6,2,8,2021,Ill.,IL,"100 Asbury Ave, Evanston, IL"
1896252,2021-01-06,Virginia,Manassas,10010 Ellis Rd,3,3,6,2021,Va.,VA,"10010 Ellis Rd, Manassas, VA"
1886974,2020-12-26,Illinois,Rockford,4007 E State St,3,3,6,2020,Ill.,IL,"4007 E State St, Rockford, IL"
1886721,2020-12-25,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,5,2020,Ark.,AR,"5180 Pine Ridge Rd, Atkins, AR"
1885251,2020-12-22,Mississippi,Meridian,Jeffrey Acres Rd,5,0,5,2020,Miss.,MS,"Jeffrey Acres Rd, Meridian, MS"
1876727,2020-12-13,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,4,2020,W.Va.,WV,"1384 Cemetery Hill Dr, Elkview, WV"
1908063,2020-12-08,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,6,2020,W.Va.,WV,"611 Flynns Creek Rd, Williamsburg, WV"
1866100,2020-11-30,Alaska,Palmer,335 N Valley Way,4,0,4,2020,Alaska,AK,"335 N Valley Way, Palmer, AK"
1855276,2020-11-18,Texas,Houston,11614 Manor Park Dr,3,2,5,2020,Texas,TX,"11614 Manor Park Dr, Houston, TX"
1852604,2020-11-14,South Carolina,Sumter,1008 Marilyn Ave,3,1,4,2020,S.C.,SC,"1008 Marilyn Ave, Sumter, SC"
1844573,2020-11-05,Ohio,Toledo,2125 Parkwood Ave,3,2,5,2020,Ohio,OH,"2125 Parkwood Ave, Toledo, OH"
1842362,2020-11-03,Nevada,Henderson,1445 Stonelake Cove Ave,4,1,5,2020,Nev.,NV,"1445 Stonelake Cove Ave, Henderson, NV"
1830092,2020-10-20,Texas,Houston,2117 Chenevert St,3,1,4,2020,Texas,TX,"2117 Chenevert St, Houston, TX"
1825525,2020-10-16,Florida,Orlando,2000 block of N Forsyth Rd,3,1,4,2020,Fla.,FL,"2000 N Forsyth Rd, Orlando, FL"
1813872,2020-10-04,Indiana,Indianapolis,5462 Massachusetts Ave,3,4,7,2020,Ind.,IN,"5462 Massachusetts Ave, Indianapolis, IN"
1794138,2020-09-13,Tennessee,Beechgrove,I-24 and Beech Grove Rd,3,3,6,2020,Tenn.,TN,"I-24 and Beech Grove Rd, Beechgrove, TN"
1791482,2020-09-10,Louisiana,New Orleans,4100 block of Rayne Dr,3,2,5,2020,La.,LA,"4100 Rayne Dr, New Orleans, LA"
1788352,2020-09-07,California,Aguanga,45125 Highway 371,7,0,7,2020,Calif.,CA,"45125 Highway 371, Aguanga, CA"
1777180,2020-08-26,Michigan,Pontiac,252 Carriage Circle Dr,3,1,4,2020,Mich.,MI,"252 Carriage Circle Dr, Pontiac, MI"
1767402,2020-08-17,Texas,Dayton,County Rd 4901,3,2,5,2020,Texas,TX,"County Rd 4901, Dayton, TX"
1765336,2020-08-15,Michigan,Belleville,24914 Martinsville Rd,4,0,4,2020,Mich.,MI,"24914 Martinsville Rd, Belleville, MI"
1749746,2020-07-29,Missouri,Saint Louis,5500 block of Floy Ave,3,2,5,2020,Mo.,MO,"5500 Floy Ave, Saint Louis, MO"
1749873,2020-07-29,Ohio,Elyria,537 Willow Park Rd,5,0,5,2020,Ohio,OH,"537 Willow Park Rd, Elyria, OH"
1739917,2020-07-19,Michigan,Detroit,9122 Dexter Ave,4,0,4,2020,Mich.,MI,"9122 Dexter Ave, Detroit, MI"
1728683,2020-07-07,New Jersey,Paterson,Harrison St and Carroll St,4,3,7,2020,N.J.,NJ,"Harrison St and Carroll St, Paterson, NJ"
1725081,2020-07-04,Illinois,Chicago,6100 block of S Carpenter St,4,4,8,2020,Ill.,IL,"6100 S Carpenter St, Chicago, IL"
1719645,2020-06-27,Arkansas,Blytheville,600 block of Parkway Dr,3,1,4,2020,Ark.,AR,"600 Parkway Dr, Blytheville, AR"
1718847,2020-06-27,California,Red Bluff,10815 State Hwy 99W,3,4,7,2020,Calif.,CA,"10815 State Hwy 99W, Red Bluff, CA"
1712342,2020-06-22,North Carolina,Charlotte,1800 block of Beatties Ford Rd,4,5,9,2020,N.C.,NC,"1800 Beatties Ford Rd, Charlotte, NC"
1703044,2020-06-11,Louisiana,Monroe,1101 Richwood Road 2,6,0,6,2020,La.,LA,"1101 Richwood Road 2, Monroe, LA"
1697453,2020-06-04,Alabama,Valhermoso Springs,522 Talucah Rd,7,0,7,2020,Ala.,AL,"522 Talucah Rd, Valhermoso Springs, AL"
1688753,2020-05-26,South Carolina,Bowman,Dibble St and Rail St,3,5,8,2020,S.C.,SC,"Dibble St and Rail St, Bowman, SC"
1687414,2020-05-24,Alabama,Danville,68 Flint Creek Pvt Dr,3,1,4,2020,Ala.,AL,"68 Flint Creek Pvt Dr, Danville, AL"
1682233,2020-05-17,South Carolina,Saint Matthews,100 block of Bugleflower Ln,4,1,5,2020,S.C.,SC,"100 Bugleflower Ln, Saint Matthews, SC"
1673989,2020-05-06,Texas,Houston,14200 block of Bridgeport Rd,3,1,4,2020,Texas,TX,"14200 Bridgeport Rd, Houston, TX"
1666945,2020-04-27,Wisconsin,Milwaukee,2800 block of N 12th St,5,0,5,2020,Wis.,WI,"2800 N 12th St, Milwaukee, WI"
1664933,2020-04-24,Texas,Houston,4714 Ward St,3,1,4,2020,Texas,TX,"4714 Ward St, Houston, TX"
1649473,2020-03-31,Georgia,Macon,571 Moreland Ave,3,1,4,2020,Ga.,GA,"571 Moreland Ave, Macon, GA"
1640295,2020-03-15,North Carolina,Moncure,842 Moncure Flatwood Rd,7,0,7,2020,N.C.,NC,"842 Moncure Flatwood Rd, Moncure, NC"
1640317,2020-03-15,Missouri,Springfield,3264 E Battlefield Rd,5,2,7,2020,Mo.,MO,"3264 E Battlefield Rd, Springfield, MO"
1629488,2020-02-26,Wisconsin,Milwaukee,3939 W Highland Blvd,6,0,6,2020,Wis.,WI,"3939 W Highland Blvd, Milwaukee, WI"
1627335,2020-02-23,North Carolina,Clarkton,71 Tina Ln,3,1,4,2020,N.C.,NC,"71 Tina Ln, Clarkton, NC"
1615155,2020-02-05,Indiana,Indianapolis,4100 block of Shady Oak Dr,4,0,4,2020,Ind.,IN,"4100 Shady Oak Dr, Indianapolis, IN"
1613020,2020-02-03,Maine,Machias,323 Kennebec Rd,3,1,4,2020,Md.,ME,"323 Kennebec Rd, Machias, ME"
1605752,2020-01-26,South Carolina,Hartsville,115 W Camden Ave,3,3,6,2020,S.C.,SC,"115 W Camden Ave, Hartsville, SC"
1605798,2020-01-26,New York,Newburgh,1571 NY-300,3,1,4,2020,N.Y.,NY,"1571 NY-300, Newburgh, NY"
1606476,2020-01-24,North Carolina,Vanceboro,107 Kinshaw Ct,5,0,5,2020,N.C.,NC,"107 Kinshaw Ct, Vanceboro, NC"
1599331,2020-01-17,Utah,Grantsville,93 Eastmoor Dr,4,1,5,2020,Utah,UT,"93 Eastmoor Dr, Grantsville, UT"
1585894,2020-01-01,Missouri,Saint Louis,3000 block of S Jefferson Ave,3,2,5,2020,Mo.,MO,"3000 S Jefferson Ave, Saint Louis, MO"
1573754,2019-12-17,Montana,Great Falls,1701 10th Ave S,4,1,5,2019,Mont.,MT,"1701 10th Ave S, Great Falls, MT"
1568230,2019-12-10,New Jersey,Jersey City,223 Martin Luther King Dr,6,3,9,2019,N.J.,NJ,"223 Martin Luther King Dr, Jersey City, NJ"
1565216,2019-12-06,Florida,Pensacola,280 Taylor Rd,4,8,12,2019,Fla.,FL,"280 Taylor Rd, Pensacola, FL"
1551531,2019-11-17,California,Fresno,5361 E Lamona Ave,4,6,10,2019,Calif.,CA,"5361 E Lamona Ave, Fresno, CA"
1550546,2019-11-16,California,San Diego,2152 Flintridge Dr,6,0,6,2019,Calif.,CA,"2152 Flintridge Dr, San Diego, CA"
1548689,2019-11-14,California,Santa Clarita,21900 Centurion Way,3,3,6,2019,Calif.,CA,"21900 Centurion Way, Santa Clarita, CA"
1539347,2019-10-31,California,Orinda,114 Lucille Way,5,3,8,2019,Calif.,CA,"114 Lucille Way, Orinda, CA"
1537992,2019-10-30,Pennsylvania,Philadelphia,5026 Walton Ave,4,0,4,2019,Pa.,PA,"5026 Walton Ave, Philadelphia, PA"
1537672,2019-10-29,California,Long Beach,2709 E 7th St,3,9,12,2019,Calif.,CA,"2709 E 7th St, Long Beach, CA"
1525476,2019-10-12,Illinois,Chicago,6733 W Irving Park Rd,5,0,5,2019,Ill.,IL,"6733 W Irving Park Rd, Chicago, IL"
1525062,2019-10-12,New York,Brooklyn,75 Utica Ave,4,3,7,2019,N.Y.,NY,"75 Utica Ave, Brooklyn, NY"
1521226,2019-10-07,Massachusetts,Abington,135 Centre Ave,5,0,5,2019,Maine,MA,"135 Centre Ave, Abington, MA"
1520330,2019-10-06,Kansas,Kansas City,1013 Central Ave,4,5,9,2019,Kan.,KS,"1013 Central Ave, Kansas City, KS"
1515327,2019-09-29,Texas,Beaumont,4100 block of Highland Ave,4,0,4,2019,Texas,TX,"4100 Highland Ave, Beaumont, TX"
1512486,2019-09-21,Ohio,Cleveland,3616 East 144th St,4,0,4,2019,Ohio,OH,"3616 East 144th St, Cleveland, OH"
1507156,2019-09-18,Illinois,Chicago,4200 block of W Madison St,3,1,4,2019,Ill.,IL,"4200 W Madison St, Chicago, IL"
1503192,2019-09-12,New Mexico,Albuquerque,1028 Lura Pl SW,4,2,6,2019,N.M.,NM,"1028 Lura Pl SW, Albuquerque, NM"
1499300,2019-09-07,North Carolina,Whiteville,Brittany Ln,3,1,4,2019,N.C.,NC,"Brittany Ln, Whiteville, NC"
1495192,2019-09-02,Alabama,Elkmont,25019 Ridge Road,5,0,5,2019,Ala.,AL,"25019 Ridge Road, Elkmont, AL"
1492441,2019-08-31,Texas,Odessa,8250 TX 191,8,23,31,2019,Texas,TX,"8250 TX 191, Odessa, TX"
1487729,2019-08-25,New Mexico,Hobbs,1700 block of E Bond St,3,4,7,2019,N.M.,NM,"1700 E Bond St, Hobbs, NM"
1486232,2019-08-23,Texas,Houston,4900 block of Southwind St,3,2,5,2019,Texas,TX,"4900 Southwind St, Houston, TX"
1472641,2019-08-07,Missouri,Saint Louis,4900 block of Plover Ave,3,1,4,2019,Mo.,MO,"4900 Plover Ave, Saint Louis, MO"
1467828,2019-08-04,Ohio,Dayton,419 E 5th St,10,17,27,2019,Ohio,OH,"419 E 5th St, Dayton, OH"
1466705,2019-08-03,Texas,El Paso,7101 Gateway Blvd,23,23,46,2019,Texas,TX,"7101 Gateway Blvd, El Paso, TX"
1460448,2019-07-28,California,Gilroy,7050 Miller Ave,4,17,21,2019,Calif.,CA,"7050 Miller Ave, Gilroy, CA"
1461352,2019-07-28,Wisconsin,Chippewa Falls,16964 54th Ave,5,2,7,2019,Wis.,WI,"16964 54th Ave, Chippewa Falls, WI"
1457165,2019-07-25,California,Canoga Park,21901 Roscoe Boulevard,4,2,6,2019,Calif.,CA,"21901 Roscoe Boulevard, Canoga Park, CA"
1441721,2019-07-06,Missouri,Saint Louis,1921 Chambers Rd,5,0,5,2019,Mo.,MO,"1921 Chambers Rd, Saint Louis, MO"
1429338,2019-06-23,South Carolina,Abbeville,1108 Cambridge St,3,1,4,2019,S.C.,SC,"1108 Cambridge St, Abbeville, SC"
1429810,2019-06-23,California,San Jose,568 Habbitts Court,5,0,5,2019,Calif.,CA,"568 Habbitts Court, San Jose, CA"
1428047,2019-06-21,California,Santa Maria,519  West Taylor St,5,0,5,2019,Calif.,CA,"519  West Taylor St, Santa Maria, CA"
1418180,2019-06-08,Washington,White Swan,5151 Medicine Valley Rd,5,2,7,2019,Wash.,WA,"5151 Medicine Valley Rd, White Swan, WA"
1410442,2019-05-31,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,17,2019,Va.,VA,"2405 Courthouse Drive, Virginia Beach, VA"
1408289,2019-05-29,Texas,Cleveland,26311 TX-321,3,2,5,2019,Texas,TX,"26311 TX-321, Cleveland, TX"
1404580,2019-05-25,Michigan,Detroit,3400 block of Devonshire,3,2,5,2019,Mich.,MI,"3400 Devonshire, Detroit, MI"
1394330,2019-05-13,Missouri,Saint Louis,4047 Shreve Ave,4,1,5,2019,Mo.,MO,"4047 Shreve Ave, Saint Louis, MO"
1382711,2019-04-28,Ohio,West Chester,4637 Wyndtree Dr,4,0,4,2019,Ohio,OH,"4637 Wyndtree Dr, West Chester, OH"
1369148,2019-04-11,Arizona,Phoenix,7112 W Minnezona Ave,3,2,5,2019,Ariz.,AZ,"7112 W Minnezona Ave, Phoenix, AZ"
1362715,2019-04-04,Georgia,Stockbridge,300 block of Eagle Ct,3,2,5,2019,Ga.,GA,"300 Eagle Ct, Stockbridge, GA"
1328562,2019-02-16,Mississippi,Clinton,1214 Foxhill Dr,5,0,5,2019,Miss.,MS,"1214 Foxhill Dr, Clinton, MS"
1327321,2019-02-15,Illinois,Aurora,641 Archer Ave,6,6,12,2019,Ill.,IL,"641 Archer Ave, Aurora, IL"
