,stock_number,item,quantity,value,year
246,6130-01-495-2839,"CHARGER,BATTERY",2,4822.0,4040
149,3040-00-128-1610,BELL CRANK,1,4646.0,2019
173,3510-DS-WAS-HER6,CLOTHES WASHER,6,4460.0,4038
28,1385-01-642-2721,"REMOTE HANDLING SET,EXPLOSIVE ORDNANCE DISPOSAL",1,4000.0,2019
62,1615-01-138-2588,"BELLMOUTH ASSY,SEAL",2,3778.0,2017
87,1730-01-564-8510,"TIE DOWN,ROTARY WING BLADE",12,3636.0,4038
276,6650-00-973-9533,SPOTTING SCOPE,2,3600.0,4038
205,5140-DS-TOO-LBOX,TOOLBOX,34,3600.0,12114
39,1560-00-427-8410,"BULKHEAD,TAILBOOM",10,3479.0,4034
223,5855-01-450-1080,"ILLUMINATOR,INFRARED",1,3308.0,2019
155,3040-01-007-5514,"CONNECTING LINK,RIGID",23,3285.0,10089
143,2915-01-517-4294,"NOZZLE,FUEL INJECTION",2,3267.0,2019
23,1240-01-644-9166,"SIGHT,BORE,OPTICAL",7,3100.0,4036
61,1615-01-059-6545,"CARRIER ASSY,TRANSM",1,3021.0,2017
118,2340-DS-MTR-CYCL,MOTORCYCLE,1,3000.0,2019
272,6610-00-526-4397,"INDICATOR,AIR SPEED",1,2950.0,2019
289,7110-DS-CAB-INE5,"CABINET, OFFICE",8,2800.0,4040
33,1560-00-133-6224,"FITTING ASSEMBLY,MOUNT",1,2668.0,2017
42,1560-00-956-9925,"DUCT ASSEMBLY,OIL COOLER",2,2541.0,4034
78,1680-00-909-8716,"BRAKE,MAGNETIC",3,2527.0,2017
253,6230-01-519-0393,"CASE,LIGHT SET",9,2435.0,4040
180,3950-01-610-7413,"WINCH,DRUM,POWER OPERATED",3,2317.0,2019
83,1680-01-130-9678,INSERT ASSY,3,2313.0,2017
37,1560-00-307-9357,"PANEL,CO-PILOT SEAT",1,2309.0,2019
142,2915-01-131-4998,"CARTRIDGE,FUEL PUMP",1,2302.0,2019
22,1240-01-585-3100,MARK 4 SIGHT,6,2222.0,4036
232,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",1,2200.0,2018
147,3040-00-122-1780,"CONNECTING LINK,RIGID",6,2111.0,4034
90,2010-DS-OUT-MOTO,OUTBOARD MOTOR,1,2000.0,2019
72,1660-00-133-6077,"PLENUM,HEATER,AIRCR",2,1990.0,2018
200,4920-00-835-1364,"FIXTURE,TEST",4,1974.0,2017
197,4820-01-047-2796,"VALVE,CHECK",3,1944.0,2018
296,7830-DS-BIC-YCEM,"BICYCLE, MOUNTAIN",4,1916.0,8076
138,2610-01-561-7314,"TIRE,PNEUMATIC,VEHICULAR",8,1872.0,2020
226,5855-01-533-0555,"ILLUMINATOR,INFRARED",36,1800.0,2019
206,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",1,1780.0,2020
207,5180-01-506-8287,"TOOL KIT,SMALL ARMS",5,1711.0,2019
273,6610-00-758-2385,"INDICATOR,ATTITUDE",1,1662.0,2017
280,6680-00-006-4164,"SENSOR,TACHOMETER,DUAL",1,1659.0,2019
130,2530-01-563-8620,"WHEEL,PNEUMATIC TIRE",1,1654.0,2018
74,1680-00-128-7375,"LEVER ASSY,CYCLIC C",1,1611.0,2018
247,6150-01-084-0934,"CABLE ASSEMBLY,POWER,ELECTRICAL",11,1573.0,4038
278,6650-01-593-3671,BORESCOPE KIT,2,1500.0,2019
67,1615-01-214-9164,"DRIVESHAFT ASSY,TAI",4,1471.0,2019
195,4720-01-558-9393,"HOSE,AIR DUCT",4,1441.0,2019
10,1005-DS-SWE-PASC,WEAPON ACCESSORIES,42,1437.0,6057
56,1615-00-898-6890,"LINER,BEARING SUPPORT",5,1422.0,2017
148,3040-00-124-1634,"GEARSHAFT,SPUR",1,1417.0,2017
193,4310-00-143-9280,"COMPRESSOR UNIT,RECIPROCATING",1,1371.0,2019
140,2915-00-998-3542,"SWITCH,LIQUID LEVEL",4,1349.0,2019
297,8115-00-168-2275,"CONTAINER,CARGO",5,1324.0,2019
229,5855-01-550-2780,"ILLUMINATOR,INTEGRATED,SMALL ARMS",15,1306.0,2019
238,6110-01-013-7639,"INTERRUPTER,GROUND",3,1213.0,2019
156,3040-01-014-1588,"CONNECTING LINK,RIGID",2,1150.0,2018
187,4220-01-505-9417,"CASE,LIFE RAFT",2,1142.0,2019
53,1615-00-765-2416,"HANGER,DRIVESHAFT",4,1134.0,2017
154,3040-00-898-0008,"CAM,CONTROL",6,1122.0,2017
84,1680-01-230-0522,"FILTER ASSY,FLIP,NI",1,1119.0,2017
189,4220-01-608-4478,DIVERS SUIT,3,1100.0,2019
249,6220-00-922-8241,"PANEL,INDICATING,LIGHT TRANSMITTING",1,1100.0,2017
49,1615-00-125-4089,"TRUNNION ASSY,MAIN ROTOR",1,1094.0,2017
44,1560-00-968-4688,"FITTING,COMPENSATOR",6,1078.0,2017
194,4310-01-365-9013,"COMPRESSOR UNIT,RECIPROCATING",2,1072.0,2019
65,1615-01-214-0213,"SHAFT ASSY,TAIL ROT",18,1065.0,4036
279,6665-01-588-4818,"INITIATOR,SHOCK TUB",20,1064.0,2020
158,3040-01-263-1022,"CONNECTING LINK,RIGID",6,1019.0,2017
209,5310-00-624-6714,"NUT,PLAIN,ROUND",4,1012.0,2019
128,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",2,1000.0,2019
152,3040-00-181-4305,"HOUSING,MECHANICAL DRIVE",1,984.0,2017
18,1240-01-540-3690,"SIGHT,REFLEX",32,963.0,6054
196,4820-00-181-9396,"COCK,POPPET DRAIN",1,915.0,2019
77,1680-00-179-1395,"SHAFT ASSEMBLY,FLEXIBLE",3,915.0,2017
38,1560-00-327-2412,"SUPPORT,BULKHEAD",1,902.0,2019
202,5120-00-555-1521,"WRENCH,TORQUE",1,887.0,2020
150,3040-00-129-6135,"CONNECTING LINK,RIGID",1,873.0,2018
227,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",4,870.0,2019
228,5855-01-535-6166,"ILLUMINATOR,INTEGRATED,SMALL ARMS",30,848.0,2020
32,1560-00-133-6096,ELBOW ASSY,3,810.0,2017
112,2330-01-598-4708,TRAILER,1,798.0,2019
145,2995-01-119-2605,"LEVER,DROOP COMPENS",44,769.0,4034
66,1615-01-214-9148,"CROSSHEAD,TAIL ROTO",1,758.0,2019
11,1080-DS-CAM-OUFL,CAMOUFLAGE AND DECEPTION EQUIPMENT,15,750.0,2020
137,2610-01-333-7632,"TIRE,PNEUMATIC,VEHICULAR",15,736.0,4038
21,1240-01-584-6306,"SIGHT,REFLEX",3,734.0,2019
239,6110-01-040-7087,"REGULATOR,VOLTAGE",1,678.0,2017
132,2541-01-435-9693,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,677.0,2018
79,1680-00-993-5195,"SLIDER,DROOP COMPEN",2,672.0,2017
188,4220-01-604-0299,"NRP,HEADSET ASSEMBL",8,667.0,4040
136,2541-01-561-2540,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,659.0,2018
54,1615-00-866-5998,"RING,INDEXING,STRAP",4,633.0,4038
135,2541-01-560-1159,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,626.0,2018
43,1560-00-966-6110,"BRACKET ASSEMBLY,INERTIA",2,606.0,2017
267,6530-01-504-9051,"LITTER,FOLDING,RIGID POLE",1,606.0,2019
255,6230-DS-LIG-HT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",204,600.0,10100
117,2340-DS-CYC-LES0,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLE",4,600.0,2020
250,6220-01-064-2814,"PANEL,INDICATING,LIGHT TRANSMITTING",3,589.0,2017
4,1005-01-457-4015,"CONVERSION KIT,RIFLE",5,584.0,2020
50,1615-00-133-6226,"COOLER,OIL,TRANSMIS",1,583.0,2017
129,2530-01-528-9461,"WHEEL,PNEUMATIC TIRE",1,579.0,2019
133,2541-01-535-6000,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,563.0,2019
318,8465-01-603-6613,BAG DEPLOYMENT,35,548.0,4038
58,1615-01-033-8099,NOZZLE ASSEMBLY,7,544.0,2017
134,2541-01-535-6001,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,532.0,2018
264,6530-01-220-7186,"CARRIER,LITTER,WHEELED",2,532.0,2019
163,3110-00-784-0227,"BEARING,ROLLER,NEEDLE",14,526.0,2019
48,1615-00-124-1633,"LEVER ASSY,IDLER",5,510.0,6054
166,3110-01-036-9443,"BEARING,BALL,ANNULAR",5,492.0,2019
161,3110-00-716-8570,"BEARING,BALL,DUPLEX",5,491.0,2019
165,3110-01-030-4306,"BEARING,BALL,ANNULAR",3,477.0,2019
31,1560-00-125-4271,BELL CRANK,2,473.0,2017
76,1680-00-131-4307,"PANEL,EDGE LIT",1,468.0,2017
210,5310-01-003-4973,"WASHER,FLAT",6,454.0,4038
17,1240-01-485-0441,"SIGHT,HOLOGRAPHIC",5,453.0,2019
20,1240-01-576-6134,"SIGHT,REFLEX",7,446.0,2018
73,1680-00-126-4350,FORCE GRADIENT ASSY,1,446.0,2018
12,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",6,436.0,2019
316,8465-01-517-6319,"BAG,DUFFEL",34,419.0,4038
162,3110-00-731-7977,"BEARING,BALL,STACK",4,406.0,2019
19,1240-01-562-9459,"RANGE FINDER,LASER",2,400.0,2018
290,7125-DS-CAB-INE6,"CABINET, STORAGE",1,400.0,2020
286,7025-DS-LAS-ERPR,"PRINTER, LASER",4,400.0,2020
287,7025-DS-PRI-NT05,PRINTER,6,400.0,2020
41,1560-00-672-0070,"PLUNGER ASSEMBLY,DOOR",5,393.0,2017
262,6515-01-592-8802,"BACKPACK,MEDICAL",1,390.0,2019
217,5430-00-585-2529,"TANK,LIQUID STORAGE",3,368.0,2019
169,3120-00-904-2475,"BEARING,SELF-ALIGNING",4,354.0,2019
86,1680-01-322-6435,"BELLOWS,PRESSURE",5,353.0,2017
199,4910-DS-JAC-K000,JACK,16,333.0,2019
265,6530-01-265-3583,"EXTRACTION DEVICE,SPINE SPLINT ASSEMBLY",1,329.0,2019
82,1680-01-034-0523,"CONTROL TUBE,DIRECT",3,309.0,2017
151,3040-00-133-1228,"BRACKET,EYE,ROTATING SHAFT",2,301.0,2018
266,6530-01-380-7309,"LITTER,FOLDING,RIGID POLE",12,300.0,2019
170,3120-00-924-3558,"BEARING,PLAIN,SPHERICAL",4,291.0,2019
30,1560-00-124-1842,"STRIKER HOUSING,PASSENGER DOOR",12,289.0,2018
15,1240-00-930-3833,BINOCULAR,3,278.0,2018
236,5995-01-552-6935,"CABLE ASSEMBLY,SPECIAL PURPOSE,ELECTRICAL",1,266.0,2019
208,5306-00-130-7968,"BOLT,CLEVIS",4,250.0,2019
153,3040-00-228-8904,"LEVER,MANUAL CONTROL",2,242.0,2019
311,8415-01-010-1913,"JACKET,FLYERS",25,238.0,2019
248,6220-00-075-9372,"PANEL,INDICATING,LIGHT TRANSMITTING",3,238.0,2017
310,8415-01-010-1911,"JACKET,FLYERS",7,238.0,2019
81,1680-01-006-1363,DOOR,5,237.0,2018
216,5420-99-441-4081,STOOL,16,233.0,2020
7,1005-01-525-2118,"STREAMLIGHT,SMALL ARM",21,219.0,2019
305,8340-01-467-9179,"STEEL STAKE,PIN SET",1,218.0,2019
203,5120-01-355-1734,"WRENCH,TORQUE",5,207.0,2019
263,6515-DS-MED-SUPC,MEDICAL SUPPLIES,6,195.0,2019
315,8465-01-515-1156,"STRAP,INVOLUNTARY,RESTRAINT",6,190.0,4038
277,6650-01-559-3648,BINOCULAR,10,185.0,2019
75,1680-00-130-5893,"BOX,SWITCH,CONTROL",4,179.0,2018
160,3110-00-678-5425,"BEARING,BALL,AIRFRAME",10,176.0,4038
36,1560-00-239-3639,"PANEL,EDGE LIT",5,175.0,2017
251,6220-01-148-8914,"PANEL,INDICATING,LIGHT TRANSMITTING",1,165.0,2017
293,7330-01-234-2164,"LIFTER,TRAY-PACK",1,163.0,2019
214,5330-00-961-4431,GASKET,8,157.0,2019
191,4240-01-583-5742,"SPECTACLES,INDUSTRIAL",115,152.0,6060
183,4110-DS-REF-RIG0,REFRIGERATOR,3,150.0,2019
171,3120-01-139-3314,"BEARING,PLAIN,SPHERICAL",4,149.0,2019
69,1615-01-264-8219,"STOP,STATIC",16,143.0,2017
172,3130-00-173-2303,"HOUSING,BEARING UNIT",14,137.0,4036
159,3110-00-455-9700,"BEARING,ROLLER,NEEDLE",4,135.0,2019
269,6532-01-422-5282,"RESPIRATOR,AIR FILTERING,INFECTION CONTR",1,133.0,2020
141,2915-01-039-5193,"VALVE ASSY,FUEL",5,123.0,2017
59,1615-01-033-8100,NOZZLE ASSEMBLY,6,122.0,2017
213,5330-00-940-8516,"SEAL,MATING RING,CO",6,111.0,2018
1,1005-00-921-5004,"MAGAZINE,CARTRIDGE",523,108.0,16148
271,6545-01-584-1582,"FIRST AID KIT,INDIVIDUAL",10,103.0,2019
139,2840-00-858-8592,"COUPLING ASSEMBLY,V",19,103.0,4034
291,7125-DS-LOC-KER2,"LOCKER, STORAGE",4,100.0,2019
270,6545-01-537-0686,"BAG,TC3,COMBAT CASUALTY CARE",32,99.0,4040
40,1560-00-602-5168,"WEB,COVER,PILOT SEAT",11,99.0,2019
14,1095-DS-MIS-CWAA,MISC WEAPON ACCESSORIES DEMIL A,1,98.0,2019
224,5855-01-457-2953,"MOUNT,VIEWER",10,97.0,2018
288,7105-00-935-0422,"COT,FOLDING",6,85.0,2019
260,6515-01-445-7907,"GLOVE,PATIENT EXAMINING",8,83.0,2019
268,6530-01-504-9055,CARRIER LITTER NO. 1,10,81.0,2019
186,4220-01-015-6762,SWIM FINS,10,74.0,2019
85,1680-01-230-0524,"LIGHT,POST,NIGHT VI",28,73.0,2017
167,3120-00-199-7820,"BUSHING,SLEEVE",12,72.0,2019
164,3110-00-803-0558,"BEARING,BALL,ROD END",2,71.0,2019
13,1095-01-629-9655,"HOLSTER,PISTOL",5,71.0,2019
9,1005-01-561-7200,"MAGAZINE,CARTRIDGE",1130,68.0,10097
298,8115-01-562-4555,"BOX,PLASTIC",12,58.0,2019
261,6515-01-592-8758,"POUCH,MEDICAL EQUIPMENT",10,57.0,2019
314,8465-01-393-6515,"MAT,SLEEPING,SELF-INFLATING",54,51.0,2019
292,7320-DS-KIT-CHEN,KITCHEN EQUIPMENT AND APPLIANCES,4,50.0,2019
215,5340-DS-HAN-DLE3,"HANDLE, COMMERCIAL",6,50.0,2019
192,4240-01-630-7493,"SPECTACLES,INDUSTRIAL",25,48.0,2020
301,8145-01-515-0612,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",14,46.0,2019
8,1005-01-544-9825,"BUTTSTOCK,SUBASSEMBLY",10,37.0,2019
6,1005-01-520-5992,"MAGAZINE,CARTRIDGE",61,36.0,2018
234,5930-00-865-9788,"SWITCH,TOGGLE",6,35.0,2019
35,1560-00-175-4752,"RETAINER,WINDSHIELD",4,35.0,2018
282,6720-DS-CAM-ERA2,"CAMERA, STILL PICTURE",22,30.0,2019
168,3120-00-199-7832,"BUSHING,SLEEVE",16,28.0,4038
283,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",10,25.0,2020
211,5315-00-134-3942,"PIN,SPECIAL",4,23.0,2019
80,1680-01-005-3910,"FITTING,AIR BLEEDER",15,22.0,2017
5,1005-01-511-9963,"DRAG BAG,SNIPER RIFLE",10,21.0,2019
317,8465-01-524-8847,"SLING,3 POINT COMBAT ASSAULT SYSTEM",35,17.0,2019
0,1005-00-628-9048,"MAGAZINE,CARTRIDGE",25,16.0,2019
319,8465-01-663-7517,"PADS,TACTICAL PROTECTIVE,ASSAULT",15,14.0,2019
212,5330-00-182-3533,GASKET,8,11.0,2019
257,6510-01-540-6484,"DRESSING,COMPRESSION",40,9.0,2019
46,1560-01-017-7451,"STRAP,COVER,TAIL ROTOR DRIVE SHAFT",12,9.0,2017
259,6510-01-598-8418,"DRESSING,COMPRESSION",100,8.0,2019
312,8415-DS-SPC-LOTA,"CLOTHING, SPECIAL PURPOSE, DEMIL A",100,4.0,4038
3,1005-01-453-6655,"GRIP,RIFLE",49,4.0,2019
258,6510-01-587-6579,"DRESSING,BURN,FIRST AID",500,2.0,2019
313,8440-01-508-3360,SOCKS,100,2.0,2019
284,6760-01-590-0431,"TRIPOD,PHOTOGRAPHIC",4,0.0,2019
198,4910-01-596-9671,"LIFT,MOTOR VEHICLE",2,0.0,2020
