name,party,start,end,url,image,born,term,party,major_acts,facts
Clement Attlee,Labour,1945,1951,https://www.gov.uk/government/history/past-prime-ministers/clement-attlee,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/975/s216_Clement-Attlee.jpg,"3 January 1883, London","8 October 1967, London",1945 to 1951,Labour,"National Health Service Act 1946: made healthcare free on the basis of citizenship and need rather than the payment of fees or insurance premiums.

National Insurance Act 1946: introduced social security, in which persons of working age had to pay a weekly contribution and in return were entitled to a wide range of benefits when they could no longer work.

Coal Industry Nationalisation Act 1946, Electricity Act 1947, Transport Act 1947: nationalised the coal industry, electricity utilities, railways and long-distance haulage.

Town and Country Planning Act 1947: planning permission now required for land development; ownership alone no longer sufficient.

Children Act 1948: established a comprehensive childcare service, reforming services providing care to deprived and orphaned children.

Nurseries and Child-Minders Regulation Act 1948: paid child-minders now registered and regulated; inspection regime in place to check their methods and facilities meet basic minimum standards.

National Parks and Access to the Countryside Act 1949: allowed the creation of National Parks and Areas of Outstanding Natural Beauty in England and Wales, gave the public rights of way and access to open land."
Neville Chamberlain,Conservative,1937,1940,https://www.gov.uk/government/history/past-prime-ministers/neville-chamberlain,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/976/s216_Neville-Chamberlain.jpg,"18 March 1869, Birmingham","9 November 1940, Heckfield, Hampshire",1937 to 1940,Conservative,"Factories Act 1937: limited hours worked by women and children.

Holiday with Pay Act 1938: recommendation of week’s paid holiday which led to expansion of holiday camps.  

Housing Act 1938: aimed to encourage slum clearance and maintain rent controls."
Stanley Baldwin,Conservative,1935,1937,https://www.gov.uk/government/history/past-prime-ministers/stanley-baldwin,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/977/s216_Stanley-Baldwin.jpg,"3 August 1867, Bewdley, Worcesterhire","14 December 1947, Stourport-on-Severn, Worcestershire","1935 to 1937, 1924 to 1929, 1923 to 1924",Conservative,"Trade Disputes Act 1927: following General Strike, introduced to limit powers and of trade union movement. Affected funding of Labour party too.

Government of India Act 1935: gave limited powers of self-government. Heavily opposed by Winston Churchill.  

Public Order Act 1936: introduced to deal with street disturbances following marches by supporters of British Union Fascists and their opponents."
James Ramsay MacDonald,Labour,1929,1935,https://www.gov.uk/government/history/past-prime-ministers/james-ramsay-macdonald,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/978/s216_James-Ramsay-MacDonald.jpg,"12 October 1866, Lossiemouth, Scotland","9 November 1937, Aboard the liner Rinea Del Pacific whilst in the Atlantic Ocean","1929 to 1935, 1924 to 1924",Labour,"Unemployment Act: introduction of Unemployment Assistance Boards.

Special Areas Act: introduced regional assistance to areas of mass unemployment."
Andrew Bonar Law,Conservative,1922,1923,https://www.gov.uk/government/history/past-prime-ministers/andrew-bonar-law,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/979/s216_Andrew-Bonar-Law.jpg,"16 September 1858, Rexton, New Brunswick, Canada","30 October 1923, London",1922 to 1923,Conservative,
David Lloyd George,Liberal,1916,1922,https://www.gov.uk/government/history/past-prime-ministers/david-lloyd-george,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/980/s216_David-Lloyd-George.jpg,"17 January 1863, Chorlton-on-Medlock, Manchester","26 March 1945, Ty Newydd, Llanystumdwy, Caernarvonshire",1916 to 1922,Liberal,"Education Act 1918: raised the school leaving age to 14.

Employment of Women, Young Persons and Children Act 1920: prohibited the employment of children below the limit of compulsory school age in railways and transport, building and engineering works, factories and mines."
Herbert Henry Asquith,Liberal,1908,1916,https://www.gov.uk/government/history/past-prime-ministers/herbert-henry-asquith,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/983/s216_Herbert-Henry-Asquith.jpg,"12 September 1852, Morley, West Yorkshire","15 February 1928, The Wharf, Sutton Courtenay, Oxfordshire",1908 to 1916,Liberal,"Old Age Pensions Act 1908: provided for a non-contributory old age pension for eligible people over 70. To be eligible, people had to be earning less than £21.10s per year and pass a good character test.  

National Insurance Act 1911: intended to create a national system of insurance for working people against illness and unemployment. All wage-earners (aged 16 to 70) had to contribute 4d per week, with employers paying in 3d and the state 2d. Workers were entitled in return to receive free medical care and advice and a ‘dole’ payment for up to 15 weeks."
Sir Henry Campbell-Bannerman,Liberal,1905,1908,https://www.gov.uk/government/history/past-prime-ministers/henry-campbell-bannerman,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/981/s216_Henry-Campbell-Bannerman.jpg,"7 September 1836, Kelvinside House, Glasgow","22 April 1908, 10 Downing Street",1905 to 1908,Liberal,"Probation Act 1907: enabled courts to release offenders on probation, as well as establishing probation order and probation officers. It laid the foundations of the modern Probation Service."
Arthur James Balfour,Conservative,1902,1905,https://www.gov.uk/government/history/past-prime-ministers/arthur-james-balfour,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/982/s216_Arthur-James-Balfour.jpg,"25 July 1848, Whittingehame, East Lothian","19 March 1930, Fisher’s Hill, Woking, Surrey",1902 to 1905,Conservative,"Unemployed Workmen Act 1905: established Distress Committees to give out single grants to businesses or local authorities in order to allow them to hire more workers to decrease the number of unemployed.

Education Act 1902: abolished school boards and handed over their duties to local borough or county council, as Local Education Authorities."
"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury",Conservative,1895,1902,https://www.gov.uk/government/history/past-prime-ministers/robert-gascoyne-cecil,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/984/s216_Marquess-Salisbury.jpg,"3 February 1830, Hatfield House, Hertfordshire","22 August 1903, Hatfield House, Hertfordshire","1895 to 1902, 1886 to 1892, 1885 to 1886",Conservative,"Naval Defence Act 1889: greatly enlarged the size of the Royal Navy, to ensure the '2 power standard' which maintained the number of battleships to at least the combined size of the next 2 largest navies (France and Russia)."
"Archibald Primrose, 5th Earl of Rosebery",Liberal,1894,1895,https://www.gov.uk/government/history/past-prime-ministers/archibald-primrose-5th-earl-of-rosebery,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/985/s216_earl-rosebery-archibald-primrose.jpg,"7 May 1847, London","21 May 1929, Epsom, Surrey",1894 to 1895,Liberal,"Rosebery's declared ambitions were to marry an heiress, own a horse that won the Derby and be Prime Minister. He fulfilled all 3."
William Ewart Gladstone,Liberal,1892,1894,https://www.gov.uk/government/history/past-prime-ministers/william-ewart-gladstone,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/986/s216_William-Gladstone.jpg,"29 December 1809, Liverpool","19 May 1898, Hawarden Castle, Flintshire","1892 to 1894, 1886 to 1886, 1880 to 1885, 1868 to 1874",Liberal,"Representation of the People Act 1884: increased the number of men who were eligible to vote in an election. Gave the vote to men paying an annual rent of at least £10 or all those holding land valued at £10. (Of course, women were still ineligible).

Government of Ireland Bill 1886 and 1893 (aka Home Rule Bills): attempts by Gladstone to allow a system of home rule in Ireland. The first bill was rejected by the Commons, the second was vetoed by the Lords. Thus, it never became law."
"Benjamin Disraeli, the Earl of Beaconsfield",Conservative,1874,1880,https://www.gov.uk/government/history/past-prime-ministers/benjamin-disraeli-the-earl-of-beaconsfield,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/987/s216_Benjamin-Disraeli.jpg,"21 December 1804, London","19 April 1881, London","1874 to 1880, 1868 to 1868",Conservative,"Conspiracy and Protection of Property Act 1875: decriminalised work of trade unions and allowed peaceful picketing.

Public Health Act 1875: improved sanitation and filthy living conditions in urban areas."
"Edward Smith Stanley, 14th Earl of Derby",Tory/Whig,1866,1868,https://www.gov.uk/government/history/past-prime-ministers/edward-smith-stanley-14th-earl-of-derby,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/988/s216_Earl-Derby.jpg,"29 March 1799, Knowsley Hall, Prescot, Lancashire","23 October 1869, Knowsley Hall, Prescot, Lancashire","1866 to 1868, 1858 to 1859, 1852 to 1852",Tory and Whig,"India Bill 1858: transferring control of the East India Company to the Crown.

Jews Relief Act 1858: ending the disablement for Jews to sit in Parliament."
"Lord John Russell, 1st Earl Russell",Whig,1865,1866,https://www.gov.uk/government/history/past-prime-ministers/lord-john-russell-1st-earl-russell,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/989/s216_Earl-Russell.jpg,"18 August 1792, Mayfair, London","28 May 1878, Richmond Park, London","1865 to 1866, 1846 to 1852",Whig,"Factory Act 1847: limitations on factory working hours.

Public Health Act 1848: improving the sanitary conditions of towns and populous places."
"Henry John Temple, 3rd Viscount Palmerston",Whig/Liberal,1859,1865,https://www.gov.uk/government/history/past-prime-ministers/henry-john-temple-3rd-viscount-palmerston,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/990/s216_Viscount-Palmerston.jpg,"20 October 1784, Westminster, London","18 October 1865, Brocket Hall, Hertfordshire","1859 to 1865, 1855 to 1858",Whig and Liberal,Government of India Bill 1858: transferring control of the East India Company to the Crown.
George Hamilton Gordon Earl of Aberdeen,Conservative,1852,1855,https://www.gov.uk/government/history/past-prime-ministers/george-hamilton-gordon-earl-of-aberdeen,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/995/s216_Earl-Aberdeen.jpg,"28 January 1784, Edinburgh","14 December 1860, St James', London",1852 to 1855,Conservative,Charter Act 1853: opened up the covenanted Indian Civil Service.
Sir Robert Peel 2nd Baronet,Conservative,1841,1846,https://www.gov.uk/government/history/past-prime-ministers/robert-peel-2nd-baronet,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1001/s216_Sir-Robert-Peel.jpg,"15 February 1788, Bury, Lancashire","02 July 1850, London","1841 to 1846, 1834 to 1835",Conservative,"Factory Act 1844: improved factory working conditions for women and children.

Importation Act 1846: removed trade barriers on imported corn, driving down prices."
"William Lamb, 2nd Viscount Melbourne",Whig,1835,1841,https://www.gov.uk/government/history/past-prime-ministers/william-lamb-2nd-viscount-melbourne,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1002/s216_Viscount-Melbourne.jpg,"15 March 1779, London","24 November 1848, Brocket, Herts","1835 to 1841, 1834 to 1834",Whig,Dissenters' Marriage Bill 1836: legalised civil marriage outside of the Church
"Arthur Wellesley, 1st Duke of Wellington",Tory,1834,1834,https://www.gov.uk/government/history/past-prime-ministers/arthur-wellesley-1st-duke-of-wellington,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1006/s216_Duke-Wellington.jpg,"1 May 1769, Dublin, Ireland","14 September 1852, Walmer Castle, Kent","1834 to 1834, 1828 to 1830",Tory,Roman Catholic Relief Act: removed many of the restrictions on Roman Catholicism in the UK.
"Charles Grey, 2nd Earl Grey",Whig,1830,1834,https://www.gov.uk/government/history/past-prime-ministers/charles-grey-2nd-earl-grey,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1010/s216_Earl-Grey.jpg,"13 March 1764, Falloden, Northumberland","17 July 1845, Howick Hall, Howick, Northumberland",1830 to 1834,Whig,"Reform Act 1832: reformed the electoral system.

Slavery abolition Act 1833: abolished slavery throughout the British Empire."
"Frederick Robinson, Viscount Goderich",Tory,1827,1828,https://www.gov.uk/government/history/past-prime-ministers/frederick-robinson-viscount-goderich,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1011/s216_Viscount-Goderich.jpg,"1 November 1782, London",31 August 1827 - 21 January 1828,1827 to 1828,Tory,
George Canning,Tory,1827,1827,https://www.gov.uk/government/history/past-prime-ministers/george-canning,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1012/s216_George-Canning.jpg,"11 April 1770, Marylebone, London","8 August 1827, Chiswick House, Middlesex",1827 to 1827,Tory,Holds the record for having served as Prime Minister for the shortest period of time.
Robert Banks Jenkinson Earl of Liverpool,Conservative,1812,1827,https://www.gov.uk/government/history/past-prime-ministers/robert-banks-jenkinson-earl-of-liverpool,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1014/s216_Earl-Liverpool.jpg,"7 June 1770, London","4 December 1828, Kingston-upon-Thames, Surrey",1812 to 1827,Conservative,Importation Act 1815: prohibiting the import of foreign wheat until the domestic price reached a minimum accepted level.
Spencer Perceval,Tory,1809,1812,https://www.gov.uk/government/history/past-prime-ministers/spencer-perceval,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1013/s216_Spencer-Perceval.jpg,"1 November 1762, Audley Square, London","11 May 1812, Lobby of the House of Commons",1809 to 1812,Tory,Regency Bill 1810: due to George III’s ill health the Prince of Wales was appointed Regent.
William Cavendish-Bentinck Duke of Portland,Whig,1807,1809,https://www.gov.uk/government/history/past-prime-ministers/william-bentinck-duke-of-portland,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1015/s216_Duke-Portland.jpg,14 April 1738,"30 October 1809, Bulstrode, Buckinghamshire","1807 to 1809, 1783 to 1783",Whig,Treaty of Paris 1783: formal end to American War of Independence.
"William Wyndham Grenville, 1st Baron Grenville",Whig,1806,1807,https://www.gov.uk/government/history/past-prime-ministers/william-wyndham-grenville-1st-baron-grenville,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1016/s216_Lord-Grenville.jpg,"25 October 1759 , Buckinghamshire","12 January 1834, Buckinghamshire",1806 to 1807,Whig,Slave Trade Act 1807: abolished the slave trade in the British Empire.
William Pitt 'The Younger',Tory/Whig,1804,1806,https://www.gov.uk/government/history/past-prime-ministers/william-pitt,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1018/s216_William-Pitt-younger.jpg,"28 May 1759, Hayes Place, near Hayes Kent","23 January 1806, Putney Heath, London","1804 to 1806, 1783 to 1801",Tory and Whig,"India Act 1784: for the superintendence and control overall the British territorial possessions in the East Indies and control over the affairs of the company.  

Act of Union 1800: united the Kingdom of Great Britain with the Kingdom of Ireland to create United Kingdom of Great Britain and Ireland."
Henry Addington 1st Viscount Sidmouth,Tory,1801,1804,https://www.gov.uk/government/history/past-prime-ministers/henry-addington-1st-viscount-sidmouth,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1019/s216_Henry-Addington.jpg,"30 May 1757, Holborn, London","15 February 1844, London, buried Mortlake, Surrey",1801 to 1804,Tory,Treaty of Amiens 1802: temporarily ended hostilities between UK and France.
"William Petty, 2nd Earl of Shelburne",Whig,1782,1783,https://www.gov.uk/government/history/past-prime-ministers/william-petty-2nd-earl-of-shelburne,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1021/s216_Earl-Shelburne.jpg,"2 May 1737, Dublin, Ireland","7 May 1805, London",1782 to 1783,Whig,In power at the time of the treaty of Paris which ended the American Revolutionary War/American War of Independence.
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",Whig,1782,1782,https://www.gov.uk/government/history/past-prime-ministers/charles-watson-wentworth-2nd-marquess-of-rockingham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1025/s216_Marquess-Rockingham.jpg,"13 May 1730, Wentworth Woodhouse, nr Rotherham","1 July 1782, Wimbledon","1782 to 1782, 1765 to 1766",Whig,"Declaratory Act 1766: for securing the dependency of His Majesty’s dominions in America upon the Crown and Parliament of Great Britain.

The Catholic Relief Act 1778: introduced by Sir George Saville to dismantle some of the penal laws aimed at Roman Catholics. It enabled them to own land, inherit property and join the army.  

The Parliament (Crewe's) Act 1782: disqualified all officers of Customs and Excise and the Post Office from voting in parliamentary elections. 

Clerke’s Act 1782: disqualified any person holding a contract or commission for government service from sitting as an MP."
Lord Frederick North,Tory,1770,1782,https://www.gov.uk/government/history/past-prime-ministers/frederick-north,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1023/s216_Lord-North.jpg,"13 April 1732, Piccadilly, London","5 August 1792, London",1770 to 1782,Tory,Tea Act 1773: which sparked the Boston Tea party and led to the American Revolution in 1776.
"Augustus Henry Fitzroy, 3rd Duke of Grafton",Whig,1768,1770,https://www.gov.uk/government/history/past-prime-ministers/augustus-henry-fitzroy-3rd-duke-of-grafton,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1022/s216_Duke-Grafton.jpg,28 September 1735,"14 March 1811, Euston Hall, Suffolk",1768 to 1770,Whig,
"William Pitt 'The Elder', 1st Earl of Chatham",Whig,1766,1768,https://www.gov.uk/government/history/past-prime-ministers/william-pitt-1st-earl-of-chatham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1024/s216_Earl-Chatham.jpg,"15 November 1708, Westminster, London","11 May 1778, Hayes, Middlesex",1766 to 1768,Whig,Pitt is credited with the birth of the British Empire. Such activities made him very popular with the people and he became known as the ‘Great Commoner’.
George Grenville,Whig,1763,1765,https://www.gov.uk/government/history/past-prime-ministers/george-grenville,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1026/s216_George-Grenville.jpg,"14 October 1712, Wotton, Buckinghamshire","13 November 1770, Bolton Street, Piccadilly, London",1763 to 1765,Whig,"The Navy Act 1758: to speed up the payment of seamen’s wages and enable them to send a portion home to their families.  

The Stamp Act 1765: required all legal documents, licenses, commercial contracts, newspapers, pamphlets, and playing cards to carry a tax stamp. 

The Parliamentary Elections Act 1770 - aka The Grenville Act: transferred the power of trying election petitions from the House of Commons to a small committee of MPs selected by lot."
"John Stuart, 3rd Earl of Bute",Tory,1762,1763,https://www.gov.uk/government/history/past-prime-ministers/john-stuart-3rd-earl-of-bute,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1027/s216_Earl-Bute.jpg,"25 May 1713, Parliament Square, Edinburgh","10 March 1792, South Audley Street, London",1762 to 1763,Tory,Cider Tax 1763: imposition of a 4 shillings per hogshead on cider to raise revenue to pay for the Seven Years War
Thomas Pelham-Holles 1st Duke of Newcastle,Whig,1757,1762,https://www.gov.uk/government/history/past-prime-ministers/thomas-pelham-holles-1st-duke-of-newcastle,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1029/s216_Duke-Newcastle.jpg,"21 July 1693 , London","17 November 1768, Lincoln's Inn Fields, London","1757 to 1762, 1754 to 1756",Whig,"George II had bad relations with the Duke of Newcastle and during one altercation George's poor English made Newcastle think he had challenged him to a duel. 

In 1717, the duke was given the responsibility of overseeing theatres and suppressing any plays or playwrights believed to be too critical of the Hanoverian succession or the Whig government. 

The Duke of Newcastle was the first Prime Minister to spend his entire parliamentary career in the House of Lords, having taken his seat shortly after his 21st birthday."
William Cavendish Duke of Devonshire,Whig,1756,1757,https://www.gov.uk/government/history/past-prime-ministers/william-cavendish-duke-of-devonshire,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1028/s216_Duke-Devonshire.jpg,"Baptised 1 June 1720, Baptised St Martin’s in the Fields, Westminster","2 October 1764, Spa, the Austrian Netherlands (now Belgium)",1756 to 1757,Whig,"Militia Act 1757: established militia regiments in all counties in England and Wales, reviving the system of home defence that had been in abeyance since the Civil War."
Henry Pelham,Whig,1743,1754,https://www.gov.uk/government/history/past-prime-ministers/henry-pelham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1030/s216_Henry-Pelham.jpg,"Early 1696 (though some sources say 1694), Laughton, Sussex","6 March 1754 , Arlington St, London",1743 to 1754,Whig,"The Consolidation Act 1749: reorganised the Royal Navy.

The British calendar was reorganised (New Year's Day became 1 January) in 1751: Britain would adopt the Gregorian calendar 1 year later.

The Jew Act 1753: allowed Jews to become naturalised by application to Parliament.

The Marriage Act 1753: enumerated the minimum age of consent for marriage."
"Spencer Compton, 1st Earl of Wilmington",Whig,1742,1743,https://www.gov.uk/government/history/past-prime-ministers/spencer-compton-1st-earl-of-wilmington,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1031/s216_Earl-of-Wilmington.jpg,"1673 or 1674, Compton Wynyates, Warwickshire","2 July 1743, St. James's Square, London",1742 to 1743,Whig,
Sir Robert Walpole,Whig,1721,1742,https://www.gov.uk/government/history/past-prime-ministers/robert-walpole,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1032/s216_Sir-Robert-Walpole.jpg,"26 August 1676, Houghton Hall, Norfolk","18 March 1745, Arlington Street, London",1721 to 1742,Whig,"Parliamentary Privilege Act 1737: to amend an act passed in the Twelfth and Thirteenth Year of the Reign of King William the Third, intituled “An act for preventing any Inconveniences that may happen by Privilege of Parliament.”

Distress for Rent Act 1737: for the more effectual securing the Payment of Rents, and preventing Frauds by Tenants

Gaming Act 1738: an act for the more effectual preventing of excessive and deceitful Gaming."
