dish,phonetic,korean,post_url,thumbnail_url,image_url
Fermented pollock roe,Myeongnanjeot,명란젓,https://www.maangchi.com/recipe/myeongnanjeot,https://www.maangchi.com/wp-content/uploads/2019/09/myeongnanjeot-150x150.jpg,
Spicy braised chicken breasts,Dakbokkeumtang,닭볶음탕,https://www.maangchi.com/recipe/dakbokkeumtang,https://www.maangchi.com/wp-content/uploads/2011/12/dakbokkeumtang-150x150.jpg,
Seafood pancakes,Haemuljeon,해물전,https://www.maangchi.com/recipe/haemuljeon,https://www.maangchi.com/wp-content/uploads/2019/04/haemul-jeon-150x150.jpg,
Spicy chicken & vegetable soup,Dakgaejang,닭개장,https://www.maangchi.com/recipe/dakgaejang,https://www.maangchi.com/wp-content/uploads/2019/03/dakgaejang-rice-150x150.jpg,
Stir-fried kimchi,Kimchi-bokkeum,김치볶음,https://www.maangchi.com/recipe/kimchi-bokkeum,https://www.maangchi.com/wp-content/uploads/2019/02/kimchibokkeum-dosirak-150x150.jpg,
"Minced, seasoned, and grilled beef ribs with cheese",Cheese tteokgalbi,치즈떡갈비,https://www.maangchi.com/recipe/cheese-tteokgalbi,https://www.maangchi.com/wp-content/uploads/2019/02/cheese-tteokgalbi-150x150.jpg,
Extra-strong fermented soybean paste stew,Cheonggukjang-jjigae,청국장찌개,https://www.maangchi.com/recipe/cheonggukjang-jjigae,https://www.maangchi.com/wp-content/uploads/2019/01/cheonggukjang-jjigae-150x150.jpg,
Salt-roasted shrimp,Saeu-sogeum-gui,새우소금구이,https://www.maangchi.com/recipe/saeu-sogeum-gui,https://www.maangchi.com/wp-content/uploads/2018/11/salt-roasted-shrimp-150x150.jpg,
"Stir-fried chives, meat, and vegetables",Buchu-japchae,부추잡채,https://www.maangchi.com/recipe/buchu-japchae,https://www.maangchi.com/wp-content/uploads/2018/10/buchujapchae-150x150.jpg,
Steamed flower-shaped buns,Kkotppang,꽃빵,https://www.maangchi.com/recipe/kkotppang,https://www.maangchi.com/wp-content/uploads/2018/09/kkotppang-150x150.jpg,
Jellyfish salad,Haepari-naengchae,해파리냉채,https://www.maangchi.com/recipe/haepari-naengchae,https://www.maangchi.com/wp-content/uploads/2018/09/jellyfish-salad-150x150.jpg,
Corn cheese,Corn cheese,콘치즈,https://www.maangchi.com/recipe/corn-cheese,https://www.maangchi.com/wp-content/uploads/2018/08/corncheese-youtube-150x150.jpg,
Steamed perilla leaves,Kkaennipjjim,깻잎찜,https://www.maangchi.com/recipe/kkaennipjjim,https://www.maangchi.com/wp-content/uploads/2018/08/kkaennipjjim-150x150.jpg,
Spicy pork stew,Dwaejigogi-jjigae,돼지고기찌개,https://www.maangchi.com/recipe/dwaejigogi-jjigae,https://www.maangchi.com/wp-content/uploads/2018/07/dwaeji-jjigae-150x150.jpg,
Stir-fried fernbrake side dish,Gosari-namul,고사리나물,https://www.maangchi.com/recipe/gosari-namul,https://www.maangchi.com/wp-content/uploads/2018/07/fernbrake-dish-150x150.jpg,
Dried shredded pollock seasoned with gochujang,Bugeopo gochujang-muchim,북어포 고추장무침,https://www.maangchi.com/recipe/bugeopo-gochujang-muchim,https://www.maangchi.com/wp-content/uploads/2018/06/bugeopomuchim-150x150.jpg,
"Quick, fresh kimchi",Baechu-geotjeori,배추겉절이,https://www.maangchi.com/recipe/baechu-geotjeori,https://www.maangchi.com/wp-content/uploads/2018/05/baechugeotjeori-150x150.jpg,
Braised black beans,Geomeun-kongjorim,검은콩조림,https://www.maangchi.com/recipe/geomeun-kongjorim,https://www.maangchi.com/wp-content/uploads/2018/05/braised-black-beans-150x150.jpg,
Sautéed zucchini and shrimp,Aehobak-saeu-bokkeum,애호박새우볶음,https://www.maangchi.com/recipe/aehobak-saeu-bokkeum,https://www.maangchi.com/wp-content/uploads/2018/04/zucchini-shrimp-bokkeum-150x150.jpg,
Spicy stir-fried octopus,Nakji-bokkeum,낙지볶음,https://www.maangchi.com/recipe/nakji-bokkeum,https://www.maangchi.com/wp-content/uploads/2018/03/nakjibokkeum-150x150.jpg,
Spicy steamed eggs in an earthenware bowl,Maeun ttukbaegi gyeranjjim,매운 뚝배기 계란찜,https://www.maangchi.com/recipe/maeun-ttukbaegi-gyeranjjim,https://www.maangchi.com/wp-content/uploads/2018/03/spicy-steamed-eggs-150x150.jpg,
Spicy braised potatoes,Maeun-gamja-jorim,매운감자조림,https://www.maangchi.com/recipe/maeun-gamja-jorim,https://www.maangchi.com/wp-content/uploads/2018/02/maeungamjajorim-150x150.jpg,
Braised semi-dried pollock,Kodari-jorim,코다리조림,https://www.maangchi.com/recipe/kodari-jorim,https://www.maangchi.com/wp-content/uploads/2018/01/kodarijorim-150x150.jpg,
Braised pig's trotters,Jokbal,족발,https://www.maangchi.com/recipe/jokbal,https://www.maangchi.com/wp-content/uploads/2017/12/jokbal-tube1-150x150.jpg,
Seasoned fresh oysters,Gulmuchim,굴무침,https://www.maangchi.com/recipe/gulmuchim,https://www.maangchi.com/wp-content/uploads/2017/11/oysters-150x150.jpg,
Soybean sprout soup with rice,Kongnamul-gukbap,콩나물국밥,https://www.maangchi.com/recipe/kongnamul-gukbap,https://www.maangchi.com/wp-content/uploads/2017/11/kongnamulgukbap-youtube-150x150.jpg,
Vegetable and fruit water kimchi,Nabak-kimchi,나박김치,https://www.maangchi.com/recipe/nabak-kimchi,https://www.maangchi.com/wp-content/uploads/2017/10/nabak-kimchi-150x150.jpg,
Spicy stuffed steamed eggplant,Gochujang gaji-jjim,고추장 가지찜,https://www.maangchi.com/recipe/gochujang-gaji-jjim,https://www.maangchi.com/wp-content/uploads/2017/09/steamedspicyeggplant-150x150.jpg,
Thick soybean paste stew,Gang-doenjang,강된장,https://www.maangchi.com/recipe/gang-doenjang,https://www.maangchi.com/wp-content/uploads/2017/08/gangdoenjang-youtube-150x150.jpg,
Pan-fried perilla leaves with fillings,Kkaennip-jeon,깻잎전,https://www.maangchi.com/recipe/kkaennip-jeon,https://www.maangchi.com/wp-content/uploads/2017/08/kkaennip-jeon-150x150.jpg,
Braised lotus roots,Yeon-geun-jorim,연근조림,https://www.maangchi.com/recipe/yeon-geun-jorim,https://www.maangchi.com/wp-content/uploads/2017/03/yeon-geun-jorim-150x150.jpg,
Fried seaweed paper coated with glutinous rice paste,Gim-bugak,김부각,https://www.maangchi.com/recipe/gim-bugak,https://www.maangchi.com/wp-content/uploads/2017/01/gim-bugak-insta-1-150x150.jpg,
Braised octopus,Muneo-jorim,문어조림,https://www.maangchi.com/recipe/muneo-jorim,https://www.maangchi.com/wp-content/uploads/2017/01/muneo-jorim-1-150x150.jpg,
Asian chive kimchi,Buchu-kimchi,부추김치,https://www.maangchi.com/recipe/buchu-kimchi,https://www.maangchi.com/wp-content/uploads/2016/12/chive-kimchi-insta-150x150.jpg,
Bulgogi stew in an earthenware pot,Ttukbaegi-bulgogi,뚝배기불고기,https://www.maangchi.com/recipe/ttukbaegi-bulgogi,https://www.maangchi.com/wp-content/uploads/2016/11/ttukbaegi-bulgogi-insta-1-150x150.jpg,
Simple potato pancake,Gamjajeon,감자전,https://www.maangchi.com/recipe/simple-gamjajeon,https://www.maangchi.com/wp-content/uploads/2016/11/potato-pancake-piece-150x150.jpg,
Seasoned pan fried flatfish,Gajami yangnyeom-twigim,가자미 양념튀김,https://www.maangchi.com/recipe/gajami-yangnyeom-twigim,https://www.maangchi.com/wp-content/uploads/2016/11/pan-fried-fluke-insta-150x150.jpg,
Fermented soybean paste stew with scallops,Paeju-doenjang-jjigae,패주된장찌개,https://www.maangchi.com/recipe/paeju-doenjang-jjigae,https://www.maangchi.com/wp-content/uploads/2016/10/scallop-deonjangjjigae-150x150.jpg,
Spicy stuffed green chili pepper kimchi,Gochu-sobagi,고추소박이,https://www.maangchi.com/recipe/gochu-sobagi,https://www.maangchi.com/wp-content/uploads/2016/09/pepper-kimchi-150x150.jpg,
Crunchy squid threads,Ojingeo-silchae-bokkeum,오징어실채볶음,https://www.maangchi.com/recipe/ojingeo-silchae-bokkeum,https://www.maangchi.com/wp-content/uploads/2016/09/ojingeosilchaebokkeum-insta-150x150.jpg,
Mushroom soup,Beoseot-deulkkae-tang,버섯들깨탕,https://www.maangchi.com/recipe/beoseot-deulkkae-tang,https://www.maangchi.com/wp-content/uploads/2016/07/mushroomsoup-150x150.jpg,
Ox bone hangover soup,Ppyeo-haejangguk,뼈해장국,https://www.maangchi.com/recipe/ppyeo-haejangguk,https://www.maangchi.com/wp-content/uploads/2016/06/haejangguk-150x150.jpg,
Stir-fried garlic scapes,Maneuljjong-bokkeum,마늘쫑볶음,https://www.maangchi.com/recipe/maneuljjong-bokkeum,https://www.maangchi.com/wp-content/uploads/2016/06/maneuljjong-bokkeum-150x150.jpg,
Grilled salted & dried yellow corvina,Gulbi-gui,굴비구이,https://www.maangchi.com/recipe/gulbi-gui,https://www.maangchi.com/wp-content/uploads/2016/05/gulbi-gui-150x150.jpg,
Pan-fried meat and tofu patties,Wanja-jeon,완자전,https://www.maangchi.com/recipe/wanja-jeon,https://www.maangchi.com/wp-content/uploads/2016/04/wanjajeon-basket-150x150.jpg,
Spicy braised tofu,Dubu-jorim,두부조림,https://www.maangchi.com/recipe/dubu-jorim,https://www.maangchi.com/wp-content/uploads/2016/02/dubujorim-insta-150x150.jpg,
Fermented soybean paste stew,Doenjang-jjigae,된장찌개,https://www.maangchi.com/recipe/doenjang-jjigae,https://www.maangchi.com/wp-content/uploads/2016/01/jjigae-150x150.jpg,
Korean lettuce salad,Sangchu-geotjeori,상추겉절이,https://www.maangchi.com/recipe/sangchu-geotjeori,https://www.maangchi.com/wp-content/uploads/2015/10/geotjeori-closeup-150x150.jpg,
Mung bean pancakes,Bindaetteok,빈대떡,https://www.maangchi.com/recipe/bindaetteok,https://www.maangchi.com/wp-content/uploads/2015/10/bindaetteok-closeup-150x150.jpg,
Mung bean sprout side dish,Sukjunamul-muchim,숙주나물무침,https://www.maangchi.com/recipe/sukjunamul-muchim,https://www.maangchi.com/wp-content/uploads/2015/10/sukjunamul-150x150.jpg,
Beef pancakes,Soegogi-jeon,쇠고기전,https://www.maangchi.com/recipe/soegogi-jeon,https://www.maangchi.com/wp-content/uploads/2015/08/soegogijeon-150x150.jpg,
Braised kimchi & pork,Kimchijjim,김치찜,https://www.maangchi.com/recipe/kimchijjim,https://www.maangchi.com/wp-content/uploads/2015/07/kiimchijjim-long-150x150.jpg,
Shrimp Pancakes,Saeujeon,새우전,https://www.maangchi.com/recipe/saeujeon,https://www.maangchi.com/wp-content/uploads/2015/06/shrimp1-150x150.jpg,
Spicy cucumber side dish,Oi-muchim,오이무침,https://www.maangchi.com/recipe/oi-muchim,https://www.maangchi.com/wp-content/uploads/2015/04/oimuchim_plate-150x150.jpg,
Yellow pickled radish,Danmuji,단무지,https://www.maangchi.com/recipe/danmuji,https://www.maangchi.com/wp-content/uploads/2015/04/danmuji-cut-150x150.jpg,
Braised baby potatoes,Algamja-jorim,알감자조림,https://www.maangchi.com/recipe/algamja-jorim,https://www.maangchi.com/wp-content/uploads/2015/03/algamjajorim1-150x150.jpg,
Eggs in soy broth,Gyeran-jangjorim,계란장조림,https://www.maangchi.com/recipe/gyeran-jangjorim,https://www.maangchi.com/wp-content/uploads/2015/03/jangjorim-150x150.jpg,
Spicy soft tofu stew with kimchi and pork belly,Kimchi sundubu-jjigae,김치순두부찌개,https://www.maangchi.com/recipe/sundubu-jjigae,https://www.maangchi.com/wp-content/uploads/2015/01/soondubujjigae-150x150.jpg,
Clam stew,Jogaetang,조개탕,https://www.maangchi.com/recipe/jogaetang,https://www.maangchi.com/wp-content/uploads/2014/12/jogaetang-150x150.jpg,
Spicy grilled squid,Ojingeo-tonggui,오징어통구이,https://www.maangchi.com/recipe/ojingeo-tonggui,https://www.maangchi.com/wp-content/uploads/2014/12/ojingeogui-150x150.jpg,
Bok choy seasoned with soybean paste,Cheonggyeongchae doenjang-muchim,청경채 된장무침,https://www.maangchi.com/recipe/bok-choy-muchim,https://www.maangchi.com/wp-content/uploads/2014/11/bokchoy_muchim-150x150.jpg,
Green chili pepper pickles,Gochu-jangajji,고추장아찌,https://www.maangchi.com/recipe/gochu-jangajji,https://www.maangchi.com/wp-content/uploads/2014/09/Korean-green-chili-pepper-pickles-150x150.jpg,
"Minced, seasoned, and grilled beef ribs",Tteokgalbi,떡갈비,https://www.maangchi.com/recipe/tteokgalbi,https://www.maangchi.com/wp-content/uploads/2014/08/tteokgalbi_pan1-150x150.jpg,
"Sweet, sour, and spicy mushrooms with water dropwort",Beoseot minari chomuchim,버섯 미나리 초무침,https://www.maangchi.com/recipe/beoseot-minari-chomuchim,https://www.maangchi.com/wp-content/uploads/2014/08/sweet-sour-spicy-mushrooms-and-water-dropwort-web-150x150.jpg,
Kale Pancakes,Kaeil-jangtteok,케일장떡,https://www.maangchi.com/recipe/kale-jangtteok,https://www.maangchi.com/wp-content/uploads/2014/07/kale_jangtteok-150x150.jpg,
Napa cabbage kimchi,Tongbaechu-kimchi,통배추김치,https://www.maangchi.com/recipe/tongbaechu-kimchi,https://www.maangchi.com/wp-content/uploads/2014/06/whole-cabbage-kimchi-150x150.jpg,
Potato salad,Gamja-salad,감자샐러드,https://www.maangchi.com/recipe/gamja-salad,https://www.maangchi.com/wp-content/uploads/2014/06/gamja_salad1-150x150.jpg,
Ramp pancakes,Sanmaneul-jeon,산마늘전,https://www.maangchi.com/recipe/sanmaneul-jeon,https://www.maangchi.com/wp-content/uploads/2014/05/ramp_pancake-150x150.jpg,
Fish cakes,Eomuk,어묵,https://www.maangchi.com/recipe/eomuk,https://www.maangchi.com/wp-content/uploads/2014/04/eomuk-150x150.jpg,
Roasted seaweed sheets,Gim-gui,김구이,https://www.maangchi.com/recipe/gim-gui,https://www.maangchi.com/wp-content/uploads/2014/03/roasted-gim-150x150.jpg,
Kimchi and mackerel camping stew,Kimchi godeungeo-tongjorim jjigae,김치 고등어통조림 찌개,https://www.maangchi.com/recipe/kimchi-camping-stew,https://www.maangchi.com/wp-content/uploads/2014/02/kimchi-stew-with-canned-fish-150x150.jpg,
Seasoned dried anchovies,Myeolchi-muchim,멸치무침,https://www.maangchi.com/recipe/myeolchi-muchim,https://www.maangchi.com/wp-content/uploads/2014/02/seasoned-anchovies-150x150.jpg,
Fried Gochujang,yak-gochujang,약고추장,https://www.maangchi.com/recipe/yak-gochujang,https://www.maangchi.com/wp-content/uploads/2014/01/yakgochujang_1-150x150.jpg,
White Kimchi,Baek-kimchi,백김치,https://www.maangchi.com/recipe/baekkimchi,https://www.maangchi.com/wp-content/uploads/2013/12/baekkimchi-150x150.jpg,
Doenjang pork skewers,Maekjeok,맥적,https://www.maangchi.com/recipe/maekjeok,https://www.maangchi.com/wp-content/uploads/2013/10/maekjeok-150x150.jpg,
Cold salad with spicy mustard sauce,Gyeoja-naengchae,겨자냉채,https://www.maangchi.com/recipe/gyeoja-naengchae,https://www.maangchi.com/wp-content/uploads/2013/09/plate-150x150.jpg,
Beef and radish soup,Soegogi-muguk,쇠고기무국,https://www.maangchi.com/recipe/soegogi-muguk,https://www.maangchi.com/wp-content/uploads/2013/09/beef-and-radish-soup-150x150.jpg,
Raw crabs marinated in soy sauce,Ganjang-gejang,간장게장,https://www.maangchi.com/recipe/ganjang-gejang,https://www.maangchi.com/wp-content/uploads/2013/07/ganjanggejang-150x150.jpg,
Lamb's Quarters side dish,Myeongaju-muchim,명아주무침,https://www.maangchi.com/recipe/myeongaju-muchim,https://www.maangchi.com/wp-content/uploads/2013/07/lambsquarters_seasoned-150x150.jpg,
Seasoned dried radish strips,Mumallaengi-muchim,무말랭이무침,https://www.maangchi.com/recipe/mumallaengi-muchim,https://www.maangchi.com/wp-content/uploads/2013/05/mumallaengimuchim_bowl-150x150.jpg,
Korean style fried snapper with seasoning sauce,Domi-yangnyeom-gui,도미양념구이,https://www.maangchi.com/recipe/domiyangnyeomgui,https://www.maangchi.com/wp-content/uploads/2013/04/fried-snapper-150x150.jpg,
Broccoli salad,,,https://www.maangchi.com/recipe/broccoli-salad,https://www.maangchi.com/wp-content/uploads/2013/04/broccolisalad-150x150.jpg,
Beef short ribs soup,Galbitang,갈비탕,https://www.maangchi.com/recipe/galbitang,https://www.maangchi.com/wp-content/uploads/2013/03/galbitang-150x150.jpg,
Potato pancakes,Gamjajeon,감자전,https://www.maangchi.com/recipe/gamjajeon,https://www.maangchi.com/wp-content/uploads/2013/03/gamjajeon_plate-150x150.jpg,
Kimchi soup,Kimchi-guk,김치국,https://www.maangchi.com/recipe/kimchi-guk,https://www.maangchi.com/wp-content/uploads/2013/02/kimchiguk-150x150.jpg,
Korean Royal court stir fried rice cakes,Gungjung-tteokbokki,궁중떡볶이,https://www.maangchi.com/recipe/gungjung-tteokbokki,https://www.maangchi.com/wp-content/uploads/2013/02/gungjungddeokbokki-150x150.jpg,
Tofu pickles,Dubu-jangajji,두부장아찌,https://www.maangchi.com/recipe/dubu-jangajji,https://www.maangchi.com/wp-content/uploads/2012/11/tofu-pickles-150x150.jpg,
Spicy pork bulgogi BBQ,Dwaeji bulgogi,돼지불고기,https://www.maangchi.com/recipe/dwaeji-bulgogi,https://www.maangchi.com/wp-content/uploads/2012/11/spicy-pork_plate-150x150.jpg,
Korean spicy dipping sauce,Ssamjang,쌈장,https://www.maangchi.com/recipe/ssamjang,https://www.maangchi.com/wp-content/uploads/2012/10/ssamjang-bowl-150x150.jpg,
