dish,phonetic,korean,slug,thumbnail,image_url
Stir-fried collard greens with doenjang,Collard greens doenjang-bokkeum,콜라드그린 된장볶움,collard-greens-doenjang-bokkeum,2022/10/collardgreens-stirfried-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-GJABBkKx9xiXIxWMkh4USW2B.png?st=2024-10-14T15%3A58%3A05Z&se=2024-10-14T17%3A58%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A21%3A45Z&ske=2024-10-14T23%3A21%3A45Z&sks=b&skv=2024-08-04&sig=Z7wZU99z%2BTWZGeZ99vUrPSL7Juebvov7dnCUvTgPYFg%3D
Braised beef in soy sauce,Jangjorim,장조림,jangjorim,2022/07/jangjorim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Ub4Sy4D6Hz7syLWMQB4RzdEj.png?st=2024-10-14T15%3A58%3A24Z&se=2024-10-14T17%3A58%3A24Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A45%3A44Z&ske=2024-10-14T23%3A45%3A44Z&sks=b&skv=2024-08-04&sig=nI7KTNct1T33MecedCl9iSyWH8ToddBbbRiMWfaa0zY%3D
Braised beltfish,Galchi-jorim,갈치조림,galchi-jorim,2022/07/galchi-jorim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-fQQegZmkRWrgsMHxzHswbxUZ.png?st=2024-10-14T15%3A58%3A47Z&se=2024-10-14T17%3A58%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A33%3A04Z&ske=2024-10-15T01%3A33%3A04Z&sks=b&skv=2024-08-04&sig=eYeVlwDyY6Z%2Bb0gR%2BoJBzF6NSsP1ZOEzjpXBK0940gM%3D
Spicy cod fillets,Daegusal-jorim,대구살조림,daegusal-jorim,2022/04/daegusal-jorim-1-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-bZeRiigCDabcOYH63kJek9Wx.png?st=2024-10-14T15%3A59%3A04Z&se=2024-10-14T17%3A59%3A04Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A41%3A22Z&ske=2024-10-15T00%3A41%3A22Z&sks=b&skv=2024-08-04&sig=FnWsJJ7Yo2gEE5ZUcUiDgRTbv8yTQLF5V2nqbUI4j8Q%3D
Soybean paste stew with beef,Sogogi doenjang-jjigae,소고기 된장찌개,sogogi-doenjang-jjigae,2022/03/beef-doenjangjjigae-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-xPtoKA1SzX7Nm9Fnbb0pBMiB.png?st=2024-10-14T15%3A59%3A20Z&se=2024-10-14T17%3A59%3A20Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A08%3A28Z&ske=2024-10-15T01%3A08%3A28Z&sks=b&skv=2024-08-04&sig=aiGlLEn%2BTExxQmIOw4aabQcuu8nUMwIZmZS8senHUuA%3D
Garlic green beans,Kkeopjilkong maneul bokkeum,껍질콩 마늘 볶음,kkeopjilkong-maneul-bokkeum,2022/01/garlic-green-beans-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-tFCZzs789aGNrIc3GqZMFyJi.png?st=2024-10-14T15%3A59%3A43Z&se=2024-10-14T17%3A59%3A43Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A35%3A14Z&ske=2024-10-14T23%3A35%3A14Z&sks=b&skv=2024-08-04&sig=qWVi5P%2BT29r%2BywYTvXkHecOpq5zejA6EfhTfw9z/BIc%3D
Beef bone broth,Sagol-gukmul,사골국물,sagol-gukmul,2021/11/korean-beef-bone-broth-1-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-UouJV2qI2yoyZ6urWqzs5ctc.png?st=2024-10-14T16%3A00%3A00Z&se=2024-10-14T18%3A00%3A00Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A59%3A41Z&ske=2024-10-14T23%3A59%3A41Z&sks=b&skv=2024-08-04&sig=YCWqz8RrcuhHr3AFLcD1XbEyYDiDd8qo1vmBGoH5nfY%3D
"Sweet, sour, & crispy mushrooms",Beoseot-tangsu,버섯탕수,beoseot-tangsu,2021/09/pyogo-beoseot-tangsu-1-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-xSBnAPJ3T9GGe8EXB8of5Hhl.png?st=2024-10-14T16%3A00%3A20Z&se=2024-10-14T18%3A00%3A20Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A39%3A20Z&ske=2024-10-14T23%3A39%3A20Z&sks=b&skv=2024-08-04&sig=I%2BHPOw1VhsowafTMEe/PEey9yIZE2WUyBJHT%2BaEc8kg%3D
Green onion kimchi,Pa-kimchi,파김치,pa-kimchi,2021/07/pa-kimchi-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-KcaR2TIbQqNXhZdUFzZ9VUlk.png?st=2024-10-14T16%3A00%3A47Z&se=2024-10-14T18%3A00%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A06%3A59Z&ske=2024-10-14T23%3A06%3A59Z&sks=b&skv=2024-08-04&sig=ok537NfuBL5Ul5uaNl%2BjYeTajGNa6KTuplb50eQUpb4%3D
Minari side dish,Minari-muchim,미나리무침,minari-muchim,2021/06/minari-muchim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-mMtzOzQJiDpXG8D5yOEJI7Q3.png?st=2024-10-14T16%3A01%3A08Z&se=2024-10-14T18%3A01%3A08Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A43%3A31Z&ske=2024-10-14T23%3A43%3A31Z&sks=b&skv=2024-08-04&sig=SwnD4DXi5PN61fbQ/0N148CIIh30FdRQooluUwnToWc%3D
Asparagus side dish,Asparagus-muchim,아스파라거스무침,asparagus-muchim,2021/04/asparagus-muchim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-X73YQu1UidMrkVCC0cH8mxOb.png?st=2024-10-14T16%3A01%3A26Z&se=2024-10-14T18%3A01%3A26Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A41%3A21Z&ske=2024-10-14T23%3A41%3A21Z&sks=b&skv=2024-08-04&sig=Xt83ulkQgoMiIMecxrwdPJxodUTTt2s7uS4BjI%2BAKT4%3D
Seafood green onion pancake,Haemul-pajeon,해물파전,haemul-pajeon,2021/04/haemul-pajeon-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-WaNdOPs3xsr8MMGyAVg4RldW.png?st=2024-10-14T16%3A01%3A45Z&se=2024-10-14T18%3A01%3A45Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A21%3A44Z&ske=2024-10-14T23%3A21%3A44Z&sks=b&skv=2024-08-04&sig=RrMoL6RMyl2xWjkx2tGJuusTNwzYhKR7z41MWy0I6Xg%3D
Broccoli with tofu,Broccoli dubu-muchim,브로콜리 두부무침,broccoli-dubu-muchim,2021/01/broccoli-dubu-muchim-scaled-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-M5LtwkU1lYVLnPeE5MTX8I78.png?st=2024-10-14T16%3A02%3A02Z&se=2024-10-14T18%3A02%3A02Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T06%3A55%3A59Z&ske=2024-10-15T06%3A55%3A59Z&sks=b&skv=2024-08-04&sig=JnhRSW7GchP0z1J8Kijn0u%2BtFgeF6mAnyCG0b5%2BysHw%3D
Stir-fried oyster mushrooms,Neutari-beoseot-bokkeum,느타리버섯볶음,neutari-beoseot-bokkeum,2020/11/neutari-beoseot-scaled-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Xixztqaw4016ERMEbdZOrkb0.png?st=2024-10-14T16%3A02%3A22Z&se=2024-10-14T18%3A02%3A22Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A54%3A33Z&ske=2024-10-14T23%3A54%3A33Z&sks=b&skv=2024-08-04&sig=X9DBXsz9GC07XjSi6MXJ5kwDciwMo%2BWYQgO/gHYsZM4%3D
Spicy soft tofu stew with beef,Gogi sundubu-jjigae,고기 순두부찌개,gogi-sundubu-jjigae,2020/11/gogi-sundubu-jjigae-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-fHdriSdB5gx7h80MB0xBzzXU.png?st=2024-10-14T16%3A02%3A40Z&se=2024-10-14T18%3A02%3A40Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A42%3A53Z&ske=2024-10-14T23%3A42%3A53Z&sks=b&skv=2024-08-04&sig=PiNSeF5SLjwKWrYGa7RHsFgoQI6sGpheH04CiG3SmEE%3D
Seasoned seaweed,Gim-muchim,김무침,gim-muchim,2020/08/gimmuchim-recipe-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Z1uXyUo40QRzZpKZOXifC51Z.png?st=2024-10-14T16%3A02%3A56Z&se=2024-10-14T18%3A02%3A56Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A25%3A18Z&ske=2024-10-14T23%3A25%3A18Z&sks=b&skv=2024-08-04&sig=%2BjvdT7aWmZnIRMEz6pqbhYdNYze%2B36o3NWyr4BpkbKI%3D
Stir-fried potato and ham,Gamja-haem-bokkeum,감자햄볶음,gamja-haem-bokkeum,2020/07/gamja-ham-bokkeum-scaled-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-230jyB0UIQCcdNolfpOHXpdZ.png?st=2024-10-14T16%3A03%3A17Z&se=2024-10-14T18%3A03%3A17Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A45%3A10Z&ske=2024-10-14T23%3A45%3A10Z&sks=b&skv=2024-08-04&sig=RHDOyhxri/T6A40IgUQHqAqXnwEUA7y8B/ucW4iT82Y%3D
Cabbage pancake,Baechujeon,배추전,baechujeon,2020/06/baechujeon-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-p9LEJrKvFSQG6f4sppa6SQvz.png?st=2024-10-14T16%3A03%3A37Z&se=2024-10-14T18%3A03%3A37Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A02%3A34Z&ske=2024-10-15T00%3A02%3A34Z&sks=b&skv=2024-08-04&sig=/XVlBoIwMcHbQwekEIvANRViiMxEzYYXHcbdbDkuJZY%3D
Sweet and crunchy tofu,Dubu-gangjeong,두부강정,dubu-gangjeong,2020/04/dubugangjeong-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-uk4DYO2kI6cqVxRB3OJWDJEO.png?st=2024-10-14T16%3A03%3A57Z&se=2024-10-14T18%3A03%3A57Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A29%3A25Z&ske=2024-10-15T00%3A29%3A25Z&sks=b&skv=2024-08-04&sig=4bpNPXFmnQeMmpCUthMqSnz6q65Ggx5dl%2BIArWERK9E%3D
Kimchi pancake,Kimchijeon,김치전,kimchijeon,2020/02/kimchijeon-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-TZFmyN2ITgbi0049cIlfNh4M.png?st=2024-10-14T16%3A04%3A22Z&se=2024-10-14T18%3A04%3A22Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A13%3A49Z&ske=2024-10-15T00%3A13%3A49Z&sks=b&skv=2024-08-04&sig=P7mhsbPCgq4PLg4eVBQf5OCZrULVy7T6zTvRZpgyZQA%3D
