hospital,hospital_subtype,ccn,week,county,fips,total_beds,total_staffed_adult_icu_beds,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
Mark Twain Medical Center,Critical Access Hospitals,051332,2021-03-19,Calaveras,009,50.0,12.0,0.0,11.0,0.08,0.0,7.0,0.0,San Joaquin Valley
Colusa Medical Center,Short Term,050783,2021-03-19,Colusa,011,59.0,5.0,0.0,5.0,0.0,2.0,24.0,0.08,Greater Sacramento
John Muir Medical Center - Walnut Creek Campus,Short Term,050180,2021-03-19,Contra Costa,013,301.0,48.0,3.0,5.0,0.9,6.0,213.0,0.03,Bay Area
Sutter Delta Medical Center,Short Term,050523,2021-03-19,Contra Costa,013,148.0,12.0,2.0,1.0,0.92,7.0,88.0,0.08,Bay Area
Kaiser Foundation Hospital - Walnut Creek,Short Term,050072,2021-03-19,Contra Costa,013,210.0,17.0,2.0,2.0,0.88,7.0,180.0,0.04,Bay Area
Kaiser Foundation Hospital - Antioch,Short Term,050760,2021-03-19,Contra Costa,013,143.0,7.0,2.0,1.0,0.86,9.0,97.0,0.09,Bay Area
San Ramon Regional Medical Center,Short Term,050689,2021-03-19,Contra Costa,013,52.0,12.0,1.0,9.0,0.25,2.0,49.0,0.04,Bay Area
John Muir Medical Center - Concord Campus,Short Term,050496,2021-03-19,Contra Costa,013,224.0,36.0,3.0,11.0,0.69,6.0,157.0,0.04,Bay Area
Contra Costa Regional Medical Center,Short Term,050276,2021-03-19,Contra Costa,013,167.0,18.0,2.0,3.0,0.83,3.0,123.0,0.02,Bay Area
Sutter Coast Hospital,Short Term,050417,2021-03-19,Del Norte,015,52.0,6.0,0.0,1.0,0.83,2.0,31.0,0.06,Northern California
Marshall Medical Center,Short Term,050254,2021-03-19,El Dorado,017,111.0,10.0,0.0,3.0,0.7,1.0,58.0,0.02,Greater Sacramento
Barton Memorial Hospital,Short Term,050352,2021-03-19,El Dorado,017,79.0,5.0,1.0,3.0,0.4,1.0,23.0,0.04,Greater Sacramento
Valley Children'S Hospital,Childrens Hospitals,053300,2021-03-19,Fresno,019,198.0,0.0,0.0,0.0,,3.0,197.0,0.02,San Joaquin Valley
Kaiser Foundation Hospital - Fresno,Short Term,050710,2021-03-19,Fresno,019,133.0,11.0,3.0,1.0,0.91,16.0,111.0,0.14,San Joaquin Valley
Adventist Health Reedley,Short Term,050192,2021-03-19,Fresno,019,35.0,0.0,0.0,0.0,,0.0,23.0,0.0,San Joaquin Valley
Saint Agnes Medical Center,Short Term,050093,2021-03-19,Fresno,019,315.0,29.0,7.0,2.0,0.93,35.0,299.0,0.12,San Joaquin Valley
Fresno Surgical Hospital,Short Term,050708,2021-03-19,Fresno,019,17.0,0.0,0.0,0.0,,0.0,13.0,0.0,San Joaquin Valley
Community Regional Medical Center,Short Term,050060,2021-03-19,Fresno,019,647.0,78.0,12.0,5.0,0.94,64.0,555.0,0.12,San Joaquin Valley
Clovis Community Medical Center,Short Term,050492,2021-03-19,Fresno,019,230.0,28.0,6.0,5.0,0.82,27.0,213.0,0.13,San Joaquin Valley
Fresno Heart And Surgical Hospital,Short Term,050732,2021-03-19,Fresno,019,57.0,9.0,0.0,2.0,0.78,0.0,44.0,0.0,San Joaquin Valley
Glenn Medical Center,Critical Access Hospitals,051306,2021-03-19,Glenn,021,47.0,0.0,0.0,0.0,,1.0,27.0,0.04,Northern California
Providence St Joseph Hospital,Short Term,050006,2021-03-19,Humboldt,023,182.0,18.0,1.0,3.0,0.83,3.0,117.0,0.03,Northern California
Jerold Phelps Community Hospital,Critical Access Hospitals,051309,2021-03-19,Humboldt,023,8.0,0.0,0.0,0.0,,0.0,3.0,0.0,Northern California
Providence Redwood Memorial Hospital,Critical Access Hospitals,051318,2021-03-19,Humboldt,023,42.0,4.0,0.0,1.0,0.75,0.0,14.0,0.0,Northern California
Mad River Community Hospital,Short Term,050028,2021-03-19,Humboldt,023,41.0,6.0,1.0,4.0,0.33,5.0,17.0,0.29,Northern California
Pioneers Memorial Healthcare District,Short Term,050342,2021-03-19,Imperial,025,116.0,8.0,2.0,3.0,0.62,5.0,50.0,0.1,Southern California
El Centro Regional Medical Center,Short Term,050045,2021-03-19,Imperial,025,118.0,12.0,2.0,4.0,0.67,7.0,73.0,0.1,Southern California
Northern Inyo Hospital,Critical Access Hospitals,051324,2021-03-19,Inyo,027,25.0,2.0,0.0,1.0,0.5,2.0,13.0,0.15,Southern California
Kern Valley Healthcare District,Critical Access Hospitals,051314,2021-03-19,Kern,029,10.0,0.0,0.0,0.0,,0.0,6.0,0.0,San Joaquin Valley
Good Samaritan Hospital,Short Term,050257,2021-03-19,Kern,029,39.0,4.0,0.0,4.0,0.0,8.0,17.0,0.47,San Joaquin Valley
Adventist Health Delano,Short Term,050608,2021-03-19,Kern,029,27.0,6.0,0.0,0.0,1.0,6.0,22.0,0.27,San Joaquin Valley
Ridgecrest Regional Hospital,Critical Access Hospitals,051333,2021-03-19,Kern,029,25.0,4.0,0.0,0.0,1.0,1.0,21.0,0.05,San Joaquin Valley
Mercy Hospital,Short Term,050295,2021-03-19,Kern,029,216.0,28.0,6.0,13.0,0.54,22.0,126.0,0.17,San Joaquin Valley
Kern Medical Center,Short Term,050315,2021-03-19,Kern,029,207.0,20.0,2.0,0.0,1.0,5.0,142.0,0.04,San Joaquin Valley
Adventist Health Tehachapi Valley,Critical Access Hospitals,051301,2021-03-19,Kern,029,31.0,7.0,2.0,4.0,0.43,3.0,14.0,0.21,San Joaquin Valley
Bakersfield Heart Hospital,Short Term,050724,2021-03-19,Kern,029,47.0,10.0,2.0,2.0,0.8,5.0,43.0,0.12,San Joaquin Valley
Adventist Health Bakersfield,Short Term,050455,2021-03-19,Kern,029,271.0,44.0,4.0,10.0,0.77,24.0,214.0,0.11,San Joaquin Valley
Bakersfield Memorial Hospital,Short Term,050036,2021-03-19,Kern,029,299.0,25.0,1.0,2.0,0.92,21.0,195.0,0.11,San Joaquin Valley
Adventist Health Hanford,Short Term,050121,2021-03-19,Kings,031,144.0,16.0,1.0,4.0,0.75,17.0,124.0,0.14,San Joaquin Valley
Adventist Health Clearlake,Critical Access Hospitals,051317,2021-03-19,Lake,033,37.0,4.0,1.0,0.0,1.0,2.0,18.0,0.11,Northern California
Sutter LAkeside Hospital,Critical Access Hospitals,051329,2021-03-19,Lake,033,26.0,4.0,0.0,1.0,0.75,0.0,16.0,0.0,Northern California
Banner LAssen Medical Center,Critical Access Hospitals,051320,2021-03-19,Lassen,035,32.0,0.0,0.0,0.0,,0.0,6.0,0.0,Northern California
Community Hospital of Huntington Park,Short Term,050091,2021-03-19,Los Angeles,037,65.0,6.0,1.0,0.0,1.0,3.0,30.0,0.1,Southern California
St Mary Medical Center,Short Term,050191,2021-03-19,Los Angeles,037,406.0,60.0,3.0,30.0,0.5,5.0,151.0,0.03,Southern California
Pomona Valley Hospital Medical Center,Short Term,050231,2021-03-19,Los Angeles,037,421.0,59.0,8.0,9.0,0.85,21.0,266.0,0.08,Southern California
Beverly Hospital,Short Term,050350,2021-03-19,Los Angeles,037,182.0,25.0,3.0,8.0,0.68,6.0,104.0,0.06,Southern California
Memorial Hospital of Gardena,Short Term,050468,2021-03-19,Los Angeles,037,172.0,10.0,1.0,0.0,1.0,10.0,112.0,0.09,Southern California
Lac/Harbor-Ucla Med Center,Short Term,050376,2021-03-19,Los Angeles,037,343.0,41.0,4.0,5.0,0.88,20.0,305.0,0.07,Southern California
Emanate Health Foothill Presbyterian Hospital,Short Term,050597,2021-03-19,Los Angeles,037,106.0,18.0,3.0,5.0,0.72,7.0,62.0,0.11,Southern California
Kaiser Foundation Hospital - Woodland Hills,Short Term,050677,2021-03-19,Los Angeles,037,222.0,17.0,1.0,8.0,0.53,10.0,130.0,0.08,Southern California
Keck Hospital of Usc,Short Term,050696,2021-03-19,Los Angeles,037,401.0,78.0,8.0,4.0,0.95,27.0,245.0,0.11,Southern California
Lac/Rancho Los Amigos National Rehabilitation  Ctr,Short Term,050717,2021-03-19,Los Angeles,037,137.0,6.0,3.0,1.0,0.83,14.0,118.0,0.12,Southern California
Kaiser Foundation Hospital - Baldwin Park,Short Term,050723,2021-03-19,Los Angeles,037,209.0,12.0,2.0,3.0,0.75,10.0,111.0,0.09,Southern California
Whittier Hospital Medical Center,Short Term,050735,2021-03-19,Los Angeles,037,174.0,16.0,4.0,7.0,0.56,11.0,85.0,0.13,Southern California
Children'S Hosp of Los Angeles,Childrens Hospitals,053302,2021-03-19,Los Angeles,037,398.0,0.0,0.0,0.0,,9.0,317.0,0.03,Southern California
Kaiser Foundation Hospital - Downey,Short Term,050139,2021-03-19,Los Angeles,037,354.0,28.0,8.0,9.0,0.68,21.0,188.0,0.11,Southern California
Centinela Hospital Medical Center,Short Term,050739,2021-03-19,Los Angeles,037,273.0,35.0,4.0,8.0,0.77,8.0,172.0,0.05,Southern California
Memorial Care Miller Children'S &  Women'S Hosp Lb,Childrens Hospitals,053309,2021-03-19,Los Angeles,037,262.0,0.0,0.0,0.0,,2.0,142.0,0.01,Southern California
Pacifica Hospital of The Valley,Short Term,050378,2021-03-19,Los Angeles,037,103.0,12.0,0.0,1.0,0.92,10.0,61.0,0.16,Southern California
Emanate Health Inter-Community Hospital,Short Term,050382,2021-03-19,Los Angeles,037,490.0,44.0,8.0,6.0,0.86,26.0,299.0,0.09,Southern California
Kaiser Foundation Hospital - South Bay,Short Term,050411,2021-03-19,Los Angeles,037,225.0,20.0,2.0,12.0,0.4,16.0,150.0,0.11,Southern California
San Dimas Community Hospital,Short Term,050588,2021-03-19,Los Angeles,037,151.0,8.0,0.0,3.0,0.62,1.0,31.0,0.03,Southern California
Cedars-Sinai Medical Center,Short Term,050625,2021-03-19,Los Angeles,037,842.0,119.0,4.0,10.0,0.92,18.0,749.0,0.02,Southern California
Henry Mayo Newhall  Hospital,Short Term,050624,2021-03-19,Los Angeles,037,378.0,19.0,1.0,1.0,0.95,9.0,180.0,0.05,Southern California
Los Angeles Community Hospital,Short Term,050663,2021-03-19,Los Angeles,037,191.0,23.0,3.0,12.0,0.48,9.0,120.0,0.08,Southern California
Garfield Medical Center,Short Term,050737,2021-03-19,Los Angeles,037,210.0,22.0,1.0,8.0,0.64,4.0,120.0,0.03,Southern California
Olympia Medical Center,Short Term,050742,2021-03-19,Los Angeles,037,110.0,12.0,0.0,8.0,0.33,0.0,20.0,0.0,Southern California
Sherman Oaks Hospital,Short Term,050755,2021-03-19,Los Angeles,037,100.0,11.0,0.0,4.0,0.64,5.0,80.0,0.06,Southern California
"L A Downtown Medical Center, Llc",Short Term,050763,2021-03-19,Los Angeles,037,113.0,12.0,0.0,0.0,1.0,8.0,107.0,0.07,Southern California
Monrovia Memorial Hospital,Long Term,052054,2021-03-19,Los Angeles,037,49.0,4.0,0.0,-1.0,1.25,0.0,16.0,0.0,Southern California
College Medical Center,Short Term,050776,2021-03-19,Los Angeles,037,234.0,8.0,0.0,6.0,0.25,2.0,177.0,0.01,Southern California
Barlow Respiratory Hospital,Long Term,052031,2021-03-19,Los Angeles,037,80.0,6.0,0.0,5.0,0.17,35.0,70.0,0.5,Southern California
Kindred Hospital -- LA Mirada,Long Term,052038,2021-03-19,Los Angeles,037,197.0,19.0,0.0,3.0,0.84,22.0,133.0,0.17,Southern California
Lac/Olive View-Ucla Medical Center,Short Term,050040,2021-03-19,Los Angeles,037,219.0,15.0,2.0,6.0,0.6,9.0,184.0,0.05,Southern California
East Los Angeles Doctors Hospital,Short Term,050641,2021-03-19,Los Angeles,037,102.0,10.0,0.0,7.0,0.3,1.0,20.0,0.05,Southern California
White Memorial Medical Center,Short Term,050103,2021-03-19,Los Angeles,037,253.0,12.0,1.0,2.0,0.83,14.0,199.0,0.07,Southern California
Saint Francis Medical Center,Short Term,050104,2021-03-19,Los Angeles,037,319.0,22.0,4.0,1.0,0.95,23.0,267.0,0.09,Southern California
Usc Verdugo Hills Hospital,Short Term,050124,2021-03-19,Los Angeles,037,116.0,12.0,1.0,4.0,0.67,4.0,74.0,0.05,Southern California
Valley Presbyterian Hospital,Short Term,050126,2021-03-19,Los Angeles,037,350.0,20.0,1.0,10.0,0.5,9.0,159.0,0.06,Southern California
San Gabriel Valley Medical Center,Short Term,050132,2021-03-19,Los Angeles,037,141.0,16.0,0.0,6.0,0.62,9.0,89.0,0.1,Southern California
California Hospital Medical Center LA,Short Term,050149,2021-03-19,Los Angeles,037,343.0,30.0,2.0,8.0,0.73,17.0,210.0,0.08,Southern California
Encino Hospital Medical Center,Short Term,050158,2021-03-19,Los Angeles,037,63.0,4.0,0.0,1.0,0.75,0.0,58.0,0.0,Southern California
Alhambra Hospital Medical Center,Short Term,050281,2021-03-19,Los Angeles,037,101.0,10.0,1.0,2.0,0.8,2.0,54.0,0.04,Southern California
Pih Health Hospital-Whittier,Short Term,050169,2021-03-19,Los Angeles,037,398.0,48.0,2.0,31.0,0.35,7.0,237.0,0.03,Southern California
Providence Holy Cross Medical Center,Short Term,050278,2021-03-19,Los Angeles,037,294.0,28.0,8.0,1.0,0.96,21.0,249.0,0.08,Southern California
Torrance Memorial Medical Center,Short Term,050351,2021-03-19,Los Angeles,037,319.0,48.0,7.0,7.0,0.85,17.0,285.0,0.06,Southern California
Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Short Term,050112,2021-03-19,Los Angeles,037,296.0,22.0,1.0,6.0,0.73,7.0,217.0,0.03,Southern California
Methodist Hospital of Southern Ca,Short Term,050238,2021-03-19,Los Angeles,037,271.0,14.0,3.0,2.0,0.86,8.0,150.0,0.05,Southern California
Kaiser Foundation Hospital - Los Angeles,Short Term,050138,2021-03-19,Los Angeles,037,453.0,89.0,3.0,51.0,0.43,16.0,302.0,0.05,Southern California
Ronald Reagan U C L A Medical Center,Short Term,050262,2021-03-19,Los Angeles,037,460.0,112.0,4.0,9.0,0.92,11.0,389.0,0.03,Southern California
Providence Saint John'S Health Center,Short Term,050290,2021-03-19,Los Angeles,037,208.0,19.0,3.0,2.0,0.89,9.0,157.0,0.06,Southern California
Providence Little Company of Mary Med Ctr Torrance,Short Term,050353,2021-03-19,Los Angeles,037,254.0,21.0,4.0,2.0,0.9,17.0,198.0,0.09,Southern California
Lac+Usc Medical Center,Short Term,050373,2021-03-19,Los Angeles,037,643.0,102.0,10.0,18.0,0.82,39.0,497.0,0.08,Southern California
City of Hope Helford Clinical Research Hospital,Short Term,050146,2021-03-19,Los Angeles,037,231.0,18.0,2.0,2.0,0.89,7.0,208.0,0.03,Southern California
Long Beach Memorial Medical Center,Short Term,050485,2021-03-19,Los Angeles,037,454.0,87.0,3.0,47.0,0.46,14.0,258.0,0.05,Southern California
Kaiser Foundation Hospital - West LA,Short Term,050561,2021-03-19,Los Angeles,037,219.0,30.0,8.0,11.0,0.63,15.0,126.0,0.12,Southern California
Docs Surgical Hospital,Short Term,050785,2021-03-19,Los Angeles,037,7.0,0.0,0.0,0.0,,0.0,5.0,0.0,Southern California
Coast Plaza Hospital,Short Term,050771,2021-03-19,Los Angeles,037,72.0,7.0,0.0,3.0,0.57,4.0,24.0,0.17,Southern California
Casa Colina Hospital,Short Term,050782,2021-03-19,Los Angeles,037,99.0,6.0,0.0,5.0,0.17,1.0,79.0,0.01,Southern California
Kindred Hospital Baldwin Park,Long Term,052045,2021-03-19,Los Angeles,037,91.0,8.0,0.0,0.0,1.0,0.0,84.0,0.0,Southern California
Kindred Hospital - Los Angeles,Long Term,052032,2021-03-19,Los Angeles,037,86.0,5.0,0.0,0.0,1.0,0.0,72.0,0.0,Southern California
Kindred Hospital South Bay,Long Term,052050,2021-03-19,Los Angeles,037,59.0,9.0,1.0,0.0,1.0,11.0,49.0,0.22,Southern California
Antelope Valley Hospital,Short Term,050056,2021-03-19,Los Angeles,037,217.0,30.0,1.0,1.0,0.97,8.0,215.0,0.04,Southern California
Monterey Park Hospital,Short Term,050736,2021-03-19,Los Angeles,037,96.0,4.0,1.0,2.0,0.5,6.0,52.0,0.12,Southern California
Providence Little Co of Mary Med Ctr San Pedro,Short Term,050078,2021-03-19,Los Angeles,037,76.0,9.0,4.0,0.0,1.0,10.0,53.0,0.19,Southern California
"West Covina Medical Center, Inc",Short Term,050096,2021-03-19,Los Angeles,037,13.0,0.0,0.0,0.0,,0.0,6.0,0.0,Southern California
Northridge Hospital Medical Center,Short Term,050116,2021-03-19,Los Angeles,037,244.0,21.0,3.0,3.0,0.86,10.0,176.0,0.06,Southern California
Southern California Hospital At Hollywood,Short Term,050135,2021-03-19,Los Angeles,037,439.0,34.0,4.0,24.0,0.29,11.0,244.0,0.05,Southern California
Palmdale Regional Medical Center,Short Term,050204,2021-03-19,Los Angeles,037,184.0,24.0,2.0,5.0,0.79,5.0,106.0,0.05,Southern California
Kaiser Foundation Hospital - Panorama City,Short Term,050137,2021-03-19,Los Angeles,037,223.0,22.0,4.0,9.0,0.59,12.0,112.0,0.11,Southern California
Providence Saint Joseph Medical Ctr,Short Term,050235,2021-03-19,Los Angeles,037,281.0,49.0,10.0,8.0,0.84,20.0,203.0,0.1,Southern California
Glendale Adventist Medical Center,Short Term,050239,2021-03-19,Los Angeles,037,255.0,30.0,6.0,2.0,0.93,22.0,229.0,0.1,Southern California
Pih Hospital - Downey,Short Term,050393,2021-03-19,Los Angeles,037,134.0,17.0,1.0,6.0,0.65,9.0,94.0,0.1,Southern California
Huntington Memorial Hospital,Short Term,050438,2021-03-19,Los Angeles,037,767.0,73.0,4.0,47.0,0.36,19.0,375.0,0.05,Southern California
Good Samaritan Hospital,Short Term,050471,2021-03-19,Los Angeles,037,269.0,52.0,2.0,26.0,0.5,8.0,183.0,0.04,Southern California
West Hills Hospital & Medical Center,Short Term,050481,2021-03-19,Los Angeles,037,261.0,33.0,3.0,13.0,0.61,14.0,98.0,0.14,Southern California
Mission Community Hospital,Short Term,050704,2021-03-19,Los Angeles,037,237.0,16.0,5.0,2.0,0.88,5.0,153.0,0.03,Southern California
Usc Kenneth Norris Jr Cancer Hospital,Short Term,050660,2021-03-19,Los Angeles,037,60.0,3.0,0.0,0.0,1.0,0.0,35.0,0.0,Southern California
Greater El Monte Community Hospital,Short Term,050738,2021-03-19,Los Angeles,037,81.0,10.0,2.0,5.0,0.5,2.0,25.0,0.08,Southern California
Cedar-Sinai Marina Del Rey Hospital,Short Term,050740,2021-03-19,Los Angeles,037,91.0,16.0,3.0,7.0,0.56,8.0,57.0,0.14,Southern California
Providence-Cedars Sinai Tarzana Medical Center,Short Term,050761,2021-03-19,Los Angeles,037,165.0,9.0,1.0,0.0,1.0,3.0,117.0,0.03,Southern California
"Martin Luther King, Jr. Community Hospital",Short Term,050779,2021-03-19,Los Angeles,037,184.0,20.0,1.0,14.0,0.3,19.0,109.0,0.17,Southern California
Catalina Island Medical Center,Critical Access Hospitals,051307,2021-03-19,Los Angeles,037,12.0,0.0,0.0,0.0,,0.0,5.0,0.0,Southern California
Hollywood Presbyterian Medical Center,Short Term,050063,2021-03-19,Los Angeles,037,302.0,24.0,1.0,10.0,0.58,9.0,200.0,0.04,Southern California
Lakewood Regional Medical Center,Short Term,050581,2021-03-19,Los Angeles,037,150.0,46.0,2.0,19.0,0.59,11.0,140.0,0.08,Southern California
Kindred Hospital Paramount,Long Term,052046,2021-03-19,Los Angeles,037,177.0,12.0,1.0,0.0,1.0,3.0,84.0,0.04,Southern California
Glendale Mem Hospital & Health Center,Short Term,050058,2021-03-19,Los Angeles,037,334.0,12.0,2.0,0.0,1.0,9.0,112.0,0.08,Southern California
Madera Community Hospital,Short Term,050568,2021-03-19,Madera,039,80.0,10.0,3.0,5.0,0.5,13.0,30.0,0.43,San Joaquin Valley
Kentfield Hospital,Long Term,052043,2021-03-19,Marin,041,65.0,0.0,0.0,0.0,,0.0,52.0,0.0,Bay Area
Marinhealth Medical Center,Short Term,050360,2021-03-19,Marin,041,165.0,19.0,1.0,7.0,0.63,5.0,133.0,0.04,Bay Area
Novato Community Hospital,Short Term,050131,2021-03-19,Marin,041,38.0,6.0,1.0,2.0,0.67,1.0,22.0,0.05,Bay Area
Kaiser Foundation Hospital,Short Term,050510,2021-03-19,Marin,041,63.0,7.0,3.0,1.0,0.86,8.0,55.0,0.15,Bay Area
John C Fremont Healthcare District,Critical Access Hospitals,051304,2021-03-19,Mariposa,043,14.0,0.0,0.0,0.0,,0.0,5.0,0.0,San Joaquin Valley
Adventist Health Ukiah Valley,Short Term,050301,2021-03-19,Mendocino,045,41.0,7.0,1.0,0.0,1.0,1.0,28.0,0.04,Northern California
Adventist Health Howard Memorial,Critical Access Hospitals,051310,2021-03-19,Mendocino,045,50.0,4.0,0.0,0.0,1.0,0.0,22.0,0.0,Northern California
Adventist Health Mendocino Coast,Critical Access Hospitals,051325,2021-03-19,Mendocino,045,19.0,4.0,0.0,2.0,0.5,0.0,14.0,0.0,Northern California
Mercy Medical Center,Short Term,050444,2021-03-19,Merced,047,234.0,20.0,6.0,9.0,0.55,15.0,124.0,0.12,San Joaquin Valley
Memorial Hospital Los Banos,Short Term,050528,2021-03-19,Merced,047,41.0,5.0,3.0,0.0,1.0,7.0,20.0,0.35,San Joaquin Valley
Modoc Medical Center,Critical Access Hospitals,051330,2021-03-19,Modoc,049,8.0,0.0,0.0,0.0,,0.0,5.0,0.0,Northern California
Surprise Valley Community Hospital,Critical Access Hospitals,051308,2021-03-19,Modoc,049,4.0,0.0,0.0,0.0,,0.0,1.0,0.0,Northern California
Mammoth Hospital,Critical Access Hospitals,051303,2021-03-19,Mono,051,17.0,2.0,0.0,2.0,0.0,1.0,7.0,0.14,Southern California
Salinas Valley Memorial Hospital,Short Term,050334,2021-03-19,Monterey,053,255.0,13.0,2.0,4.0,0.69,10.0,107.0,0.09,Bay Area
Natividad Medical Center,Short Term,050248,2021-03-19,Monterey,053,166.0,12.0,2.0,2.0,0.83,10.0,113.0,0.09,Bay Area
Community Hospital of The Monterey Peninsula,Short Term,050145,2021-03-19,Monterey,053,288.0,26.0,0.0,18.0,0.31,6.0,155.0,0.04,Bay Area
George L Mee Memorial Hospital,Critical Access Hospitals,051336,2021-03-19,Monterey,053,17.0,0.0,0.0,0.0,,0.0,6.0,0.0,Bay Area
Providence Queen of The Valley Medical Center,Short Term,050009,2021-03-19,Napa,055,155.0,12.0,0.0,5.0,0.58,3.0,77.0,0.04,Bay Area
Adventist Health St Helena,Short Term,050013,2021-03-19,Napa,055,55.0,11.0,0.0,2.0,0.82,2.0,48.0,0.04,Bay Area
Sierra Nevada Memorial Hospital,Short Term,050150,2021-03-19,Nevada,057,104.0,8.0,1.0,3.0,0.62,4.0,59.0,0.07,Greater Sacramento
Tahoe Forest Hospital,Critical Access Hospitals,051328,2021-03-19,Nevada,057,25.0,6.0,0.0,2.0,0.67,0.0,20.0,0.0,Greater Sacramento
College Hospital Costa Mesa,Short Term,050543,2021-03-19,Orange,059,140.0,0.0,0.0,0.0,,4.0,123.0,0.03,Southern California
Anaheim Global Medical Center,Short Term,050744,2021-03-19,Orange,059,189.0,22.0,3.0,15.0,0.32,5.0,113.0,0.04,Southern California
Children'S Hospital of Orange County,Childrens Hospitals,053304,2021-03-19,Orange,059,334.0,0.0,0.0,0.0,,4.0,169.0,0.02,Southern California
Chapman Global Medical Center,Short Term,050745,2021-03-19,Orange,059,114.0,12.0,0.0,6.0,0.5,1.0,55.0,0.02,Southern California
Hoag Orthopedic Institute,Short Term,050769,2021-03-19,Orange,059,35.0,0.0,0.0,0.0,,0.0,16.0,0.0,Southern California
Providence St. Jude Medical Center,Short Term,050168,2021-03-19,Orange,059,278.0,42.0,4.0,4.0,0.9,14.0,217.0,0.06,Southern California
Kaiser Foundation Hospital - Orange County - Anahe,Short Term,050609,2021-03-19,Orange,059,445.0,41.0,4.0,15.0,0.63,26.0,260.0,0.1,Southern California
Kindred Hospital Brea,Long Term,052039,2021-03-19,Orange,059,48.0,4.0,0.0,0.0,1.0,0.0,43.0,0.0,Southern California
Providence St. Joseph Hospital,Short Term,050069,2021-03-19,Orange,059,327.0,23.0,7.0,4.0,0.83,23.0,230.0,0.1,Southern California
Ahmc Anaheim Regional Medical Center,Short Term,050226,2021-03-19,Orange,059,261.0,11.0,2.0,0.0,1.0,5.0,86.0,0.06,Southern California
Huntington Beach Hospital,Short Term,050526,2021-03-19,Orange,059,70.0,7.0,2.0,0.0,1.0,3.0,50.0,0.06,Southern California
Los Alamitos Medical Center,Short Term,050551,2021-03-19,Orange,059,143.0,17.0,1.0,2.0,0.88,13.0,134.0,0.1,Southern California
South Coast Global Medical Center,Short Term,050747,2021-03-19,Orange,059,178.0,9.0,0.0,7.0,0.22,4.0,64.0,0.06,Southern California
Children'S Hospital At Mission,Childrens Hospitals,053306,2021-03-19,Orange,059,54.0,0.0,0.0,0.0,,1.0,18.0,0.06,Southern California
Healthbridge Children'S Hospital - Orange,Childrens Hospitals,053308,2021-03-19,Orange,059,27.0,0.0,0.0,0.0,,0.0,22.0,0.0,Southern California
