agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Housing and Urban Development,500000,,H,Neguse,,,Bennet,,,
Department of Labor,500000,,H,DeGette,,,Bennet,,,
Department of Labor,450000,,H,Perlmutter,,,Bennet,,,
Department of Health & Human Services,500000,,H,Crow,,,Bennet,,,
Department of Health & Human Services,1200000,,H,DeGette,,,Bennet,,,
Department of Health & Human Services,1000000,,H,Crow,,,Bennet,,,
Department of Education,275000,,H,Neguse,,,Bennet,,,
Department of Housing and Urban Development,1350000,,H/S,Crow,,,Bennet,,,
Department of Housing and Urban Development,1000000,,H/S,Crow,,,Bennet,,,
Department of Health & Human Services,2000000,,H/S,DeGette,,,Bennet,,,
DOJ,384000,,S,,,,Bennet,,,
Department of Transportation,522000,,S,,,,Bennet,,,
Department of Transportation,1201000,,S,,,,Bennet,,,
Department of Transportation,1223000,,S,,,,Bennet,,,
Department of Transportation,1460000,,S,,,,Bennet,,,
Department of Transportation,1650000,,S,,,,Bennet,,,
Department of Housing and Urban Development,250000,,S,,,,Bennet,,,
Department of Housing and Urban Development,550000,,S,,,,Bennet,,,
Department of Housing and Urban Development,750000,,S,,,,Bennet,,,
Department of Housing and Urban Development,979000,,S,,,,Bennet,,,
Department of Housing and Urban Development,980000,,S,,,,Bennet,,,
Department of Housing and Urban Development,1500000,,S,,,,Bennet,,,
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,
Department of Housing and Urban Development,2867000,,S,,,,Bennet,,,
Department of Housing and Urban Development,3000000,,S,,,,Bennet,,,
Rural Development,3575000,,S,,,,Bennet,,,
Rural Development,2000000,,S,,,,Bennet,,,
Rural Development,4650000,,S,,,,Bennet,,,
DOJ,255000,,S,,,,Bennet,,,
DOJ,122000,,S,,,,Bennet,,,
DOJ,420000,,S,,,,Bennet,,,
DOC,950000,,S,,,,Bennet,,,
DOJ,495000,,S,,,,Bennet,,,
DOJ,1601000,,S,,,,Bennet,,,
DOC,1000000,,S,,,,Bennet,,,
DOJ,166000,,S,,,,Bennet,,,
Army Corps of Engineers (Civil),400000,,S,,,,Bennet,,,
Department of Energy,1200000,,S,,,,Bennet,,,
Department of Energy,2500000,,S,,,,Bennet,,,
Department of Energy,5000000,,S,,,,Bennet,,,
Army Corps of Engineers (Civil),7000000,,S,,,,Bennet,,,
Environmental Protection Agency,90000,,S,,,,Bennet,,,
Environmental Protection Agency,1000000,,S,,,,Bennet, Hickenlooper,,
Department of Transportation,1000000,,S,,,,Bennet,,,
Environmental Protection Agency,1080000,,S,,,,Bennet, Hickenlooper,,
Environmental Protection Agency,1760000,,S,,,,Bennet,,,
Environmental Protection Agency,2500000,,S,,,,Bennet, Hickenlooper,,
Forest Service,3650000,,S,,,,Bennet,,,
Air Force,4360000,,S,,,,Bennet,,,
Air Force,30000000,,S,,,,Bennet,,,
Department of Health & Human Services,5407000,,S,,,,Bennet,,,
Department of Health & Human Services,250000,,S,,,,Bennet,,,
Department of Health & Human Services,160000,,S,,,,Bennet,,,
Department of Health & Human Services,423000,,S,,,,Bennet,,,
Department of Health & Human Services,110000,,S,,,,Bennet,,,
Department of Health & Human Services,100000,,S,,,,Bennet,,,
Department of Health & Human Services,500000,,S,,,,Bennet,,,
Department of Health & Human Services,1000000,,S,,,,Bennet,,,
Department of Health & Human Services,2000000,,S,,,,Bennet,,,
Department of Health & Human Services,150000,,S,,,,Bennet,,,
Department of Education,776000,,S,,,,Bennet,,,
Department of Education,1100000,,S,,,,Bennet,,,
Army Corps of Engineers (Civil),200000,CT,H/S,Larson ,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,1000000,CT,H/S,Larson ,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,300000,CT,H/S,Larson ,,,Blumenthal, Murphy,,
DOJ,2000000,,H,DeLauro,,,Blumenthal, Murphy,,
DOJ,700000,,H,Courtney,,,Blumenthal, Murphy,,
Army Corps of Engineers (Civil),2810000,,H/S,Himes,,,Blumenthal, Murphy,,
DOJ,1398000,,S,,,,Blumenthal, Murphy,,
Natural Resources Conservation Service,5000000,,S,,,,Blumenthal, Murphy,,
DOJ,3499000,,S,,,,Blumenthal, Murphy,,
DOJ,120000,,S,,,,Blumenthal, Murphy,,
DOJ,750000,,S,,,,Blumenthal, Murphy,,
DOC,569000,,S,,,,Blumenthal, Murphy,,
DOJ,70000,,S,,,,Blumenthal, Murphy,,
DOJ,983000,,S,,,,Blumenthal, Murphy,,
NASA,2000000,,S,,,,Blumenthal, Murphy,,
Department of Energy,288000,,S,,,,Blumenthal, Murphy,,
FEMA,1000000,,H,DeLauro,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,2500000,,H,Courtney,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,2000000,,H/S,Courtney,,,Blumenthal, Murphy,,
FEMA,189000,,S,,,,Blumenthal, Mur- phy,,
FEMA,1500000,,S,,,,Blumenthal, Mur- phy,,
FEMA,2300000,,S,,,,Blumenthal, Mur- phy,,
FEMA,1000000,,S,,,,Blumenthal, Mur- phy,,
FEMA,84000,,S,,,,Blumenthal, Mur- phy,,
Department of Transportation,15000000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,75000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,175000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,500000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,500000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,725000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,1720000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,2000000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,2500000,,S,,,,Blumenthal, Murphy,,
Department of Housing and Urban Development,2996000,,S,,,,Blumenthal, Murphy,,
Small Business Administration,100000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,160000,,S,,,,Blumenthal, Murphy,,
Small Business Administration,240000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,375000,,S,,,,Blumenthal, Murphy,,
Small Business Administration,406000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,640000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,720000,,S,,,,Blumenthal, Murphy,,
National Archives and Records Administration,948000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,1600000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,1800000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,2000000,,S,,,,Blumenthal, Murphy,,
Environmental Protection Agency,2500000,,S,,,,Blumenthal, Murphy,,
Department of Transportation,5000000,,S,,,,Blumenthal, Murphy,,
Air NG,17000000,,S,,,,Blumenthal, Murphy,,
Department of Labor,25000,,S,,,,Blumenthal, Murphy,,
Department of Labor,25000,,S,,,,Blumenthal, Murphy,,
Department of Labor,593000,,S,,,,Blumenthal, Murphy,,
Department of Labor,513000,,S,,,,Blumenthal, Murphy,,
Department of Labor,372000,,S,,,,Blumenthal, Murphy,,
Department of Labor,650000,,S,,,,Blumenthal, Murphy,,
Department of Labor,300000,,S,,,,Blumenthal, Murphy,,
Department of Labor,823000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,29000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,849000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,151000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,50000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,1200000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,650000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,1200000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,900000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,2150000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,900000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,75000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,270000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,47000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,16000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,137000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,200000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,461000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,368000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,1200000,,S,,,,Blumenthal, Murphy,,
Department of Health & Human Services,50000,,S,,,,Blumenthal, Murphy,,
Department of Education,275000,,S,,,,Blumenthal, Murphy,,
Department of Education,100000,,S,,,,Blumenthal, Murphy,,
Department of Education,48000,,S,,,,Blumenthal, Murphy,,
Department of Education,250000,,S,,,,Blumenthal, Murphy,,
Department of Education,100000,,S,,,,Blumenthal, Murphy,,
Department of Education,1600000,,S,,,,Blumenthal, Murphy,,
Department of Education,105000,,S,,,,Blumenthal, Murphy,,
Department of Education,382000,,S,,,,Blumenthal, Murphy,,
Department of Education,65000,,S,,,,Blumenthal, Murphy,,
Department of Education,1150000,,S,,,,Blumenthal, Murphy,,
Department of Education,218000,,S,,,,Blumenthal, Murphy,,
Army Corps of Engineers (Civil),100000,MO,H/S,Graves ,,,Blunt,,,
Army Corps of Engineers (Civil),300000,MO,H/S,Graves ,,,Blunt,,,
Army Corps of Engineers (Civil),200000,,H/S,Luetkemeyer,,,Blunt,,,
Department of Health & Human Services,2500000,,H/S,Cleaver,,,Blunt,,,
DOC,20000000,,S,,,,Blunt,,,
DOJ,1500000,,S,,,,Blunt,,,
Army Corps of Engineers (Civil),12600000,,S,,,,Blunt,,,
National Archives and Records Administration,350000,,S,,,,Blunt,,,
Fish and Wildlife Service,1000000,,S,,,,Blunt,,,
National Park Service,2600000,,S,,,,Blunt,,,
Army NG,3800000,,S,,,,Blunt,,,
Army,4000000,,S,,,,Blunt,,,
Department of Transportation,4300000,,S,,,,Blunt,,,
Department of Transportation,9000000,,S,,,,Blunt,,,
National Archives and Records Administration,11500000,,S,,,,Blunt,,,
Department of Transportation,13000000,,S,,,,Blunt,,,
Department of Labor,650000,,S,,,,Blunt,,,
Department of Labor,150000,,S,,,,Blunt,,,
Department of Labor,150000,,S,,,,Blunt,,,
Department of Labor,3000000,,S,,,,Blunt,,,
Department of Health & Human Services,7320000,,S,,,,Blunt,,,
Department of Health & Human Services,1900000,,S,,,,Blunt,,,
Department of Health & Human Services,10000000,,S,,,,Blunt,,,
Department of Health & Human Services,3000000,,S,,,,Blunt,,,
Department of Health & Human Services,1500000,,S,,,,Blunt,,,
Department of Health & Human Services,12000000,,S,,,,Blunt,,,
Department of Health & Human Services,30000000,,S,,,,Blunt,,,
Department of Health & Human Services,2500000,,S,,,,Blunt,,,
Department of Health & Human Services,2000000,,S,,,,Blunt,,,
Department of Health & Human Services,1500000,,S,,,,Blunt,,,
Department of Health & Human Services,4600000,,S,,,,Blunt,,,
Department of Health & Human Services,2000000,,S,,,,Blunt,,,
Department of Health & Human Services,61000000,,S,,,,Blunt,,,
Department of Health & Human Services,3420000,,S,,,,Blunt,,,
Department of Health & Human Services,13000000,,S,,,,Blunt,,,
Department of Health & Human Services,2500000,,S,,,,Blunt,,,
Department of Health & Human Services,2500000,,S,,,,Blunt,,,
Department of Health & Human Services,500000,,S,,,,Blunt,,,
Department of Health & Human Services,500000,,S,,,,Blunt,,,
Department of Education,500000,,S,,,,Blunt,,,
Department of Education,1000000,,S,,,,Blunt,,,
Department of Education,3000000,,S,,,,Blunt,,,
Department of Education,525000,,S,,,,Blunt,,,
Department of Education,1800000,,S,,,,Blunt,,,
Department of Education,3000000,,S,,,,Blunt,,,
Department of Education,900000,,S,,,,Blunt,,,
Department of Education,5000000,,S,,,,Blunt,,,
Army Corps of Engineers (Civil),15500000,,H/S,Van Drew,,,Booker, Menendez,,
DOJ,1100000,,H/S,Sires,,,Booker, Menendez,,
DOJ,471000,,H/S,Payne,,,Booker, Menendez,,
DOJ,251000,,H/S,Pascrell,,,Booker, Menendez,,
DOJ,1270000,,H/S,Malinowski,,,Booker, Menendez,,
DOC,400000,,S,,,,Booker, Menendez,,
Department of Energy,3840000,,S,,,,Booker, Menendez,,
Department of Health & Human Services,400000,NJ,H,Smith ,,,Booker,,,
Department of Education,450000,NJ,H,Smith ,,,Booker,,,
DOJ,32000,NJ,H/S,Kim ,,,Booker,,,
Department of Health & Human Services,300000,NJ,H/S,Kim ,,,Booker,,,
Department of Transportation,250000,,H,Gottheimer,,,Booker,,,
Department of Housing and Urban Development,250000,,H,Sherrill,,,Booker,,,
Department of Housing and Urban Development,649000,,H,Sherrill,,,Booker,,,
Department of Housing and Urban Development,250000,,H,Payne,,,Booker,,,
Department of Transportation,250000,,H,Sires,,,Booker,,,
Environmental Protection Agency,898257,,H,Malinowski,,,Booker,,,
Department of Labor,270000,,H,Van Drew,,,Booker,,,
Department of Labor,1950000,,H,Pascrell,,,Booker,,,
Department of Labor,425000,,H,Pallone,,,Booker,,,
Department of Health & Human Services,750000,,H,Gottheimer,,,Booker,,,
Department of Health & Human Services,550000,,H,Watson Coleman,,,Booker,,,
Department of Education,300000,,H,Pallone,,,Booker,,,
Department of Education,750000,,H,Sires,,,Booker,,,
Department of Housing and Urban Development,360000,,H/S,Pascrell,,,Booker,,,
Environmental Protection Agency,100000,,H/S,Gottheimer,,,Booker,,,
Environmental Protection Agency,255000,,H/S,Sherrill,,,Booker, Menendez,,
Environmental Protection Agency,500000,,H/S,Malinowski,,,Booker,,,
Department of Education,980000,,H/S,Sires,,,Booker,,,
DOJ,300000,,S,,,,Booker,,,
DOJ,340000,,S,,,,Booker,,,
DOC,460000,,S,,,,Booker,,,
FEMA,300000,,S,,,,Booker, Menendez,,
Department of Housing and Urban Development,95000,,S,,,,Booker,,,
Department of Housing and Urban Development,488000,,S,,,,Booker,,,
Department of Housing and Urban Development,500000,,S,,,,Booker,,,
Department of Housing and Urban Development,500000,,S,,,,Booker,,,
Department of Housing and Urban Development,500000,,S,,,,Booker,,,
Department of Housing and Urban Development,800000,,S,,,,Booker,,,
Department of Housing and Urban Development,883000,,S,,,,Booker,,,
Department of Housing and Urban Development,1000000,,S,,,,Booker,,,
Department of Housing and Urban Development,1000000,,S,,,,Booker,,,
Department of Housing and Urban Development,2200000,,S,,,,Booker,,,
Department of Housing and Urban Development,3000000,,S,,,,Booker,,,
Department of Housing and Urban Development,8000000,,S,,,,Booker,,,
Rural Development,413000,,S,,,,Booker,,,
Rural Development,1050000,,S,,,,Booker,,,
DOJ,440000,,S,,,,Booker,,,
National Archives and Records Administration,206000,,S,,,,Booker,,,
Small Business Administration,212000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,223000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,250000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,250000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,338000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,492000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,1000000,,S,,,,Booker,,,
Environmental Protection Agency,1000000,,S,,,,Booker, Menendez,,
Environmental Protection Agency,1667000,,S,,,,Booker,,,
Department of Health & Human Services,1000000,,S,,,,Booker,,,
Department of Health & Human Services,500000,,S,,,,Booker,,,
Department of Education,154000,,S,,,,Booker,,,
Department of Education,300000,,S,,,,Booker,,,
Department of Education,97000,,S,,,,Booker,,,
Department of Labor,250000,,S,,,,Booker,,,
Department of Labor,500000,,S,,,,Booker,,,
Department of Health & Human Services,1000000,,S,,,,Booker,,,
Department of Health & Human Services,925000,,S,,,,Booker,,,
Department of Health & Human Services,1000000,,S,,,,Booker,,,
Department of Health & Human Services,3870000,,S,,,,Booker,,,
Department of Health & Human Services,500000,,S,,,,Booker,,,
Department of Education,234000,,S,,,,Booker,,,
Department of Education,455000,,S,,,,Booker,,,
Department of Education,750000,,S,,,,Booker,,,
Department of Education,500000,,S,,,,Booker,,,
Department of Transportation,18000000,,H/S,Womack,,,Boozman,,,
Animal and Plant Health Inspection Service,650000,,S,,,,Boozman,,,
Department of Energy,1000000,,S,,,,Boozman,,,
Army Corps of Engineers (Civil),13000000,,S,,,,Boozman,,,
Army Corps of Engineers (Civil),24000000,,S,,,,Boozman,,,
Department of Transportation,5000000,,S,,,,Boozman,,,
Department of Transportation,18000000,,S,,,,Boozman,,,
Department of Transportation,18000000,,S,,,,Boozman,,,
FEMA,1000000,OH,H,Joyce ,,,Brown,,,
Environmental Protection Agency,570000,OH,H,Joyce ,,,Brown,,,
Department of Transportation,720000,OH,H,Gonzalez ,,,Brown,,,
Environmental Protection Agency,1968000,OH,H,Gonzalez ,,,Brown,,,
DOJ,1600000,,H,Chabot,,,Brown,,,
Department of Housing and Urban Development,1000000,,H,Turner,,,Brown,,,
Department of Housing and Urban Development,1000000,,H,Ryan,,,Brown,,,
DOJ,750000,,H,Beatty,,,Brown,,,
Department of Transportation,400000,,H,Turner,,,Brown,,,
Environmental Protection Agency,549600,,H,Ryan,,,Brown,,,
Small Business Administration,1000000,,H,Turner,,,Brown,,,
Department of Transportation,3397799,,H,Wenstrup,,,Brown,,,
Environmental Protection Agency,3500000,,H,Wenstrup,,,Brown,,,
Air Force Reserve,8700000,,H,Ryan,,,Brown,,,
Department of Health & Human Services,500000,,H,Beatty,,,Brown,,,
Department of Health & Human Services,1250000,,H,Turner,,,Brown,,,
Department of Health & Human Services,1000000,,H,Ryan,,,Brown,,,
Department of Health & Human Services,4000000,,H,"Chabot,",,,Brown,,,
Department of Education,1000000,,H,Turner,,,Brown,,,
Department of Education,475000,,H,Beatty,,,Brown,,,
Air Force,24000000,,H/S,Turner,,,Brown,,,
DOJ,500000,,S,,,,Brown,,,
DOJ,400000,,S,,,,Brown,,,
DOJ,500000,,S,,,,Brown,,,
FEMA,1000000,,S,,,,Brown,,,
FEMA,600000,,S,,,,Brown,,,
Department of Transportation,5000000,,S,,,,Brown,,,
Department of Transportation,3300000,,S,,,,Brown,,,
Department of Housing and Urban Development,250000,,S,,,,Brown,,,
Department of Housing and Urban Development,1000000,,S,,,,Brown,,,
Department of Housing and Urban Development,1300000,,S,,,,Brown,,,
Department of Housing and Urban Development,1500000,,S,,,,Brown,,,
Department of Housing and Urban Development,2000000,,S,,,,Brown,,,
Rural Development,637000,,S,,,,Brown,,,
Rural Development,74000,,S,,,,Brown,,,
Rural Development,195000,,S,,,,Brown,,,
Rural Development,1608000,,S,,,,Brown,,,
Rural Development,184000,,S,,,,Brown,,,
Rural Development,75000,,S,,,,Brown,,,
Rural Development,160000,,S,,,,Brown,,,
Natural Resources Conservation Service,263000,,S,,,,Brown,,,
Natural Resources Conservation Service,1500000,,S,,,,Brown,,,
DOJ,500000,,S,,,,Brown,,,
DOJ,500000,,S,,,,Brown,,,
NASA,1500000,,S,,,,Brown,,,
Army Corps of Engineers (Civil),300000,,S,,,,Brown,,,
Department of Energy,300000,,S,,,,Brown,,,
Department of Energy,500000,,S,,,,Brown,,,
Department of Energy,500000,,S,,,,Brown,,,
Department of Energy,1500000,,S,,,,Brown,,,
National Park Service,165000,,S,,,,Brown,,,
Small Business Administration,250000,,S,,,,Brown,,,
Environmental Protection Agency,300000,,S,,,,Brown,,,
National Park Service,350000,,S,,,,Brown,,,
Small Business Administration,500000,,S,,,,Brown,,,
Environmental Protection Agency,500000,,S,,,,Brown,,,
National Park Service,500000,,S,,,,Brown,,,
National Park Service,500000,,S,,,,Brown,,,
Environmental Protection Agency,1000000,,S,,,,Brown,,,
Environmental Protection Agency,1000000,,S,,,,Brown,,,
Department of Transportation,1000000,,S,,,,Brown,,,
Small Business Administration,1275000,,S,,,,Brown,,,
Environmental Protection Agency,2000000,,S,,,,Brown,,,
Department of Transportation,2250000,,S,,,,Brown,,,
Department of Labor,688000,,S,,,,Brown,,,
Department of Health & Human Services,530000,,S,,,,Brown,,,
Department of Health & Human Services,700000,,S,,,,Brown,,,
Department of Health & Human Services,100000,,S,,,,Brown,,,
Department of Health & Human Services,250000,,S,,,,Brown,,,
Department of Health & Human Services,1500000,,S,,,,Brown,,,
Department of Health & Human Services,641000,,S,,,,Brown,,,
Department of Health & Human Services,760000,,S,,,,Brown,,,
Department of Health & Human Services,1650000,,S,,,,Brown,,,
Department of Health & Human Services,1340000,,S,,,,Brown,,,
Department of Education,750000,,S,,,,Brown,,,
Department of Education,350000,,S,,,,Brown,,,
Department of Education,500000,,S,,,,Brown,,,
Department of Education,500000,,S,,,,Brown,,,
Army Corps of Engineers (Civil),500000,,H/S,Rouzer,,,Burr, Tillis,,
Army Corps of Engineers (Civil),2000000,,H/S,Rouzer,,,Burr, Tillis,,
Army Corps of Engineers (Civil),1050000,,H,Rouzer,,,Burr,,,
DOJ,1000000,,H/S,Cawthorn,,,Burr,,,
Department of Education,230000,,H/S,Adams,,,Burr,,,
FEMA,3000000,,S,,,,Burr,,,
Department of Housing and Urban Development,810000,,S,,,,Burr,,,
Department of Housing and Urban Development,1721000,,S,,,,Burr,,,
Department of Housing and Urban Development,2000000,,S,,,,Burr,,,
Department of Housing and Urban Development,3650000,,S,,,,Burr,,,
Department of Housing and Urban Development,4000000,,S,,,,Burr, Tillis,,
Department of Housing and Urban Development,7210000,,S,,,,Burr,,,
DOJ,3000000,,S,,,,Burr,,,
DOJ,114000,,S,,,,Burr,,,
Army Corps of Engineers (Civil),1670000,,S,,,,Burr,,,
National Park Service,200000,,S,,,,Burr,,,
Forest Service,3827000,,S,,,,Burr,,,
Navy,9300000,,S,,,,Burr, Tillis,,
Navy,18700000,,S,,,,Burr,,,
Navy,64200000,,S,,,,Burr,,,
Department of Health & Human Services,423000,,S,,,,Burr,,,
Department of Health & Human Services,5000000,,S,,,,Burr,,,
Department of Education,500000,,S,,,,Burr,,,
Army Corps of Engineers (Civil),1200000,,S,,,,Cantwell, Merkley, Murray, Wyden
Army Corps of Engineers (Civil),200000,,H/S,Herrera Beutler,,,Cantwell, Murray,,
Department of Education,55000,WA,H,McMorris Rodgers ,,,Cantwell,,,
Department of the Interior,500000,WA,H/S,Newhouse, McMorris Rodgers ,,Cantwell,,,
Department of Health & Human Services,2000000,WA,H/S,Larsen ,,,Cantwell,,,
Department of Education,75000,,H,DelBene,,,Cantwell,,,
DOJ,1500000,,H/S,Herrera Beutler,,,Cantwell,,,
Department of Transportation,3000000,,H/S,Strickland,,,Cantwell,,,
Department of Housing and Urban Development,3000000,,H/S,Kilmer,,,Cantwell,,,
Department of Housing and Urban Development,500000,,H/S,Strickland,,,Cantwell,,,
Department of Housing and Urban Development,500000,,H/S,Strickland,,,Cantwell,,,
Rural Development,900000,,H/S,Kilmer,,,Cantwell,,,
Rural Development,210000,,H/S,DelBene,,,Cantwell,,,
Department of Health & Human Services,3500000,,H/S,Schrier,,,Cantwell, Murray,,
DOJ,915000,,S,,,,Cantwell,,,
DOJ,292000,,S,,,,Cantwell,,,
Department of Transportation,1000000,,S,,,,Cantwell,,,
Department of Transportation,2500000,,S,,,,Cantwell, Murray,,
Department of Transportation,2600000,,S,,,,Cantwell,,,
Department of Transportation,2500000,,S,,,,Cantwell,,,
Department of Housing and Urban Development,1000000,,S,,,,Cantwell,,,
Department of Housing and Urban Development,3000000,,S,,,,Cantwell, Murray,,
Rural Development,413000,,S,,,,Cantwell,,,
Rural Development,1275000,,S,,,,Cantwell,,,
DOJ,300000,,S,,,,Cantwell,,,
Department of the Interior,950000,,S,,,,Cantwell,,,
Army Corps of Engineers (Civil),5000000,,S,,,,Cantwell,,,
Environmental Protection Agency,800000,,S,,,,Cantwell,,,
Environmental Protection Agency,2000000,,S,,,,Cantwell,,,
Environmental Protection Agency,2500000,,S,,,,Cantwell,,,
Department of Transportation,2500000,,S,,,,Cantwell,,,
Department of Transportation,2500000,,S,,,,Cantwell, Murray,,
Department of Health & Human Services,812000,,S,,,,Cantwell,,,
Department of Health & Human Services,350000,,S,,,,Cantwell,,,
Department of Health & Human Services,2500000,,S,,,,Cantwell,,,
