agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Rural Development,879506,,H,Fernandez,,,,,,,D
Department of the Interior,11000000,,H,Fernandez,,,,,,,D
Department of Health & Human Services,600000,,H,Fernandez,,,,,,,D
Department of Health & Human Services,1100000,,H,Fernandez,,,,,,,D
Department of Housing and Urban Development,1000000,,H,Maloney,,,,,,,D
Department of Housing and Urban Development,800000,,H,Maloney,,,,,,,D
Rural Development,1787500,,H,Maloney,,,,,,,D
Department of Transportation,650000,,H,Maloney,,,,,,,D
Environmental Protection Agency,2000000,,H,Maloney,,,,,,,D
Department of Health & Human Services,2000000,,H,Maloney,,,,,,,D
Department of Housing and Urban Development,1032800,,H,Stansbury,,,,,,,D
Department of Education,850000,,H,Stansbury,,,,,,,D
Department of Housing and Urban Development,2000000,,H,Barrag‡n,,,,,,,D
Department of Housing and Urban Development,250000,,H,Barrag‡n,,,,,,,D
Department of Housing and Urban Development,860000,,H,Barrag‡n,,,,,,,D
Department of Health & Human Services,50000,,H,Barrag‡n,,,,,,,D
Department of Health & Human Services,700000,,H,Barrag‡n,,,,,,,D
Department of Health & Human Services,925000,,H,Barrag‡n,,,,,,,D
Department of Health & Human Services,1000000,,H,Barrag‡n,,,,,,,D
Department of Education,500000,,H,Barrag‡n,,,,,,,D
Department of Education,250000,,H,Barrag‡n,,,,,,,D
Department of Housing and Urban Development,750000,,H,Velasquez,,,,,,,D
Department of Housing and Urban Development,300000,,H,Velasquez,,,,,,,D
Department of Housing and Urban Development,750000,,H,Velasquez,,,,,,,D
Department of Housing and Urban Development,300000,,H,Velasquez,,,,,,,D
Department of Labor,175000,,H,Velasquez,,,,,,,D
Department of Health & Human Services,500000,,H,Velasquez,,,,,,,D
Department of Education,500000,,H,Velasquez,,,,,,,D
Department of Education,150000,,H,Velasquez,,,,,,,D
Department of Education,800000,,H,Velasquez,,,,,,,D
Department of Education,1000000,,H,Velasquez,,,,,,,D
Department of Health & Human Services,2325000,,H,Ruppersberger,Sarbanes,,,,,,D
Department of Housing and Urban Development,1720000,,H,Sanchez,,,,,,,D
Department of Housing and Urban Development,322000,,H,Sanchez,,,,,,,D
Department of Housing and Urban Development,500000,,H,Sanchez,,,,,,,D
Department of Housing and Urban Development,200000,,H,Sanchez,,,,,,,D
Department of Housing and Urban Development,475000,,H,Sanchez,,,,,,,D
Department of Housing and Urban Development,2000000,,H,Sanchez,,,,,,,D
Department of Education,450000,,H,Sanchez,,,,,,,D
Department of Transportation,1500000,,H,Sanchez,,,,,,,D
Department of Health & Human Services,250000,,H,Sarbanes,Raskin,,,,,,D
Department of Transportation,1700000,,H,"Scott, David",,,,,,,D
Department of Housing and Urban Development,3000000,,H,Tony Cardenas,,,,,,,D
Department of Housing and Urban Development,800000,,H,Tony Cardenas,,,,,,,D
Department of Housing and Urban Development,1000000,,H,Tony Cardenas,,,,,,,D
Department of Transportation,5000000,,H,Tony Cardenas,,,,,,,D
Department of Labor,300000,,H,Tony Cardenas,,,,,,,D
Department of Health & Human Services,200000,,H,Tony Cardenas,,,,,,,D
Department of Health & Human Services,400000,,H,Tony Cardenas,,,,,,,D
Department of Education,450000,,H,Tony Cardenas,,,,,,,D
Department of Education,1000000,,H,Tony Cardenas,,,,,,,D
Department of Education,400000,,H,Tony Cardenas,,,,,,,D
Department of Housing and Urban Development,3000000,,H,Troy A. Carter,,,,,,,D
Department of Housing and Urban Development,3000000,,H,Troy A. Carter,,,,,,,D
Department of Housing and Urban Development,2500000,,H,Troy A. Carter,,,,,,,D
Department of Transportation,5000000,,H,Troy A. Carter,,,,,,,D
Department of Health & Human Services,2000000,,H,Troy A. Carter,,,,,,,D
Department of Health & Human Services,1000000,,H,Troy A. Carter,,,,,,,D
Department of Health & Human Services,1000000,,H,Troy A. Carter,,,,,,,D
Department of Transportation,5000000,,H,Veasey,Van Duyne,,,,,,D
Department of Housing and Urban Development,100000,,H,Watson Coleman,,,,,,,D
Department of Housing and Urban Development,1000000,,H,Watson Coleman,,,,,,,D
Department of Housing and Urban Development,500000,,H,Watson Coleman,,,,,,,D
Department of Housing and Urban Development,1600091,,H,Watson Coleman,,,,,,,D
Department of Housing and Urban Development,405000,,H,Watson Coleman,,,,,,,D
Department of Housing and Urban Development,1000000,,H,Watson Cole- man,,,,,,,D
