title,day,start,end,format,zip_code,address,virtual,details,tags,type,url
Downey Rocky Timers,Monday,7:30PM,8:30PM,Hybrid,90241,"10801 Downey Ave  Downey, CA 90241",ID: 879 489 926PH: 14086380968879489926PW: 680152,,Discussion; Open,Senior Friendly,https://lacoaa.org/meeting-details.php?id=154
Downey Monday Night 12&12,Monday,6:30PM,7:30PM,Hybrid,90240,"8441 E Florence Ave  Downey, CA 90240",ID: 839 5435 3240PH: 8(395) 435-3240PW: 121212,This meeting is in a church.,12 Steps & 12 Traditions; Closed,Newcomer,https://lacoaa.org/meeting-details.php?id=155
Downey Men'S Stag,Wednesday,7:30PM,9:00PM,Person,90241,"10544 Downey Ave  Downey, CA 90241",,,Closed,Men,https://lacoaa.org/meeting-details.php?id=159
Downey Thursday Nite Speaker,Thursday,8:00PM,9:30PM,Person,90240,"9813 Paramount Blvd  Downey, CA 90240",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=161
Downey Real Aa,Friday,7:30PM,9:00PM,Hybrid,90241,"10801 Downey Ave  Downey, CA 90241",ID: 874 2204 5361PH: (669) 900-6833PW: 725935,Start time has changed to 7:30 pm. This meeting meets at a church.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=162
There Is A Way,Sunday,7:30PM,9:00PM,Person,90706,"14527 Bellflower Blvd  Bellflower, CA 90706",,This meeting is in a church.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=170
Toppers Big Book Study,Tuesday,12:00PM,1:00PM,Person,91303,"21520 Sherman Way  Canoga Park, CA 91303",,,Big Book; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=189
Living Sober Participation,Wednesday,12:00PM,1:00PM,Person,91303,"21520 Sherman Way  Canoga Park, CA 91303",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=192
Beginners Workshop,Wednesday,6:00PM,7:00PM,Person,91303,"21520 Sherman Way  Canoga Park, CA 91303",,,Open,Newcomer,https://lacoaa.org/meeting-details.php?id=193
12 X 12 Book Study,Tuesday,8:00PM,9:15PM,Hybrid,91765,"2335 S Diamond Bar Blvd  Diamond Bar, CA 91765",ID: 677 712 970PH: (669) 900-6833PW:,,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=235
As Bill Sees It,Friday,7:30PM,8:30PM,Person,90291,"4679 W El Segundo Blvd  Hawthorne, CA 90291",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=256
Last Call,Sunday,6:30PM,7:45PM,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,"This meeting is in an Alano club. The format is some pages read out of the big book, meditation, commitments, speaker shares, and then group participation.",Big Book; Meditation; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=271
Grass Roots Participation,Monday,12:30PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=274
The Gong Show,Monday,8:00PM,9:30PM,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Big Book; Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=276
Big Book Study,Tuesday,12:30PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=278
Open Arms Group,Tuesday,8:00PM,9:00PM,Person,90027,"2930 Hyperion Ave  Los Angeles, CA 90027",,,Big Book; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=279
Day At A Time Speaker,Tuesday,8:00PM,9:00PM,Hybrid,91202,"1020 N Brand Blvd  Glendale, CA 91202",ID: 686 850 981PH: 1(669) 900-6833PW: No PW,This meeting is in a church.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=283
Nooners,Wednesday,12:30PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=286
Easy Does It Speaker,Wednesday,8:00PM,9:30PM,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Big Book; Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=287
New Hope On New Hampshire,Friday,8:00PM,,Hybrid,90027,"1733 N New Hampshire Ave  Los Angeles, CA 90027",ID: 374184172PH: (669) 900-6833PW: 681502,This meeting is in a church.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=294
Friday Rap Group,Friday,12:30PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=295
Early Bird Big Book Study,Friday,6:30PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Big Book; Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=296
Trouble Shooters,Friday,8:00PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Big Book; Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=297
Saturday Rule 62 Men'S Stag,Saturday,9:30AM,11:00AM,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Closed,Men,https://lacoaa.org/meeting-details.php?id=301
Question & Answer,Saturday,12:30PM,2:00PM,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=302
New Leaf Participation,Saturday,8:00PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=304
Question & Answer,Sunday,10:00AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=316
Big Book Study,Sunday,7:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=317
Topic Discussion,Monday,11:30AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=319
Speakers,Tuesday,8:00PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=322
Noon Discussion,Wednesday,12:00PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=324
Focus On Recovery,Wednesday,8:00PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=325
Relationships,Wednesday,5:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=327
4 Topic Participation,Thursday,11:30AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=328
Big Book Study,Friday,11:30AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Big Book; Discussion; Open,LGBTQ,https://lacoaa.org/meeting-details.php?id=332
20-40 Plus Participation,Friday,8:00PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=333
 Beginners,Saturday,12:00PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=334
Saturday Night Beginners,Saturday,7:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,Newcomer,https://lacoaa.org/meeting-details.php?id=335
Young People'S,Sunday,6:45PM,8:00PM,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,Young People,https://lacoaa.org/meeting-details.php?id=337
Men'S Stag,Monday,8:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Closed; Discussion,Men,https://lacoaa.org/meeting-details.php?id=342
Book Study,Tuesday,12:00PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=343
Commuters,Tuesday,5:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=344
Big Book Study,Wednesday,5:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=348
Noontime,Thursday,12:00PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=350
Men'S Stag,Thursday,5:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Closed,Men,https://lacoaa.org/meeting-details.php?id=351
Noon Discussion,Friday,12:00PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=353
Beginners,Friday,7:00PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=354
The Gong Show,Friday,8:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Discussion; Open; Speaker,Young People,https://lacoaa.org/meeting-details.php?id=355
Saturday Noon,Saturday,12:00PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=357
Highland Park Sunday Night Group,Sunday,8:00PM,9:00PM,Person,90042,"323 N Ave 56  Los Angeles, CA 90042",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=362
Yosemite,Tuesday,8:00PM,9:00PM,Person,90042,"323 N Ave 56   Los Angeles, CA 90042",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=363
Principles Before Personalities,Wednesday,8:15PM,9:30PM,Person,90041,"1649 Yosemite Dr  Los Angeles, CA 90041",,This meeting is at a Church.,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=374
Hollywood Squares,Saturday,8:30PM,10:00PM,Hybrid,90027,"1733 N New Hampshire Ave  Los Angeles, CA 90027",ID: 299 908 121PH: PW: No PW,This meeting is in a church.,Open; Speaker,GayLesbianLGBTQTransgender,https://lacoaa.org/meeting-details.php?id=382
Original Hole In The Ground,Monday,7:30PM,8:45PM,Person,90201,"6714 Pine Ave  Bell, CA 90201",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=386
Original Hole In The Ground,Tuesday,7:30PM,8:45PM,Person,90201,"6714 Pine Ave  Bell, CA 90201",,This meeting is in a meeting hall.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=387
Original Hole In The Ground,Wednesday,7:30PM,8:45PM,Person,90201,"6714 Pine Ave  Bell, CA 90201",,This meeting is in a meeting hall.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=388
Original Hole In The Ground,Thursday,7:30PM,8:45PM,Person,90201,"6714 Pine Ave  Bell, CA 90201",,This meeting is in a meeting hall.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=389
Original Hole In The Ground,Friday,7:30PM,8:45PM,Person,90255,"6714 Pine Ave  Bell, CA 90255",,This meeting is in a meeting hall.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=390
Inglewood Speakers,Monday,8:00PM,9:30PM,Hybrid,90302,"525 N Market St  Inglewood, CA 90302",ID: 160787718PH: 1(669) 900-6833PW: 869869,,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=392
Dunsmore Sunday Speakers,Sunday,6:00PM,7:15PM,Hybrid,91214,"4011 Dunsmore Ave  Glendale, CA 91214",ID: 813 4529 9201PH: 1(669) 900-6833PW: DunsSpkr,This meeting is in an Alano club.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=400
Monday Beginner'S Discussion,Monday,6:30PM,7:30PM,Person,91214,"4011 Dunsmore Ave  Glendale, CA 91214",,This meeting is in an Alano club.,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=401
Wednesday Night Participation,Wednesday,8:00PM,,Person,91214,"4011 Dunsmore Ave  Glendale, CA 91214",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=405
Robbers Roost Closed Men'S Group,Thursday,8:00PM,9:30PM,Person,91214,"4011 Dunsmore Ave  Glendale, CA 91214",,This meeting is in an Alano club.,Discussion; Open,MenNewcomer,https://lacoaa.org/meeting-details.php?id=407
Dunsmore Men'S Stag,Friday,8:00PM,9:30PM,Person,91214,"4011 Dunsmore Ave  Glendale, CA 91214",,This meeting is in an Alano club.,Closed; Discussion,Men,https://lacoaa.org/meeting-details.php?id=408
La Habra Wed Night Men'S,Wednesday,7:00PM,8:30PM,Person,90631,"101 W La Habra Blvd  La Habra, CA 90631",,This meeting is in a community center.,Closed,Men,https://lacoaa.org/meeting-details.php?id=414
Big Tom'S Memorial Meeting,Sunday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=424
Discussion,Monday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=426
Newcomers,Monday,7:00PM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=427
Any Lengths,Tuesday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=429
Speakers,Tuesday,8:30PM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=430
Step Study,Wednesday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=431
Participation,Thursday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=433
Participation,Friday,10:30AM,,Person,91744,"15911 Main St  La Puente, CA 91744",,This meeting is in a community center.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=436
Newcomers,Saturday,5:00PM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=596
White Flag Men'S Stag,Monday,8:00PM,9:30PM,Person,90010,"3611 Wilshire Blvd  Los Angeles, CA 90010",,,Closed; Discussion,Men,https://lacoaa.org/meeting-details.php?id=611
Sunday Night Big Book Study,Sunday,8:00PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Big Book; Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=636
Learn & Share,Monday,8:30PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=638
Open Participation,Tuesday,12:00PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=640
Manuel Rios Speaker,Wednesday,8:30PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=642
The Broadway Group,Thursday,8:30PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=644
Beginners,Friday,8:30PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=647
Connie Brown Memorial,Saturday,7:00PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=650
Arlington Beginners,Tuesday,8:00PM,9:00PM,Person,90010,"3903 Wilshire Blvd  Los Angeles, CA 90010",,,Open; Speaker,Newcomer,https://lacoaa.org/meeting-details.php?id=669
Midweek Discussion,Wednesday,12:30PM,,Hybrid,90039,"3367 Glendale Blvd  Los Angeles, CA 90039",ID: 851 9627 8888 PH: PW: 554198,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=673
Arlington,Thursday,8:00PM,9:00PM,Person,90010,"3903 Wilshire Blvd  Los Angeles, CA 90010",,,Open; Speaker,Newcomer,https://lacoaa.org/meeting-details.php?id=676
Malibu Saturday Night,Saturday,7:30PM,9:00PM,Person,90265,"6955 Fernhill Drive  Malibu, CA 90265",,,Birthday; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=732
Los Feliz Beginners,Wednesday,7:00PM,8:00PM,Person,90027,"1733 N New Hampshire Ave  Los Angeles, CA 90027",,Speaker / Q&A. LGBTQ - all are welcome. This meeting is at a church.,Discussion; Speaker,LGBTQNewcomer,https://lacoaa.org/meeting-details.php?id=761
12&12 Study,Sunday,9:30AM,,Person,91321,"24307 Railroad Ave  Santa Clarita, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=765
Speaker Participation,Sunday,7:30PM,,Person,91321,"24307 Railroad Ave  Santa Clarita, CA 91321",,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=767
Participation,Monday,12:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=771
Open Participation,Monday,8:30PM,9:30PM,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=772
Questions & Answers,Tuesday,12:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=773
Candlelight Discussion,Tuesday,8:30PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=774
Open Discussion,Wednesday,12:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=775
Big Book Study,Wednesday,7:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=776
12&12 Study,Thursday,12:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=779
12 X 12 Study,Thursday,7:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=780
Participation,Friday,12:00PM,,Person,91321,"24307 Railroad Ave  Newhall, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=783
Beginners Participation,Friday,7:00PM,,Person,91321,"24307 Railroad Ave  Santa Clarita, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=784
Saturday Night Live,Saturday,7:00PM,,Person,91321,"24307 Railroad Ave  Santa Clarita, CA 91321",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=789
Discussion,Monday,12:00PM,,Person,91601,"11455 Chandler Blvd  Los Angeles, CA 91601",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=804
Book Study,Monday,8:00PM,,Person,91601,"11455 Chandler Blvd  Los Angeles, CA 91601",,This meeting is in a meeting hall.,Big Book; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=805
Step Study,Wednesday,8:00PM,,Person,91601,"11455 Chandler Blvd  Los Angeles, CA 91601",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=811
Try God Discussion,Wednesday,7:30PM,8:30PM,Person,90034,"3647 Watseka Ave  Los Angeles, CA 90034",,,Candlelight; Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=862
Try God Speaker,Friday,7:30PM,8:30PM,Hybrid,90034,"3647 Watseka Ave  Los Angeles, CA 90034",ID: 143-557-084PH: 16699006833143557084PW: trygod,This meeting is in a church. On-site childcare is usually available but attendance capacity is limited. Please text or call Melinda 310-614-FiveFour98 to check on childcare availability on any given week.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=863
Monday Night Palisades Speaker,Monday,7:30PM,8:30PM,Hybrid,90272,"15821 Sunset Blvd  Pacific Palisades, CA 90272",ID: 878 9497 9140PH: 1(669) 900-9128PW: 502363,,Birthday; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=866
Original Room At The Top,Saturday,7:30PM,8:30PM,Person,90272,"801 Via De La Paz  Pacific Palisades, CA 90272",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=875
Aa Discussion,Saturday,1:00PM,2:30PM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=898
Paramount Speakers,Sunday,7:00PM,8:30PM,Hybrid,90723,"8021 Rosecrans Ave  Paramount, CA 90723",ID: 705 197 312PH: PW: 590281,This meeting held in the large room.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=900
