id,raw_code,name,clean_code,slug
167,594(B)(1)VC,"","",594b1vc
168,245BPC,"","",245bpc
169,777(A)(2)WI,"","",777a2wi
170,290.018APC,"","",290018apc
171,12031(F)PC,"","",12031fpc
172,11350(A) HS,"","",11350a-hs
173,308.1PC,"","",3081pc
174,602(H)1PC,"","",602h1pc
175,273.5(A)PF,"","",2735apf
176,459(A)PC,"","",459apc
177,266H(B)2PC,"","",266hb2pc
178,11383.7(B)1H,"","",113837b1h
179,484(E)PC,"","",484epc
180,11351.5(A)HS,"","",113515ahs
181,487(H)PC,"","",487hpc
182,487PC,"","",487pc
183,653(M)BPC,"","",653mbpc
184,A594(A)(1)PC,"","",a594a1pc
185,217PC,"","",217pc
186,538D(B)(2)PC,"","",538db2pc
187,594(A)2PC,"","",594a2pc
188,11375(B)2HS,"","",11375b2hs
189,314(1)PC,"","",3141pc
190,242(A)PC,"","",242apc
191,288.7(A)PC,"","",2887apc
192,40508AVC,"","",40508avc
193,3 31 IG,"","",3-31-ig
194,11352.1HS,"","",113521hs
195,41.18(D),"","",4118d
196,USC846,"","",usc846
197,41.27LAMC,"","",4127lamc
198,288.3(A)1PC,"","",2883a1pc
199,12316(B)PC,"","",12316bpc
200,11305(A)HS,"","",11305ahs
201,273(A)APC,"","",273aapc
202,2002(A)VC,"","",2002avc
203,4463(A)(1)VC,"","",4463a1vc
204,1767.3WI,"","",17673wi
205,245(A)(1)PCC,"","",245a1pcc
206,594(B)2BPC,"","",594b2bpc
207,236.1(A)PC,"","",2361apc
208,653.23(A)1PC,"","",65323a1pc
209,290.011APC,"","",290011apc
210,415(A)PC,"","",415apc
211,640(B)(1)PC,"","",640b1pc
212,777WIC,"","",777wic
213,4.08.095SC,"","",408095sc
214,11357BHS,"","",11357bhs
215,602(O)APC,"","",602oapc
216,207PC,"","",207pc
217,472(A)PC,"","",472apc
218,459 PC,"","",459-pc
219,245(A)1PC,"","",245a1pc
220,242(E)(1)PC,"","",242e1pc
221,25663BP,"","",25663bp
222,290(F)1APC,"","",290f1apc
223,602(O)1PC,"","",602o1pc
224,SC,"","",sc
225,3.12.350(A),"","",312350a
226,4463VC,"","",4463vc
227,288(A)(1)PC,"","",288a1pc
228,11377(A)HSS,"","",11377ahss
229,537(A)PC,"","",537apc
230,9.08.010CM,"","",908010cm
231,266H(B)(1)PC,"","",266hb1pc
232,USC 371,"","",usc-371
233,13.18.010 L,"","",1318010-l
234,224USC,"","",224usc
235,273(A)2,"","",273a2
236,14601.1(A)P,"","",146011ap
237,23550.5(A)VC,"","",235505avc
238,273.5APC,"","",2735apc
239,23152(B)VCC,"","",23152bvcc
240,530.5(C)3PC,"","",5305c3pc
241,12020(C)7PC,"","",12020c7pc
242,484(G)PC,"","",484gpc
243,594B(2)(B)PC,"","",594b2bpc
244,300WIC,"","",300wic
245,8.60.130LB,"","",860130lb
246,10501(A)VC,FALSE RPT OF VEH THEFT W/INTENT TO DECE,10501(A)VC,false-rpt-of-veh-theft-wintent-to-dece
247,10801VC,OWN/OPERATE A 'CHOP SHOP',10801VC,ownoperate-a-chop-shop
248,10851(A)VC,TAKE VEHICLE W/O OWNER'S CONSENT,10851(A)VC,take-vehicle-wo-owners-consent
249,10851(B)VC,TAKE EMERGENCY VEHICLE WHILE ON CALL,10851(B)VC,take-emergency-vehicle-while-on-call
250,10851(C)VC,TAKE ON-CALL EMERGENCY VEHICLE,10851(C)VC,take-on-call-emergency-vehicle
251,10851(E)VC,TAKE VEH:NO CNSNT:SPEC PR,10851(E)VC,take-vehno-cnsntspec-pr
252,10851VC,TAKE VEHICLE W/O OWNER'S CONSENT,10851VC,take-vehicle-wo-owners-consent-1
253,10852VC,TAMPER WITH VEHICLE,10852VC,tamper-with-vehicle
254,10853VC,MALICIOUS MISCHIEF TO VEHICLE,10853VC,malicious-mischief-to-vehicle
255,10855VC,EMBEZZLE RENTED/LEASED VEHICLE,10855VC,embezzle-rentedleased-vehicle
256,10980(C)2WI,OBTAIN/ETC AID BY FALSE STMENT/ETC > $4,10980(C)2WI,obtainetc-aid-by-false-stmentetc-4
257,10980(C)WI,FALSE APPLICATION FOR AID,10980(C)WI,false-application-for-aid
258,11173(A)HS,OBTAIN CNTL SUBS/CONT SUBS PRESC BY FRA,11173(A)HS,obtain-cntl-subscont-subs-presc-by-fra
259,11350(A)HS,POSSESSION NARCOTIC CONTROLLED SUBSTANC,11350(A)HS,possession-narcotic-controlled-substanc
260,11351.5HS,POSS/PURCHASE COCAINE BASE FOR SALE,11351.5HS,posspurchase-cocaine-base-for-sale
261,11351HS,POSSESS/PURCHASE CONTROLLED SUBS FOR SA,11351HS,possesspurchase-controlled-subs-for-sa
262,11352(A)HS,TRANSPORT/SELL/ETC CONTROLLED SUBSTANCE,11352(A)HS,transportselletc-controlled-substance
263,11352(B)HS,TRANSP/SELL NARC CNTL SUB BETWEEN COUNT,11352(B)HS,transpsell-narc-cntl-sub-between-count
264,11352HS,TRANS SELL NARC CONTROLLED SUBSTANCE,11352HS,trans-sell-narc-controlled-substance
265,11353(A)HS,ADULT SOLICIT/ETC MI:VIOL CNTL SUB/NARC,11353(A)HS,adult-solicitetc-miviol-cntl-subnarc
266,11354(A)HS,MINOR INDUCE MINOR VIOL C/SUBS PROVISIO,11354(A)HS,minor-induce-minor-viol-csubs-provisio
267,11355HS,SELL SUBSTANCE IN LIEU OF CNTL SUBS,11355HS,sell-substance-in-lieu-of-cntl-subs
268,11357(A)HS,POSSESSION CONCENTRATED CANNABIS,11357(A)HS,possession-concentrated-cannabis
269,11357(B)HS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA,11357(B)HS,possess-285-grams-or-less-of-marijuana
270,11357(C)HS,POSS OF MORE THAN 28.5 GRAMS OF MARIJUA,11357(C)HS,poss-of-more-than-285-grams-of-marijua
271,11357(D)HS,MINOR POSS < 28.5 GRAMS MARIJUANA/SCHOO,11357(D)HS,minor-poss-285-grams-marijuanaschoo
272,11357HS,POSSESSION CANNABIS,11357HS,possession-cannabis
273,11358HS,UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUAN,11358HS,unlawfully-plantcultivateetc-marijuan
274,11359HS,POSSESSION MARIJUANA FOR SALE,11359HS,possession-marijuana-for-sale
275,11360(A)HS,SELL/FURNISH/ETC MARIJ/HASH OVER 1 OZ,11360(A)HS,sellfurnishetc-marijhash-over-1-oz
276,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUA,11360(B)HS,givetransportetc-285-grams-marijua
277,11360HS,TRANSPORT/ETC MARIJUANA,11360HS,transportetc-marijuana
278,11361(A)HS,USE MINOR UNDER 14 TRANS/SELL MARIJUANA,11361(A)HS,use-minor-under-14-transsell-marijuana
279,11361(B)HS,FURNISHING MARIJUANA TO MINOR OVER 14 Y,11361(B)HS,furnishing-marijuana-to-minor-over-14-y
280,11361HS,INDUCE/ETC MINOR TO USE/SELL MARIJUANA,11361HS,induceetc-minor-to-usesell-marijuana
281,11364(A)HS,"POSS DEVICE,INSTRUMT,PARAPHERNALIA",11364(A)HS,poss-deviceinstrumtparaphernalia
282,11364.5AHS,SELL/ETC DRUG PARAPHERNALIA TO UNDER 18,11364.5AHS,selletc-drug-paraphernalia-to-under-18
283,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,11364HS,possession-cntl-substance-paraphernalia
284,11365(A)HS,VISIT WHERE CONTROLLED SUBSTANCE USED,11365(A)HS,visit-where-controlled-substance-used
285,11365HS,VISIT WHERE CONTROLLED SUBSTANCE USED,11365HS,visit-where-controlled-substance-used-1
286,11366.5HS,PROVIDE ROOM FOR CONTROLLED SUBSTANCE,11366.5HS,provide-room-for-controlled-substance
287,11366HS,MAINTAIN PLACE TO SELL CONTROLLED SUBS,11366HS,maintain-place-to-sell-controlled-subs
288,11368HS,FORGE/ALTER NARCOTIC PRESCRIPTION,11368HS,forgealter-narcotic-prescription
289,11370.1AHS,POSS C/SUB WHILE ARMED W/LOADED FIREARM,11370.1AHS,poss-csub-while-armed-wloaded-firearm
290,11370.1HS,FIREARM WITH NARCOTICS,11370.1HS,firearm-with-narcotics
291,11370.6AHS,"POSSESS CNTL SUBS PROCEEDS OF $100,000+",11370.6AHS,possess-cntl-subs-proceeds-of-100000
292,11370.6HS,MONEY LAUNDR/SALE/TRANSP/MANUF CONTR SU,11370.6HS,money-laundrsaletranspmanuf-contr-su
293,11370.9AHS,REC/ETC/CNCL/ETC$+:C/SUB,11370.9AHS,recetccncletccsub
294,11370.9BHS,CONCEAL/ETC PROFIT/ETC:CONTROLLED SUBS,11370.9BHS,concealetc-profitetccontrolled-subs
295,11375(A)HS,POSS FOR SALE/SELL CONT SUBSTANCE,11375(A)HS,poss-for-salesell-cont-substance
296,11375(B)HS,POSSESS SPECFIC CNTL SUBSTANCE FOR SALE,11375(B)HS,possess-specfic-cntl-substance-for-sale
297,11377(A)HS,POSSESSION CONTROLLED SUBSTANCE,11377(A)HS,possession-controlled-substance
298,11377(B)HS,POSSESSION CONTROLLED SUBSTANCE,11377(B)HS,possession-controlled-substance-2
299,11377HS,POSSESSION CONTROLLED SUBSTANCE,11377HS,possession-controlled-substance-1
300,11378.5HS,POSS PHENCYCLIDINE/DESIGNATD SUB FOR SA,11378.5HS,poss-phencyclidinedesignatd-sub-for-sa
301,11378HS,POSSESSION CONTROLLED SUBSTANCE FOR SAL,11378HS,possession-controlled-substance-for-sal
302,11379(A)HS,TRANSPORT/SELL CONTROLLED SUBSTANCE,11379(A)HS,transportsell-controlled-substance
303,11379.5HS,TRANSPORT/SELL/ETC PHENCYCLIDINE,11379.5HS,transportselletc-phencyclidine
304,11379HS,TRANSPORT/SELL CONTROLLED SUBSTANCE,11379HS,transportsell-controlled-substance-1
305,11382HS,SELLING SUBSTANCE IN LIEU OF A CNTL SUB,11382HS,selling-substance-in-lieu-of-a-cntl-sub
306,11383(B)HS,POSS SUBS W/INTENT TO MFG PCP/PCP ANALO,11383(B)HS,poss-subs-wintent-to-mfg-pcppcp-analo
307,11383(C)1HS,POSS EPHEDRINE/ETC:INT MFG METHAMPHETAM,11383(C)1HS,poss-ephedrineetcint-mfg-methamphetam
308,11383(C)4HS,POSSESS SUBS TO MFG CONTROLLED SUBSTANC,11383(C)4HS,possess-subs-to-mfg-controlled-substanc-1
309,11383(C)HS,METHAMPHETAMINE/PHENCYCLIDINE,11383(C)HS,methamphetaminephencyclidine
310,113980HS,IMPROP MFG/SERVE/ETC FOOD,113980HS,improp-mfgserveetc-food
311,113PC,MANUFACTURE/ETC FALSE CITIZENSHIP DOCU,113PC,manufactureetc-false-citizenship-docu
312,114PC,USE FALSE DOCU TO CONCEAL TRUE CITIZENS,114PC,use-false-docu-to-conceal-true-citizens
313,115(A)PC,OFFER FALSE/FORGED INSTRUMENT TO BE FIL,115(A)PC,offer-falseforged-instrument-to-be-fil
314,11532(A)HS,LOITER IN PUBLIC PLACE FOR ILL DRUG ACT,11532(A)HS,loiter-in-public-place-for-ill-drug-act
315,11532HS,POSSESSION MARIJUANA BY ADULT,11532HS,possession-marijuana-by-adult
316,11550(A)HS,UNDER INFLUENCE CNTL SUB,11550(A)HS,under-influence-cntl-sub
317,11550(C)HS,POSS LOADED FIREARM UNDER INFLUENCE C/S,11550(C)HS,poss-loaded-firearm-under-influence-cs-1
318,11550(E)HS,POSS LOADED FIREARM UNDER INFLUENCE C/S,11550(E)HS,poss-loaded-firearm-under-influence-cs
319,11550HS,USE/UNDER INFLUENCE OF CONTROLLED SUBS,11550HS,useunder-influence-of-controlled-subs
320,115PC,OFFER FORGED INSTRUMENT TO FILE,115PC,offer-forged-instrument-to-file
321,118(A)PC,PERJURY UNDER OATH,118(A)PC,perjury-under-oath
322,118PC,PERJURY (DEFINITION),118PC,perjury-definition
323,12020(A)1PC,MFG/SELL/POSS DANGEROUS WEAPON/ETC,12020(A)1PC,mfgsellposs-dangerous-weaponetc
324,12020(A)2PC,MANUFACTURE/SELL/ETC:MAGAZINE,12020(A)2PC,manufactureselletcmagazine
325,12020(A)4PC,CARRY CONCEALED DIRK OR DAGGER,12020(A)4PC,carry-concealed-dirk-or-dagger
326,12020(A)PC,POSSESS/SELL/MFG DANGEROUS WEAPON,12020(A)PC,possesssellmfg-dangerous-weapon
327,12020FG,VIOLATE WRITTEN PROMISE TO APPEAR,12020FG,violate-written-promise-to-appear
328,12020PC,POSS/SELL/MFG DANGEROUS WEAPON,12020PC,posssellmfg-dangerous-weapon
329,12021(A)1PC,POSS FIREARM BY CONVICTD FELON/ADDICT/E,12021(A)1PC,poss-firearm-by-convictd-felonaddicte
330,12021(A)2PC,POSS FIREARM FELON/ETC W/PR SPEC CONVIC,12021(A)2PC,poss-firearm-felonetc-wpr-spec-convic
331,12021(A)PC,POSS FIREARM BY CONVICTD FELON/ADDICT/E,12021(A)PC,poss-firearm-by-convictd-felonaddicte-1
332,12021(C)1PC,POSS FIREARM W/PRIOR SPEC MISD CONVICTI,12021(C)1PC,poss-firearm-wprior-spec-misd-convicti
333,12021(D)PC,OWN/POSS FIREARM IN VIOL OF PROB COND,12021(D)PC,ownposs-firearm-in-viol-of-prob-cond
334,12021(E)PC,UNLAWFUL POSSESSION OF FIREARM W/PR JUV,12021(E)PC,unlawful-possession-of-firearm-wpr-juv
335,12021.1APC,ILLEGAL POSS CONCEALABLE FIREARM-SPEC P,12021.1APC,illegal-poss-concealable-firearm-spec-p
336,12021.1PC,ILL POSS/ETC CONC FIREARM,12021.1PC,ill-possetc-conc-firearm
337,12021PC,POSSESSION OF FIREARM BY FELON/ADDICT/E,12021PC,possession-of-firearm-by-felonaddicte
338,12024PC,POSS DEADLY WPN W/INT TO ASSAULT ANOTHE,12024PC,poss-deadly-wpn-wint-to-assault-anothe
339,12025(A)1PC,CARRYING CONCEALED WEAPON WITHIN VEHICL,12025(A)1PC,carrying-concealed-weapon-within-vehicl
340,12025(A)2PC,CARRYING CONCEALED WEAPON ON PERSON,12025(A)2PC,carrying-concealed-weapon-on-person
341,12025(A)3PC,CONCEALED FIREARM IN CAR,12025(A)3PC,concealed-firearm-in-car
342,12025(A)PC,CARRY CONCEALED WEAPON IN VEHICLE W/O L,12025(A)PC,carry-concealed-weapon-in-vehicle-wo-l
343,12025(B)1PC,CCW IN VEH W/PR FEL CONV,12025(B)1PC,ccw-in-veh-wpr-fel-conv
344,12025(B)2PC,CARRY CONCEALD STOLEN WPN,12025(B)2PC,carry-conceald-stolen-wpn
345,12025(B)3PC,CCW:CRIM ST GANG:ACTIVE,12025(B)3PC,ccwcrim-st-gangactive
346,12025(B)4PC,CCW:PROHIB/UNLAWFUL POSS,12025(B)4PC,ccwprohibunlawful-poss
347,12025(B)6PC,CARRYING A CONCEALED WEAPON,12025(B)6PC,carrying-a-concealed-weapon-1
348,12025(B)PC,CARRY CONCEALED WEAPON ON PERSON W/O LI,12025(B)PC,carry-concealed-weapon-on-person-wo-li
349,12025B6APC,CARRYING A CONCEALED WEAPON,12025B6APC,carrying-a-concealed-weapon
350,12025B6BPC,NOT REGISTERED OWNER OF WEAPON,12025B6BPC,not-registered-owner-of-weapon
351,1203.1PC,REARREST/REVOKE PROBATION/ETC,1203.1PC,rearrestrevoke-probationetc-1
352,1203.2(A)PC,REARREST/REVOKE PROBATION/ETC,1203.2(A)PC,rearrestrevoke-probationetc
353,1203.2PC,PROBATION VIOLATION,1203.2PC,probation-violation
354,12031(A)1PC,CARY LOAD F/ARM:PUB:S/CIR,12031(A)1PC,cary-load-farmpubscir
355,12031(A)PC,CARRY LOADED FIREARM IN PUBLIC PLACE,12031(A)PC,carry-loaded-firearm-in-public-place
356,12031(B)PC,POSSESS LOADED WEAPON/PUBLC,12031(B)PC,possess-loaded-weaponpublc
357,12031A2APC,CARRY LOAD F/ARM:PR FEL,12031A2APC,carry-load-farmpr-fel
358,12031A2BPC,CARRY STOLEN LOADED F/ARM,12031A2BPC,carry-stolen-loaded-farm
359,12031A2CPC,GANG MEMB:CLF/ARM:PUB/ETC,12031A2CPC,gang-membclfarmpubetc
360,12031A2DPC,CARRY LOAD FIREARM/NOT LAW POSS,12031A2DPC,carry-load-firearmnot-law-poss
361,12031A2FPC,CARRYING LOADED FIREARM,12031A2FPC,carrying-loaded-firearm
362,12031PC,CARRY LOADED FIREARM IN PUBLIC PLACE,12031PC,carry-loaded-firearm-in-public-place-1
363,12034(A)PC,PERMITTING LOADED FIREARM IN VEHICLE,12034(A)PC,permitting-loaded-firearm-in-vehicle
364,12034(B)PC,PERMITTING ANOTHER TO SHOOT FROM A VEH,12034(B)PC,permitting-another-to-shoot-from-a-veh
365,12034(C)PC,DISCHARGE FIREARM FROM VEHICLE AT PERSO,12034(C)PC,discharge-firearm-from-vehicle-at-perso
366,12072(A)1PC,SUPPLY FIREARMS TO CONVICTED FELON,12072(A)1PC,supply-firearms-to-convicted-felon
367,12072(D)PC,UNLIC SEL/TRANS/ETC CF/ARM,12072(D)PC,unlic-seltransetc-cfarm
368,1209(A)5CP,CONTEMPT OF COURT:DISOBEY COURT ORDER/E,1209(A)5CP,contempt-of-courtdisobey-court-ordere
369,1209(A)9CP,CONTEMPT - DISOBEY SUBPOENA,1209(A)9CP,contempt-disobey-subpoena
370,12090PC,CHANGE/ALTER/REMOVE ID MARKS ON FIREARM,12090PC,changealterremove-id-marks-on-firearm
371,12091PC,POSSESS FIREARM W/ALTERED IDENTIFICATIO,12091PC,possess-firearm-waltered-identificatio
372,12094(A)PC,POSSESS/SELL/ETC UNMARK FIREARM,12094(A)PC,possessselletc-unmark-firearm
373,1209CP,CIVIL CONTEMPT,1209CP,civil-contempt
374,12101(A)1PC,MINOR IN POSS CONCEALABLE FIREARM W/PRI,12101(A)1PC,minor-in-poss-concealable-firearm-wpri
375,12120VC,UNLAWFUL SALE OF VEHICLE BY DEALER,12120VC,unlawful-sale-of-vehicle-by-dealer
376,12220(A)PC,POSSESS/TRANSPORT MACHINEGUN,12220(A)PC,possesstransport-machinegun
377,12280(A)1PC,MFG/DISTRUBUTE/TRANSFER ASSAULT WEAPON,12280(A)1PC,mfgdistrubutetransfer-assault-weapon
378,12280(B)PC,POSSESSION OF ASSAULT WEAPON,12280(B)PC,possession-of-assault-weapon
379,12303.3PC,USE/POSSESS EXPLOSIVE/DESTRUCTIVE DEVIC,12303.3PC,usepossess-explosivedestructive-devic
380,12303PC,POSSESSION DESTRUCTIVE DEVICE,12303PC,possession-destructive-device
381,12316(B)1PC,PROHIBITED PERSON OWN/ETC AMMUNITION/ET,12316(B)1PC,prohibited-person-ownetc-ammunitionet
382,12370(A)PC,"PURCHASES, OWNS, OR POSSESSES BODY ARMO",12370(A)PC,purchases-owns-or-possesses-body-armo
383,12403.7E1PC,POSS ILLEGAL TEAR GAS/TEAR GAS WEAPON,12403.7E1PC,poss-illegal-tear-gastear-gas-weapon
384,12403.7PC,POSS OLEORESIN CAPSICUM W/O CERT.,12403.7PC,poss-oleoresin-capsicum-wo-cert
385,12420PC,SELL/POSS/TRANSP/TEAR GAS/TEAR GAS WEAP,12420PC,sellposstransptear-gastear-gas-weap
386,12500(A)VC,UNLICENSED DRIVER,12500(A)VC,unlicensed-driver
387,12500(B)VC,LICENSED DRIVER OUT OF CLASSIFICATION,12500(B)VC,licensed-driver-out-of-classification
388,12553PC,CHANGE/ALTER/ETC FIREARM MARKINGS,12553PC,changealteretc-firearm-markings
389,12651(A)PC,PURCH/POSS/USE STUN GUN BY CONVICTED FE,12651(A)PC,purchpossuse-stun-gun-by-convicted-fe
390,12671HS,SELL/USE/ETC UNCLASSIFIED/UNREG FIREWOR,12671HS,selluseetc-unclassifiedunreg-firewor
391,12677HS,POSSESS DANGEROUS FIREWORKS W/O PERMIT,12677HS,possess-dangerous-fireworks-wo-permit
392,12678HS,UNLAWFUL DISCHARGE OF F/WORKS W/O PERMI,12678HS,unlawful-discharge-of-fworks-wo-permi
393,12702(C)HS,SELL/ETC 7500+ GRAINS DANG F/WORKS TO <,12702(C)HS,selletc-7500-grains-dang-fworks-to
394,12951(A)VC,NO DRIVER'S LICENSE IN POSSESSION,12951(A)VC,no-drivers-license-in-possession
395,12951(B)VC,REFUSE TO PRESENT DRIVER'S LIC TO OFFIC,12951(B)VC,refuse-to-present-drivers-lic-to-offic
396,1300(A)PC,BOND SURRENDER,1300(A)PC,bond-surrender
1096,PDMC,PALMDALE MUNICIPAL CODE,PDMC,palmdale-municipal-code
397,13004(A)VC,FRAUDULENTLY DISPLAY ID CARD,13004(A)VC,fraudulently-display-id-card
398,1320(A)PC,FTA AFTER O.R. RELEASE ON MISDEMEANOR,1320(A)PC,fta-after-or-release-on-misdemeanor
399,1320(B)PC,FTA AFTER O.R. RELEASE ON FELONY,1320(B)PC,fta-after-or-release-on-felony
400,1320.5PC,FTA AFTER BAIL RELEASE ON FELONY,1320.5PC,fta-after-bail-release-on-felony
401,1320PC,FAILURE TO APPEAR,1320PC,failure-to-appear
402,1331.5PC,WITNESS FAILING TO APPEAR,1331.5PC,witness-failing-to-appear
403,1331PC,DISOBEY SUBPOENA/REFUSE TO TESTIFY,1331PC,disobey-subpoenarefuse-to-testify
404,134PC,PREPARE FALSE DOCUMENTARY EVIDENCE,134PC,prepare-false-documentary-evidence
405,136.1(A)1PC,PREVENT WITNESS/VICTIM FROM TESTIMONY,136.1(A)1PC,prevent-witnessvictim-from-testimony
406,136.1(A)2PC,ATTEMPT TO PREV WIT/VICTIM GIVE TESTIMO,136.1(A)2PC,attempt-to-prev-witvictim-give-testimo
407,136.1(A)PC,PREVENT/DISSUADE WITNESS/VICTIM,136.1(A)PC,preventdissuade-witnessvictim
408,136.1(B)1PC,PREVENT/DISSUADE WITNESS/VICTIM FROM RE,136.1(B)1PC,preventdissuade-witnessvictim-from-re
