Name,CandidateCommittee,Office,Party,Income,Expense,CashBalance,IEFor,IEAgainst,...10,id
"Alston, Lela (202000060)",Lela Alston AZ Senate 2022,State Senator - District No. 24,Democratic,70504.05,85944.63,53744.57,8541.69,0,NA,202000060
"Andrade, Richard (100007)",Rich for Senate-LD22,State Senator - District No. 22,Democratic,0,0,11026.23,0,0,NA,100007
"Andrade, Richard (100007)",Rich for Senate-LD22,State Senator - District No. 29,Democratic,1500,4225.45,11026.23,0,0,NA,100007
"Andrade, Richard (100007)",Rich for Senate-LD22,State Representative - District 29,Democratic,46271.2,50728.15,11026.23,62852.06,11174.19,NA,100007
"Andrade, Richard C(100800)",Richard Andrade for State Senator - District No. 29,State Senator - District No. 29,Democratic,2050,1245.5,0,0,0,NA,100800
"Angry, Travis (100120)",Travis Angry for State Senator - District No. 4 (Clean Elections),State Senator - District No. 4,Republican,49477.14,49328.54,0,0,6.31,NA,100120
"Arif, Mohammad (100077)",Arif 4 Arizona,Other,Democratic,0,0,0,0,0,NA,100077
"Arnold, John (100683)",John Arnold for AZ,State Representative - District 4,Republican,0,0,49977.98,0,0,NA,100683
"Arnold, John (100683)",John Arnold for AZ,State Representative - District 23,Republican,59140,9162.02,49977.98,0,0,NA,100683
"Arthur, Jared (100172)",Arthur4AZ,State Representative - District 25,Libertarian,0,0,0,0,0,NA,100172
"Askey, Josh (100944)",Committee to Elect Josh Askey,State Representative - District 17,Republican,0,0,0,0,0,NA,100944
"Austin, Lorena (100958)",Lorena Austin for State Representative - District 9,State Representative - District 9,Democratic,0,0,0,0,0,NA,100958
"Babbott, Art (201800316)",Art Babbott for Arizona,State Representative - District 6,Other,59590.769,96336.864,0.25,4482.67,147304.8,NA,201800316
"Barlett, Jeff (100533)",Jeff Barlett for AZ House (Clean Elections),State Representative - District 16,Libertarian,140,140,0,0,0,NA,100533
"Barr, Robert L(100955)",Robert Barr for State Senator,State Senator - District No. 17,Republican,0,0,0,0,0,NA,100955
"Barron, William (100196)",William Barron,State Senator - District No. 20,Republican,0,0,0,0,0,NA,100196
"Barron, William (100197)",William Barron,State Representative - District 20,Republican,0,0,0,0,0,NA,100197
"Barron, William (100198)",Committee to elect William Barron,State Representative - District 20,Republican,0,0,0,0,0,NA,100198
"Barto, Nancy Kay(100098)",Nancy Barto for State Senate 2022,State Senator - District No. 15,Republican,174179.87,194250.81,41472.2,35900.34,370067.45,NA,100098
"Barton, Brenda (201600145)",BartonForAZ,State Representative - District 6,Republican,59495.98,57630.69,3640.92,78835.93,207985.88,NA,201600145
"Beaudoin, Amanda (100766)",Elect Amanda Beaudoin,State Mine Inspector,Republican,1297.72,1297.72,0,0,0,NA,100766
"Beaudoin, Amanda (100767)",Elect Amanda Beaudoin,State Mine Inspector,Republican,0,0,0,0,0,NA,100767
"Beaver, Steven (100858)",STEVEN BEAVER for State Representative - District 1,State Representative - District 1,Republican,0,6204.1,0,0,0,NA,100858
"Bellavigna, Bridget (100177)",Bellavigna-Constable Kyrene Judiciary Precinct,Other,Democratic,0,0,906.67,0,0,NA,100177
"Bellavigna, Bridget (100177)",Bellavigna-Constable Kyrene Judiciary Precinct,Corporation Commissioner,Democratic,5184.2,4277.53,906.67,0,0,NA,100177
"Bey, Shataera (100911)",Bey for AZ,State Senator - District No. 20,Democratic,0,0,0,0,0,NA,100911
"Biasiucci, Leo (201800222)",Leo Biasiucci,State Representative - District 5,Republican,55635,25360.3,41436,0,0,NA,201800222
"Biasiucci, Leo (201800222)",Leo Biasiucci,State Representative - District 30,Republican,120,2775.02,41436,0,0,NA,201800222
"Biggs, Braden Jacob(101032)",Braden Biggs for State Representative - District 16,State Representative - District 16,NA,0,0,0,0,0,NA,101032
"Black, Susan M.(101023)",Susan Black for Arizona,State Representative - District 28,NA,0,0,0,0,0,NA,101023
"Blackman, Walt (100528)",Walt Blackman for Congress,Other,Republican,0,0,0,0,0,NA,100528
"Blackman, Walt (201800417)",Committee to Elect Walt Blackman,State Representative - District 6,Republican,105016.02,121834.769,1574.16,53645.8,792893.22,NA,201800417
"Blanc, Isela (202000061)",Vote Blanc LD26 Senate (Clean Elections),State Senator - District No. 26,Democratic,0,0,0,0,0,NA,202000061
"Blattman, Seth (100185)",Blattman for Arizona,State Senator - District No. 23,Democratic,0,0,0,0,0,NA,100185
"Blattman, Seth (100860)",Blattman for AZ,State Representative - District 9,Democratic,0,0,13672.45,0,0,NA,100860
"Blattman, Seth (100860)",Blattman for AZ,State Representative - District 23,Democratic,14859.64,157.55,13672.45,0,0,NA,100860
"Blattman, Seth (202000059)",Blattman for Arizona,State Senator - District No. 23,Democratic,90772.97,116638.07,80.45,1329.05,0,NA,202000059
"Bliss, Selina (100004)",Selina Bliss for State Representative - District 1 (Clean Elections),State Representative - District 1,Republican,44467.51,42964.07,1632.62,56347.16,0,NA,100004
"Boels, David W(100978)",david Boels for State Representative - District 5,State Representative - District 5,Republican,0,0,0,0,0,NA,100978
"Boesen, Mark (100079)",Mark Boesen for State Representative,State Representative - District 12,Republican,10550,5715.26,5420.33,0,0,NA,100079
"Bolding, Reginald (100126)",Friends of Reginald Bolding,Secretary of State,Democratic,198547.82,113540.95,112977.81,0,0,NA,100126
"Bolding, Reginald (100126)",Friends of Reginald Bolding,State Representative - District 27,Democratic,74889.75,64966.51,112977.81,26211.07,0,NA,100126
"Bolick, Shawnna (201800343)",Vote Bolick,State Representative - District 20,Republican,154466.84,238738.62,44905.51,227971.47,200365.67,NA,201800343
"Bolick, Shawnna Lm(100633)",Shawnna Bolick for Secretary of State,Secretary of State,Republican,0,0,0,0,0,NA,100633
"Bolick, Shawnna Lm(100635)",Vote Bolick,Secretary of State,Republican,156748.7,102570.41,54108.29,0,0,NA,100635
"Borrelli, Sonny (201600293)",BORRELLI SENATE COMMITTEE,State Senator - District No. 5,Republican,22125,14088.18,115439.98,0,0,NA,201600293
"Bowers, Kenneth Robinson(201800240)",Kenneth R.Bowers,Jr,State Representative - District 28,Republican,0,335.4,3.8,0,6.31,201800240
"Bowers, Russell W ""Rusty"" (100066)","RUSSELL W ""RUSTY"" BOWERS for State Representative - District 25",State Representative - District 25,Republican,148188.52,95841.69,109629.47,33728.11,0,NA,100066
"Bowie, Sean (201600080)",Sean Bowie for State Senate,State Senator - District No. 18,Democratic,114648.45,199634.38,11517.08,4262.86,0,NA,201600080
"Boyer, Paul (100003)",Boyer for Senate 2020,State Senator - District No. 20,Republican,150973.12,199938.69,25419.92,395455.06,867310.36,NA,100003
"Bragg Jr, Billy Joe(100763)",Billy Bragg jr for State Representative - District 29,State Representative - District 29,Republican,0,0,0,0,0,NA,100763
"Bragg Jr., Billy (100031)",Bragg for LD29 (Clean Elections),State Representative - District 29,Republican,45448,45603.55,0,0,6.31,NA,100031
"Bragg Jr., Billy Joe(100762)",Billy Bragg Jr.  for State Representative - District 29,State Representative - District 29,Republican,0,0,0,0,0,NA,100762
"Brannies, Maryn M.(100927)",Brannies411 (Clean Elections),State Senator - District No. 27,Republican,535,0,425,0,0,NA,100927
"Bravo, Flavio (100704)",Bravo for Arizona,State Representative - District 26,Democratic,0,0,1922.2,0,0,NA,100704
"Bravo, Flavio (100704)",Bravo for Arizona,State Representative - District 30,Democratic,7037,5114.8,1922.2,0,0,NA,100704
"Bravo, Flavio (100705)",Bravo for Arizona,State Representative - District 30,Democratic,0,0,0,0,0,NA,100705
"Bravo, Flavio (100706)",Bravo for Arizona,State Representative - District 30,Democratic,0,0,0,0,0,NA,100706
"Brophy Mcgee, Kate (201800056)",Kate Brophy McGee AZ - Senate,State Senator - District No. 28,Republican,385831.83,609486.82,0,554979.35,667224.24,NA,201800056
"Burch, Eva (100963)",Eva for Arizona,State Senator - District No. 9,Democratic,0,0,0,0,0,NA,100963
"Burcham, Walter (100194)",Elect Walter Burcham,State Representative - District 1,Republican,0,0,0,0,0,NA,100194
"Burges, Judy (100184)",ElectBurgesDistrict#1,State Representative - District 1,Republican,32683,29541.39,14893.61,22902.5,0,NA,100184
"Butler, Kelli (201600317)",Kelli Butler for Arizona,State Representative - District 28,Democratic,139732.84,149234.87,66599.97,28889.13,0,NA,201600317
"Butts, Michael D(101036)",Michael Butts for State Representative - District 11,State Representative - District 11,NA,0,0,0,0,0,NA,101036
"Cabanillas, Tony (100137)",Tony Cabanillas for State Representative - District 12,State Representative - District 12,Republican,1189.71,1500,0,0,0,NA,100137
"Cadigan, Ryan Thomas(100586)",Cadigan for Arizona,State Representative - District 6,Republican,3932,2726.27,1205.73,0,0,NA,100586
"Cain-Reagan, Mykala Irene(100532)",Mykala Cain-Reagan for Governor,Governor,Democratic,315,475,0,0,0,NA,100532
"Caine, Stan (100649)",Stan Caine for State Senator - District No. 9 (Clean Elections),State Senator - District No. 9,Republican,2656.58,1073.65,1468.35,0,0,NA,100649
"Caine, Stan (100649)",Stan Caine for State Senator - District No. 9 (Clean Elections),State Senator - District No. 18,Republican,0,0,1468.35,0,0,NA,100649
"Campbell, Noel (100838)",Elect Noel Campbell for Senate,State Senator - District No. 1,Republican,101000,8173.34,92826.66,0,0,NA,100838
"Campbell, Noel (201800044)",elect noel campbell for House,State Representative - District 1,Republican,0,20472.1,0,0,0,NA,201800044
"Cano, AndrÈs (201800274)",ANDRES FOR ARIZONA,State Representative - District 3,Democratic,67197.44,76768.9,9309.75,42533.46,5730,NA,201800274
"Cantelme, Nicole Seder(100943)",Vote Nicole,State Representative - District 3,Republican,0,0,0,0,0,NA,100943
"Carpenter, Charles Edward(201800319)",Carpenter for LD 29 State Senate (Clean Elections),State Senator - District No. 29,Libertarian,0,0,0,0,6.31,NA,201800319
"Carpenter, Ted (202000051)",Ted Carpenter (Clean Elections),State Representative - District 28,Republican,0,0,0,0,0,NA,202000051
"Carroll, Crystal (100753)",Crystal Carroll for AZ,State Senator - District No. 28,Republican,25,1.3,0,0,0,NA,100753
"Carroll, Crystal (100753)",Crystal Carroll for AZ,State Representative - District 28,Republican,4991.88,5015.58,0,0,0,NA,100753
"Carroll, Crystal (100756)",Crystal Carroll for State Representative - District 28,State Representative - District 28,Republican,0,0,0,0,0,NA,100756
"Carroll, Frank (202000023)",Vote Frank Carroll,State Senator - District No. 22,Republican,14385,1534.87,27759.42,0,0,NA,202000023
"Carroll, Frank (202000023)",Vote Frank Carroll,State Representative - District 22,Republican,20675,12122.22,27759.42,1249.63,0,NA,202000023
"Carter, Heather (201600191)",VOTE Heather Carter Senate,State Senator - District No. 15,Republican,176127,378776.99,-9742.75,459517.09,216208.39,NA,201600191
"Carter, Neal (100836)",Neal Carter for State Representative - District 8,State Representative - District 8,Republican,500,0,500,0,0,NA,100836
"Carter, Neal (202000018)",Neal Carter for House,State Representative - District 8,Republican,15051.56,23877.33,-100,19102,0,NA,202000018
"Casillas, Carmen (201800194)",Casillas for House  (Clean Elections),State Representative - District 8,Democratic,0,0,0,0,0,NA,201800194
"Casteen, Jeanne (100968)",Casteen for Arizona,State Senator - District No. 20,Democratic,0,0,0,0,0,NA,100968
"Casteen, Jeanne (100970)",Casteen for Arizona,State Senator - District No. 20,Democratic,0,0,0,0,0,NA,100970
"Castro, Teddy (100200)",TEDDY CASTRO for Arizona,State Representative - District 29,Democratic,19125,9741.2,4883.8,120142.08,8000,NA,100200
"Cavero Harnal, Junelle (100948)",Junelle Cavero Harnal for State Senator - District No. 11,State Senator - District No. 11,Democratic,0,0,0,0,0,NA,100948
"Chabin, Tom (100850)",The Committee to Elect Tom Chabin 2022 (Clean Elections),State Representative - District 10,Democratic,200,200,0,0,0,NA,100850
"Chaplik, Joseph (202000013)",Joseph Chaplik For AZ,State Representative - District 23,Republican,332879.02,233422.62,115293.41,8582.28,58632.57,NA,202000013
"Chaston, James Albert(100597)",Chaston for Arizona,State Representative - District 12,Republican,16125,391.6,84519.99,0,0,NA,100597
"Chaston, James Albert(100597)",Chaston for Arizona,State Representative - District 18,Republican,95203,10683.01,84519.99,0,0,NA,100597
"Chavez, Cesar (100558)",Chavez for AZ Senate,State Senator - District No. 29,Democratic,0,0,0,0,0,NA,100558
"Chavez, Cesar (201600552)",Cesar Chavez for Arizona,State Representative - District 29,Democratic,66096,80818.26,273.08,68100.63,0,NA,201600552
"Chavez, Natacha (100904)",Friends of Natacha Chavez,State Representative - District 19,Democratic,6165,1128.58,5036.42,0,0,NA,100904
"Chin, Jae Man(100167)",Jae Chin for State Senator - District No. 26,State Senator - District No. 26,Republican,15950,14746.22,1803.78,0,6.31,NA,100167
"Clark, Kristin (100402)",Write in Kristin Clark,State Representative - District 12,Democratic,3252.75,2621.3,0,743.25,0,NA,100402
"Clark, Sanda (101002)",Sanda Clark for ARIZONA,State Representative - District 19,Democratic,0,0,0,0,0,NA,101002
"Cobb, Regina (100680)",Regina Cobb for State Senator - District No. 5,State Senator - District No. 5,Republican,14187.68,40083.11,-25895.43,0,0,NA,100680
"Cobb, Regina (202000016)",Regina E. Cobb 2020,State Representative - District 5,Republican,60755,48108.3,0,0,0,NA,202000016
"Cobb, Regina E(100501)",REGINA COBB for Arizona,State Treasurer,Republican,9050,48893.58,10156.42,0,0,NA,100501
"Cobb, Regina E(100501)",REGINA COBB for Arizona,State Senator - District No. 5,Republican,50000,0,10156.42,0,0,NA,100501
"Cocchiola, Ed (100224)",Ed Cocchiola for State Representative - District 1 (Clean Elections),State Representative - District 1,Republican,26283.82,27254.92,228.9,0,0,NA,100224
"Contreras, Guadalupe Chavira(201600203)",Contreras for House,State Senator - District No. 19,Democratic,46365,46012.79,10061.06,3600.33,0,NA,201600203
"Contreras, Guadalupe Chavira(201600203)",Contreras for House,State Representative - District 19,Democratic,5950,833.75,10061.06,0,0,NA,201600203
"Contreras, January (201800219)",January for Attorney General,Attorney General,Democratic,0,26255.58,26255.58,0,0,NA,201800219
"Contreras, Patricia (100837)",Contreras for AZ,State Representative - District 18,Democratic,1890,1152.39,737.61,0,0,NA,100837
"Contreraz, Julian James(100084)",Contreraz for Senate LD4 (Clean Elections),State Senator - District No. 4,Republican,0,0,0,0,0,NA,100084
"Cook, David (201800041)",David Cook 4 State House,State Representative - District 8,Republican,70035.03,133156.88,52825.9,68154.98,106321.92,NA,201800041
"Cooper, Lacy (100624)",Lacy Cooper for AZ,Attorney General,Republican,114263.96,62778.47,48384.4,0,0,NA,100624
"Cotton, Constantine Dino(100203)",Dino Cotton for State Representative - District 1,State Representative - District 1,Republican,0,0,0,0,0,NA,100203
"Cushman, Robyn (100378)",Robyn Cushman for State Representative - District 24,State Representative - District 24,Republican,1701.33,1355.41,0,0,6.31,NA,100378
"D'Agostino, Paul (100218)",Paul D'Agostino for State Representative - District 16 (Clean Elections),State Representative - District 16,Republican,0,0,0,0,0,NA,100218
"Dale, Rob (100180)",Dale For AZ (Clean Elections),State Representative - District 20,Democratic,0,0,0,0,0,NA,100180
"Dalessandro, Andrea (201800017)",Dalessandro For AZ 2020 (Clean Elections),State Representative - District 2,Democratic,44440,46614.47,405.86,1605.14,0,NA,201800017
"Daley, Mike (100358)",Buster Johnson for Other,Other,Republican,0,0,0,0,0,NA,100358
"Daniel, Matthew C.(100541)",Ranchers for Responsible Government,Other,Democratic,0,0,0,0,0,NA,100541
"Darrow, Caden Taylor(100783)",Darrow4AZ,State Representative - District 26,Republican,1310,150,1160,0,0,NA,100783
"Davidson, Matthew (100027)",Davidson for Arizona,State Representative - District 26,Democratic,0,0,0,0,0,NA,100027
"Davis, Nathan (100722)","NATHAN DAVIS for State Representative",State Representative - District 9,Democratic,0,0,0,0,0,NA,100722
"Davis, Nathan Alan(100724)",Nathan Davis for State Representative,State Representative - District 9,Democratic,10786,7193.53,3592.47,0,0,NA,100724
"De Los Santos, Oscar (100965)",Oscar for AZ House,State Representative - District 27,Democratic,0,0,0,0,0,NA,100965
"Degrazia, Domingo (100110)",DeGrazia for AZ House - District 10,State Representative - District 10,Democratic,65913.22,68722.91,9094.87,1611.35,0,NA,100110
"Desanti, Neil (201800349)",Desanti for Az,Corporation Commissioner,Republican,293,374.97,105.06,0,0,NA,201800349
"Diaz, Lupe (100805)",Conservatives For Diaz,State Representative - District 14,Republican,50,0,50,0,0,NA,100805
"Diaz, Lupe U(100844)",Conservatives for Diaz,State Representative - District 14,Republican,0,0,0,0,0,NA,100844
"Dicarlo, Van Anthony(100240)",Van DiCarlo for State Senator - District No. 22,State Senator - District No. 22,Republican,637,637,0,0,0,NA,100240
"Dicochea, Daniel (100990)",YOUR Governor Daniel Dicochea,Governor,Democratic,0,0,0,0,0,NA,100990
"Dinges, Sharon Elizabegth(100888)",Sharon Dinges for State Senate,State Senator - District No. 7,Republican,0,0,0,0,0,NA,100888
"Dougherty, John E(100129)",Dougherty for ACC 2020 (Clean Elections),Corporation Commissioner,Democratic,0,0,0,0,0,NA,100129
"Drumm, Jack (100947)",Jack Drumm for Arizona State Senate,State Senator - District No. 24,Democratic,0,0,0,0,0,NA,100947
"Dubauskas, Jan (100650)",Jan Dubauskas for State Senator - District No. 23,State Senator - District No. 23,Republican,158353.44,12845.83,145507.61,0,0,NA,100650
"Dunn, Boyd (100144)",Boyd Dunn for Corporation Commission,Corporation Commissioner,Republican,43060.24,42753.15,10501.37,0,0,NA,100144
"Dunn, Boyd (201600545)",Boyd Dunn 2016,Corporation Commissioner,Republican,0,4778.24,0,0,0,NA,201600545
"Dunn, Timothy (201800489)",Tim Dunn For AZ House,State Representative - District 13,Republican,104415,133400.88,20124.86,47506.77,0,NA,201800489
"Dybvig-Pawelko, Kristin (201800552)",Elect KDP,State Representative - District 15,Democratic,130233.28,128798.05,1359.19,2233.28,0,NA,201800552
"Ectman, Robert Carl(100954)",Ectman for Arizona,Governor,Democratic,0,0,0,0,0,NA,100954
"Ehrhardt, Jack (100295)",Ehrhardt for Mohave County BOS District 4,Other,Democratic,6757.5,6757.5,0,0,0,NA,100295
"Eldridge, Ryan (100578)",Elect Ryan Eldridge,State Senator - District No. 21,Republican,1326.19,1175.28,150.91,0,0,NA,100578
"Eldridge, Ryan Joseph(100323)",Ryan Eldridge for State Senator - District No. 21,State Senator - District No. 21,Republican,0,80605.87,0,0,0,NA,100323
"Ellen, Nora (201600708)",Vote Nora Ellen,State Representative - District 17,Republican,0,2699.03,26764.7,0,0,NA,201600708
"Ellerd, Robert Eugene(100508)",Robert Ellerd for State Representative - District 1,State Representative - District 1,Republican,0,0,0,0,0,NA,100508
"Ellsworth, Susan (100258)",Susan Ellsworth for State Representative - District 17 (Clean Elections),State Representative - District 17,Republican,0,0,0,0,0,NA,100258
"Engel, Kirsten (100493)",Kirsten Engel for State Senate,State Senator - District No. 10,Democratic,0,1241.81,-1241.81,0,0,NA,100493
"Engel, Kirsten (202000003)",Kirsten Engel for State Senate,State Senator - District No. 10,Democratic,59711.9,76897.98,0,77437.67,0,NA,202000003
"Epstein, Denise ""Mitzi"" (100786)",Mitzi Epstein for AZ Senate,State Senator - District No. 12,Democratic,0,0,41433.68,0,0,NA,100786
"Epstein, Denise ""Mitzi"" (100786)",Mitzi Epstein for AZ Senate,State Senator - District No. 18,Democratic,42581.23,1147.55,41433.68,0,0,NA,100786
"Epstein, Denise ""Mitzi"" (201600130)",Mitzi Epstein for AZ.,State Representative - District 18,Democratic,81273.5,94367.69,0,99133.82,0,NA,201600130
"Ervin, Douglas (100033)",Ervin for AZ Senate,State Senator - District No. 20,Democratic,334653.491,303588.32,53934.55,508309.84,256024.13,NA,100033
"Espinoza, Jose Diego(201600202)",Espinoza for Arizona,State Senator - District No. 19,Democratic,0,0,26243.91,0,0,NA,201600202
"Espinoza, Jose Diego(201600202)",Espinoza for Arizona,State Representative - District 19,Democratic,80640,72825.36,26243.91,33458.83,0,NA,201600202
"Evans, Coral (100008)",Coral4AZ,State Representative - District 6,Democratic,782406.75,730324.68,8048.53,478738.58,104783.01,NA,100008
"Evans, Linda A(100686)",Linda Evans for State Representative - District 9 (Clean Elections),State Representative - District 9,Republican,270,267.95,270,0,0,NA,100686
"Fann, Karen (100506)",Karen Fann for State Senator - District No. 1,State Senator - District No. 1,Republican,258081.34,9117.5,248963.84,0,0,NA,100506
"Fann, Karen (201800020)",Elect Karen Fann LD1 Senate,State Senator - District No. 1,Republican,74281.2,75089.52,0,6014.92,0,NA,201800020
"Farnsworth, David Christian(100966)",Farnsworth for Senate,State Senator - District No. 10,Republican,40300,421.7,39878.3,0,0,NA,100966
"Farnsworth, David Christian(201600175)",Farnsworth For Corporation Commission,Corporation Commissioner,Republican,3885,10614.46,0,0,0,NA,201600175
"Fernandez, Brian (100869)",Brian Fernandez for State Senate - District 23,State Senator - District No. 23,Democratic,25,0,25,0,0,NA,100869
"Fernandez, Charlene R(201800049)",Charlene for Arizona,State Representative - District 4,Democratic,96755.11,124055.12,57461.29,70803.67,0,NA,201800049
"Fiehler, Kirk (100921)",Kirk Fiehler for Select Office,State Representative - District 17,Republican,0,0,0,0,0,NA,100921
"Fierro, Nick (100371)",Nick Fierro for State Senator - District No. 16,State Senator - District No. 16,Other,7797.33,3096.5,264.28,0,0,NA,100371
"Fierro, Nick (202000076)",Vote4Fierro,State Representative - District 16,Other,872.83,583.9,0,0,0,NA,202000076
"Fillmore, John (100910)",JOHN FILLMORE for State Senator - District No. 16,State Senator - District No. 16,Republican,0,0,0,0,0,NA,100910
"Fillmore, John (201800264)",Fillmore 2020,State Representative - District 16,Republican,8640,28235.09,19279.44,2000,0,NA,201800264
"Finchem, Mark (100566)",Mark Finchem for Secretary of State,Secretary of State,Republican,662910.16,249865.44,413044.72,0,1418012.2,NA,100566
"Finchem, Mark (202000021)",MARK FINCHEM FOR HOUSE 2020,State Representative - District 11,Republican,54254.01,60325.56,0,47702.43,246879.21,NA,202000021
"Fogel, Mike (100897)",Mike Fogel for State Senator - District No. 1 (Clean Elections),State Senator - District No. 1,Democratic,905,0,905,0,0,NA,100897
"Fokszanskyj-Conti, Helen (100030)",Helen Fokszanskyj-Conti for State Representative - District 29 (Clean Elections),State Representative - District 29,Republican,45218.28,45647.84,0,0,6.31,NA,100030
"Fontes, Adrian (100622)",Fontes for AZ,Secretary of State,Democratic,384773.79,210179.83,174593.96,0,0,NA,100622
"Fox, Jacqueline (100195)",Fox4AZ (Clean Elections),State Representative - District 23,Republican,355,355,0,0,0,NA,100195
"French, Felicia (201800278)",French for Arizona,State Senator - District No. 6,Democratic,651651.61,696567.66,320.79,546508.76,592831.04,NA,201800278
"Friese, Randall S(201800070)",Dr Friese for House 2020,State Representative - District 9,Democratic,43838.24,55098.45,5629.81,0,6.31,NA,201800070
"Gabaldon, Rosanna (202000026)",Elect Gabaldon for Senate,State Senator - District No. 2,Democratic,28745,23779.31,16793.32,11540.06,0,NA,202000026
"Garcia Snyder, Gary (100666)",Gary Garcia Snyder 4 AZ SENATE  (Clean Elections),State Senator - District No. 4,Republican,5974.55,2252.42,3722.13,0,0,NA,100666
"Garcia, Brandon R(100306)",Brandon Garcia for State Senator - District No. 1,State Senator - District No. 1,Democratic,0,0,0,0,0,NA,100306
"Garcia, Wendy L(100095)",Wendy Garcia for State Representative - District 22 (Clean Elections),State Representative - District 22,Democratic,45948,46283,0,0,0,NA,100095
"Garett, Kellyjean (100647)",Make Arizona Strong Vote for KellyJean Garett,Other,Republican,0,0,0,0,0,NA,100647
"Gaynor, Steve (100632)",Gaynor for Governor LLC,Governor,Republican,5009654.62,324441.27,4695799.75,0,0,NA,100632
"Gaynor, Steve (100863)",Steve Gaynor for Governor,Governor,Republican,0,0,0,0,0,NA,100863
"Gebran, Vera (100931)",Vote Vera,State Representative - District 4,Republican,0,0,0,0,0,NA,100931
"Gesell, Stephen Laurence(100887)",Stephen Gesell for State Representative- District 1,State Representative - District 1,Republican,3301.88,0,3000,0,0,NA,100887
"Gier, Anthony (100165)",Anthony Gier 2020,State Senator - District No. 13,Republican,0,0,0,0,0,NA,100165
"Gier, Anthony (100205)",Anthony Gier 2020,State Senator - District No. 13,Republican,0,0,0,0,0,NA,100205
"Gier, Anthony (100678)",Gier for State House,State Representative - District 13,Republican,0,0,0,0,0,NA,100678
"Gillette, John (100639)",John Gillette for State Representative - District 30,State Representative - District 5,Republican,5251.75,2478.93,2772.82,0,0,NA,100639
"Gillette, John (100639)",John Gillette for State Representative - District 30,State Representative - District 30,Republican,0,0,2772.82,0,0,NA,100639
"Girard, Sharon (202000033)",GirardforArizona,State Representative - District 8,Democratic,79330.34,98683.13,0,213706.64,51782.4,NA,202000033
"Glassman, Rodney (100715)",Rodney Glassman for Attorney General Exploratory Committee,Attorney General,Republican,0,0,0,0,0,NA,100715
"Glassman, Rodney (100716)",Glassman for Attorney General,Attorney General,Republican,1266324.68,138549.07,1126980.39,0,0,NA,100716
"Godzich, Lisa (201800318)",Lisa Godzich for House,State Representative - District 16,Republican,18120,29915.23,44.16,0,0,NA,201800318
"Gomez, Bob (100191)",Committee to elect Bob Gomez,State Representative - District 16,Republican,0,0,0,0,0,NA,100191
"Gonzales, Sally (201600425)",Sally Gonzales for Arizona,State Senator - District No. 3,Democratic,0,0,1144.74,0,0,NA,201600425
"Gonzales, Sally Ann(100178)",Sally Gonzales for Arizona - District No. 3,State Senator - District No. 3,Democratic,4900,3830.51,2232.46,2733.94,0,NA,100178
"Gonzales, Sally Ann(100892)",Sally Gonzales for State Senate - District No. 20,State Senator - District No. 20,Democratic,0,0,0,0,0,NA,100892
"Gordon, Mark Robert(201800312)",Mark Robert Gordon For Arizona,Secretary of State,Democratic,325,604.41,17324.65,0,0,NA,201800312
"Gould, Andrew W.(100574)",Andrew Gould for Attorney General,Attorney General,Republican,753552.32,342869.3,407125.97,0,0,NA,100574
"Gowan, David (201800010)",Gowan for Senate,State Senator - District No. 14,Republican,50480.58,36577.58,82936.6,1079.56,0,NA,201800010
"Granillo, Jana Lynn(100182)",Jana Lynn Granillo for State Senate - LD26,State Senator - District No. 26,Democratic,39016,38560.54,1455.46,47322,4000,NA,100182
