name,city,team,sports_league,lng,lat,state_name,state_abbr
Amway Arena,Orlando,Orlando Magic,NBA,-81.3863599942183,28.54882995294,,
Bradley Center,Milwaukee,Milwaukee Bucks,NBA,-87.9173599619926,43.0434600027769,,
American Airlines Center,Dallas,Dallas Mavericks,NBA,-96.8104300050406,32.7906200460783,,
TD Garden Center,Boston,Boston Celtics,NBA,-71.0620599500066,42.3665299187208,,
Pepsi Center,Denver,Denver Nuggets,NBA,-105.007507696523,39.7485294086053,,
Philips Arena,Atlanta,Atlanta Hawks,NBA,-84.3963099839186,33.7572999671198,,
United Center,Chicago,Chicago Bulls,NBA,-87.6741799811212,41.8805900599833,,
Wachovia Center,Philadelphia,Philadelphia 76ers,NBA,-75.172180059562,39.9009699875749,,
IZOD Center,East Rutherfor,New Jersey Nets,NBA,-74.067669958102,40.8116299584559,,
Madison Square Garden,New York,New York Knicks,NBA,-73.9937799572792,40.7505999769074,,
Verizon Center,Washington,Washington Wizards,NBA,-77.0209800724724,38.8983799789529,,
Staples Center,Los Angeles,"Los Angeles Lakers, Clipppers",NBA,-118.267159936182,34.0432100542007,,
Target Center,Minneapolis,Minnesota Timberwolves,NBA,-93.2760900166409,44.9794400286345,,
US Airways Center,Phoenix,Phoenix Suns,NBA,-112.07125003646,33.4459999214592,,
Time Warner Cable Arena,Charlotte,Charlotte Bobcats,NBA,-80.839989962167,35.2237299403845,,
Conseco Fieldhouse,Indianapolis,Indiana Pacers,NBA,-86.1555699766731,39.7640100163492,,
Toyota Center (Houston),Houston,Houston Rockets,NBA,-95.362180046372,29.7507800197821,,
Palace of Auburn Hills,Auburn Hills,Detroit Pistons,NBA,-83.2446699474601,42.6972099326923,,
AT&T Center,San Antonio,San Antonio Spurs,NBA,-98.4376599265643,29.4270299962374,,
Ford Center,Oklahoma City,Oklahoma City Thunder,NBA,-97.5148299340542,35.46346998745,,
Air Canada Centre,Toronto,Toronto Raptors,NBA,-79.3790235376061,43.6434154743447,,
Honda Center,Anaheim,Ducks,NHL,-117.876323544887,33.8062054601794,,
Gila River Arena,Glendale,Coyotes,NHL,-112.262032731604,33.5302864477651,,
TD Gardens,Boston,Bruins,NHL,-71.0629405706732,42.365857931988,,
First Niagara Center,Buffalo,Sabres,NHL,-78.8774686771255,42.8759380971729,,
Scotiabank Saddledome,Calgary,Flames,NHL,-114.05141253096,51.0381938122453,,
PNC Arena,Raleigh,Hurricanes,NHL,-78.7263239020273,35.8042981723344,,
United Center,Chicago,Blackhawks,NHL,-87.6744850802869,41.8812541741009,,
Pepsi Center,Denver,Avalanche,NHL,-105.008011196421,39.7473737547923,,
Nationwide Arena,Columbus,Blue Jackets,NHL,-83.0067341985932,39.9684313891765,,
American Airlines Center,Dallas,Stars,NHL,-96.8112802538187,32.7900634143269,,
Joe Louis Arena,Detroit,Red Wings,NHL,-83.0503731441667,42.3247414657546,,
Rogers Place,Edmonton,Oilers,NHL,-113.496129963105,53.5462711118141,,
BB&T Center,Miami,Panters,NHL,-80.3244158177581,26.1558023617839,,
Staples Center,Los Angeles,Kings,NHL,-118.265582397863,34.043322218022,,
Xcel Energy Center,St.Paul,Wild,NHL,-93.1010749469422,44.9438956009536,,
Bell Centre,Montreal,Canadiens,NHL,-73.5695440110193,45.4969393590673,,
Bridgestone Arena,Nashville,Predators,NHL,-86.7791202848703,36.1601430429188,,
Prudential Center,Newark,Devils,NHL,-74.1701176286633,40.7334033110231,,
Barclays Center,New York,Islanders,NHL,-73.976052235927,40.6834802359298,,
Madison Square Garden,New York,Rangers,NHL,-73.9922329612175,40.7506852082224,,
Canadian Tire Centre,Ottawa,Senators,NHL,-75.9262688309989,45.2959014280875,,
Wells Fargo Center,Philadelphia,Flyers,NHL,-75.1735077340621,39.9052522136771,,
Consol Energy Center,Pittsburgh,Penguins,NHL,-79.9905400567827,40.438831450304,,
SAP Center at San Jose,San Jose,Sharks,NHL,-121.900734114928,37.3320034566793,,
Scottrade Center,St. Louis,Blues,NHL,-90.2019050046422,38.6259430958245,,
Amalie Arena,Tampa Bay,Lightning,NHL,-82.4527746802684,27.9434883513038,,
Air Canada Centre,Toronto,Maple Leafs,NHL,-79.3781832456418,43.6437450228501,,
Rogers Arena,Vancouver,Canucks,NHL,-123.110314908376,49.2779102222136,,
T-Mobile Arena,Las Vegas,Golden Knights,NHL,-115.173177031589,36.1035879892551,,
Verizon Center,Washington,Capitals,NHL,-77.0209605002799,38.8973634580864,,
MTS Centre,Winnipeg,Jets,NHL,-97.1442341807175,49.8932982129921,,
