NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,combined statistical area
"Ponce-Coamo-Santa Isabel, PR CSA",386605.0,,-555555555.0,*****,434
"Portland-Lewiston-South Portland, ME CSA",636767.0,,-555555555.0,*****,438
"Portland-Vancouver-Salem, OR-WA CSA",3152673.0,,-555555555.0,*****,440
"Pueblo-Ca�on City, CO CSA",211687.0,,-555555555.0,*****,444
"Pullman-Moscow, WA-ID CSA",87832.0,,-555555555.0,*****,446
"Quincy-Hannibal, IL-MO CSA",115343.0,,-555555555.0,*****,448
"Raleigh-Durham-Chapel Hill, NC CSA",2154965.0,,-555555555.0,*****,450
"Rapid City-Spearfish, SD CSA",170525.0,,-555555555.0,*****,452
"Redding-Red Bluff, CA CSA",242458.0,,-555555555.0,*****,454
"Reno-Carson City-Fernley, NV CSA",609877.0,,-555555555.0,*****,456
"Richmond-Connersville, IN CSA",89872.0,,-555555555.0,*****,458
"Rochester-Austin, MN CSA",255637.0,,-555555555.0,*****,462
"Rochester-Batavia-Seneca Falls, NY CSA",1167391.0,,-555555555.0,*****,464
"Rockford-Freeport-Rochelle, IL CSA",436541.0,,-555555555.0,*****,466
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",300594.0,,-555555555.0,*****,468
"Rome-Summerville, GA CSA",121641.0,,-555555555.0,*****,470
"Sacramento-Roseville, CA CSA",2562195.0,,-555555555.0,*****,472
"Saginaw-Midland-Bay City, MI CSA",380953.0,,-555555555.0,*****,474
"St. Louis-St. Charles-Farmington, MO-IL CSA",2909977.0,,-555555555.0,*****,476
"Salt Lake City-Provo-Orem, UT CSA",2511156.0,,-555555555.0,*****,482
"San Jose-San Francisco-Oakland, CA CSA",8741191.0,,-555555555.0,*****,488
"San Juan-Carolina, PR CSA",2432066.0,,-555555555.0,*****,490
"Savannah-Hinesville-Statesboro, GA CSA",536669.0,,-555555555.0,*****,496
"Seattle-Tacoma, WA CSA",4691993.0,,-555555555.0,*****,500
"Sioux City-Vermillion, IA-SD-NE CSA",182602.0,,-555555555.0,*****,512
"South Bend-Elkhart-Mishawaka, IN-MI CSA",725706.0,,-555555555.0,*****,515
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",708913.0,,-555555555.0,*****,518
"Springfield-Branson, MO CSA",545081.0,,-555555555.0,*****,520
"Springfield-Greenfield Town, MA CSA",701210.0,,-555555555.0,*****,521
"Springfield-Jacksonville-Lincoln, IL CSA",311939.0,,-555555555.0,*****,522
"State College-DuBois, PA CSA",241659.0,,-555555555.0,*****,524
"Steamboat Springs-Craig, CO CSA",37934.0,,-555555555.0,*****,525
"Tyler-Jacksonville, TX CSA",276918.0,,-555555555.0,*****,540
"Victoria-Port Lavaca, TX CSA",121308.0,,-555555555.0,*****,544
"Virginia Beach-Norfolk, VA-NC CSA",1825246.0,,-555555555.0,*****,545
"Visalia-Porterville-Hanford, CA CSA",610552.0,,-555555555.0,*****,546
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",9665997.0,,-555555555.0,*****,548
"Syracuse-Auburn, NY CSA",732573.0,,-555555555.0,*****,532
"Tallahassee-Bainbridge, FL-GA CSA",406934.0,,-555555555.0,*****,533
"Toledo-Port Clinton, OH CSA",645329.0,,-555555555.0,*****,534
"Tucson-Nogales, AZ CSA",1066306.0,,-555555555.0,*****,536
"Tulsa-Muskogee-Bartlesville, OK CSA",1154917.0,,-555555555.0,*****,538
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",306985.0,,-555555555.0,*****,554
"Wichita-Arkansas City-Winfield, KS CSA",679356.0,,-555555555.0,*****,556
"Williamsport-Lock Haven, PA CSA",153933.0,,-555555555.0,*****,558
"Youngstown-Warren, OH-PA CSA",649491.0,,-555555555.0,*****,566
"Albany-Schenectady, NY CSA",1170877.0,,-555555555.0,*****,104
"Albuquerque-Santa Fe-Las Vegas, NM CSA",1171604.0,,-555555555.0,*****,106
"Amarillo-Borger, TX CSA",284983.0,,125.0,,108
"Appleton-Oshkosh-Neenah, WI CSA",404487.0,,-555555555.0,*****,118
"Asheville-Brevard, NC CSA",483450.0,,-555555555.0,*****,120
"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",6440883.0,,-555555555.0,*****,122
"Bloomington-Pontiac, IL CSA",225585.0,,-555555555.0,*****,145
"Bloomsburg-Berwick-Sunbury, PA CSA",262419.0,,-555555555.0,*****,146
"Boise City-Mountain Home-Ontario, ID-OR CSA",773857.0,,-555555555.0,*****,147
"Bloomington-Bedford, IN CSA",211900.0,,-555555555.0,*****,144
"Boston-Worcester-Providence, MA-RI-NH-CT CSA",8200935.0,,-555555555.0,*****,148
"Bend-Redmond-Prineville, OR CSA",202977.0,,-555555555.0,*****,140
"Birmingham-Hoover-Talladega, AL CSA",1361423.0,,-555555555.0,*****,142
"Buffalo-Cheektowaga, NY CSA",1209256.0,,-555555555.0,*****,160
"Cape Coral-Fort Myers-Naples, FL CSA",1082601.0,,-555555555.0,*****,162
"Cape Girardeau-Sikeston, MO-IL CSA",135866.0,,-555555555.0,*****,164
"Cedar Rapids-Iowa City, IA CSA",437459.0,,-555555555.0,*****,168
"Bowling Green-Glasgow, KY CSA",225772.0,,-555555555.0,*****,150
"Brownsville-Harlingen-Raymondville, TX CSA",443504.0,,-555555555.0,*****,154
"Charleston-Huntington-Ashland, WV-OH-KY CSA",685724.0,,-555555555.0,*****,170
"Charlotte-Concord, NC-SC CSA",2631398.0,,-555555555.0,*****,172
"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",954283.0,,-555555555.0,*****,174
"Chicago-Naperville, IL-IN-WI CSA",9907569.0,,-555555555.0,*****,176
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",2227874.0,,-555555555.0,*****,178
"Cleveland-Akron-Canton, OH CSA",3491528.0,,-555555555.0,*****,184
"Cleveland-Indianola, MS CSA",59124.0,,-555555555.0,*****,185
"Clovis-Portales, NM CSA",69316.0,,-555555555.0,*****,188
"Columbia-Moberly-Mexico, MO CSA",227195.0,,-555555555.0,*****,190
"Columbia-Orangeburg-Newberry, SC CSA",943186.0,,-555555555.0,*****,192
"Columbus-Auburn-Opelika, GA-AL CSA",500837.0,,-555555555.0,*****,194
"Columbus-Marion-Zanesville, OH CSA",2456974.0,,-555555555.0,*****,198
"Columbus-West Point, MS CSA",79245.0,,-555555555.0,*****,200
"Corpus Christi-Kingsville-Alice, TX CSA",525507.0,,181.0,,204
"Dallas-Fort Worth, TX-OK CSA",7696693.0,,-555555555.0,*****,206
"Davenport-Moline, IA-IL CSA",472888.0,,-555555555.0,*****,209
"Dayton-Springfield-Sidney, OH CSA",1077238.0,,-555555555.0,*****,212
"Denver-Aurora, CO CSA",3466374.0,,-555555555.0,*****,216
"DeRidder-Fort Polk South, LA CSA",87776.0,,-555555555.0,*****,217
"Des Moines-Ames-West Des Moines, IA CSA",794413.0,,-555555555.0,*****,218
"Detroit-Warren-Ann Arbor, MI CSA",5340674.0,,-555555555.0,*****,220
"Dixon-Sterling, IL CSA",90923.0,,-555555555.0,*****,221
"Dothan-Enterprise-Ozark, AL CSA",248510.0,,-555555555.0,*****,222
"Eau Claire-Menomonie, WI CSA",211124.0,,-555555555.0,*****,232
"Edwards-Glenwood Springs, CO CSA",130804.0,,-555555555.0,*****,233
"Elmira-Corning, NY CSA",182667.0,,-555555555.0,*****,236
"El Paso-Las Cruces, TX-NM CSA",1057090.0,,-555555555.0,*****,238
"Erie-Meadville, PA CSA",362136.0,,-555555555.0,*****,240
"Fargo-Wahpeton, ND-MN CSA",259634.0,,-555555555.0,*****,244
"Fayetteville-Lumberton-Laurinburg, NC CSA",554049.0,,-555555555.0,*****,246
"Findlay-Tiffin, OH CSA",131165.0,,-555555555.0,*****,248
"Fort Wayne-Huntington-Auburn, IN CSA",627814.0,,-555555555.0,*****,258
"Fresno-Madera, CA CSA",1133143.0,,-555555555.0,*****,260
"Gainesville-Lake City, FL CSA",349868.0,,-555555555.0,*****,264
"Grand Rapids-Wyoming-Muskegon, MI CSA",1446173.0,,-555555555.0,*****,266
"Green Bay-Shawano, WI CSA",363290.0,,-555555555.0,*****,267
"Greensboro--Winston-Salem--High Point, NC CSA",1652283.0,,-555555555.0,*****,268
