NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,metropolitan statistical area/micropolitan statistical area
"Battle Creek, MI Metro Area",134473.0,,-555555555.0,*****,12980
"Bay City, MI Metro Area",104786.0,,-555555555.0,*****,13020
"Bay City, TX Micro Area",36743.0,,-555555555.0,*****,13060
"Beatrice, NE Micro Area",21595.0,,-555555555.0,*****,13100
"Beaumont-Port Arthur, TX Metro Area",409693.0,,-555555555.0,*****,13140
"Beaver Dam, WI Micro Area",87776.0,,-555555555.0,*****,13180
"Beckley, WV Metro Area",120358.0,,-555555555.0,*****,13220
"Bedford, IN Micro Area",45619.0,,-555555555.0,*****,13260
"Beeville, TX Micro Area",32691.0,,-555555555.0,*****,13300
"Bellefontaine, OH Micro Area",45307.0,,-555555555.0,*****,13340
"Bellingham, WA Metro Area",216812.0,,-555555555.0,*****,13380
"Bemidji, MN Micro Area",46117.0,,-555555555.0,*****,13420
"Bend-Redmond, OR Metro Area",180640.0,,-555555555.0,*****,13460
"Bennettsville, SC Micro Area",27131.0,,-555555555.0,*****,13500
"Bennington, VT Micro Area",35920.0,,-555555555.0,*****,13540
"Berlin, NH-VT Micro Area",38246.0,,-555555555.0,*****,13620
"Big Rapids, MI Micro Area",43264.0,,-555555555.0,*****,13660
"Big Stone Gap, VA Micro Area",57975.0,,-555555555.0,*****,13720
"Binghamton, NY Metro Area",243447.0,,-555555555.0,*****,13780
"Birmingham-Hoover, AL Metro Area",1147054.0,,-555555555.0,*****,13820
"Blackfoot, ID Micro Area",45551.0,,-555555555.0,*****,13940
"Blacksburg-Christiansburg-Radford, VA Metro Area",182341.0,,-555555555.0,*****,13980
"Bloomington, IL Metro Area",189261.0,,-555555555.0,*****,14010
"Bloomington, IN Metro Area",166281.0,,-555555555.0,*****,14020
"Bloomsburg-Berwick, PA Metro Area",84514.0,,-555555555.0,*****,14100
"Bluefield, WV-VA Micro Area",102566.0,,-555555555.0,*****,14140
"Blytheville, AR Micro Area",42831.0,,-555555555.0,*****,14180
"Bogalusa, LA Micro Area",46457.0,,-555555555.0,*****,14220
"Boise City, ID Metro Area",693952.0,,-555555555.0,*****,14260
"Bonham, TX Micro Area",34175.0,,-555555555.0,*****,14300
"Boone, IA Micro Area",26399.0,,-555555555.0,*****,14340
"Boone, NC Micro Area",54117.0,,-555555555.0,*****,14380
"Borger, TX Micro Area",21571.0,,-555555555.0,*****,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",4811732.0,,-555555555.0,*****,14460
"Boulder, CO Metro Area",321030.0,,-555555555.0,*****,14500
"Bowling Green, KY Metro Area",172088.0,,-555555555.0,*****,14540
"Bozeman, MT Micro Area",104729.0,,-555555555.0,*****,14580
"Bradford, PA Micro Area",41806.0,,-555555555.0,*****,14620
"Brainerd, MN Micro Area",92877.0,,-555555555.0,*****,14660
"Branson, MO Micro Area",86247.0,,-555555555.0,*****,14700
"Breckenridge, CO Micro Area",30429.0,,-555555555.0,*****,14720
"Bremerton-Silverdale, WA Metro Area",262475.0,,-555555555.0,*****,14740
"Brenham, TX Micro Area",34796.0,,-555555555.0,*****,14780
"Brevard, NC Micro Area",33513.0,,-555555555.0,*****,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",944348.0,,-555555555.0,*****,14860
"Brookhaven, MS Micro Area",34432.0,,-555555555.0,*****,15020
"Brookings, OR Micro Area",22507.0,,-555555555.0,*****,15060
"Brookings, SD Micro Area",34239.0,,-555555555.0,*****,15100
"Brownsville, TN Micro Area",17779.0,,-555555555.0,*****,15140
"Brownsville-Harlingen, TX Metro Area",421750.0,,-555555555.0,*****,15180
"Brownwood, TX Micro Area",37834.0,,-555555555.0,*****,15220
"Brunswick, GA Metro Area",116655.0,,-555555555.0,*****,15260
"Bucyrus, OH Micro Area",42021.0,,-555555555.0,*****,15340
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1131570.0,,-555555555.0,*****,15380
"Burley, ID Micro Area",44230.0,,-555555555.0,*****,15420
"Burlington, IA-IL Micro Area",46484.0,,-555555555.0,*****,15460
"Burlington, NC Metro Area",160576.0,,-555555555.0,*****,15500
"Burlington-South Burlington, VT Metro Area",218042.0,,-555555555.0,*****,15540
"Butte-Silver Bow, MT Micro Area",34814.0,,-555555555.0,*****,15580
"Cadillac, MI Micro Area",48117.0,,-555555555.0,*****,15620
"Calhoun, GA Micro Area",56790.0,,-555555555.0,*****,15660
"California-Lexington Park, MD Metro Area",111531.0,,-555555555.0,*****,15680
"Cambridge, MD Micro Area",32261.0,,-555555555.0,*****,15700
"Cambridge, OH Micro Area",39274.0,,-555555555.0,*****,15740
"Camden, AR Micro Area",29308.0,,-555555555.0,*****,15780
"Campbellsville, KY Micro Area",25500.0,,-555555555.0,*****,15820
"Ca�on City, CO Micro Area",47002.0,,-555555555.0,*****,15860
"Canton, IL Micro Area",35418.0,,-555555555.0,*****,15900
"Canton-Massillon, OH Metro Area",401053.0,,-555555555.0,*****,15940
"Cape Coral-Fort Myers, FL Metro Area",718679.0,,-555555555.0,*****,15980
"Cape Girardeau, MO-IL Metro Area",97137.0,,-555555555.0,*****,16020
"Carbondale-Marion, IL Metro Area",125850.0,,-555555555.0,*****,16060
"Carlsbad-Artesia, NM Micro Area",57437.0,,-555555555.0,*****,16100
"Carroll, IA Micro Area",20344.0,,-555555555.0,*****,16140
"Carson City, NV Metro Area",54467.0,,-555555555.0,*****,16180
"Casper, WY Metro Area",80610.0,,-555555555.0,*****,16220
"Cedar City, UT Micro Area",49691.0,,-555555555.0,*****,16260
"Cedar Rapids, IA Metro Area",268315.0,,-555555555.0,*****,16300
"Cedartown, GA Micro Area",41621.0,,-555555555.0,*****,16340
"Celina, OH Micro Area",40806.0,,-555555555.0,*****,16380
"Central City, KY Micro Area",31081.0,,-555555555.0,*****,16420
"Centralia, IL Micro Area",38084.0,,-555555555.0,*****,16460
"Centralia, WA Micro Area",76947.0,,-555555555.0,*****,16500
"Chambersburg-Waynesboro, PA Metro Area",153751.0,,-555555555.0,*****,16540
"Champaign-Urbana, IL Metro Area",239273.0,,-555555555.0,*****,16580
"Charleston, WV Metro Area",217312.0,,-555555555.0,*****,16620
"Charleston-Mattoon, IL Micro Area",62601.0,,-555555555.0,*****,16660
"Charleston-North Charleston, SC Metro Area",759247.0,,-555555555.0,*****,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2473125.0,,-555555555.0,*****,16740
"Charlottesville, VA Metro Area",230905.0,,-555555555.0,*****,16820
"Chattanooga, TN-GA Metro Area",552043.0,,-555555555.0,*****,16860
"Cheyenne, WY Metro Area",97692.0,,-555555555.0,*****,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9536428.0,,-555555555.0,*****,16980
"Chico, CA Metro Area",227075.0,,-555555555.0,*****,17020
"Chillicothe, OH Micro Area",77051.0,,-555555555.0,*****,17060
"Cincinnati, OH-KY-IN Metro Area",2168825.0,,-555555555.0,*****,17140
"Claremont-Lebanon, NH-VT Micro Area",217300.0,,-555555555.0,*****,17200
"Clarksburg, WV Micro Area",93696.0,,-555555555.0,*****,17220
"Clarksdale, MS Micro Area",23802.0,,-555555555.0,*****,17260
"Clarksville, TN-KY Metro Area",282994.0,,-555555555.0,*****,17300
"Clearlake, CA Micro Area",64148.0,,-555555555.0,*****,17340
"Cleveland, MS Micro Area",32592.0,,-555555555.0,*****,17380
"Cleveland, TN Metro Area",121339.0,,-555555555.0,*****,17420
"Cleveland-Elyria, OH Metro Area",2061766.0,,-555555555.0,*****,17460
"Clewiston, FL Micro Area",40127.0,,-555555555.0,*****,17500
"Clinton, IA Micro Area",47218.0,,-555555555.0,*****,17540
"Clovis, NM Micro Area",50199.0,,-555555555.0,*****,17580
"Coamo, PR Micro Area",39265.0,,-555555555.0,*****,17620
"Coco, PR Micro Area",28633.0,,-555555555.0,*****,17640
"Coeur d'Alene, ID Metro Area",153605.0,,-555555555.0,*****,17660
"Coffeyville, KS Micro Area",32970.0,,-555555555.0,*****,17700
"Coldwater, MI Micro Area",43584.0,,-555555555.0,*****,17740
"College Station-Bryan, TX Metro Area",253946.0,,-555555555.0,*****,17780
"Colorado Springs, CO Metro Area",712266.0,,-555555555.0,*****,17820
"Columbia, MO Metro Area",176515.0,,-555555555.0,*****,17860
"Columbia, SC Metro Area",816664.0,,-555555555.0,*****,17900
"Columbus, GA-AL Metro Area",307724.0,,-555555555.0,*****,17980
"Columbus, IN Metro Area",81893.0,,-555555555.0,*****,18020
"Columbus, MS Micro Area",59437.0,,-555555555.0,*****,18060
"Columbus, NE Micro Area",33063.0,,-555555555.0,*****,18100
"Columbus, OH Metro Area",2054062.0,,-555555555.0,*****,18140
"Concord, NH Micro Area",149452.0,,-555555555.0,*****,18180
"Connersville, IN Micro Area",23259.0,,-555555555.0,*****,18220
"Cookeville, TN Micro Area",110059.0,,-555555555.0,*****,18260
"Coos Bay, OR Micro Area",63308.0,,-555555555.0,*****,18300
"Cordele, GA Micro Area",22846.0,,-555555555.0,*****,18380
"Corinth, MS Micro Area",37180.0,,-555555555.0,*****,18420
"Cornelia, GA Micro Area",44289.0,,-555555555.0,*****,18460
"Corning, NY Micro Area",96927.0,,-555555555.0,*****,18500
"Corpus Christi, TX Metro Area",452295.0,,-555555555.0,*****,18580
"Corsicana, TX Micro Area",48583.0,,-555555555.0,*****,18620
"Cortland, NY Micro Area",48123.0,,-555555555.0,*****,18660
"Corvallis, OR Metro Area",89780.0,,-555555555.0,*****,18700
"Coshocton, OH Micro Area",36574.0,,-555555555.0,*****,18740
"Craig, CO Micro Area",13060.0,,-555555555.0,*****,18780
"Crawfordsville, IN Micro Area",38276.0,,-555555555.0,*****,18820
"Crescent City, CA Micro Area",27424.0,,-555555555.0,*****,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",266595.0,,-555555555.0,*****,18880
"Crossville, TN Micro Area",58634.0,,-555555555.0,*****,18900
"Cullman, AL Micro Area",82313.0,,-555555555.0,*****,18980
"Cullowhee, NC Micro Area",42256.0,,-555555555.0,*****,19000
"Cumberland, MD-WV Metro Area",99255.0,,-555555555.0,*****,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",7255028.0,,-555555555.0,*****,19100
"Dalton, GA Metro Area",143406.0,,-555555555.0,*****,19140
"Danville, IL Metro Area",78407.0,,-555555555.0,*****,19180
"Danville, KY Micro Area",54371.0,,-555555555.0,*****,19220
"Danville, VA Micro Area",103188.0,,-555555555.0,*****,19260
"Daphne-Fairhope-Foley, AL Metro Area",208107.0,,-555555555.0,*****,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",382720.0,,-555555555.0,*****,19340
"Dayton, OH Metro Area",802645.0,,-555555555.0,*****,19380
"Dayton, TN Micro Area",32628.0,,-555555555.0,*****,19420
"Decatur, AL Metro Area",152293.0,,-555555555.0,*****,19460
"Decatur, IL Metro Area",106512.0,,-555555555.0,*****,19500
"Decatur, IN Micro Area",35195.0,,-555555555.0,*****,19540
"Defiance, OH Micro Area",38279.0,,-555555555.0,*****,19580
"Del Rio, TX Micro Area",49027.0,,-555555555.0,*****,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",634773.0,,-555555555.0,*****,19660
"Deming, NM Micro Area",24264.0,,-555555555.0,*****,19700
"Denver-Aurora-Lakewood, CO Metro Area",2850221.0,,-555555555.0,*****,19740
"DeRidder, LA Micro Area",36769.0,,-555555555.0,*****,19760
"Des Moines-West Des Moines, IA Metro Area",634201.0,,-555555555.0,*****,19780
"Detroit-Warren-Dearborn, MI Metro Area",4317179.0,,-555555555.0,*****,19820
"Dickinson, ND Micro Area",30876.0,,-555555555.0,*****,19860
"Dixon, IL Micro Area",34527.0,,-555555555.0,*****,19940
"Dodge City, KS Micro Area",34484.0,,-555555555.0,*****,19980
"Dothan, AL Metro Area",147967.0,,-555555555.0,*****,20020
"Douglas, GA Micro Area",42961.0,,-555555555.0,*****,20060
"Dover, DE Metro Area",174822.0,,-555555555.0,*****,20100
"Dublin, GA Micro Area",57148.0,,-555555555.0,*****,20140
"DuBois, PA Micro Area",80216.0,,-555555555.0,*****,20180
"Dubuque, IA Metro Area",96802.0,,-555555555.0,*****,20220
"Duluth, MN-WI Metro Area",279022.0,,-555555555.0,*****,20260
"Dumas, TX Micro Area",21801.0,,-555555555.0,*****,20300
"Duncan, OK Micro Area",43983.0,,-555555555.0,*****,20340
"Dunn, NC Micro Area",130361.0,,-555555555.0,*****,20380
"Durango, CO Micro Area",55101.0,,-555555555.0,*****,20420
"Durant, OK Micro Area",45759.0,,-555555555.0,*****,20460
"Durham-Chapel Hill, NC Metro Area",558491.0,,-555555555.0,*****,20500
"Dyersburg, TN Micro Area",37576.0,,-555555555.0,*****,20540
"Eagle Pass, TX Micro Area",57970.0,,-555555555.0,*****,20580
"Easton, MD Micro Area",37211.0,,-555555555.0,*****,20660
"East Stroudsburg, PA Metro Area",167586.0,,-555555555.0,*****,20700
"Eau Claire, WI Metro Area",166626.0,,-555555555.0,*****,20740
"Edwards, CO Micro Area",54357.0,,-555555555.0,*****,20780
"Effingham, IL Micro Area",34174.0,,-555555555.0,*****,20820
"El Campo, TX Micro Area",41551.0,,-555555555.0,*****,20900
"El Centro, CA Metro Area",180216.0,,-555555555.0,*****,20940
"El Dorado, AR Micro Area",39732.0,,-555555555.0,*****,20980
"Elizabeth City, NC Micro Area",63385.0,,-555555555.0,*****,21020
"Elizabethtown-Fort Knox, KY Metro Area",150577.0,,-555555555.0,*****,21060
"Elk City, OK Micro Area",22621.0,,-555555555.0,*****,21120
"Elkhart-Goshen, IN Metro Area",203604.0,,-555555555.0,*****,21140
"Elkins, WV Micro Area",29065.0,,-555555555.0,*****,21180
"Ellensburg, WA Micro Area",44825.0,,-555555555.0,*****,21260
"Elmira, NY Metro Area",85740.0,,-555555555.0,*****,21300
"El Paso, TX Metro Area",841752.0,,-555555555.0,*****,21340
"Emporia, KS Micro Area",33299.0,,-555555555.0,*****,21380
"Enid, OK Metro Area",62190.0,,-555555555.0,*****,21420
"Enterprise, AL Micro Area",51288.0,,-555555555.0,*****,21460
"Erie, PA Metro Area",275972.0,,-555555555.0,*****,21500
"Escanaba, MI Micro Area",36190.0,,-555555555.0,*****,21540
"Espa�ola, NM Micro Area",39307.0,,-555555555.0,*****,21580
"Eugene, OR Metro Area",368882.0,,-555555555.0,*****,21660
"Eureka-Arcata-Fortuna, CA Micro Area",135768.0,,-555555555.0,*****,21700
"Evanston, WY Micro Area",20609.0,,-555555555.0,*****,21740
"Evansville, IN-KY Metro Area",314967.0,,-555555555.0,*****,21780
"Fairbanks, AK Metro Area",99653.0,,-555555555.0,*****,21820
"Fairfield, IA Micro Area",18077.0,,-555555555.0,*****,21840
"Fairmont, MN Micro Area",19964.0,,-555555555.0,*****,21860
"Fairmont, WV Micro Area",56497.0,,-555555555.0,*****,21900
"Fallon, NV Micro Area",24010.0,,-555555555.0,*****,21980
"Fargo, ND-MN Metro Area",237003.0,,-555555555.0,*****,22020
"Faribault-Northfield, MN Micro Area",65765.0,,-555555555.0,*****,22060
"Farmington, MO Micro Area",66342.0,,-555555555.0,*****,22100
"Farmington, NM Metro Area",127455.0,,-555555555.0,*****,22140
"Fayetteville, NC Metro Area",385345.0,,-555555555.0,*****,22180
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",526412.0,,-555555555.0,*****,22220
"Fergus Falls, MN Micro Area",57992.0,,-555555555.0,*****,22260
"Fernley, NV Micro Area",53155.0,,-555555555.0,*****,22280
"Findlay, OH Micro Area",75690.0,,-555555555.0,*****,22300
"Fitzgerald, GA Micro Area",17154.0,,-555555555.0,*****,22340
"Flagstaff, AZ Metro Area",140217.0,,-555555555.0,*****,22380
"Flint, MI Metro Area",409361.0,,-555555555.0,*****,22420
"Florence, SC Metro Area",205814.0,,-555555555.0,*****,22500
"Florence-Muscle Shoals, AL Metro Area",147080.0,,-555555555.0,*****,22520
"Fond du Lac, WI Metro Area",102315.0,,-555555555.0,*****,22540
"Forest City, NC Micro Area",66532.0,,-555555555.0,*****,22580
"Forrest City, AR Micro Area",26294.0,,-555555555.0,*****,22620
"Fort Collins, CO Metro Area",338161.0,,-555555555.0,*****,22660
"Fort Dodge, IA Micro Area",36757.0,,-555555555.0,*****,22700
"Fort Leonard Wood, MO Micro Area",52591.0,,-555555555.0,*****,22780
"Fort Madison-Keokuk, IA-IL-MO Micro Area",59453.0,,-555555555.0,*****,22800
"Fort Morgan, CO Micro Area",28257.0,,-555555555.0,*****,22820
"Fort Payne, AL Micro Area",71200.0,,-555555555.0,*****,22840
"Fort Polk South, LA Micro Area",51007.0,,-555555555.0,*****,22860
"Fort Smith, AR-OK Metro Area",281201.0,,-555555555.0,*****,22900
"Fort Wayne, IN Metro Area",431612.0,,-555555555.0,*****,23060
"Frankfort, IN Micro Area",32301.0,,-555555555.0,*****,23140
"Frankfort, KY Micro Area",72510.0,,-555555555.0,*****,23180
"Fredericksburg, TX Micro Area",26208.0,,-555555555.0,*****,23240
"Freeport, IL Micro Area",45433.0,,-555555555.0,*****,23300
"Fremont, NE Micro Area",36683.0,,-555555555.0,*****,23340
"Fremont, OH Micro Area",59299.0,,-555555555.0,*****,23380
"Fresno, CA Metro Area",978130.0,,-555555555.0,*****,23420
"Gadsden, AL Metro Area",102939.0,,-555555555.0,*****,23460
"Gaffney, SC Micro Area",56711.0,,-555555555.0,*****,23500
"Gainesville, FL Metro Area",280763.0,,-555555555.0,*****,23540
"Gainesville, GA Metro Area",195961.0,,-555555555.0,*****,23580
"Gainesville, TX Micro Area",39571.0,,-555555555.0,*****,23620
"Galesburg, IL Micro Area",50999.0,,-555555555.0,*****,23660
"Gallup, NM Micro Area",72849.0,,-555555555.0,*****,23700
"Garden City, KS Micro Area",40889.0,,-555555555.0,*****,23780
"Gardnerville Ranchos, NV Micro Area",47828.0,,-555555555.0,*****,23820
"Georgetown, SC Micro Area",61605.0,,-555555555.0,*****,23860
"Gettysburg, PA Metro Area",102023.0,,-555555555.0,*****,23900
"Gillette, WY Micro Area",47708.0,,-555555555.0,*****,23940
"Glasgow, KY Micro Area",53684.0,,-555555555.0,*****,23980
"Glens Falls, NY Metro Area",126308.0,,-555555555.0,*****,24020
"Glenwood Springs, CO Micro Area",76447.0,,-555555555.0,*****,24060
"Gloversville, NY Micro Area",53743.0,,-555555555.0,*****,24100
"Goldsboro, NC Metro Area",124002.0,,-555555555.0,*****,24140
"Grand Forks, ND-MN Metro Area",101991.0,,-555555555.0,*****,24220
"Grand Island, NE Metro Area",84729.0,,-555555555.0,*****,24260
"Grand Junction, CO Metro Area",149998.0,,-555555555.0,*****,24300
"Grand Rapids, MN Micro Area",45203.0,,-555555555.0,*****,24330
"Grand Rapids-Wyoming, MI Metro Area",1050440.0,,-555555555.0,*****,24340
"Grants, NM Micro Area",26978.0,,-555555555.0,*****,24380
"Grants Pass, OR Metro Area",85481.0,,-555555555.0,*****,24420
"Great Bend, KS Micro Area",26791.0,,-555555555.0,*****,24460
"Great Falls, MT Metro Area",81746.0,,-555555555.0,*****,24500
"Greeley, CO Metro Area",295123.0,,-555555555.0,*****,24540
"Green Bay, WI Metro Area",317702.0,,-555555555.0,*****,24580
"Greeneville, TN Micro Area",68669.0,,-555555555.0,*****,24620
"Greenfield Town, MA Micro Area",70935.0,,-555555555.0,*****,24640
"Greensboro-High Point, NC Metro Area",757810.0,,-555555555.0,*****,24660
"Greensburg, IN Micro Area",26552.0,,-555555555.0,*****,24700
"Greenville, MS Micro Area",47086.0,,-555555555.0,*****,24740
"Greenville, NC Metro Area",177372.0,,-555555555.0,*****,24780
"Greenville, OH Micro Area",51734.0,,-555555555.0,*****,24820
"Greenville-Anderson-Mauldin, SC Metro Area",883853.0,,-555555555.0,*****,24860
"Greenwood, MS Micro Area",39933.0,,-555555555.0,*****,24900
"Greenwood, SC Micro Area",94921.0,,-555555555.0,*****,24940
"Grenada, MS Micro Area",21278.0,,-555555555.0,*****,24980
"Guayama, PR Metro Area",77151.0,,-555555555.0,*****,25020
"Gulfport-Biloxi-Pascagoula, MS Metro Area",391293.0,,-555555555.0,*****,25060
"Guymon, OK Micro Area",21121.0,,-555555555.0,*****,25100
"Hagerstown-Martinsburg, MD-WV Metro Area",263306.0,,-555555555.0,*****,25180
"Hammond, LA Metro Area",130504.0,,-555555555.0,*****,25220
"Hanford-Corcoran, CA Metro Area",150075.0,,-555555555.0,*****,25260
"Hannibal, MO Micro Area",38889.0,,-555555555.0,*****,25300
"Harrisburg-Carlisle, PA Metro Area",567872.0,,-555555555.0,*****,25420
"Harrison, AR Micro Area",45136.0,,-555555555.0,*****,25460
"Harrisonburg, VA Metro Area",132835.0,,-555555555.0,*****,25500
"Hartford-West Hartford-East Hartford, CT Metro Area",1209367.0,,-555555555.0,*****,25540
"Hastings, NE Micro Area",31583.0,,-555555555.0,*****,25580
"Hattiesburg, MS Metro Area",148768.0,,-555555555.0,*****,25620
"Hays, KS Micro Area",28878.0,,-555555555.0,*****,25700
"Heber, UT Micro Area",30523.0,,-555555555.0,*****,25720
"Helena, MT Micro Area",78855.0,,-555555555.0,*****,25740
"Helena-West Helena, AR Micro Area",19034.0,,-555555555.0,*****,25760
"Henderson, NC Micro Area",44482.0,,-555555555.0,*****,25780
"Hereford, TX Micro Area",18899.0,,-555555555.0,*****,25820
"Hermiston-Pendleton, OR Micro Area",88113.0,,-555555555.0,*****,25840
"Hickory-Lenoir-Morganton, NC Metro Area",365339.0,,-555555555.0,*****,25860
"Hillsdale, MI Micro Area",45830.0,,-555555555.0,*****,25880
"Hilo, HI Micro Area",197658.0,,-555555555.0,*****,25900
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",210558.0,,-555555555.0,*****,25940
"Hinesville, GA Metro Area",80264.0,,-555555555.0,*****,25980
"Hobbs, NM Micro Area",70126.0,,-555555555.0,*****,26020
"Holland, MI Micro Area",115250.0,,-555555555.0,*****,26090
"Homosassa Springs, FL Metro Area",143087.0,,-555555555.0,*****,26140
"Hood River, OR Micro Area",23131.0,,-555555555.0,*****,26220
"Hope, AR Micro Area",30458.0,,-555555555.0,*****,26260
"Hot Springs, AR Metro Area",98296.0,,-555555555.0,*****,26300
"Houghton, MI Micro Area",38490.0,,-555555555.0,*****,26340
"Houma-Thibodaux, LA Metro Area",210801.0,,-555555555.0,*****,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",6779104.0,,-555555555.0,*****,26420
"Hudson, NY Micro Area",60919.0,,-555555555.0,*****,26460
"Huntingdon, PA Micro Area",45421.0,,-555555555.0,*****,26500
"Huntington, IN Micro Area",36378.0,,-555555555.0,*****,26540
"Huntington-Ashland, WV-KY-OH Metro Area",358234.0,,-555555555.0,*****,26580
