,position,total
109,ANIMAL CONTROL OFIREFIGHTERICER,3
110,APP. FIREFIGHTER VACANT,4
111,APPRENTICE FIRE,3
112,APPRENTICE FIRE FIGHTER,7
113,APPRENTICE FIRE FIGHTER/EMERGENCY MEDICAL TECHNICIAN,12
114,APPRENTICE FIRE FIGHTER/EMT,8
115,APPRENTICE FIRE FIGHTER/PARAMEDIC,14
116,APPRENTICE FIREFIGHTER,235
117,APPRENTICE FIREFIGHTER           SHIFT HRS,19
118,APPRENTICE FIREFIGHTER           SHIFT HRS.,7
119,APPRENTICE FIREFIGHTER/PARAMEDIC,4
120,ASSIST FIRE CHIEF,40
121,ASSIST FIRE CHIEF U,7
122,ASSISTANCE FIRE CHIEF GROUP I,1
123,ASSISTANCE FIRE CHIEF-EXEMPT,4
124,ASSISTANT  FIRE CHIEF,3
125,ASSISTANT CHF OF DEPT. (FIRE DEPT.),12
126,"ASSISTANT CHIEF FINANCIAL MANAGEMENT, FIRE",16
127,ASSISTANT CHIEF OF DEPARTMENT (FIRE DEPARTMENT),7
128,"ASSISTANT CHIEF OF DEPARTMENT, (FIRE DEP",2
129,"ASSISTANT CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",9
130,ASSISTANT CHIEF OF DEPT. (FIRE DEPT.),6
131,ASSISTANT CHIEF OF FIRE DEPARTMENT,1
132,"ASSISTANT CHIEF, FIRE FLEET SERVICES",24
133,"ASSISTANT CHIEF, HEALTH HAZARDOUS MATERIALS, FIRE",30
134,"ASSISTANT CHIEF, LIFEGUARD SERVICES, FIRE",11
135,"ASSISTANT CHIEF,FIRE FLEET SERVICES",2
136,ASSISTANT CHIEF/FIRE MARSHAL,4
137,ASSISTANT CHIEF/FIRE MARSHL,1
138,ASSISTANT CHIEF/FIRE PREVENTION,3
139,ASSISTANT CITY MANAGER/FIRE CHIEF,1
140,ASSISTANT CM/FIRE CHIEF,1
141,ASSISTANT COUNTY FIRE CHIEF,6
142,ASSISTANT COUNTY FIRE MARSHAL,4
143,ASSISTANT DEPARTMENT LEADER-FIRE,10
144,ASSISTANT FIRE CHIEF,599
145,ASSISTANT FIRE CHIEF (VOLUNTEER),1
146,ASSISTANT FIRE CHIEF - 56.3,4
147,ASSISTANT FIRE CHIEF - TEMP,1
148,ASSISTANT FIRE CHIEF - TEMPORARY,2
149,ASSISTANT FIRE CHIEF - VOLUNTEER,2
150,ASSISTANT FIRE CHIEF PART-TIME,1
151,ASSISTANT FIRE CHIEF VOLUNTEER,1
152,ASSISTANT FIRE CHIEF-EXEMPT,2
153,ASSISTANT FIRE CHIEF-RETIREE,1
154,ASSISTANT FIRE MARSHAL,96
155,ASSISTANT FIRE MARSHAL (TEMP/SEAS/PERDIEM/UNSHED),1
156,ASSISTANT FIRE MARSHAL-HAZ MAT,5
157,ASSISTANT FIRE MARSHAL-NON SWORN,11
158,ASSISTANT FIRE MARSHAL/CIV,5
159,ASSISTANT FIRE MARSHAL/CIVIL,2
160,ASSISTANT FIRE MARSHALL,16
161,ASSISTANT FIRECHIEF,1
162,ASSISTANT GENERAL MANAGER FIRE & POLICE PENSION SYSTEM,4
163,ASSISTANT GENERAL MANAGER FIRE AND POLICE PENSION SYSTEM,2
164,ASSISTANT TO FIRE CHIEF,5
165,ASSISTANT TO THE FIRE CHIEF,10
166,ASSISTANT VOL FIRE CHIEF,1
167,ASSIT. FIRE CHIEF,1
168,ASSOC FIRE PROTECTION ENGINEER,1
169,ASSOCIATE FIRE PROGRAM ENGINEER,3
170,ASSOCIATE FIRE PROGRAM ENGINEER I/II,2
171,ASSOCIATE FIRE PROTECTION ENGINEER,2
172,ASST CHF OF DEPT (FIRE DEPT),17
173,"ASST CHF,FINANCIAL MANAGEMENT,FIRE",2
174,"ASST CHIEF,LIFEGUARD SERVICES,FIRE",2
175,ASST CHIEF/FIRE MARSHAL,1
176,ASST CHIEF/FIRE MARSHL,3
177,ASST CHIEF/FIRE PREVENTION,2
178,ASST DEPT LDR-FIRE,1
179,ASST FIRE CHIEF,30
180,ASST FIRE CHIEF GROUP I,4
181,ASST FIRE CHIEF-EXEMPT,25
182,ASST FIRE CHIEF-SPECIAL DIST,1
183,ASST FIRE MARSHAL,6
184,ASST FIRE MARSHAL-HAZ MAT,4
185,ASST FIRE MARSHAL/CIV,4
186,ASST FIRE MARSHALL,1
187,ASST TO THE FIRE CHIEF,4
188,ASST. FIRE CHIEF,46
189,ASST. FIRE CHIEF VOLUNTEER,1
190,ASST. FIRE MARSHAL,2
191,ASST. VOLUNTEER FIRE CHIEF,1
192,AT THE FIRE HOUSE,1
193,AT THE FIREHOUSE,2
194,AT THE FIREHOUSE: NEWSPAPER ACTIVITIES LOG,2
195,AUXILIARY FIREFIGHTER,6
196,B150 FIRE CHIEF,7
197,BATALLION CHIEF/FIRE MARSHAL,2
198,BATT CHIEF/FIRE MARSHAL,1
199,BATT CHIEF/FIRE MARSHALL,1
200,BATT. FIRE CHIEF,2
201,BATTALION CHIEF / FIRE MARSHALL,1
202,"BATTALION CHIEF, (FIRE DEPARTMENT)",83
203,"BATTALION CHIEF, FIRE SUPPRESS",214
204,"BATTALION CHIEF, FIRE SUPPRESSION",35
205,BATTALION CHIEF/FIRE CAPTAIN,1
206,BATTALION CHIEF/FIRE MARSHAL,1
207,BATTALION CHIEF/FIRE MARSHALL,4
208,BATTALION FIRE CHIEF,6
209,BATTALION FIRE CHIEF (56 HOURS/WEEKS),3
210,BATTALION FIRE CHIEF (56 HOURS/WORK),3
211,BATTALION FIRE CHIEF (56 HRS./WK),3
212,BATTALION FIRE CHIEF (56 HRS/WK),24
213,BATTALION FIRE CHIEF (NE),1
214,BATTALION FIRE CHIEF - 40 HOUR,1
215,BATTALION FIRE CHIEF/FIRE MARSHAL,4
216,BATTALLION CHIEF/FIRE MARSHALL,2
217,"BATTLION CHIEF, FIRE SUPPRESSI",39
218,BC/FIRE MARSHAL,5
219,BC/FIRE MARSHALL,1
220,BLDG/FIRE,2
221,BUILDING/FIRE,1
222,C306 FIRE MARSHAL,6
223,C319 DEPUTY FIRE CHIEF,7
224,"CALL FIRE FIGHTER SUPERVISOR, NC",12
225,"CALL FIRE FIGHTER SUPERVISOR,NC",31
226,"CALL FIRE FIGHTER,NC",82
227,"CALL FIREFIGHTER, NC",400
228,CALL FIREMAN,19
229,CALL PAID FIREFIGHTER,100
230,CALL-PAID FIREFIGHTER,3
231,"CAPT,FIRE PREV OR FIRE INVSGTN",21
232,CAPT. FIRE PREV OR FIRE INVSGTN,7
233,CAPT. FIREFIGHTER,2
234,CAPT. FIREFIGHTER PARA,2
235,CAPT. FIREFIGHTER-PARA,9
236,CAPT. FIREFIGHTER/PARA,4
237,CAPTAIN FIRE FIGHTER,1
238,CAPTAIN FIREFIGHTER PARAMEDIC,7
239,CAPTAIN FIREFIGHTER-PAR A,2
240,CAPTAIN FIREFIGHTER-PARA,8
241,CAPTAIN OF FIRE DEPARTMENT,449
242,"CAPTAIN, (FIRE DEPARTMENT)",130
243,"CAPTAIN, BUREAU OF FIRE PREVENTION & PUBLIC SAFETY",1
244,"CAPTAIN, BUREAU OF FIRE PREVENTION AND PUBLIC SAFE",1
245,"CAPTAIN, FIRE PREV OR FIRE INVESTIGATION",7
246,"CAPTAIN, FIRE PREVENTION OR FIRE INVESTIGATION",7
247,"CAPTAIN, FIRE SUPPRESSION",579
248,"CAPTAIN, LIFEGUARD SERVICES, FIRE",307
249,"CAPTAIN,LIFEGUARD SERVICES,FIRE",32
250,CAPTAIN/DEPUTY FIRE MARSHAL,5
251,CAPTAIN/FIRE FIGHTER/PARAMEDIC,8
252,CAPTAIN/PARAMEDIC/FIREFIGHTER,3
253,"CHF,HEALTH HAZARDOUS MATERIALS,FIRE",1
254,"CHIEF DEPUTY, BUSINESS OPNS, FIRE (UC)",5
255,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)",14
256,"CHIEF DEPUTY,BUSINESS OPNS,FIRE(UC)",1
257,"CHIEF DEPUTY,EMER OPNS,FIRE(UC)",2
258,CHIEF ENGINEER FIRE DEPARTMENT,3
259,CHIEF FIRE EMERGENCY MED SERVICES,1
260,CHIEF FIRE EMERGENCY MED SVCS,2
261,CHIEF FIRE ENFORCEMENT OFFICER,2
262,CHIEF FIRE INVESTIGATOR,6
263,"CHIEF MATERIALS MANAGEMENT, FIRE",6
264,"CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",3
265,CHIEF OF FIRE,10
266,CHIEF OF FIRE DEPARTMENT,7
267,"CHIEF, FINANCIAL MANAGEMENT, FIRE",8
268,"CHIEF, FIRE DEPARTMENT",7
269,"CHIEF, FIRE FLEET SERVICES",8
270,"CHIEF, HEALTH HAZARDOUS MATERIALS, FIRE",3
271,"CHIEF, LIFEGUARD SERVICES, FIRE",10
272,"CHIEF, STAFF SUPPORT OPERATIONS, FIRE",1
273,"CHIEF,FINANCIAL MANAGEMENT,FIRE",1
274,"CHIEF,FIRE FLEET SERVICES",1
275,"CHIEF,HEALTH HAZARDOUS MATERIALS, FIRE",6
276,"CHIEF,LIFEGUARD SERVICES,FIRE",1
277,"CHIEF,MATERIALS MANAGEMENT,FIRE",1
278,"CHIEF,STAFF SUPPORT OPERATIONS,FIRE",1
279,CITY TEMPORARY WORKER - FIRE INSPECTOR,1
280,CIVILIAN FIRE MARSHAL,2
281,CIVILIAN FIRE MARSHALL,6
282,CIVILIAN FIRE PREVENTION INSPECTOR,10
283,CO FIRE CHEIF/EMERG SRVC COORD,2
284,CO FIRE CHIEF/EMERG SERVICE COORDINATOR,1
285,CO FIRE CHIEF/EMERG SRVC COORD,4
286,CO FIRE CHIEF/EMERG SRVC COORDINATOR,1
287,CO FIRE CHIEF/EMERGENCY SERVICE COORDINATOR,1
288,CODE/FIRE INSPECTOR,5
289,COLUMBIA FIRE DISTRICT,13
290,COMMUNICATIONS CENTER SUPERVISOR-FIRE,1
291,COMMUNICATIONS CTR SUPV-FIRE,3
292,COMMUNICATIONS OPERATOR - FIRE,32
293,COMMUNITY FIRE RISK REDUCTION SUPERVISOR,6
294,"COMPLIANCE OFFICER, FIRE",8
295,"COMPLIANCE OFFICER,FIRE",1
296,CONTRACT DEPUTY FIRE MARSHAL I,3
297,CONTRACT FIRE CHIEF,1
298,CONTRACT FIREFIGHTER,6
299,CONTRACT FIREFIGHTER/EMT,1
300,COUNTY FIRE CHIEF,23
301,COUNTY FORESTER & FIRE WARDEN,11
302,COVER FIREFIGHTER,7
303,DEP CHF OF DEPT (FIRE DEPT),8
304,DEP CHF OF DEPT. (FIRE DEPT.),4
305,DEP CHIEF OF DEPARTMENT (FIRE DEPARTMENT),2
306,DEP CHIEF OF DEPT. (FIRE DEPT.),3
307,DEP DIR OF C&E DEVELOPMENT-FIRE PREV,1
308,DEP FIRE CHIEF,8
309,DEP FIRE CHIEF - FIRE MARSHAL,2
310,DEP FIRE CHIEF I,14
311,DEP FIRE CHIEF II,9
312,DEP FIRE CHIEF-FIRE MARSHAL,1
313,DEP FIRE MARSH,7
314,DEP FIRE MARSHAL,4
315,DEP FIRE MARSHALL,2
316,DEP. FIRE MARSHAL,1
317,DEPARTMENT/CORPORATE LEADER-FIRE,9
318,DEPT SPEC/ FIRE CHIEF,1
319,DEPT. FIRE CHIEF I,1
320,DEPT. FIRE CHIEF II,1
321,DEPT/CORP LDR-FIRE,1
322,DEPTY CHIEF/FIRE TRAINING OFFR,1
323,DEPUTY CHIEF - FIRE PREVENTION,1
324,DEPUTY CHIEF FIRE SERVICES,11
325,"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPART",2
326,"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",2
327,"DEPUTY CHIEF OF DEPARTMENT,(FIRE DEPARTMENT)",3
328,DEPUTY CHIEF OF FIRE DEPARTMENT,28
329,"DEPUTY CHIEF, FIRE PREVENTION",1
330,DEPUTY CHIEF/FIRE MARSHAL,1
331,DEPUTY DIRECTOR - FIRE ADMINISTRATION,2
332,DEPUTY DIRECTOR OF C&E DEVL-FIRE PREV,1
333,DEPUTY DIRECTOR OF COMMUNITY &ECONOMIC DEVELOPMENT-FIRE PREVENTION,1
334,DEPUTY DIRECTOR OF FIRE,1
335,"DEPUTY DIRECTOR, COUNTY FIRE DEPARTMENT - ADMINISTRATION",6
336,"DEPUTY DIRECTOR, COUNTY FIRE DEPARTMENT-ADMINISTRATOR",2
337,DEPUTY FIRE CHIEF,670
338,DEPUTY FIRE CHIEF ( C ),7
339,DEPUTY FIRE CHIEF ( C&U ),2
340,DEPUTY FIRE CHIEF (40 HR),17
341,DEPUTY FIRE CHIEF (40 HR.),2
342,DEPUTY FIRE CHIEF (C&U),9
343,DEPUTY FIRE CHIEF (C),1
344,DEPUTY FIRE CHIEF (INTERIM),2
345,DEPUTY FIRE CHIEF (RM),3
346,DEPUTY FIRE CHIEF - 40 HR,6
347,DEPUTY FIRE CHIEF - EMT,4
348,DEPUTY FIRE CHIEF - EXEMPT,4
349,DEPUTY FIRE CHIEF 10%,2
350,DEPUTY FIRE CHIEF 40 HR,3
351,DEPUTY FIRE CHIEF 5%,15
352,DEPUTY FIRE CHIEF 5% 24 HOUR,1
353,DEPUTY FIRE CHIEF I,1
354,DEPUTY FIRE CHIEF II,1
355,DEPUTY FIRE CHIEF P/T,1
356,DEPUTY FIRE CHIEF PART TIME,1
357,DEPUTY FIRE CHIEF U,27
358,DEPUTY FIRE CHIEF W/STIP,8
359,"DEPUTY FIRE CHIEF, BUSINESS OPNS (UC)",8
360,"DEPUTY FIRE CHIEF, EMER OPNS (UC)",65
361,"DEPUTY FIRE CHIEF,BUSINESS OPNS(UC)",1
362,"DEPUTY FIRE CHIEF,EMER OPNS(UC)",6
363,DEPUTY FIRE CHIEF-C,39
364,DEPUTY FIRE CHIEF-EMT,2
365,DEPUTY FIRE CHIEF-FIRE MARSHAL,1
366,DEPUTY FIRE CHIEF-UN,1
367,DEPUTY FIRE CHIEF-UNREPRESENTED,4
368,DEPUTY FIRE CHIEF/FIRE MARSHAL,5
369,DEPUTY FIRE CHIEF/FIRE MARSHALL,3
370,DEPUTY FIRE MARSHAL,358
371,DEPUTY FIRE MARSHAL + 1.25%,2
372,DEPUTY FIRE MARSHAL - 2E,1
373,DEPUTY FIRE MARSHAL - PART-TIME,2
374,DEPUTY FIRE MARSHAL HAZARDOUS MATERIALS,17
375,DEPUTY FIRE MARSHAL I,23
376,DEPUTY FIRE MARSHAL I/II,10
377,DEPUTY FIRE MARSHAL II,75
378,DEPUTY FIRE MARSHAL III,2
379,DEPUTY FIRE MARSHAL V,5
380,DEPUTY FIRE MARSHAL-8546,1
381,DEPUTY FIRE MARSHAL/ACTING DEPUTY FIRE CHIEF,1
382,DEPUTY FIRE MARSHAL/FIRE CAPTAIN,1
383,DEPUTY FIRE MARSHALL,51
384,DEPUTY FIRE MARSHALL III,4
385,DEPUTY FIRE MARSHALL V,3
386,DEPUTY FIRE MARSHALL/CPE,2
387,DEPUTY PROBATION OFIREFIGHTERICER II,1
388,DIR FIRE & LIFE SAFETY,2
389,DIR OF FIRE PREV/ENV SERVICES,7
390,DIR OF FIRE PREV/ENVIRONMENTAL SERVICES,1
391,DIR. OF FIRE PREV/ENV SERVICES,1
392,DIR. OF FIRE SERVICES,1
393,DIRECTOR ENVIRONMENTAL PROTECTION DIVISION AND FIRE PREVENTION BUREAU,2
394,DIRECTOR FIRE & LIFE SAFETY,5
395,DIRECTOR FIRE AND LIFE SAFETY,1
396,DIRECTOR FIRE/EMERGENCY PROGRAM MANAGER,2
397,DIRECTOR OF ADMINISTRATIVE SERVICES - FIRE,1
398,DIRECTOR OF BUILDING & FIRE,2
399,DIRECTOR OF BUILDING AND FIRE,3
400,DIRECTOR OF FIRE AND EMERGENCY SERVICES,6
401,DIRECTOR OF FIRE AND LIFE SAFETY,1
402,DIRECTOR OF FIRE LIFE AND SAFETY,1
403,DIRECTOR OF FIRE PREVENTION,1
404,DIRECTOR OF FIRE PREVENTION/ENVIRONMENT SERVICES,1
405,DIRECTOR OF FIRE SERVICES,11
406,DIRECTOR OF POLICE & FIRE,1
407,DIRECTOR/FIRE FIGHTER,5
408,DISTRICT ASSISTANT FIRE CHIEF,2
409,DISTRICT EMPLOYEE RODEO FIRE,2
410,DISTRICT FIRE CHIEF,7
411,DISTRICT FIREMAN,2
412,DISTRICT FIREMAN / EMERGENCY MEDICAL TECHNICIAN,2
413,DIV CHF FIRE MARSHAL W/STIP,4
414,DIV CHIEF FIRE MARSHAL W/STIP,1
415,DIV CHIEF FIRE TRAINER/FIRE MARSHALL,6
416,DIV CHIEF/FIRE MARSHAL,1
417,DIVISION CHIEF - FIRE MARSHAL,1
418,DIVISION CHIEF- FIRE MARSHALL,1
419,DIVISION CHIEF/FIRE MARSHAL,1
420,DIVISION FIRE CHIEF,32
421,DIVISION FIRE CHIEF - TEMPORARY,1
422,DIVISION FIRE CHIEF,1
423,DUTY CHIEF FIREFIGHTER,4
424,EH FIRE ENGINEER,44
425,EH FIRE FIGHTER,131
426,EH FIRE INSPECTOR,5
427,EH FIRE PREVENTION INSPECTOR,1
428,EH PAID CALL FIREFIGHTER,249
429,EH SEASONAL FIREFIGHTER,7
430,EH VOLUNTEER FIREFIGHTER INCDNT FEE,5
431,EL FIREFIGHTER SHIFT,3
432,EMERG MGR & FIRE MED ANALYST,1
433,EMERG MGR. & FIRE MED ANALYST,1
434,EMERGENCY OES FIRE FIGHTER,3
435,EMS/FIRE ADMINISTRATOR,7
436,EMS/FIRE FINANCIAL COORDINATOR,5
437,EMT / FIREFIGHTER,4
438,EMT B/FIREFIGHTER,9
439,EMT/FIRE FIGHTER APPRENTICE,1
440,EMT/FIREFIGHTER,16
441,EMT/PARAMEDIC/FIREFIGHTER,2470
442,ENDOWMENT FIRE FIGHTER,1
443,ENDOWMENT FIREFIGHTER,1
444,ENDOWMENT FIREFIGHTER PEPRA,3
445,ENGINEER OF FIRE DEPARTMENT,5048
446,"ENGINEER, FIRE",24
447,ENGINEER/FIRE FIGHTER,2
448,ENGINEER/FIREFIGHTER,8
449,ENGINEER/LT/CAPTAIN/FIREFIGHTER,1
450,ENGINEER/LT/FIREFIGHTER/STRIKE TEAM,3
451,ENGR/MAINT-SPECIAL FIRE DIST,46
452,ENTRY FIREFIGHTER,1
453,ENVIRONMENTAL PROTECTION DIVISION/FIRE PREVENTION BUREAU SPECIALIST,2
454,EPT- FIREFIGHTER LIMITED TERM,6
455,EPT-FIREFIGHTER,3
456,EXEC ADMIN/VERDUGO FIRE COMM,1
457,EXEC ADMINIS/VERDUGO FIRE COMM,4
458,EXEC ADMINISTRATION/VERDUGO FIRE COMM,1
459,EXEC ASST TO THE FIRE CHIEF,2
460,EXECUTIVE ADMIN/VERDUGO FIRE,2
461,EXECUTIVE ADMINISTRATOR / VERDUGO FIRE COMMUNICATIONS,1
462,EXECUTIVE SECRETARY FIRE,1
463,EXTRA HELP - DISTRICT FIREMAN,9
464,EXTRA HELP FIRE PREVENTION INSPECTOR,2
465,EXTRA HELP FIRE PREVENTION INSPECTOR I,1
466,EXTRA HELP FIRE PREVENTION INSPECTOR III,9
467,EXTRA HELP FIREFIGHTER,24
468,EXTRA HELP PAID CALL FIREFIGHTER,1765
469,EXTRA HELP VOLUNTEER FIREFIGHTER INCIDENT FEE,8
470,F630 FIRE CAPTAIN,195
471,F700 FIRE FIGHTER,6
472,F700 FIRE FIGHTER/ENGINEER,378
473,F705 FIRE FIGHTER,3
474,F705 FIRE FIGHTER - JPA 6,4
475,F710 FIRE FIGHTER/PARAMEDIC,27
476,F715 FIRE FIGHTER/PARAMEDIC - JPA 6,1
477,F800 DEPUTY FIRE MARSHAL,9
478,FD TEMP FIRE SECRETARY,1
479,FIRE,176
480,FIRE  CAPTAIN BT,1
481,FIRE  CHIEF,1
482,FIRE  NON-SAFETY,5
483,FIRE & BUILDING INSPECTOR,2
484,FIRE & DISASTER EDUCATION SPEC,1
485,FIRE & ENVIR SAFETY INSPEC I,8
486,FIRE & ENVIR SAFETY INSPEC II,4
487,FIRE & ENVIRONMENTAL SAFETY INSPEC I,1
488,FIRE & ENVIRONMENTAL SAFETY INSPEC II,2
489,FIRE & ENVIRONMENTAL SAFETY INSPECTOR II,2
490,FIRE & LIFE SAFETY PLNS EXMR,6
491,FIRE - FAE,1
492,FIRE - PART-TIME FIREFIGHTER,1
493,FIRE / ENGINEER,2
494,FIRE /FIGHTER(VOLUNTEER),10
495,FIRE ACADEMY TRAINEE,4
496,FIRE ADM SPECIALIST,2
497,FIRE ADMIN ASSISTANT,8
498,FIRE ADMIN ASST,1
499,FIRE ADMIN CAPTAIN,1
500,FIRE ADMIN OFFICER,1
501,FIRE ADMIN SERVICES MANAGER,12
502,FIRE ADMIN SERVICES SUPERVISOR,3
503,FIRE ADMIN SVCS SUPV,1
504,FIRE ADMIN TECHNICIAN,4
505,FIRE ADMIN. ASSISTANT/PUBLIC INFO. OFFICER,1
506,FIRE ADMINISTRATION,3
507,FIRE ADMINISTRATION ASSISTANT,1
508,FIRE ADMINISTRATION SPECIALIST,1
509,FIRE ADMINISTRATION TECHNICIAN,1
510,FIRE ADMINISTRATIVE,1
511,FIRE ADMINISTRATIVE AIDE,6
512,FIRE ADMINISTRATIVE ANALYST,3
513,FIRE ADMINISTRATIVE ASSISTANT,2
514,FIRE ADMINISTRATIVE ASSISTANT/PIO,2
515,FIRE ADMINISTRATIVE ASSISTANT/PUBLIC INFORMATION OFFICER,1
516,FIRE ADMINISTRATIVE DIRECTOR,3
517,FIRE ADMINISTRATIVE EOC,1
518,FIRE ADMINISTRATIVE MANAGER,3
519,FIRE ADMINISTRATIVE OFFICER,2
520,FIRE ADMINISTRATIVE SERVICES SUPERVISOR,2
521,FIRE ADMINISTRATIVE SPECIALIST,10
522,FIRE ADMINISTRATOR,20
523,FIRE ADMINSTRATIVE ASST,1
524,FIRE ADVISORY,21
525,FIRE ADVISORY BOARD,83
526,FIRE AIDE,17
527,FIRE AIRCRAFT PILOT,38
528,FIRE ANALYST,3
529,FIRE AND HOUSING INSPECTOR I,1
530,FIRE AND LIFE SAFETY INSPECTOR I,2
531,FIRE AND LIFE SAFETY INSPECTOR II,2
532,FIRE AND LIFE SAFETY INSPECTOR III,2
533,FIRE AND LIFE SAFETY INSPECTOR IV,2
