ID,Incident Date,City,State,School name,Latitude,Longitude,School Type,Intent,Outcome,Number Killed,Number Wounded,Narrative,Source 1,URL 1,Source 2,URL 2,Source 3,URL 3,Created,Last Modified
38,8/30/13,Winston-Salem,NC,Carver High School,36.0998596,-80.244216,High School,Attack on others,Injury,0,1,"An eighteen-year-old fired a handgun during a school fire drill, injuring a 15-year-old. The shooter claimed that he had been bullied for months and brought a gun to school protect himself. He pled guilty to assault with a deadly weapon and discharging a firearm on school property, among other charges.",Fox 8,http://bit.ly/1A2lNYG,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
39,9/21/13,Savannah,GA,Savannah State University,32.0808989,-81.091203,College or University,Attack on others,Death,1,0,"An unknown person fatally shot a man, 20, on campus. Law enforcement did not make any arrests.",Savannah Now,https://bit.ly/2GJK0fW,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
40,9/28/13,Gray,ME,Gray-New Gloucester High School,43.885632,-70.3317195,High School,Self-harm - no intent to hurt others,Death,1,0,A nineteen-year-old fatally shot himself in the school parking lot while several athletic events were taking place.,Sun Journal,https://bit.ly/2qclnkJ,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
41,10/4/13,Pine Hills,FL,Agape Christian Academy,28.5577794,-81.4534046,K-12,Attack on others,Injury,0,2,An unidentified 16-year-old student was shot in the leg while getting ready for practice. Another unidentified 17-year-old was hit by a stray bullet. The shooting is believed to have occurred due to a previous altercation.,WFTV,https://at.wftv.com/2IyK7LG,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
42,10/15/13,Austin,TX,Lanier High School,30.267153,-97.7430608,High School,Self-harm - no intent to hurt others,Death,1,0,A sixteen-year-old fatally shot himself with a handgun in the courtyard during the school lunch hour.,Fox News,http://bit.ly/1j5goxm,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
43,10/21/13,Sparks,NV,Sparks Middle School,39.5349112,-119.7526886,Middle School,Attack on others,Death,1,2,A twelve-year-old fatally shot his math teacher and shot and injured two other students before fatally shooting himself on a school basketball court. He used a gun that belonged to his parents.,CNN,http://cnn.it/19OnhNg,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
44,10/23/13,Chino,CA,Newman Elementary School,34.0122346,-117.688944,Elementary School,Unintentional discharge,Injury,0,3,"While police were on campus for a safety demonstration, a child unintentionally fired an officer's rifle that was mounted on a police motorbike. Three students sustained shrapnel injuries, though nobody was shot.",NBC Los Angeles,https://bit.ly/2Oqlwwq,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
45,11/1/13,Algona,IA,Algona High/Middle School,43.0699663,-94.233019,High School,Self-harm - no intent to hurt others,Death,1,0,A twenty-three-year-old fatally shot himself on campus. He was formerly a student at the school.,Global Gazette,http://bit.ly/1hiXbCy,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
46,11/2/13,Greensboro,NC,North Carolina A&T State University,36.0726354,-79.7919754,College or University,Attack on others,Injury,0,1,"At least one unknown person fired a handgun, injuring someone, 21, on campus. Police did not identify or arrest anyone.",USA Today,https://usat.ly/2GHLLOo,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
47,11/3/13,Stone Mountain,GA,Stephenson High School,33.8081608,-84.170196,High School,Attack on others,Injury,0,1,An unknown assailant shot and injured a 17-year-old high school football player on campus during a confrontation between a group of students who did not attend the school and members of the school's football team. Law enforcement stated that the victim was a bystander to the confrontation.,WSB-TV,http://bit.ly/1RkiOn9,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
48,11/21/13,Rapid City,SD,South Dakota School of Mines & Technology,44.0805434,-103.2310149,College or University,Self-harm - no intent to hurt others,Death,1,0,A thirty-seven-year-old assistant professor fatally shot himself in the electrical engineering building.,Rapid City Journal,http://bit.ly/11FRICf,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
49,12/4/13,Winter Garden,FL,West Orange High School,28.5652787,-81.5861847,High School,Attack on others,Injury,0,1,"A seventeen-year-old shot and injured a15-year-old on campus during the afternoon dismissal. The two were involved in an argument when the shooter took out a handgun and shot the victim in the face and stomach. In 2014, the shooter was convicted of attempted murder and sentenced to 25 years in prison.",News 6,https://bit.ly/2EphFtl,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
50,12/13/13,Centennial,CO,Arapahoe High School,39.5807452,-104.8771726,High School,Attack on others,Death,1,0,An eighteen-year-old shot and killed a 17-year-old student in the gymnasium. The shooter then fatally shot himself.,CBS,http://cbsn.ws/1QPmtIJ,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
51,12/19/13,Fresno,CA,Edison High School,36.7377981,-119.7871247,High School,Attack on others,Injury,0,1,"Four students, one armed with a handgun, shot and injured a teacher at the school during an attempted robbery of a school laptop.",ABC 30 Action News,https://abc30.tv/2HdYdCC,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
52,1/9/14,Jackson,TN,Liberty Technology Magnet High School,35.6145169,-88.8139469,High School,Attack on others,Injury,0,1,"A 16-year old student, not identified by the press, shot and injured an unidentified 17-year-old student in the thigh in front of the school building as classes were being dismissed. The 16-year-old was charged with aggravated assault, carrying a weapon on school property, and altering the serial numbers on the handgun.",WMC Action News Five,http://bit.ly/1YUehN4,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
53,1/14/14,Roswell,NM,Berrendo Middle School,33.3942655,-104.5230242,Middle School,Attack on others,Injury,0,3,A twelve-year-old shot and injured two students in the school gym. A security officer received minor injuries when helping a teacher to disarm the shooter. The firearm the shooter used belonged to his parents. He was sentenced to ten years in state custody.,CNN,https://cnn.it/2qaQqhD,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
54,1/15/14,Lancaster,PA,King Elementary School,40.0378755,-76.3055144,Elementary School,Unknown,No one shot,0,0,"Two unidentified males fired shots on the playground, leading school administrators to place the school on lockdown. Law enforcement did not make any arrests.",Lancaster Online,http://bit.ly/LzdfUR,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
55,1/17/14,Philadelphia,PA,Delaware Valley Charter High School,39.9525839,-75.1652215,High School,Unintentional discharge,Injury,0,2,"A seventeen-year-old bought a gun from a 19-year-old in the school gym. Several minutes after completing the purchase, the gun discharged, hitting and injuring a student, 17, and an 18-year-old female, not identified by the press. The shooter was charged with aggravated assault and weapons possession is currently serving a two-year term in a juvenile facility. Investigators reported that they believed the shooting to be unintentional.",CBS News,http://cbsloc.al/1bvCEJc,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
56,1/20/14,Chester,PA,Widener University,39.849557,-75.3557457,College or University,Attack on others,Injury,0,1,"An unidentified person shot someone, 19, after a basketball game. Law enforcement did not apprehend the person.",Delco Times,http://bit.ly/1mMfoIv,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
57,1/21/14,West Lafayette,IN,Purdue University,40.4258686,-86.9080655,College or University,Attack on others,Death,1,0,"A twenty-three-year-old shot someone, 21, in an academic building. The shooter was arrested immediately after leaving the building following the shooting. The shooter pled guilty to murder and was sentenced to 65 years in prison.",NBC News,http://nbcnews.to/1sFud2E,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
58,1/24/14,Orangeburg,SC,South Carolina State University,33.4918203,-80.8556476,College or University,Attack on others,Death,1,0,A nineteen-year-old fatally shot a 20-year-old outside a campus dormitory during an argument. He was charged with first-degree murder.,ABC News,http://bit.ly/1KVRlU8,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
59,1/27/14,Carbondale,IL,Rebound High School,37.7272727,-89.2167501,High School,Attack on others,Injury,0,1,"A group of students became involved in a lunchtime argument in the school parking lot, during which one of the students, 18, pulled out a handgun and shot someone in the stomach. The victim, who was the father of one of the students at the school, sustained serious injuries. The shooter was later arrested and sentenced to 25 years in prison for aggravated battery with a firearm.",14 News,https://bit.ly/2HOcJ2V,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
60,1/28/14,Nashville,TN,Tennessee State University,36.1626638,-86.7816016,College or University,Attack on others,Injury,0,1,Police found an unidentified 20-year-old man shot and injured on campus next to a residence hall after an intramural basketball game. Law enforcement did not apprehend anyone.,Huffington Post,https://bit.ly/2GDpj9g,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
61,1/28/14,Honolulu,HI,Roosevelt High School,21.3069444,-157.8583333,High School,Legal Intervention,Injury,0,1,"A 17-year old male showed up to school to register, despite not being a current student. When three police officers arrived to pick him up after reports he’d become disorderly, the teen started throwing punches and slashing an officer with a kitchen knife. One officer fired two shots, hitting the teen in the arm. He was taken to the hospital in a serious condition. Police announced he would be charged with three counts of attempted murder.",Washington Times,https://bit.ly/2l900Pa,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
62,1/28/14,Grambling,LA,Grambling State University,32.5276503,-92.7140402,College or University,Attack on others,Injury,0,1,An unknown assailant fired a gun on campus injuring an unidentified man in the shoulder. Law enforcement did not apprehend the assailant. The victim's identity was not released to the press.,The Gramblinite,http://bit.ly/1j9qOvR,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
63,1/30/14,Palm Bay,FL,Eastern Florida State College — Palm Bay,28.0344621,-80.5886646,College or University,Other,Injury,0,1,"Three men engaged in a fight on campus. During the fight, a man, 24, used a gun to shoot one of the other men in the chest. All three men later claimed they were acting in self-defense. Police charged them with disorderly conduct and one of the men, additionally, with aggravated battery. No charges were brought against the shooter for firing the weapon.",USA Today,https://usat.ly/2l7llbE,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
64,1/31/14,Laveen Village,AZ,Cesar Chavez High School,33.3628227,-112.169317,High School,Attack on others,No one shot,0,0,"A twenty-year-old, a 23-year-old, a 20-year-old, and a 17-year-old were arrested for misconduct involving weapons after a shooting incident on campus. According to police, the four fired shots into the air on campus during a high school basketball game. It was not determined if they were charged with assault.",AZ Central,https://bit.ly/2GDYge3,,,,,2021-02-24T19:31:59.000Z,2022-02-06T22:13:40.000Z
65,1/31/14,Des Moines,IA,North High School,41.5868353,-93.6249593,High School,Attack on others,Injury,0,1,An unknown assailant shot and injured a 15-year-old girl in the parking lot of the school. Law enforcement did not make any arrests.,KCCI,http://bit.ly/1O8HcIl,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
66,2/7/14,Bend,OR,Bend High School,44.0581728,-121.3153096,High School,Self-harm - no intent to hurt others,Death,1,0,A seventeen-year-old fatally shot himself in a classroom with his own hunting rifle.,The Bend Bulletin,http://bit.ly/1P93f2i,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
67,2/10/14,Salisbury,NC,Salisbury High School,35.6709727,-80.4742261,High School,Attack on others,Injury,0,1,"A sixteen-year-old, was trying to break up a fight when he was shot and injured by a seventeen-year-old. The shooter was charged, among other things, with assault with a deadly weapon and discharging a weapon on school property.",WBTV,https://bit.ly/MHNjr8,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
68,2/11/14,Jackson,TN,Union University,35.6145169,-88.8139469,College or University,Attack on others,Death,1,0,"A 21-year-old fatally shot his fiancée while they were sitting in his vehicle in a parking lot on campus. Law enforcement determined that the man had stolen the gun from a friend, and charged him with first-degree murder.",The Jackson Sun,https://bit.ly/2EvG94b,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
69,2/11/14,Lyndhurst,OH,Charles F. Brush High School,41.5200523,-81.4887315,High School,Attack on others,No one shot,0,0,Two 17-year-old boys were arrested for firing shots at each other in the school's parking lot outside of a basketball game. No one was injured.,Cleveland.com,http://bit.ly/1nuMsFL,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
70,2/20/14,Kansas City,MO,Raytown Success Academy,39.0997265,-94.5785667,K-12,Attack on others,Death,1,0,A forty-two-year-old man fatally shot a 30-year-old man when the victim was in his car in the parking lot outside of the school. The shooter was angry that the victim was dating his ex-wife. Law enforcement arrested the shooter at the school and charged him with first-degree murder. He was later found guilty of second-degree murder and armed criminal action in 2015.,KCTV,https://bit.ly/NxjIRw,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
