address1,city,state,zip,storetimezone,storenumber,latitude,longitude
154 W Pennsylvania Ave.,New Stanton,PA,15672,-4,300,40.2162677,-79.6118621
1918 Julian Allsbrook Hwy.,Roanoke Rapids,NC,27870,-4,81,36.4322261,-77.6309703
1740 Route 228,Cranberry Township,PA,16066,-4,747,40.6843781,-80.0863873
710 SW Greenville Blvd.,Greenville,NC,27834,-4,495,35.5720163,-77.4004205
121 Pleasant Valley Rd.,Harrisonburg,VA,22801,-4,263,38.4044333,-78.9067668
1400 Country Ln.,South Hill,VA,23970,-4,570,36.7148302,-78.1182239
200 Davis Blvd.,Pittsburgh,PA,15275,-4,480,40.4499057,-80.1734693
101 Apple Tree Lane,Waynesboro,VA,22980,-4,568,38.0631963,-78.9402708
238 Enterprise Dr.,Rocky Mount,NC,27804,-4,606,35.975,-77.8445449
152 Rowe Rd.,Staunton,VA,24401,-4,128,38.1272428,-79.03674
1008 Trinity Circle,Washington,PA,15301,-4,441,40.185043,-80.2250731
5600 Interstate Blvd.,Austintown,OH,44515,-4,185,41.1227585,-80.7729658
345 Lewis Dr.,Morgantown,WV,26501,-4,640,39.654645,-80.0066739
1260 Western Blvd.,Jacksonville,NC,28546,-4,478,34.7852327,-77.3992776
5006 Hayes Place West,Wilson,NC,27896,-4,309,35.7642943,-78.006026
1002 Ruin Creek Rd.,Henderson,NC,27536,-4,343,36.322214,-78.4514821
2206 Pleasant Valley Rd.,Fairmont,WV,26554,-4,376,39.4413686,-80.1689786
6055 SOM Center Rd,Willoughby,OH,44094,-4,525,41.605108,-81.4388088
3820 Wards Rd.,Lynchburg,VA,24502,-4,463,37.3549343,-79.1837305
4367 SR 44,Rootstown,OH,44272,-4,418,41.1084386,-81.2433645
2371 East Aurora Rd.,Twinsburg,OH,44087,-4,383,41.3120423,-81.4534332
1109 Outlet Center Dr.,Smithfield,NC,27577,-4,108,35.509564,-78.31228
2303 Water St.,Port Huron,MI,48060,-4,218,42.9919964,-82.4547118
67781 Mall Rd.,Saint Clairsville,OH,43950,-4,474,40.0698629,-80.8625999
6940 Sunset Strip Ave. N.W.,North Canton,OH,44720,-4,215,40.8817316,-81.4331348
5199 NC Highway 42 W.,Garner,NC,27529,-4,363,35.6077716,-78.5615932
5100 Tiedeman Rd,Brooklyn,OH,44144,-4,508,41.4225258,-81.7606713
21 Van Campen Blvd.,Wilmington,NC,28403,-4,459,34.2440842,-77.8727701
76 Rothrock Loop,Copley,OH,44321,-4,114,41.1333553,-81.6489523
955 Airport Blvd.,Morrisville,NC,27560,-4,461,35.8584529,-78.8231334
3703 Hillsborough Rd.,Durham,NC,27705,-4,345,36.0245723,-78.9553483
1102 E. Cumberland Rd,Dunn,NC,28334,-4,539,35.2966186,-78.5982856
5205 Detroit Rd.,Sheffield Lake,OH,44054,-4,385,41.4258406,-82.0809292
3153 Lee Hwy.,Troutville,VA,24175,-4,281,37.3923642,-79.9008597
135 Spring Forrest Dr.,Mebane,NC,27302,-4,551,36.0673692,-79.2966416
30750 Little Mack Rd.,Roseville,MI,48066,-4,208,42.5216976,-82.9078796
2329 Southgate Pkwy.,Cambridge,OH,43725,-4,105,40.0005162,-81.5761369
1625 Jim Johnson Rd,Fayetteville,NC,28312,-4,271,35.0095719,-78.8216733
3212 NC 87 HWY SOUTH,Sanford,NC,27330,-4,675,35.4467584,-79.1307307
850 Huffman Mill Rd.,Burlington,NC,27215,-4,100,36.0689527,-79.4954338
1470 Skibo Rd.,Fayetteville,NC,28303,-4,717,35.0832677,-78.9544999
4216 Milan Rd,Sandusky,OH,44870,-4,490,41.4173151,-82.6722268
2854 E. Wilder Rd,Bay City,MI,48706,-4,538,43.6233923,-83.9404053
30 Hampton Blvd.,Christiansburg,VA,24073,-4,60,37.138909,-80.353641
6450 Dixie Hwy.,Bridgeport,MI,48722,-4,236,43.3498754,-83.8666279
40 Old Nicholette Rd.,Mineral Wells,WV,26150,-4,126,39.1906636,-81.5306289
3375 Lackey St.,Lumberton,NC,28360,-4,76,34.6418583,-79.0172243
4140 Pier North Blvd.,Flint,MI,48504,-4,180,43.0642755,-83.7639816
3701 Elmsley Ct,Greensboro,NC,27406,-4,564,36.0040707,-79.7931204
225 Scenic Crest Dr.,Zanesville,OH,43701,-4,370,39.9436449,-81.9999219
4402 Landview Dr.,Greensboro,NC,27407,-4,107,36.057246,-79.8964424
100 Stander Ave.,Mansfield,OH,44903,-4,224,40.6930612,-82.5105669
10975 US Hwy. 15-501,Southern Pines,NC,28387,-4,688,35.16114,-79.41949
4835 Hwy 17 S.,North Myrtle Beach,SC,29582,-4,194,33.7966111,-78.7435684
45525 N I94 Service Dr.,Belleville,MI,48111,-4,115,42.2209847,-83.4874829
1101 Ternes Dr.,Monroe,MI,48162,-4,222,41.924179,-83.3643718
1750 Pecan Lane,Kernersville,NC,27284,-4,604,36.0769392,-80.1100782
7925 Conference Center Dr.,Brighton,MI,48114,-4,234,42.5519817,-83.7946697
1208 N. Retail Court,Myrtle Beach,SC,29577,-4,566,33.7054741,-78.9218849
2112 Harper Rd.,Beckley,WV,25801,-4,348,37.7979576,-81.2197824
5720 MacCorkle Ave SE,Charleston,WV,25304,-4,510,38.3134874,-81.5669322
294 Meadowfield Ln.,Princeton,WV,24740,-4,65,37.3617013,-81.0530835
1948 Rockford St.,Mount Airy,NC,27030,-4,672,36.4829858,-80.6143922
6420 Sessions Court,Clemmons,NC,27012,-4,247,36.0324065,-80.3861014
12 Plaza Pkwy.,Lexington,NC,27292,-4,112,35.7827783,-80.2587034
1303 Tadlock Dr.,Murrells Inlet,SC,29576,-4,313,33.5756646,-79.0283956
11 Goff Xing,Cross Lanes,WV,25313,-4,193,38.409333,-81.7959272
27491 Helen Dr.,Perrysburg,OH,43551,-4,104,41.5518514,-83.5990022
1395 Ford St.,Maumee,OH,43537,-4,528,41.5794287,-83.6816295
60 Fourwinds Dr.,Sunbury,OH,43074,-4,466,40.2661578,-82.9356185
160 Lithia Rd.,Wytheville,VA,24382,-4,422,36.949655,-81.0567927
1860 Winderly Ln.,Pickerington,OH,43147,-4,121,39.9320667,-82.7904082
2285 Woodlake Dr.,Okemos,MI,48864,-4,517,42.6807272,-84.4335957
3620 North Country Dr.,Traverse City,MI,49684,-4,464,44.7188639,-85.6487857
1070 Free Land Dr.,Salisbury,NC,28144,-4,625,35.6572212,-80.4626802
1717 Nc Highway 67,Jonesville,NC,28642,-4,340,36.2399165,-80.8153728
1031 Interstate Ct.,Findlay,OH,45840,-4,68,41.0591614,-83.6701647
608 Commercial Dr.,Lansing,MI,48917,-4,195,42.7401941,-84.6721849
1824 West Lucas St.,Florence,SC,29501,-4,69,34.2261975,-79.7969719
4210 Marlane Dr.,Grove City,OH,43123,-4,85,39.8761166,-83.0524565
2494 Airport Rd.,Jackson,MI,49202,-4,136,42.2677415,-84.4543904
1313 Hilliard Rome Rd,Columbus,OH,43228,-4,183,39.9772294,-83.1504891
3 Cracker Barrel Dr.,Barboursville,WV,25504,-4,336,38.4151064,-82.2563785
1175 Copperfield Blvd.- NE,Concord,NC,28025,-4,249,35.4628062,-80.5871524
1043 Glenway Dr.,Statesville,NC,28625,-4,142,35.8087934,-80.8719309
7809 Lyles Ln.,Concord,NC,28027,-4,578,35.3659836,-80.7128223
123 Regency Center Dr.,Mooresville,NC,28117,-4,330,35.595115,-80.8614325
9330 E Independence Blvd.,Matthews,NC,28105,-4,663,35.1380647,-80.7176177
1930 Roschman Dr.,Lima,OH,45804,-4,133,40.7269052,-84.0739297
3203 Queen City Dr.,Charlotte,NC,28208,-4,39,35.2397877,-80.9181382
295 Carowinds Blvd.,Fort Mill,SC,29708,-4,607,35.0954257,-80.9386582
1250 11th Street Court SE,Hickory,NC,28602,-4,269,35.7128623,-81.3164319
909 Empire Dr.,Abingdon,VA,24210,-4,96,36.7161332,-81.9349823
4765 Beckley Rd.,Battle Creek,MI,49015,0,66,42.2613962,-85.2029235
1601 Blowing Rock Rd.,Boone,NC,28607,-4,695,36.2010458,-81.6604389
105 West Leffel Ln.,Springfield,OH,45506,-4,310,39.8936775,-83.8142705
1821 Remount Rd.,Gastonia,NC,28054,-4,41,35.2691831,-81.147399
2140 Manna Ct.,Rock Hill,SC,29730,-4,160,34.9387982,-80.9700542
4340 Kenowa Ave.,Grandville,MI,49418,-4,338,42.8864472,-85.7813209
125 Village Cir.,Bristol,VA,24201,-4,614,36.630175,-82.1186133
980 E. Ash St.,Piqua,OH,45356,-4,295,40.1516404,-84.225201
7351 Mazyck Rd.,North Charleston,SC,29406,-4,58,32.9334719,-80.0484715
135 Bush Dr.,Morganton,NC,28655,-4,693,35.7239824,-81.6533782
1370 N Main St.,Summerville,SC,29483,-4,678,33.0376524,-80.1532701
250 Britain St.,Santee,SC,29142,-4,328,33.483322,-80.4735415
1410 Shook Dr.,Auburn,IN,46706,-4,541,41.3660863,-85.0839321
7171 Miller Ln.,Dayton,OH,45414,-4,61,39.8512622,-84.1928377
253 Forum DR,Columbia,SC,29229,-4,642,34.1285219,-80.8727596
5770 Wilmington Pike,Centerville,OH,45459,-4,492,39.6598017,-84.1086605
10427 E. Maysville Rd.,Fort Wayne,IN,46835,-4,526,41.1317246,-85.0100513
2300 LeGrand Rd.,Columbia,SC,29223,-4,448,34.1005895,-80.9589699
1609 W. Washington Ctr. Rd.,Fort Wayne,IN,46818,-4,62,41.1318639,-85.1610431
10132 Airport Pkwy.,Kingsport,TN,37663,-4,83,36.5052054,-82.4327025
1698 Flemingsburg Rd,Morehead,KY,40351,-4,698,38.1906184,-83.476816
2692 Boones Creek Rd.,Johnson City,TN,37615,-4,311,36.3745258,-82.4259714
699 Citadel Rd,Orangeburg,SC,29118,-4,446,33.5554523,-80.8231161
8 Factory Shops Blvd.,Gaffney,SC,29341,-4,356,35.082377,-81.7085042
2208 Bush River Rd.,Columbia,SC,29210,-4,42,34.0318549,-81.1234848
1140 Kinley Rd.,Irmo,SC,29063,-4,635,34.0911688,-81.1624087
3280 Towne Blvd.,Middletown,OH,45044,-4,169,39.4920969,-84.3291186
4902 Fields Ertel Rd.,Cincinnati,OH,45249,-4,131,39.2945026,-84.3128663
475 River's Edge Dr.,Milford,OH,45150,-4,507,39.1620907,-84.2696241
2255 Sharon Rd,Sharonville,OH,45241,-4,553,39.2685229,-84.4387239
59 Cane Branch Rd.,Walterboro,SC,29488,-4,419,32.878271,-80.7187564
6050 National Rd. E.,Richmond,IN,47374,-4,95,39.83436,-84.8196556
110 Northpointe Blvd.,Elkhart,IN,46514,-4,113,41.7352012,-85.9752315
11993 Chase Plz.,Forest Park,OH,45240,-4,285,39.2967815,-84.5261106
9021 Fairforest Rd.,Spartanburg,SC,29301,-4,47,34.9672239,-82.0007312
4210 Alexandria Pike,Cold Spring,KY,41076,-4,751,39.0193116,-84.4378209
110 Stone Trace Dr.,Mount Sterling,KY,40353,-4,355,38.0789756,-83.9509826
1525 E Main St.,Duncan,SC,29334,-4,667,34.9103154,-82.1027935
34 Tunnel Rd.,Asheville,NC,28805,-4,581,35.5978621,-82.5340517
105 Commercial Blvd.,Flat Rock,NC,28731,-4,283,35.2961463,-82.4085266
7399 Turfway Rd.,Florence,KY,41042,-4,55,39.015675,-84.6343824
615 Ring Rd.,Harrison,OH,45030,-4,382,39.2598306,-84.7979149
344 Rockwood Rd,Arden,NC,28704,-4,628,35.4451399,-82.5398432
4984 Kay Bee Dr.,Gas City,IN,46933,-4,393,40.4810806,-85.5472569
2525 West Marquette Woods Rd.,Stevensville,MI,49127,-4,220,42.0326299,-86.5165894
5 Crowell Rd.,Asheville,NC,28806,-4,141,35.5620724,-82.6363054
1134 Woodruff Rd.,Greenville,SC,29607,-4,25,34.8277506,-82.3021545
1131 Fashion Ridge Rd.,Dry Ridge,KY,41035,-4,493,38.6865588,-84.6030181
3954 Grandview Dr.,Simpsonville,SC,29680,-4,491,34.710978,-82.2481014
157 Okatie Center Blvd. N,Okatie,SC,29909,-4,680,32.2992364,-80.9447051
2352 Whiskey Rd.,Aiken,SC,29803,-4,689,33.511091,-81.712278
591 Hwy 153,Piedmont,SC,29673,-4,579,34.7757469,-82.4659008
133 Cracker Rd.,Morristown,TN,37813,-4,423,36.139909,-83.2771082
2220 Elkhorn Rd.,Lexington,KY,40505,-4,77,38.0448023,-84.4221083
2012 East 59th St.,Anderson,IN,46013,-4,74,40.0557991,-85.6511137
1454 Cherry Blossom Way,Georgetown,KY,40324,-4,71,38.2207236,-84.5398291
1927 Stanton Way,Lexington,KY,40511,-4,19,38.1011235,-84.4808344
1021 Cosby Hwy.,Newport,TN,37821,-4,18,35.9464847,-83.206551
101 Commons Dr.,Greenwood,SC,29649,-4,473,34.2056314,-82.1905237
1797 Lexington Rd.,Richmond,KY,40475,-4,10,37.770542,-84.3138117
1049 N.12th St.,Middlesboro,KY,40965,-4,706,36.614289,-83.7017957
4089 Lexington Rd.,Nicholasville,KY,40356,-4,651,37.9563478,-84.5406235
101 McKinney Dr.,Berea,KY,40403,-4,549,37.567876,-84.310126
80 Alamo Dr.,London,KY,40741,-4,556,37.1510242,-84.1140317
404 Kentucky Dr.,Kokomo,IN,46902,-4,440,40.4356904,-86.126436
2265 N State St.,Greenfield,IN,46140,-4,554,39.8190684,-85.7688929
161 Bizzack Blvd.,Frankfort,KY,40601,-4,358,38.1717958,-84.8116956
84 Adams Rd.,Corbin,KY,40701,-4,8,36.9782292,-84.1127532
1000 Hwy. 80 E.,Pooler,GA,31322,-4,192,32.1129193,-81.2359976
126 Interstate Blvd.,Anderson,SC,29621,-4,124,34.5747627,-82.7083257
544 N Belair Rd.,Evans,GA,30809,-4,657,33.5362922,-82.1294981
154 Stadium Dr.,Kodak,TN,37764,-4,586,35.9859479,-83.6051784
1898 N. Morristown Rd.,Shelbyville,IN,46176,-4,400,39.5532208,-85.7749142
460 Parkwest Dr.,Grovetown,GA,30813,-4,171,33.4806462,-82.1324992
17017 Abercorn St.,Savannah,GA,31419,-4,52,32.004495,-81.2777451
9700 N By Northeast Blvd.,Fishers,IN,46037,-4,88,39.9284836,-86.0269442
690 Winfield Dunn Pkwy,Sevierville,TN,37876,-4,514,35.8798445,-83.5732059
3960 Parkway,Pigeon Forge,TN,37863,-4,53,35.7767585,-83.5466099
W176n9778 Rivercrest Dr.,Germantown,WI,53022,0,175,43.1950744,-88.1273962
2285 Parkway,Pigeon Forge,TN,37863,-4,360,35.8148808,-83.5768722
2340 Post Dr.,Indianapolis,IN,46219,-4,116,39.8015735,-86.0122221
1510 Cracker Barrel Ln.,Knoxville,TN,37914,-4,170,36.0016806,-83.7785709
40 Cassidy Ave.,Danville,KY,40422,-4,483,37.61542,-84.775433
2920 South Mall Rd,Knoxville,TN,37917,-4,546,36.0288883,-83.8736005
4350 East Southport Rd.,Indianapolis,IN,46237,-4,45,39.6666387,-86.0940098
216 Henry Blvd.,Statesboro,GA,30458,-4,685,32.4285921,-81.7575945
1565 Mt. Eden Rd.,Shelbyville,KY,40065,-4,415,38.1890963,-85.2108552
7015 122nd Ave.,Kenosha,WI,53142,0,120,42.5720464,-87.9543865
1414 East Crystal Dr.,Lagrange,KY,40031,-4,290,38.4018914,-85.3764136
6200 Opportunity Ln.,Merrillville,IN,46410,-5,84,41.5042516,-87.3184631
6398 Crane Dr.,Whitestown,IN,46075,-4,694,39.9473509,-86.3518542
3840 Eagle View Dr.,Indianapolis,IN,46254,-4,49,39.82466,-86.2789013
11701 North US Highway 31,Edinburgh,IN,46124,-4,256,39.317569,-85.9685014
5001 Central Ave. Pike,Knoxville,TN,37912,-4,12,36.0092035,-83.9687373
1899 S. Hwy 27,Somerset,KY,42501,-4,454,37.0675035,-84.6200159
5706 Northridge Dr.,Gurnee,IL,60031,0,122,42.3772353,-87.9441261
111 Colonial Ln.,Rocky Top,TN,37769,-4,4,36.2315017,-84.1607837
7750 Corinne Dr.,Hammond,IN,46323,0,369,41.571765,-87.4629123
211 N Sandy Creek Dr.,Seymour,IN,47274,-4,64,38.9598767,-85.8461043
725 Ross Place,Lavonia,GA,30553,-4,750,34.444933,-83.1243957
40 Frontage Rd.,Lafayette,IN,47905,-4,37,40.4184054,-86.8177193
6256 Cambridge Way,Plainfield,IN,46168,-4,132,39.6712218,-86.3690821
771 Louisville Rd.,Alcoa,TN,37701,-4,494,35.7716164,-83.9876945
9214 Park West Blvd.,Knoxville,TN,37923,-4,16,35.9185231,-84.0927506
1265 Allen St.,Scottsburg,IN,47170,-4,542,38.683125,-85.7859652
1401 Kentucky Mills Dr.,Jeffersontown,KY,40299,-4,153,38.2221133,-85.5395607
716 N Campbell Station Rd.,Knoxville,TN,37934,-4,75,35.8972604,-84.1746086
10150 Brookridge Village Blvd.,Louisville,KY,40291,-4,522,38.1443844,-85.5836398
350 Triangle Rd.,Sellersburg,IN,47172,-4,303,38.3946822,-85.7597354
10 Old Filiatreau Ln.,Bardstown,KY,40004,-4,691,37.7986093,-85.4323815
18531 North Creek Dr.,Tinley Park,IL,60477,0,176,41.5542518,-87.7946621
325 Ft Loudoun Medical Cent Dr,Lenoir City,TN,37772,-4,573,35.8248225,-84.2721158
I-95 & U.S. 341,Brunswick,GA,31520,-4,54,31.2180671,-81.5232221
1005 Candle View Ln.,Crawfordsville,IN,47933,-4,705,40.0768506,-86.9059397
2701 Crittenden Dr,Louisville,KY,40209,-4,417,38.2052,-85.7501195
275 Brenton Way,Shepherdsville,KY,40165,-4,223,38.0654609,-85.6976931
138 Eisenhower Dr.,Commerce,GA,30529,-4,339,34.2566683,-83.4623128
1855 West Diehl Rd.,Naperville,IL,60563,0,196,41.8021396,-88.2087584
1295 Lakeview Dr.,Romeoville,IL,60446,0,307,41.6578506,-88.1238764
11000 Dixie Hwy.,Louisville,KY,40272,-4,650,38.0954721,-85.874889
380 N. Jacob Dr.,Bloomington,IN,47404,-4,487,39.1712685,-86.5709073
50 Ken Hayes Dr.,Bourbonnais,IL,60914,0,221,41.1708109,-87.8489132
1839 South Roane St.,Harriman,TN,37748,-4,6,35.9057887,-84.5923414
1913 Epps Bridge Pkwy.,Athens,GA,30606,-4,505,33.9177953,-83.4440958
1511 Riverboat Center,Joliet,IL,60431,0,235,41.4940028,-88.1677857
2430 Fulton St.,Janesville,WI,53546,0,143,42.7280144,-88.9929067
2393 Pacer Court NW,Corydon,IN,47112,-4,443,38.2371343,-86.1279872
2147 East Springs Dr.,Madison,WI,53704,0,214,43.1296147,-89.2934051
1047 Executive Dr.,Elizabethtown,KY,42701,-4,48,37.7111431,-85.831106
1200 Boone Ave.,Kingsland,GA,31548,-4,361,30.790533,-81.6616899
301 Exchange Way,Braselton,GA,30517,-4,588,34.1187445,-83.7634424
1295 WI Dells Pkwy South,Baraboo,WI,53913,0,444,43.5728617,-89.7771024
2003 Eatonton Rd,Madison,GA,30650,-4,593,33.5568426,-83.4763993
438 Commerce Ctr. Dr.,Jacksonville,FL,32225,-4,511,30.3319029,-81.5515153
13250 City Station Dr.,Jacksonville,FL,32218,-4,589,30.4791341,-81.6422306
110 Burkett L. Witt Blvd.,Athens,TN,37303,-4,9,35.4682235,-84.6500785
730 North Lyford Rd.,Rockford,IL,61107,0,244,42.2746166,-88.96106
23 Executive Dr.,Crossville,TN,38555,-4,79,35.9992255,-85.0445363
4680 Lenoir Ave.,Jacksonville,FL,32216,-4,341,30.2484756,-81.5970886
104 Travel Center Blvd.,Dublin,GA,31021,-4,401,32.4872764,-82.937892
2441 State Rd. 16,St. Augustine,FL,32092,-4,289,29.9151623,-81.4130104
4758 Lanier Islands Pkwy.,Buford,GA,30518,-4,641,34.1404951,-83.952168
4 Kingswood Dr.,Palm Coast,FL,32137,-4,118,29.5537142,-81.2134243
125 Interchange Blvd.,Ormond Beach,FL,32174,-4,364,29.255332,-81.1168063
2325 W. International Speedway,Daytona Beach,FL,32114,-4,158,29.182874,-81.0776216
4272 Eldridge Loop,Orange Park,FL,32073,-4,157,30.1907493,-81.701891
2501 Memorial Dr.,Waycross,GA,31503,-4,744,31.1939691,-82.3187779
675 Buford Hwy.,Cumming,GA,30040,-4,697,34.185792,-84.139434
75 Celebration Dr.,Suwanee,GA,30024,-4,146,34.0282993,-84.0482686
429 E Margaret Dr.,Terre Haute,IN,47802,-4,156,39.4318882,-87.4107965
800 Happy Valley St.,Cave City,KY,42127,0,428,37.134625,-85.9726421
502 Chaffee Point Rd.,Jacksonville,FL,32221,-4,577,30.3085882,-81.844763
1740 Scenic Hwy.,Snellville,GA,30078,-4,746,33.8806956,-84.0108347
4745 Helen Hauser Blvd.,Titusville,FL,32780,-4,267,28.5519714,-80.8532605
1650 Clingan Ridge Dr. NW,Cleveland,TN,37312,-4,21,35.1923613,-84.883053
7225 George T. Edwards Dr.,Melbourne,FL,32940,-4,67,28.2315451,-80.7204889
4119 Columbus,Ottawa,IL,61350,0,437,41.3808581,-88.8367284
1295 S Walnut Ave.,Cookeville,TN,38501,0,15,36.1365271,-85.5041284
5580 Windward Pkwy.,Alpharetta,GA,30004,-4,611,34.0881096,-84.2644643
1182 Dogwood Dr SE,Conyers,GA,30012,-4,32,33.6551911,-84.0065792
1175 Palm Bay Rd.,Melbourne,FL,32905,-4,519,28.0358079,-80.6393252
