fac_name,county,icu_beds,icu_days,icu_bed_days,icu_occupancy_rate,geometry
KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,Contra Costa,8,2194.0,2920,75.0,POINT (-122.36093 37.93685)
KAISER FOUNDATION HOSPITAL - ANTIOCH,Contra Costa,20,1658.0,7300,23.0,POINT (-121.776854 37.951975)
SUTTER COAST HOSPITAL,Del Norte,6,1730.0,2190,79.0,POINT (-124.19514 41.77278)
BARTON MEMORIAL HOSPITAL,El Dorado,8,807.0,2920,28.0,POINT (-119.99758 38.91228)
MARSHALL MEDICAL CENTER,El Dorado,20,2463.0,7300,34.0,POINT (-120.79092 38.72556)
CLOVIS COMMUNITY MEDICAL CENTER,Fresno,24,6402.0,8760,73.0,POINT (-119.66072 36.83745)
COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Fresno,78,19003.0,28470,67.0,POINT (-119.784071 36.74252)
ST. AGNES MEDICAL CENTER,Fresno,35,8162.0,12775,64.0,POINT (-119.764996 36.837078)
KAISER FOUNDATION HOSPITAL - FRESNO,Fresno,12,2427.0,4380,55.0,POINT (-119.7832 36.84246)
MAD RIVER COMMUNITY HOSPITAL,Humboldt,6,1117.0,2190,51.0,POINT (-124.09038 40.90351)
REDWOOD MEMORIAL HOSPITAL,Humboldt,4,1018.0,1460,70.0,POINT (-124.13549 40.58267)
ST. JOSEPH HOSPITAL - EUREKA,Humboldt,16,3389.0,5840,58.0,POINT (-124.14216 40.7832)
EL CENTRO REGIONAL MEDICAL CENTER,Imperial,20,2138.0,7300,29.0,POINT (-115.49824 32.78138)
PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,8,1345.0,2920,46.0,POINT (-115.55183 32.96003)
NORTHERN INYO HOSPITAL,Inyo,4,205.0,1460,14.0,POINT (-118.40756 37.36207)
DELANO REGIONAL MEDICAL CENTER,Kern,10,997.0,3650,27.0,POINT (-119.23706 35.76143)
BAKERSFIELD MEMORIAL HOSPITAL,Kern,32,7617.0,10399,73.0,POINT (-119.00658 35.39051)
KERN MEDICAL CENTER,Kern,24,2435.0,8760,28.0,POINT (-118.967222 35.380833)
KERN VALLEY HEALTHCARE DISTRICT,Kern,3,1.0,1095,0.0,POINT (-118.40509 35.63486)
MERCY HOSPITAL - BAKERSFIELD,Kern,20,2039.0,7300,28.0,POINT (-119.02715 35.37323)
GOOD SAMARITAN HOSPITAL-BAKERSFIELD,Kern,4,5.0,1460,0.0,POINT (-119.03913 35.41216)
RIDGECREST REGIONAL HOSPITAL,Kern,16,493.0,5840,8.0,POINT (-117.66996 35.6404)
ADVENTIST HEALTH BAKERSFIELD,Kern,34,5380.0,12410,43.0,POINT (-119.018775 35.383064)
MERCY SOUTHWEST HOSPITAL,Kern,8,2264.0,2920,78.0,POINT (-119.11528 35.35496)
ADVENTIST HEALTH TEHACHAPI VALLEY,Kern,4,244.0,1460,17.0,POINT (-118.44924 35.14302)
ADVENTIST HEALTH HANFORD,Kings,22,,8030,,POINT (-119.668391 36.325625)
ADVENTIST HEALTH CLEARLAKE,Lake,4,1148.0,1460,79.0,POINT (-122.6202 38.93619)
SUTTER LAKESIDE HOSPITAL,Lake,4,1089.0,1460,75.0,POINT (-122.91003 39.10232)
ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,6,1930.0,2190,88.0,POINT (-118.1449 34.08988)
ANTELOPE VALLEY HOSPITAL,Los Angeles,21,8743.0,7665,114.0,POINT (-118.157981 34.6878)
KINDRED HOSPITAL - BALDWIN PARK,Los Angeles,8,2292.0,2920,78.0,POINT (-117.967611 34.06288)
ST. MARY MEDICAL CENTER - LONG BEACH,Los Angeles,38,7532.0,14004,54.0,POINT (-118.186641 33.780238)
LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,Los Angeles,5,0.0,1825,0.0,POINT (-118.12945 33.87472)
BEVERLY HOSPITAL,Los Angeles,12,3280.0,4380,75.0,POINT (-118.10132 34.01614)
SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,Los Angeles,10,1997.0,3650,55.0,POINT (-118.396943 34.023195)
CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Los Angeles,28,1259.0,10220,12.0,POINT (-118.26551 34.03721)
CASA COLINA HOSPITAL,Los Angeles,6,402.0,2190,18.0,POINT (-117.745655 34.096265)
CENTINELA HOSPITAL MEDICAL CENTER,Los Angeles,19,4623.0,6935,67.0,POINT (-118.34788 33.94917)
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,Los Angeles,13,,4745,,POINT (-118.08176 33.83377)
CHILDREN'S HOSPITAL OF LOS ANGELES,Los Angeles,73,27433.0,26645,103.0,POINT (-118.290955 34.097869)
CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Los Angeles,18,5277.0,6570,80.0,POINT (-117.97356 34.13219)
KINDRED HOSPITAL - SOUTH BAY,Los Angeles,4,1406.0,1460,96.0,POINT (-118.29701 33.89042)
COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,4,1234.0,1460,85.0,POINT (-118.22466 33.98929)
LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,6,1548.0,2190,71.0,POINT (-118.1875 34.01897)
SAN GABRIEL VALLEY MEDICAL CENTER,Los Angeles,19,2117.0,6935,31.0,POINT (-118.10503 34.1024)
LAKEWOOD REGIONAL MEDICAL CENTER,Los Angeles,8,4233.0,2920,145.0,POINT (-118.149201 33.859731)
PIH HEALTH HOSPITAL - DOWNEY,Los Angeles,8,3574.0,2920,122.0,POINT (-118.13196 33.93515)
EAST LOS ANGELES DOCTORS HOSPITAL,Los Angeles,4,672.0,1460,46.0,POINT (-118.18377 34.02383)
ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,22,758.0,8030,9.0,POINT (-118.48662 34.15686)
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,9,4404.0,3285,134.0,POINT (-117.87244 34.13384)
KINDRED HOSPITAL - LOS ANGELES,Los Angeles,5,1729.0,1825,95.0,POINT (-118.378431 33.99021)
GARFIELD MEDICAL CENTER,Los Angeles,14,3155.0,5110,62.0,POINT (-118.12302 34.06826)
ADVENTIST HEALTH GLENDALE,Los Angeles,42,3776.0,15330,25.0,POINT (-118.23109 34.14951)
GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,5,2242.0,1825,123.0,POINT (-118.04257 34.04827)
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Los Angeles,5,2306.0,1825,126.0,POINT (-118.32501 34.09628)
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,28,4584.0,10220,45.0,POINT (-118.29163 34.09557)
PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,12,7603.0,4380,174.0,POINT (-118.45951 34.2791)
GOOD SAMARITAN HOSPITAL-LOS ANGELES,Los Angeles,58,10754.0,21170,51.0,POINT (-118.26522 34.05324)
HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,38,7614.0,13870,55.0,POINT (-118.1518 34.13565)
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,Los Angeles,8,2150.0,2920,74.0,POINT (-117.89264 34.08993)
TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,46,6879.0,16790,41.0,POINT (-118.343494 33.811916)
KAISER FOUNDATION HOSPITAL - LOS ANGELES,Los Angeles,96,14682.0,30176,49.0,POINT (-118.295371 34.09875)
KAISER FOUNDATION HOSPITAL - SOUTH BAY,Los Angeles,20,2431.0,7300,33.0,POINT (-118.29373 33.78926)
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,Los Angeles,24,2747.0,8760,31.0,POINT (-118.43103 34.2198)
KAISER FOUNDATION HOSPITAL - WEST LA,Los Angeles,31,3797.0,11315,34.0,POINT (-118.37568 34.03793)
KINDRED HOSPITAL - LA MIRADA,Los Angeles,6,1882.0,2190,86.0,POINT (-118.01321 33.91709)
KINDRED HOSPITAL - SAN GABRIEL VALLEY,Los Angeles,6,1843.0,2190,84.0,POINT (-117.91669 34.0857)
PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,Los Angeles,28,6514.0,10220,64.0,POINT (-118.356771 33.83891)
COMMUNITY HOSPITAL LONG BEACH,Los Angeles,20,,7300,,POINT (-118.14578 33.78871)
CEDARS-SINAI MARINA DEL REY HOSPITAL,Los Angeles,12,2638.0,4380,60.0,POINT (-118.43971 33.98125)
PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,Los Angeles,17,3811.0,6205,61.0,POINT (-118.532001 34.17067)
MEMORIAL HOSPITAL OF GARDENA,Los Angeles,5,3047.0,1825,167.0,POINT (-118.29493 33.89246)
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,Los Angeles,12,3027.0,4380,69.0,POINT (-118.25769 34.1284)
MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,Los Angeles,5,2232.0,1825,122.0,POINT (-118.45639 34.22138)
MEMORIALCARE LONG BEACH MEDICAL CENTER,Los Angeles,60,15202.0,21900,69.0,POINT (-118.1852 33.80801)
METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,29,2900.0,10585,27.0,POINT (-118.03879 34.13603)
OLYMPIA MEDICAL CENTER,Los Angeles,6,1147.0,2190,52.0,POINT (-118.36008 34.05754)
MONROVIA MEMORIAL HOSPITAL,Los Angeles,4,1453.0,1460,100.0,POINT (-117.992205 34.149086)
MONTEREY PARK HOSPITAL,Los Angeles,4,928.0,1460,64.0,POINT (-118.13665 34.05308)
CEDARS-SINAI MEDICAL CENTER,Los Angeles,126,32248.0,45990,70.0,POINT (-118.38061 34.07681)
NORTHRIDGE HOSPITAL MEDICAL CENTER,Los Angeles,24,3476.0,8760,40.0,POINT (-118.53186 34.22075)
NORWALK COMMUNITY HOSPITAL,Los Angeles,6,1449.0,2190,66.0,POINT (-118.0644 33.91108)
COLLEGE MEDICAL CENTER,Los Angeles,8,1503.0,2920,51.0,POINT (-118.19355 33.80759)
KINDRED HOSPITAL PARAMOUNT,Los Angeles,7,1649.0,1708,97.0,POINT (-118.16144 33.8849)
POMONA VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,38,10981.0,13870,79.0,POINT (-117.750621 34.07709)
PIH HEALTH HOSPITAL - WHITTIER,Los Angeles,48,6087.0,17520,35.0,POINT (-118.049255 33.969794)
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,Los Angeles,12,3836.0,4380,88.0,POINT (-117.94528 34.06242)
L.A. DOWNTOWN MEDICAL CENTER,Los Angeles,12,1318.0,4380,30.0,POINT (-118.26324 34.06879)
SAN DIMAS COMMUNITY HOSPITAL,Los Angeles,8,1211.0,2920,41.0,POINT (-117.834328 34.099076)
PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,Los Angeles,12,2055.0,4380,47.0,POINT (-118.303893 33.737939)
SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,Los Angeles,22,5710.0,8030,71.0,POINT (-118.486123 34.027539)
PACIFICA HOSPITAL OF THE VALLEY,Los Angeles,7,859.0,2555,34.0,POINT (-118.39555 34.24088)
SHERMAN OAKS HOSPITAL,Los Angeles,8,2431.0,2920,83.0,POINT (-118.4488 34.15995)
PROVIDENCE SAINT JOHN'S HEALTH CENTER,Los Angeles,23,5018.0,8395,60.0,POINT (-118.478668 34.029804)
PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Los Angeles,38,10721.0,13870,77.0,POINT (-118.32655 34.15486)
COAST PLAZA HOSPITAL,Los Angeles,4,1522.0,1460,104.0,POINT (-118.09915 33.91255)
RONALD REAGAN UCLA MEDICAL CENTER,Los Angeles,120,44345.0,43800,101.0,POINT (-118.445 34.068889)
VALLEY PRESBYTERIAN HOSPITAL,Los Angeles,30,5194.0,10950,47.0,POINT (-118.4632 34.19396)
USC VERDUGO HILLS HOSPITAL,Los Angeles,6,1499.0,2190,68.0,POINT (-118.2152 34.20557)
WEST HILLS HOSPITAL AND MEDICAL CENTER,Los Angeles,25,5979.0,9125,66.0,POINT (-118.62939 34.20337)
ADVENTIST HEALTH WHITE MEMORIAL,Los Angeles,39,5157.0,14235,36.0,POINT (-118.21691 34.05085)
WHITTIER HOSPITAL MEDICAL CENTER,Los Angeles,16,2926.0,5840,50.0,POINT (-118.00303 33.95379)
HENRY MAYO NEWHALL HOSPITAL,Los Angeles,12,3661.0,4380,84.0,POINT (-118.55476 34.39545)
"USC KENNETH NORRIS, JR. CANCER HOSPITAL",Los Angeles,13,721.0,4745,15.0,POINT (-118.20471 34.062)
LAC/HARBOR-UCLA MEDICAL CENTER,Los Angeles,44,11896.0,16060,74.0,POINT (-118.29353 33.83155)
LAC+USC MEDICAL CENTER,Los Angeles,130,29135.0,47450,61.0,POINT (-118.21031 34.05982)
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",Los Angeles,20,2517.0,7300,34.0,POINT (-118.2435 33.92453)
LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,Los Angeles,42,3736.0,15330,24.0,POINT (-118.45255 34.32418)
LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,Los Angeles,12,629.0,4380,14.0,POINT (-118.15795 33.92723)
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,Los Angeles,22,3266.0,8030,41.0,POINT (-118.58829 34.17198)
KECK HOSPITAL OF USC,Los Angeles,84,24237.0,30660,79.0,POINT (-118.20287 34.06284)
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,Los Angeles,12,2739.0,4380,63.0,POINT (-117.986 34.06348)
MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,Los Angeles,30,5107.0,10950,47.0,POINT (-118.18506 33.80807)
KAISER FOUNDATION HOSPITAL - DOWNEY,Los Angeles,38,4955.0,13870,36.0,POINT (-118.129022 33.917123)
PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,24,3443.0,8760,39.0,POINT (-118.144346 34.584375)
MADERA COMMUNITY HOSPITAL,Madera,10,2592.0,3650,71.0,POINT (-120.0447 36.94538)
VALLEY CHILDREN'S HOSPITAL,Madera,42,8092.0,15330,53.0,POINT (-119.80042 36.88439)
KAISER FOUNDATION HOSPITAL - SAN RAFAEL,Marin,12,2398.0,4380,55.0,POINT (-122.55376 38.0041)
MARINHEALTH MEDICAL CENTER,Marin,14,3463.0,5110,68.0,POINT (-122.53715 37.94651)
NOVATO COMMUNITY HOSPITAL,Marin,4,1155.0,1460,79.0,POINT (-122.55974 38.09827)
MENDOCINO COAST DISTRICT HOSPITAL,Mendocino,4,404.0,1460,28.0,POINT (-123.80068 39.4326)
ADVENTIST HEALTH UKIAH VALLEY,Mendocino,8,1997.0,2722,73.0,POINT (-123.202741 39.15216)
ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino,4,1114.0,1460,76.0,POINT (-123.35486 39.39927)
MEMORIAL HOSPITAL LOS BANOS,Merced,4,542.0,1460,37.0,POINT (-120.86147 37.06273)
MERCY MEDICAL CENTER - MERCED,Merced,20,3925.0,7300,54.0,POINT (-120.465182 37.340231)
MAMMOTH HOSPITAL,Mono,2,110.0,730,15.0,POINT (-118.96408 37.64524)
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Monterey,10,1574.0,3650,43.0,POINT (-121.92488 36.59827)
GEORGE L. MEE MEMORIAL HOSPITAL,Monterey,4,89.0,1460,6.0,POINT (-121.1325 36.2071)
SALINAS VALLEY MEMORIAL HOSPITAL,Monterey,6,1832.0,2190,84.0,POINT (-121.646291 36.65909)
NATIVIDAD MEDICAL CENTER,Monterey,10,2437.0,3650,67.0,POINT (-121.6297 36.69686)
QUEEN OF THE VALLEY MEDICAL CENTER,Napa,36,3004.0,13140,23.0,POINT (-122.296 38.32363)
ADVENTIST HEALTH ST. HELENA,Napa,12,2572.0,4380,59.0,POINT (-122.473003 38.539373)
SIERRA NEVADA MEMORIAL HOSPITAL,Nevada,2,518.0,730,71.0,POINT (-121.047201 39.22808)
TAHOE FOREST HOSPITAL,Nevada,6,1441.0,2190,66.0,POINT (-120.201516 39.324536)
CHILDREN'S HOSPITAL OF ORANGE COUNTY,Orange,54,11443.0,19710,58.0,POINT (-117.865449 33.780751)
MEMORIALCARE ORANGE COAST MEDICAL CENTER,Orange,21,7017.0,7665,92.0,POINT (-117.95524 33.70162)
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,22,2850.0,8030,35.0,POINT (-117.93248 33.84725)
KINDRED HOSPITAL - BREA,Orange,4,1426.0,1460,98.0,POINT (-117.89341 33.93393)
CHAPMAN GLOBAL MEDICAL CENTER,Orange,12,1539.0,4380,35.0,POINT (-117.82586 33.78785)
KINDRED HOSPITAL - SANTA ANA,Orange,7,1824.0,2555,71.0,POINT (-117.89183 33.76158)
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - EUCLID,Orange,36,8479.0,13140,65.0,POINT (-117.93694 33.71546)
ANAHEIM GLOBAL MEDICAL CENTER,Orange,22,3780.0,8030,47.0,POINT (-117.90921 33.8209)
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,19,5355.0,6935,77.0,POINT (-117.92949 33.62526)
HUNTINGTON BEACH HOSPITAL,Orange,6,1529.0,2190,70.0,POINT (-117.98895 33.70442)
LA PALMA INTERCOMMUNITY HOSPITAL,Orange,4,1176.0,1460,81.0,POINT (-118.0373 33.84755)
LOS ALAMITOS MEDICAL CENTER,Orange,9,3231.0,3285,98.0,POINT (-118.0674 33.80327)
SOUTH COAST GLOBAL MEDICAL CENTER,Orange,9,1508.0,3285,46.0,POINT (-117.88539 33.71112)
MISSION HOSPITAL REGIONAL MEDICAL CENTER,Orange,36,5899.0,13140,45.0,POINT (-117.66768 33.56279)
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,Orange,60,19198.0,21900,88.0,POINT (-117.890134 33.787988)
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Orange,12,2512.0,4380,57.0,POINT (-117.913032 33.774509)
PLACENTIA LINDA HOSPITAL,Orange,4,700.0,1460,48.0,POINT (-117.843427 33.887072)
MEMORIALCARE SADDLEBACK MEDICAL CENTER,Orange,22,5845.0,8237,71.0,POINT (-117.70825 33.60802)
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,Orange,7,,2555,,POINT (-117.64954 33.45745)
MISSION HOSPITAL LAGUNA BEACH,Orange,10,976.0,3650,27.0,POINT (-117.74225 33.499739)
ST. JOSEPH HOSPITAL - ORANGE,Orange,32,6429.0,11680,55.0,POINT (-117.86516 33.7823)
ST. JUDE MEDICAL CENTER,Orange,51,7160.0,18615,38.0,POINT (-117.92851 33.89349)
FOOTHILL REGIONAL MEDICAL CENTER,Orange,15,2258.0,5475,41.0,POINT (-117.82903 33.73119)
WEST ANAHEIM MEDICAL CENTER,Orange,10,1948.0,3650,53.0,POINT (-117.99492 33.82482)
KINDRED HOSPITAL WESTMINSTER,Orange,16,5181.0,5840,89.0,POINT (-117.99438 33.76301)
ORANGE COUNTY GLOBAL MEDICAL CENTER,Orange,42,8891.0,15330,58.0,POINT (-117.83398 33.75361)
HOAG HOSPITAL IRVINE,Orange,12,1644.0,4380,38.0,POINT (-117.77371 33.66168)
CHILDREN'S HOSPITAL AT MISSION,Orange,8,1004.0,2920,34.0,POINT (-117.66768 33.56279)
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,Orange,20,4706.0,7300,64.0,POINT (-117.77401 33.65921)
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,Orange,40,5492.0,14600,38.0,POINT (-117.84399 33.85442)
SUTTER AUBURN FAITH HOSPITAL,Placer,4,850.0,1460,58.0,POINT (-121.09943 38.94432)
SUTTER ROSEVILLE MEDICAL CENTER,Placer,24,6914.0,8760,79.0,POINT (-121.24922 38.76515)
KAISER FOUNDATION HOSPITAL - ROSEVILLE,Placer,30,6131.0,10950,56.0,POINT (-121.25107 38.74636)
CORONA REGIONAL MEDICAL CENTER-MAIN,Riverside,18,3793.0,6570,58.0,POINT (-117.566802 33.873335)
DESERT REGIONAL MEDICAL CENTER,Riverside,23,8964.0,8395,107.0,POINT (-116.54549 33.83932)
EISENHOWER MEDICAL CENTER,Riverside,64,5968.0,23360,26.0,POINT (-116.40808 33.76418)
HEMET GLOBAL MEDICAL CENTER,Riverside,18,5616.0,6570,85.0,POINT (-116.95958 33.75113)
JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,16,2971.0,5840,51.0,POINT (-116.23391 33.70677)
PALO VERDE HOSPITAL,Riverside,4,0.0,1460,0.0,POINT (-114.5956 33.61315)
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,Riverside,13,2662.0,4745,56.0,POINT (-117.43996 33.92573)
RIVERSIDE COMMUNITY HOSPITAL,Riverside,75,20358.0,27375,74.0,POINT (-117.37997 33.97641)
SAN GORGONIO MEMORIAL HOSPITAL,Riverside,16,1898.0,5840,32.0,POINT (-116.945903 33.931749)
KINDRED HOSPITAL - RIVERSIDE,Riverside,8,2009.0,2920,69.0,POINT (-117.22161 33.81241)
SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,Riverside,18,3600.0,6570,55.0,POINT (-117.23699 33.59124)
MENIFEE GLOBAL MEDICAL CENTER,Riverside,6,2401.0,2190,110.0,POINT (-117.15691 33.72146)
KAISER FOUNDATION HOSPITAL - RIVERSIDE,Riverside,11,2270.0,4015,57.0,POINT (-117.47082 33.9063)
KAISER FOUNDATION HOSPITAL - MORENO VALLEY,Riverside,5,1209.0,1825,66.0,POINT (-117.18677 33.89553)
SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,Riverside,7,1008.0,2555,39.0,POINT (-117.18488 33.55788)
RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER,Riverside,44,10497.0,16060,65.0,POINT (-117.19525 33.91187)
TEMECULA VALLEY HOSPITAL,Riverside,20,3634.0,7300,50.0,POINT (-117.104802 33.479594)
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,Riverside,12,3661.0,4380,84.0,POINT (-117.162448 33.612226)
KAISER FOUNDATION HOSPITAL - SACRAMENTO,Sacramento,25,9483.0,9125,104.0,POINT (-121.39232 38.60197)
MERCY GENERAL HOSPITAL,Sacramento,46,8765.0,16790,52.0,POINT (-121.45271 38.56955)
MERCY SAN JUAN HOSPITAL,Sacramento,45,13740.0,16425,84.0,POINT (-121.31261 38.66818)
METHODIST HOSPITAL OF SACRAMENTO,Sacramento,10,2866.0,3650,79.0,POINT (-121.41744 38.46416)
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,Sacramento,116,32532.0,42340,77.0,POINT (-121.45738 38.55438)
"SUTTER MEDICAL CENTER, SACRAMENTO",Sacramento,80,19913.0,29200,68.0,POINT (-121.47028 38.57045)
KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,Sacramento,30,8262.0,10950,75.0,POINT (-121.42409 38.47144)
MERCY HOSPITAL OF FOLSOM,Sacramento,8,2154.0,2920,74.0,POINT (-121.1428 38.67223)
VIBRA HOSPITAL OF SACRAMENTO,Sacramento,6,1095.0,2190,50.0,POINT (-121.157785 38.681965)
SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.,Sacramento,10,1716.0,3650,47.0,POINT (-121.45619 38.55286)
HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,4,770.0,2696,29.0,POINT (-121.38609 36.835)
CHINO VALLEY MEDICAL CENTER,San Bernardino,14,1368.0,5110,27.0,POINT (-117.687 34.02626)
MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,8,835.0,2920,29.0,POINT (-117.69603 34.07774)
KAISER FOUNDATION HOSPITAL - FONTANA,San Bernardino,60,14426.0,21900,66.0,POINT (-117.43549 34.0725)
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,San Bernardino,8,1939.0,2920,66.0,POINT (-117.2516 34.0482)
LOMA LINDA UNIVERSITY MEDICAL CENTER,San Bernardino,90,35924.0,32850,109.0,POINT (-117.26146 34.05164)
KINDRED HOSPITAL - ONTARIO,San Bernardino,7,11638.0,2555,455.0,POINT (-117.64364 34.06881)
REDLANDS COMMUNITY HOSPITAL,San Bernardino,12,3468.0,4380,79.0,POINT (-117.2044 34.03699)
SAN ANTONIO REGIONAL HOSPITAL,San Bernardino,24,3479.0,8760,40.0,POINT (-117.63828 34.10056)
