fac_no,fac_name,fac_city,county,license_no,fac_zip,icu_beds,tot_lic_beds
106370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,San Diego,080000028,92123,54,524
106370714,GROSSMONT HOSPITAL,LA MESA,San Diego,080000006,91942,70,524
106341051,"SUTTER MEDICAL CENTER, SACRAMENTO",SACRAMENTO,Sacramento,030000102,95816,80,523
106190631,PIH HEALTH HOSPITAL - WHITTIER,WHITTIER,Los Angeles,930000129,90602,48,523
106190323,ADVENTIST HEALTH GLENDALE,GLENDALE,Los Angeles,930000059,91206,42,515
106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,Los Angeles,930000032,90027,73,495
106370744,SCRIPPS MERCY HOSPITAL,SAN DIEGO,San Diego,090000074,92103-2180,22,482
106420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Santa Barbara,050000140,93105,65,481
106331312,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,Riverside,250000194,92501,75,478
106301340,ST. JOSEPH HOSPITAL - ORANGE,ORANGE,Orange,060000172,92868,32,463
106331168,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,Riverside,250000142,92270,64,463
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,Los Angeles,930000077,90027,96,460
106364231,ARROWHEAD REGIONAL MEDICAL CENTER,COLTON,San Bernardino,240000197,92324-1816,48,456
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,CULVER CITY,Los Angeles,930000066,90232,10,453
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,LONG BEACH,Los Angeles,930000102,90806,60,453
106191227,LAC/HARBOR-UCLA MEDICAL CENTER,TORRANCE,Los Angeles,060000129,90502,44,453
106361223,KAISER FOUNDATION HOSPITAL - FONTANA,FONTANA,San Bernardino,240000159,92335,60,450
106370875,SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,San Diego,090000008,91911,51,449
106410782,SAN MATEO MEDICAL CENTER,SAN MATEO,San Mateo,220000015,94403,7,448
106190796,RONALD REAGAN UCLA MEDICAL CENTER,LOS ANGELES,Los Angeles,930000165,90095,120,445
106190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,TORRANCE,Los Angeles,930000089,90503,28,442
106334487,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER,MORENO VALLEY,Riverside,250000195,92555,44,439
106100899,ST. AGNES MEDICAL CENTER,FRESNO,Fresno,040000173,93720,35,436
106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,Orange,060000122,92663,19,434
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Los Angeles,930000067,90027,28,434
106370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,LA JOLLA,San Diego,080000050,92037,77,432
106190034,ANTELOPE VALLEY HOSPITAL,LANCASTER,Los Angeles,930000008,93534,21,420
106500939,MEMORIAL MEDICAL CENTER - MODESTO,MODESTO,Stanislaus,030000061,95355,23,419
106340947,MERCY GENERAL HOSPITAL,SACRAMENTO,Sacramento,030000062,95819,46,419
106374141,UCSD HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,LA JOLLA,San Diego,090000101,92037,48,418
106331194,HEMET GLOBAL MEDICAL CENTER,HEMET,Riverside,250000145,92543,18,417
106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,Los Angeles,930000128,91767,38,412
106190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,Los Angeles,930000071,90017,58,408
106150722,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,Kern,120000181,93301,32,408
106370730,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,SAN DIEGO,San Diego,080000062,92120,24,406
106430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,SAN JOSE,Santa Clara,070000048,95124,42,404
106010937,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,Alameda,140000284,94609,30,403
106301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,ORANGE,Orange,060000148,92868,60,402
106194219,KECK HOSPITAL OF USC,LOS ANGELES,Los Angeles,930000459,90033,84,401
106380939,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER,SAN FRANCISCO,San Francisco,220000063,94110,58,397
106500852,DOCTORS MEDICAL CENTER,MODESTO,Stanislaus,030000026,95350,32,394
106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,Los Angeles,930000114,91325,24,394
106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,BURBANK,Los Angeles,930000159,91505-4809,38,392
106380842,JEWISH HOME & REHAB CENTER,SAN FRANCISCO,San Francisco,220000224,94112-1596,0,391
106370782,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,SAN DIEGO,San Diego,090000101,92103,32,390
106370780,TRI-CITY MEDICAL CENTER,OCEANSIDE,San Diego,080000099,92056,14,386
106331164,DESERT REGIONAL MEDICAL CENTER,PALM SPRINGS,Riverside,250000139,92262,23,385
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,MISSION HILLS,Los Angeles,930000404,91345,12,377
106361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,LOMA LINDA,San Bernardino,240000169,92354,90,371
106340950,MERCY SAN JUAN HOSPITAL,CARMICHAEL,Sacramento,030000063,95608,45,370
106430035,STANFORD HEALTH CARE,PALO ALTO,Santa Clara,070000662,94304,104,368
106361318,SAN ANTONIO REGIONAL HOSPITAL,UPLAND,San Bernardino,240000196,91786,24,363
106190148,CENTINELA HOSPITAL MEDICAL CENTER,INGLEWOOD,Los Angeles,930000027,90301,19,362
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,LONG BEACH,Los Angeles,930000012,90813,38,360
106430837,O'CONNOR HOSPITAL,SAN JOSE,Santa Clara,070000085,95128,14,358
106204019,VALLEY CHILDREN'S HOSPITAL,MADERA,Madera,040000160,93636,42,358
106410817,SETON MEDICAL CENTER,DALY CITY,San Mateo,220000026,94015,14,357
106196168,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,LONG BEACH,Los Angeles,930000949,90806,30,357
106190949,HENRY MAYO NEWHALL HOSPITAL,VALENCIA,Los Angeles,930000206,91355,12,357
106190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,SAN PEDRO,Los Angeles,930000142,90732,12,356
106191231,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,Los Angeles,060000133,91342,42,355
106391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,San Joaquin,030000284,95204,20,355
106190878,ADVENTIST HEALTH WHITE MEMORIAL,LOS ANGELES,Los Angeles,930000195,90033,39,353
106196403,KAISER FOUNDATION HOSPITAL - DOWNEY,DOWNEY,Los Angeles,930000078,90242,38,352
106190812,VALLEY PRESBYTERIAN HOSPITAL,VAN NUYS,Los Angeles,930000170,91405,30,350
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,ARCADIA,Los Angeles,930000103,91007,29,348
106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,SAN BERNARDINO,San Bernardino,240000198,92411,11,347
106301262,MISSION HOSPITAL REGIONAL MEDICAL CENTER,MISSION VIEJO,Orange,060000146,92691,36,345
106364502,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA,San Bernardino,550002873,92354,99,343
106361339,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,San Bernardino,240000206,92404,27,342
106010987,WASHINGTON HOSPITAL - FREMONT,FREMONT,Alameda,140000116,94538,13,341
106314024,KAISER FOUNDATION HOSPITAL - ROSEVILLE,ROSEVILLE,Placer,550001681,95661,30,340
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,BERKELEY,Alameda,140000004,94705,16,339
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,Los Angeles,930000099,91204,12,334
106300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,Orange,060000011,92868,54,334
106340951,METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,Sacramento,030000064,95823,10,329
106311000,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,Placer,030000083,95661,24,328
106434153,KAISER FOUNDATION HOSPITAL - SANTA CLARA,SANTA CLARA,Santa Clara,070000661,95051,38,327
106190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,WEST COVINA,Los Angeles,930000131,91790,12,325
106560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,THOUSAND OAKS,Ventura,050000039,91360,20,321
106420493,MARIAN REGIONAL MEDICAL CENTER,SANTA MARIA,Santa Barbara,050000040,93454,0,321
106301342,ST. JUDE MEDICAL CENTER,FULLERTON,Orange,060000173,92835,51,320
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,LOS ANGELES,Los Angeles,930000024,90015,28,318
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,OAKLAND,Alameda,140000052,94611,42,315
106380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,San Francisco,220000197,94115,29,309
106410852,MILLS-PENINSULA MEDICAL CENTER,BURLINGAME,San Mateo,220000037,94010,24,301
106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,San Diego,090000092,92110,0,301
106430763,EL CAMINO HEALTH,MOUNTAIN VIEW,Santa Clara,070000660,94040,24,300
106380777,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,SAN FRANCISCO,San Francisco,220000197,94118,8,299
106380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,San Francisco,220000069,94109,10,294
106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - EUCLID,FOUNTAIN VALLEY,Orange,060000109,92708,36,293
106384176,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,SAN FRANCISCO,San Francisco,220000197,94109,44,292
106370759,PARADISE VALLEY HOSPITAL,NATIONAL CITY,San Diego,090000086,91950,10,291
106384200,UCSF MEDICAL CENTER AT MISSION BAY,SAN FRANCISCO,San Francisco,220000091,94158,46,289
106340913,KAISER FOUNDATION HOSPITAL - SACRAMENTO,SACRAMENTO,Sacramento,030000052,95825,25,287
106374382,PALOMAR MEDICAL CENTER,ESCONDIDO,San Diego,080000083,92029,24,286
106491064,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,SANTA ROSA,Sonoma,140000648,95405,16,283
106301566,ORANGE COUNTY GLOBAL MEDICAL CENTER,SANTA ANA,Orange,060000188,92705,42,282
106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,SANTA MONICA,Los Angeles,930000146,90404,22,281
106380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,San Francisco,220000071,94117,37,275
106191450,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,WOODLAND HILLS,Los Angeles,930000358,91367,22,274
106190200,SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL,Los Angeles,930000041,91776,19,273
106196035,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,BALDWIN PARK,Los Angeles,930000920,91706,12,272
106190756,PROVIDENCE SAINT JOHN'S HEALTH CENTER,SANTA MONICA,Los Angeles,930000158,90404,23,266
106450949,MERCY MEDICAL CENTER - REDDING,REDDING,Shasta,230000024,96001,33,266
106190434,KAISER FOUNDATION HOSPITAL - WEST LA,LOS ANGELES,Los Angeles,930000081,90034,31,265
106560529,ST. JOHN'S REGIONAL MEDICAL CENTER,OXNARD,Ventura,050000064,93030,10,265
106430705,REGIONAL MEDICAL OF SAN JOSE,SAN JOSE,Santa Clara,070000005,95116,34,264
106270875,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,Monterey,070000083,93901,6,263
106304409,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,ANAHEIM,Orange,060000091,92806,40,262
106190859,WEST HILLS HOSPITAL AND MEDICAL CENTER,WEST HILLS,Los Angeles,930000189,91307,25,260
106270744,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,Monterey,070000026,93940,10,258
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,HARBOR CITY,Los Angeles,930000079,90710,20,257
106150788,ADVENTIST HEALTH BAKERSFIELD,BAKERSFIELD,Kern,120000187,93301,34,254
106374465,KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA,SAN DIEGO,San Diego,080000062,92123,20,253
106560473,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,VENTURA,Ventura,050000026,93003,14,250
106196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,RESEDA,Los Angeles,550000621,91335,0,249
106010846,HIGHLAND HOSPITAL,OAKLAND,Alameda,140000046,94602,24,249
106190517,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,TARZANA,Los Angeles,930000097,91356,17,249
106301317,MEMORIALCARE SADDLEBACK MEDICAL CENTER,LAGUNA HILLS,Orange,060000166,92653,22,248
106480989,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO,VALLEJO,Solano,110000026,94589,24,248
106010735,ALAMEDA HOSPITAL,ALAMEDA,Alameda,140000002,94501,0,247
106431506,KAISER FOUNDATION HOSPITAL - SAN JOSE,SAN JOSE,Santa Clara,070000117,95119,14,247
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONCORD,Contra Costa,140000128,94520,36,244
106342344,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,SACRAMENTO,Sacramento,030000228,95823,30,241
106380857,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,SAN FRANCISCO,San Francisco,220000188,94115,32,239
106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,DOWNEY,Los Angeles,060000161,90242,12,239
106430905,STANFORD HEALTH CARE,PALO ALTO,Santa Clara,070000662,94305,17,237
106370977,POMERADO HOSPITAL,POWAY,San Diego,080000127,92064,12,236
106211006,MARINHEALTH MEDICAL CENTER,GREENBRAE,Marin,110000361,94904,14,235
106190661,L.A. DOWNTOWN MEDICAL CENTER,LOS ANGELES,Los Angeles,930000137,90026,12,234
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,WALNUT CREEK,Contra Costa,140000290,94596-5300,24,233
106190696,PACIFICA HOSPITAL OF THE VALLEY,SUN VALLEY,Los Angeles,930000148,91352,7,231
106361308,REDLANDS COMMUNITY HOSPITAL,REDLANDS,San Bernardino,240000191,92373,12,229
106040962,ENLOE MEDICAL CENTER- ESPLANADE,CHICO,Butte,230000027,95926,33,228
106334025,KAISER FOUNDATION HOSPITAL - RIVERSIDE,RIVERSIDE,Riverside,250000327,92505,11,226
106450940,SHASTA REGIONAL MEDICAL CENTER,REDDING,Shasta,230000023,96001,37,226
106560481,VENTURA COUNTY MEDICAL CENTER,VENTURA,Ventura,050000032,93003,45,223
106380933,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL,SAN FRANCISCO,San Francisco,220000197,94117,8,223
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ANAHEIM,Orange,060000080,92801,22,223
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,OAKLAND,Alameda,140000015,94609,23,223
106150736,KERN MEDICAL CENTER,BAKERSFIELD,Kern,120000182,93306,24,222
106440755,DOMINICAN HOSPITAL,SANTA CRUZ,Santa Cruz,070000030,95065,10,222
106300225,MEMORIALCARE ORANGE COAST MEDICAL CENTER,FOUNTAIN VALLEY,Orange,060000066,92708,21,222
106580996,ADVENTIST HEALTH AND RIDEOUT,MARYSVILLE,Yuba,230000126,95901,24,221
106190587,COLLEGE MEDICAL CENTER,LONG BEACH,Los Angeles,930000117,90806,8,221
106301379,WEST ANAHEIM MEDICAL CENTER,ANAHEIM,Orange,060000182,92804,10,219
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,PANORAMA CITY,Los Angeles,930000080,91402,24,218
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,DUARTE,Los Angeles,930000033,91010,18,217
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,Alameda,550002678,94577,30,216
106361343,ST. MARY MEDICAL CENTER - APPLE VALLEY,APPLE VALLEY,San Bernardino,240000207,92307,20,212
106190315,GARFIELD MEDICAL CENTER,MONTEREY PARK,Los Angeles,930000057,91754,14,210
106500867,EMANUEL MEDICAL CENTER,TURLOCK,Stanislaus,030000035,95382,12,209
106410891,SEQUOIA HOSPITAL,REDWOOD CITY,San Mateo,220000045,94062,16,208
106281047,QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,Napa,110000060,94558,36,208
106100005,CLOVIS COMMUNITY MEDICAL CENTER,CLOVIS,Fresno,040000004,93611,24,208
106304306,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,IRVINE,Orange,060000091,92618,20,207
106370695,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,SAN DIEGO,San Diego,080000039,92123,0,206
106190534,OLYMPIA MEDICAL CENTER,LOS ANGELES,Los Angeles,930000105,90036,6,204
106190081,BEVERLY HOSPITAL,MONTEBELLO,Los Angeles,930000389,90640,12,202
106390846,DAMERON HOSPITAL,STOCKTON,San Joaquin,030000024,95203,12,202
106190243,PIH HEALTH HOSPITAL - DOWNEY,DOWNEY,Los Angeles,930000048,90241,8,199
106150782,RIDGECREST REGIONAL HOSPITAL,RIDGECREST,Kern,120000186,93555,16,197
106391010,SAN JOAQUIN GENERAL HOSPITAL,FRENCH CAMP,San Joaquin,030000087,95231,16,196
106390923,ADVENTIST HEALTH LODI MEMORIAL,LODI,San Joaquin,030000056,95240-5179,10,194
106371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,ENCINITAS,San Diego,080000148,92024,12,193
106331293,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,RIVERSIDE,Riverside,250000186,92503,13,193
106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,COVINA,Los Angeles,930000131,91723,8,191
106301188,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,Orange,060000117,92805,22,189
106190184,COLLEGE HOSPITAL,CERRITOS,Los Angeles,930000036,90703,0,187
106240942,MERCY MEDICAL CENTER - MERCED,MERCED,Merced,040000178,95340,20,186
106196405,PALMDALE REGIONAL MEDICAL CENTER,PALMDALE,Los Angeles,930000085,93551,24,184
106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,CORONADO,San Diego,090000036,92118,3,181
106362041,HI-DESERT MEDICAL CENTER,JOSHUA TREE,San Bernardino,240000231,92252,4,179
106301258,SOUTH COAST GLOBAL MEDICAL CENTER,SANTA ANA,Orange,060000143,92704,9,178
106301337,MISSION HOSPITAL LAGUNA BEACH,LAGUNA BEACH,Orange,060000146,92651,10,178
106190883,WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER,Los Angeles,930000402,90605,16,178
106190599,KINDRED HOSPITAL PARAMOUNT,PARAMOUNT,Los Angeles,930000088,90723,7,177
106301357,FOOTHILL REGIONAL MEDICAL CENTER,TUSTIN,Orange,060000178,92780,15,177
106364265,KAISER FOUNDATION HOSPITAL - ONTARIO,ONTARIO,San Bernardino,240000159,91761,20,176
106371256,SCRIPPS GREEN HOSPITAL,LA JOLLA,San Diego,080000139,92037,12,173
106494019,KAISER FOUNDATION HOSPITAL - SANTA ROSA,SANTA ROSA,Sonoma,110000213,95403,20,173
106164029,ADVENTIST HEALTH HANFORD,HANFORD,Kings,550001439,93230,22,173
106370658,SCRIPPS MERCY HOSPITAL - CHULA VISTA,CHULA VISTA,San Diego,090000074,91910,24,173
106190521,MEMORIAL HOSPITAL OF GARDENA,GARDENA,Los Angeles,930000098,90247,5,172
106274043,NATIVIDAD MEDICAL CENTER,SALINAS,Monterey,070000070,93906,10,172
106190240,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,Los Angeles,930000046,90712,8,172
106010967,ST. ROSE HOSPITAL,HAYWARD,Alameda,140000107,94545,9,171
106342392,SIERRA VISTA HOSPITAL,SACRAMENTO,Sacramento,030000290,95823,0,171
106420491,LOMPOC VALLEY MEDICAL CENTER,LOMPOC,Santa Barbara,050000038,93436,6,170
106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Fresno,040000384,93720,12,169
106014050,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,Alameda,140000114,94588,13,167
106301283,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,GARDEN GROVE,Orange,060000152,92843-1908,12,167
106540798,SIERRA VIEW MEDICAL CENTER,PORTERVILLE,Tulare,120000584,93257,10,167
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,Contra Costa,140000090,94553,8,167
106190232,DEL AMO HOSPITAL,TORRANCE,Los Angeles,930000045,90505,0,166
106301248,LOS ALAMITOS MEDICAL CENTER,LOS ALAMITOS,Orange,060000142,90720,9,162
106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,SAN LUIS OBISPO,San Luis Obispo,050000059,93405,11,162
106130699,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,Imperial,090000004,92243,20,161
106331152,CORONA REGIONAL MEDICAL CENTER-MAIN,CORONA,Riverside,250000126,92882,18,160
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,Los Angeles,930000066,90028,5,159
106010811,FAIRMONT HOSPITAL,SAN LEANDRO,Alameda,140000046,94578,0,159
106370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,San Diego,550000273,92123,0,159
106190475,COMMUNITY HOSPITAL LONG BEACH,LONG BEACH,Los Angeles,930000090,90804,20,158
106190818,USC VERDUGO HILLS HOSPITAL,GLENDALE,Los Angeles,930000173,91208,6,158
106150706,DELANO REGIONAL MEDICAL CENTER,DELANO,Kern,120000180,93215,10,156
106190708,SHERMAN OAKS HOSPITAL,SHERMAN OAKS,Los Angeles,930000149,91403,8,153
106414139,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,REDWOOD CITY,San Mateo,220000021,94063,20,153
106504042,KAISER FOUNDATION HOSPITAL - MODESTO,MODESTO,Stanislaus,030000393,95356,20,152
106281078,ADVENTIST HEALTH ST. HELENA,ST. HELENA,Napa,110000073,94574,12,151
106500967,OAK VALLEY HOSPITAL DISTRICT,OAKDALE,Stanislaus,030000069,95361,5,150
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,ANTIOCH,Contra Costa,550000614,94531,20,150
106014034,FREMONT HOSPITAL,FREMONT,Alameda,140000347,94538,0,148
106364144,DESERT VALLEY HOSPITAL,VICTORVILLE,San Bernardino,240000562,92395,18,148
106190280,ENCINO HOSPITAL MEDICAL CENTER,ENCINO,Los Angeles,930000051,91436,22,148
106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,INDIO,Riverside,250000155,92201,16,145
106070934,SUTTER DELTA MEDICAL CENTER,ANTIOCH,Contra Costa,140000258,94509,12,145
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,PANORAMA CITY,Los Angeles,930000101,91402,5,145
106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,BELLFLOWER,Los Angeles,930000039,90706,5,144
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,Los Angeles,930000005,91801,6,144
106150761,MERCY HOSPITAL - BAKERSFIELD,BAKERSFIELD,Kern,120000184,93301,20,144
106560525,ADVENTIST HEALTH SIMI VALLEY,SIMI VALLEY,Ventura,050000216,93065,24,144
106430743,EL CAMINO HOSPITAL LOS GATOS,LOS GATOS,Santa Clara,070000660,95032,7,143
106380895,UCSF MEDICAL CENTER AT MOUNT ZION,SAN FRANCISCO,San Francisco,220000091,94115,7,140
106484044,KAISER FOUNDATION HOSPITAL - VACAVILLE,VACAVILLE,Solano,550001207,95688,16,140
106301234,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,Orange,060000136,90623,4,140
106554011,ADVENTIST HEALTH SONORA - GREENLEY,SONORA,Tuolumne,030000094,95370,6,140
106334564,TEMECULA VALLEY HOSPITAL,TEMECULA,Riverside,550002434,92592,20,140
106121080,ST. JOSEPH HOSPITAL - EUREKA,EUREKA,Humboldt,110000075,95501,16,138
106190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",LOS ANGELES,Los Angeles,930000029,90067,0,138
106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,Los Angeles,930000030,90716,13,137
106361245,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,LOMA LINDA,San Bernardino,240000169,92354,8,134
106190163,AURORA CHARTER OAK,COVINA,Los Angeles,930000031,91724,0,134
106040937,OROVILLE HOSPITAL,OROVILLE,Butte,230000022,95966,10,133
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,MARINA DEL REY,Los Angeles,930000096,90292,12,133
106481357,NORTHBAY MEDICAL CENTER,FAIRFIELD,Solano,110000093,94533,24,132
