agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Department of Health & Human Services,600000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,300000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,1121000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,3000000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,523000,,S,,,,Baldwin,,,,D
Department of Education,500000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,500000,,H,Neguse,,,Bennet,,,,D
Department of Labor,500000,,H,DeGette,,,Bennet,,,,D
Department of Labor,450000,,H,Perlmutter,,,Bennet,,,,D
Department of Health & Human Services,500000,,H,Crow,,,Bennet,,,,D
Department of Health & Human Services,1200000,,H,DeGette,,,Bennet,,,,D
Department of Health & Human Services,1000000,,H,Crow,,,Bennet,,,,D
Department of Education,275000,,H,Neguse,,,Bennet,,,,D
Department of Housing and Urban Development,1350000,,H/S,Crow,,,Bennet,,,,D
Department of Housing and Urban Development,1000000,,H/S,Crow,,,Bennet,,,,D
Department of Health & Human Services,2000000,,H/S,DeGette,,,Bennet,,,,D
DOJ,384000,,S,,,,Bennet,,,,D
Department of Transportation,522000,,S,,,,Bennet,,,,D
Department of Transportation,1201000,,S,,,,Bennet,,,,D
Department of Transportation,1223000,,S,,,,Bennet,,,,D
Department of Transportation,1460000,,S,,,,Bennet,,,,D
Department of Transportation,1650000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,250000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,550000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,750000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,979000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,980000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,1500000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,2867000,,S,,,,Bennet,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Bennet,,,,D
Rural Development,3575000,,S,,,,Bennet,,,,D
Rural Development,2000000,,S,,,,Bennet,,,,D
Rural Development,4650000,,S,,,,Bennet,,,,D
DOJ,255000,,S,,,,Bennet,,,,D
DOJ,122000,,S,,,,Bennet,,,,D
DOJ,420000,,S,,,,Bennet,,,,D
DOC,950000,,S,,,,Bennet,,,,D
DOJ,495000,,S,,,,Bennet,,,,D
DOJ,1601000,,S,,,,Bennet,,,,D
DOC,1000000,,S,,,,Bennet,,,,D
DOJ,166000,,S,,,,Bennet,,,,D
Army Corps of Engineers (Civil),400000,,S,,,,Bennet,,,,D
Department of Energy,1200000,,S,,,,Bennet,,,,D
Department of Energy,2500000,,S,,,,Bennet,,,,D
Department of Energy,5000000,,S,,,,Bennet,,,,D
Army Corps of Engineers (Civil),7000000,,S,,,,Bennet,,,,D
Environmental Protection Agency,90000,,S,,,,Bennet,,,,D
Environmental Protection Agency,1000000,,S,,,,Bennet,Hickenlooper,,,D
Department of Transportation,1000000,,S,,,,Bennet,,,,D
Environmental Protection Agency,1080000,,S,,,,Bennet,Hickenlooper,,,D
Environmental Protection Agency,1760000,,S,,,,Bennet,,,,D
Environmental Protection Agency,2500000,,S,,,,Bennet,Hickenlooper,,,D
Forest Service,3650000,,S,,,,Bennet,,,,D
Air Force,4360000,,S,,,,Bennet,,,,D
Air Force,30000000,,S,,,,Bennet,,,,D
Department of Health & Human Services,5407000,,S,,,,Bennet,,,,D
Department of Health & Human Services,250000,,S,,,,Bennet,,,,D
Department of Health & Human Services,160000,,S,,,,Bennet,,,,D
Department of Health & Human Services,423000,,S,,,,Bennet,,,,D
Department of Health & Human Services,110000,,S,,,,Bennet,,,,D
Department of Health & Human Services,100000,,S,,,,Bennet,,,,D
Department of Health & Human Services,500000,,S,,,,Bennet,,,,D
Department of Health & Human Services,1000000,,S,,,,Bennet,,,,D
Department of Health & Human Services,2000000,,S,,,,Bennet,,,,D
Department of Health & Human Services,150000,,S,,,,Bennet,,,,D
Department of Education,776000,,S,,,,Bennet,,,,D
Department of Education,1100000,,S,,,,Bennet,,,,D
Army Corps of Engineers (Civil),200000,CT,H/S,Larson,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,1000000,CT,H/S,Larson,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,300000,CT,H/S,Larson,,,Blumenthal,Murphy,,,D
DOJ,2000000,,H,DeLauro,,,Blumenthal,Murphy,,,D
DOJ,700000,,H,Courtney,,,Blumenthal,Murphy,,,D
Army Corps of Engineers (Civil),2810000,,H/S,Himes,,,Blumenthal,Murphy,,,D
DOJ,1398000,,S,,,,Blumenthal,Murphy,,,D
Natural Resources Conservation Service,5000000,,S,,,,Blumenthal,Murphy,,,D
DOJ,3499000,,S,,,,Blumenthal,Murphy,,,D
DOJ,120000,,S,,,,Blumenthal,Murphy,,,D
DOJ,750000,,S,,,,Blumenthal,Murphy,,,D
DOC,569000,,S,,,,Blumenthal,Murphy,,,D
DOJ,70000,,S,,,,Blumenthal,Murphy,,,D
DOJ,983000,,S,,,,Blumenthal,Murphy,,,D
NASA,2000000,,S,,,,Blumenthal,Murphy,,,D
Department of Energy,288000,,S,,,,Blumenthal,Murphy,,,D
FEMA,1000000,,H,DeLauro,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,2500000,,H,Courtney,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,2000000,,H/S,Courtney,,,Blumenthal,Murphy,,,D
FEMA,189000,,S,,,,Blumenthal,Mur- phy,,,D
FEMA,1500000,,S,,,,Blumenthal,Mur- phy,,,D
FEMA,2300000,,S,,,,Blumenthal,Mur- phy,,,D
FEMA,1000000,,S,,,,Blumenthal,Mur- phy,,,D
FEMA,84000,,S,,,,Blumenthal,Mur- phy,,,D
Department of Transportation,15000000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,75000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,175000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,500000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,500000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,725000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,1720000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,2000000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,2500000,,S,,,,Blumenthal,Murphy,,,D
Department of Housing and Urban Development,2996000,,S,,,,Blumenthal,Murphy,,,D
Small Business Administration,100000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,160000,,S,,,,Blumenthal,Murphy,,,D
Small Business Administration,240000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,375000,,S,,,,Blumenthal,Murphy,,,D
Small Business Administration,406000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,640000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,720000,,S,,,,Blumenthal,Murphy,,,D
National Archives and Records Administration,948000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,1600000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,1800000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,2000000,,S,,,,Blumenthal,Murphy,,,D
Environmental Protection Agency,2500000,,S,,,,Blumenthal,Murphy,,,D
Department of Transportation,5000000,,S,,,,Blumenthal,Murphy,,,D
Air NG,17000000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,25000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,25000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,593000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,513000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,372000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,650000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,300000,,S,,,,Blumenthal,Murphy,,,D
Department of Labor,823000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,29000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,849000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,151000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,50000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,1200000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,650000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,1200000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,900000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,2150000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,900000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,75000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,270000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,47000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,16000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,137000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,200000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,461000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,368000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,1200000,,S,,,,Blumenthal,Murphy,,,D
Department of Health & Human Services,50000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,275000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,100000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,48000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,250000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,100000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,1600000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,105000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,382000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,65000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,1150000,,S,,,,Blumenthal,Murphy,,,D
Department of Education,218000,,S,,,,Blumenthal,Murphy,,,D
Army Corps of Engineers (Civil),100000,MO,H/S,Graves,,,Blunt,,,,R
Army Corps of Engineers (Civil),300000,MO,H/S,Graves,,,Blunt,,,,R
Army Corps of Engineers (Civil),200000,,H/S,Luetkemeyer,,,Blunt,,,,R
Department of Health & Human Services,2500000,,H/S,Cleaver,,,Blunt,,,,D
DOC,20000000,,S,,,,Blunt,,,,R
DOJ,1500000,,S,,,,Blunt,,,,R
Army Corps of Engineers (Civil),12600000,,S,,,,Blunt,,,,R
National Archives and Records Administration,350000,,S,,,,Blunt,,,,R
Fish and Wildlife Service,1000000,,S,,,,Blunt,,,,R
National Park Service,2600000,,S,,,,Blunt,,,,R
Army NG,3800000,,S,,,,Blunt,,,,R
Army,4000000,,S,,,,Blunt,,,,R
Department of Transportation,4300000,,S,,,,Blunt,,,,R
Department of Transportation,9000000,,S,,,,Blunt,,,,R
National Archives and Records Administration,11500000,,S,,,,Blunt,,,,R
Department of Transportation,13000000,,S,,,,Blunt,,,,R
Department of Labor,650000,,S,,,,Blunt,,,,R
Department of Labor,150000,,S,,,,Blunt,,,,R
Department of Labor,150000,,S,,,,Blunt,,,,R
Department of Labor,3000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,7320000,,S,,,,Blunt,,,,R
Department of Health & Human Services,1900000,,S,,,,Blunt,,,,R
Department of Health & Human Services,10000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,3000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,1500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,12000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,30000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,2500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,2000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,1500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,4600000,,S,,,,Blunt,,,,R
Department of Health & Human Services,2000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,61000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,3420000,,S,,,,Blunt,,,,R
Department of Health & Human Services,13000000,,S,,,,Blunt,,,,R
Department of Health & Human Services,2500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,2500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,500000,,S,,,,Blunt,,,,R
Department of Health & Human Services,500000,,S,,,,Blunt,,,,R
Department of Education,500000,,S,,,,Blunt,,,,R
Department of Education,1000000,,S,,,,Blunt,,,,R
Department of Education,3000000,,S,,,,Blunt,,,,R
Department of Education,525000,,S,,,,Blunt,,,,R
Department of Education,1800000,,S,,,,Blunt,,,,R
Department of Education,3000000,,S,,,,Blunt,,,,R
Department of Education,900000,,S,,,,Blunt,,,,R
Department of Education,5000000,,S,,,,Blunt,,,,R
Army Corps of Engineers (Civil),15500000,,H/S,Van Drew,,,Booker,Menendez,,,R
DOJ,1100000,,H/S,Sires,,,Booker,Menendez,,,D
DOJ,471000,,H/S,Payne,,,Booker,Menendez,,,D
DOJ,251000,,H/S,Pascrell,,,Booker,Menendez,,,D
DOJ,1270000,,H/S,Malinowski,,,Booker,Menendez,,,D
DOC,400000,,S,,,,Booker,Menendez,,,D
Department of Energy,3840000,,S,,,,Booker,Menendez,,,D
Department of Health & Human Services,400000,NJ,H,Smith,,,Booker,,,,D
Department of Education,450000,NJ,H,Smith,,,Booker,,,,D
DOJ,32000,NJ,H/S,Kim,,,Booker,,,,D
Department of Health & Human Services,300000,NJ,H/S,Kim,,,Booker,,,,D
Department of Transportation,250000,,H,Gottheimer,,,Booker,,,,D
Department of Housing and Urban Development,250000,,H,Sherrill,,,Booker,,,,D
Department of Housing and Urban Development,649000,,H,Sherrill,,,Booker,,,,D
Department of Housing and Urban Development,250000,,H,Payne,,,Booker,,,,D
Department of Transportation,250000,,H,Sires,,,Booker,,,,D
Environmental Protection Agency,898257,,H,Malinowski,,,Booker,,,,D
Department of Labor,270000,,H,Van Drew,,,Booker,,,,R
Department of Labor,1950000,,H,Pascrell,,,Booker,,,,D
Department of Labor,425000,,H,Pallone,,,Booker,,,,D
Department of Health & Human Services,750000,,H,Gottheimer,,,Booker,,,,D
Department of Health & Human Services,550000,,H,Watson Coleman,,,Booker,,,,D
Department of Education,300000,,H,Pallone,,,Booker,,,,D
Department of Education,750000,,H,Sires,,,Booker,,,,D
Department of Housing and Urban Development,360000,,H/S,Pascrell,,,Booker,,,,D
Environmental Protection Agency,100000,,H/S,Gottheimer,,,Booker,,,,D
Environmental Protection Agency,255000,,H/S,Sherrill,,,Booker,Menendez,,,D
Environmental Protection Agency,500000,,H/S,Malinowski,,,Booker,,,,D
Department of Education,980000,,H/S,Sires,,,Booker,,,,D
DOJ,300000,,S,,,,Booker,,,,D
DOJ,340000,,S,,,,Booker,,,,D
DOC,460000,,S,,,,Booker,,,,D
FEMA,300000,,S,,,,Booker,Menendez,,,D
Department of Housing and Urban Development,95000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,488000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,500000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,500000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,500000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,800000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,883000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,2200000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Booker,,,,D
Department of Housing and Urban Development,8000000,,S,,,,Booker,,,,D
Rural Development,413000,,S,,,,Booker,,,,D
Rural Development,1050000,,S,,,,Booker,,,,D
DOJ,440000,,S,,,,Booker,,,,D
National Archives and Records Administration,206000,,S,,,,Booker,,,,D
Small Business Administration,212000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,223000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,250000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,250000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,338000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,492000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,1000000,,S,,,,Booker,,,,D
Environmental Protection Agency,1000000,,S,,,,Booker,Menendez,,,D
Environmental Protection Agency,1667000,,S,,,,Booker,,,,D
Department of Health & Human Services,1000000,,S,,,,Booker,,,,D
Department of Health & Human Services,500000,,S,,,,Booker,,,,D
Department of Education,154000,,S,,,,Booker,,,,D
Department of Education,300000,,S,,,,Booker,,,,D
Department of Education,97000,,S,,,,Booker,,,,D
Department of Labor,250000,,S,,,,Booker,,,,D
Department of Labor,500000,,S,,,,Booker,,,,D
Department of Health & Human Services,1000000,,S,,,,Booker,,,,D
Department of Health & Human Services,925000,,S,,,,Booker,,,,D
Department of Health & Human Services,1000000,,S,,,,Booker,,,,D
Department of Health & Human Services,3870000,,S,,,,Booker,,,,D
Department of Health & Human Services,500000,,S,,,,Booker,,,,D
Department of Education,234000,,S,,,,Booker,,,,D
Department of Education,455000,,S,,,,Booker,,,,D
Department of Education,750000,,S,,,,Booker,,,,D
Department of Education,500000,,S,,,,Booker,,,,D
Department of Transportation,18000000,,H/S,Womack,,,Boozman,,,,R
Animal and Plant Health Inspection Service,650000,,S,,,,Boozman,,,,R
Department of Energy,1000000,,S,,,,Boozman,,,,R
Army Corps of Engineers (Civil),13000000,,S,,,,Boozman,,,,R
Army Corps of Engineers (Civil),24000000,,S,,,,Boozman,,,,R
Department of Transportation,5000000,,S,,,,Boozman,,,,R
Department of Transportation,18000000,,S,,,,Boozman,,,,R
Department of Transportation,18000000,,S,,,,Boozman,,,,R
FEMA,1000000,OH,H,Joyce,,,Brown,,,,R
Environmental Protection Agency,570000,OH,H,Joyce,,,Brown,,,,R
Department of Transportation,720000,OH,H,Gonzalez,,,Brown,,,,D
Environmental Protection Agency,1968000,OH,H,Gonzalez,,,Brown,,,,D
DOJ,1600000,,H,Chabot,,,Brown,,,,R
Department of Housing and Urban Development,1000000,,H,Turner,,,Brown,,,,R
Department of Housing and Urban Development,1000000,,H,Ryan,,,Brown,,,,D
DOJ,750000,,H,Beatty,,,Brown,,,,D
Department of Transportation,400000,,H,Turner,,,Brown,,,,R
Environmental Protection Agency,549600,,H,Ryan,,,Brown,,,,D
Small Business Administration,1000000,,H,Turner,,,Brown,,,,R
Department of Transportation,3397799,,H,Wenstrup,,,Brown,,,,R
Environmental Protection Agency,3500000,,H,Wenstrup,,,Brown,,,,R
Air Force Reserve,8700000,,H,Ryan,,,Brown,,,,D
Department of Health & Human Services,500000,,H,Beatty,,,Brown,,,,D
Department of Health & Human Services,1250000,,H,Turner,,,Brown,,,,R
Department of Health & Human Services,1000000,,H,Ryan,,,Brown,,,,D
Department of Health & Human Services,4000000,,H,"Chabot,",,,Brown,,,,D
Department of Education,1000000,,H,Turner,,,Brown,,,,R
Department of Education,475000,,H,Beatty,,,Brown,,,,D
Air Force,24000000,,H/S,Turner,,,Brown,,,,R
DOJ,500000,,S,,,,Brown,,,,D
DOJ,400000,,S,,,,Brown,,,,D
DOJ,500000,,S,,,,Brown,,,,D
FEMA,1000000,,S,,,,Brown,,,,D
FEMA,600000,,S,,,,Brown,,,,D
Department of Transportation,5000000,,S,,,,Brown,,,,D
Department of Transportation,3300000,,S,,,,Brown,,,,D
Department of Housing and Urban Development,250000,,S,,,,Brown,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Brown,,,,D
Department of Housing and Urban Development,1300000,,S,,,,Brown,,,,D
Department of Housing and Urban Development,1500000,,S,,,,Brown,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Brown,,,,D
Rural Development,637000,,S,,,,Brown,,,,D
Rural Development,74000,,S,,,,Brown,,,,D
Rural Development,195000,,S,,,,Brown,,,,D
Rural Development,1608000,,S,,,,Brown,,,,D
Rural Development,184000,,S,,,,Brown,,,,D
Rural Development,75000,,S,,,,Brown,,,,D
Rural Development,160000,,S,,,,Brown,,,,D
Natural Resources Conservation Service,263000,,S,,,,Brown,,,,D
Natural Resources Conservation Service,1500000,,S,,,,Brown,,,,D
DOJ,500000,,S,,,,Brown,,,,D
DOJ,500000,,S,,,,Brown,,,,D
NASA,1500000,,S,,,,Brown,,,,D
Army Corps of Engineers (Civil),300000,,S,,,,Brown,,,,D
Department of Energy,300000,,S,,,,Brown,,,,D
Department of Energy,500000,,S,,,,Brown,,,,D
Department of Energy,500000,,S,,,,Brown,,,,D
Department of Energy,1500000,,S,,,,Brown,,,,D
National Park Service,165000,,S,,,,Brown,,,,D
Small Business Administration,250000,,S,,,,Brown,,,,D
Environmental Protection Agency,300000,,S,,,,Brown,,,,D
National Park Service,350000,,S,,,,Brown,,,,D
Small Business Administration,500000,,S,,,,Brown,,,,D
Environmental Protection Agency,500000,,S,,,,Brown,,,,D
National Park Service,500000,,S,,,,Brown,,,,D
National Park Service,500000,,S,,,,Brown,,,,D
Environmental Protection Agency,1000000,,S,,,,Brown,,,,D
Environmental Protection Agency,1000000,,S,,,,Brown,,,,D
Department of Transportation,1000000,,S,,,,Brown,,,,D
Small Business Administration,1275000,,S,,,,Brown,,,,D
Environmental Protection Agency,2000000,,S,,,,Brown,,,,D
Department of Transportation,2250000,,S,,,,Brown,,,,D
Department of Labor,688000,,S,,,,Brown,,,,D
Department of Health & Human Services,530000,,S,,,,Brown,,,,D
Department of Health & Human Services,700000,,S,,,,Brown,,,,D
Department of Health & Human Services,100000,,S,,,,Brown,,,,D
Department of Health & Human Services,250000,,S,,,,Brown,,,,D
Department of Health & Human Services,1500000,,S,,,,Brown,,,,D
Department of Health & Human Services,641000,,S,,,,Brown,,,,D
Department of Health & Human Services,760000,,S,,,,Brown,,,,D
Department of Health & Human Services,1650000,,S,,,,Brown,,,,D
Department of Health & Human Services,1340000,,S,,,,Brown,,,,D
Department of Education,750000,,S,,,,Brown,,,,D
Department of Education,350000,,S,,,,Brown,,,,D
Department of Education,500000,,S,,,,Brown,,,,D
Department of Education,500000,,S,,,,Brown,,,,D
Army Corps of Engineers (Civil),500000,,H/S,Rouzer,,,Burr,Tillis,,,R
Army Corps of Engineers (Civil),2000000,,H/S,Rouzer,,,Burr,Tillis,,,R
Army Corps of Engineers (Civil),1050000,,H,Rouzer,,,Burr,,,,R
DOJ,1000000,,H/S,Cawthorn,,,Burr,,,,R
Department of Education,230000,,H/S,Adams,,,Burr,,,,D
FEMA,3000000,,S,,,,Burr,,,,R
Department of Housing and Urban Development,810000,,S,,,,Burr,,,,R
Department of Housing and Urban Development,1721000,,S,,,,Burr,,,,R
Department of Housing and Urban Development,2000000,,S,,,,Burr,,,,R
Department of Housing and Urban Development,3650000,,S,,,,Burr,,,,R
Department of Housing and Urban Development,4000000,,S,,,,Burr,Tillis,,,R
Department of Housing and Urban Development,7210000,,S,,,,Burr,,,,R
DOJ,3000000,,S,,,,Burr,,,,R
DOJ,114000,,S,,,,Burr,,,,R
Army Corps of Engineers (Civil),1670000,,S,,,,Burr,,,,R
National Park Service,200000,,S,,,,Burr,,,,R
Forest Service,3827000,,S,,,,Burr,,,,R
Navy,9300000,,S,,,,Burr,Tillis,,,R
Navy,18700000,,S,,,,Burr,,,,R
Navy,64200000,,S,,,,Burr,,,,R
Department of Health & Human Services,423000,,S,,,,Burr,,,,R
Department of Health & Human Services,5000000,,S,,,,Burr,,,,R
Department of Education,500000,,S,,,,Burr,,,,R
Army Corps of Engineers (Civil),1200000,,S,,,,Cantwell,Merkley,Murray,Wyden,D
Army Corps of Engineers (Civil),200000,,H/S,Herrera Beutler,,,Cantwell,Murray,,,R
Department of Education,55000,WA,H,McMorris Rodgers,,,Cantwell,,,,R
Department of the Interior,500000,WA,H/S,Newhouse,McMorris Rodgers,,Cantwell,,,,R
Department of Health & Human Services,2000000,WA,H/S,Larsen,,,Cantwell,,,,D
