Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Idaho,03/22/2021,15800,15800
Oregon,03/22/2021,40800,40800
Washington,03/22/2021,72400,72400
Federal Entities,03/22/2021,143000,143000
Connecticut,03/15/2021,35800,35800
Maine,03/15/2021,13700,13700
Massachusetts,03/15/2021,69000,69000
New Hampshire,03/15/2021,13700,13700
Rhode Island,03/15/2021,10800,10800
Vermont,03/15/2021,6500,6500
New Jersey,03/15/2021,87400,87400
New York,03/15/2021,111300,111300
New York City,03/15/2021,84500,84500
Puerto Rico,03/15/2021,34200,34200
U.S. Virgin Islands,03/15/2021,1100,1100
Delaware,03/15/2021,9500,9500
District of Columbia,03/15/2021,7200,7200
Maryland,03/15/2021,59000,59000
Pennsylvania,03/15/2021,112400,112400
Philadelphia,03/15/2021,15600,15600
Virginia,03/15/2021,82800,82800
West Virginia,03/15/2021,18500,18500
Alabama,03/15/2021,47700,47700
Florida,03/15/2021,208000,208000
Georgia,03/15/2021,98600,98600
Kentucky,03/15/2021,43400,43400
Mississippi,03/15/2021,28700,28700
North Carolina,03/15/2021,99500,99500
South Carolina,03/15/2021,48800,48800
Tennessee,03/15/2021,65200,65200
Chicago,03/15/2021,26500,26500
Illinois,03/15/2021,98700,98700
Indiana,03/15/2021,64100,64100
Michigan,03/15/2021,98200,98200
Minnesota,03/15/2021,53800,53800
Ohio,03/15/2021,114100,114100
Wisconsin,03/15/2021,57100,57100
Arkansas,03/15/2021,28900,28900
Louisiana,03/15/2021,45000,45000
New Mexico,03/15/2021,20500,20500
Oklahoma,03/15/2021,37500,37500
Texas,03/15/2021,260400,260400
Iowa,03/15/2021,30400,30400
Kansas,03/15/2021,27800,27800
Missouri,03/15/2021,59500,59500
Nebraska,03/15/2021,18400,18400
Colorado,03/15/2021,54100,54100
Montana,03/15/2021,10400,10400
North Dakota,03/15/2021,7500,7500
South Dakota,03/15/2021,8300,8300
Utah,03/15/2021,27100,27100
Wyoming,03/15/2021,5700,5700
Arizona,03/15/2021,67600,67600
California,03/15/2021,380300,380300
Hawaii,03/15/2021,14200,14200
Nevada,03/15/2021,28500,28500
American Samoa,03/15/2021,0,0
Guam,03/15/2021,0,0
Marshall Islands,03/15/2021,0,0
Micronesia,03/15/2021,0,0
Mariana Islands,03/15/2021,0,0
Palau,03/15/2021,0,0
Alaska,03/15/2021,0,0
Idaho,03/15/2021,15800,15800
Oregon,03/15/2021,40800,40800
Washington,03/15/2021,72400,72400
Federal Entities,03/15/2021,143000,143000
Connecticut,03/08/2021,35800,35800
Maine,03/08/2021,13700,13700
Massachusetts,03/08/2021,69000,69000
New Hampshire,03/08/2021,13700,13700
Rhode Island,03/08/2021,10800,10800
Vermont,03/08/2021,6500,6500
New Jersey,03/08/2021,87400,87400
New York,03/08/2021,111300,111300
New York City,03/08/2021,84500,84500
Puerto Rico,03/08/2021,34200,34200
U.S. Virgin Islands,03/08/2021,1100,1100
Delaware,03/08/2021,9500,9500
District of Columbia,03/08/2021,7200,7200
Maryland,03/08/2021,59000,59000
Pennsylvania,03/08/2021,112400,112400
Philadelphia,03/08/2021,15600,15600
Virginia,03/08/2021,82800,82800
West Virginia,03/08/2021,18500,18500
Alabama,03/08/2021,47700,47700
Florida,03/08/2021,208000,208000
Georgia,03/08/2021,98600,98600
Kentucky,03/08/2021,43400,43400
Mississippi,03/08/2021,28700,28700
North Carolina,03/08/2021,99500,99500
South Carolina,03/08/2021,48800,48800
Tennessee,03/08/2021,65200,65200
Chicago,03/08/2021,26500,26500
Illinois,03/08/2021,98700,98700
Indiana,03/08/2021,64100,64100
Michigan,03/08/2021,98200,98200
Minnesota,03/08/2021,53800,53800
Ohio,03/08/2021,114100,114100
Wisconsin,03/08/2021,57100,57100
Arkansas,03/08/2021,28900,28900
Louisiana,03/08/2021,45000,45000
New Mexico,03/08/2021,20500,20500
Oklahoma,03/08/2021,37500,37500
Texas,03/08/2021,260400,260400
Iowa,03/08/2021,30400,30400
Kansas,03/08/2021,27800,27800
Missouri,03/08/2021,59500,59500
Nebraska,03/08/2021,18400,18400
Colorado,03/08/2021,54100,54100
Montana,03/08/2021,10400,10400
North Dakota,03/08/2021,7500,7500
South Dakota,03/08/2021,8300,8300
Utah,03/08/2021,27100,27100
Wyoming,03/08/2021,5700,5700
Arizona,03/08/2021,67600,67600
California,03/08/2021,380300,380300
Hawaii,03/08/2021,14200,14200
Nevada,03/08/2021,28500,28500
American Samoa,03/08/2021,0,0
Guam,03/08/2021,0,0
Marshall Islands,03/08/2021,0,0
Micronesia,03/08/2021,0,0
Mariana Islands,03/08/2021,0,0
Palau,03/08/2021,0,0
Alaska,03/08/2021,0,0
Idaho,03/08/2021,15800,15800
Oregon,03/08/2021,40800,40800
Washington,03/08/2021,72400,72400
Federal Entities,03/08/2021,197900,193500
Alabama,03/01/2021,47700,47700
Alaska,03/01/2021,49300,49300
American Samoa,03/01/2021,4400,0
Arizona,03/01/2021,67600,67600
Arkansas,03/01/2021,28900,28900
California,03/01/2021,380300,380300
Chicago,03/01/2021,26500,26500
Colorado,03/01/2021,54100,54100
Connecticut,03/01/2021,35800,35800
Delaware,03/01/2021,9500,9500
District of Columbia,03/01/2021,7200,7200
Federal Entities,03/01/2021,180500,163500
Florida,03/01/2021,208000,208000
Georgia,03/01/2021,98600,98600
Guam,03/01/2021,14200,0
Hawaii,03/01/2021,14200,14200
Idaho,03/01/2021,15800,15800
Illinois,03/01/2021,98700,98700
Indiana,03/01/2021,64100,64100
Iowa,03/01/2021,30400,30400
Kansas,03/01/2021,27800,27800
Kentucky,03/01/2021,43400,43400
Louisiana,03/01/2021,45000,45000
Maine,03/01/2021,13700,13700
Mariana Islands,03/01/2021,4600,0
Marshall Islands,03/01/2021,14000,0
Maryland,03/01/2021,59000,59000
Massachusetts,03/01/2021,69000,69000
Michigan,03/01/2021,98200,98200
Micronesia,03/01/2021,16600,0
Minnesota,03/01/2021,53800,53800
Mississippi,03/01/2021,28700,28700
Missouri,03/01/2021,59500,59500
Montana,03/01/2021,10400,10400
Nebraska,03/01/2021,18400,18400
Nevada,03/01/2021,28500,28500
New Hampshire,03/01/2021,13700,13700
New Jersey,03/01/2021,87400,87400
New Mexico,03/01/2021,20500,20500
New York,03/01/2021,111300,111300
New York City,03/01/2021,84500,84500
North Carolina,03/01/2021,99500,99500
North Dakota,03/01/2021,7500,7500
Ohio,03/01/2021,114100,114100
Oklahoma,03/01/2021,37500,37500
Oregon,03/01/2021,40800,40800
Palau,03/01/2021,5400,0
Pennsylvania,03/01/2021,112400,112400
Philadelphia,03/01/2021,15600,15600
Puerto Rico,03/01/2021,34200,34200
Rhode Island,03/01/2021,10800,10800
South Carolina,03/01/2021,48800,48800
South Dakota,03/01/2021,8300,8300
Tennessee,03/01/2021,65200,65200
Texas,03/01/2021,260400,260400
U.S. Virgin Islands,03/01/2021,1100,1100
Utah,03/01/2021,27100,27100
Vermont,03/01/2021,6500,6500
Virginia,03/01/2021,82800,82800
Washington,03/01/2021,72400,72400
West Virginia,03/01/2021,18500,18500
Wisconsin,03/01/2021,57100,57100
Wyoming,03/01/2021,5700,5700
Alabama,02/22/2021,47700,47700
Alaska,02/22/2021,0,0
American Samoa,02/22/2021,0,0
Arizona,02/22/2021,67600,67600
Arkansas,02/22/2021,28900,28900
California,02/22/2021,380300,380300
Chicago,02/22/2021,26500,26500
Colorado,02/22/2021,54100,54100
Connecticut,02/22/2021,35800,35800
Delaware,02/22/2021,9500,9500
District of Columbia,02/22/2021,7200,7200
Federal Entities,02/22/2021,163500,163500
Florida,02/22/2021,208000,208000
Georgia,02/22/2021,98600,98600
Guam,02/22/2021,0,0
Hawaii,02/22/2021,14200,14200
Idaho,02/22/2021,15800,15800
Illinois,02/22/2021,98700,98700
Indiana,02/22/2021,64100,64100
Iowa,02/22/2021,30400,30400
Kansas,02/22/2021,27800,27800
Kentucky,02/22/2021,43400,43400
Louisiana,02/22/2021,45000,45000
Maine,02/22/2021,13700,13700
Mariana Islands,02/22/2021,0,0
Marshall Islands,02/22/2021,0,0
Maryland,02/22/2021,59000,59000
Massachusetts,02/22/2021,69000,69000
Michigan,02/22/2021,98200,98200
Micronesia,02/22/2021,0,0
Minnesota,02/22/2021,53800,53800
Mississippi,02/22/2021,28700,28700
Missouri,02/22/2021,59500,59500
Montana,02/22/2021,10400,10400
Nebraska,02/22/2021,18400,18400
Nevada,02/22/2021,28500,28500
New Hampshire,02/22/2021,13700,13700
New Jersey,02/22/2021,87400,87400
New Mexico,02/22/2021,20500,20500
New York,02/22/2021,111300,111300
New York City,02/22/2021,84500,84500
North Carolina,02/22/2021,99500,99500
North Dakota,02/22/2021,7500,7500
Ohio,02/22/2021,114100,114100
Oklahoma,02/22/2021,37500,37500
Oregon,02/22/2021,40800,40800
Palau,02/22/2021,0,0
Pennsylvania,02/22/2021,112400,112400
Philadelphia,02/22/2021,15600,15600
Puerto Rico,02/22/2021,34200,34200
Rhode Island,02/22/2021,10800,10800
South Carolina,02/22/2021,48800,48800
South Dakota,02/22/2021,8300,8300
Tennessee,02/22/2021,65200,65200
Texas,02/22/2021,260400,260400
U.S. Virgin Islands,02/22/2021,1100,1100
Utah,02/22/2021,27100,27100
Vermont,02/22/2021,6500,6500
Virginia,02/22/2021,82800,82800
Washington,02/22/2021,72400,72400
West Virginia,02/22/2021,18500,18500
Wisconsin,02/22/2021,57100,57100
Wyoming,02/22/2021,5700,5700
Alabama,02/15/2021,47700,47700
Alaska,02/15/2021,0,0
American Samoa,02/15/2021,0,0
Arizona,02/15/2021,67600,67600
Arkansas,02/15/2021,28900,28900
California,02/15/2021,380300,380300
Chicago,02/15/2021,26500,26500
Colorado,02/15/2021,54100,54100
Connecticut,02/15/2021,35800,35800
Delaware,02/15/2021,9500,9500
District of Columbia,02/15/2021,7200,7200
Federal Entities,02/15/2021,163500,163500
Florida,02/15/2021,208000,208000
Georgia,02/15/2021,98600,98600
Guam,02/15/2021,0,0
Hawaii,02/15/2021,14200,14200
Idaho,02/15/2021,15800,15800
Illinois,02/15/2021,98700,98700
Indiana,02/15/2021,64100,64100
Iowa,02/15/2021,30400,30400
Kansas,02/15/2021,27800,27800
Kentucky,02/15/2021,43400,43400
Louisiana,02/15/2021,45000,45000
Maine,02/15/2021,13700,13700
Mariana Islands,02/15/2021,0,0
Marshall Islands,02/15/2021,0,0
Maryland,02/15/2021,59000,59000
Massachusetts,02/15/2021,69000,69000
Michigan,02/15/2021,98200,98200
Micronesia,02/15/2021,0,0
Minnesota,02/15/2021,53800,53800
Mississippi,02/15/2021,28700,28700
Missouri,02/15/2021,59500,59500
Montana,02/15/2021,10400,10400
Nebraska,02/15/2021,18400,18400
Nevada,02/15/2021,28500,28500
New Hampshire,02/15/2021,13700,13700
New Jersey,02/15/2021,87400,87400
New Mexico,02/15/2021,20500,20500
New York,02/15/2021,111300,111300
New York City,02/15/2021,84500,84500
North Carolina,02/15/2021,99500,99500
North Dakota,02/15/2021,7500,7500
Ohio,02/15/2021,114100,114100
Oklahoma,02/15/2021,37500,37500
Oregon,02/15/2021,40800,40800
Palau,02/15/2021,0,0
Pennsylvania,02/15/2021,112400,112400
Philadelphia,02/15/2021,15600,15600
Puerto Rico,02/15/2021,34200,34200
Rhode Island,02/15/2021,10800,10800
South Carolina,02/15/2021,48800,48800
South Dakota,02/15/2021,8300,8300
Tennessee,02/15/2021,65200,65200
Texas,02/15/2021,260400,260400
U.S. Virgin Islands,02/15/2021,1100,1100
Utah,02/15/2021,27100,27100
Vermont,02/15/2021,6500,6500
Virginia,02/15/2021,82800,82800
Washington,02/15/2021,72400,72400
West Virginia,02/15/2021,18500,18500
Wisconsin,02/15/2021,57100,57100
Wyoming,02/15/2021,5700,5700
Alabama,02/08/2021,44100,44100
Alaska,02/08/2021,0,0
American Samoa,02/08/2021,0,0
Arizona,02/08/2021,62500,62500
Arkansas,02/08/2021,26800,26800
California,02/08/2021,351900,351900
Chicago,02/08/2021,24500,24500
Colorado,02/08/2021,50000,50000
Connecticut,02/08/2021,33100,33100
Delaware,02/08/2021,8800,8800
District of Columbia,02/08/2021,6600,6600
Federal Entities,02/08/2021,481400,481400
Florida,02/08/2021,192500,192500
Georgia,02/08/2021,91300,91300
Guam,02/08/2021,0,0
Hawaii,02/08/2021,13100,13100
Idaho,02/08/2021,14700,14700
Illinois,02/08/2021,91300,91300
Indiana,02/08/2021,59300,59300
Iowa,02/08/2021,28200,28200
Kansas,02/08/2021,25700,25700
Kentucky,02/08/2021,40200,40200
Louisiana,02/08/2021,41600,41600
Maine,02/08/2021,12700,12700
Mariana Islands,02/08/2021,0,0
Marshall Islands,02/08/2021,0,0
Maryland,02/08/2021,54600,54600
Massachusetts,02/08/2021,63800,63800
Michigan,02/08/2021,90900,90900
Micronesia,02/08/2021,0,0
Minnesota,02/08/2021,49700,49700
Mississippi,02/08/2021,26600,26600
Missouri,02/08/2021,55100,55100
Montana,02/08/2021,9600,9600
Nebraska,02/08/2021,17000,17000
Nevada,02/08/2021,26400,26400
New Hampshire,02/08/2021,12700,12700
New Jersey,02/08/2021,80900,80900
New Mexico,02/08/2021,19000,19000
New York,02/08/2021,103000,103000
New York City,02/08/2021,78200,78200
North Carolina,02/08/2021,92000,92000
North Dakota,02/08/2021,6900,6900
Ohio,02/08/2021,105600,105600
Oklahoma,02/08/2021,34700,34700
Oregon,02/08/2021,37800,37800
Palau,02/08/2021,0,0
Pennsylvania,02/08/2021,104000,104000
Philadelphia,02/08/2021,14400,14400
Puerto Rico,02/08/2021,31600,31600
Rhode Island,02/08/2021,10000,10000
South Carolina,02/08/2021,45200,45200
South Dakota,02/08/2021,7700,7700
Tennessee,02/08/2021,60300,60300
Texas,02/08/2021,241000,241000
U.S. Virgin Islands,02/08/2021,1000,1000
Utah,02/08/2021,25100,25100
Vermont,02/08/2021,6000,6000
Virginia,02/08/2021,76600,76600
Washington,02/08/2021,67000,67000
West Virginia,02/08/2021,17100,17100
Wisconsin,02/08/2021,52900,52900
Wyoming,02/08/2021,5300,5300
Alabama,02/01/2021,40400,40400
Alaska,02/01/2021,32300,32300
American Samoa,02/01/2021,3200,0
Arizona,02/01/2021,57200,57200
Arkansas,02/01/2021,24500,24500
California,02/01/2021,322000,322000
Chicago,02/01/2021,22400,22400
Colorado,02/01/2021,45800,45800
Connecticut,02/01/2021,30300,30300
Delaware,02/01/2021,8000,8000
District of Columbia,02/01/2021,6100,6100
Federal Entities,02/01/2021,151180,151800
Florida,02/01/2021,176100,176100
Georgia,02/01/2021,83500,83500
Guam,02/01/2021,9200,0
Hawaii,02/01/2021,12000,12000
Idaho,02/01/2021,13400,13400
Illinois,02/01/2021,83600,83600
Indiana,02/01/2021,54300,54300
Iowa,02/01/2021,25800,25800
Kansas,02/01/2021,23500,23500
Kentucky,02/01/2021,36700,36700
Louisiana,02/01/2021,38100,38100
Maine,02/01/2021,11600,11600
Mariana Islands,02/01/2021,3200,0
Marshall Islands,02/01/2021,6600,0
Maryland,02/01/2021,49900,49900
Massachusetts,02/01/2021,58400,58400
Michigan,02/01/2021,83100,83100
Micronesia,02/01/2021,9400,0
Minnesota,02/01/2021,45500,45500
Mississippi,02/01/2021,24300,24300
Missouri,02/01/2021,50400,50400
Montana,02/01/2021,8800,8800
Nebraska,02/01/2021,15500,15500
Nevada,02/01/2021,24100,24100
New Hampshire,02/01/2021,11600,11600
New Jersey,02/01/2021,74000,74000
New Mexico,02/01/2021,17300,17300
New York,02/01/2021,94200,94200
New York City,02/01/2021,71500,71500
North Carolina,02/01/2021,84200,84200
North Dakota,02/01/2021,6400,6400
Ohio,02/01/2021,96600,96600
Oklahoma,02/01/2021,31700,31700
Oregon,02/01/2021,34600,34600
Palau,02/01/2021,2800,0
Pennsylvania,02/01/2021,95200,95200
Philadelphia,02/01/2021,13200,13200
Puerto Rico,02/01/2021,28900,28900
Rhode Island,02/01/2021,9100,9100
South Carolina,02/01/2021,41400,41400
South Dakota,02/01/2021,7000,7000
Tennessee,02/01/2021,55200,55200
Texas,02/01/2021,220500,220500
U.S. Virgin Islands,02/01/2021,900,900
Utah,02/01/2021,22900,22900
Vermont,02/01/2021,5500,5500
Virginia,02/01/2021,70100,70100
Washington,02/01/2021,61300,61300
West Virginia,02/01/2021,15600,15600
Wisconsin,02/01/2021,48300,48300
Wyoming,02/01/2021,4800,4800
Alabama,01/25/2021,30600,30600
Alaska,01/25/2021,0,0
American Samoa,01/25/2021,0,0
Arizona,01/25/2021,43400,43400
Arkansas,01/25/2021,18600,18600
California,01/25/2021,244000,244000
Chicago,01/25/2021,17000,17000
Colorado,01/25/2021,34700,34700
Connecticut,01/25/2021,23000,23000
Delaware,01/25/2021,6100,6100
District of Columbia,01/25/2021,4600,4600
Federal Entities,01/25/2021,105300,105300
Florida,01/25/2021,133500,133500
Georgia,01/25/2021,63300,63300
Guam,01/25/2021,0,0
Hawaii,01/25/2021,9100,9100
Idaho,01/25/2021,10200,10200
Illinois,01/25/2021,63300,63300
Indiana,01/25/2021,41100,41100
Iowa,01/25/2021,19500,19500
Kansas,01/25/2021,17800,17800
Kentucky,01/25/2021,27900,27900
Louisiana,01/25/2021,28900,28900
Maine,01/25/2021,8800,8800
Mariana Islands,01/25/2021,0,0
Marshall Islands,01/25/2021,0,0
Maryland,01/25/2021,37800,37800
Massachusetts,01/25/2021,44300,44300
Michigan,01/25/2021,63000,63000
Micronesia,01/25/2021,0,0
Minnesota,01/25/2021,34500,34500
Mississippi,01/25/2021,18500,18500
Missouri,01/25/2021,38200,38200
Montana,01/25/2021,6700,6700
Nebraska,01/25/2021,11800,11800
Nevada,01/25/2021,18300,18300
New Hampshire,01/25/2021,8800,8800
New Jersey,01/25/2021,56100,56100
New Mexico,01/25/2021,13200,13200
New York,01/25/2021,71400,71400
New York City,01/25/2021,54200,54200
North Carolina,01/25/2021,63800,63800
North Dakota,01/25/2021,4800,4800
Ohio,01/25/2021,73200,73200
Oklahoma,01/25/2021,24100,24100
Oregon,01/25/2021,26200,26200
Palau,01/25/2021,0,0
Pennsylvania,01/25/2021,72100,72100
Philadelphia,01/25/2021,10000,10000
Puerto Rico,01/25/2021,21900,21900
Rhode Island,01/25/2021,6900,6900
South Carolina,01/25/2021,31400,31400
South Dakota,01/25/2021,5300,5300
Tennessee,01/25/2021,41800,41800
Texas,01/25/2021,167100,167100
U.S. Virgin Islands,01/25/2021,700,700
Utah,01/25/2021,17400,17400
Vermont,01/25/2021,4200,4200
Virginia,01/25/2021,53100,53100
Washington,01/25/2021,46500,46500
West Virginia,01/25/2021,11900,11900
Wisconsin,01/25/2021,36700,36700
Wyoming,01/25/2021,3700,3700
Alabama,01/18/2021,30600,30600
Alaska,01/18/2021,0,0
American Samoa,01/18/2021,0,0
Arizona,01/18/2021,43400,43400
Arkansas,01/18/2021,18600,18600
California,01/18/2021,244000,244000
Chicago,01/18/2021,17000,17000
Colorado,01/18/2021,34700,34700
Connecticut,01/18/2021,23000,23000
Delaware,01/18/2021,6100,6100
District of Columbia,01/18/2021,4600,4600
Federal Entities,01/18/2021,105000,105000
Florida,01/18/2021,133500,133500
Georgia,01/18/2021,63300,63300
Guam,01/18/2021,0,0
Hawaii,01/18/2021,9100,9100
Idaho,01/18/2021,10200,10200
Illinois,01/18/2021,63300,63300
Indiana,01/18/2021,41100,41100
Iowa,01/18/2021,19500,19500
Kansas,01/18/2021,17800,17800
Kentucky,01/18/2021,27900,27900
Louisiana,01/18/2021,28900,28900
Maine,01/18/2021,8800,8800
Mariana Islands,01/18/2021,0,0
Marshall Islands,01/18/2021,0,0
Maryland,01/18/2021,37800,37800
Massachusetts,01/18/2021,44300,44300
Michigan,01/18/2021,63000,63000
Micronesia,01/18/2021,0,0
Minnesota,01/18/2021,34500,34500
Mississippi,01/18/2021,18500,18500
Missouri,01/18/2021,38200,38200
Montana,01/18/2021,6700,6700
Nebraska,01/18/2021,11800,11800
Nevada,01/18/2021,18300,18300
New Hampshire,01/18/2021,8800,8800
New Jersey,01/18/2021,56100,56100
New Mexico,01/18/2021,13200,13200
New York,01/18/2021,71400,71400
New York City,01/18/2021,54200,54200
North Carolina,01/18/2021,63800,63800
North Dakota,01/18/2021,4800,4800
Ohio,01/18/2021,73200,73200
Oklahoma,01/18/2021,24100,24100
Oregon,01/18/2021,26200,26200
Palau,01/18/2021,0,0
Pennsylvania,01/18/2021,72100,72100
Philadelphia,01/18/2021,10000,10000
Puerto Rico,01/18/2021,21900,21900
Rhode Island,01/18/2021,6900,6900
South Carolina,01/18/2021,31400,31400
South Dakota,01/18/2021,5300,5300
Tennessee,01/18/2021,41800,41800
Texas,01/18/2021,167100,167100
U.S. Virgin Islands,01/18/2021,700,700
Utah,01/18/2021,17400,17400
Vermont,01/18/2021,4200,4200
Virginia,01/18/2021,53100,53100
Washington,01/18/2021,46500,46500
West Virginia,01/18/2021,11900,11900
Wisconsin,01/18/2021,36700,36700
Wyoming,01/18/2021,3700,3700
Alabama,01/11/2021,29100,29100
Alaska,01/11/2021,0,0
American Samoa,01/11/2021,0,0
Arizona,01/11/2021,41300,41300
Arkansas,01/11/2021,17700,17700
California,01/11/2021,232300,232300
Chicago,01/11/2021,16200,16200
Colorado,01/11/2021,33000,33000
Connecticut,01/11/2021,21900,21900
Delaware,01/11/2021,5800,5800
District of Columbia,01/11/2021,4400,4400
Federal Entities,01/11/2021,99900,99900
Florida,01/11/2021,127100,127100
Georgia,01/11/2021,60200,60200
Guam,01/11/2021,0,0
Hawaii,01/11/2021,8700,8700
Idaho,01/11/2021,9700,9700
Illinois,01/11/2021,60300,60300
Indiana,01/11/2021,39200,39200
Iowa,01/11/2021,18600,18600
Kansas,01/11/2021,17000,17000
Kentucky,01/11/2021,26500,26500
Louisiana,01/11/2021,27500,27500
Maine,01/11/2021,8400,8400
Mariana Islands,01/11/2021,0,0
Marshall Islands,01/11/2021,0,0
Maryland,01/11/2021,36000,36000
Massachusetts,01/11/2021,42100,42100
Michigan,01/11/2021,60000,60000
Micronesia,01/11/2021,0,0
Minnesota,01/11/2021,32900,32900
Mississippi,01/11/2021,17600,17600
Missouri,01/11/2021,36400,36400
Montana,01/11/2021,6400,6400
Nebraska,01/11/2021,11200,11200
Nevada,01/11/2021,17400,17400
New Hampshire,01/11/2021,8400,8400
New Jersey,01/11/2021,53400,53400
New Mexico,01/11/2021,12500,12500
New York,01/11/2021,68000,68000
New York City,01/11/2021,51600,51600
North Carolina,01/11/2021,60800,60800
North Dakota,01/11/2021,4600,4600
Ohio,01/11/2021,69700,69700
Oklahoma,01/11/2021,22900,22900
Oregon,01/11/2021,25000,25000
Palau,01/11/2021,0,0
Pennsylvania,01/11/2021,68700,68700
Philadelphia,01/11/2021,9500,9500
Puerto Rico,01/11/2021,20900,20900
Rhode Island,01/11/2021,6600,6600
South Carolina,01/11/2021,29900,29900
South Dakota,01/11/2021,5100,5100
Tennessee,01/11/2021,39800,39800
Texas,01/11/2021,159100,159100
U.S. Virgin Islands,01/11/2021,700,700
Utah,01/11/2021,16600,16600
Vermont,01/11/2021,4000,4000
Virginia,01/11/2021,50600,50600
Washington,01/11/2021,44300,44300
West Virginia,01/11/2021,11300,11300
Wisconsin,01/11/2021,34900,34900
Wyoming,01/11/2021,3500,3500
Alabama,01/04/2021,29000,29000
Alaska,01/04/2021,25600,25600
American Samoa,01/04/2021,2400,0
Arizona,01/04/2021,41100,41100
Arkansas,01/04/2021,17600,17600
California,01/04/2021,231400,231400
Chicago,01/04/2021,16100,16100
Colorado,01/04/2021,32900,32900
Connecticut,01/04/2021,21800,21800
Delaware,01/04/2021,5800,5800
District of Columbia,01/04/2021,4400,4400
Federal Entities,01/04/2021,108400,99600
Florida,01/04/2021,126600,126600
Georgia,01/04/2021,60000,60000
Guam,01/04/2021,7200,0
Hawaii,01/04/2021,8600,8600
Idaho,01/04/2021,9700,9700
Illinois,01/04/2021,60100,60100
Indiana,01/04/2021,39000,39000
Iowa,01/04/2021,18500,18500
Kansas,01/04/2021,16900,16900
Kentucky,01/04/2021,26400,26400
Louisiana,01/04/2021,27400,27400
Maine,01/04/2021,8300,8300
Mariana Islands,01/04/2021,2400,0
Marshall Islands,01/04/2021,6400,0
Maryland,01/04/2021,35900,35900
Massachusetts,01/04/2021,42000,42000
Michigan,01/04/2021,59800,59800
Micronesia,01/04/2021,9600,0
Minnesota,01/04/2021,32700,32700
Mississippi,01/04/2021,17500,17500
Missouri,01/04/2021,36200,36200
Montana,01/04/2021,6300,6300
Nebraska,01/04/2021,11200,11200
Nevada,01/04/2021,17300,17300
New Hampshire,01/04/2021,8400,8400
New Jersey,01/04/2021,53200,53200
New Mexico,01/04/2021,12500,12500
New York,01/04/2021,67700,67700
New York City,01/04/2021,51400,51400
North Carolina,01/04/2021,60500,60500
North Dakota,01/04/2021,4600,4600
Ohio,01/04/2021,69500,69500
Oklahoma,01/04/2021,22800,22800
Oregon,01/04/2021,24800,24800
Palau,01/04/2021,3200,0
Pennsylvania,01/04/2021,68400,68400
Philadelphia,01/04/2021,9500,9500
Puerto Rico,01/04/2021,20800,20800
Rhode Island,01/04/2021,6600,6600
South Carolina,01/04/2021,29700,29700
South Dakota,01/04/2021,5100,5100
Tennessee,01/04/2021,39700,39700
Texas,01/04/2021,158500,158500
U.S. Virgin Islands,01/04/2021,700,700
Utah,01/04/2021,16500,16500
Vermont,01/04/2021,3900,3900
Virginia,01/04/2021,50400,50400
Washington,01/04/2021,44100,44100
West Virginia,01/04/2021,11200,11200
Wisconsin,01/04/2021,34700,34700
