2022-10-28 09:51:39,882 INFO using config /Users/stiles/Library/Application Support/twarc/config
2022-10-28 09:51:39,882 INFO creating HTTP session headers for app auth.
2022-10-28 09:51:39,883 INFO getting ('https://api.twitter.com/2/users/by',) {'params': {'tweet.fields': 'attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,id,in_reply_to_user_id,lang,public_metrics,text,possibly_sensitive,referenced_tweets,reply_settings,source,withheld', 'user.fields': 'created_at,description,entities,id,location,name,pinned_tweet_id,profile_image_url,protected,public_metrics,url,username,verified,withheld', 'usernames': 'elonmusk'}}
2022-10-28 09:51:40,191 WARNING Unable to expand dictionary without includes: {'data': [{'name': 'Elon Musk', 'created_at': '2009-06-02T20:12:29.000Z', 'id': '44196397', 'description': 'Chief Twit', 'location': 'Twitter HQ', 'verified': True, 'username': 'elonmusk', 'public_metrics': {'followers_count': 110920792, 'following_count': 122, 'tweet_count': 19878, 'listed_count': 99511}, 'protected': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1580062742693699584/RJ5EI7PS_normal.jpg'}], '__twarc': {'url': 'https://api.twitter.com/2/users/by?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&usernames=elonmusk', 'version': '2.9.5', 'retrieved_at': '2022-10-28T16:51:40+00:00'}}
2022-10-28 09:51:40,232 INFO getting ('https://api.twitter.com/2/tweets/search/all',) {'params': {'expansions': 'author_id,in_reply_to_user_id,referenced_tweets.id,referenced_tweets.id.author_id,entities.mentions.username,attachments.poll_ids,attachments.media_keys,geo.place_id', 'tweet.fields': 'attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,id,in_reply_to_user_id,lang,public_metrics,text,possibly_sensitive,referenced_tweets,reply_settings,source,withheld', 'user.fields': 'created_at,description,entities,id,location,name,pinned_tweet_id,profile_image_url,protected,public_metrics,url,username,verified,withheld', 'media.fields': 'alt_text,duration_ms,height,media_key,preview_image_url,type,url,width,public_metrics', 'poll.fields': 'duration_minutes,end_datetime,id,options,voting_status', 'place.fields': 'contained_within,country,country_code,full_name,geo,id,name,place_type', 'start_time': None, 'end_time': None, 'query': 'from:elonmusk', 'max_results': 100, 'since_id': 1585981766229143552}}
2022-10-28 09:51:41,355 INFO Retrieved an empty page of results.
2022-10-28 09:51:41,356 INFO No more results for search from:elonmusk.
2022-11-11 07:48:45,899 INFO using config /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:48:45,899 INFO creating config file: /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:48:45,899 INFO creating config directory: /Users/mstiles/Library/Application Support/twarc
2022-11-11 07:51:10,722 INFO using config /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:51:10,722 INFO creating HTTP session headers for app auth.
2022-11-11 07:51:10,742 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day'}}
2022-11-11 07:51:28,436 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8fgwirwpdefizge5zhx9'}}
2022-11-11 07:51:29,816 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8fgwdb1ipmrfrdarpjlp'}}
2022-11-11 07:51:31,172 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8fgw7u6fy0hdkcdi822l'}}
2022-11-11 07:51:32,441 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffup4yck02abxzagb5p'}}
2022-11-11 07:51:33,703 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffujo39sds84x20ytml'}}
2022-11-11 07:51:35,091 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffue7870ri5xw4rhc3h'}}
2022-11-11 07:51:36,424 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffu8qd0czu2pt1d7drx'}}
2022-11-11 07:51:37,858 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffu39hxldk0is43pw8t'}}
2022-11-11 07:51:39,163 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8fftxsmqxlvxap0pfxx9'}}
2022-11-11 07:51:40,458 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8fftsbro5zlv3o3fyge5'}}
2022-11-11 07:51:41,954 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8ffthgccpfjn9squoqkd'}}
2022-11-11 07:51:43,283 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87sdk8hl8xx5lbvagxa5'}}
2022-11-11 07:51:44,496 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87sdeqvswce14ev5o8l9'}}
2022-11-11 07:51:45,692 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87sd9a0q4q3yxdxw6r25'}}
2022-11-11 07:51:46,878 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87rbqksmqpovozjof059'}}
2022-11-11 07:51:48,088 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87rbl3xjz3ethymexim5'}}
2022-11-11 07:51:49,309 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87rbfn2h7h4raxp5g131'}}
2022-11-11 07:51:50,589 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87rba67ajpgo2ulr62rh'}}
2022-11-11 07:51:51,811 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87rb4pc7s36lvtohol8d'}}
2022-11-11 07:51:53,127 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87raz8h14biinql3emwt'}}
2022-11-11 07:51:54,355 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87ratrlycp8ggpntx5dp'}}
2022-11-11 07:51:55,587 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87raoaqnss6c7keauq9p'}}
2022-11-11 07:51:56,771 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw87raitvl15wa0jh1d8ql'}}
2022-11-11 07:51:57,982 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuriia59njjrtww2orq7b1'}}
2022-11-11 07:51:59,212 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurii9zsscw05tnzldg8zh'}}
2022-11-11 07:52:00,406 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurii9ubxa4dvrgyo3yrgd'}}
2022-11-11 07:52:01,587 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih8bmp6qdgo8k9w70jh'}}
2022-11-11 07:52:02,762 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih865u3yr6m1jcmpj0d'}}
2022-11-11 07:52:03,948 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih80oz174wjuifd81h9'}}
2022-11-11 07:52:05,134 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih7v83ujd8gmfbyy35p'}}
2022-11-11 07:52:06,331 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih7pr8rrqyefeepglml'}}
2022-11-11 07:52:07,534 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih7kadl3zab7bbb6nb1'}}
2022-11-11 07:52:08,708 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih7etiicd090ae1p5rx'}}
2022-11-11 07:52:09,894 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih79bwi7gp2h91nbji5'}}
2022-11-11 07:52:11,101 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurih73v1ffuf0a84du1z1'}}
2022-11-11 07:52:12,290 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuratr6n6nzcsilr8tm8ot'}}
2022-11-11 07:52:13,460 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuratr16bhbl4fdo5fcad9'}}
2022-11-11 07:52:14,655 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuratqvpgejyud6n85usu5'}}
2022-11-11 07:52:15,843 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuraspd08b5yf9y8ty31x9'}}
2022-11-11 07:52:17,068 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasp7jd8ec57r7wolke5'}}
2022-11-11 07:52:18,248 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasp22i5mpv5k6zf42v1'}}
2022-11-11 07:52:19,447 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasowlmyyy72c3w0u4jh'}}
2022-11-11 07:52:20,629 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasor4rw7bx052yrcn0d'}}
2022-11-11 07:52:21,802 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasolnwpjk8wwzvd2oot'}}
2022-11-11 07:52:22,964 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasog71mrxyupyy3l75p'}}
2022-11-11 07:52:24,142 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpurasoaq68bvipfrifqb99'}}
2022-11-11 07:52:25,337 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpuraso59b5k98n8ql68tq5'}}
2022-11-11 07:52:26,512 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur35881ge3rm5k9pm10fx'}}
2022-11-11 07:52:27,680 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur3582julr6313cph8br1'}}
2022-11-11 07:52:28,838 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur357x2zizjsywbs7qu7x'}}
2022-11-11 07:52:29,999 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur346edrfljdvnxdzz3b1'}}
2022-11-11 07:52:31,155 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur3468wwctx3tgwgqhlrx'}}
2022-11-11 07:52:32,326 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur3463g1a2atr9vjh048t'}}
2022-11-11 07:52:33,494 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur345xz63ej5o1sg2q5x9'}}
2022-11-11 07:52:34,663 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur345sib0mwvlurit8oe5'}}
2022-11-11 07:52:35,815 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur345n1ftz57imofeyq2l'}}
2022-11-11 07:52:36,973 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpur345hkkr7ixgfni5h8jh'}}
