License No ,Name,Address,City,State,Zip,Expires,WC Carrier,WC Exp Date,Bond Issuer,Bond Eff Date
TA000208560,MARTIN HALLEN & DANIELA M. WULFF  dba PTI Talent,"1710 N. MOORPARK RD., # 215",THOUSAND OAKS,CA,91360,1/5/18,,,Old Republic,1/25/17
TA000208572,LIAISON ARTISTS LLC,2343 3RD STREET. SUITE 299,SAN FRANCISCO,CA,94107,7/19/17,ONE BEACON INSURANCE,5/18/17,OLD REPUBLIC SURETY COMPANY,2/15/15
TA000208619,"Closeup  Models and Talent, LLC","5455 Wilshire Blvd., Suite 2020",Los Angeles,CA,90036,7/7/17,,,Washington In,1/7/16
TA000211615,PATTY A. MEZIN & EDWARD N. GOLDBERG  dba Chic Mode,"5150 E. Pacific Coast Hwy., Suite 200",Long Beach,CA,90804,1/26/20,,,Surety1,1/24/19
TA000211785,Beverly J. Graham  dba THE BEVERLY AGENCY,2337 Roscomare Rd.,Bel Air,CA,90077,2/1/18,,,GREAT AMERICAN INSURANCE COMPANY,4/24/12
TA000211831,"Willow Model Management, LLC","26341 Jefferson Avenue, #F",Murrieta,CA,92562,2/14/17,,,American Contractors Indemnity Company,3/8/11
TA000211850,"Littman Talent Group, Inc.","4500 Park Granada, Suite 202",Calabasas,CA,91302,1/22/20,,,Great American Insurance Companies,6/28/18
TA000211922,Maven Artists Agency LLC,269 South Beverly Drive #204,Beverly Hills,CA,90212,5/19/20,,,State Farm,7/13/15
TA000212014,Cox Modeling LLC,"9900 Stirling Road, Suite 226",Cooper City,FL,33024,12/14/19,,,Surety 1,10/6/18
TA000212014,Cox Modeling LLC,"9900 Stirling Road, Suite 226",Cooper City,FL,33024,12/14/20,,,Surety 1,10/6/18
TA000212020,"Tack Artist Group, LLC","7288 W. Sunset Blvd., #207",Los Angeles,CA,90046,3/19/19,Great Divide,6/24/18,American Contractors Indemnity,12/3/17
TA000212021,"JIM-DAL ENTERPRISES, INC.  dba WORLD MODELING TALE",9619 Canoga Avenue,Chatsworth,CA,91311,3/26/20,,,American Indemnity Insurance company,7/3/18
TA000212059,"JEP Entertainment Group, Inc.",2083 Booth Street,Simi Valley,CA,93065,3/16/20,,,The Hartford Fire Insurance,10/1/18
TA000212242,Kingvigor Inc.,4522 Woodman Ave C312,Sherman Oaks,CA,91423,2/9/20,,,Surety 1,12/1/11
TA000212292,Monterrey Artist Inc.  dba Monterrey Productions,"3737 Stockdale Hwy, Suite 220",Bakersfield,CA,93309,3/3/17,State Fund,9/1/16,Hartford Fire Insurance Company,9/11/06
TA000212528,International Talent Agency LLC,"9701 Wilshire Blvd., Suite 1000",Beverly Hills,CA,90212,2/22/20,,,SureTec Insurance Company,1/16/19
TA000212557,Tiffany Richer  dba RPM Talent,"2600 W. Olive Ave., 5th Floor",Burbank,CA,91505,1/23/18,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,3/24/06
TA000212562,"City Model Management, Inc.","500 3rd Street, #580",San Francisco,CA,94107,2/7/17,State Compensation Insurance Fund,2/8/16,The Hartford,12/9/05
TA000212567,Cadenza Artists LLC,"1000 Granville Avenue, Suite 301",Los Angeles,CA,90049,3/3/20,,,State Farm,5/1/19
TA000212649,"Pantheon Talent Group, LLC  dba Pantheon",1801 Century Park East #1910,Los Angeles,CA,90067,12/19/19,Travelers,10/28/19,American Contractors Indemnity Company,2/23/06
TA000212687,"AB2 Talent, LLC","11601 Wilshire Boulevard, Ste 500, 5th Floor",Los Angeles,CA,90025,1/14/20,,,The Hartford Fire Insurance,2/17/19
TA000212736,"All Access Talent, Inc.",121 W Lexington Dr Ste 414,Glendale,CA,91203,12/13/19,,,Hartford fire Insurance Company,1/4/16
TA000212736,"All Access Talent, Inc.",121 W Lexington Dr Ste 414,Glendale,CA,91203,12/13/20,,,The Hartford Fire Insurance,1/4/16
TA000212757,"Filmtrix, Inc.  dba THE FILMTRIX AGENCY","5124 COLDWATER CANYON AVE, #209",SHERMAN OAKS,CA,91423,10/27/16,,,Old Republic Surety Company,2/28/15
TA000212768,"Lovestone Talent Agency, LLC",7772 Santa Monica Blvd.,West Hollywood,CA,90046,11/17/16,,,Great American insurance Company,12/10/14
TA000212776,Hollywood Original Talent,"6115 Selma Avenue, Suite 207",Los Angeles,CA,90028,12/23/19,,,Western Surety Company,5/19/14
TA000212778,Rodney J. Chester  dba Trio Talent Agency,1502 N. Gardner St.,Los Angeles,CA,90046,12/28/16,State Compensation Insurance Fund,1/27/17,Hartford Fire Insurance,8/22/14
TA000212836,"Tracey Mattingly, LLC","717 N. Highland Ave., #9",Los Angeles,CA,90038,3/26/20,,,The Hartford Fire Insurance,7/3/18
TA000212849,Luke Johnstone  dba Dig-It Talent,"77 Shotwell Street, Unit 3",San Francisco,CA,94103,4/28/18,,,WESTERN SURETY COMPANY,1/11/06
TA000212856,Villatoro Research LLC  dba Villatoro Talent,8160 Manitoba St. #115,Playa Del Rey,CA,90293,2/11/18,,,OLD REPUBLIC,2/7/17
TA000212858,Lita D. Schloss aka Leigh Castle  dba Castle Hill ,1101 South Orlando Ave.,Los Angeles,CA,90035,2/12/18,,,STATE FARM FIRE AND CASUALTY INSURANCE COMPANY,4/1/10
TA000212874,The Irv Schechter Company,"9460 Wilshire Boulevard, Suite 300",Beverly Hills,CA,90212,4/12/20,Great Divide Insurance,10/27/20,Hartford Fire Insurance company,12/1/06
TA000212920,Meridian Agency International  dba SUMMIT TALENT &,"9454 Wilshire Blvd., Ste. 203",Beverly Hills,CA,90212,2/17/19,State Compensation Insurance Fund,4/1/18,Hartford Fire Insurance Company,3/15/06
TA000212960,Ryan Bazler  dba Luminary Talent,"550 South Hill Street, Suite 1607/A262",Los Angeles,CA,90013,2/28/20,,,philadelphia Insurance Companies,4/8/18
TA000212962,Arcadio M. Castillo,4115 GLENCOE AVE. #114,MARINA DEL REY,CA,90292,10/1/20,,,Surety1,8/28/18
TA000213019,"Nancy Chaidez Agency & Associates, Inc.",6340 Coldwater Canyon Avenue Unit 214,North Hollywood,CA,91606,3/6/17,,,Hartford Fire Insurance Company,9/14/12
TA000213052,Deanna Nicole Oerman  dba NYX Models,809 San Miguel Avenue,Venice,CA,90291,2/21/19,,,Philidelphia Indemnity Insurance,11/1/11
TA000213056,"NMG Management Group, Inc.  dba Napoli Management ",8844 West Olympic Blvd Suite 100,Beverly Hills,CA,90211,3/27/18,NEW YORK MARINE AND GENERAL INSURANCE COMPANY,6/16/17,HARTFORD FIRE INSURANCE COMPANY,2/1/10
TA000213263,Sarah Yapelli  dba Black Apple Talent,1112 Montana Ave Unit 609,Santa Monica,CA,90403,4/3/20,,,Hartford,10/22/15
TA000213284,Palomera De La Ree Producciones  dba PALOMERA GROU,1460 NW 107 Ave Suite Q,Miami,FL,33172,3/14/20,,,RLI Insurance,4/26/17
TA000213288,Steven Cutler  dba Catalyst Talent Agency,"12424 Wilshire Blvd, 9th Floor",Los Angeles,CA,90025,9/19/20,,,State Farm,4/23/19
TA000213308,"Plush Talent, LLC  dba PlushTalent Modeling Agency",10844 Modena Terrace,Philadelphia,PA,19154,12/21/16,,,Hartford Fire Insurance Company,8/21/15
TA000213400,Kristoffer Cortez Dizon  dba Dizon Artist Agency,560 Mission Street Suite 1300,San Francisco,CA,94105,4/19/17,,,Hartford Fire Insurance Company,4/1/10
TA000213440,Donna Lee Tardive  dba Career Artists Internationa,11030 ventura blvd #3,studio city,CA,91604,3/5/20,,,The Hartford Fire Insurance,4/25/19
TA000213516,Todd Cote  dba Leafy Green,2180 Bryant Street Suite 206,San Francisco,CA,94110,2/20/18,,,HARTFORD FIRE INSURANCE COMPANY,11/1/15
TA000213524,Next Management LLC,15 Watts Street,New York,NY,10013,3/4/20,Chubb,12/19/19,St Paul Travelers Casualty and Insurance company,5/18/96
TA000213633,Marc Chancer  dba Activity,4705 Laurel Canyon Blvd. #203,Valley Village,CA,91607,7/18/16,,,JW,2/12/16
TA000213704,"Nu Talent Agency, Inc.",117 North Robertson Blvd Suite A,Los Angeles,CA,90048,4/7/17,State Compensation Insurance Fund,5/1/16,Hartford Fire Insurance Company,6/11/14
TA000213711,Scott Stuart Reifman  dba Odds On Agency,802 North Vista Street,Los Angeles,CA,90046,3/17/20,,,Aegis Security Insurance Company,3/20/19
TA000213722,Susanna Mary Griffith  dba Susanna Griffith Talent,155 North Lake Avenue Suite 800,Pasadena,CA,91101,1/30/17,,,Hartford Fire Insurance Company,12/1/15
TA000213732,Phillip Goldman Chance  dba Chances Unlimited,12400 Wilshire Blvd Suite 850,Los Angeles,CA,90025,12/15/16,,,SureTec Insurance Company,11/1/12
TA000213743,Michael R. Voelkel  dba Golden Stars Talent,"1424 4TH STREE, #228",Santa Monica,CA,90401,2/14/18,STATE COMPENSATION INSURANCE FUND,2/12/18,SURETEC INSURANCE COMPANY,2/10/16
TA000213748,Global Talent Agency LLC,2615 West Magnolia Blvd Suite 101,Burbank,CA,91505,2/2/20,,,American Contractors Indemnity,11/4/09
TA000213748,Global Talent Agency LLC,2615 West Magnolia Blvd Suite 101,Burbank,CA,91505,2/2/21,,,American Contractors Indemnity Company,11/4/09
TA000213850,"Innovative Productions, Inc.  dba Innovative Enter","2525 16th Street, # 304",San Francisco,CA,94103,2/3/20,State Fund,12/31/19,Wells Fargo,2/13/07
TA000213856,The Mirisch Agency,8840 Wilshrie Blvd Suite 100,Beverly Hills,CA,90211,1/22/18,NEW YORK MARINE GENERAL INSURANCE,7/9/17,HARTFORD FIRE INSURANCE COMPANY,3/10/08
TA000213871,"The Rage Group, Inc.  dba Rage Models, RTA, Rage T",23586 Calabasas Road Unit 104,Calabasas,CA,91302,2/10/20,State Comp,8/1/19,Scottsdale In,3/21/18
TA000213885,High Road Touring LLC,751 Bridgeway Third Floor,Sausalito,CA,94965,1/23/18,ST. PAUL FIRE AND MARINE INSURANCE COMPANY,2/19/17,THE HARTFORD FIRE INSURANCE COMPANY,6/17/15
TA000213929,Lenhoff Enterprises Incorporated  dba Lenhoff & Le,"100 S. Doheny Drive, #214",Los Angeles,CA,90048,4/24/20,,,The Hartford,4/24/19
TA000213941,"Paradise Artists, Inc.",108 East Matilija Street,Ojai,CA,93023,2/2/20,Scottsdale Insurance Company,8/1/19,CNA Surety,12/18/18
TA000213968,"The Ross Agency, Inc.",5150 East Pacific Coast Highway Suite 200,Long Beach,CA,90804,12/15/19,,,Pro Surety,11/13/17
TA000213968,"The Ross Agency, Inc.",5150 East Pacific Coast Highway Suite 200,Long Beach,CA,90804,12/15/20,,,Pro Surety,11/22/18
TA000214014,Jeff Wolfman  dba Fred R. Price Talent Agency,14044 Ventura Blvd. Ste. 201,Sherman Oaks,CA,91423,3/22/20,,,suretybonds.c,3/23/19
TA000214055,Avalon Artists Group Inc,"5455 Wilshire Blvd,  Suite 900",Los Angeles,CA,90036,4/26/20,WWC3384312,12/1/19,Hartford Fire,4/26/12
TA000214073,Limelight Talent Inc,8149 Santa Monica Blvd Unit 287,Los Angeles,CA,90046,2/12/17,,,State Farm Fire And Casualty Company,12/27/13
TA000214095,Quinn-Tonry Inc  dba Tonry Talent,885 Bryant Street Unit 201,San Francisco,CA,94103,4/23/18,STATE COMPENSATION INSURANCE FUND,10/31/17,CONTRACTORS BONDING AND INSURANCE COMPANY,6/26/99
TA000214130,Jacqueline Lewis  dba Lewis & Beal Talent Agency,3406 W. Burbank Blvd,Burbank,CA,91505,12/30/19,AmGuard Insurance Co.,12/14/19,The Hartford Fire Insurance,10/26/10
TA000214136,Brown Management Group Inc  dba BMG Models,5455 Wilshire Blvd Suite 900,Los Angeles,CA,90036,4/26/20,WWC3384312,12/1/19,Hartford Fire,4/26/19
TA000214177,David Shapira and Associates Inc.,193 N. Robertson Blvd,Beverly Hills,CA,90211,2/28/18,STATE COMPENSATION INSURANCE FUND,5/2/17,WASHINGTON INTERNATIONAL INSURANCE COMPANY,6/13/16
TA000214220,"Power Talent Agency, Inc.  dba POWER",2305 Historic Decatur Rd,San Diego,CA,92106,2/25/20,AP Intego,1/18/20,CNA Western B,12/8/16
TA000214255,Robertson Taylor Agency LLC,11500 West Olympic Blvd Suite 400,Los Angeles,CA,90064,2/26/17,,,Philadelphia Indemnity Insurance Company,6/15/14
TA000214324,"Bell Hall Talent, Inc  dba BH Talent",16430 Ventura Blvd suite 200,Encino,CA,91436,1/6/20,,,The Hartford Fire Insurance,2/17/16
TA000214324,"Bell Hall Talent, Inc  dba BH Talent",16430 Ventura Blvd suite 200,Encino,CA,91436,1/6/21,,,Hartford,1/31/19
TA000214346,"THE STEIN AGENCY, INC.  dba The Stein Agency",5125 Oakdale Ave,Woodland Hills,CA,91364,4/9/20,State Fund,3/1/20,American Contractors Inemnity Company,4/3/17
TA000214362,Daniel Swan  dba Swan Entertainment,2600 Tenth Street Suite 433,Berkeley,CA,94710,4/24/20,State Fund Insurance,4/1/19,State Farm Fire & Casualty Company,4/24/09
TA000214429,"EEM Law, PC",13932 Emelita St.,Valley Glen,CA,91401,10/14/17,,,State Farm,10/24/16
TA000214480,Progressive Artists Agency Corp,"9696 Culver Blvd, Suite 110",Culver City,CA,90232,1/30/20,State Fund,10/1/19,The Hartford Fire Insurance,5/10/06
TA000214502,310 Artists Agency,3500 West Olive Avenue Unit 300,Burbank,CA,91505,1/10/18,,,GREAT AMERICAN INSURANCE COMPANY,6/1/11
TA000214575,"Michael Beltran, Troy Gilmore and Frederick J. Har",2665 Ariane Drive #207,San Diego,CA,92117,3/24/20,,,HCC,12/30/18
TA000214665,KATHLEEN SCHULTZ  dba Kathleen Schultz Associates,6442 Coldwater Canyon Suite 206,Valley Glen,CA,91606,3/12/20,,,Hartford,12/19/16
TA000214700,Abraham M Khoureis  dba AMK Hollywood Talent Agenc,2223 West Colorado Blvd,Los Angeles,CA,90041,3/7/20,,,Western Surety,3/1/11
TA000214765,Lindsay Louise Bennett  dba T3 Talent,464 E Main St Suite 4,Spartanburg,SC,29302,3/9/17,,,Washington International Insurance Company,10/16/14
TA000214778,"Affinity Models and Talent, Inc  dba Affinity Arti",5455 Wilshire Blvd Suite 1010,Los Angeles,CA,90036,2/24/18,STATE COMPENSATION INSURANCE FUND,3/1/18,PHILADELPHIA INDEMNITY INSURANCE COMPANY,7/8/13
TA000214787,Greg Scuderi and Oscar Arce  dba Master Talent Age,15315 Magnolia Blvd Suite 430,Sherman Oaks,CA,91403,6/30/20,,,RLI Insurance company,4/20/19
TA000214790,Janet Williamson  dba The Janet Williamson Music A,2120 Roselin Place,Los Angeles,CA,90039,3/27/20,,,Western,3/28/19
TA000214827,"O'Neill Talent Group, LLC",4150 Riverside Drive Suite 212,Burbank,CA,91505,4/3/20,State Fund,6/22/19,Old Republic Surety Company,12/16/18
TA000214968,Sandra Marsh & Associates,"6420 Wilshire Blvd., Ste. 880",Los Angeles,CA,90048-5538,6/18/20,The Hartford,1/4/20,Nationwide Mutual Insurance Company,6/18/18
TA000214974,"25 Live, LLC",25 Music Square West,Nashville,TN,37203,12/8/16,Travelers Casualty & Surety Company,3/1/17,RLI Insurance Company,9/2/10
TA000214975,Cynthia Booth  dba Singular Talent,9358 W. Olympic Blvd,Beverly Hills,CA,90212,3/31/20,,,THE HARTFORD,10/19/18
TA000214987,"Cameron Talent & Modeling Agency, LLC","2500 Broadway, Building F, Suite#F-125",Santa Monica,CA,90404,2/22/17,,,,
TA000214998,Farallon Entertainment LLC,538 Duncan Street,San Francisco,CA,94131,5/29/19,,,Fidelity and Deposit Company of Maryland,8/5/15
TA000215012,Aur-Aelion E Israel  dba Almond Talent Agency,8217 Beverly Blvd Suite 8,Los Angeles,CA,90048,4/1/20,State Fund,11/20/19,Hartford,6/30/19
TA000215021,The Jerry Pace Agency,"8383 Wilshire Blvd, Ste 800",Beverly Hills,CA,90211,4/9/19,,,Surety 1,4/11/16
TA000215062,Event Model Group LLC  dba EMG Talent  dba EMG MOD,7080 Hollywood Blvd Suite 1100,Los Angeles,CA,90028,4/12/20,,,RLI Insurance,11/1/18
TA000215073,Richard Luna  dba Artist's Collaborative Managemen,2518 1/2 Main Street,Santa Monica,CA,90405,11/18/16,,,State Farm Fire and Casualty Company,2/21/14
TA000215086,Michael Pick International Inc  dba MPI Talent Age,12100 Wilshire Blvd Suite 1030,Los Angeles,CA,90025,4/1/20,New York Marine and General Insurance Co.,12/29/19,Hartford Fire Insurance,2/14/18
TA000215109,Commercial Talent Inc,12711 Ventura Blvd Suite 285,Studio City,CA,91604,3/17/18,State fund,3/17/18,HARTFORD FIRE INSURANCE COMPANY,3/17/06
TA000215116,Jennifer Renee Colquitt  dba J Renee Talent Agency,4605 Sylmar Avenue Suite 306,Sherman Oaks,CA,91423,3/17/18,,,HARTFORD FIRE INSURANCE COMPANY,8/31/16
TA000215133,"Cynthia Young Barry, Sandra Yvonne Wanlass  dba Fi",13440 Ventura Blvd Suite 211,Sherman Oaks,CA,91423,2/22/19,,,State Farm Insurance,5/19/10
TA000215137,The Talent House SF LLC  dba The Talent House LA,3770 Highland Ave. Suite 201,Manhattan Beach,CA,90266,3/20/20,,,Surety 1,2/20/19
TA000215256,Stephen Leung  dba So Cal Talent,"16882 Bolsa Chica St., Ste 108",Huntington Beach,CA,92649,8/13/19,,,Aegis Security Insurance Company,3/9/19
TA000215892,"SCORE A SCORE, LLC",8455 Beverly Blvd ste 309,Los Angeles,CA,90048,6/2/20,,,TOKIO MARINE,5/10/19
TA000215909,Linda Alcazar Jurado  dba Condra Artista Talent Ag,"2600 West Olive Ave., 5th Floor",Burbank,CA,91505,7/19/17,,,HARTFORD FIRE INSURANCE COMPANY,3/1/16
TA000216127,Theresa Worhach  dba WILD BRIAR TALENT,2620 W. Main St.,Alhambra,CA,91801,2/19/20,,,Surety1,1/4/19
TA000216135,"Common Chord, LLC",25 Madison Avenue,New York,NY,10010-8601,2/24/20,"Marsh USA,Inc",4/1/19,SAFECO,2/20/19
TA000216163,Daniel Fiamingo  dba StatusSilver,2468 Claremont Pl,Union City,CA,94587,5/25/17,,,American Contractors Indemnity Company,4/1/15
TA000216178,"The Crofoot Group, Inc.",4123 Park Verdi,Calabasas,CA,91302,2/14/20,,,Surety1,2/14/19
TA000216192,"Me Too Peanut, Inc.  dba Schneider Entertainment A",22287 Mulholland Hwy Suite 210,Calabasas,CA,91302,3/8/20,Sequoia Insurance Agency,11/11/19,Hartford Fire Insurance,3/8/06
TA000216214,Envy Model & Talent LLC,"489 S. Robertson Blvd., #104A",Beverly Hills,CA,90211,3/9/18,,,HARTFORD FIRE INSURANCE COMPANY,1/26/11
TA000216220,Greene and Associates Talent Agency,"1901 Avenue of the Stars, STE 130",Los Angeles,CA,90067,3/6/20,EMPLOYERS,12/1/19,Surety1,1/17/19
TA000216234,"Digital Development Management, Inc.","17 New South St., Suite 205",Northampton,MA,1060,4/13/20,Travelers,1/8/20,HCC Surety Gr,1/6/19
TA000216244,Donna Lee Tardive  dba Career Artists Internationa,"11030 Ventura Blvd., #3",Studio City,CA,91320,3/5/18,,,HARTFORD FIRE INSURANCE COMPANY,5/1/06
TA000216272,Susan Nathe and Associates Commercial Performer's ,9903 Santa Monica Blvd.,Beverly Hills,CA,90212,12/18/18,,,The Hartford Fire Insurance Company,2/8/17
TA000216276,"INSURGE-ENT, LLC",2144 North Junipero Avenue,Palm Springs,CA,92262,3/2/20,,,State farm,3/29/19
TA000216276,"INSURGE-ENT, LLC",2144 North Junipero Avenue,Palm Springs,CA,92262,3/2/21,,,State Farm,3/24/19
TA000216286,Bella Agency LLC,1680 North Vine Street Suite 714,Los Angeles,CA,90028,5/17/20,PAYCHEX,4/30/19,OLD REPUBLIC,2/21/19
TA000216294,John Pierce Agency Inc,3270 Casitas Ave.,Los Angeles,CA,90039,4/28/20,,,The Hartford,1/4/19
TA000216312,Aqua LLC,9000 Sunset Blvd Suite 700,West Hollywood,CA,90009,3/1/19,State Fund,9/1/18,Surety Soluti,5/23/17
TA000216318,Bell Talent Inc,40992 Calle Pueblo,Indio,CA,92203,5/16/18,,,HARTFORD FIRE INSURANCE COMPANY,3/25/15
TA000216343,Croce Talent,6215 Monterey Rd,Los Angeles,CA,90042,3/27/17,,,Hartford,5/13/16
TA000216395,"Third Hill Entertainment, Inc.",195 South Beverly Drive Suite 400,Beverly Hills,CA,90212,3/25/20,Travelers,2/7/20,Hartford,5/1/19
TA000216408,Innovative Artists Broadcast Division LLC,1505 Tenth Street,Santa Monica,CA,90401,3/12/17,St Paul Fire and Marine Insurance Company,7/1/16,Hartford Fire Insurance Company,3/24/15
TA000216459,Connor Ankrum and Associates Inc,1680 North Vine Street Suite 916,Los Angeles,CA,90028,1/15/20,Travelers Property Casualty of Insurance,5/1/19,Surety1,1/1/19
