"GEO_ID","id"
"S0101_C01_034M","Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C01_035E","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C01_035M","Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C01_036E","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C01_036M","Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C01_037E","Estimate!!Total!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C01_037M","Margin of Error!!Total!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C01_038E","Estimate!!Total!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C01_038M","Margin of Error!!Total!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C02_001E","Estimate!!Percent!!Total population"
"S0101_C02_001M","Margin of Error!!Percent!!Total population"
"S0101_C02_002E","Estimate!!Percent!!Total population!!AGE!!Under 5 years"
"S0101_C02_002M","Margin of Error!!Percent!!Total population!!AGE!!Under 5 years"
"S0101_C02_003E","Estimate!!Percent!!Total population!!AGE!!5 to 9 years"
"S0101_C02_003M","Margin of Error!!Percent!!Total population!!AGE!!5 to 9 years"
"S0101_C02_004E","Estimate!!Percent!!Total population!!AGE!!10 to 14 years"
"S0101_C02_004M","Margin of Error!!Percent!!Total population!!AGE!!10 to 14 years"
"S0101_C02_005E","Estimate!!Percent!!Total population!!AGE!!15 to 19 years"
"S0101_C02_005M","Margin of Error!!Percent!!Total population!!AGE!!15 to 19 years"
"S0101_C02_006E","Estimate!!Percent!!Total population!!AGE!!20 to 24 years"
"S0101_C02_006M","Margin of Error!!Percent!!Total population!!AGE!!20 to 24 years"
"S0101_C02_007E","Estimate!!Percent!!Total population!!AGE!!25 to 29 years"
"S0101_C02_007M","Margin of Error!!Percent!!Total population!!AGE!!25 to 29 years"
"S0101_C02_008E","Estimate!!Percent!!Total population!!AGE!!30 to 34 years"
"S0101_C02_008M","Margin of Error!!Percent!!Total population!!AGE!!30 to 34 years"
"S0101_C02_009E","Estimate!!Percent!!Total population!!AGE!!35 to 39 years"
"S0101_C02_009M","Margin of Error!!Percent!!Total population!!AGE!!35 to 39 years"
"S0101_C02_010E","Estimate!!Percent!!Total population!!AGE!!40 to 44 years"
"S0101_C02_010M","Margin of Error!!Percent!!Total population!!AGE!!40 to 44 years"
"S0101_C02_011E","Estimate!!Percent!!Total population!!AGE!!45 to 49 years"
"S0101_C02_011M","Margin of Error!!Percent!!Total population!!AGE!!45 to 49 years"
"S0101_C02_012E","Estimate!!Percent!!Total population!!AGE!!50 to 54 years"
"S0101_C02_012M","Margin of Error!!Percent!!Total population!!AGE!!50 to 54 years"
"S0101_C02_013E","Estimate!!Percent!!Total population!!AGE!!55 to 59 years"
"S0101_C02_013M","Margin of Error!!Percent!!Total population!!AGE!!55 to 59 years"
"S0101_C02_014E","Estimate!!Percent!!Total population!!AGE!!60 to 64 years"
"S0101_C02_014M","Margin of Error!!Percent!!Total population!!AGE!!60 to 64 years"
"S0101_C02_015E","Estimate!!Percent!!Total population!!AGE!!65 to 69 years"
"S0101_C02_015M","Margin of Error!!Percent!!Total population!!AGE!!65 to 69 years"
"S0101_C02_016E","Estimate!!Percent!!Total population!!AGE!!70 to 74 years"
"S0101_C02_016M","Margin of Error!!Percent!!Total population!!AGE!!70 to 74 years"
"S0101_C02_017E","Estimate!!Percent!!Total population!!AGE!!75 to 79 years"
"S0101_C02_017M","Margin of Error!!Percent!!Total population!!AGE!!75 to 79 years"
"S0101_C02_018E","Estimate!!Percent!!Total population!!AGE!!80 to 84 years"
"S0101_C02_018M","Margin of Error!!Percent!!Total population!!AGE!!80 to 84 years"
"S0101_C02_019E","Estimate!!Percent!!Total population!!AGE!!85 years and over"
"S0101_C02_019M","Margin of Error!!Percent!!Total population!!AGE!!85 years and over"
"S0101_C02_020E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_020M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_021E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_021M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_022E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C02_022M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C02_023E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_023M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_024E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_024M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_025E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_025M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_026E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_026M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_027E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C02_027M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C02_028E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_028M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_029E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_029M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_030E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C02_030M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C02_031E","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C02_031M","Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C02_032E","Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C02_032M","Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C02_033E","Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C02_033M","Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C02_034E","Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C02_034M","Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C02_035E","Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C02_035M","Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C02_036E","Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C02_036M","Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C02_037E","Estimate!!Percent!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C02_037M","Margin of Error!!Percent!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C02_038E","Estimate!!Percent!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C02_038M","Margin of Error!!Percent!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C03_001E","Estimate!!Male!!Total population"
"S0101_C03_001M","Margin of Error!!Male!!Total population"
"S0101_C03_002E","Estimate!!Male!!Total population!!AGE!!Under 5 years"
"S0101_C03_002M","Margin of Error!!Male!!Total population!!AGE!!Under 5 years"
"S0101_C03_003E","Estimate!!Male!!Total population!!AGE!!5 to 9 years"
"S0101_C03_003M","Margin of Error!!Male!!Total population!!AGE!!5 to 9 years"
"S0101_C03_004E","Estimate!!Male!!Total population!!AGE!!10 to 14 years"
"S0101_C03_004M","Margin of Error!!Male!!Total population!!AGE!!10 to 14 years"
"S0101_C03_005E","Estimate!!Male!!Total population!!AGE!!15 to 19 years"
"S0101_C03_005M","Margin of Error!!Male!!Total population!!AGE!!15 to 19 years"
"S0101_C03_006E","Estimate!!Male!!Total population!!AGE!!20 to 24 years"
"S0101_C03_006M","Margin of Error!!Male!!Total population!!AGE!!20 to 24 years"
"S0101_C03_007E","Estimate!!Male!!Total population!!AGE!!25 to 29 years"
"S0101_C03_007M","Margin of Error!!Male!!Total population!!AGE!!25 to 29 years"
"S0101_C03_008E","Estimate!!Male!!Total population!!AGE!!30 to 34 years"
"S0101_C03_008M","Margin of Error!!Male!!Total population!!AGE!!30 to 34 years"
"S0101_C03_009E","Estimate!!Male!!Total population!!AGE!!35 to 39 years"
"S0101_C03_009M","Margin of Error!!Male!!Total population!!AGE!!35 to 39 years"
"S0101_C03_010E","Estimate!!Male!!Total population!!AGE!!40 to 44 years"
"S0101_C03_010M","Margin of Error!!Male!!Total population!!AGE!!40 to 44 years"
"S0101_C03_011E","Estimate!!Male!!Total population!!AGE!!45 to 49 years"
"S0101_C03_011M","Margin of Error!!Male!!Total population!!AGE!!45 to 49 years"
"S0101_C03_012E","Estimate!!Male!!Total population!!AGE!!50 to 54 years"
"S0101_C03_012M","Margin of Error!!Male!!Total population!!AGE!!50 to 54 years"
"S0101_C03_013E","Estimate!!Male!!Total population!!AGE!!55 to 59 years"
"S0101_C03_013M","Margin of Error!!Male!!Total population!!AGE!!55 to 59 years"
"S0101_C03_014E","Estimate!!Male!!Total population!!AGE!!60 to 64 years"
"S0101_C03_014M","Margin of Error!!Male!!Total population!!AGE!!60 to 64 years"
"S0101_C03_015E","Estimate!!Male!!Total population!!AGE!!65 to 69 years"
"S0101_C03_015M","Margin of Error!!Male!!Total population!!AGE!!65 to 69 years"
"S0101_C03_016E","Estimate!!Male!!Total population!!AGE!!70 to 74 years"
"S0101_C03_016M","Margin of Error!!Male!!Total population!!AGE!!70 to 74 years"
"S0101_C03_017E","Estimate!!Male!!Total population!!AGE!!75 to 79 years"
"S0101_C03_017M","Margin of Error!!Male!!Total population!!AGE!!75 to 79 years"
"S0101_C03_018E","Estimate!!Male!!Total population!!AGE!!80 to 84 years"
"S0101_C03_018M","Margin of Error!!Male!!Total population!!AGE!!80 to 84 years"
"S0101_C03_019E","Estimate!!Male!!Total population!!AGE!!85 years and over"
"S0101_C03_019M","Margin of Error!!Male!!Total population!!AGE!!85 years and over"
"S0101_C03_020E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_020M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_021E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_021M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_022E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C03_022M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C03_023E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_023M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_024E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_024M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_025E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_025M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_026E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_026M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_027E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C03_027M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C03_028E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_028M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_029E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_029M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_030E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C03_030M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C03_031E","Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C03_031M","Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C03_032E","Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C03_032M","Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C03_033E","Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C03_033M","Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C03_034E","Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C03_034M","Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C03_035E","Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C03_035M","Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C03_036E","Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C03_036M","Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C03_037E","Estimate!!Male!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C03_037M","Margin of Error!!Male!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C03_038E","Estimate!!Male!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C03_038M","Margin of Error!!Male!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C04_001E","Estimate!!Percent Male!!Total population"
"S0101_C04_001M","Margin of Error!!Percent Male!!Total population"
"S0101_C04_002E","Estimate!!Percent Male!!Total population!!AGE!!Under 5 years"
"S0101_C04_002M","Margin of Error!!Percent Male!!Total population!!AGE!!Under 5 years"
"S0101_C04_003E","Estimate!!Percent Male!!Total population!!AGE!!5 to 9 years"
"S0101_C04_003M","Margin of Error!!Percent Male!!Total population!!AGE!!5 to 9 years"
"S0101_C04_004E","Estimate!!Percent Male!!Total population!!AGE!!10 to 14 years"
"S0101_C04_004M","Margin of Error!!Percent Male!!Total population!!AGE!!10 to 14 years"
"S0101_C04_005E","Estimate!!Percent Male!!Total population!!AGE!!15 to 19 years"
"S0101_C04_005M","Margin of Error!!Percent Male!!Total population!!AGE!!15 to 19 years"
"S0101_C04_006E","Estimate!!Percent Male!!Total population!!AGE!!20 to 24 years"
"S0101_C04_006M","Margin of Error!!Percent Male!!Total population!!AGE!!20 to 24 years"
"S0101_C04_007E","Estimate!!Percent Male!!Total population!!AGE!!25 to 29 years"
"S0101_C04_007M","Margin of Error!!Percent Male!!Total population!!AGE!!25 to 29 years"
"S0101_C04_008E","Estimate!!Percent Male!!Total population!!AGE!!30 to 34 years"
"S0101_C04_008M","Margin of Error!!Percent Male!!Total population!!AGE!!30 to 34 years"
"S0101_C04_009E","Estimate!!Percent Male!!Total population!!AGE!!35 to 39 years"
"S0101_C04_009M","Margin of Error!!Percent Male!!Total population!!AGE!!35 to 39 years"
"S0101_C04_010E","Estimate!!Percent Male!!Total population!!AGE!!40 to 44 years"
"S0101_C04_010M","Margin of Error!!Percent Male!!Total population!!AGE!!40 to 44 years"
"S0101_C04_011E","Estimate!!Percent Male!!Total population!!AGE!!45 to 49 years"
"S0101_C04_011M","Margin of Error!!Percent Male!!Total population!!AGE!!45 to 49 years"
"S0101_C04_012E","Estimate!!Percent Male!!Total population!!AGE!!50 to 54 years"
"S0101_C04_012M","Margin of Error!!Percent Male!!Total population!!AGE!!50 to 54 years"
"S0101_C04_013E","Estimate!!Percent Male!!Total population!!AGE!!55 to 59 years"
"S0101_C04_013M","Margin of Error!!Percent Male!!Total population!!AGE!!55 to 59 years"
"S0101_C04_014E","Estimate!!Percent Male!!Total population!!AGE!!60 to 64 years"
"S0101_C04_014M","Margin of Error!!Percent Male!!Total population!!AGE!!60 to 64 years"
"S0101_C04_015E","Estimate!!Percent Male!!Total population!!AGE!!65 to 69 years"
"S0101_C04_015M","Margin of Error!!Percent Male!!Total population!!AGE!!65 to 69 years"
"S0101_C04_016E","Estimate!!Percent Male!!Total population!!AGE!!70 to 74 years"
"S0101_C04_016M","Margin of Error!!Percent Male!!Total population!!AGE!!70 to 74 years"
"S0101_C04_017E","Estimate!!Percent Male!!Total population!!AGE!!75 to 79 years"
"S0101_C04_017M","Margin of Error!!Percent Male!!Total population!!AGE!!75 to 79 years"
"S0101_C04_018E","Estimate!!Percent Male!!Total population!!AGE!!80 to 84 years"
"S0101_C04_018M","Margin of Error!!Percent Male!!Total population!!AGE!!80 to 84 years"
"S0101_C04_019E","Estimate!!Percent Male!!Total population!!AGE!!85 years and over"
"S0101_C04_019M","Margin of Error!!Percent Male!!Total population!!AGE!!85 years and over"
"S0101_C04_020E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C04_020M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C04_021E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C04_021M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C04_022E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C04_022M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C04_023E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C04_023M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C04_024E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C04_024M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C04_025E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C04_025M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C04_026E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C04_026M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C04_027E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C04_027M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C04_028E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C04_028M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C04_029E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C04_029M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C04_030E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C04_030M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C04_031E","Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C04_031M","Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C04_032E","Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C04_032M","Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C04_033E","Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C04_033M","Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C04_034E","Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C04_034M","Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C04_035E","Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C04_035M","Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C04_036E","Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
