year,deaths,population,rate,type
1994,18765,263125826,7.13,Suicides
1995,35957,266278403,13.5,All intents
1995,34338,266278403,12.9,All violence
1995,15551,266278403,5.84,Homicides
1995,18503,266278403,6.95,Suicides
1996,34040,269394291,12.64,All intents
1996,32493,269394291,12.06,All violence
1996,14037,269394291,5.21,Homicides
1996,18166,269394291,6.74,Suicides
1997,32436,272646932,11.9,All intents
1997,31088,272646932,11.4,All violence
1997,13252,272646932,4.86,Homicides
1997,17566,272646932,6.44,Suicides
1998,30708,275854116,11.13,All intents
1998,29526,275854116,10.7,All violence
1998,11798,275854116,4.28,Homicides
1998,17424,275854116,6.32,Suicides
1999,28874,279040238,10.35,All intents
1999,27726,279040238,9.94,All violence
1999,10828,279040238,3.88,Homicides
1999,16599,279040238,5.95,Suicides
2000,28663,282171936,10.16,All intents
2000,27657,282171936,9.8,All violence
2000,10801,282171936,3.83,Homicides
2000,16586,282171936,5.88,Suicides
2001,29573,284968955,10.38,All intents
2001,28540,284968955,10.02,All violence
2001,11348,284968955,3.98,Homicides
2001,16869,284968955,5.92,Suicides
2002,30242,287625193,10.51,All intents
2002,29237,287625193,10.16,All violence
2002,11829,287625193,4.11,Homicides
2002,17108,287625193,5.95,Suicides
2003,30136,290107933,10.39,All intents
2003,29174,290107933,10.06,All violence
2003,11920,290107933,4.11,Homicides
2003,16907,290107933,5.83,Suicides
2004,29569,292805298,10.1,All intents
2004,28685,292805298,9.8,All violence
2004,11624,292805298,3.97,Homicides
2004,16750,292805298,5.72,Suicides
2005,30694,295516599,10.39,All intents
2005,29684,295516599,10.04,All violence
2005,12352,295516599,4.18,Homicides
2005,17002,295516599,5.75,Suicides
2006,30896,298379912,10.35,All intents
2006,30034,298379912,10.07,All violence
2006,12791,298379912,4.29,Homicides
2006,16883,298379912,5.66,Suicides
2007,31224,301231207,10.37,All intents
2007,30335,301231207,10.07,All violence
2007,12632,301231207,4.19,Homicides
2007,17352,301231207,5.76,Suicides
2008,31593,304093966,10.39,All intents
2008,30728,304093966,10.1,All violence
2008,12179,304093966,4.01,Homicides
2008,18223,304093966,5.99,Suicides
2009,31347,306771529,10.22,All intents
2009,30561,306771529,9.96,All violence
2009,11493,306771529,3.75,Homicides
2009,18735,306771529,6.11,Suicides
2010,31672,308758105,10.26,All intents
2010,30814,308758105,9.98,All violence
2010,11078,308758105,3.59,Homicides
2010,19392,308758105,6.28,Suicides
2011,32351,311583481,10.38,All intents
2011,31512,311583481,10.11,All violence
2011,11068,311583481,3.55,Homicides
2011,19990,311583481,6.42,Suicides
2012,33563,313877662,10.69,All intents
2012,32759,313877662,10.44,All violence
2012,11622,313877662,3.7,Homicides
2012,20666,313877662,6.58,Suicides
2013,33636,316059947,10.64,All intents
2013,32849,316059947,10.39,All violence
2013,11208,316059947,3.55,Homicides
2013,21175,316059947,6.7,Suicides
2014,33594,318386329,10.55,All intents
2014,32858,318386329,10.32,All violence
2014,11008,318386329,3.46,Homicides
2014,21386,318386329,6.72,Suicides
2015,36252,320738994,11.3,All intents
2015,35476,320738994,11.06,All violence
2015,12979,320738994,4.05,Homicides
2015,22018,320738994,6.86,Suicides
2016,38658,323071755,11.97,All intents
2016,37863,323071755,11.72,All violence
2016,14415,323071755,4.46,Homicides
2016,22938,323071755,7.1,Suicides
2017,39773,325122128,12.23,All intents
2017,38949,325122128,11.98,All violence
2017,14542,325122128,4.47,Homicides
2017,23854,325122128,7.34,Suicides
2018,39740,326838199,12.16,All intents
2018,38929,326838199,11.91,All violence
2018,13958,326838199,4.27,Homicides
2018,24432,326838199,7.48,Suicides
2019,39707,328329953,12.09,All intents
2019,38850,328329953,11.83,All violence
2019,14414,328329953,4.39,Homicides
2019,23941,328329953,7.29,Suicides
2020,45222,329484123,13.73,All intents
2020,44286,329484123,13.44,All violence
2020,19384,329484123,5.88,Homicides
2020,24292,329484123,7.37,Suicides
2021,47823,329484123,14.5,All violence
2021,20966,329484123,6.4,Homicides
2021,26322,329484123,8,Suicides
2021,48832,329484123,14.8,All intents
