mo_code,mo_code_description
1805,Susp is/was fellow gang member
1806,Susp is/was father's girlfriend
1807,Susp is/was priest/pastor
1808,Susp is/was other religious confidant
1809,Susp is/was rival gang member
1810,Susp is/was roommate
1811,Susp is/was victim's teacher/coach
1812,Susp is/was foster parent/sibling
1813,Susp is/was current/former spouse/co-habitant
1814,Susp is/was current/former boyfriend/girlfriend
1815,Susp was student
1816,Suspect is/was known gang member
1817,Acquaintance
1818,Caretaker/care-giver/nanny
1819,Common-law Spouse
1820,Friend
1821,Spouse
1822,Stranger
1823,Brief encounter/Date
1824,Classmate
1900,"Auction Fraud/eBay/cragslist,etc. (Internet based theft)"
1901,Child Pornography/In possession of/Via computer
1902,Credit Card Fraud/Theft of services via internet
1903,Cyberstalking (Stalking using internet to commit the crime)
1904,Denial of computer services
1905,Destruction of computer data
1906,Harrassing E-Mail/Text Message/Other Electronic Communications
1907,Hate Crime materials/printouts/e-mails
1908,Identity Theft via computer
1909,Introduction of virus or contaminants into computer system/program
1910,Minor solicited for sex via internet/Known minor
1911,Theft of computer data
1912,Threatening E-mail/Text Messages
1913,Suspect meets victim on internet/chatroom
1914,Unauthorized access to computer system
1915,Internet Extortion
1916,Victim paid by wire transfer
2000,Domestic violence
2001,Suspect on drugs
2002,Suspect intoxicated/drunk
2003,Suspect 5150/mentally challenged or disturbed
2004,Suspect is homeless/transient
2005,Suspect uses wheelchair
2006,Suspect was transgender
2007,Suspect was homosexual/gay
2008,In possession of a Ballistic vest
2009,Suspect was Inmate/Incarcerated
2010,Suspect was Jailer/Police Officer
2011,Vendor (street or sidewalk)
2012,"Suspect was costumed character (e.g., Barney, Darth Vader, Spiderman, etc.)"
2013,Tour Bus/Van Operator
2014,Suspect was Uber/Lyft driver
2015,Suspect was Foster child
2016,Suspect was Train Operator
2017,Suspect was MTA Bus Driver
2018,Cannabis related
2019,Theft of animal (non-livestock)
2020,Mistreatment of animal
2021,Suspect was Aged (60+over)
2022,Suspect was Hitchhiker
2023,Suspect was Prostitute
2024,Suspect was Juvenile
2025,Suspect was Bisexual
2026,Suspect was Deaf/hearing impaired
2027,Suspect was Pregnant
2028,Suspect was Repeat/known shoplifter
2029,Victim used profanity
2030,Victim used racial slurs
2031,Victim used hate-related language
2032,Victim left property unattended
2033,Victim refused to cooperate w/investigation
2034,Victim was asleep/unconscious
2035,Racial slurs
2036,Hate-related language
2037,"Temporary/Vacation rental (AirBnB, etc)"
2038,Restraining order in place between suspect and victim
2039,"Victim was costumed character (e.g., Barney, Darth Vader, Spiderman, etc.)"
2040,Threats via Social Media
2041,Harassment via Social Media
2042,Victim staying at short-term vacation rental
2043,Victim is owner of short-term vacation rental
2044,Suspect staying at short-term vacation rental
2045,Suspect is owner of short-term vacation rental
2046,"Suspect damaged property equal to or exceeding $25,000"
2047,Victim was injured requiring transportation away from scene for medical reasons
2048,Victim was on transit platform
2049,Victim was passenger on bus
2050,Victim was passenger on train
2051,Suspect was passenger on bus
2052,Suspect was passenger on train
9999,Indistinctive MO
2100,Observation/Surveillance
2101,Counter Surveillance efforts
2102,Questions about-security procedures
2103,Appears to take measurements
2104,Photography (pics or video footage)
2105,Draws diagrams or takes notes
2106,Abandons suspicious package/item
2107,Abandons vehicle restricted area
2108,Enters restricted area w/o authorization
2109,T esting or Probing of Security
2110,Contraband at security check point
2111,Susp purchase of legal materials
2112,Acquires restricted items/information
2113,Acquires illegal explosive/precur agents
2114,Acquires illegal chemical agent
2115,Acquires illegal biological agents
2116,Acquires illegal rediological material
2117,Uses explosives for illegal purposes
2118,Uses chemical agent illegally
2119,Uses biological agent illegally
2120,Uses radiological material illegally
2121,Acquires uniforms without legit reason
2122,Acquires official vehicle without legit reason
2123,Pursues training/education with suspect motives
2124,Large unexplained sum of currency
2125,Multiple passports/ID's/travel documents
2126,Expressed or Implied threats
2127,Brags about affiliation with extremist organization
2128,Coded conversation or transmission
2129,Overt support of terrorist network
2130,Uses Facsimile/Hoax explosive device (susp offer/solicts)
2131,Uses Facsimile/Hoax dispersal device (susp offer/solicts)
2135,Sensitive event schedules(susp offer/solicts)
2136,VIP appearance or travel schedules (susp offer/solicts)
2137,Security schedules (susp offer/solicts)
2138,Blueprints/building plans (susp offer/solicts)
2139,Evacuation or emergency plans (susp offer/solicts)
2140,Security plans (susp offer/solicts)
2141,Weapons or ammunition (susp offer/solicts)
2142,Explosive materials(susp offer/solicts)
2143,Illicit chemical agents (susp offer/solicts)
2144,Illicit biological agents (susp offer/solicts)
2145,Illicit radiological material (susp offer/solicts)
2146,Other sensitive materials (susp offer/solicts)
2150,Coded/ciphered literature/correspondence
2151,Sensitive event schedules (susp in possession)
2152,VIP appearance or travel schedules (susp in possession)
2153,Security schedules (susp in possession)
2154,Blueprints/building plans (susp in possession)
2155,Evacuation or emergency plans (susp in possession)
2156,Security plans (susp in possession)
2157,Weapons or ammunition (susp in possession)
2158,Explosive materials (susp in possession)
2159,Illicit chemical agents (susp in possession)
2160,Illicit biological agents (susp in possession)
2161,Illicit radiological material (susp in possession)
2162,Other sensitive materials (susp in possession)
2163,Facsimile/Hoax explosive device (susp in possession)
2164,Facsimile/Hoax dispersal device (susp in possession)
2170,Associates with known/susp terrorist
2171,Corresponds w/suspected terrorist
2172,In photos w/suspected terrorists
2173,Organization supports overthrow/violent acts
2180,Bomb/explosive device
2181,Biological agent
2182,Chemical agent
2183,Radiological matter
2184,Military ordinance
2185,Incendiary device
2186,Pyrotechnics
2187,Facsimile/Hoax device
2190,Financing terrorism
2191,Victim's religion
2192,Victim's national origin
2193,Influencing societal action
2194,Furthering objectives by force
2197,SSI - Food/Agriculture
2198,Pipeline
2199,SSI - Postal/Shipping/Mailbox
2200,SSI - Government Facilities/Bldg.
2201,Church
2202,Synagogue
2203,University
2204,School
2205,Sports Venue
2206,Theater
2208,Shopping Mall
2209,Convention Center
2210,Mass Gathering Location
2211,Bridge
2212,High-Rise Building
2213,Airport
2214,Freight Train
2215,Train Tracks
2216,SSI - Chemical storage/Manufacturing plant
2217,SSI - Telecommunication Facility/Location
2218,SSI - Energy Plant/Facility
2219,SSI - W ater Facility
2220,Sewage Facility/Pipe
2221,"SSI - Nuclear Facility, Reactors, Materials & Waste"
2222,SSI - Dam/Reservoir
2223,SSI - National Monuments/Icon/Cultural significance
2224,Tactical significance
2225,SSI - Healthcare & Public Health/Hospital/Medical Clinic
2226,Abortion clinic
2227,SSI - Defense Industrial Base/Facility
2228,SSI - Transportation System
2229,SSI - Commercial Facilities
2230,SSI - Information Technology
2231,SSI - Banking and Finance
2232,SSI - Critical Manufacturing
2233,SSI - Emergency Services
2234,SSI - W aste
2301,Breach/Attempted Intrusion
2302,Misrepresentation
2303,Theft/Loss/Diversion
2304,Sabotage/Tampering/Vandalism
2305,Cyber Attack
2306,Espouses violent extremist views
2307,Aviation activity
2308,Eliciting information
2309,Recruiting
2310,Materials
2311,Acquisition of expertise
2312,Weapons discovery
2313,Finance
2314,TSC hit
2315,Sector-Specific Incident (SSI)
