"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","INCOMEINEQ","P50P10","RT","A","2015",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","2016",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2017",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","2018",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","2019",2.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1976",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","1977",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","1978",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","1979",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1980",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1981",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1982",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1983",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","1984",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","1985",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1986",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1987",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1988",3.9,
"CAN","INCOMEINEQ","P90P10","RT","A","1989",3.8,
"CAN","INCOMEINEQ","P90P10","RT","A","1990",3.9,
"CAN","INCOMEINEQ","P90P10","RT","A","1991",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1992",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1993",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1994",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1995",4,
"CAN","INCOMEINEQ","P90P10","RT","A","1996",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1997",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","1998",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","1999",4,
"CAN","INCOMEINEQ","P90P10","RT","A","2000",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","2001",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","2002",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2003",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2004",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2005",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2006",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2007",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2008",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2009",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2010",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2011",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2012",4.3,
"CAN","INCOMEINEQ","P90P10","RT","A","2013",4.4,
"CAN","INCOMEINEQ","P90P10","RT","A","2014",4.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2015",4.4,
"CAN","INCOMEINEQ","P90P10","RT","A","2016",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","2017",4.1,
"CAN","INCOMEINEQ","P90P10","RT","A","2018",4,
"CAN","INCOMEINEQ","P90P10","RT","A","2019",4,
"CAN","INCOMEINEQ","P90P50","RT","A","1976",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1977",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1978",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1979",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1980",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1981",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1982",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1983",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1984",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1985",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1986",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1987",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1988",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1989",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1990",1.8,
"CAN","INCOMEINEQ","P90P50","RT","A","1991",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1992",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1993",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1994",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1995",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1996",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1997",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1998",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","1999",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2000",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2001",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2002",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2003",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2004",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2005",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2006",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2007",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2008",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2009",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2010",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2011",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2012",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2013",2,
"CAN","INCOMEINEQ","P90P50","RT","A","2014",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2015",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2016",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2017",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2018",1.9,
"CAN","INCOMEINEQ","P90P50","RT","A","2019",1.9,
"CAN","INCOMEINEQ","GINI","INEQ","A","1976",0.303,
"CAN","INCOMEINEQ","GINI","INEQ","A","1977",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1978",0.294,
"CAN","INCOMEINEQ","GINI","INEQ","A","1979",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1980",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1981",0.288,
"CAN","INCOMEINEQ","GINI","INEQ","A","1982",0.292,
"CAN","INCOMEINEQ","GINI","INEQ","A","1983",0.3,
"CAN","INCOMEINEQ","GINI","INEQ","A","1984",0.297,
"CAN","INCOMEINEQ","GINI","INEQ","A","1985",0.294,
"CAN","INCOMEINEQ","GINI","INEQ","A","1986",0.293,
"CAN","INCOMEINEQ","GINI","INEQ","A","1987",0.291,
"CAN","INCOMEINEQ","GINI","INEQ","A","1988",0.286,
"CAN","INCOMEINEQ","GINI","INEQ","A","1989",0.284,
"CAN","INCOMEINEQ","GINI","INEQ","A","1990",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1991",0.296,
"CAN","INCOMEINEQ","GINI","INEQ","A","1992",0.296,
"CAN","INCOMEINEQ","GINI","INEQ","A","1993",0.29,
"CAN","INCOMEINEQ","GINI","INEQ","A","1994",0.291,
"CAN","INCOMEINEQ","GINI","INEQ","A","1995",0.293,
"CAN","INCOMEINEQ","GINI","INEQ","A","1996",0.301,
"CAN","INCOMEINEQ","GINI","INEQ","A","1997",0.304,
"CAN","INCOMEINEQ","GINI","INEQ","A","1998",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","1999",0.308,
"CAN","INCOMEINEQ","GINI","INEQ","A","2000",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2001",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2002",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2003",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2004",0.321,
"CAN","INCOMEINEQ","GINI","INEQ","A","2005",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2007",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2008",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2009",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2010",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2011",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2012",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2013",0.32,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.303,
"CAN","INCOMEINEQ","GINI","INEQ","A","2019",0.301,
"CZE","INCOMEINEQ","P50P10","RT","A","2004",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2005",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2006",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2007",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2008",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2009",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2010",1.8,
"CZE","INCOMEINEQ","P50P10","RT","A","2011",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2012",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2013",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2014",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2015",1.8,
"CZE","INCOMEINEQ","P50P10","RT","A","2016",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2017",1.7,
"CZE","INCOMEINEQ","P50P10","RT","A","2018",1.8,
"CZE","INCOMEINEQ","P50P10","RT","A","2019",1.7,
"CZE","INCOMEINEQ","P90P10","RT","A","2004",3.2,
"CZE","INCOMEINEQ","P90P10","RT","A","2005",3.1,
"CZE","INCOMEINEQ","P90P10","RT","A","2006",3.1,
"CZE","INCOMEINEQ","P90P10","RT","A","2007",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2008",2.9,
"CZE","INCOMEINEQ","P90P10","RT","A","2009",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2010",3.1,
"CZE","INCOMEINEQ","P90P10","RT","A","2011",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2012",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2013",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2014",3.1,
"CZE","INCOMEINEQ","P90P10","RT","A","2015",3.1,
"CZE","INCOMEINEQ","P90P10","RT","A","2016",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2017",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2018",3,
"CZE","INCOMEINEQ","P90P10","RT","A","2019",3.1,
"CZE","INCOMEINEQ","P90P50","RT","A","2004",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2005",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2006",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2007",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2008",1.7,
"CZE","INCOMEINEQ","P90P50","RT","A","2009",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2010",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2011",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2012",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2013",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2014",1.8,
"CZE","INCOMEINEQ","P90P50","RT","A","2015",1.7,
"CZE","INCOMEINEQ","P90P50","RT","A","2016",1.7,
"CZE","INCOMEINEQ","P90P50","RT","A","2017",1.7,
"CZE","INCOMEINEQ","P90P50","RT","A","2018",1.7,
"CZE","INCOMEINEQ","P90P50","RT","A","2019",1.8,
"CZE","INCOMEINEQ","GINI","INEQ","A","2004",0.267,
"CZE","INCOMEINEQ","GINI","INEQ","A","2005",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2006",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2007",0.256,
"CZE","INCOMEINEQ","GINI","INEQ","A","2008",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2009",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2010",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2011",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.254,
"CZE","INCOMEINEQ","GINI","INEQ","A","2013",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2017",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2019",0.248,
"DNK","INCOMEINEQ","P50P10","RT","A","2011",1.8,
"DNK","INCOMEINEQ","P50P10","RT","A","2012",1.7,
"DNK","INCOMEINEQ","P50P10","RT","A","2013",1.7,
"DNK","INCOMEINEQ","P50P10","RT","A","2014",1.7,
"DNK","INCOMEINEQ","P50P10","RT","A","2015",1.7,
"DNK","INCOMEINEQ","P50P10","RT","A","2016",1.8,
"DNK","INCOMEINEQ","P50P10","RT","A","2017",1.8,
"DNK","INCOMEINEQ","P50P10","RT","A","2018",1.8,
"DNK","INCOMEINEQ","P90P10","RT","A","2011",2.9,
"DNK","INCOMEINEQ","P90P10","RT","A","2012",2.8,
"DNK","INCOMEINEQ","P90P10","RT","A","2013",2.9,
"DNK","INCOMEINEQ","P90P10","RT","A","2014",2.9,
"DNK","INCOMEINEQ","P90P10","RT","A","2015",2.9,
"DNK","INCOMEINEQ","P90P10","RT","A","2016",2.9,
"DNK","INCOMEINEQ","P90P10","RT","A","2017",3,
"DNK","INCOMEINEQ","P90P10","RT","A","2018",3,
"DNK","INCOMEINEQ","P90P50","RT","A","2011",1.6,
"DNK","INCOMEINEQ","P90P50","RT","A","2012",1.6,
"DNK","INCOMEINEQ","P90P50","RT","A","2013",1.6,
"DNK","INCOMEINEQ","P90P50","RT","A","2014",1.7,
"DNK","INCOMEINEQ","P90P50","RT","A","2015",1.7,
"DNK","INCOMEINEQ","P90P50","RT","A","2016",1.7,
"DNK","INCOMEINEQ","P90P50","RT","A","2017",1.7,
"DNK","INCOMEINEQ","P90P50","RT","A","2018",1.7,
"DNK","INCOMEINEQ","GINI","INEQ","A","2011",0.251,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"DNK","INCOMEINEQ","GINI","INEQ","A","2017",0.264,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"FIN","INCOMEINEQ","P50P10","RT","A","1987",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1988",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1989",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1990",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1991",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1992",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1993",1.6,
"FIN","INCOMEINEQ","P50P10","RT","A","1994",1.6,
"FIN","INCOMEINEQ","P50P10","RT","A","1995",1.6,
"FIN","INCOMEINEQ","P50P10","RT","A","1996",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1997",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1998",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","1999",1.7,
"FIN","INCOMEINEQ","P50P10","RT","A","2000",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2001",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2002",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2003",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2004",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2005",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2006",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2007",1.9,
"FIN","INCOMEINEQ","P50P10","RT","A","2008",1.9,
"FIN","INCOMEINEQ","P50P10","RT","A","2009",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2010",1.9,
"FIN","INCOMEINEQ","P50P10","RT","A","2011",1.9,
"FIN","INCOMEINEQ","P50P10","RT","A","2012",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2013",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2014",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2015",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2016",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2017",1.8,
"FIN","INCOMEINEQ","P50P10","RT","A","2018",1.8,
"FIN","INCOMEINEQ","P90P10","RT","A","1987",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1988",2.7,
"FIN","INCOMEINEQ","P90P10","RT","A","1989",2.7,
"FIN","INCOMEINEQ","P90P10","RT","A","1990",2.7,
"FIN","INCOMEINEQ","P90P10","RT","A","1991",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1992",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1993",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1994",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1995",2.6,
"FIN","INCOMEINEQ","P90P10","RT","A","1996",2.7,
"FIN","INCOMEINEQ","P90P10","RT","A","1997",2.8,
"FIN","INCOMEINEQ","P90P10","RT","A","1998",2.8,
"FIN","INCOMEINEQ","P90P10","RT","A","1999",2.8,
"FIN","INCOMEINEQ","P90P10","RT","A","2000",2.9,
"FIN","INCOMEINEQ","P90P10","RT","A","2001",3,
"FIN","INCOMEINEQ","P90P10","RT","A","2002",3,
"FIN","INCOMEINEQ","P90P10","RT","A","2003",3,
"FIN","INCOMEINEQ","P90P10","RT","A","2004",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2005",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2006",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2007",3.2,
"FIN","INCOMEINEQ","P90P10","RT","A","2008",3.2,
"FIN","INCOMEINEQ","P90P10","RT","A","2009",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2010",3.2,
"FIN","INCOMEINEQ","P90P10","RT","A","2011",3.2,
"FIN","INCOMEINEQ","P90P10","RT","A","2012",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2013",3.2,
"FIN","INCOMEINEQ","P90P10","RT","A","2014",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2015",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2016",3,
"FIN","INCOMEINEQ","P90P10","RT","A","2017",3.1,
"FIN","INCOMEINEQ","P90P10","RT","A","2018",3.1,
"FIN","INCOMEINEQ","P90P50","RT","A","1987",1.5,
"FIN","INCOMEINEQ","P90P50","RT","A","1988",1.5,
"FIN","INCOMEINEQ","P90P50","RT","A","1989",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1990",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1991",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1992",1.5,
"FIN","INCOMEINEQ","P90P50","RT","A","1993",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1994",1.6,
