Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
04/28/2020,02/01/2020,04/25/2020,FL,Duval County,12031,18,2377
04/28/2020,02/01/2020,04/25/2020,FL,Hillsborough County,12057,18,2937
04/28/2020,02/01/2020,04/25/2020,FL,Lake County,12069,10,992
04/28/2020,02/01/2020,04/25/2020,FL,Lee County,12071,19,1900
04/28/2020,02/01/2020,04/25/2020,FL,Manatee County,12081,20,1080
04/28/2020,02/01/2020,04/25/2020,FL,Miami-Dade County,12086,170,5298
04/28/2020,02/01/2020,04/25/2020,FL,Orange County,12095,23,2442
04/28/2020,02/01/2020,04/25/2020,FL,Palm Beach County,12099,116,3966
04/28/2020,02/01/2020,04/25/2020,FL,Pinellas County,12103,16,3110
04/28/2020,02/01/2020,04/25/2020,FL,Sarasota County,12115,17,1514
04/28/2020,02/01/2020,04/25/2020,FL,Volusia County,12127,10,1932
04/28/2020,02/01/2020,04/25/2020,GA,Bartow County,13015,13,211
04/28/2020,02/01/2020,04/25/2020,GA,Carroll County,13045,13,242
04/28/2020,02/01/2020,04/25/2020,GA,Cobb County,13067,20,1131
04/28/2020,02/01/2020,04/25/2020,GA,DeKalb County,13089,23,1013
04/28/2020,02/01/2020,04/25/2020,GA,Dougherty County,13095,44,310
04/28/2020,02/01/2020,04/25/2020,GA,Fayette County,13113,17,251
04/28/2020,02/01/2020,04/25/2020,GA,Fulton County,13121,56,1795
04/28/2020,02/01/2020,04/25/2020,GA,Gwinnett County,13135,20,811
04/28/2020,02/01/2020,04/25/2020,GA,Henry County,13151,10,382
04/28/2020,02/01/2020,04/25/2020,GA,Houston County,13153,11,278
04/28/2020,02/01/2020,04/25/2020,GA,Richmond County,13245,19,814
04/28/2020,02/01/2020,04/25/2020,GA,Thomas County,13275,14,157
04/28/2020,02/01/2020,04/25/2020,ID,Ada County,16001,14,920
04/28/2020,02/01/2020,04/25/2020,ID,Twin Falls County,16083,15,228
04/28/2020,02/01/2020,04/25/2020,IL,Cook County,17031,659,11010
04/28/2020,02/01/2020,04/25/2020,IL,DuPage County,17043,80,1829
04/28/2020,02/01/2020,04/25/2020,IL,Kane County,17089,25,842
04/28/2020,02/01/2020,04/25/2020,IL,Kankakee County,17091,14,330
04/28/2020,02/01/2020,04/25/2020,IL,Lake County,17097,44,1424
04/28/2020,02/01/2020,04/25/2020,IL,St. Clair County,17163,13,625
04/28/2020,02/01/2020,04/25/2020,IL,Will County,17197,61,1194
04/28/2020,02/01/2020,04/25/2020,IL,Winnebago County,17201,17,846
04/28/2020,02/01/2020,04/25/2020,IN,Allen County,18003,15,1025
04/28/2020,02/01/2020,04/25/2020,IN,Decatur County,18031,10,69
04/28/2020,02/01/2020,04/25/2020,IN,Floyd County,18043,10,243
04/28/2020,02/01/2020,04/25/2020,IN,Hamilton County,18057,14,531
04/28/2020,02/01/2020,04/25/2020,IN,Hendricks County,18063,22,360
04/28/2020,02/01/2020,04/25/2020,IN,Lake County,18089,35,1494
04/28/2020,02/01/2020,04/25/2020,IN,Madison County,18095,32,366
04/28/2020,02/01/2020,04/25/2020,IN,Marion County,18097,127,2428
04/28/2020,02/01/2020,04/25/2020,IA,Linn County,19113,26,476
04/28/2020,02/01/2020,04/25/2020,IA,Polk County,19153,10,1149
04/28/2020,02/01/2020,04/25/2020,KS,Johnson County,20091,28,1029
04/28/2020,02/01/2020,04/25/2020,KS,Wyandotte County,20209,23,446
04/28/2020,02/01/2020,04/25/2020,KY,Campbell County,21037,10,152
04/28/2020,02/01/2020,04/25/2020,KY,Jefferson County,21111,47,2232
04/28/2020,02/01/2020,04/25/2020,LA,Caddo Parish,22017,42,740
04/28/2020,02/01/2020,04/25/2020,LA,Calcasieu Parish,22019,17,546
04/28/2020,02/01/2020,04/25/2020,LA,East Baton Rouge Parish,22033,95,1275
04/28/2020,02/01/2020,04/25/2020,LA,Jefferson Parish,22051,224,1372
04/28/2020,02/01/2020,04/25/2020,LA,Lafayette Parish,22055,23,604
04/28/2020,02/01/2020,04/25/2020,LA,Lafourche Parish,22057,13,211
04/28/2020,02/01/2020,04/25/2020,LA,Orleans Parish,22071,136,906
04/28/2020,02/01/2020,04/25/2020,LA,Ouachita Parish,22073,12,412
04/28/2020,02/01/2020,04/25/2020,LA,St. Charles Parish,22089,13,99
04/28/2020,02/01/2020,04/25/2020,LA,St. John the Baptist Parish,22095,16,77
04/28/2020,02/01/2020,04/25/2020,LA,St. Tammany Parish,22103,50,650
04/28/2020,02/01/2020,04/25/2020,LA,Terrebonne Parish,22109,14,244
04/28/2020,02/01/2020,04/25/2020,ME,Cumberland County,23005,16,969
04/28/2020,02/01/2020,04/25/2020,ME,Waldo County,23027,10,83
04/28/2020,02/01/2020,04/25/2020,MD,Anne Arundel County,24003,67,1198
04/28/2020,02/01/2020,04/25/2020,MD,Baltimore County,24005,54,2130
04/28/2020,02/01/2020,04/25/2020,MD,Carroll County,24013,30,472
04/28/2020,02/01/2020,04/25/2020,MD,Charles County,24017,25,247
04/28/2020,02/01/2020,04/25/2020,MD,Frederick County,24021,38,545
04/28/2020,02/01/2020,04/25/2020,MD,Howard County,24027,12,442
04/28/2020,02/01/2020,04/25/2020,MD,Montgomery County,24031,142,1970
04/28/2020,02/01/2020,04/25/2020,MD,Prince George's County,24033,80,1309
04/28/2020,02/01/2020,04/25/2020,MD,Baltimore city,24510,73,2097
04/28/2020,02/01/2020,04/25/2020,MA,Barnstable County,25001,11,647
04/28/2020,02/01/2020,04/25/2020,MA,Berkshire County,25003,24,404
04/28/2020,02/01/2020,04/25/2020,MA,Bristol County,25005,51,1311
04/28/2020,02/01/2020,04/25/2020,MA,Essex County,25009,152,2001
04/28/2020,02/01/2020,04/25/2020,MA,Franklin County,25011,16,161
04/28/2020,02/01/2020,04/25/2020,MA,Hampden County,25013,179,1497
04/28/2020,02/01/2020,04/25/2020,MA,Middlesex County,25017,289,3150
04/28/2020,02/01/2020,04/25/2020,MA,Norfolk County,25021,143,1619
04/28/2020,02/01/2020,04/25/2020,MA,Plymouth County,25023,83,1228
04/28/2020,02/01/2020,04/25/2020,MA,Suffolk County,25025,184,2154
04/28/2020,02/01/2020,04/25/2020,MA,Worcester County,25027,76,1952
04/28/2020,02/01/2020,04/25/2020,MI,Genesee County,26049,77,1240
04/28/2020,02/01/2020,04/25/2020,MI,Ingham County,26065,14,754
04/28/2020,02/01/2020,04/25/2020,MI,Jackson County,26075,12,441
04/28/2020,02/01/2020,04/25/2020,MI,Kalamazoo County,26077,14,737
04/28/2020,02/01/2020,04/25/2020,MI,Kent County,26081,25,1438
04/28/2020,02/01/2020,04/25/2020,MI,Lapeer County,26087,23,236
04/28/2020,02/01/2020,04/25/2020,MI,Macomb County,26099,235,2313
04/28/2020,02/01/2020,04/25/2020,MI,Oakland County,26125,418,3738
04/28/2020,02/01/2020,04/25/2020,MI,Saginaw County,26145,30,642
04/28/2020,02/01/2020,04/25/2020,MI,St. Clair County,26147,12,393
04/28/2020,02/01/2020,04/25/2020,MI,Washtenaw County,26161,80,945
04/28/2020,02/01/2020,04/25/2020,MI,Wayne County,26163,570,5076
04/28/2020,02/01/2020,04/25/2020,MN,Hennepin County,27053,78,2643
04/28/2020,02/01/2020,04/25/2020,MN,Ramsey County,27123,22,1271
04/28/2020,02/01/2020,04/25/2020,MN,St. Louis County,27137,11,663
04/28/2020,02/01/2020,04/25/2020,MS,Forrest County,28035,14,363
04/28/2020,02/01/2020,04/25/2020,MS,Hinds County,28049,13,952
04/28/2020,02/01/2020,04/25/2020,MS,Lauderdale County,28075,25,314
04/28/2020,02/01/2020,04/25/2020,MS,Lee County,28081,18,518
04/28/2020,02/01/2020,04/25/2020,MO,Jackson County,29095,17,1753
04/28/2020,02/01/2020,04/25/2020,MO,St. Louis County,29189,75,2860
04/28/2020,02/01/2020,04/25/2020,MO,St. Louis city,29510,25,919
04/28/2020,02/01/2020,04/25/2020,NV,Clark County,32003,108,4365
04/28/2020,02/01/2020,04/25/2020,NV,Washoe County,32031,15,1108
04/28/2020,02/01/2020,04/25/2020,NH,Hillsborough County,33011,30,881
04/28/2020,02/01/2020,04/25/2020,NJ,Atlantic County,34001,21,683
04/28/2020,02/01/2020,04/25/2020,NJ,Bergen County,34003,835,3187
04/28/2020,02/01/2020,04/25/2020,NJ,Burlington County,34005,47,909
04/28/2020,02/01/2020,04/25/2020,NJ,Camden County,34007,86,1587
04/28/2020,02/01/2020,04/25/2020,NJ,Essex County,34013,600,2503
04/28/2020,02/01/2020,04/25/2020,NJ,Gloucester County,34015,30,652
04/28/2020,02/01/2020,04/25/2020,NJ,Hudson County,34017,328,1353
04/28/2020,02/01/2020,04/25/2020,NJ,Hunterdon County,34019,59,265
04/28/2020,02/01/2020,04/25/2020,NJ,Mercer County,34021,73,763
04/28/2020,02/01/2020,04/25/2020,NJ,Middlesex County,34023,411,2258
04/28/2020,02/01/2020,04/25/2020,NJ,Monmouth County,34025,239,1892
04/28/2020,02/01/2020,04/25/2020,NJ,Morris County,34027,376,1739
04/28/2020,02/01/2020,04/25/2020,NJ,Ocean County,34029,206,2001
04/28/2020,02/01/2020,04/25/2020,NJ,Passaic County,34031,340,1341
04/28/2020,02/01/2020,04/25/2020,NJ,Somerset County,34035,98,772
04/28/2020,02/01/2020,04/25/2020,NJ,Sussex County,34037,52,354
04/28/2020,02/01/2020,04/25/2020,NJ,Union County,34039,294,1484
04/28/2020,02/01/2020,04/25/2020,NJ,Warren County,34041,47,278
04/28/2020,02/01/2020,04/25/2020,NM,Bernalillo County,35001,13,1548
04/28/2020,02/01/2020,04/25/2020,NY,Albany County,36001,42,962
04/28/2020,02/01/2020,04/25/2020,NY,Bronx County,36005,2106,6100
04/28/2020,02/01/2020,04/25/2020,NY,Broome County,36007,16,620
04/28/2020,02/01/2020,04/25/2020,NY,Columbia County,36021,20,182
04/28/2020,02/01/2020,04/25/2020,NY,Dutchess County,36027,75,775
04/28/2020,02/01/2020,04/25/2020,NY,Erie County,36029,181,2748
04/28/2020,02/01/2020,04/25/2020,NY,Kings County,36047,2847,8134
04/28/2020,02/01/2020,04/25/2020,NY,Monroe County,36055,102,2023
04/28/2020,02/01/2020,04/25/2020,NY,Nassau County,36059,1532,5160
04/28/2020,02/01/2020,04/25/2020,NY,New York County,36061,1713,5809
04/28/2020,02/01/2020,04/25/2020,NY,Niagara County,36063,16,541
04/28/2020,02/01/2020,04/25/2020,NY,Oneida County,36065,15,709
04/28/2020,02/01/2020,04/25/2020,NY,Onondaga County,36067,29,1357
04/28/2020,02/01/2020,04/25/2020,NY,Orange County,36071,217,957
04/28/2020,02/01/2020,04/25/2020,NY,Putnam County,36079,41,170
04/28/2020,02/01/2020,04/25/2020,NY,Queens County,36081,2834,7622
04/28/2020,02/01/2020,04/25/2020,NY,Rensselaer County,36083,10,352
04/28/2020,02/01/2020,04/25/2020,NY,Richmond County,36085,460,1596
04/28/2020,02/01/2020,04/25/2020,NY,Rockland County,36087,262,984
04/28/2020,02/01/2020,04/25/2020,NY,Schenectady County,36093,13,401
04/28/2020,02/01/2020,04/25/2020,NY,Steuben County,36101,22,268
04/28/2020,02/01/2020,04/25/2020,NY,Suffolk County,36103,1064,4428
04/28/2020,02/01/2020,04/25/2020,NY,Sullivan County,36105,10,149
04/28/2020,02/01/2020,04/25/2020,NY,Warren County,36113,11,240
04/28/2020,02/01/2020,04/25/2020,NY,Westchester County,36119,815,2878
04/28/2020,02/01/2020,04/25/2020,OH,Cuyahoga County,39035,31,3444
04/28/2020,02/01/2020,04/25/2020,OH,Franklin County,39049,15,2919
04/28/2020,02/01/2020,04/25/2020,OH,Lucas County,39095,33,1287
04/28/2020,02/01/2020,04/25/2020,OH,Mahoning County,39099,15,771
04/28/2020,02/01/2020,04/25/2020,OH,Summit County,39153,13,1351
04/28/2020,02/01/2020,04/25/2020,OK,Cleveland County,40027,17,445
04/28/2020,02/01/2020,04/25/2020,OK,Oklahoma County,40109,18,2238
04/28/2020,02/01/2020,04/25/2020,OK,Tulsa County,40143,33,1818
04/28/2020,02/01/2020,04/25/2020,OR,Multnomah County,41051,29,1443
04/28/2020,02/01/2020,04/25/2020,PA,Allegheny County,42003,62,3437
04/28/2020,02/01/2020,04/25/2020,PA,Beaver County,42007,38,419
04/28/2020,02/01/2020,04/25/2020,PA,Berks County,42011,80,883
04/28/2020,02/01/2020,04/25/2020,PA,Bucks County,42017,90,1513
04/28/2020,02/01/2020,04/25/2020,PA,Chester County,42029,76,1002
04/28/2020,02/01/2020,04/25/2020,PA,Dauphin County,42043,10,703
04/28/2020,02/01/2020,04/25/2020,PA,Delaware County,42045,69,1186
04/28/2020,02/01/2020,04/25/2020,PA,Lackawanna County,42069,37,528
04/28/2020,02/01/2020,04/25/2020,PA,Lancaster County,42071,83,1312
04/28/2020,02/01/2020,04/25/2020,PA,Lehigh County,42077,73,1083
04/28/2020,02/01/2020,04/25/2020,PA,Luzerne County,42079,45,648
04/28/2020,02/01/2020,04/25/2020,PA,Monroe County,42089,50,280
04/28/2020,02/01/2020,04/25/2020,PA,Montgomery County,42091,230,2140
04/28/2020,02/01/2020,04/25/2020,PA,Northampton County,42095,30,570
04/28/2020,02/01/2020,04/25/2020,PA,Philadelphia County,42101,321,3655
04/28/2020,02/01/2020,04/25/2020,PA,Westmoreland County,42129,22,644
04/28/2020,02/01/2020,04/25/2020,RI,Providence County,44007,44,1397
04/28/2020,02/01/2020,04/25/2020,SC,Greenville County,45045,18,1323
04/28/2020,02/01/2020,04/25/2020,SC,Richland County,45079,31,984
04/28/2020,02/01/2020,04/25/2020,TN,Davidson County,47037,21,1938
04/28/2020,02/01/2020,04/25/2020,TN,Hamilton County,47065,16,1297
04/28/2020,02/01/2020,04/25/2020,TN,Shelby County,47157,21,2386
04/28/2020,02/01/2020,04/25/2020,TN,Sumner County,47165,29,402
04/28/2020,02/01/2020,04/25/2020,TX,Bexar County,48029,30,3434
04/28/2020,02/01/2020,04/25/2020,TX,Brazos County,48041,13,339
04/28/2020,02/01/2020,04/25/2020,TX,Cameron County,48061,11,708
04/28/2020,02/01/2020,04/25/2020,TX,Collin County,48085,16,1391
04/28/2020,02/01/2020,04/25/2020,TX,Dallas County,48113,34,3886
04/28/2020,02/01/2020,04/25/2020,TX,Denton County,48121,12,935
04/28/2020,02/01/2020,04/25/2020,TX,Fort Bend County,48157,14,765
04/28/2020,02/01/2020,04/25/2020,TX,Galveston County,48167,10,550
04/28/2020,02/01/2020,04/25/2020,TX,Harris County,48201,60,6813
04/28/2020,02/01/2020,04/25/2020,TX,Lubbock County,48303,17,899
04/28/2020,02/01/2020,04/25/2020,TX,Tarrant County,48439,27,3663
04/28/2020,02/01/2020,04/25/2020,TX,Travis County,48453,14,1543
04/28/2020,02/01/2020,04/25/2020,UT,Salt Lake County,49035,19,1852
04/28/2020,02/01/2020,04/25/2020,VT,Chittenden County,50007,31,434
04/28/2020,02/01/2020,04/25/2020,VA,Arlington County,51013,15,346
04/28/2020,02/01/2020,04/25/2020,VA,Fairfax County,51059,58,1303
04/28/2020,02/01/2020,04/25/2020,VA,Hanover County,51085,15,323
04/28/2020,02/01/2020,04/25/2020,VA,Henrico County,51087,45,882
04/28/2020,02/01/2020,04/25/2020,VA,Loudoun County,51107,12,460
04/28/2020,02/01/2020,04/25/2020,VA,Richmond city,51760,11,746
04/28/2020,02/01/2020,04/25/2020,WA,Benton County,53005,30,493
04/28/2020,02/01/2020,04/25/2020,WA,Clark County,53011,14,916
04/28/2020,02/01/2020,04/25/2020,WA,Island County,53029,11,145
04/28/2020,02/01/2020,04/25/2020,WA,King County,53033,294,3380
04/28/2020,02/01/2020,04/25/2020,WA,Pierce County,53053,24,1698
04/28/2020,02/01/2020,04/25/2020,WA,Snohomish County,53061,63,1294
04/28/2020,02/01/2020,04/25/2020,WA,Spokane County,53063,17,1257
04/28/2020,02/01/2020,04/25/2020,WA,Whatcom County,53073,28,460
04/28/2020,02/01/2020,04/25/2020,WA,Yakima County,53077,24,530
04/28/2020,02/01/2020,04/25/2020,WI,Dane County,55025,21,1074
04/28/2020,02/01/2020,04/25/2020,WI,Milwaukee County,55079,101,2422
04/28/2020,02/01/2020,04/25/2020,WI,Ozaukee County,55089,13,270
04/28/2020,02/01/2020,04/25/2020,WI,Waukesha County,55133,12,854
