date,value,month,month_year,series,series_name,unit
2003-11-01,147000,November,2003-11,LNS11000000,civilian labor force,number in thousands
2003-10-01,146716,October,2003-10,LNS11000000,civilian labor force,number in thousands
2003-09-01,146530,September,2003-09,LNS11000000,civilian labor force,number in thousands
2003-08-01,146445,August,2003-08,LNS11000000,civilian labor force,number in thousands
2003-07-01,146485,July,2003-07,LNS11000000,civilian labor force,number in thousands
2003-06-01,147056,June,2003-06,LNS11000000,civilian labor force,number in thousands
2003-05-01,146500,May,2003-05,LNS11000000,civilian labor force,number in thousands
2003-04-01,146474,April,2003-04,LNS11000000,civilian labor force,number in thousands
2003-03-01,146022,March,2003-03,LNS11000000,civilian labor force,number in thousands
2003-02-01,146100,February,2003-02,LNS11000000,civilian labor force,number in thousands
2003-01-01,145937,January,2003-01,LNS11000000,civilian labor force,number in thousands
2022-06-01,158111,June,2022-06,LNS12000000,civilian employment,number in thousands
2022-05-01,158426,May,2022-05,LNS12000000,civilian employment,number in thousands
2022-04-01,158105,April,2022-04,LNS12000000,civilian employment,number in thousands
2022-03-01,158458,March,2022-03,LNS12000000,civilian employment,number in thousands
2022-02-01,157722,February,2022-02,LNS12000000,civilian employment,number in thousands
2022-01-01,157174,January,2022-01,LNS12000000,civilian employment,number in thousands
2021-12-01,155975,December,2021-12,LNS12000000,civilian employment,number in thousands
2021-11-01,155324,November,2021-11,LNS12000000,civilian employment,number in thousands
2021-10-01,154234,October,2021-10,LNS12000000,civilian employment,number in thousands
2021-09-01,153806,September,2021-09,LNS12000000,civilian employment,number in thousands
2021-08-01,153167,August,2021-08,LNS12000000,civilian employment,number in thousands
2021-07-01,152704,July,2021-07,LNS12000000,civilian employment,number in thousands
2021-06-01,151612,June,2021-06,LNS12000000,civilian employment,number in thousands
2021-05-01,151550,May,2021-05,LNS12000000,civilian employment,number in thousands
2021-04-01,151259,April,2021-04,LNS12000000,civilian employment,number in thousands
2021-03-01,150940,March,2021-03,LNS12000000,civilian employment,number in thousands
2021-02-01,150367,February,2021-02,LNS12000000,civilian employment,number in thousands
2021-01-01,150004,January,2021-01,LNS12000000,civilian employment,number in thousands
2020-12-01,149883,December,2020-12,LNS12000000,civilian employment,number in thousands
2020-11-01,149761,November,2020-11,LNS12000000,civilian employment,number in thousands
2020-10-01,149719,October,2020-10,LNS12000000,civilian employment,number in thousands
2020-09-01,147569,September,2020-09,LNS12000000,civilian employment,number in thousands
2020-08-01,147176,August,2020-08,LNS12000000,civilian employment,number in thousands
2020-07-01,143727,July,2020-07,LNS12000000,civilian employment,number in thousands
2020-06-01,142218,June,2020-06,LNS12000000,civilian employment,number in thousands
2020-05-01,137182,May,2020-05,LNS12000000,civilian employment,number in thousands
2020-04-01,133320,April,2020-04,LNS12000000,civilian employment,number in thousands
2020-03-01,155599,March,2020-03,LNS12000000,civilian employment,number in thousands
2020-02-01,158866,February,2020-02,LNS12000000,civilian employment,number in thousands
2020-01-01,158653,January,2020-01,LNS12000000,civilian employment,number in thousands
2019-12-01,158772,December,2019-12,LNS12000000,civilian employment,number in thousands
2019-11-01,158504,November,2019-11,LNS12000000,civilian employment,number in thousands
2019-10-01,158356,October,2019-10,LNS12000000,civilian employment,number in thousands
2019-09-01,158249,September,2019-09,LNS12000000,civilian employment,number in thousands
2019-08-01,157780,August,2019-08,LNS12000000,civilian employment,number in thousands
2019-07-01,157488,July,2019-07,LNS12000000,civilian employment,number in thousands
2019-06-01,157123,June,2019-06,LNS12000000,civilian employment,number in thousands
2019-05-01,156868,May,2019-05,LNS12000000,civilian employment,number in thousands
2019-04-01,156744,April,2019-04,LNS12000000,civilian employment,number in thousands
2019-03-01,156869,March,2019-03,LNS12000000,civilian employment,number in thousands
2019-02-01,156992,February,2019-02,LNS12000000,civilian employment,number in thousands
2019-01-01,156614,January,2019-01,LNS12000000,civilian employment,number in thousands
2018-12-01,156767,December,2018-12,LNS12000000,civilian employment,number in thousands
2018-11-01,156606,November,2018-11,LNS12000000,civilian employment,number in thousands
2018-10-01,156294,October,2018-10,LNS12000000,civilian employment,number in thousands
2018-09-01,155970,September,2018-09,LNS12000000,civilian employment,number in thousands
2018-08-01,155512,August,2018-08,LNS12000000,civilian employment,number in thousands
2018-07-01,156115,July,2018-07,LNS12000000,civilian employment,number in thousands
2018-06-01,155734,June,2018-06,LNS12000000,civilian employment,number in thousands
2018-05-01,155694,May,2018-05,LNS12000000,civilian employment,number in thousands
2018-04-01,155362,April,2018-04,LNS12000000,civilian employment,number in thousands
2018-03-01,155303,March,2018-03,LNS12000000,civilian employment,number in thousands
2018-02-01,155259,February,2018-02,LNS12000000,civilian employment,number in thousands
2018-01-01,154493,January,2018-01,LNS12000000,civilian employment,number in thousands
2017-12-01,153904,December,2017-12,LNS12000000,civilian employment,number in thousands
2017-11-01,153805,November,2017-11,LNS12000000,civilian employment,number in thousands
2017-10-01,153609,October,2017-10,LNS12000000,civilian employment,number in thousands
2017-09-01,154286,September,2017-09,LNS12000000,civilian employment,number in thousands
2017-08-01,153503,August,2017-08,LNS12000000,civilian employment,number in thousands
2017-07-01,153569,July,2017-07,LNS12000000,civilian employment,number in thousands
2017-06-01,153318,June,2017-06,LNS12000000,civilian employment,number in thousands
2017-05-01,153069,May,2017-05,LNS12000000,civilian employment,number in thousands
2017-04-01,153255,April,2017-04,LNS12000000,civilian employment,number in thousands
2017-03-01,153065,March,2017-03,LNS12000000,civilian employment,number in thousands
2017-02-01,152480,February,2017-02,LNS12000000,civilian employment,number in thousands
2017-01-01,152152,January,2017-01,LNS12000000,civilian employment,number in thousands
2016-12-01,152157,December,2016-12,LNS12000000,civilian employment,number in thousands
2016-11-01,151954,November,2016-11,LNS12000000,civilian employment,number in thousands
2016-10-01,151793,October,2016-10,LNS12000000,civilian employment,number in thousands
2016-09-01,151761,September,2016-09,LNS12000000,civilian employment,number in thousands
2016-08-01,151779,August,2016-08,LNS12000000,civilian employment,number in thousands
2016-07-01,151554,July,2016-07,LNS12000000,civilian employment,number in thousands
2016-06-01,151223,June,2016-06,LNS12000000,civilian employment,number in thousands
2016-05-01,151132,May,2016-05,LNS12000000,civilian employment,number in thousands
2016-04-01,151074,April,2016-04,LNS12000000,civilian employment,number in thousands
2016-03-01,151218,March,2016-03,LNS12000000,civilian employment,number in thousands
2016-02-01,150939,February,2016-02,LNS12000000,civilian employment,number in thousands
2016-01-01,150653,January,2016-01,LNS12000000,civilian employment,number in thousands
2015-12-01,150128,December,2015-12,LNS12000000,civilian employment,number in thousands
2015-11-01,149463,November,2015-11,LNS12000000,civilian employment,number in thousands
2015-10-01,149246,October,2015-10,LNS12000000,civilian employment,number in thousands
2015-09-01,148826,September,2015-09,LNS12000000,civilian employment,number in thousands
2015-08-01,149181,August,2015-08,LNS12000000,civilian employment,number in thousands
2015-07-01,148830,July,2015-07,LNS12000000,civilian employment,number in thousands
2015-06-01,148816,June,2015-06,LNS12000000,civilian employment,number in thousands
2015-05-01,148817,May,2015-05,LNS12000000,civilian employment,number in thousands
2015-04-01,148511,April,2015-04,LNS12000000,civilian employment,number in thousands
2015-03-01,148128,March,2015-03,LNS12000000,civilian employment,number in thousands
2015-02-01,148045,February,2015-02,LNS12000000,civilian employment,number in thousands
2015-01-01,148145,January,2015-01,LNS12000000,civilian employment,number in thousands
2014-12-01,147615,December,2014-12,LNS12000000,civilian employment,number in thousands
2014-11-01,147404,November,2014-11,LNS12000000,civilian employment,number in thousands
2014-10-01,147427,October,2014-10,LNS12000000,civilian employment,number in thousands
2014-09-01,146778,September,2014-09,LNS12000000,civilian employment,number in thousands
2014-08-01,146530,August,2014-08,LNS12000000,civilian employment,number in thousands
2014-07-01,146399,July,2014-07,LNS12000000,civilian employment,number in thousands
2014-06-01,146247,June,2014-06,LNS12000000,civilian employment,number in thousands
2014-05-01,145825,May,2014-05,LNS12000000,civilian employment,number in thousands
2014-04-01,145667,April,2014-04,LNS12000000,civilian employment,number in thousands
2014-03-01,145648,March,2014-03,LNS12000000,civilian employment,number in thousands
2014-02-01,145134,February,2014-02,LNS12000000,civilian employment,number in thousands
2014-01-01,145150,January,2014-01,LNS12000000,civilian employment,number in thousands
2013-12-01,144778,December,2013-12,LNS12000000,civilian employment,number in thousands
2013-11-01,144479,November,2013-11,LNS12000000,civilian employment,number in thousands
2013-10-01,143537,October,2013-10,LNS12000000,civilian employment,number in thousands
2013-09-01,144418,September,2013-09,LNS12000000,civilian employment,number in thousands
2013-08-01,144326,August,2013-08,LNS12000000,civilian employment,number in thousands
2013-07-01,144264,July,2013-07,LNS12000000,civilian employment,number in thousands
2013-06-01,143999,June,2013-06,LNS12000000,civilian employment,number in thousands
2013-05-01,143882,May,2013-05,LNS12000000,civilian employment,number in thousands
2013-04-01,143635,April,2013-04,LNS12000000,civilian employment,number in thousands
2013-03-01,143316,March,2013-03,LNS12000000,civilian employment,number in thousands
2013-02-01,143362,February,2013-02,LNS12000000,civilian employment,number in thousands
2013-01-01,143292,January,2013-01,LNS12000000,civilian employment,number in thousands
2012-12-01,143330,December,2012-12,LNS12000000,civilian employment,number in thousands
2012-11-01,143333,November,2012-11,LNS12000000,civilian employment,number in thousands
2012-10-01,143431,October,2012-10,LNS12000000,civilian employment,number in thousands
2012-09-01,143044,September,2012-09,LNS12000000,civilian employment,number in thousands
2012-08-01,142291,August,2012-08,LNS12000000,civilian employment,number in thousands
2012-07-01,142292,July,2012-07,LNS12000000,civilian employment,number in thousands
2012-06-01,142391,June,2012-06,LNS12000000,civilian employment,number in thousands
2012-05-01,142206,May,2012-05,LNS12000000,civilian employment,number in thousands
2012-04-01,141899,April,2012-04,LNS12000000,civilian employment,number in thousands
2012-03-01,142036,March,2012-03,LNS12000000,civilian employment,number in thousands
2012-02-01,141858,February,2012-02,LNS12000000,civilian employment,number in thousands
2012-01-01,141584,January,2012-01,LNS12000000,civilian employment,number in thousands
2011-12-01,140902,December,2011-12,LNS12000000,civilian employment,number in thousands
2011-11-01,140826,November,2011-11,LNS12000000,civilian employment,number in thousands
2011-10-01,140368,October,2011-10,LNS12000000,civilian employment,number in thousands
2011-09-01,140183,September,2011-09,LNS12000000,civilian employment,number in thousands
2011-08-01,139942,August,2011-08,LNS12000000,civilian employment,number in thousands
2011-07-01,139524,July,2011-07,LNS12000000,civilian employment,number in thousands
2011-06-01,139384,June,2011-06,LNS12000000,civilian employment,number in thousands
2011-05-01,139624,May,2011-05,LNS12000000,civilian employment,number in thousands
2011-04-01,139586,April,2011-04,LNS12000000,civilian employment,number in thousands
2011-03-01,139639,March,2011-03,LNS12000000,civilian employment,number in thousands
2011-02-01,139394,February,2011-02,LNS12000000,civilian employment,number in thousands
2011-01-01,139250,January,2011-01,LNS12000000,civilian employment,number in thousands
2010-12-01,139301,December,2010-12,LNS12000000,civilian employment,number in thousands
2010-11-01,139044,November,2010-11,LNS12000000,civilian employment,number in thousands
2010-10-01,139119,October,2010-10,LNS12000000,civilian employment,number in thousands
2010-09-01,139396,September,2010-09,LNS12000000,civilian employment,number in thousands
2010-08-01,139438,August,2010-08,LNS12000000,civilian employment,number in thousands
2010-07-01,139179,July,2010-07,LNS12000000,civilian employment,number in thousands
2010-06-01,139141,June,2010-06,LNS12000000,civilian employment,number in thousands
2010-05-01,139241,May,2010-05,LNS12000000,civilian employment,number in thousands
2010-04-01,139297,April,2010-04,LNS12000000,civilian employment,number in thousands
