store_name,store_id,url,phone,address,city,state,zip,latitude,longitude
Executive Center,2515,/store/2515-BOCA RATON,(561) 988-1491,"2050, Nw Executive Center Cir.",Boca Raton,Florida,33431-7375,26.36889,-80.12402
Boynton Commons,472,/store/472-BOYNTON BEACH,(561) 742-9082,367 N Congress Ave.,Boynton Beach,Florida,33426-3415,26.53056,-80.09106
Regency Square At Brandon,444,/store/444-BRANDON,(813) 657-5913,2206 W Brandon Blvd.,Brandon,Florida,33511-4713,27.93886,-82.32102
Clearwater Mall,445,/store/445-CLEARWATER,(727) 797-4803,2705 Gulf To Bay Blvd.,Clearwater,Florida,33759-3945,27.96003,-82.72559
Coconut Point,2496,/store/2496-ESTERO,(239) 495-1633,23160 Via Villagio,Estero,Florida,33928-8301,26.40212,-81.80993
Bal Harbour Square - Outparcel,432,/store/432-FT. LAUDERDALE,(954) 630-0799,1630 N Federal Hwy.,Ft. Lauderdale,Florida,33305-2553,26.1498,-80.11871
Bell Tower Shops - Outparcel,2454,/store/2454-FT. MYERS,(239) 432-2663,5050 Bell Tower Shops Ave.,Ft. Myers,Florida,33907-3838,26.54771,-81.87017
St. John's Town Center,2420,/store/2420-JACKSONVILLE,(904) 997-8122,4647 Town Center Pkwy.,Jacksonville,Florida,32246-7400,30.2592,-81.52851
Loop West,2500,/store/2500-KISSIMMEE,(407) 932-0265,2411 W Osceola Pkwy.,Kissimmee,Florida,34741-0767,28.34273,-81.42691
Kendall Village Cnt./sw 88th St.,431,/store/431-MIAMI,(305) 630-3997,12355 Sw 88Th St.,Miami,Florida,33186-1924,25.6867,-80.39252
Mall At Millenia,485,/store/485-ORLANDO,(407) 248-9446,4095 Millenia Blvd.,Orlando,Florida,32839-2425,28.49064,-81.42911
Oviedo Marketplace - Outparcel,489,/store/489-OVIEDO,(407) 366-0086,8275 Red Bug Lake Rd.,Oviedo,Florida,32765-6859,28.65594,-81.23706
Legacy Place - Outparcel,2430,/store/2430-PALM BEACH GARDENS,(561) 625-1012,11360 Legacy Ave.,Palm Beach Gardens,Florida,33410-3663,26.84433,-80.09014
Pembroke Lakes Square,2419,/store/2419-PEMBROKE PINES,(954) 437-0341,11077 Pines Blvd.,Pembroke Pines,Florida,33026-5217,26.007879,-80.295057
Cordova Mall,2571,/store/2571-PENSACOLA,(850) 473-9331,5410 N 9Th Ave.,Pensacola,Florida,32504-8728,30.477956,-87.208828
Plantation,2415,/store/2415-PLANTATION,(954) 476-7306,12260 W Sunrise Blvd.,Plantation,Florida,33323-2233,26.14527,-80.31225
University Town Center- Outparcel,3307,/store/3307-SARASOTA,(941) 259-6289,67 North Cattlemen Road,Sarasota,Florida,34243-4762,27.38669,-82.45627
Federal Highway,2532,/store/2532-STUART,(772) 692-9692,2646 Nw Federal Hwy.,Stuart,Florida,34994-9318,27.2373,-80.26979
Jared Vault Palm Beach Outlets,4214,/store/4214-WEST PALM BEACH,(561) 687-9503,1781 Palm Beach Lakes Blvd,West Palm Beach,Florida,33401-2053,26.72324,-80.08596
North Point Marketcenter,2557,/store/2557-ALPHARETTA,(770) 753-0705,6250 North Point Pkwy.,Alpharetta,Georgia,30022-4885,34.046984,-84.289862
Park Place,467,/store/467-ATLANTA,(770) 393-4599,4503 Ashford-Dunwoody Rd. Ne,Atlanta,Georgia,30346-1509,33.92463,-84.33753
Augusta Mall,2499,/store/2499-AUGUSTA,(706) 736-1018,3450 Wrightsboro Rd.,Augusta,Georgia,30909-2566,33.46309,-82.07841
Marketplace Mill Creek,460,/store/460-BUFORD,(678) 546-0003,1720 Mall Of Georgia Blvd.,Buford,Georgia,30519-8705,34.062343,-83.992457
Landings At Arbor Place,468,/store/468-DOUGLASVILLE,(770) 577-0864,9310 The Landings Dr.,Douglasville,Georgia,30135-7118,33.73015,-84.73969
Gwinnett Place/pleasant Hill Rd.,436,/store/436-DULUTH,(770) 497-9433,2150 Pleasant Hill Rd.,Duluth,Georgia,30096-4630,33.95868,-84.13374
Town Center At Cobb-outparcel,459,/store/459-KENNESAW,(678) 355-6585,605 W Barret Pkwy.,Kennesaw,Georgia,30144-4922,34.032735,-84.611463
Marketplace At Stonecrest,435,/store/435-LITHONIA,(678) 526-8398,3001 Turner Hill Rd.,Lithonia,Georgia,30038-2529,33.69425,-84.08945
Jared Vault Tanger Outlets Locust Grove,4125,/store/4125-LOCUST GROVE,(770) 914-6969,1000 Tanger Dr.,Locust Grove,Georgia,30248-3667,33.3475,-84.1221
Ashley Park,2543,/store/2543-NEWNAN,(678) 423-5539,336 Newnan Crossing Bypass,Newnan,Georgia,30265-1082,33.38989,-84.76412
Jared Vault Tanger Outlets Savannah,3151,/store/3151-POOLER,(912) 450-5252,200 Tanger Outlet Blvd.,Pooler,Georgia,31322-3503,32.114031,-81.252678
Chatham Plaza,2548,/store/2548-SAVANNAH,(912) 356-1883,7805 Abercorn St.,Savannah,Georgia,31406-2442,32.00678,-81.11742
Jared Vault The Outlet Shoppes At Atlanta,4210,/store/4210-WOODSTOCK,(770) 591-8169,915 Ridgewalk Pkwy.,Woodstock,Georgia,30188-0010,34.11972,-84.52703
Westpark Towne Plaza,2428,/store/2428-BOISE,(208) 321-1999,247 N Milwaukee St.,Boise,Idaho,83704-9132,43.60704,-116.28249
Algonquin Commons,2412,/store/2412-ALGONQUIN,(847) 458-5247,1504 Randall Rd.,Algonquin,Illinois,60102-9754,42.15086,-88.33674
Meridian Square,463,/store/463-AURORA,(630) 236-8550,1016 N Rte. 59,Aurora,Illinois,60504-4920,41.77324,-88.20644
Promenade Pointe,2455,/store/2455-BOLINGBROOK,(630) 783-0214,693 E Boughton Rd.,Bolingbrook,Illinois,60440-2256,41.72183,-88.03972
St. Clair Square Mall,2436,/store/2436-FAIRVIEW HEIGHTS,(618) 628-0657,6530 N Illinois St.,Fairview Heights,Illinois,62208-2156,38.5937,-89.98473
Fountain Square Of Lombard,462,/store/462-LOMBARD,(630) 705-1720,2370 Fountain Square Dr.,Lombard,Illinois,60148-6010,41.84311,-87.9951
Orland Park Place - Outparcel,457,/store/457-ORLAND PARK,(708) 364-1680,15341 S Lagrange Rd.,Orland Park,Illinois,60462-3712,41.61113,-87.85281
Woodfield Road,2458,/store/2458-SCHAUMBURG,(847) 995-0212,1700 E Woodfield Rd.,Schaumburg,Illinois,60173-5153,42.04324,-88.03902
Vernon Hills,2437,/store/2437-VERNON HILLS,(847) 680-0394,567 E Townline Rd,Vernon Hills,Illinois,60061-1535,42.23998,-87.95072
Eastland Mall,2528,/store/2528-EVANSVILLE,(812) 471-2799,700 N. Green River Rd.,Evansville,Indiana,47715-2416,37.98403,-87.49316
Glenbrook Square,2527,/store/2527-FORT WAYNE,(260) 482-3380,4335 Coldwater Rd.,Fort Wayne,Indiana,46805-1111,41.11795,-85.1357
Greenwood Park Mall,2477,/store/2477-GREENWOOD,(317) 881-0879,729 West County Line Rd.,Greenwood,Indiana,46142-4362,39.63527,-86.12374
Keystone Crossing,2476,/store/2476-INDIANAPOLIS,(317) 466-0710,8520 Keystone Crossing,Indianapolis,Indiana,46240-2455,39.91156,-86.11058
Southlake Mall,2422,/store/2422-MERRILLVILLE,(219) 769-6238,2196 Southlake Mall,Merrillville,Indiana,46410-6439,41.47066,-87.30998
University Park Mall,2493,/store/2493-MISHAWAKA,(574) 243-4966,6501 N Grape Rd.,Mishawaka,Indiana,46545-1010,41.71973,-86.19192
Lindale Mall,2578,/store/2578-CEDAR RAPIDS,(319) 378-0404,159 Collins Rd. Ne,Cedar Rapids,Iowa,52402-3201,42.02726,-91.62522
Jordan Creek Town Center,2417,/store/2417-WEST DES MOINES,(515) 222-5351,101 Jordan Creek Pkwy.,West Des Moines,Iowa,50266-8131,41.56849,-93.8092
Orchard Corners,2449,/store/2449-LENEXA,(913) 894-5200,9510 Quivira Rd.,Lenexa,Kansas,66215-1670,38.95606,-94.7241
Corbin Park,2478,/store/2478-OVERLAND PARK,(913) 851-1500,6675 West 135Th Street,Overland Park,Kansas,66223-7898,38.88331,-94.66274
Crestview Hills Town Center,2450,/store/2450-CRESTVIEW HILLS,(859) 344-1060,2935 Dixie Hwy.,Crestview Hills,Kentucky,41017-2402,39.02514,-84.58152
Target Center,2432,/store/2432-LEXINGTON,(859) 271-0138,111 W Reynolds Rd.,Lexington,Kentucky,40503-3685,37.99238,-84.52425
Mall St. Matthews,2517,/store/2517-LOUISVILLE,(502) 891-6374,4972 Shelbyville Rd.,Louisville,Kentucky,40207-3306,38.24995,-85.62484
Mall Of Louisiana - Outparcel,2519,/store/2519-BATON ROUGE,(225) 761-7300,6071 Bluebonnet Blvd.,Baton Rouge,Louisiana,70836-6000,30.39297,-91.08779
Ambassador Row Courtyards,2552,/store/2552-LAFAYETTE,(337) 993-9220,3601 Ambassador Caffery Pkwy.,Lafayette,Louisiana,70503-5132,30.17576,-92.0711
Metairie,2416,/store/2416-METAIRIE,(504) 885-2221,3400 Veterans Memorial Blvd.,Metairie,Louisiana,70002-4807,30.00323,-90.15845
Maine Mall,2448,/store/2448-SOUTH PORTLAND,(207) 773-5080,7 Philbrook Ave.,South Portland,Maine,04106-3208,43.63224,-70.33895
Westfield Annapolis,2470,/store/2470-ANNAPOLIS,(410) 573-0160,180 Jennifer Rd.,Annapolis,Maryland,21401-3269,38.98784,-76.54376
Spectrum Drive,2594,/store/2594-FREDERICK,(240) 549-5483,5617 Spectrum Dr.,Frederick,Maryland,21703-8301,39.38342,-77.40195
Arundel Mills - Outparcel,470,/store/470-HANOVER,(410) 579-8595,7684 Arundel Mills Blvd.,Hanover,Maryland,21076-1385,39.15323,-76.7296
White Marsh Mall,2471,/store/2471-NOTTINGHAM,(410) 931-5380,8332 Honeygo Blvd.,Nottingham,Maryland,21236-5906,39.37296,-76.46342
Waldorf Marketplace,2431,/store/2431-WALDORF,(301) 638-0692,3088 Waldorf Market Place,Waldorf,Maryland,20603-4872,38.62765,-76.91468
Braintree,2518,/store/2518-BRAINTREE,(781) 848-3254,20 Forbes Rd.,Braintree,Massachusetts,02184-2602,42.22015,-71.02975
Wayside Commons,2445,/store/2445-BURLINGTON,(781) 270-2373,8 Wayside Rd.,Burlington,Massachusetts,01803-4603,42.48502,-71.19307
Legacy Place,2570,/store/2570-DEDHAM,(781) 320-8312,404 Legacy Place,Dedham,Massachusetts,02026-6830,42.23142,-71.17926
Marketplace Square,2584,/store/2584-NORTH ATTLEBORO,(508) 316-9034,1174 South Washington St.,North Attleboro,Massachusetts,02760-4446,41.94272,-71.34813
Colony Place At Plymouth,2446,/store/2446-PLYMOUTH,(508) 747-5281,260 Colony Place Rd.,Plymouth,Massachusetts,02360-7234,41.953902,-70.715729
Great Lakes Crossing - Outparcel,474,/store/474-AUBURN HILLS,(248) 253-0488,3960 Baldwin Rd.,Auburn Hills,Michigan,48326-1219,42.70161,-83.3049
Woodland Corner Shops,2489,/store/2489-GRAND RAPIDS,(616) 956-6173,3450 28Th St. Se,Grand Rapids,Michigan,49512-1602,42.91201,-85.58204
Rivertown Crossings,433,/store/433-GRANDVILLE,(616) 249-8229,3610 Rivertown Pkwy. Sw,Grandville,Michigan,49418-3007,42.88179,-85.75337
West Oaks Ii,492,/store/492-NOVI,(248) 449-6613,27795 Novi Rd.,Novi,Michigan,48377-3462,42.49376,-83.47679
South Westnedge Ave.,2560,/store/2560-PORTAGE,(269) 321-3016,6307 S. Westnedge Ave.,Portage,Michigan,49002-3545,42.22557,-85.5891
Utica Park Place,481,/store/481-UTICA,(586) 997-9500,45011 Utica Park Blvd.,Utica,Michigan,48315-5951,42.627,-83.00802
Burnsville Center,2440,/store/2440-BURNSVILLE,(952) 898-1414,801 County Rd. 42 W,Burnsville,Minnesota,55306-4413,44.7461,-93.28748
Southdale Square Shopping Center,2404,/store/2404-EDINA,(612) 861-1800,6569 York Ave S,Edina,Minnesota,55435-2356,44.88368,-93.31967
Shoppes At Arbor Lakes,2402,/store/2402-MAPLE GROVE,(763) 424-3872,11905 Elm Creek Blvd. N,Maple Grove,Minnesota,55369-7095,45.09356,-93.43219
Maplewood Mall - Outparcel,2403,/store/2403-MAPLEWOOD,(651) 748-0246,3081 White Bear Ave. N,Maplewood,Minnesota,55109-1309,45.03458,-93.01817
Jared Vault St. Louis Premium Outlets,4213,/store/4213-CHESTERFIELD,(636) 778-2306,18527 Outlet Blvd.,Chesterfield,Missouri,63005-0019,38.67795,-90.66191
Independence Center,2490,/store/2490-INDEPENDENCE,(816) 795-7880,18813 East 39Th St. S,Independence,Missouri,64057,39.04773,-94.35519
Eastgate Power Center,465,/store/465-HENDERSON,(702) 898-7392,1071 W Sunset Rd.,Henderson,Nevada,89014-6603,36.06316,-115.03457
Best In The West,484,/store/484-LAS VEGAS,(702) 647-6722,2110 N Rainbow,Las Vegas,Nevada,89108-7351,36.19796,-115.24136
Summit Sierra,2424,/store/2424-RENO,(775) 850-2020,13957 S Virginia St.,Reno,Nevada,89511-8917,39.40156,-119.75026
Patriot's Place Shopping Center,2443,/store/2443-CONCORD,(603) 223-6847,297 Loudon Rd.,Concord,New Hampshire,03301-6056,43.22773,-71.48495
Mall Of New Hampshire,2468,/store/2468-MANCHESTER,(603) 623-4089,1571 South Willow St.,Manchester,New Hampshire,03103-3212,42.9535,-71.43725
Jared Vault Merrimack Premium Outlets,4203,/store/4203-MERRIMACK,(603) 424-7573,80 Premium Outlets Blvd.,Merrimack,New Hampshire,03054-4770,42.8265,-71.49895
Crossings At Fox Run,2444,/store/2444-NEWINGTON,(603) 431-0297,65 Gosling Rd.,Newington,New Hampshire,03801-3144,43.09399,-70.7962
Monmouth Mall,2483,/store/2483-EATONTOWN,(732) 542-0998,184 Highway 35,Eatontown,New Jersey,07724-2012,40.290687,-74.058225
Freehold Raceway Mall,2497,/store/2497-FREEHOLD,(732) 625-1022,3710 Route 9,Freehold,New Jersey,07728,40.2585,-74.276063
Outlets At Bergen Town Center,2482,/store/2482-PARAMUS,(201) 226-0850,1500 Bergen Town Center,Paramus,New Jersey,07652-5024,40.91716,-74.06075
West Borough Of Watchung,2481,/store/2481-WATCHUNG,(908) 222-8738,1529 Rt. 22 West,Watchung,New Jersey,07069-6507,40.638477,-74.445085
Wayne Towne Center,2579,/store/2579-WAYNE,(973) 837-8648,115 Route 23,Wayne,New Jersey,07470-6900,40.940348,-74.244973
Deptford Landing,2475,/store/2475-WOODBURY,(856) 251-6956,2000 Clements Bridge Rd.,Woodbury,New Jersey,08096-2016,39.84187,-75.09096
Abq Uptown,2425,/store/2425-ALBUQUERQUE,(505) 830-3075,2260 Louisiana Blvd. Ne,Albuquerque,New Mexico,87110-3585,35.10394,-106.56843
Boulevard Consumer Square,2513,/store/2513-AMHERST,(716) 833-4359,1591 Niagara Falls Blvd.,Amherst,New York,14228-2704,42.99914,-78.82177
Cabela's Crossing,2421,/store/2421-BUFFALO,(716) 685-0328,2009 Walden Ave.,Buffalo,New York,14225-5113,42.9081,-78.7637
Carle Place Common - Outparcel,2530,/store/2530-CARLE PLACE,(516) 747-0528,195 Old Country Rd.,Carle Place,New York,11514-1907,40.7438,-73.61363
Lake Grove Commons,2512,/store/2512-LAKE GROVE,(631) 580-4780,160 New Moriches Rd.,Lake Grove,New York,11755-1300,40.867848,-73.127036
Jay Scutti Plaza,446,/store/446-ROCHESTER,(585) 424-3950,300 Hylan Dr.,Rochester,New York,14623-4216,43.08576,-77.62776
Destiny Usa,2569,/store/2569-SYRACUSE,(315) 424-1091,10381 Destiny Usa Dr,Syracuse,New York,13204-9017,43.068347,-76.169966
Asheville Market,2561,/store/2561-ASHEVILLE,(828) 298-0518,4 S Tunnel Rd.,Asheville,North Carolina,28805-2463,35.58255,-82.52465
Cary Towne Center,427,/store/427-CARY,(919) 460-8998,1109 Walnut St.,Cary,North Carolina,27511-4734,35.77114,-78.76249
Northlake Village,2461,/store/2461-CHARLOTTE,(704) 921-0742,10331 Perimeter Pkwy.,Charlotte,North Carolina,28216-2412,35.34482,-80.853328
Pavilion At King's Grant,426,/store/426-CONCORD,(704) 979-6070,8030 Concord Mills Blvd.,Concord,North Carolina,28027-4417,35.37247,-80.71818
Renaissance Center,429,/store/429-DURHAM,(919) 572-9932,6813 Fayetteville Rd.,Durham,North Carolina,27713-1321,35.90469,-78.93725
Wendover Avenue,2504,/store/2504-GREENSBORO,(336) 855-0578,4405 West Wendover Ave.,Greensboro,North Carolina,27407-2632,36.05543,-79.89499
Jared Vault Tanger Outlets Mebane,4198,/store/4198-MEBANE,(919) 563-2471,4000 Arrowhead Blvd.,Mebane,North Carolina,27302-7645,36.07466,-79.26868
Carolina Place Parkway,425,/store/425-PINEVILLE,(704) 752-7800,9530 Pineville Matthews Rd.,Pineville,North Carolina,28134-8806,35.08703,-80.87914
Capital Boulevard,424,/store/424-RALEIGH,(919) 792-9280,6100 Capital Blvd.,Raleigh,North Carolina,27616-2942,35.86814,-78.581
Hanes Mall Blvd.,2521,/store/2521-WINSTON SALEM,(336) 765-7779,1976 S Stratford Rd.,Winston Salem,North Carolina,27103-2909,36.06419,-80.3108
Montrose Centre,477,/store/477-AKRON,(330) 665-1994,3900 Medina Rd.,Akron,Ohio,44333-4508,41.13525,-81.63873
Mall At Fairfield Commons,2439,/store/2439-BEAVERCREEK,(937) 426-7962,2711 Fairfield Commons Blvd.,Beavercreek,Ohio,45431-3776,39.7644,-84.0535
Fashion Square,2555,/store/2555-BOARDMAN,(330) 758-3004,7415 Market St.,Boardman,Ohio,44512-5614,41.02146,-80.66199
Belden Park Crossings,417,/store/417-CANTON,(330) 966-9709,4381 Everhard Road Nw,Canton,Ohio,44718-2403,40.85949,-81.4302
Sycamore Plaza At Kenwood,2451,/store/2451-CINCINNATI,(513) 791-7677,7500 Kenwood Rd.,Cincinnati,Ohio,45236-2812,39.19871,-84.37992
Polaris Towne Center,461,/store/461-COLUMBUS,(614) 433-0671,1499 Polaris Pkwy.,Columbus,Ohio,43240-2041,40.14075,-82.97887
Morse Crossing,2495,/store/2495-COLUMBUS,(614) 476-6532,4159 Morse Crossing,Columbus,Ohio,43219-6015,40.0552,-82.91902
Plaza At Chapel Hill,475,/store/475-CUYAHOGA FALLS,(330) 923-5200,380 Howe Ave.,Cuyahoga Falls,Ohio,44221-4910,41.11864,-81.48067
Dayton Mall,2438,/store/2438-DAYTON,(937) 432-9328,2760 Miamisburg Centerville Rd,Dayton,Ohio,45459-3730,39.63651,-84.21998
Tuttle Crossing - Outparcel,447,/store/447-DUBLIN,(614) 336-8576,5061 Tuttle Crossing Blvd.,Dublin,Ohio,43016-1533,40.07575,-83.1301
Great Northern Mall,491,/store/491-NORTH OLMSTED,(440) 686-0436,25851 Brookpark Rd.,North Olmsted,Ohio,44070-3346,41.41838,-81.91111
Tri-county Towne Center,2474,/store/2474-SPRINGDALE,(513) 671-2532,11681 Princeton Pike,Springdale,Ohio,45246-2503,39.28973,-84.46731
The Plaza At Southpark,2510,/store/2510-STRONGSVILLE,(440) 238-5682,16760 Royalton Rd.,Strongsville,Ohio,44136-4435,41.31354,-81.81695
Franklin Park,466,/store/466-TOLEDO,(419) 480-0072,5011 Monroe St.,Toledo,Ohio,43623-3603,41.69803,-83.64209
Jared Vault Outlet Shoppes At Oklahoma City,4199,/store/4199-OKLAHOMA CITY,(405) 787-2309,7638 W Reno Ave.,Oklahoma City,Oklahoma,73127-9747,35.46401,-97.65034
Southern Trails Shopping Center,2433,/store/2433-TULSA,(918) 307-0867,8522 East 71St St.,Tulsa,Oklahoma,74133-2909,36.0604,-95.88048
Tanasbourne,2467,/store/2467-HILLSBORO,(503) 645-0702,10200 Ne Cornell Rd.,Hillsboro,Oregon,97124-9213,45.53399,-122.87551
Pointe At Bridgeport,2459,/store/2459-TIGARD,(503) 598-7431,7162 Sw Hazelfern Rd.,Tigard,Oregon,97224-7762,45.39539,-122.74992
Millcreek Marketplace,2550,/store/2550-ERIE,(814) 868-8902,2081 Interchange Rd.,Erie,Pennsylvania,16509-8315,42.064645,-80.098007
Harrisburg Pike,2549,/store/2549-LANCASTER,(717) 207-0139,1476 Harrisburg Pike,Lancaster,Pennsylvania,17601-2630,40.06379,-76.34145
Oxford Valley Mall,2523,/store/2523-LANGHORNE,(215) 757-1476,750 Middletown Blvd.,Langhorne,Pennsylvania,19047-1854,40.18041,-74.87624
Holiday Centre,420,/store/420-MONROEVILLE,(412) 374-0956,3767 William Penn Hwy.,Monroeville,Pennsylvania,15146-2125,40.43714,-79.78598
Pointe At North Fayette,442,/store/442-PITTSBURGH,(412) 809-9050,100 Mcholme Dr.,Pittsburgh,Pennsylvania,15275-1209,40.44975,-80.17549
South Hills Village,2494,/store/2494-PITTSBURGH,(412) 831-6192,161 Fort Couch Rd.,Pittsburgh,Pennsylvania,15241-1007,40.34524,-80.05438
Ross Park/mcknight Rd.,419,/store/419-PITTSBURGH,(412) 369-6890,7381 Mcknight Rd.,Pittsburgh,Pennsylvania,15237-3511,40.53901,-80.01226
Willow Grove,2509,/store/2509-WILLOW GROVE,(215) 659-0128,10 Park Ave.,Willow Grove,Pennsylvania,19090-3218,40.14299,-75.11749
Warwick Mall,2568,/store/2568-WARWICK,(401) 738-0412,205 Lambert Lind Hwy.,Warwick,Rhode Island,02886-1164,41.72642,-71.47429
Columbiana Centre,2520,/store/2520-COLUMBIA,(803) 407-5105,343 Harbison Blvd.,Columbia,South Carolina,29212-2224,34.07581,-81.15509
Magnolia Park,2544,/store/2544-GREENVILLE,(864) 627-2126,1025 Woodruff Rd.,Greenville,South Carolina,29607-4132,34.83385,-82.30712
