assessor_identification_number,taxrate_area,administrative_region_number,common_area_key,year_sold_to_state,recording_date,land_value,improvement_value,gross_personal_property_key,filler,fixture_value,real_estate_exemption,personal_property_exemption,fixture_exemption_value,homeowner's_exemption,first_owner_assessee_name,first_owner_assessee_name_overflow,second_owner_assessee_name,special_name_assessee,situs_address_key,situs_address_date_of_last_change,situs_address_postal_city_code,situs_address_house_number,situs_address_fraction,situs_address_direction,situs_address_unit,situs_address_zip_code,situs_address_street_name,situs_address_city_and_state,mail_address_key,mail_address_date_of_last_change,mail_address_postal_city_code,mail_address_house_number,mail_address_fraction,mail_address_direction,mail_address_unit,mail_address_zip_code,mail_address_street_name,mail_address_city_and_state,legal_description_-_last_line_narrative,legal_description_-_last_line_lot,legal_description_-_last_line_division,legal_description_-_last_line_region,legal_description_line_one,legal_description_line_two,legal_description_line_three,legal_description_line_four,legal_description_line_five,zoning_code,use_code,effective_year,year_built,building_-_square_feet_-_main
7425004018,400,26.0,0,0,19670145,18541,7457,Ã¿,0,0,25998,0,0,0,ARCHDIOCESE OF L A EDUC AND,,WELFARE CORP HOLY FAMILY,,D,20101018,0,929,,E,,907440000,L STREET,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ALLEY),105,,,*TR=ANGEL GATE TRACT*(EX OF ST AND,,,,,LAR2,7110,1965,1956,5625
7425004019,400,26.0,0,0,19771102,49279,13736,Ã¿,0,0,63015,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,103,925,,E,,907440000,L ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,106,,,*TR=ANGEL GATE TRACT*(EX OF ALLEY),,,,,LAR2,7110,1979,1979,5645
7425014049,400,10.0,0,0,19900404,1062306,58936,Ã¿,0,0,1121242,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,20070220,103,1106,,E,,907440000,L ST,WILMINGTON CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ANGEL GATE TRACT LOTS 122 THRU 125,,,,,,,,,LAR1,2700,1991,1991,21600
7425016014,400,26.0,0,0,19670145,116849,481370,4,0,0,598219,15000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,HOLY FAMILY,,D,19950605,103,1122,,E,,907440000,ROBIDOUX ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,58,,,"ANGEL GATE TRACT LOTS 53,54,55,56,57 AND",,,,,LAR2,7200,0,0,0
7425016015,400,10.0,0,0,19820527,74171,0,Ã¿,0,0,74171,0,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ANGEL GATE TRACT,59,,,,,,,,LAR2,010V,0,0,0
7425016016,400,10.0,0,0,19820527,81974,11688,Ã¿,0,0,93662,0,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,,,D,19930701,103,1218,,E,,907440000,ROBIDOUX ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ANGEL GATE TRACT,60,,,,,,,,LAR2,0100,1925,1925,500
7425016028,400,26.0,0,0,19930202,144135,125,Ã¿,0,0,0,0,0,0,THE ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,20070220,103,1027,,E,,907440000,L ST,WILMINGTON CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ANGEL GATE TRACT,98,,,,,,,,LAR2,7110,0,0,0
7425016038,400,26.0,0,0,19670145,38929,129079,4,0,0,168008,7000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,HOLY FAMILY,,D,19930701,103,1110,,E,,907440000,ROBIDOUX ST,LOS ANGELES CA,F,20120416,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,52,,,ANGEL GATE TRACT LOTS 51 AND,,,,,LAR2,7100,1951,1951,4936
7425016039,400,26.0,0,0,19670145,20351,120565,Ã¿,0,0,140916,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,103,1220,,,,907440000,SANFORD AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,ANGEL GATE TRACT,41,,,,,,,,LAR2,7100,1951,1951,4732
7425016040,400,26.0,0,0,19640000,28511,480238,Ã¿,0,0,508749,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,HOLY FAMILY WILMINGTON,,D,19930701,103,1003,,E,,907440000,L ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,AND ALL OF,104,,,ANGEL GATE TRACT W 16.83 FT OF LOT 103,,,,,LAR2,7100,1970,1964,8052
7425016045,400,26.0,0,0,19640227,82195,318646,4,0,0,400841,10000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,HOLY FAMILY,,D,19930701,103,1009,,E,,907440000,L ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,103,,,"ANGEL GATE TRACT LOTS 99,100,101,102",AND E 25.42 FT OF,,,,LAR2,6400,1965,1964,5974
7425016046,400,10.0,0,0,19680226,29186,11525,Ã¿,0,0,40711,0,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP HOLY FAMILY,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,44,,,ANGEL GATE TRACT  LOTS 43 AND,,,,,LAR2,2700,1977,1977,10240
7425016047,400,26.0,0,0,19550306,43685,121440,Ã¿,0,0,165125,0,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP HOLY FAMILY,,,D,20070220,103,1129,,E,,907440000,L ST,WILMINGTON CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,90,,,"ANGEL GATE TRACT  LOTS 88, 89 AND",,,,,LAR2,7200,0,0,0
7425031013,400,26.0,0,0,19670145,76078,85594,4,0,0,161672,10000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,MAHAR HOUSE WILMINGTON,,D,19930701,103,1115,,,,907440000,MAHAR AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,14 AND,16,A,,"THE WILMINGTON PARK TRACT LOTS 10,12,",,,,,LAR1,6400,1966,1964,1976
7442001007,14,26.0,0,0,19990122,17033959,10213949,4,0,0,27247908,10000,0,0,ARCHDIOCESE L A EDUCATION AND,WELFARE CORP,,,D,20081121,0,2500,,N,,907320000,TAPER AVE,SAN PEDRO CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,R OF LOT 2,,,,TR=3192 FOR DESC SEE ASSESSOR'S MAPS PO,,,,,LAR1,7200,0,0,0
7442001008,1550,26.0,0,0,19990122,345417,0,Ã¿,0,0,345417,0,0,0,ARCHDIOCESE L A EDUCATION AND,WELFARE CORP,,,,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,R OF LOT 1,,,,TR=3192 FOR DESC SEE ASSESSOR'S MAPS PO,,,,,LAR1,300V,0,0,0
7448029019,13245,14.0,0,0,19860227,156365,0,Ã¿,0,0,156365,0,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,,,D,19930701,82,564,,W,,907310000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,22,B,,SUBDIVISION OF PECK'S ADDITION TO,PALOS VERDES TRACT,,,,LAR2,010V,0,0,0
7448029020,13245,14.0,0,0,19860227,156365,248358,Ã¿,0,0,404723,0,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,,,D,19930701,82,570,,W,,907310000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,23,B,,SUBDIVISION OF PECK'S ADDITION TO,PALOS VERDES TRACT,,,,LAR2,0100,1975,1975,2578
7448029028,13245,14.0,0,0,19650820,49799,267250,Ã¿,0,0,317049,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,20080603,50,338,,N,,907310000,GRAND AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,30,B,,SUBDIVISION OF PECK'S ADDITION TO PALOS,VERDES TRACT  LOTS 29 AND,,,,LAR2,7100,1967,1967,6152
7448029030,13245,14.0,0,0,19810410,243456,662710,Ã¿,0,0,906166,0,0,0,ROMAN CATHOLIC ARCHBISHOP,,,,D,19930701,82,543,,W,,907310000,OFARRELL ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,6,B,,M B 3-44*(EX OF ST) LOTS 1 THRU,,,,,LAR2,7100,0,0,0
7452006001,14,14.0,0,0,19980909,289658,67665,Ã¿,0,0,357323,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,19930701,82,1297,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,2,6,,BLUNCK & WELCH TRACT LOTS 1 AND,,,,,LAR1,010V,2006,2005,14100
7452006002,14,14.0,0,0,19590309,33037,0,Ã¿,0,0,33037,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,82,1289,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,4,6,,BLUNCK & WELCH TRACT LOTS 3 AND,,,,,LAR1,010V,0,0,0
7452006005,14,14.0,0,0,19950802,33037,0,Ã¿,0,0,0,0,0,0,ARCHDIOCESE OF L A EDUCATION,AND WELFARE CORP,,,D,19930701,82,1265,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,10,6,,BLUNCK & WELCH TRACT LOTS 9 AND,,,,,LAR1,010V,0,0,0
7452006006,14,26.0,0,0,19670804,33037,22377,Ã¿,0,0,55414,0,0,0,THE ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,19930701,82,1257,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,12,6,,BLUNCK & WELCH TRACT LOTS 11 AND,,,,,LAR1,2700,1994,1994,7050
7452006007,14,26.0,0,0,19670707,33037,22377,Ã¿,0,0,55414,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,82,1247,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,14,6,,BLUNCK & WELCH TRACT LOTS 13 AND,,,,,LAR1,2700,1994,1994,7050
7452006008,14,26.0,0,0,19690514,33037,22377,Ã¿,0,0,55414,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,19930701,82,1237,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,16,6,,BLUNCK & WELCH TRACT LOTS 15 AND,,,,,LAR1,2700,1994,1994,7050
7452006009,14,14.0,0,0,19580227,38247,85368,4,0,0,123615,5000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,HOLY TRINITY,,D,19930701,82,1227,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,18,6,,BLUNCK AND WELCH TRACT LOTS 17 AND,,,,,LAR1,7200,1957,1957,3240
7452006010,14,14.0,0,0,19670145,72677,68829,4,0,0,141506,4000,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,HOLY TRINITY,,D,19930701,82,1217,,W,,907320000,SEPULVEDA ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,20,6,,BLUNCK & WELCH TRACT LOTS 19 AND,,,,,LAR1,7200,1957,1957,2343
7452006011,14,14.0,0,0,19670145,107565,3377658,4,0,0,3485223,15000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,HOLY TRINITY,,D,19930701,82,209,,N,,907320000,HANFORD AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,23,6,,"BLUNCK AND WELCH TRACT LOTS 21,22 AND",,,,,LAR1,7100,1994,1994,19565
7452006015,14,14.0,0,0,19670145,228748,853934,4,0,0,1082682,50000,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,,,D,19950605,82,1226,,W,,907320000,SANTA CRUZ ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,40,6,,"BLUNCK AND WELCH TRACT LOTS 29,30,31,","32,33,34,35,36,37,38,39 AND",,,,LAR1,7200,1965,1950,36703
7452006016,14,14.0,0,0,19670145,34404,137921,Ã¿,0,0,172325,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19950605,82,1280,,W,,907320000,SANTA CRUZ ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,43,6,,BLUNCK & WELCH TRACT S 80 FT OF LOTS 41,AND 42 AND E 20 FT OF S 80 FT OF,,,,LAR1,7100,1955,1955,4290
7452006017,14,14.0,0,0,19600226,84910,1236746,Ã¿,0,0,1321656,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,82,1292,,W,,907320000,SANTA CRUZ ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,"LOTS 44,45 AND",46,6,,BLUNCK AND WELCH TRACT N 73.5 FT OF,LOTS 41 AND 42 AND E 20 FT OF N 73.5 FT,AND W 5 FT OF LOT 43 AND ALL OF,,,LAR1,7100,1965,1959,13952
7452007012,14,14.0,0,0,19670145,71546,0,Ã¿,0,0,71546,0,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,HOLY TRINITY,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,24,4,,"BLUNCK & WELCH TRACT LOTS 21,22,23 AND",,,,,LAR1,010V,0,0,0
7452007013,14,14.0,0,0,19990616,279809,82254,Ã¿,0,0,362063,0,0,0,ROMAN CATHOLIC ARCHBISHOP,OF LOS ANGELES,,,D,19930701,82,1302,,W,,907320000,SANTA CRUZ ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,26,4,,BLUNCK & WELCH TRACT LOTS 25 AND,,,,,LAR1,0100,1933,1927,1458
7454001001,14,26.0,0,0,19670145,480180,1843805,4,0,0,2323985,100000,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,MARY STAR OF THE SEA,,D,19950605,82,717,,S,,907310000,CABRILLO AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,,29,,SHEET NO 2 RUDECINDA TRACT LOT COM AT,SE COR OF BLK 29 TH N 265 FT TH W 500 FT,TH S 198 FT TH E 153 FT TH S 67 FT TH E,347 FT TO BEG PART OF,,LAR2,7200,0,0,0
7454001003,14,14.0,0,0,19600226,183900,1981982,Ã¿,0,0,2165882,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,82,894,,W,,907310000,7TH ST,LOS ANGELES CA,F,20120417,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,,29,,SHEET NO 2 RUDECINDA TRACT LOT COM AT SW,COR OF BLK 29 TH N 265 FT TH E 100 FT TH,S 198 FT TH E 153 FT TH S 67 FT TH W,253 FT TO BEG PART OF,,LAR2,7100,0,0,0
7480008005,5370,26.0,0,0,19630401,249139,711229,Ã¿,0,0,960368,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,20200315,7,800,,,,907040000,BEACON ST,AVALON CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,100,15,,OFFICIAL MAP OF THE CITY OF AVALON AS,PER BK 1 PG 31 TO 46 OF O M 0.73 MORE,OR LESS AC COM N 37Â01' E 3 FT AND S 52Â,59' E 168.39 FT AND N 37Â27' E 13 FT,FROM SW COR OF LOT 100 BLK 15 TH N 37Â,AVU*,7100,1953,1950,9500
7505007028,8055,26.0,0,0,20190607,8244537,1030567,Ã¿,0,0,9275104,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,C/O ARCH OF LA REAL ESTATE DEPT,D,19970603,75,128,,N,,902770000,BROADWAY,REDONDO BEACH CA,F,20190827,0,3424,,,6TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,28,170,,"REDONDO BEACH LOTS 9,10,11,12,13,14,15,","20,21,22,23,24,25,26,27 AND",,,,RBRH-2/R-3A,7100,0,0,0
7505008022,8055,14.0,0,0,19670145,94877,29414,4,0,0,124291,5000,0,0,ARCHDIOCESE OF L A EDUC AND,WELFARE CORP,ST JAMES,,D,19960616,75,200,,N,,902770000,BROADWAY,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,BLOCK 170 1/2,,,,REDONDO BEACH THAT PART SW OF A LINE,PARALLEL WITH AND DIST SW AT R/A 16 FT,"FROM NE LINE OF LOTS 32,33 AND 34",,,RBR-3A,6400,1936,1936,4284
7505008025,8055,26.0,0,0,19670145,164644,23245,Ã¿,0,0,187889,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19960616,75,200,,N,,902770000,BROADWAY,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,BLK 170 1/2,,,,"REDONDO BEACH LOTS 27,28,29,30 AND 31",,,,,RBR-3A,2700,1993,1993,15000
7505008027,8055,26.0,0,0,19610221,285360,1325088,Ã¿,0,0,1610448,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,75,415,,,,902770000,VINCENT ST,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,9 BLK 170 1/2,,,,REDONDO BEACH NE 16 FT MEASURED AT R/A,"TO NE LINE OF LOTS 32,33 AND 34 AND","ALL OF LOTS 1,2,3,4,5,6,7,8 AND",,,RBC-3B,7100,0,0,0
7505010015,8055,26.0,0,0,19580227,371433,266889,4,0,0,638322,10000,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,,,D,19960616,75,126,,N,,902770000,PACIFIC COAST HWY,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,19,150,,REDONDO BEACH EX OF ALLEY LOTS 12 AND 13,AND NE 80 FT OF SW 170 FT OF LOTS 14 AND,"15 AND EX OF ALLEY LOTS 16,17,18 AND",,,RBRH-2,7200,0,0,0
7505010035,8055,14.0,0,0,19670145,74270,3136,Ã¿,0,0,77406,0,0,0,ARCHDIOCESE OF L A EDUCATION AND,WELFARE CORP,ST JAMES,,D,20160314,75,122,,N,,902770000,PACIFIC COAST HWY,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,LOTS 4 AND,5,150,,REDONDO BEACH LOT EX OF ALLEY COM AT,MOST S COR OF LOT 4 BLK 150 TH NE ON SE,LINE OF SD LOT 133 FT TH NW TO A PT IN,NW LINE OF LOT 5 SD BLK SW THEREON 78.3,FT FROM MOST N COR OF SD LOT 5 TH SW ON,RBR-3,7110,1959,1959,16500
7505010036,8055,26.0,0,0,19670145,67919,49345,4,0,0,117264,5000,0,0,ARCHDIOCESE L A EDUC AND,WELFARE CORP,ST JAMES,,D,19960616,75,122,,N,,902770000,PACIFIC COAST HWY,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,15,150,,TEDONDO BEACH SW 90 FT OF LOTS 14,,,,,RBRH-2,7100,0,0,0
7510031026,8068,26.0,0,0,19670145,153541,98502,Ã¿,0,0,252043,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF LA,,,,D,19950605,75,1900,,S,,902770000,PROSPECT AVE,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,1,,,*TR=PARCEL MAP AS PER BK 135 P 1 OF PM,*LOT COM AT NW COR OF LOT 1 TH S ON W,LINE OF SD LOT TO A PT NW ON SW LINE,OF BLK 6 TR NO 12836 420 FT AND,"N 81Â02'30""W FROM S LINE OF SD LOT TH",RBR-1,7100,1956,1956,4827
7510031027,8068,26.0,0,0,19660302,137921,1064594,Ã¿,0,0,1202515,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF LA,,,,D,19960616,75,1962,,S,,902770000,PROSPECT AVE,REDONDO BEACH CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,1,,,*TR=PARCEL MAP AS PER BK 135 P 1 OF PM,*LOT COM S ON W LINE OF LOT 1 250 FT,"FROM NW COR OF SD LOT TH S 84Â25'10""E",200 FT TH N TO A PT NW ON SW LINE OF,BLK 6 TR NO 12836 420 FT AND,RBR-1,7100,1964,1964,14340
