date,value,indicator
2022-03-09,2.35,"inflation expectation rate, 5-year forward"
2022-03-08,2.37,"inflation expectation rate, 5-year forward"
2022-03-07,2.25,"inflation expectation rate, 5-year forward"
2022-03-04,2.15,"inflation expectation rate, 5-year forward"
2022-03-03,2.21,"inflation expectation rate, 5-year forward"
2022-03-02,2.19,"inflation expectation rate, 5-year forward"
2022-03-01,2.1,"inflation expectation rate, 5-year forward"
2022-02-28,2.13,"inflation expectation rate, 5-year forward"
2022-02-25,2.06,"inflation expectation rate, 5-year forward"
2022-02-24,2.05,"inflation expectation rate, 5-year forward"
2022-02-23,2.05,"inflation expectation rate, 5-year forward"
2022-02-22,2.01,"inflation expectation rate, 5-year forward"
2022-02-21,,"inflation expectation rate, 5-year forward"
2022-02-18,1.96,"inflation expectation rate, 5-year forward"
2022-02-17,1.99,"inflation expectation rate, 5-year forward"
2022-02-16,2.05,"inflation expectation rate, 5-year forward"
2022-02-15,2.07,"inflation expectation rate, 5-year forward"
2022-02-14,2.05,"inflation expectation rate, 5-year forward"
2022-02-11,2.04,"inflation expectation rate, 5-year forward"
2022-02-10,2.09,"inflation expectation rate, 5-year forward"
2022-02-09,2.06,"inflation expectation rate, 5-year forward"
2022-02-08,2.07,"inflation expectation rate, 5-year forward"
2022-02-07,2.05,"inflation expectation rate, 5-year forward"
2022-02-04,2.04,"inflation expectation rate, 5-year forward"
2022-02-03,2.0,"inflation expectation rate, 5-year forward"
2022-02-02,2.03,"inflation expectation rate, 5-year forward"
2022-02-01,2.06,"inflation expectation rate, 5-year forward"
2022-01-31,2.06,"inflation expectation rate, 5-year forward"
2022-01-28,2.08,"inflation expectation rate, 5-year forward"
2022-01-27,2.04,"inflation expectation rate, 5-year forward"
2022-01-26,2.01,"inflation expectation rate, 5-year forward"
2022-01-25,2.04,"inflation expectation rate, 5-year forward"
2022-01-24,2.02,"inflation expectation rate, 5-year forward"
2022-01-21,1.98,"inflation expectation rate, 5-year forward"
2022-01-20,1.92,"inflation expectation rate, 5-year forward"
2022-01-19,2.07,"inflation expectation rate, 5-year forward"
2022-01-18,2.12,"inflation expectation rate, 5-year forward"
2022-01-17,,"inflation expectation rate, 5-year forward"
2022-01-14,2.09,"inflation expectation rate, 5-year forward"
2022-01-13,2.09,"inflation expectation rate, 5-year forward"
2022-01-12,2.14,"inflation expectation rate, 5-year forward"
2022-01-11,2.21,"inflation expectation rate, 5-year forward"
2022-01-10,2.19,"inflation expectation rate, 5-year forward"
2022-01-07,2.18,"inflation expectation rate, 5-year forward"
2022-01-06,2.15,"inflation expectation rate, 5-year forward"
2022-01-05,2.19,"inflation expectation rate, 5-year forward"
2022-01-04,2.21,"inflation expectation rate, 5-year forward"
2022-01-03,2.25,"inflation expectation rate, 5-year forward"
2021-12-31,2.25,"inflation expectation rate, 5-year forward"
2021-12-30,2.3,"inflation expectation rate, 5-year forward"
2021-12-29,2.23,"inflation expectation rate, 5-year forward"
2021-12-28,2.22,"inflation expectation rate, 5-year forward"
2021-12-27,2.25,"inflation expectation rate, 5-year forward"
2021-12-24,,"inflation expectation rate, 5-year forward"
2021-12-23,2.22,"inflation expectation rate, 5-year forward"
2021-12-22,2.24,"inflation expectation rate, 5-year forward"
2021-12-21,2.19,"inflation expectation rate, 5-year forward"
2021-12-20,2.13,"inflation expectation rate, 5-year forward"
2021-12-17,2.11,"inflation expectation rate, 5-year forward"
2021-12-16,2.14,"inflation expectation rate, 5-year forward"
2021-12-15,2.11,"inflation expectation rate, 5-year forward"
2021-12-14,2.08,"inflation expectation rate, 5-year forward"
2021-12-13,2.07,"inflation expectation rate, 5-year forward"
2021-12-10,2.12,"inflation expectation rate, 5-year forward"
2021-12-09,2.14,"inflation expectation rate, 5-year forward"
2021-12-08,2.16,"inflation expectation rate, 5-year forward"
2021-12-07,2.1,"inflation expectation rate, 5-year forward"
2021-12-06,2.09,"inflation expectation rate, 5-year forward"
2021-12-03,2.14,"inflation expectation rate, 5-year forward"
2021-12-02,2.21,"inflation expectation rate, 5-year forward"
2021-12-01,2.18,"inflation expectation rate, 5-year forward"
2021-11-30,2.2,"inflation expectation rate, 5-year forward"
2021-11-29,2.17,"inflation expectation rate, 5-year forward"
2021-11-26,2.18,"inflation expectation rate, 5-year forward"
2021-11-25,,"inflation expectation rate, 5-year forward"
2021-11-24,2.19,"inflation expectation rate, 5-year forward"
2021-11-23,2.24,"inflation expectation rate, 5-year forward"
2021-11-22,2.24,"inflation expectation rate, 5-year forward"
2021-11-19,2.28,"inflation expectation rate, 5-year forward"
2021-11-18,2.35,"inflation expectation rate, 5-year forward"
2021-11-17,2.26,"inflation expectation rate, 5-year forward"
2021-11-16,2.29,"inflation expectation rate, 5-year forward"
2021-11-15,2.35,"inflation expectation rate, 5-year forward"
2021-11-12,2.35,"inflation expectation rate, 5-year forward"
2021-11-11,,"inflation expectation rate, 5-year forward"
2021-11-10,2.32,"inflation expectation rate, 5-year forward"
2021-11-09,2.3,"inflation expectation rate, 5-year forward"
2021-11-08,2.3,"inflation expectation rate, 5-year forward"
2021-11-05,2.21,"inflation expectation rate, 5-year forward"
2021-11-04,2.24,"inflation expectation rate, 5-year forward"
2021-11-03,2.2,"inflation expectation rate, 5-year forward"
2021-11-02,2.18,"inflation expectation rate, 5-year forward"
2021-11-01,2.14,"inflation expectation rate, 5-year forward"
2021-10-29,2.13,"inflation expectation rate, 5-year forward"
2021-10-28,2.24,"inflation expectation rate, 5-year forward"
2021-10-27,2.34,"inflation expectation rate, 5-year forward"
2021-10-26,2.39,"inflation expectation rate, 5-year forward"
2021-10-25,2.37,"inflation expectation rate, 5-year forward"
2021-10-22,2.37,"inflation expectation rate, 5-year forward"
2021-10-21,2.34,"inflation expectation rate, 5-year forward"
2021-10-20,2.37,"inflation expectation rate, 5-year forward"
2021-10-19,2.37,"inflation expectation rate, 5-year forward"
2021-10-18,2.37,"inflation expectation rate, 5-year forward"
2021-10-15,2.41,"inflation expectation rate, 5-year forward"
2021-10-14,2.35,"inflation expectation rate, 5-year forward"
2021-10-13,2.36,"inflation expectation rate, 5-year forward"
2021-10-12,2.34,"inflation expectation rate, 5-year forward"
2021-10-11,,"inflation expectation rate, 5-year forward"
2021-10-08,2.36,"inflation expectation rate, 5-year forward"
2021-10-07,2.31,"inflation expectation rate, 5-year forward"
2021-10-06,2.29,"inflation expectation rate, 5-year forward"
2021-10-05,2.31,"inflation expectation rate, 5-year forward"
2021-10-04,2.23,"inflation expectation rate, 5-year forward"
2021-10-01,2.25,"inflation expectation rate, 5-year forward"
2021-09-30,2.23,"inflation expectation rate, 5-year forward"
2021-09-29,2.22,"inflation expectation rate, 5-year forward"
2021-09-28,2.23,"inflation expectation rate, 5-year forward"
2021-09-27,2.2,"inflation expectation rate, 5-year forward"
2021-09-24,2.21,"inflation expectation rate, 5-year forward"
2021-09-23,2.14,"inflation expectation rate, 5-year forward"
2021-09-22,2.15,"inflation expectation rate, 5-year forward"
2021-09-21,2.14,"inflation expectation rate, 5-year forward"
2021-09-20,2.15,"inflation expectation rate, 5-year forward"
2021-09-17,2.15,"inflation expectation rate, 5-year forward"
2021-09-16,2.17,"inflation expectation rate, 5-year forward"
2021-09-15,2.19,"inflation expectation rate, 5-year forward"
2021-09-14,2.17,"inflation expectation rate, 5-year forward"
2021-09-13,2.21,"inflation expectation rate, 5-year forward"
2021-09-10,2.25,"inflation expectation rate, 5-year forward"
2021-09-09,2.21,"inflation expectation rate, 5-year forward"
2021-09-08,2.23,"inflation expectation rate, 5-year forward"
2021-09-07,2.21,"inflation expectation rate, 5-year forward"
2021-09-06,,"inflation expectation rate, 5-year forward"
2021-09-03,2.2,"inflation expectation rate, 5-year forward"
2021-09-02,2.17,"inflation expectation rate, 5-year forward"
2021-09-01,2.2,"inflation expectation rate, 5-year forward"
2021-08-31,2.18,"inflation expectation rate, 5-year forward"
2021-08-30,2.23,"inflation expectation rate, 5-year forward"
2021-08-27,2.25,"inflation expectation rate, 5-year forward"
2021-08-26,2.16,"inflation expectation rate, 5-year forward"
2021-08-25,2.19,"inflation expectation rate, 5-year forward"
2021-08-24,2.15,"inflation expectation rate, 5-year forward"
2021-08-23,2.11,"inflation expectation rate, 5-year forward"
2021-08-20,2.14,"inflation expectation rate, 5-year forward"
2021-08-19,2.11,"inflation expectation rate, 5-year forward"
2021-08-18,2.16,"inflation expectation rate, 5-year forward"
2021-08-17,2.17,"inflation expectation rate, 5-year forward"
2021-08-16,2.22,"inflation expectation rate, 5-year forward"
2021-08-13,2.22,"inflation expectation rate, 5-year forward"
2021-08-12,2.27,"inflation expectation rate, 5-year forward"
2021-08-11,2.29,"inflation expectation rate, 5-year forward"
2021-08-10,2.27,"inflation expectation rate, 5-year forward"
2021-08-09,2.24,"inflation expectation rate, 5-year forward"
2021-08-06,2.24,"inflation expectation rate, 5-year forward"
2021-08-05,2.2,"inflation expectation rate, 5-year forward"
2021-08-04,2.2,"inflation expectation rate, 5-year forward"
2021-08-03,2.25,"inflation expectation rate, 5-year forward"
2021-08-02,2.23,"inflation expectation rate, 5-year forward"
2021-07-30,2.24,"inflation expectation rate, 5-year forward"
2021-07-29,2.28,"inflation expectation rate, 5-year forward"
2021-07-28,2.25,"inflation expectation rate, 5-year forward"
2021-07-27,2.21,"inflation expectation rate, 5-year forward"
2021-07-26,2.21,"inflation expectation rate, 5-year forward"
2021-07-23,2.17,"inflation expectation rate, 5-year forward"
2021-07-22,2.1,"inflation expectation rate, 5-year forward"
2021-07-21,2.11,"inflation expectation rate, 5-year forward"
2021-07-20,2.12,"inflation expectation rate, 5-year forward"
2021-07-19,2.07,"inflation expectation rate, 5-year forward"
