U.S. Tornadoes
*denotes preliminary data
Date,"Tornadoes","Fatalities"
200204,116,7
200205,204,4
200206,97,0
200207,68,0
200208,86,0
200209,61,0
200210,57,3
200211,96,37
200212,98,4
200301,0,0
200302,18,2
200303,43,8
200304,158,0
200305,550,41
200306,292,2
200307,167,0
200308,44,0
200309,32,0
200310,26,1
200311,54,0
200312,1,0
200401,2,0
200402,7,0
200403,50,0
200404,125,8
200405,510,7
200406,266,2
200407,124,0
200408,179,3
200409,296,8
200410,78,3
200411,150,4
200412,26,0
200501,32,4
200502,10,0
200503,62,1
200504,132,0
200505,123,0
200506,316,0
200507,137,0
200508,123,4
200509,133,1
200510,18,0
200511,151,28
200512,25,0
200601,47,1
200602,12,0
200603,148,11
200604,246,38
200605,139,3
200606,119,0
200607,71,0
200608,80,1
200609,84,1
200610,76,0
200611,42,10
200612,42,2
200701,21,2
200702,52,22
200703,173,27
200704,167,9
200705,253,14
200706,128,0
200707,69,0
200708,73,1
200709,52,0
200710,86,5
200711,7,0
200712,19,1
200801,84,7
200802,147,59
200803,129,4
200804,189,0
200805,462,44
200806,292,7
200807,95,1
200808,101,0
200809,111,2
200810,21,0
200811,15,2
200812,46,0
200901,6,0
200902,36,9
200903,115,0
200904,226,6
200905,201,5
200906,270,0
200907,118,0
200908,60,0
200909,8,0
200910,65,1
200911,3,0
200912,38,0
201001,30,0
201002,1,0
201003,33,1
201004,139,11
201005,304,7
201006,324,12
201007,146,2
201008,55,1
201009,57,2
201010,108,0
201011,53,0
201012,32,9
201101,16,0
201102,63,1
201103,75,1
201104,758,363
201105,326,178
201106,160,3
201107,103,0
201108,57,2
201109,51,0
201110,23,0
201111,44,5
201112,15,0
201201,79,2
201202,57,15
201203,154,43
201204,206,6
201205,121,0
201206,111,4
201207,37,0
201208,38,0
201209,38,0
201210,37,0
201211,7,0
201212,53,0
201301,75,1
201302,39,1
201303,18,0
201304,86,1
201305,267,41
201306,124,1
201307,72,0
201308,45,0
201309,21,0
201310,61,0
201311,80,8
201312,18,2
201401,4,0
201402,42,0
201403,20,0
201404,129,35
201405,130,0
201406,286,2
201407,85,4
201408,33,0
201409,41,0
201410,73,1
201411,23,0
201412,20,5
201501,28,0
201502,3,0
201503,11,1
201504,171,2
201505,381,7
201506,184,0
201507,115,0
201508,45,0
201509,17,0
201510,40,0
201511,99,0
201512,83,26
201601,17,2
201602,103,7
201603,85,0
201604,142,1
201605,217,2
201606,86,0
201607,108,0
201608,90,0
201609,39,0
201610,20,0
201611,50,6
201612,19,0
201701,137,20
201702,69,5
201703,192,0
201704,214,8
201705,291,2
201706,146,0
201707,81,0
201708,119,0
201709,51,0
201710,75,0
201711,42,0
201712,12,0
201801,15,0
201802,48,2
201803,55,0
201804,130,1
201805,170,1
201806,155,0
201807,92,1
201808,81,0
201809,108,1
201810,123,0
201811,83,3
201812,66,1
201901,22,0
201902,27,1
201903,107,23
201904,272,7
201905,510,7
201906,177,0
201907,101,0
201908,78,0
201909,85,0
201910,65,0
201911,16,1
201912,57,3
202001,86*,7
202002,42*,1
202003,83*,25
202004,271*,38
202005,126*,1
202006,90*,0
202007,99*,1
202008,182*,3
202009,38*,0
202010,19*,0
202011,21*,0
202012,18*,0
202101,16*,1
202102,11*,3
202103,191*,7
202104,73*,1
202105,289*,0
202106,110*,0
202107,150*,0
202108,132*,0
202109,31*,1
202110,146*,1
202111,25*,0
202112,202*,87
