NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,county
"Dallas County, Arkansas",7432.0,,-555555555.0,*****,05,039
"Desha County, Arkansas",11887.0,,-555555555.0,*****,05,041
"Drew County, Arkansas",18502.0,,-555555555.0,*****,05,043
"Faulkner County, Arkansas",122416.0,,-555555555.0,*****,05,045
"Franklin County, Arkansas",17780.0,,-555555555.0,*****,05,047
"Fulton County, Arkansas",12139.0,,-555555555.0,*****,05,049
"Garland County, Arkansas",98296.0,,-555555555.0,*****,05,051
"Grant County, Arkansas",18086.0,,-555555555.0,*****,05,053
"Greene County, Arkansas",44623.0,,-555555555.0,*****,05,055
"Hempstead County, Arkansas",22018.0,,-555555555.0,*****,05,057
"Hot Spring County, Arkansas",33520.0,,-555555555.0,*****,05,059
"Howard County, Arkansas",13389.0,,-555555555.0,*****,05,061
"Independence County, Arkansas",37264.0,,-555555555.0,*****,05,063
"Izard County, Arkansas",13559.0,,-555555555.0,*****,05,065
"Jackson County, Arkansas",17225.0,,-555555555.0,*****,05,067
"Jefferson County, Arkansas",70424.0,,-555555555.0,*****,05,069
"Johnson County, Arkansas",26291.0,,-555555555.0,*****,05,071
"Lafayette County, Arkansas",6915.0,,-555555555.0,*****,05,073
"Lawrence County, Arkansas",16669.0,,-555555555.0,*****,05,075
"Lee County, Arkansas",9398.0,,-555555555.0,*****,05,077
"Lincoln County, Arkansas",13695.0,,-555555555.0,*****,05,079
"Little River County, Arkansas",12417.0,,-555555555.0,*****,05,081
"Logan County, Arkansas",21757.0,,-555555555.0,*****,05,083
"Lonoke County, Arkansas",72206.0,,-555555555.0,*****,05,085
"Madison County, Arkansas",16076.0,,-555555555.0,*****,05,087
"Marion County, Arkansas",16438.0,,-555555555.0,*****,05,089
"Miller County, Arkansas",43759.0,,-555555555.0,*****,05,091
"Mississippi County, Arkansas",42831.0,,-555555555.0,*****,05,093
"Monroe County, Arkansas",7249.0,,-555555555.0,*****,05,095
"Montgomery County, Arkansas",8993.0,,-555555555.0,*****,05,097
"Nevada County, Arkansas",8440.0,,-555555555.0,*****,05,099
"Newton County, Arkansas",7848.0,,-555555555.0,*****,05,101
"Ouachita County, Arkansas",24106.0,,-555555555.0,*****,05,103
"Perry County, Arkansas",10322.0,,-555555555.0,*****,05,105
"Phillips County, Arkansas",19034.0,,-555555555.0,*****,05,107
"Pike County, Arkansas",10808.0,,-555555555.0,*****,05,109
"Poinsett County, Arkansas",24054.0,,-555555555.0,*****,05,111
"Polk County, Arkansas",20163.0,,-555555555.0,*****,05,113
"Pope County, Arkansas",63644.0,,-555555555.0,*****,05,115
"Prairie County, Arkansas",8244.0,,-555555555.0,*****,05,117
"Pulaski County, Arkansas",393463.0,,-555555555.0,*****,05,119
"Randolph County, Arkansas",17603.0,,-555555555.0,*****,05,121
"St. Francis County, Arkansas",26294.0,,-555555555.0,*****,05,123
"Saline County, Arkansas",118009.0,,-555555555.0,*****,05,125
"Scott County, Arkansas",10442.0,,-555555555.0,*****,05,127
"Searcy County, Arkansas",7923.0,,-555555555.0,*****,05,129
"Sebastian County, Arkansas",127461.0,,-555555555.0,*****,05,131
"Sevier County, Arkansas",17193.0,,-555555555.0,*****,05,133
"Sharp County, Arkansas",17043.0,,-555555555.0,*****,05,135
"Stone County, Arkansas",12446.0,,-555555555.0,*****,05,137
"Union County, Arkansas",39732.0,,-555555555.0,*****,05,139
"Van Buren County, Arkansas",16684.0,,-555555555.0,*****,05,141
"Washington County, Arkansas",228529.0,,-555555555.0,*****,05,143
"White County, Arkansas",78804.0,,-555555555.0,*****,05,145
"Woodruff County, Arkansas",6660.0,,-555555555.0,*****,05,147
"Yell County, Arkansas",21573.0,,-555555555.0,*****,05,149
"Alameda County, California",1643700.0,,-555555555.0,*****,06,001
"Amador County, California",37829.0,,-555555555.0,*****,06,005
"Butte County, California",227075.0,,-555555555.0,*****,06,007
"Calaveras County, California",45235.0,,-555555555.0,*****,06,009
"Colusa County, California",21464.0,,-555555555.0,*****,06,011
"Contra Costa County, California",1133247.0,,-555555555.0,*****,06,013
"Del Norte County, California",27424.0,,-555555555.0,*****,06,015
"El Dorado County, California",186661.0,,-555555555.0,*****,06,017
"Fresno County, California",978130.0,,-555555555.0,*****,06,019
"Glenn County, California",27897.0,,-555555555.0,*****,06,021
"Humboldt County, California",135768.0,,-555555555.0,*****,06,023
"Imperial County, California",180216.0,,-555555555.0,*****,06,025
"Inyo County, California",18085.0,,-555555555.0,*****,06,027
"Kern County, California",883053.0,,-555555555.0,*****,06,029
"Kings County, California",150075.0,,-555555555.0,*****,06,031
"Lake County, California",64148.0,,-555555555.0,*****,06,033
"Lassen County, California",31185.0,,-555555555.0,*****,06,035
"Los Angeles County, California",10098052.0,,-555555555.0,*****,06,037
"Madera County, California",155013.0,,-555555555.0,*****,06,039
"Marin County, California",260295.0,,-555555555.0,*****,06,041
"Mariposa County, California",17540.0,,-555555555.0,*****,06,043
"Mendocino County, California",87422.0,,-555555555.0,*****,06,045
"Merced County, California",269075.0,,-555555555.0,*****,06,047
"Modoc County, California",8938.0,,-555555555.0,*****,06,049
"Mono County, California",14174.0,,-555555555.0,*****,06,051
"Monterey County, California",433212.0,,-555555555.0,*****,06,053
"Napa County, California",140530.0,,-555555555.0,*****,06,055
"Nevada County, California",99092.0,,-555555555.0,*****,06,057
"Orange County, California",3164182.0,,-555555555.0,*****,06,059
"Placer County, California",380077.0,,-555555555.0,*****,06,061
"Plumas County, California",18699.0,,-555555555.0,*****,06,063
"Riverside County, California",2383286.0,,-555555555.0,*****,06,065
"Sacramento County, California",1510023.0,,-555555555.0,*****,06,067
"San Benito County, California",59416.0,,-555555555.0,*****,06,069
"San Bernardino County, California",2135413.0,,-555555555.0,*****,06,071
"San Diego County, California",3302833.0,,-555555555.0,*****,06,073
"San Francisco County, California",870044.0,,-555555555.0,*****,06,075
"San Joaquin County, California",732212.0,,-555555555.0,*****,06,077
"San Luis Obispo County, California",281455.0,,-555555555.0,*****,06,079
"San Mateo County, California",765935.0,,-555555555.0,*****,06,081
"Santa Barbara County, California",443738.0,,-555555555.0,*****,06,083
"Santa Clara County, California",1922200.0,,-555555555.0,*****,06,085
"Santa Cruz County, California",273765.0,,-555555555.0,*****,06,087
"Shasta County, California",179085.0,,-555555555.0,*****,06,089
"Siskiyou County, California",43540.0,,-555555555.0,*****,06,093
"Solano County, California",438530.0,,-555555555.0,*****,06,095
"Sonoma County, California",501317.0,,-555555555.0,*****,06,097
"Stanislaus County, California",539301.0,,-555555555.0,*****,06,099
"Sutter County, California",95872.0,,-555555555.0,*****,06,101
"Tehama County, California",63373.0,,-555555555.0,*****,06,103
"Trinity County, California",12862.0,,-555555555.0,*****,06,105
"Tulare County, California",460477.0,,-555555555.0,*****,06,107
"Tuolumne County, California",53932.0,,-555555555.0,*****,06,109
"Ventura County, California",848112.0,,-555555555.0,*****,06,111
"Yolo County, California",214977.0,,-555555555.0,*****,06,113
"Yuba County, California",75493.0,,-555555555.0,*****,06,115
"Adams County, Colorado",497115.0,,-555555555.0,*****,08,001
"Alamosa County, Colorado",16444.0,,-555555555.0,*****,08,003
"Arapahoe County, Colorado",636671.0,,-555555555.0,*****,08,005
"Archuleta County, Colorado",12908.0,,-555555555.0,*****,08,007
"Baca County, Colorado",3563.0,,-555555555.0,*****,08,009
"Bent County, Colorado",5809.0,,-555555555.0,*****,08,011
"Boulder County, Colorado",321030.0,,-555555555.0,*****,08,013
"Broomfield County, Colorado",66120.0,,-555555555.0,*****,08,014
"Chaffee County, Colorado",19164.0,,-555555555.0,*****,08,015
"Clear Creek County, Colorado",9379.0,,-555555555.0,*****,08,019
"Conejos County, Colorado",8142.0,,-555555555.0,*****,08,021
"Costilla County, Colorado",3687.0,,-555555555.0,*****,08,023
"Crowley County, Colorado",5630.0,,-555555555.0,*****,08,025
"Custer County, Colorado",4640.0,,-555555555.0,*****,08,027
"Delta County, Colorado",30346.0,,-555555555.0,*****,08,029
"Denver County, Colorado",693417.0,,-555555555.0,*****,08,031
"Douglas County, Colorado",328614.0,,-555555555.0,*****,08,035
"Eagle County, Colorado",54357.0,,-555555555.0,*****,08,037
"Elbert County, Colorado",25162.0,,-555555555.0,*****,08,039
"El Paso County, Colorado",688153.0,,-555555555.0,*****,08,041
"Fremont County, Colorado",47002.0,,-555555555.0,*****,08,043
"Garfield County, Colorado",58538.0,,-555555555.0,*****,08,045
"Gilpin County, Colorado",5924.0,,-555555555.0,*****,08,047
"Grand County, Colorado",15066.0,,-555555555.0,*****,08,049
"Gunnison County, Colorado",16537.0,,-555555555.0,*****,08,051
"Huerfano County, Colorado",6583.0,,-555555555.0,*****,08,055
"Jefferson County, Colorado",570427.0,,-555555555.0,*****,08,059
"Kit Carson County, Colorado",7635.0,,-555555555.0,*****,08,063
"Lake County, Colorado",7585.0,,-555555555.0,*****,08,065
"La Plata County, Colorado",55101.0,,-555555555.0,*****,08,067
"Larimer County, Colorado",338161.0,,-555555555.0,*****,08,069
"Las Animas County, Colorado",14179.0,,-555555555.0,*****,08,071
"Lincoln County, Colorado",5548.0,,-555555555.0,*****,08,073
"Logan County, Colorado",21689.0,,-555555555.0,*****,08,075
"Mesa County, Colorado",149998.0,,-555555555.0,*****,08,077
"Moffat County, Colorado",13060.0,,-555555555.0,*****,08,081
"Montezuma County, Colorado",25909.0,,-555555555.0,*****,08,083
"Montrose County, Colorado",41268.0,,-555555555.0,*****,08,085
"Morgan County, Colorado",28257.0,,-555555555.0,*****,08,087
"Otero County, Colorado",18325.0,,-555555555.0,*****,08,089
"Ouray County, Colorado",4722.0,,-555555555.0,*****,08,091
"Park County, Colorado",17392.0,,-555555555.0,*****,08,093
"Phillips County, Colorado",4318.0,,-555555555.0,*****,08,095
"Pitkin County, Colorado",17909.0,,-555555555.0,*****,08,097
"Prowers County, Colorado",12052.0,,-555555555.0,*****,08,099
"Pueblo County, Colorado",164685.0,,-555555555.0,*****,08,101
"Rio Blanco County, Colorado",6465.0,,-555555555.0,*****,08,103
"Rio Grande County, Colorado",11351.0,,-555555555.0,*****,08,105
"Routt County, Colorado",24874.0,,-555555555.0,*****,08,107
"Saguache County, Colorado",6468.0,,-555555555.0,*****,08,109
"San Miguel County, Colorado",7968.0,,-555555555.0,*****,08,113
"Sedgwick County, Colorado",2350.0,,-555555555.0,*****,08,115
"Summit County, Colorado",30429.0,,-555555555.0,*****,08,117
"Teller County, Colorado",24113.0,,-555555555.0,*****,08,119
"Washington County, Colorado",4840.0,,-555555555.0,*****,08,121
"Weld County, Colorado",295123.0,,-555555555.0,*****,08,123
"Yuma County, Colorado",10069.0,,-555555555.0,*****,08,125
"Fairfield County, Connecticut",944348.0,,-555555555.0,*****,09,001
"Hartford County, Connecticut",894730.0,,-555555555.0,*****,09,003
"Litchfield County, Connecticut",183031.0,,-555555555.0,*****,09,005
"Middlesex County, Connecticut",163368.0,,-555555555.0,*****,09,007
"New Haven County, Connecticut",859339.0,,-555555555.0,*****,09,009
"New London County, Connecticut",268881.0,,-555555555.0,*****,09,011
"Tolland County, Connecticut",151269.0,,-555555555.0,*****,09,013
"Windham County, Connecticut",116538.0,,-555555555.0,*****,09,015
"Kent County, Delaware",174822.0,,-555555555.0,*****,10,001
"New Castle County, Delaware",555133.0,,-555555555.0,*****,10,003
"Sussex County, Delaware",219540.0,,-555555555.0,*****,10,005
"District of Columbia, District of Columbia",684498.0,,-555555555.0,*****,11,001
"Alachua County, Florida",263148.0,,-555555555.0,*****,12,001
"Baker County, Florida",27785.0,,-555555555.0,*****,12,003
"Bay County, Florida",182482.0,,-555555555.0,*****,12,005
"Bradford County, Florida",26979.0,,-555555555.0,*****,12,007
"Brevard County, Florida",576808.0,,-555555555.0,*****,12,009
"Broward County, Florida",1909151.0,,-555555555.0,*****,12,011
"Calhoun County, Florida",14444.0,,-555555555.0,*****,12,013
"Charlotte County, Florida",176954.0,,-555555555.0,*****,12,015
"Citrus County, Florida",143087.0,,-555555555.0,*****,12,017
"Clay County, Florida",207291.0,,-555555555.0,*****,12,019
"Collier County, Florida",363922.0,,-555555555.0,*****,12,021
"Columbia County, Florida",69105.0,,-555555555.0,*****,12,023
"DeSoto County, Florida",36399.0,,-555555555.0,*****,12,027
"Dixie County, Florida",16437.0,,-555555555.0,*****,12,029
"Duval County, Florida",924229.0,,-555555555.0,*****,12,031
"Escambia County, Florida",311522.0,,-555555555.0,*****,12,033
"Flagler County, Florida",107139.0,,-555555555.0,*****,12,035
"Franklin County, Florida",11736.0,,-555555555.0,*****,12,037
"Gadsden County, Florida",46017.0,,-555555555.0,*****,12,039
"Gilchrist County, Florida",17615.0,,-555555555.0,*****,12,041
"Glades County, Florida",13363.0,,-555555555.0,*****,12,043
"Gulf County, Florida",16055.0,,-555555555.0,*****,12,045
"Hamilton County, Florida",14269.0,,-555555555.0,*****,12,047
"Hardee County, Florida",27228.0,,-555555555.0,*****,12,049
"Hendry County, Florida",40127.0,,-555555555.0,*****,12,051
"Hernando County, Florida",182696.0,,-555555555.0,*****,12,053
"Highlands County, Florida",102101.0,,-555555555.0,*****,12,055
"Hillsborough County, Florida",1378883.0,,-555555555.0,*****,12,057
"Holmes County, Florida",19430.0,,-555555555.0,*****,12,059
"Indian River County, Florida",150984.0,,-555555555.0,*****,12,061
"Jackson County, Florida",48472.0,,-555555555.0,*****,12,063
"Jefferson County, Florida",14105.0,,-555555555.0,*****,12,065
"Lafayette County, Florida",8744.0,,-555555555.0,*****,12,067
"Lake County, Florida",335362.0,,-555555555.0,*****,12,069
"Lee County, Florida",718679.0,,-555555555.0,*****,12,071
"Leon County, Florida",288102.0,,-555555555.0,*****,12,073
"Levy County, Florida",39961.0,,-555555555.0,*****,12,075
"Liberty County, Florida",8365.0,,-555555555.0,*****,12,077
"Madison County, Florida",18474.0,,-555555555.0,*****,12,079
"Manatee County, Florida",373853.0,,-555555555.0,*****,12,081
"Marion County, Florida",348371.0,,-555555555.0,*****,12,083
"Martin County, Florida",157581.0,,-555555555.0,*****,12,085
"Miami-Dade County, Florida",2715516.0,,-555555555.0,*****,12,086
"Monroe County, Florida",76325.0,,-555555555.0,*****,12,087
"Nassau County, Florida",80578.0,,-555555555.0,*****,12,089
"Okaloosa County, Florida",200737.0,,-555555555.0,*****,12,091
"Okeechobee County, Florida",40572.0,,-555555555.0,*****,12,093
"Orange County, Florida",1321194.0,,-555555555.0,*****,12,095
"Osceola County, Florida",338619.0,,-555555555.0,*****,12,097
"Palm Beach County, Florida",1446277.0,,-555555555.0,*****,12,099
"Pasco County, Florida",510593.0,,-555555555.0,*****,12,101
"Pinellas County, Florida",957875.0,,-555555555.0,*****,12,103
"Polk County, Florida",668671.0,,-555555555.0,*****,12,105
"Putnam County, Florida",72766.0,,-555555555.0,*****,12,107
"St. Johns County, Florida",235503.0,,-555555555.0,*****,12,109
"St. Lucie County, Florida",305591.0,,-555555555.0,*****,12,111
"Santa Rosa County, Florida",170442.0,,-555555555.0,*****,12,113
"Sarasota County, Florida",412144.0,,-555555555.0,*****,12,115
"Seminole County, Florida",455086.0,,-555555555.0,*****,12,117
"Sumter County, Florida",120999.0,,-555555555.0,*****,12,119
"Suwannee County, Florida",43924.0,,-555555555.0,*****,12,121
"Taylor County, Florida",22098.0,,-555555555.0,*****,12,123
"Union County, Florida",15239.0,,-555555555.0,*****,12,125
"Volusia County, Florida",527634.0,,-555555555.0,*****,12,127
"Wakulla County, Florida",31877.0,,-555555555.0,*****,12,129
"Walton County, Florida",65858.0,,-555555555.0,*****,12,131
"Washington County, Florida",24566.0,,-555555555.0,*****,12,133
"Appling County, Georgia",18454.0,,-555555555.0,*****,13,001
"Atkinson County, Georgia",8265.0,,-555555555.0,*****,13,003
"Bacon County, Georgia",11228.0,,-555555555.0,*****,13,005
"Baker County, Georgia",3189.0,,-555555555.0,*****,13,007
"Baldwin County, Georgia",45286.0,,-555555555.0,*****,13,009
"Banks County, Georgia",18510.0,,-555555555.0,*****,13,011
"Barrow County, Georgia",76887.0,,-555555555.0,*****,13,013
"Bartow County, Georgia",103620.0,,-555555555.0,*****,13,015
"Ben Hill County, Georgia",17154.0,,-555555555.0,*****,13,017
"Berrien County, Georgia",19025.0,,-555555555.0,*****,13,019
"Bibb County, Georgia",153490.0,,-555555555.0,*****,13,021
"Bleckley County, Georgia",12775.0,,-555555555.0,*****,13,023
"Brantley County, Georgia",18561.0,,-555555555.0,*****,13,025
"Brooks County, Georgia",15622.0,,-555555555.0,*****,13,027
"Bryan County, Georgia",35885.0,,-555555555.0,*****,13,029
"Bulloch County, Georgia",74782.0,,-555555555.0,*****,13,031
"Burke County, Georgia",22550.0,,-555555555.0,*****,13,033
"Butts County, Georgia",23750.0,,-555555555.0,*****,13,035
"Calhoun County, Georgia",6428.0,,-555555555.0,*****,13,037
"Camden County, Georgia",52714.0,,-555555555.0,*****,13,039
"Candler County, Georgia",10827.0,,-555555555.0,*****,13,043
"Carroll County, Georgia",116022.0,,-555555555.0,*****,13,045
"Catoosa County, Georgia",66299.0,,-555555555.0,*****,13,047
"Charlton County, Georgia",12983.0,,-555555555.0,*****,13,049
"Chatham County, Georgia",287049.0,,-555555555.0,*****,13,051
"Chattahoochee County, Georgia",10767.0,,-555555555.0,*****,13,053
"Chattooga County, Georgia",24817.0,,-555555555.0,*****,13,055
"Cherokee County, Georgia",241910.0,,-555555555.0,*****,13,057
"Clarke County, Georgia",124602.0,,-555555555.0,*****,13,059
"Clay County, Georgia",3001.0,,-555555555.0,*****,13,061
"Clayton County, Georgia",278666.0,,-555555555.0,*****,13,063
"Clinch County, Georgia",6743.0,,-555555555.0,*****,13,065
"Cobb County, Georgia",745057.0,,-555555555.0,*****,13,067
"Coffee County, Georgia",42961.0,,-555555555.0,*****,13,069
"Colquitt County, Georgia",45606.0,,-555555555.0,*****,13,071
"Columbia County, Georgia",147295.0,,-555555555.0,*****,13,073
"Cook County, Georgia",17184.0,,-555555555.0,*****,13,075
"Coweta County, Georgia",140516.0,,-555555555.0,*****,13,077
"Crawford County, Georgia",12344.0,,-555555555.0,*****,13,079
"Crisp County, Georgia",22846.0,,-555555555.0,*****,13,081
"Dade County, Georgia",16227.0,,-555555555.0,*****,13,083
"Dawson County, Georgia",23861.0,,-555555555.0,*****,13,085
"Decatur County, Georgia",26833.0,,-555555555.0,*****,13,087
"DeKalb County, Georgia",743187.0,,-555555555.0,*****,13,089
"Dodge County, Georgia",20919.0,,-555555555.0,*****,13,091
"Dooly County, Georgia",13905.0,,-555555555.0,*****,13,093
"Dougherty County, Georgia",91049.0,,-555555555.0,*****,13,095
"Douglas County, Georgia",141840.0,,-555555555.0,*****,13,097
"Early County, Georgia",10348.0,,-555555555.0,*****,13,099
"Echols County, Georgia",3994.0,,-555555555.0,*****,13,101
"Effingham County, Georgia",58689.0,,-555555555.0,*****,13,103
"Elbert County, Georgia",19212.0,,-555555555.0,*****,13,105
"Emanuel County, Georgia",22499.0,,-555555555.0,*****,13,107
"Evans County, Georgia",10727.0,,-555555555.0,*****,13,109
"Fannin County, Georgia",24925.0,,-555555555.0,*****,13,111
"Fayette County, Georgia",111369.0,,-555555555.0,*****,13,113
"Floyd County, Georgia",96824.0,,-555555555.0,*****,13,115
"Forsyth County, Georgia",219880.0,,-555555555.0,*****,13,117
"Franklin County, Georgia",22514.0,,-555555555.0,*****,13,119
"Fulton County, Georgia",1021902.0,,-555555555.0,*****,13,121
