date,date_entered_updated,launch_timeutc,missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,test_outcome,additional_information,source(s),distance_miles,apogee_miles,geometry
2022-01-14,2022-02-22,05:52:00,Rail-mobile KN-23,SRBM,Uiju,"Uiju County, North Pyongan Province",40.025847,124.577936,Sea of Japan or East Sea,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220114007056325?section=national/defense
https://twitter.com/joshjonsmith/status/1482099636165038080
https://twitter.com/JosephHDempsey/status/1481973693496664067",267.0,22.0,POINT (124.577936 40.025847)
2022-01-10,2022-02-22,22:27:00,Hwasong-8 MARV,MRBM,Mupyong-ni Arms Plant,"Mup'yong-ni, Chagang province",40.611208,126.425743,Sea of Japan or East Sea,Success,"The second test of the MaRV-equipped Hwasong-8. The South Korean Joint Chiefs of Staff and Japanese Ministry of Defense stated that the missile travelled approximately 700km , assuming a ballistic trajectory. North Korea stated the missile flew 1000 km and conducted a 240 km ""corkscrew"" maneuver. This missile's initial trajectory alarmed North American Aerospace Defense Command (NORAD), resulting in a 15 minute ground stop of aircraft on the US west coast.","https://en.yna.co.kr/view/AEN20220111001057325
https://www.mod.go.jp/j/press/news/2022/01/11b.html
https://twitter.com/JosephHDempsey/status/1481042465037688840
https://www.cnn.com/2022/01/13/politics/north-korean-missile-faa-grounded-planes/index.html",622.0,37.0,POINT (126.425743 40.611208)
2022-01-05,2022-02-22,23:10:00,Hwasong-8 MARV,MRBM,Mupyong-ni Arms Plant,"Mup'yong-ni, Chagang province",40.611208,126.425743,Sea of Japan or East Sea,Success,"North Korea's first missile test of 2022. The missile appeared to be a new variant of the Hwasong-8, this time with a maneuvering re-entry vehicle (MaRV) rather than a hypersonic glide vehicle. The Japanese Ministry of Defense stated that the missile travelled approximately 500 km, assuming it followed a normal ballistic trajectory. The North Korean government stated that the re-entry vehicle travelled 700 km, including a 120 km lateral maneuver.","https://en.yna.co.kr/view/AEN20220105001855325?section=national/defense
https://www.reuters.com/world/asia-pacific/nkorea-says-launch-wednesday-was-hypersonic-missile-yonhap-2022-01-05/
mod.go.jp/j/press/news/2022/01/05b.html",435.0,19.0,POINT (126.425743 40.611208)
2021-10-19,2021-11-01,01:17:00,Navalized KN-23,SLBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,Sea of Japan or East Sea,Success,"On October 19, 2021, North Korea conducted its first SLBM test in over two years. This new missile, which appears to be a modified KN-23, was revelaed at a major defense exhibition in Pyongyang the previous week. The missile reached an altitude 60 km and travelled 590 km. The missile was launched from the Gorae-class submarine used in previous SLBM tests.",https://en.yna.co.kr/view/AEN20211019002958325?section=nk/nk,367.0,37.0,POINT (128.1839 40.0368)
2021-09-27,2021-10-05,21:40:00,Hwasong-8,HGV,Mupyong-ni Arms Plant,"Mup'yong-ni, Chagang province",40.611208,126.425743,Sea of Japan or East Sea,Success,"Less than two weeks after the rail-mobile missile launch, North Korea tested a new missile which it calls the Hwasong-8. The missile's payload was claimed to be a hypersonic glide vehicle, mounted on top of what appeared to be a modified Hwasong-12 missile. According to the South Korean Joint Cheifs of Staff, the missile was launched at 9:40PM UTC, reaching an altitude of 60 km and travelling 200 km. It is possible that the 200 km range is for the booster only, and the HGV travelled further, but was not observed by radar. Yonhap noted the trajectory was ""unique."" This is the first appearance of the Hwasong-8, although Kim Jong-un hinted at the existence of an HGV in January 2021.","https://m-en.yna.co.kr/view/AEN20210928000455325?section=nk/nk
https://www.bbc.com/news/world-asia-58729701",124.0,37.0,POINT (126.425743 40.611208)
2021-09-15,2021-10-05,03:39:00,Rail-mobile KN-23,SRBM,Yangdok,"Yangdok, South Pyongan Province",39.275721,126.804867,Sea of Japan or East Sea,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20210915005652325?section=nk/nk
https://www.reuters.com/business/aerospace-defense/skorea-successfully-tests-submarine-launched-ballistic-missile-blue-house-2021-09-15/
https://www.reuters.com/world/asia-pacific/nkorea-launches-were-test-new-railway-borne-missile-system-kcna-2021-09-15/",497.0,37.0,POINT (126.804867 39.275721)
2021-09-15,2021-10-05,03:34:00,Rail-mobile KN-23,SRBM,Yangdok,"Yangdok, South Pyongan Province",39.275721,126.804867,Sea of Japan or East Sea,Success,"On September 15,  North Korea launched two KN-23-type SRBMs from a train in Yangdok county. According to the South Korean Joint Cheifs of Staff, the missiles were launched at 3:34 and 3:39 UTC, reaching an altitude of 60 km and a range of 800 km. Several hours later, South Korea tested a submarine-launched ballistic missile.  (1 of 2)","https://en.yna.co.kr/view/AEN20210915005652325?section=nk/nk
https://www.reuters.com/business/aerospace-defense/skorea-successfully-tests-submarine-launched-ballistic-missile-blue-house-2021-09-15/
https://www.reuters.com/world/asia-pacific/nkorea-launches-were-test-new-railway-borne-missile-system-kcna-2021-09-15/",497.0,37.0,POINT (126.804867 39.275721)
2021-03-24,2021-03-26,22:23:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Yonpo Airport,"Hamhung, South Hamgyong Province",39.78938,127.53993,Sea of Japan or East Sea,Success,2 of 2 tests,"https://kcnawatch.org/newstream/1616706026-838802969/new-type-tactical-guided-missiles-test-fired/
https://english.kyodonews.net/news/2021/03/fad86f1e5176-breaking-news-n-korea-may-have-fired-ballistic-missile-japan-govt.html
https://en.yna.co.kr/view/AEN20210325000656325?section=nk/nk
Joseph Dempsey",280.0,37.0,POINT (127.53993 39.78938)
2021-03-24,2021-03-26,22:04:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Sondok Airbase,"Sondok, South Hamgyong Province",39.7437,127.4732,Sea of Japan or East Sea,Success,"On March 24, 2021, North Korea conducted its first ballistic missile test in nearly a year. The Japanese government initially announced detection of the tests, stating that two missiles were launched at 10:04 and 10:23 PM UTC, reaching an apogee of 60 km and a range of 450 km. According to the South Korean government, the launches occured at 10:06 and 10:25. The official North Korean announcement on March 25 claimed that the missiles had in fact flown 600 km. The missiles may have conducted a pitch-up maneuver, similar to the KN-23, however, no independent confrimation is available of a 600 km flight. (1 of 2)","https://kcnawatch.org/newstream/1616706026-838802969/new-type-tactical-guided-missiles-test-fired/
https://english.kyodonews.net/news/2021/03/fad86f1e5176-breaking-news-n-korea-may-have-fired-ballistic-missile-japan-govt.html
https://en.yna.co.kr/view/AEN20210325000656325?section=nk/nk
Joseph Dempsey",280.0,37.0,POINT (127.4732 39.7437)
2020-03-28,2020-03-30,21:10:20,KN-25,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20200330000352325?section=nk/nk; https://m-en.yna.co.kr/view/AEN20200329000354325?section=nk/nk; https://www.bbc.com/news/world-asia-52087810,143.0,19.0,POINT (127.5369 39.40167)
2020-03-28,2020-03-30,21:10:00,KN-25,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,Sea of Japan or East Sea,Success,"This test marked the busiest month of missile testing in North Korean history. Slight variations in the missile and TEL suggest this may be a newly modified version of the KN-25. Pictures released following the test show them impacting the same small island in the East Sea, off the coast of North Korea. As with several other recent tests of the system, North Korea launched these missiles in a pair with only a 20 second interval between them. The test is believed to have been carried out in the Wonson area along the shoreline. An exact location has not yet been determined. Currently, this is placed at the Hodo Peninsula, an area which North Korea has frequently used for other missile tests. (1 of 2)",https://en.yna.co.kr/view/AEN20200330000352325?section=nk/nk; https://m-en.yna.co.kr/view/AEN20200329000354325?section=nk/nk; https://www.bbc.com/news/world-asia-52087810,143.0,19.0,POINT (127.5369 39.40167)
2020-03-20,2020-03-24,21:50:00,KN-24,SRBM,Sunchon,North Pyongan Province,39.79,124.91,Sea of Japan or East Sea,Success,2 of 2 tests,https://thediplomat.com/2020/03/north-korea-launches-2-short-range-ballistic-missiles/; https://en.yna.co.kr/view/AEN20200321000452325; https://twitter.com/GreatPoppo/status/1242404241026609152; https://twitter.com/JosephHDempsey/status/1241487923507273728; https://www.gov.uk/government/news/foreign-office-statement-following-north-korea-missile-tests-20-march-2020; https://en.yna.co.kr/view/AEN20200321000900325?section=search,255.0,31.0,POINT (124.91 39.79)
2020-03-20,2020-03-24,21:45:00,KN-24,SRBM,Sunchon,North Pyongan Province,39.79,124.91,Sea of Japan or East Sea,Success,"The test came in the midst of the global coronavirus pandemic. The exact location of the missile launches is not clear. Yonhap reported them as being launched from the North Pyongan province. Later reporting narrowed it to the Sunchon area. Online open source researchers speculated it may be approx 39°49'23.3""N 124°49'39.7""E, approx 5 km outside of Sunchon.(1 of 2)",https://thediplomat.com/2020/03/north-korea-launches-2-short-range-ballistic-missiles/; https://en.yna.co.kr/view/AEN20200321000452325; https://twitter.com/GreatPoppo/status/1242404241026609152; https://twitter.com/JosephHDempsey/status/1241487923507273728; https://www.gov.uk/government/news/foreign-office-statement-following-north-korea-missile-tests-20-march-2020; https://en.yna.co.kr/view/AEN20200321000900325?section=search,255.0,31.0,POINT (124.91 39.79)
2020-03-08,2020-03-10,22:37:20,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,Success,3 of 3 tests,https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,124.0,31.0,POINT (127.499 39.743)
2020-03-08,2020-03-10,22:36:20,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,Success,2 of 3 tests,https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,124.0,31.0,POINT (127.499 39.743)
2020-03-08,2020-03-10,22:36:00,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,Success,"The exact location of the test is unknown, it appears to be near the beach by Sondok Airport, the site of a previous test of the system. The test was accompanied by smaller MLRS launches, some of which may have been mistaken for KN-25 launches. The number and type of missiles launched is currently disputed with the ROK stating 3 missiles matching the KN-25 flight pattern were launched whereas the US stated as many as 5 were launched. Images appear to show at least two KN-25 missiles launched. This entry may be updated as new information is released. The missiles appear to have been aimed at a small island in the East Sea (potentially located at 40.646, 129.547) but it is not clear if these missiles or other projectiles impacted it. (1 of 3)",https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,124.0,31.0,POINT (127.499 39.743)
2020-03-02,2020-03-05,03:37:20,KN-25,SRBM,Sangum-ri,"Anbyon County, Kangwon Province (North Korea)",39.141,127.616,Sea of Japan or East Sea,Success,2 of 2 tests,https://www.wsj.com/articles/north-korea-fires-two-missiles-in-its-first-weapons-test-this-year-11583126221; https://apnews.com/95c86dab9fbc1f5cbb1848a53ffe344e?utm_medium=AP&utm_campaign=SocialFlow&utm_source=Twitter; https://www.nknews.org/pro/a-return-to-form-north-korea-kicks-off-its-2020-testing-campaign/?t=1583422381022; https://en.yna.co.kr/view/AEN20200302005254325?section=nk/nk; https://www.washingtonpost.com/world/asia_pacific/souths-military-north-korea-fires-unidentified-projectile/2020/03/01/a4a8b012-5c39-11ea-ac50-18701e14e06d_story.html,149.0,22.0,POINT (127.616 39.141)
2020-03-02,2020-03-05,03:37:00,KN-25,SRBM,Sangum-ri,"Anbyon County, Kangwon Province (North Korea)",39.141,127.616,Sea of Japan or East Sea,Success,"North Korea's first test of 2020. The test coincided with a large scale military exercise in the area. Images show the tests were overseen by Kim Jong Un. The two KN-25 missiles were reportedly launched within twenty seconds of each other. It is not clear if an additional KN-25 missile was also tested in addition to these. The tests also involved the launching of multiple, much shorter range missiles which are not included in this database. (1 of 2)",https://www.wsj.com/articles/north-korea-fires-two-missiles-in-its-first-weapons-test-this-year-11583126221; https://apnews.com/95c86dab9fbc1f5cbb1848a53ffe344e?utm_medium=AP&utm_campaign=SocialFlow&utm_source=Twitter; https://www.nknews.org/pro/a-return-to-form-north-korea-kicks-off-its-2020-testing-campaign/?t=1583422381022; https://en.yna.co.kr/view/AEN20200302005254325?section=nk/nk; https://www.washingtonpost.com/world/asia_pacific/souths-military-north-korea-fires-unidentified-projectile/2020/03/01/a4a8b012-5c39-11ea-ac50-18701e14e06d_story.html,149.0,22.0,POINT (127.616 39.141)
2019-11-28,2019-12-02,07:59:30,KN-25,SRBM,Yonpo Airport,"Hamhung, South Hamgyong Province",39.78938,127.53993,Sea of Japan or East Sea,Success,2 of 2 tests,https://www.reuters.com/article/us-northkorea-missiles-kim/north-koreas-thanksgiving-day-test-shows-improving-speed-for-missile-crews-idUSKBN1Y229Z; https://www.washingtonpost.com/world/asia-pacific/north-korea-launches-two-projectiles-in-thanksgiving-message-to-trump/2019/11/28/3cb203d4-11be-11ea-924c-b34d09bbc948_story.html; https://twitter.com/JosephHDempsey/status/1200375851667394561; https://twitter.com/dagyumji/status/1199992317702070273,236.0,60.0,POINT (127.53993 39.78938)
2019-11-28,2019-12-02,07:59:00,KN-25,SRBM,Yonpo Airport,"Hamhung, South Hamgyong Province",39.78938,127.53993,Sea of Japan or East Sea,Success,"North Korea launched two large-calibar MLRS rockets on Thanksgiving 2019. Noteably, the two missiles were launched within 30 seconds of each other, a step up from the three minutes on the Halloween test earlier in 2019. Phtographs later revelaed the location of the test to be Yonpo Airport. 1 of 2.",https://www.reuters.com/article/us-northkorea-missiles-kim/north-koreas-thanksgiving-day-test-shows-improving-speed-for-missile-crews-idUSKBN1Y229Z; https://www.washingtonpost.com/world/asia-pacific/north-korea-launches-two-projectiles-in-thanksgiving-message-to-trump/2019/11/28/3cb203d4-11be-11ea-924c-b34d09bbc948_story.html; https://twitter.com/JosephHDempsey/status/1200375851667394561; https://twitter.com/dagyumji/status/1199992317702070273,236.0,60.0,POINT (127.53993 39.78938)
2019-10-31,2019-11-04,07:35:00,KN-25,SRBM,Sunchon Airbase,South Pyongan Province,39.412594,125.89031,Sea of Japan or East Sea,Success,"It is not clear where this test took place. South Korea reported it as ""from areas in the city of Sunchon, South Pyongan Province"". There's an airbase in that area which could be the location given that North Korea has used them, and this one specifically, as launch sites in the past. If more precise location information becomes available this may be changed. Perhaps most notable about this test is how much North Korea appears to have downplayed it. Kim Jong Un was not reported to have attended the test as he has in the past and few photos were released (making it an especially challenging geolocation puzzle). Given the date of the test, the timing makes this the spookiest DPRK missile test to date. (1 of 2)",https://en.yna.co.kr/view/AEN20191031011453325; https://twitter.com/JosephHDempsey/status/1189872974477905922?s=20; https://www.nknews.org/2019/10/north-korean-media-hails-perfection-of-new-multiple-launch-rocket-system/;,230.0,56.0,POINT (125.89031 39.412594)
2019-10-31,2019-11-04,07:38:00,KN-25,SRBM,Sunchon Airbase,South Pyongan Province,39.412594,125.89031,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20191031011453325; https://twitter.com/JosephHDempsey/status/1189872974477905922?s=20; https://www.nknews.org/2019/10/north-korean-media-hails-perfection-of-new-multiple-launch-rocket-system/;,230.0,56.0,POINT (125.89031 39.412594)
2019-10-01,2019-10-04,22:00:00,Pukguksong-3,SLBM,Yonghung Bay,"Kangwon Province, (North Korea)",39.26,127.58,Sea of Japan or East Sea,Success,"Test of new SLBM. The missile appears to have been launched from an underwater barge. The exact location is not clear but it appears to have been launched off the coast of Wonsan, the site of many other missile tests. North Korea has carried out successful tests from submarines in the past and future tests of this system would likely involve using a submarine as the launch platform. The missile was launched on a lofted trajectory. David Wright estimates that if it been launched to maximize distance it likely could have flown for approx 1,900 km.",https://www.bbc.com/news/world-asia-49915224; https://www.apnews.com/d6a459d8c4774153ad71de95e9effea0; https://allthingsnuclear.org/dwright/north-koreas-latest-missile-test; https://www.washingtonpost.com/world/asia_pacific/north-korea-tests-ballistic-missile-in-show-of-strength-ahead-of-new-talks/2019/10/02/199a7488-e4de-11e9-b7da-053c79b03db8_story.html;,280.0,566.0,POINT (127.58 39.26)
2019-09-09,2019-09-11,,KN-25,SRBM,Kaechon Air Base,"Kaechon, South Pyongan Province",39.752321,125.899905,Sea of Japan or East Sea,Failure,3 of 3 tests,https://en.yna.co.kr/view/AEN20190910001055325?section=national/defense; https://twitter.com/DaveSchmerler/status/1171805482958409729; https://twitter.com/JosephHDempsey/status/1171550160247250944; https://www.cbsnews.com/news/north-korea-confirms-second-test-launch-multiple-rocket-launcher-says-kim-jong-un-observed/; https://www.cnn.com/2019/09/10/asia/north-korea-projectiles-launch/index.html; https://www.theguardian.com/world/2019/sep/10/north-korea-launches-two-projectiles-hours-after-nuclear-talks-offer;https://www.bloomberg.com/news/articles/2019-09-11/north-korea-s-kim-oversaw-test-of-super-large-missile-launcher;,,,POINT (125.899905 39.752321)
2019-09-09,2019-09-11,22:12:00,KN-25,SRBM,Kaechon Air Base,"Kaechon, South Pyongan Province",39.752321,125.899905,Sea of Japan or East Sea,Success,2 of 3 tests,https://en.yna.co.kr/view/AEN20190910001055325?section=national/defense; https://twitter.com/DaveSchmerler/status/1171805482958409729; https://twitter.com/JosephHDempsey/status/1171550160247250944; https://www.cbsnews.com/news/north-korea-confirms-second-test-launch-multiple-rocket-launcher-says-kim-jong-un-observed/; https://www.cnn.com/2019/09/10/asia/north-korea-projectiles-launch/index.html; https://www.theguardian.com/world/2019/sep/10/north-korea-launches-two-projectiles-hours-after-nuclear-talks-offer;https://www.bloomberg.com/news/articles/2019-09-11/north-korea-s-kim-oversaw-test-of-super-large-missile-launcher;,205.0,31.0,POINT (125.899905 39.752321)
2019-09-09,2019-09-11,21:53:00,KN-25,SRBM,Kaechon Air Base,"Kaechon, South Pyongan Province",39.752321,125.899905,Sea of Japan or East Sea,Success,"The test came only a few hours after North Korea stated it was willing to continue talks with the US and shortly before John Bolton found out on twitter he was fired. Reports from the ROK Joint Chiefs reported two missiles launched and tracked, images later released by DPRK state media however show evidence that it launched three missiles, suggesting one of the tests failed early in flight. As such, three entries are recorded for this test with the last being recorded as a failure. It is not clear exactly what time the failed launch took place. (1 of 3 tests)",https://en.yna.co.kr/view/AEN20190910001055325?section=national/defense; https://twitter.com/DaveSchmerler/status/1171805482958409729; https://twitter.com/JosephHDempsey/status/1171550160247250944; https://www.cbsnews.com/news/north-korea-confirms-second-test-launch-multiple-rocket-launcher-says-kim-jong-un-observed/; https://www.cnn.com/2019/09/10/asia/north-korea-projectiles-launch/index.html; https://www.theguardian.com/world/2019/sep/10/north-korea-launches-two-projectiles-hours-after-nuclear-talks-offer;https://www.bloomberg.com/news/articles/2019-09-11/north-korea-s-kim-oversaw-test-of-super-large-missile-launcher;,205.0,31.0,POINT (125.899905 39.752321)
2019-08-23,2019-09-11,22:02:00,KN-25,SRBM,Sondok Airbase,"Sondok, South Hamgyong Province",39.7437,127.4732,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20190824000453325?section=nk/nk; https://twitter.com/ArmsControlWonk/status/1165390446966661121; https://www.nytimes.com/2019/08/23/world/asia/north-korea-missile-tests-japan-south-korea.html; https://www.bbc.com/news/world-asia-49455689;,236.0,60.0,POINT (127.4732 39.7437)
2019-08-23,2019-09-11,21:45:00,KN-25,SRBM,Sondok Airbase,"Sondok, South Hamgyong Province",39.7437,127.4732,Sea of Japan or East Sea,Success,1 of 2 tests,https://en.yna.co.kr/view/AEN20190824000453325?section=nk/nk; https://twitter.com/ArmsControlWonk/status/1165390446966661121; https://www.nytimes.com/2019/08/23/world/asia/north-korea-missile-tests-japan-south-korea.html; https://www.bbc.com/news/world-asia-49455689;,236.0,60.0,POINT (127.4732 39.7437)
2019-08-15,2019-08-19,23:16:00,KN-24,SRBM,Tongchan,"Kangwon Province, (North Korea)",38.953797,127.891882,Sea of Japan or East Sea,Success,2 of 2 tests,https://m-en.yna.co.kr/view/AEN20190816001354325?section=national/defense; https://thediplomat.com/2019/08/north-korea-continues-2019-missile-test-flurry-with-new-short-range-missile-launches/; https://www.wsj.com/articles/north-koreas-missile-tests-fail-to-provoke-response-from-washington-11566039601;,143.0,19.0,POINT (127.891882 38.953797)
2019-08-15,2019-08-19,23:01:00,KN-24,SRBM,Tongchan,"Kangwon Province, (North Korea)",38.953797,127.891882,Sea of Japan or East Sea,Success,1 of 2 tests,https://m-en.yna.co.kr/view/AEN20190816001354325?section=national/defense; https://thediplomat.com/2019/08/north-korea-continues-2019-missile-test-flurry-with-new-short-range-missile-launches/; https://www.wsj.com/articles/north-koreas-missile-tests-fail-to-provoke-response-from-washington-11566039601;,143.0,19.0,POINT (127.891882 38.953797)
