date,date_entered_updated,launch_time_(utc),missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,apogee,distance_travelled,confirmation_status,test_outcome,additional_information,source(s),year,month,day,missle_type_desc
2022-09-28,2022-10-06,09:17:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Sunan,"Sunan District, Pyongyang",39.20299,125.70926,Sea of Japan or East Sea,50 km,300 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220928009057315
https://www.mod.go.jp/j/press/news/2022/09/28c.html
https://apnews.com/article/kamala-harris-seoul-south-korea-north-joint-chiefs-of-staff-d281b4dc04219c0d85713f3cf15cb7ba
https://twitter.com/ISNJH/status/1579499843856531456
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,9,Wednesday,Short-range
2022-09-24,2022-10-06,21:53:00,Navalized KN-23,SLBM,Taechon Reservoir,"Taechon, North Pyongan Province",39.9857,125.5186,Sea of Japan or East Sea,60 km,600 km,Confirmed,Success,"On 6:53 AM local time on 25 September 2022, North Korea launched one missile. According to the South Korean Joint Chiefs of Staff, the missile was launched from a location near Taechon, North Pyongan province, and travelled approximately 600 km, reaching an apogee of 60 km. The Japanese government stated the missile flew 400 km on an irregular trajectory, with an apogee of 50 km. The launch took place two days after the aircraft carrier USS Ronald Reagan arrived in Busan for exercises.

On October 9, North Korea issued a press release and photographs stating ""At dawn of September 25, a simulated launching drill of ballistic missile... was conducted at the underwater launching ground in a reservoir in the northwestern part of Korea."" North Korea further stated that ""The drill was aimed at confirming the order of taking tactical nuclear warheads out and transporting them and of managing them in a rapid and safe way at the time of operation, checking the reliability of the overall management system, making the units acquire launching capabilities of the ballistic missile at the underwater silos and inspecting their rapid response posture."" An analyst subsequently noted that in one of the pictures, Kim Jong-un appears to be standing on the Taechon dam.","https://en.yna.co.kr/view/AEN20220925000355325?section=nk/nk
https://www.mod.go.jp/j/press/kisha/2022/0926a.html
https://apnews.com/article/south-korea-north-ronald-reagan-government-and-politics-27b1aaea7df51e52d39e0465ea18d4dd""
https://twitter.com/nktpnd/status/1579228144283680769
https://twitter.com/ISNJH/status/1579274266021068800
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,9,Saturday,Submarine-launched
2022-04-16,2022-05-10,09:00:00,Unnamed small solid-propellant SRBM (2022),SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,25 km,110 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220417000452325?section=search
https://twitter.com/nktpnd/status/1515439983372521480?s=20&t=DlsakaPQnIlxMWFjMtD1rg
http://kcna.kp/kp/article/q/ef857f3a6a119b3cd07e76774404678c.kcmsf",2022,4,Saturday,Short-range
2022-04-16,2022-05-10,09:00:00,Unnamed small solid-propellant SRBM (2022),SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,25 km,110 km,Confirmed,Success,"On 16 April 2022, Kim Jon-Un oversaw a test of a """"New-type Tactical Guided Weapon."" Two missiles were launched at approximately 6:00 PM local time, and travelled 110 km downrange. The KCNA press release about the launch explicitly stated that the missile has a tactical nuclear role, and connected the system with the goals set forth at the 8th WPK Congress in January 2021.","https://en.yna.co.kr/view/AEN20220417000452325?section=search
https://twitter.com/nktpnd/status/1515439983372521480?s=20&t=DlsakaPQnIlxMWFjMtD1rg
http://kcna.kp/kp/article/q/ef857f3a6a119b3cd07e76774404678c.kcmsf",2022,4,Saturday,Short-range
2022-03-24,2022-03-24,05:34:00,Hwasong-17,ICBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,6248 km,1090 km,Confirmed,Success,"At 2:34 PM local time on March 24, 2022, North Korea conducted its first ICBM launch since 2017. The missile reached an apogee of over 6200 km, travelling nearly 1100 km downrange, with a flight time of nearly 71 minutes. North Korea's press release claimed the missile tested was the Hwasong-17, but analysts suspect the footage of the Hwasong-17 was actually from the failed March 16 launch, raising the possibility that the March 24 launch was a previously-tested ICBM. Yonhap noted that South Korea believes the March 24 test may have been a Hwasong-15. ","https://en.yna.co.kr/view/AEN20220324007454325?section=national/defense
https://twitter.com/GalloVOA/status/1507100219749515283?s=20&t=OWro8Z_goTH6WIRlmM6oUg
https://twitter.com/nktpnd/status/1507103483861864457?s=20&t=ZvAXFux3dYc6DqtlRC_T8Q
https://twitter.com/DaveSchmerler/status/1507105646755430410?s=20&t=ZvAXFux3dYc6DqtlRC_T8Q
https://www.nknews.org/pro/imagery-casts-doubt-over-north-koreas-hwasong-17-icbm-claims/
https://twitter.com/DuitsyWasHere/status/1507448468050112512",2022,3,Thursday,Intercontinental
2022-01-29,2022-02-22,23:52:00,Hwasong-12,IRBM,Mupyong-ni Arms Plant,"Mup'Yong-Ni, Chagang Province",40.611208,126.425743,Sea of Japan or East Sea,2000 km,800 km,Confirmed,Success,"North Korea finished its January missile tests by launching one Hwasong-12 IRBM at 7:52 AM January 30 (local time). This was the first Hwasong-12 test since September 2017. The trajectory, travelling 2000 km with a 800 km apogee, closely resembled the Hwasong-12 test of May 14, 2017. During January 2022, North Korea launched 9 ballistic missiles, equalling the previous record from March 2020.","https://en.yna.co.kr/view/AEN20220130000353325?section=nk/nk
https://www.mod.go.jp/j/press/news/2022/01/30b.html
https://twitter.com/DuitsyWasHere/status/1487614371303854087
https://twitter.com/ArmsControlWonk/status/1487598101225476096
https://twitter.com/JosephHDempsey/status/1487564026603261954?s=20&t=yqtpvyU3v0Ec-pTaXY-1-Q",2022,1,Saturday,Intermediate-range
2022-01-26,2022-02-22,23:06:00,KN-23,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,20 km,190 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220127001554325?section=nk/nk
https://twitter.com/nktpnd/status/1486826123522719748
https://twitter.com/JosephHDempsey/status/1486494673107668993",2022,1,Wednesday,Short-range
2022-01-26,2022-02-22,23:01:00,KN-23,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,20 km,190 km,Confirmed,Success,"North Korea conducted a test launch of two KN-23 missiles, fired at 8:00 AM and 8:05 AM January 27 (local time). The missiles flew on a deeply depressed trajectory, flying only approximately 190 km with a maximum apogee of 20 km. Due to atmospheric friction, the missiles glowed red hot as they impacted their target, Alsom island.","https://en.yna.co.kr/view/AEN20220127001554325?section=nk/nk
https://twitter.com/nktpnd/status/1486826123522719748
https://twitter.com/JosephHDempsey/status/1486494673107668993",2022,1,Wednesday,Short-range
2022-01-16,2022-02-22,23:54:00,KN-24,SRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,42 km,380 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220117001954325?section=nk/nk
https://twitter.com/JosephHDempsey/status/1483061011112509441",2022,1,Sunday,Short-range
2022-01-16,2022-02-22,23:50:00,KN-24,SRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,42 km,380 km,Confirmed,Success,"Less than 72 hours after the January 14 test, North Korea conducted another missile test. Two KN-24 missiles were fired from the Sunan area near Pyongyang at 8:50 AM and 8:54 AM January 17 (local time). The missiles travelled approximately 380 km and reached an apogee of 42 km.","https://en.yna.co.kr/view/AEN20220117001954325?section=nk/nk
https://twitter.com/JosephHDempsey/status/1483061011112509441",2022,1,Sunday,Short-range
2022-01-14,2022-02-22,05:52:00,Rail-mobile KN-23,SRBM,Uiju,"Uiju County, North Pyongan Province",40.025847,124.577936,Sea of Japan or East Sea,36 km,430 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220114007056325?section=national/defense
https://twitter.com/joshjonsmith/status/1482099636165038080
https://twitter.com/JosephHDempsey/status/1481973693496664067",2022,1,Friday,Short-range
2022-01-14,2022-02-22,05:41:00,Rail-mobile KN-23,SRBM,Uiju,"Uiju County, North Pyongan Province",40.025847,124.577936,Sea of Japan or East Sea,36 km,430 km,Confirmed,Success,"Described by North Korea as a ""drill for checking... the action procedures of the railway-bourne missile regiment of North Phyongan Province"". This was the second test of North Korea's rail-mobile KN-23 variant. Two missiles were fired, at 2:41 PM and 2:52 PM local time, travelling 430 km and reaching an apogee of 36 km.","https://en.yna.co.kr/view/AEN20220114007056325?section=national/defense
https://twitter.com/joshjonsmith/status/1482099636165038080
https://twitter.com/JosephHDempsey/status/1481973693496664067",2022,1,Friday,Short-range
2022-01-10,2022-02-22,22:27:00,Hwasong-8 MARV,MRBM,Mupyong-ni Arms Plant,"Mup'Yong-Ni, Chagang Province",40.611208,126.425743,Sea of Japan or East Sea,60 km,1000 km,Confirmed,Success,"The second test of the MaRV-equipped Hwasong-8. The South Korean Joint Chiefs of Staff and Japanese Ministry of Defense stated that the missile travelled approximately 700km , assuming a ballistic trajectory. North Korea stated the missile flew 1000 km and conducted a 240 km ""corkscrew"" maneuver. This missile's initial trajectory alarmed North American Aerospace Defense Command (NORAD), resulting in a 15 minute ground stop of aircraft on the US west coast.","https://en.yna.co.kr/view/AEN20220111001057325
https://www.mod.go.jp/j/press/news/2022/01/11b.html
https://twitter.com/JosephHDempsey/status/1481042465037688840
https://www.cnn.com/2022/01/13/politics/north-korean-missile-faa-grounded-planes/index.html",2022,1,Monday,Medium-range
2022-01-05,2022-02-22,23:10:00,Hwasong-8 MARV,MRBM,Mupyong-ni Arms Plant,"Mup'Yong-Ni, Chagang Province",40.611208,126.425743,Sea of Japan or East Sea,30 km,700 km,Confirmed,Success,"North Korea's first missile test of 2022. The missile appeared to be a new variant of the Hwasong-8, this time with a maneuvering re-entry vehicle (MaRV) rather than a hypersonic glide vehicle. The Japanese Ministry of Defense stated that the missile travelled approximately 500 km, assuming it followed a normal ballistic trajectory. The North Korean government stated that the re-entry vehicle travelled 700 km, including a 120 km lateral maneuver.","https://en.yna.co.kr/view/AEN20220105001855325?section=national/defense
https://www.reuters.com/world/asia-pacific/nkorea-says-launch-wednesday-was-hypersonic-missile-yonhap-2022-01-05/
mod.go.jp/j/press/news/2022/01/05b.html",2022,1,Wednesday,Medium-range
2021-10-19,2021-11-01,01:17:00,Navalized KN-23,SLBM,Sinpo Shipyard,South Hamgyong Province,40.0368,128.1839,Sea of Japan or East Sea,60 km,590 km,Confirmed,Success,"On October 19, 2021, North Korea conducted its first SLBM test in over two years. This new missile, which appears to be a modified KN-23, was revelaed at a major defense exhibition in Pyongyang the previous week. The missile reached an altitude 60 km and travelled 590 km. The missile was launched from the Gorae-class submarine used in previous SLBM tests.",https://en.yna.co.kr/view/AEN20211019002958325?section=nk/nk,2021,10,Tuesday,Submarine-launched
2021-09-15,2021-10-05,03:39:00,Rail-mobile KN-23,SRBM,Yangdok,"Yangdok, South Pyongan Province",39.275721,126.804867,Sea of Japan or East Sea,60 km,800 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20210915005652325?section=nk/nk
https://www.reuters.com/business/aerospace-defense/skorea-successfully-tests-submarine-launched-ballistic-missile-blue-house-2021-09-15/
https://www.reuters.com/world/asia-pacific/nkorea-launches-were-test-new-railway-borne-missile-system-kcna-2021-09-15/",2021,9,Wednesday,Short-range
2021-09-15,2021-10-05,03:34:00,Rail-mobile KN-23,SRBM,Yangdok,"Yangdok, South Pyongan Province",39.275721,126.804867,Sea of Japan or East Sea,60 km,800 km,Confirmed,Success,"On September 15,  North Korea launched two KN-23-type SRBMs from a train in Yangdok county. According to the South Korean Joint Cheifs of Staff, the missiles were launched at 3:34 and 3:39 UTC, reaching an altitude of 60 km and a range of 800 km. Several hours later, South Korea tested a submarine-launched ballistic missile.  (1 of 2)","https://en.yna.co.kr/view/AEN20210915005652325?section=nk/nk
https://www.reuters.com/business/aerospace-defense/skorea-successfully-tests-submarine-launched-ballistic-missile-blue-house-2021-09-15/
https://www.reuters.com/world/asia-pacific/nkorea-launches-were-test-new-railway-borne-missile-system-kcna-2021-09-15/",2021,9,Wednesday,Short-range
2021-03-24,2021-03-26,22:23:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Yonpo Airport,"Hamhung, South Hamgyong Province",39.78938,127.53993,Sea of Japan or East Sea,60 km,450 km,Confirmed,Success,2 of 2 tests,"https://kcnawatch.org/newstream/1616706026-838802969/new-type-tactical-guided-missiles-test-fired/
https://english.kyodonews.net/news/2021/03/fad86f1e5176-breaking-news-n-korea-may-have-fired-ballistic-missile-japan-govt.html
https://en.yna.co.kr/view/AEN20210325000656325?section=nk/nk
Joseph Dempsey",2021,3,Wednesday,Short-range
2021-03-24,2021-03-26,22:04:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Sondok Airbase,"Sondok, South Hamgyong Province",39.7437,127.4732,Sea of Japan or East Sea,60 km,450 km,Confirmed,Success,"On March 24, 2021, North Korea conducted its first ballistic missile test in nearly a year. The Japanese government initially announced detection of the tests, stating that two missiles were launched at 10:04 and 10:23 PM UTC, reaching an apogee of 60 km and a range of 450 km. According to the South Korean government, the launches occured at 10:06 and 10:25. The official North Korean announcement on March 25 claimed that the missiles had in fact flown 600 km. The missiles may have conducted a pitch-up maneuver, similar to the KN-23, however, no independent confrimation is available of a 600 km flight. (1 of 2)","https://kcnawatch.org/newstream/1616706026-838802969/new-type-tactical-guided-missiles-test-fired/
https://english.kyodonews.net/news/2021/03/fad86f1e5176-breaking-news-n-korea-may-have-fired-ballistic-missile-japan-govt.html
https://en.yna.co.kr/view/AEN20210325000656325?section=nk/nk
Joseph Dempsey",2021,3,Wednesday,Short-range
2020-03-28,2020-03-30,21:10:20,KN-25,SRBM,Hodo Peninsula,Kangwon Province,39.40167,127.5369,Sea of Japan or East Sea,30 km,230 km,Confirmed,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20200330000352325?section=nk/nk; https://m-en.yna.co.kr/view/AEN20200329000354325?section=nk/nk; https://www.bbc.com/news/world-asia-52087810,2020,3,Saturday,Short-range
2020-03-28,2020-03-30,21:10:00,KN-25,SRBM,Hodo Peninsula,Kangwon Province,39.40167,127.5369,Sea of Japan or East Sea,30 km,230 km,Confirmed,Success,"This test marked the busiest month of missile testing in North Korean history. Slight variations in the missile and TEL suggest this may be a newly modified version of the KN-25. Pictures released following the test show them impacting the same small island in the East Sea, off the coast of North Korea. As with several other recent tests of the system, North Korea launched these missiles in a pair with only a 20 second interval between them. The test is believed to have been carried out in the Wonson area along the shoreline. An exact location has not yet been determined. Currently, this is placed at the Hodo Peninsula, an area which North Korea has frequently used for other missile tests. (1 of 2)",https://en.yna.co.kr/view/AEN20200330000352325?section=nk/nk; https://m-en.yna.co.kr/view/AEN20200329000354325?section=nk/nk; https://www.bbc.com/news/world-asia-52087810,2020,3,Saturday,Short-range
2020-03-20,2020-03-24,21:50:00,KN-24,SRBM,Sunchon,North Pyongan Province,39.4163,125.8907,Sea of Japan or East Sea,50 km,410 km,Confirmed,Success,2 of 2 tests,https://thediplomat.com/2020/03/north-korea-launches-2-short-range-ballistic-missiles/; https://en.yna.co.kr/view/AEN20200321000452325; https://twitter.com/GreatPoppo/status/1242404241026609152; https://twitter.com/JosephHDempsey/status/1241487923507273728; https://www.gov.uk/government/news/foreign-office-statement-following-north-korea-missile-tests-20-march-2020; https://en.yna.co.kr/view/AEN20200321000900325?section=search,2020,3,Friday,Short-range
2020-03-20,2020-03-24,21:45:00,KN-24,SRBM,Sunchon,North Pyongan Province,39.4163,125.8907,Sea of Japan or East Sea,50 km,410 km,Confirmed,Success,"The test came in the midst of the global coronavirus pandemic. The exact location of the missile launches is not clear. Yonhap reported them as being launched from the North Pyongan province. Later reporting narrowed it to the Sunchon area. Online open source researchers speculated it may be approx 39°49'23.3""N 124°49'39.7""E, approx 5 km outside of Sunchon.(1 of 2)",https://thediplomat.com/2020/03/north-korea-launches-2-short-range-ballistic-missiles/; https://en.yna.co.kr/view/AEN20200321000452325; https://twitter.com/GreatPoppo/status/1242404241026609152; https://twitter.com/JosephHDempsey/status/1241487923507273728; https://www.gov.uk/government/news/foreign-office-statement-following-north-korea-missile-tests-20-march-2020; https://en.yna.co.kr/view/AEN20200321000900325?section=search,2020,3,Friday,Short-range
2020-03-08,2020-03-10,22:37:20,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,50 km,200 km,Confirmed,Success,3 of 3 tests,https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,2020,3,Sunday,Short-range
2020-03-08,2020-03-10,22:36:20,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,50 km,200 km,Confirmed,Success,2 of 3 tests,https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,2020,3,Sunday,Short-range
2020-03-08,2020-03-10,22:36:00,KN-25,SRBM,Sondok,"Sondok, South Hamgyong Province",39.743,127.499,Sea of Japan or East Sea,50 km,200 km,Confirmed,Success,"The exact location of the test is unknown, it appears to be near the beach by Sondok Airport, the site of a previous test of the system. The test was accompanied by smaller MLRS launches, some of which may have been mistaken for KN-25 launches. The number and type of missiles launched is currently disputed with the ROK stating 3 missiles matching the KN-25 flight pattern were launched whereas the US stated as many as 5 were launched. Images appear to show at least two KN-25 missiles launched. This entry may be updated as new information is released. The missiles appear to have been aimed at a small island in the East Sea (potentially located at 40.646, 129.547) but it is not clear if these missiles or other projectiles impacted it. (1 of 3)",https://www.38north.org/2020/03/jdempsey031020/; https://en.yna.co.kr/view/AEN20200309000455325?section=national/defense; https://www.politico.com/news/2020/03/08/north-korea-weapons-launch-124200;,2020,3,Sunday,Short-range
2020-03-02,2020-03-05,03:37:20,KN-25,SRBM,Sangum-ri,"Anbyon County, Kangwon Province (North Korea)",39.141,127.616,Sea of Japan or East Sea,35 km,240 km,Confirmed,Success,2 of 2 tests,https://www.wsj.com/articles/north-korea-fires-two-missiles-in-its-first-weapons-test-this-year-11583126221; https://apnews.com/95c86dab9fbc1f5cbb1848a53ffe344e?utm_medium=AP&utm_campaign=SocialFlow&utm_source=Twitter; https://www.nknews.org/pro/a-return-to-form-north-korea-kicks-off-its-2020-testing-campaign/?t=1583422381022; https://en.yna.co.kr/view/AEN20200302005254325?section=nk/nk; https://www.washingtonpost.com/world/asia_pacific/souths-military-north-korea-fires-unidentified-projectile/2020/03/01/a4a8b012-5c39-11ea-ac50-18701e14e06d_story.html,2020,3,Monday,Short-range
