facid,facility_name,penalties,penalties_sum,bed_capacity,fac_fdr,penalties_per_10_beds,penalties_sum_per_10_beds
020000028,BERKELEY PINES SKILLED NURSING CENTER,2,1800.0,36.0,SKILLED NURSING FACILITY,0.56,500.0
020000036,WINDSOR PARK CARE CENTER OF FREMONT,8,35300.0,85.0,SKILLED NURSING FACILITY,0.94,4152.94
020000037,ST. PATRICK'S POST ACUTE,7,25000.0,99.0,SKILLED NURSING FACILITY,0.71,2525.25
020000039,HAYWARD HEALTHCARE & WELLNESS CENTER,1,10000.0,99.0,SKILLED NURSING FACILITY,0.1,1010.1
020000040,MASONIC HOME,3,12000.0,125.0,SKILLED NURSING FACILITY,0.24,960.0
020000042,KAISER PERMANENTE POST-ACUTE CARE CENTER,11,44500.0,176.0,SKILLED NURSING FACILITY,0.62,2528.41
020000043,ALAMEDA HEALTHCARE & WELLNESS CENTER,5,8265.0,166.0,SKILLED NURSING FACILITY,0.3,497.89
020000047,HAYWARD HILLS HEALTH CARE CENTER,7,6100.0,74.0,SKILLED NURSING FACILITY,0.95,824.32
020000048,CHAPARRAL HOUSE,4,20900.0,49.0,SKILLED NURSING FACILITY,0.82,4265.31
020000053,CRESTWOOD MANOR - FREMONT,4,82000.0,126.0,SKILLED NURSING FACILITY,0.32,6507.94
020000054,"PRINCETON MANOR HEALTHCARE CENTER, LLC",11,7975.0,82.0,SKILLED NURSING FACILITY,1.34,972.56
020000060,BAYPOINT HEALTHCARE CENTER,8,30300.0,99.0,SKILLED NURSING FACILITY,0.81,3060.61
020000064,ST PAULS TOWERS,2,2200.0,43.0,SKILLED NURSING FACILITY,0.47,511.63
020000065,WE CARE SKILLED NURSING FACILITY,12,25350.0,28.0,SKILLED NURSING FACILITY,4.29,9053.57
020000068,ST JOHN KRONSTADT CONVALESCENT CENTER,5,85900.0,49.0,SKILLED NURSING FACILITY,1.02,17530.61
020000070,ALL SAINTS SUBACUTE & TRANSITIONAL CARE,8,11700.0,70.0,SKILLED NURSING FACILITY,1.14,1671.43
020000071,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,4,9925.0,99.0,SKILLED NURSING FACILITY,0.4,1002.53
020000074,"SERENETHOS CARE CENTER, LLC",8,6450.0,36.0,SKILLED NURSING FACILITY,2.22,1791.67
020000077,SAN LEANDRO HEALTHCARE CENTER,4,20700.0,62.0,SKILLED NURSING FACILITY,0.65,3338.71
020000079,MEDICAL HILL HEALTHCARE CENTER,12,67933.0,124.0,SKILLED NURSING FACILITY,0.97,5478.47
020000087,CROWN BAY NURSING & REHABILITATION CENTER,11,43550.0,135.0,SKILLED NURSING FACILITY,0.81,3225.93
020000090,PARKVIEW HEALTHCARE CENTER,18,86750.0,121.0,SKILLED NURSING FACILITY,1.49,7169.42
020000091,PIEDMONT GARDENS HEALTH FACILITY,8,8300.0,94.0,SKILLED NURSING FACILITY,0.85,882.98
020000093,EXCELL HEALTH CARE CENTER,8,10100.0,99.0,SKILLED NURSING FACILITY,0.81,1020.2
020000094,PARK CENTRAL CARE AND REHABILITATION CENTER,11,18116.0,99.0,SKILLED NURSING FACILITY,1.11,1829.9
020000099,MCCLURE POST ACUTE,2,1750.0,60.0,SKILLED NURSING FACILITY,0.33,291.67
020000103,WINDSOR GARDENS CARE CENTER OF HAYWARD,8,13100.0,75.0,SKILLED NURSING FACILITY,1.07,1746.67
020000110,LAKE MERRITT HEALTHCARE CENTER LLC,10,41150.0,53.0,SKILLED NURSING FACILITY,1.89,7764.15
020000111,JONES CONVALESCENT HOSPITAL,1,16000.0,25.0,SKILLED NURSING FACILITY,0.4,6400.0
020000112,KYAKAMEENA CARE CENTER,6,31600.0,60.0,SKILLED NURSING FACILITY,1.0,5266.67
020000115,OAKLAND HEALTHCARE & WELLNESS CENTER,10,35100.0,98.0,SKILLED NURSING FACILITY,1.02,3581.63
020000116,EAST BAY POST-ACUTE,15,115550.0,91.0,SKILLED NURSING FACILITY,1.65,12697.8
020000119,REDWOOD HEALTHCARE CENTER LLC,9,23000.0,44.0,SKILLED NURSING FACILITY,2.05,5227.27
020000123,HAYWARD CONVALESCENT HOSPITAL,8,10150.0,99.0,SKILLED NURSING FACILITY,0.81,1025.25
020000124,FRUITVALE HEALTHCARE CENTER,1,2000.0,140.0,SKILLED NURSING FACILITY,0.07,142.86
020000125,GARFIELD NEUROBEHAVIORAL CENTER,10,42800.0,96.0,SKILLED NURSING FACILITY,1.04,4458.33
020000128,ELMWOOD CARE CENTER,8,33100.0,77.0,SKILLED NURSING FACILITY,1.04,4298.7
020000132,FREMONT HEALTHCARE CENTER,7,25250.0,115.0,SKILLED NURSING FACILITY,0.61,2195.65
020000133,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,18,87400.0,88.0,SKILLED NURSING FACILITY,2.05,9931.82
020000135,BAY AREA HEALTHCARE CENTER,16,25600.0,99.0,SKILLED NURSING FACILITY,1.62,2585.86
020000274,THE REHABILITATION CENTER OF OAKLAND,10,30800.0,70.0,SKILLED NURSING FACILITY,1.43,4400.0
020000275,WASHINGTON CENTER,13,26454.0,99.0,SKILLED NURSING FACILITY,1.31,2672.12
020000276,"REDWOOD CONVALESCENT HOSPITAL, INC.",5,4900.0,70.0,SKILLED NURSING FACILITY,0.71,700.0
020000277,WINDSOR HEALTHCARE CENTER OF OAKLAND,14,32050.0,94.0,SKILLED NURSING FACILITY,1.49,3409.57
020000808,MORTON BAKAR CENTER,6,81550.0,97.0,SKILLED NURSING FACILITY,0.62,8407.22
020000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,1,1000.0,48.0,SKILLED NURSING FACILITY,0.21,208.33
030000004,ROSEVILLE POINT HEALTH & WELLNESS CENTER,6,34500.0,98.0,SKILLED NURSING FACILITY,0.61,3520.41
030000005,COLLEGE OAK NURSING AND REHABILITATION CENTER,4,55300.0,120.0,SKILLED NURSING FACILITY,0.33,4608.33
030000011,ROCK CREEK CARE CENTER,6,23600.0,84.0,SKILLED NURSING FACILITY,0.71,2809.52
030000012,AVALON HEALTH CARE - SAN ANDREAS,12,36000.0,99.0,SKILLED NURSING FACILITY,1.21,3636.36
030000013,AUBURN RAVINE TERRACE,1,16000.0,59.0,SKILLED NURSING FACILITY,0.17,2711.86
030000016,NORTH STARR POSTACUTE CARE,1,10000.0,31.0,SKILLED NURSING FACILITY,0.32,3225.81
030000019,NORWOOD PINES ALZHEIMERS CENTER,48,130757.5,161.0,SKILLED NURSING FACILITY,2.98,8121.58
030000023,ADVENTIST HEALTH SONORA - D/P SNF (UNIT 6),2,13000.0,32.0,SKILLED NURSING FACILITY,0.62,4062.5
030000024,WESTVIEW HEALTHCARE CENTER,23,149150.0,205.0,SKILLED NURSING FACILITY,1.12,7275.61
030000028,MISSION CARMICHAEL HEALTHCARE CENTER,7,82000.0,135.0,SKILLED NURSING FACILITY,0.52,6074.07
030000037,METHODIST HOSPITAL OF SACRAMENTO,4,48152.0,126.0,GENERAL ACUTE CARE HOSPITAL,0.32,3821.59
030000046,WINDSOR EL CAMINO CARE CENTER,21,133353.0,178.0,SKILLED NURSING FACILITY,1.18,7491.74
030000047,WESTERN SLOPE HEALTH CENTER,12,64500.0,99.0,SKILLED NURSING FACILITY,1.21,6515.15
030000050,MAIN WEST POSTACUTE CARE,6,5600.0,99.0,SKILLED NURSING FACILITY,0.61,565.66
030000053,ESKATON CARE CENTER MANZANITA,6,90050.0,99.0,SKILLED NURSING FACILITY,0.61,9095.96
030000060,FOLSOM CARE CENTER,4,19700.0,99.0,SKILLED NURSING FACILITY,0.4,1989.9
030000063,GOLD COUNTRY HEALTH CENTER,5,25050.0,68.0,SKILLED NURSING FACILITY,0.74,3683.82
030000066,CERES POSTACUTE CARE,3,34250.0,46.0,SKILLED NURSING FACILITY,0.65,7445.65
030000067,SACRAMENTO POST-ACUTE,20,111050.0,99.0,SKILLED NURSING FACILITY,2.02,11217.17
030000071,ESKATON CARE CENTER FAIR OAKS,16,133500.0,149.0,SKILLED NURSING FACILITY,1.07,8959.73
030000074,KIT CARSON NURSING & REHABILITATION CENTER,19,113650.0,199.0,SKILLED NURSING FACILITY,0.95,5711.06
030000076,RIVER POINTE POST-ACUTE,12,95000.0,112.0,SKILLED NURSING FACILITY,1.07,8482.14
030000079,OAKDALE NURSING AND REHABILITATION CENTER,11,22200.0,115.0,SKILLED NURSING FACILITY,0.96,1930.43
030000085,THE PINES AT PLACERVILLE HEALTHCARE CENTER,13,83050.0,99.0,SKILLED NURSING FACILITY,1.31,8388.89
030000088,CENTRAL VALLEY POST ACUTE,11,124300.0,99.0,SKILLED NURSING FACILITY,1.11,12555.56
030000090,ROSEVILLE CARE CENTER,12,26400.0,210.0,SKILLED NURSING FACILITY,0.57,1257.14
030000096,SAN LUIS CARE CENTER,1,500.0,71.0,SKILLED NURSING FACILITY,0.14,70.42
030000105,WHITNEY OAKS CARE CENTER,23,140800.0,126.0,SKILLED NURSING FACILITY,1.83,11174.6
030000108,SUTTER AMADOR HOSPITAL,1,3300.0,38.0,GENERAL ACUTE CARE HOSPITAL,0.26,868.42
030000113,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,25,75000.0,597.0,GENERAL ACUTE CARE HOSPITAL,0.42,1256.28
030000114,BARTON MEMORIAL HOSPITAL,2,5500.0,41.0,GENERAL ACUTE CARE HOSPITAL,0.49,1341.46
030000117,DAMERON HOSPITAL,6,14000.0,146.0,GENERAL ACUTE CARE HOSPITAL,0.41,958.9
030000118,DOCTORS HOSPITAL OF MANTECA,5,1000.0,60.0,GENERAL ACUTE CARE HOSPITAL,0.83,166.67
030000121,MARSHALL MEDICAL CENTER,15,4800.0,94.0,GENERAL ACUTE CARE HOSPITAL,1.6,510.64
030000122,DOCTORS MEDICAL CENTER,16,72650.0,382.0,GENERAL ACUTE CARE HOSPITAL,0.42,1901.83
030000123,MEMORIAL MEDICAL CENTER,13,424050.0,395.0,GENERAL ACUTE CARE HOSPITAL,0.33,10735.44
030000124,MERCY GENERAL HOSPITAL,7,83400.0,402.0,GENERAL ACUTE CARE HOSPITAL,0.17,2074.63
030000125,EMANUEL MEDICAL CENTER,6,34700.0,191.0,GENERAL ACUTE CARE HOSPITAL,0.31,1816.75
030000127,MERCY SAN JUAN MEDICAL CENTER,16,47100.0,365.0,GENERAL ACUTE CARE HOSPITAL,0.44,1290.41
030000129,CENTRAL VALLEY SPECIALTY HOSPITAL,3,75000.0,96.0,GENERAL ACUTE CARE HOSPITAL,0.31,7812.5
030000130,KAISER FOUNDATION HOSPITAL - SACRAMENTO,30,101700.0,278.0,GENERAL ACUTE CARE HOSPITAL,1.08,3658.27
030000133,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,8,3800.0,233.0,GENERAL ACUTE CARE HOSPITAL,0.34,163.09
030000134,SUTTER ROSEVILLE MEDICAL CENTER,12,6500.0,340.0,GENERAL ACUTE CARE HOSPITAL,0.35,191.18
030000135,SAN JOAQUIN GENERAL HOSPITAL,9,157550.0,120.0,GENERAL ACUTE CARE HOSPITAL,0.75,13129.17
030000143,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,3,1900.0,323.0,GENERAL ACUTE CARE HOSPITAL,0.09,58.82
030000149,SUTTER DAVIS HOSPITAL,6,82600.0,30.0,GENERAL ACUTE CARE HOSPITAL,2.0,27533.33
030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",12,228337.5,523.0,GENERAL ACUTE CARE HOSPITAL,0.23,4365.92
030000160,WINDSOR CARE CENTER OF SACRAMENTO,19,38350.0,128.0,SKILLED NURSING FACILITY,1.48,2996.09
030000280,AUBURN OAKS CARE CENTER,21,167550.0,99.0,SKILLED NURSING FACILITY,2.12,16924.24
030000288,TURLOCK NURSING AND REHABILITATION CENTER,5,118200.0,144.0,SKILLED NURSING FACILITY,0.35,8208.33
030000320,"SIERRA VISTA HOSPITAL, INC.",2,50000.0,171.0,ACUTE PSYCHIATRIC HOSPITAL,0.12,2923.98
030000530,OAK RIDGE HEALTHCARE CENTER,3,12520.0,67.0,SKILLED NURSING FACILITY,0.45,1868.66
030000560,PINE CREEK CARE CENTER,10,15850.0,99.0,SKILLED NURSING FACILITY,1.01,1601.01
030000589,LINCOLN MEADOWS CARE CENTER,15,127700.0,97.0,SKILLED NURSING FACILITY,1.55,13164.95
030000820,MANORCARE HEALTH SERVICES (CITRUS HEIGHTS),19,79500.0,162.0,SKILLED NURSING FACILITY,1.17,4907.41
030000822,HERITAGE OAKS HOSPITAL,1,25000.0,125.0,ACUTE PSYCHIATRIC HOSPITAL,0.08,2000.0
030000852,BRANDEL MANOR,6,24950.0,145.0,SKILLED NURSING FACILITY,0.41,1720.69
030000854,BRUCEVILLE TERRACE - D/P SNF OF METHODIST HOSPITAL,9,146000.0,171.0,SKILLED NURSING FACILITY,0.53,8538.01
030000901,MERCY HOSPITAL OF FOLSOM,2,15800.0,90.0,GENERAL ACUTE CARE HOSPITAL,0.22,1755.56
030000907,VIBRA HOSPITAL OF SACRAMENTO,1,75000.0,52.0,GENERAL ACUTE CARE HOSPITAL,0.19,14423.08
030000973,KAISER FOUNDATION HOSPITAL MANTECA,7,6900.0,55.0,GENERAL ACUTE CARE HOSPITAL,1.27,1254.55
030001004,AMERICAN RIVER CENTER,8,33650.0,99.0,SKILLED NURSING FACILITY,0.81,3398.99
030001168,MID-TOWN OAKS POST-ACUTE,7,36800.0,100.0,SKILLED NURSING FACILITY,0.7,3680.0
030001254,KAISER FOUNDATION HOSPITAL MANTECA D/P SNF,5,19500.0,38.0,SKILLED NURSING FACILITY,1.32,5131.58
030001370,KAISER FOUNDATION HOSPITAL - ROSEVILLE,16,14700.0,352.0,GENERAL ACUTE CARE HOSPITAL,0.45,417.61
030001525,BARTON HOSPITAL D/P SNF,1,1000.0,48.0,SKILLED NURSING FACILITY,0.21,208.33
030001605,SIENA SKILLED NURSING & REHABILITATION CENTER,13,113200.0,107.0,SKILLED NURSING FACILITY,1.21,10579.44
030001615,AVALON CARE CENTER - SONORA,10,179720.0,210.0,SKILLED NURSING FACILITY,0.48,8558.1
030001661,STANISLAUS SURGICAL HOSPITAL,1,25000.0,23.0,GENERAL ACUTE CARE HOSPITAL,0.43,10869.57
030001799,ADVENTIST HEALTH SONORA,6,7700.0,59.0,GENERAL ACUTE CARE HOSPITAL,1.02,1305.08
030001812,WOODLAND SKILLED NURSING FACILITY,18,57700.0,91.0,SKILLED NURSING FACILITY,1.98,6340.66
030001815,COURTYARD HEALTH CARE CENTER,11,20900.0,112.0,SKILLED NURSING FACILITY,0.98,1866.07
030001817,COTTONWOOD HEALTH CARE CENTER,15,81000.0,98.0,SKILLED NURSING FACILITY,1.53,8265.31
030001819,"FULTON GARDENS POST ACUTE, LLC",9,26200.0,116.0,SKILLED NURSING FACILITY,0.78,2258.62
030001821,WOODSIDE HEALTHCARE CENTER,6,40500.0,59.0,SKILLED NURSING FACILITY,1.02,6864.41
030001823,DYCORA TRANSITIONAL HEALTH - WEBER OAKS,7,9002.0,99.0,SKILLED NURSING FACILITY,0.71,909.29
030001825,LODI NURSING & REHABILITATION,7,17500.0,74.0,SKILLED NURSING FACILITY,0.95,2364.86
030001827,CITY CREEK POST ACUTE,13,23200.0,99.0,SKILLED NURSING FACILITY,1.31,2343.43
030001829,ACC CARE CENTER,3,12000.0,99.0,SKILLED NURSING FACILITY,0.3,1212.12
030001831,GRAMERCY COURT,26,198500.0,120.0,SKILLED NURSING FACILITY,2.17,16541.67
040000004,FRESNO POSTACUTE CARE,15,129700.0,80.0,SKILLED NURSING FACILITY,1.88,16212.5
040000007,DYCORA TRANSITIONAL HEALTH - FRESNO,8,12024.0,232.0,SKILLED NURSING FACILITY,0.34,518.28
040000010,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CTR.,5,5000.0,120.0,SKILLED NURSING FACILITY,0.42,416.67
040000012,EVERGREEN CARE CENTER,6,124050.0,49.0,SKILLED NURSING FACILITY,1.22,25316.33
040000014,HORIZON HEALTH AND SUBACUTE CENTER,4,41500.0,180.0,SKILLED NURSING FACILITY,0.22,2305.56
040000015,"BETHEL LUTHERAN HOME, INC.",4,121500.0,59.0,SKILLED NURSING FACILITY,0.68,20593.22
040000018,PALMS CARE CENTER,5,59000.0,62.0,SKILLED NURSING FACILITY,0.81,9516.13
040000019,DYCORA TRANSITIONAL HEALTH - CLOVIS,3,17125.0,57.0,SKILLED NURSING FACILITY,0.53,3004.39
040000025,FOWLER CARE CENTER,11,89550.0,46.0,SKILLED NURSING FACILITY,2.39,19467.39
040000026,DYCORA TRANSITIONAL HEALTH - MEMORY CARE OF FRESNO,1,757.0,59.0,SKILLED NURSING FACILITY,0.17,128.31
040000027,LA SIERRA CARE CENTER,1,20000.0,68.0,SKILLED NURSING FACILITY,0.15,2941.18
040000031,LOS BANOS NURSING & REHABILITATION CENTER,2,35000.0,59.0,SKILLED NURSING FACILITY,0.34,5932.2
040000033,DYCORA TRANSITIONAL HEALTH - FOWLER,1,2000.0,49.0,SKILLED NURSING FACILITY,0.2,408.16
040000034,MADERA REHABILITATION & NURSING CENTER,6,6400.0,176.0,SKILLED NURSING FACILITY,0.34,363.64
040000035,FRANCISCAN CONVALESCENT HOSPITAL,7,7807.0,71.0,SKILLED NURSING FACILITY,0.99,1099.58
040000036,"MANNING GARDENS CARE CENTER, INC.",7,56500.0,59.0,SKILLED NURSING FACILITY,1.19,9576.27
040000037,SIERRA VISTA HEALTHCARE,3,19000.0,99.0,SKILLED NURSING FACILITY,0.3,1919.19
040000039,"GRACE HOME, INC.",2,1300.0,33.0,SKILLED NURSING FACILITY,0.61,393.94
040000043,FRESNO NURSING CENTER,5,24173.0,65.0,SKILLED NURSING FACILITY,0.77,3718.92
040000046,MERCED NURSING & REHABILITATION CENTER,1,800.0,79.0,SKILLED NURSING FACILITY,0.13,101.27
040000047,HEALTHCARE CENTRE OF FRESNO,5,37000.0,155.0,SKILLED NURSING FACILITY,0.32,2387.1
040000048,MERCED BEHAVIORAL CENTER,1,900.0,96.0,SKILLED NURSING FACILITY,0.1,93.75
040000049,DYCORA TRANSITIONAL HEALTH - MANCHESTER,3,3500.0,121.0,SKILLED NURSING FACILITY,0.25,289.26
040000050,HY-LOND HEALTH CARE CENTER - MERCED,6,54495.0,121.0,SKILLED NURSING FACILITY,0.5,4503.72
040000051,OAKWOOD GARDENS CARE CENTER,4,4350.0,103.0,SKILLED NURSING FACILITY,0.39,422.33
040000052,ROLLING HILLS CARE CENTER,2,2000.0,34.0,SKILLED NURSING FACILITY,0.59,588.24
040000058,OAKHURST HEALTHCARE CENTER,4,33500.0,66.0,SKILLED NURSING FACILITY,0.61,5075.76
040000059,NORTH POINTE HEALTHCARE CENTRE,8,27975.0,99.0,SKILLED NURSING FACILITY,0.81,2825.76
040000060,SIERRA VIEW HOMES INC.,1,0.0,59.0,SKILLED NURSING FACILITY,0.17,0.0
040000061,SUNNYSIDE CONVALESCENT HOSPITAL,58,81300.0,107.0,SKILLED NURSING FACILITY,5.42,7598.13
040000063,PACIFIC GARDENS NURSING AND REHABILITATION CENTER,2,10500.0,180.0,SKILLED NURSING FACILITY,0.11,583.33
040000064,TWILIGHT HAVEN,7,29150.0,50.0,SKILLED NURSING FACILITY,1.4,5830.0
040000069,ORCHARD POST ACUTE,2,35000.0,99.0,SKILLED NURSING FACILITY,0.2,3535.35
040000073,AVALON HEALTH CARE - MADERA,3,101500.0,64.0,SKILLED NURSING FACILITY,0.47,15859.38
040000076,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,3,3100.0,54.0,SKILLED NURSING FACILITY,0.56,574.07
040000095,CLOVIS COMMUNITY MEDICAL  CENTER,3,83275.0,200.0,GENERAL ACUTE CARE HOSPITAL,0.15,4163.75
040000101,COMMUNITY REGIONAL MEDICAL CENTER,14,636650.0,667.0,GENERAL ACUTE CARE HOSPITAL,0.21,9544.98
040000110,MEMORIAL HOSPITAL LOS BANOS,1,20000.0,22.0,GENERAL ACUTE CARE HOSPITAL,0.45,9090.91
040000111,MADERA COMMUNITY HOSPITAL,5,106975.0,96.0,GENERAL ACUTE CARE HOSPITAL,0.52,11143.23
040000113,MERCY MEDICAL CENTER,4,237000.0,186.0,GENERAL ACUTE CARE HOSPITAL,0.22,12741.94
040000126,SAINT AGNES MEDICAL CENTER,11,260050.0,436.0,GENERAL ACUTE CARE HOSPITAL,0.25,5964.45
040000129,VALLEY CHILDREN'S HOSPITAL,1,71962.5,358.0,GENERAL ACUTE CARE HOSPITAL,0.03,2010.13
040000225,ANBERRY NURSING AND REHABILITATION CENTER,4,139750.0,99.0,SKILLED NURSING FACILITY,0.4,14116.16
040000254,FRESNO SURGICAL HOSPITAL,4,143750.0,27.0,GENERAL ACUTE CARE HOSPITAL,1.48,53240.74
040000474,COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,8,96400.0,106.0,SKILLED NURSING FACILITY,0.75,9094.34
040000790,CHOWCHILLA MEMORIAL HEALTHCARE DISTRICT,1,1000.0,30.0,SKILLED NURSING FACILITY,0.33,333.33
040000798,COALINGA REGIONAL MEDICAL CENTER D/P SNF,2,1750.0,51.0,SKILLED NURSING FACILITY,0.39,343.14
040000949,KAISER FOUNDATION HOSPITAL - FRESNO,1,25000.0,145.0,GENERAL ACUTE CARE HOSPITAL,0.07,1724.14
040001040,WILLOW CREEK HEALTHCARE CENTER,4,92500.0,159.0,SKILLED NURSING FACILITY,0.25,5817.61
040001259,NEW BETHANY,1,800.0,35.0,SKILLED NURSING FACILITY,0.29,228.57
040001364,HANFORD POST ACUTE,7,17200.0,124.0,SKILLED NURSING FACILITY,0.56,1387.1
040001366,KINGS NURSING & REHABILITATION CENTER,6,43400.0,70.0,SKILLED NURSING FACILITY,0.86,6200.0
040001397,FRESNO HEART AND SURGICAL HOSPITAL,2,36063.0,48.0,GENERAL ACUTE CARE HOSPITAL,0.42,7513.12
050000002,SHORELINE CARE CENTER,14,43800.0,193.0,SKILLED NURSING FACILITY,0.73,2269.43
050000004,MISSION TERRACE CONVALESCENT HOSPITAL,1,6000.0,138.0,SKILLED NURSING FACILITY,0.07,434.78
050000006,CAMARILLO HEALTHCARE CENTER,14,35250.0,114.0,SKILLED NURSING FACILITY,1.23,3092.11
