facid,facname,fac_fdr,bed_capacity_type,bed_capacity,county_name
930000912,KECK HOSPITAL OF USC,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,285,LOS ANGELES
050000280,SANTA BARBARA COTTAGE HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,282,SANTA BARBARA
220000042,BURLINGAME SKILLED NURSING D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,281,SAN MATEO
060000067,PROVIDENCE ST. JOSEPH HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,279,ORANGE
150001231,VETERANS HOME OF CALIFORNIA - YOUNTVILLE,SKILLED NURSING FACILITY,SKILLED NURSING,274,NAPA
060000014,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,273,ORANGE
930000022,CENTINELA HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,273,LOS ANGELES
080000152,TRI-CITY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,272,SAN DIEGO
930000072,KAISER FOUNDATION HOSPITAL - LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,272,LOS ANGELES
060000027,LAC/HARBOR UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,270,LOS ANGELES
120001444,KAWEAH HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,270,TULARE
930000101,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,269,LOS ANGELES
030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,269,SACRAMENTO
170001892,SALINAS VALLEY CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,266,MONTEREY
090000021,SHARP CHULA VISTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,265,SAN DIEGO
630019573,STANFORD HEALTH CARE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,264,SANTA CLARA
110000953,MARINHEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,261,MARIN
070000096,WESTWOOD POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,258,SANTA CLARA
090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,257,SAN DIEGO
090000020,AVOCADO POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,256,SAN DIEGO
240000053,SAN ANTONIO REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,254,SAN BERNARDINO
920000292,ARARAT NURSING FACILITY,SKILLED NURSING FACILITY,SKILLED NURSING,254,LOS ANGELES
050000020,LOS ROBLES HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,254,VENTURA
030000130,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,253,SACRAMENTO
070000089,SKYLINE HEALTHCARE CENTER - SAN JOSE,SKILLED NURSING FACILITY,SKILLED NURSING,253,SANTA CLARA
930000008,ANTELOPE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,251,LOS ANGELES
060000196,"ANAHEIM HEALTHCARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,250,ORANGE
080000023,RADY CHILDREN'S HOSPITAL - SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,249,SAN DIEGO
030000127,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,248,SACRAMENTO
030000143,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,246,SAN JOAQUIN
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,245,LOS ANGELES
250000012,HEMET GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,245,RIVERSIDE
930000015,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,245,LOS ANGELES
240000650,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,243,SAN BERNARDINO
930000063,HENRY MAYO NEWHALL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,242,LOS ANGELES
950000079,INLAND VALLEY CARE AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,241,LOS ANGELES
090000063,SAN DIEGO POST-ACUTE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,240,SAN DIEGO
220000089,ST. FRANCIS CONVALESCENT PAVILION,SKILLED NURSING FACILITY,SKILLED NURSING,239,SAN MATEO
630011499,JOYCE EISENBERG KEEFER MEDICAL CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,239,LOS ANGELES
250000008,DESERT REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,238,RIVERSIDE
030000134,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,237,PLACER
120000331,HEIGHT STREET SKILLED CARE,SKILLED NURSING FACILITY,SKILLED NURSING,237,KERN
060000071,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,236,ORANGE
930000068,PIH HEALTH GOOD SAMARITAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,235,LOS ANGELES
120000338,BAKERSFIELD MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,234,KERN
930000162,RONALD REAGAN UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,234,LOS ANGELES
040000007,DYCORA TRANSITIONAL HEALTH - FRESNO,SKILLED NURSING FACILITY,SKILLED NURSING,232,FRESNO
950000081,PARK AVENUE HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,231,LOS ANGELES
930000081,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,230,LOS ANGELES
240000103,ST. BERNARDINE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,229,SAN BERNARDINO
930000096,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,228,LOS ANGELES
060000041,THE PAVILION AT SUNNY HILLS,SKILLED NURSING FACILITY,SKILLED NURSING,228,ORANGE
910000017,BEACHWOOD POST-ACUTE & REHAB,SKILLED NURSING FACILITY,SKILLED NURSING,227,LOS ANGELES
030000122,DOCTORS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,227,STANISLAUS
250000050,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,225,RIVERSIDE
070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,224,SANTA CLARA
240000100,ARROWHEAD REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,223,SAN BERNARDINO
930000065,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,221,LOS ANGELES
920000002,ASTORIA NURSING AND REHAB CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,218,LOS ANGELES
060000060,PROVIDENCE MISSION HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,217,ORANGE
240000094,LAS COLINAS POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,216,SAN BERNARDINO
970000121,ALDEN TERRACE CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,210,LOS ANGELES
030000090,ROSEVILLE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,210,PLACER
030001615,AVALON CARE CENTER - SONORA,SKILLED NURSING FACILITY,SKILLED NURSING,210,TUOLUMNE
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,210,SANTA CLARA
060000042,LAGUNA HILLS HEALTH AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,208,ORANGE
070000147,SALINAS VALLEY MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,208,MONTEREY
140000196,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,208,CONTRA COSTA
920000289,SYLMAR HEALTH AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,208,LOS ANGELES
140001268,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,207,SONOMA
930000002,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,207,LOS ANGELES
910000014,BERKLEY EAST HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,207,LOS ANGELES
240000289,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,206,SAN BERNARDINO
030000024,WESTVIEW HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,205,PLACER
220000029,SAINT FRANCIS MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,205,SAN FRANCISCO
920000011,GOLDEN LEGACY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,204,LOS ANGELES
070000153,GOOD SAMARITAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,204,SANTA CLARA
140000061,VALE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,202,CONTRA COSTA
060000164,FRENCH PARK CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,202,ORANGE
920000004,"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,201,LOS ANGELES
220001018,VALLEY HOUSE REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,201,SANTA CLARA
070001355,KAISER FOUNDATION HOSPITAL-SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,201,SANTA CLARA
220000026,AHMC SETON MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,201,SAN MATEO
920000050,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,201,LOS ANGELES
090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,201,SAN DIEGO
910000016,VERMONT HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,200,LOS ANGELES
940000094,RIO HONDO SUBACUTE & NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,200,LOS ANGELES
060000038,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,200,LOS ANGELES
920000280,ANTELOPE VALLEY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,199,LOS ANGELES
070000023,CANYON SPRINGS POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,199,SANTA CLARA
940000099,WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,SKILLED NURSING FACILITY,SKILLED NURSING,199,LOS ANGELES
030000074,KIT CARSON NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,199,AMADOR
930000111,NORTHRIDGE HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,199,LOS ANGELES
940000057,DOWNEY COMMUNITY HEALTH CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,198,LOS ANGELES
090000013,ALVARADO HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,198,SAN DIEGO
060000026,SEAL BEACH HEALTH AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,198,ORANGE
910000328,LONGWOOD MANOR CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,198,LOS ANGELES
930000132,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,197,LOS ANGELES
940000034,COLONIAL CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,196,LOS ANGELES
930000100,PROVIDENCE SAINT JOHN'S HEALTH CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,196,LOS ANGELES
170001873,LA COUNTY SHERIFF'S DEPT TWIN TOWERS CTC,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,196,LOS ANGELES
910000091,"TORRANCE CARE CENTER WEST, INC.",SKILLED NURSING FACILITY,SKILLED NURSING,195,LOS ANGELES
930000290,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,194,LOS ANGELES
930000076,KAISER FOUNDATION HOSPITAL-WEST LA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,194,LOS ANGELES
100000036,CRESTWOOD MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,194,STANISLAUS
090000065,BALBOA NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,194,SAN DIEGO
050000002,SHORELINE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,193,VENTURA
930000071,KAISER FOUNDATION HOSPITAL - SOUTH BAY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,193,LOS ANGELES
060000068,PROVIDENCE ST. JUDE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,ORANGE
630013873,PALOMAR MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,SAN DIEGO
090000018,EDGEMOOR HOSPITAL DP/SNF,SKILLED NURSING FACILITY,SKILLED NURSING,192,SAN DIEGO
630011745,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,ORANGE
240000027,LOMA LINDA UNIVERSITY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,SAN BERNARDINO
930000049,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,LOS ANGELES
930000028,WEST HILLS HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,192,LOS ANGELES
930000123,POMONA VALLEY HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,191,LOS ANGELES
930000103,ST. MARY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,190,LOS ANGELES
100000035,CRESTWOOD MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,190,SAN JOAQUIN
140000062,WINDSOR MANOR REHABILITATION CENTER OF CONCORD,SKILLED NURSING FACILITY,SKILLED NURSING,190,CONTRA COSTA
140000136,SAN MIGUEL VILLA,SKILLED NURSING FACILITY,SKILLED NURSING,190,CONTRA COSTA
070001357,STANFORD HEALTH CARE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,189,SANTA CLARA
920000071,BURBANK HEALTHCARE AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,188,LOS ANGELES
120000411,ADVENTIST HEALTH BAKERSFIELD,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,188,KERN
930000129,VALLEY PRESBYTERIAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,188,LOS ANGELES
250000073,RIVERSIDE POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,188,RIVERSIDE
050000595,VICTORIA CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,188,VENTURA
080000761,LA FUENTE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,187,SAN DIEGO
930001543,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,187,LOS ANGELES
930000196,COLLEGE HOSPITAL,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,187,LOS ANGELES
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,186,MONTEREY
960001457,EL ENCANTO HEALTHCARE AND HABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,185,LOS ANGELES
920000083,CANYON OAKS NURSING AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,185,LOS ANGELES
220001020,IDYLWOOD CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,185,SANTA CLARA
230000029,WINDSOR CHICO CREEK CARE AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,184,BUTTE
220000019,PRISCILLA CHAN AND MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL AND TRAUM,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,184,SAN FRANCISCO
120000377,"KINGSTON HEALTHCARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,184,KERN
